Director	NN	director
The	DT	the
use	NN	use
of	IN	of
a	DT	a
product	NN	product
sold	VBN	sell
is	VBZ	be
part	NN	part
of	IN	of
our	PP$	our
emissions	NNS	emission
inventory	NN	inventory
.	SENT	.
Everything	NN	everything
we	PP	we
'	POS	'
ve	NN	ve
put	VBD	put
out	RP	out
into	IN	into
the	DT	the
market	NN	market
that	RB	that
'	POS	'
s	NNS	<unknown>
plugging	VBG	plug
in	IN	in
to	TO	to
the	DT	the
electrical	JJ	electrical
grid	NN	grid
,	,	,
we	PP	we
are	VBP	be
in	IN	in
some	DT	some
form	NN	form
part	NN	part
of	IN	of
that	DT	that
ownership	NN	ownership
for	IN	for
that	DT	that
carbon	NN	carbon
.	SENT	.
When	WRB	when
we	PP	we
started	VBD	start
putting	VBG	put
pen	NN	pen
to	TO	to
paper	NN	paper
and	CC	and
saw	VBD	see
the	DT	the
carbon	NN	carbon
impact	NN	impact
of	IN	of
the	DT	the
use	NN	use
of	IN	of
products	NNS	product
that	IN	that
we	PP	we
sell	VBP	sell
,	,	,
it	PP	it
was	VBD	be
40	CD	@card@
times	NNS	time
that	DT	that
of	IN	of
our	PP$	our
own	JJ	own
operation	NN	operation
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	NN	S
where	WRB	where
we	PP	we
set	VBD	set
out	RP	out
to	TO	to
say	VB	say
:	:	:
if	IN	if
you	PP	you
'	POS	'
re	NN	re
plugging	VBG	plug
in	IN	in
at	IN	at
home	NN	home
,	,	,
that	WDT	that
has	VBZ	have
to	TO	to
be	VB	be
part	NN	part
of	IN	of
our	PP$	our
goals	NNS	goal
to	TO	to
reduce	VB	reduce
it	PP	it
.	SENT	.
We	PP	we
went	VBD	go
through	RP	through
and	CC	and
looked	VBD	look
at	IN	at
what	WP	what
items	NNS	item
are	VBP	be
we	PP	we
putting	VBG	put
into	IN	into
customers	NNS	customer
homes	NNS	home
that	WDT	that
do	VBP	do
have	VBP	have
a	DT	a
significant	JJ	significant
energy	NN	energy
draw	NN	draw
.	SENT	.
So	RB	so
it	PP	it
was	VBD	be
at	IN	at
that	DT	that
point	NN	point
we	PP	we
started	VBD	start
to	TO	to
see	VB	see
the	DT	the
scope	NN	scope
of	IN	of
Energy	NP	Energy
Star	NP	Star
.	SENT	.
Energy	NP	Energy
Star	NP	Star
is	VBZ	be
a	DT	a
partnership	NN	partnership
at	IN	at
the	DT	the
EPA	NP	EPA
and	CC	and
Department	NP	Department
of	IN	of
Energy	NP	Energy
in	IN	in
the	DT	the
US	NP	US
to	TO	to
set	VB	set
a	DT	a
standard	NN	standard
to	TO	to
develop	VB	develop
the	DT	the
most	JJS	most
energy	NN	energy
efficient	JJ	efficient
product	NN	product
.	SENT	.
How	WRB	how
can	MD	can
you	PP	you
make	VB	make
this	DT	this
thing	NN	thing
work	VB	work
its	PP$	its
best	JJS	good
but	CC	but
consume	VB	consume
the	DT	the
least	JJS	least
amount	NN	amount
of	IN	of
energy	NN	energy
in	IN	in
that	DT	that
process	NN	process
?	SENT	?
And	CC	and
that	WDT	that
became	VBD	become
the	DT	the
conversation	NN	conversation
with	IN	with
our	PP$	our
vendors	NNS	vendor
.	SENT	.
If	IN	if
we	PP	we
can	MD	can
have	VB	have
an	DT	an
impact	NN	impact
on	IN	on
that	DT	that
customer	NN	customer
'	POS	'
s	JJ	<unknown>
energy	NN	energy
bill	NN	bill
,	,	,
helping	VBG	help
them	PP	them
live	VBP	live
more	RBR	more
sustainably	RB	<unknown>
,	,	,
that	IN	that
'	''	'
s	VBG	<unknown>
your	PP$	your
story	NN	story
,	,	,
too	RB	too
.	SENT	.
And	CC	and
so	RB	so
we	PP	we
can	MD	can
go	VB	go
from	IN	from
a	DT	a
customer	NN	customer
plugging	VBG	plug
in	IN	in
a	DT	a
new	JJ	new
product	NN	product
,	,	,
being	VBG	be
thrilled	VBN	thrill
with	IN	with
their	PP$	their
experience	NN	experience
,	,	,
to	TO	to
100	CD	@card@
customers	NNS	customer
,	,	,
to	TO	to
1	CD	@card@
,	,	,
000	CD	@card@
customers	NNS	customer
.	SENT	.
Our	PP$	our
next	JJ	next
step	NN	step
is	VBZ	be
how	WRB	how
sustainable	JJ	sustainable
that	DT	that
product	NN	product
is	VBZ	be
at	IN	at
end	NN	end
of	IN	of
life	NN	life
.	SENT	.
Circularity	NN	circularity
is	VBZ	be
what	WP	what
we	PP	we
need	VBP	need
to	TO	to
get	VB	get
to	TO	to
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
account	VB	account
for	IN	for
that	DT	that
.	SENT	.
When	WRB	when
a	DT	a
customer	NN	customer
brings	VBZ	bring
that	IN	that
product	NN	product
home	NN	home
,	,	,
that	WDT	that
'	POS	'
s	NN	S
just	RB	just
one	CD	one
part	NN	part
of	IN	of
the	DT	the
interaction	NN	interaction
.	SENT	.
Once	RB	once
that	DT	that
product	NN	product
has	VBZ	have
met	VBN	meet
its	PP$	its
end	NN	end
of	IN	of
life	NN	life
for	IN	for
that	DT	that
customer	NN	customer
,	,	,
bring	VB	bring
us	PP	us
that	DT	that
product	NN	product
back	RB	back
.	SENT	.
We	PP	we
will	MD	will
evaluate	VB	evaluate
that	DT	that
product	NN	product
to	TO	to
say	VB	say
:	:	:
Is	VBZ	be
there	RB	there
any	DT	any
use	NN	use
in	IN	in
trade-in	NN	trade-in
?	SENT	?
Does	VBZ	do
it	PP	it
need	VBP	need
to	TO	to
be	VB	be
repaired	VBN	repair
?	SENT	?
We	PP	we
'	POS	'
ll	NN	ll
put	VBD	put
it	PP	it
through	IN	through
our	PP$	our
repair	NN	repair
process	NN	process
.	SENT	.
If	IN	if
it	PP	it
'	POS	'
s	NNS	<unknown>
truly	RB	truly
end	VBP	end
of	IN	of
life	NN	life
,	,	,
we	PP	we
will	MD	will
put	VB	put
it	PP	it
into	IN	into
our	PP$	our
recycling	NN	recycling
programs	NNS	program
that	WDT	that
have	VBP	have
vetted	VBN	vet
partners	NNS	partner
,	,	,
held	VBN	hold
to	TO	to
the	DT	the
highest	JJS	high
standards	NNS	standard
,	,	,
that	WDT	that
'	POS	'
s	NN	S
fulfilling	VBG	fulfill
the	DT	the
customer	NN	customer
promise	NN	promise
end	NN	end
to	TO	to
end	VB	end
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
also	RB	also
fulfilling	VBG	fulfill
our	PP$	our
environmental	JJ	environmental
obligations	NNS	obligation
end	VBP	end
to	TO	to
end	VB	end
.	SENT	.
At	IN	at
the	DT	the
core	NN	core
of	IN	of
it	PP	it
,	,	,
every	DT	every
single	JJ	single
product	NN	product
that	IN	that
we	PP	we
'	POS	'
re	NN	re
putting	VBG	put
in	IN	in
customers	NNS	customer
homes	NNS	home
,	,	,
we	PP	we
are	VBP	be
there	RB	there
through	IN	through
every	DT	every
single	JJ	single
point	NN	point
of	IN	of
that	DT	that
product	NN	product
life	NN	life
.	SENT	.
Global	JJ	global
climate	NN	climate
change	NN	change
is	VBZ	be
impacting	VBG	impact
us	PP	us
on	IN	on
a	DT	a
scale	NN	scale
--	:	--
our	PP$	our
stores	NNS	store
,	,	,
our	PP$	our
employees	NNS	employee
our	PP$	our
customers	NNS	customer
--	:	--
that	IN	that
not	RB	not
doing	VBG	do
something	NN	something
about	IN	about
it	PP	it
is	VBZ	be
an	DT	an
impact	NN	impact
to	TO	to
our	PP$	our
business	NN	business
.	SENT	.
The	DT	the
time	NN	time
is	VBZ	be
now	RB	now
to	TO	to
make	VB	make
a	DT	a
difference	NN	difference
and	CC	and
accelerate	VB	accelerate
all	DT	all
of	IN	of
our	PP$	our
goals	NNS	goal
and	CC	and
get	VB	get
to	TO	to
net-zero	NN	<unknown>
by	IN	by
2040	CD	@card@
.	SENT	.
