Okay	RB	okay
Iraq	NP	Iraq
in	IN	in
the	DT	the
same	JJ	same
year	NN	year
.	SENT	.
It	PP	it
was	VBD	be
80	CD	@card@
billion	NNS	billion
U	NP	U
.	SENT	.
S	NP	S
.	SENT	.
dollars	NNS	dollar
.	SENT	.
Well	RB	well
we	PP	we
know	VBP	know
that	IN	that
that	DT	that
was	VBD	be
not	RB	not
a	DT	a
cheap	JJ	cheap
war	NN	war
.	SENT	.
So	IN	so
insects	NNS	insect
,	,	,
just	RB	just
for	IN	for
free	JJ	free
,	,	,
contribute	VBP	contribute
to	TO	to
the	DT	the
economy	NN	economy
of	IN	of
the	DT	the
United	NP	United
States	NPS	States
with	IN	with
about	IN	about
the	DT	the
same	JJ	same
order	NN	order
of	IN	of
magnitude	NN	magnitude
,	,	,
just	RB	just
for	IN	for
free	JJ	free
,	,	,
without	IN	without
everyone	NN	everyone
knowing	VBG	know
.	SENT	.
And	CC	and
not	RB	not
only	RB	only
in	IN	in
the	DT	the
States	NPS	States
,	,	,
but	CC	but
in	IN	in
any	DT	any
country	NN	country
,	,	,
in	IN	in
any	DT	any
economy	NN	economy
.	SENT	.
What	WP	what
do	VBP	do
they	PP	they
do	VBP	do
?	SENT	?
They	PP	they
remove	VB	remove
dung	NN	dung
,	,	,
they	PP	they
pollinate	VBP	pollinate
our	PP$	our
crops	NNS	crop
.	SENT	.
A	DT	a
third	JJ	third
of	IN	of
all	PDT	all
the	DT	the
fruits	NNS	fruit
that	WDT	that
we	PP	we
eat	VBP	eat
are	VBP	be
all	RB	all
a	DT	a
result	NN	result
of	IN	of
insects	NNS	insect
taking	VBG	take
care	NN	care
of	IN	of
the	DT	the
reproduction	NN	reproduction
of	IN	of
plants	NNS	plant
.	SENT	.
They	PP	they
control	VBP	control
pests	NNS	pest
,	,	,
and	CC	and
they	PP	they
'	POS	'
re	NN	re
food	NN	food
for	IN	for
animals	NNS	animal
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
at	IN	at
the	DT	the
start	NN	start
of	IN	of
food	NN	food
chains	NNS	chain
.	SENT	.
Small	JJ	small
animals	NNS	animal
eat	VBP	eat
insects	NNS	insect
.	SENT	.
Even	RB	even
larger	JJR	large
animals	NNS	animal
eat	VBP	eat
insects	NNS	insect
.	SENT	.
But	CC	but
the	DT	the
small	JJ	small
animals	NNS	animal
that	WDT	that
eat	VBP	eat
insects	NNS	insect
are	VBP	be
being	VBG	be
eaten	VBN	eat
by	IN	by
larger	JJR	large
animals	NNS	animal
,	,	,
still	RB	still
larger	JJR	large
animals	NNS	animal
.	SENT	.
And	CC	and
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
food	NN	food
chain	NN	chain
,	,	,
we	PP	we
are	VBP	be
eating	VBG	eat
them	PP	them
as	IN	as
well	RB	well
.	SENT	.
There	EX	there
'	POS	'
s	VBG	<unknown>
quite	PDT	quite
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
that	WDT	that
are	VBP	be
eating	VBG	eat
insects	NNS	insect
.	SENT	.
And	CC	and
here	RB	here
you	PP	you
see	VBP	see
me	PP	me
in	IN	in
a	DT	a
small	JJ	small
,	,	,
provincial	JJ	provincial
town	NN	town
in	IN	in
China	NP	China
,	,	,
Lijiang	NP	Lijiang
—	:	-
about	RB	about
two	CD	two
million	CD	million
inhabitants	NNS	inhabitant
.	SENT	.
If	IN	if
you	PP	you
go	VBP	go
out	RP	out
for	IN	for
dinner	NN	dinner
,	,	,
like	IN	like
in	IN	in
a	DT	a
fish	NN	fish
restaurant	NN	restaurant
,	,	,
where	WRB	where
you	PP	you
can	MD	can
select	VB	select
which	WDT	which
fish	NN	fish
you	PP	you
want	VBP	want
to	TO	to
eat	VB	eat
,	,	,
you	PP	you
can	MD	can
select	VB	select
which	WDT	which
insects	NNS	insect
you	PP	you
would	MD	would
like	VB	like
to	TO	to
eat	VB	eat
.	SENT	.
And	CC	and
they	PP	they
prepare	VBP	prepare
it	PP	it
in	IN	in
a	DT	a
wonderful	JJ	wonderful
way	NN	way
.	SENT	.
And	CC	and
here	RB	here
you	PP	you
see	VBP	see
me	PP	me
enjoying	VBG	enjoy
a	DT	a
meal	NN	meal
with	IN	with
caterpillars	NNS	caterpillar
,	,	,
locusts	NNS	locust
,	,	,
bee	NN	bee
pupae	NNS	pupa
—	:	-
delicacies	NNS	delicacy
.	SENT	.
And	CC	and
you	PP	you
can	MD	can
eat	VB	eat
something	NN	something
new	JJ	new
everyday	JJ	everyday
.	SENT	.
There	EX	there
'	''	'
s	NN	S
more	JJR	more
than	IN	than
1	CD	@card@
,	,	,
000	CD	@card@
species	NNS	specie
of	IN	of
insects	NNS	insect
that	WDT	that
are	VBP	be
being	VBG	be
eaten	VBN	eat
all	RB	all
around	IN	around
the	DT	the
globe	NN	globe
.	SENT	.
That	IN	that
'	POS	'
s	VBG	<unknown>
quite	PDT	quite
a	DT	a
bit	NN	bit
more	RBR	more
than	IN	than
just	RB	just
a	DT	a
few	JJ	few
mammals	NNS	mammal
that	IN	that
we	PP	we
'	POS	'
re	NN	re
eating	NN	eating
,	,	,
like	IN	like
a	DT	a
cow	NN	cow
or	CC	or
a	DT	a
pig	NN	pig
or	CC	or
a	DT	a
sheep	NN	sheep
.	SENT	.
More	JJR	more
than	IN	than
1	CD	@card@
,	,	,
000	CD	@card@
species	NNS	specie
—	:	-
an	DT	an
enormous	JJ	enormous
variety	NN	variety
.	SENT	.
And	CC	and
now	RB	now
you	PP	you
may	MD	may
think	VB	think
,	,	,
okay	RB	okay
,	,	,
in	IN	in
this	DT	this
provincial	JJ	provincial
town	NN	town
in	IN	in
China	NP	China
they	PP	they
'	POS	'
re	NN	re
doing	VBG	do
that	IN	that
,	,	,
but	CC	but
not	RB	not
us	PP	us
.	SENT	.
Well	RB	well
we	PP	we
'	POS	'
ve	NNS	<unknown>
seen	VBN	see
already	RB	already
that	IN	that
quite	PDT	quite
some	DT	some
of	IN	of
you	PP	you
already	RB	already
ate	VBD	eat
insects	NNS	insect
maybe	RB	maybe
occasionally	RB	occasionally
,	,	,
but	CC	but
I	PP	I
can	MD	can
tell	VB	tell
you	PP	you
that	IN	that
every	DT	every
one	CD	one
of	IN	of
you	PP	you
is	VBZ	be
eating	VBG	eat
insects	NNS	insect
,	,	,
without	IN	without
any	DT	any
exception	NN	exception
.	SENT	.
You	PP	you
'	POS	'
re	NN	re
eating	VBG	eat
at	IN	at
least	JJS	least
500	CD	@card@
grams	NNS	gram
per	IN	per
year	NN	year
.	SENT	.
What	WP	what
are	VBP	be
you	PP	you
eating	VBG	eat
?	SENT	?
Tomato	NN	tomato
soup	NN	soup
,	,	,
peanut	NN	peanut
butter	NN	butter
,	,	,
chocolate	NN	chocolate
,	,	,
noodles	NNS	noodle
—	:	-
any	DT	any
processed	JJ	processed
food	NN	food
that	IN	that
you	PP	you
'	POS	'
re	NN	re
eating	NN	eating
contains	VBZ	contain
insects	NNS	insect
,	,	,
because	IN	because
insects	NNS	insect
are	VBP	be
here	RB	here
all	RB	all
around	IN	around
us	PP	us
,	,	,
and	CC	and
when	WRB	when
they	PP	they
'	POS	'
re	NN	re
out	RB	out
there	RB	there
in	IN	in
nature	NN	nature
they	PP	they
'	POS	'
re	NN	re
also	RB	also
in	IN	in
our	PP$	our
crops	NNS	crop
.	SENT	.
Some	DT	some
fruits	NNS	fruit
get	VBP	get
some	DT	some
insect	NN	insect
damage	NN	damage
.	SENT	.
Those	DT	those
are	VBP	be
the	DT	the
fruits	NNS	fruit
,	,	,
if	IN	if
they	PP	they
'	POS	'
re	NN	re
tomato	NN	tomato
,	,	,
that	WDT	that
go	VBP	go
to	TO	to
the	DT	the
tomato	NN	tomato
soup	NN	soup
.	SENT	.
If	IN	if
they	PP	they
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
any	DT	any
damage	NN	damage
,	,	,
they	PP	they
go	VBP	go
to	TO	to
the	DT	the
grocery	NN	grocery
.	SENT	.
And	CC	and
that	DT	that
'	''	'
s	VBG	<unknown>
your	PP$	your
view	NN	view
of	IN	of
a	DT	a
tomato	NN	tomato
.	SENT	.
But	CC	but
there	EX	there
'	''	'
s	NN	S
tomatoes	NNS	tomato
that	WDT	that
end	VBP	end
up	RP	up
in	IN	in
a	DT	a
soup	NN	soup
,	,	,
and	CC	and
as	RB	as
long	RB	long
as	IN	as
they	PP	they
meet	VBP	meet
the	DT	the
requirements	NNS	requirement
of	IN	of
the	DT	the
food	NN	food
agency	NN	agency
,	,	,
there	EX	there
can	MD	can
be	VB	be
all	DT	all
kinds	NNS	kind
of	IN	of
things	NNS	thing
in	IN	in
there	RB	there
,	,	,
no	DT	no
problem	NN	problem
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
why	WRB	why
would	MD	would
we	PP	we
put	VB	put
these	DT	these
balls	NNS	ball
in	IN	in
the	DT	the
soup	NN	soup
,	,	,
there	EX	there
'	''	'
s	NN	S
meat	NN	meat
in	IN	in
there	RB	there
anyway	RB	anyway
?	SENT	?
In	IN	in
fact	NN	fact
,	,	,
all	PDT	all
our	PP$	our
processed	JJ	processed
foods	NNS	food
contain	VBP	contain
more	JJR	more
proteins	NNS	protein
than	IN	than
we	PP	we
would	MD	would
be	VB	be
aware	JJ	aware
of	IN	of
.	SENT	.
So	IN	so
anything	NN	anything
is	VBZ	be
a	DT	a
good	JJ	good
protein	NN	protein
source	NN	source
already	RB	already
.	SENT	.
Now	RB	now
you	PP	you
may	MD	may
say	VB	say
,	,	,
"	''	"
Okay	NP	Okay
,	,	,
so	IN	so
we	PP	we
'	POS	'
re	NN	re
eating	VBG	eat
500	CD	@card@
grams	NNS	gram
just	RB	just
by	IN	by
accident	NN	accident
.	SENT	.
"	``	"
We	PP	we
'	POS	'
re	NN	re
even	RB	even
doing	VBG	do
this	DT	this
on	IN	on
purpose	NN	purpose
.	SENT	.
In	IN	in
a	DT	a
lot	NN	lot
of	IN	of
food	NN	food
items	NNS	item
that	IN	that
we	PP	we
have	VBP	have
—	:	-
I	PP	I
have	VBP	have
only	RB	only
two	CD	two
items	NNS	item
here	RB	here
on	IN	on
the	DT	the
slide	NN	slide
—	:	-
pink	JJ	pink
cookies	NNS	cookie
or	CC	or
surimi	NP	surimi
sticks	NNS	stick
or	CC	or
,	,	,
if	IN	if
you	PP	you
like	VBP	like
,	,	,
Campari	NP	Campari
—	:	-
a	DT	a
lot	NN	lot
of	IN	of
our	PP$	our
food	NN	food
products	NNS	product
that	WDT	that
are	VBP	be
of	IN	of
a	DT	a
red	JJ	red
color	NN	color
are	VBP	be
dyed	VBN	dye
with	IN	with
a	DT	a
natural	JJ	natural
dye	NN	dye
.	SENT	.
The	DT	the
surimi	NP	surimi
sticks	NNS	stick
[	SYM	[
of	IN	of
]	SYM	]
crabmeat	NN	crabmeat
,	,	,
or	CC	or
is	VBZ	be
being	VBG	be
sold	VBN	sell
as	IN	as
crab	NN	crab
meat	NN	meat
,	,	,
is	VBZ	be
white	JJ	white
fish	NN	fish
that	RB	that
'	POS	'
s	NNS	<unknown>
being	VBG	be
dyed	VBN	dye
with	IN	with
cochineal	NN	cochineal
.	SENT	.
Cochineal	NN	cochineal
is	VBZ	be
a	DT	a
product	NN	product
of	IN	of
an	DT	an
insect	NN	insect
that	WDT	that
lives	VBZ	live
off	RP	off
these	DT	these
cacti	NNS	cactus
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
being	VBG	be
produced	VBN	produce
in	IN	in
large	JJ	large
amounts	NNS	amount
,	,	,
150	CD	@card@
to	TO	to
180	CD	@card@
metric	JJ	metric
tons	NNS	ton
per	IN	per
year	NN	year
in	IN	in
the	DT	the
Canary	NP	Canary
Islands	NP	Islands
in	IN	in
Peru	NP	Peru
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	JJ	<unknown>
big	JJ	big
business	NN	business
.	SENT	.
One	CD	one
gram	NN	gram
of	IN	of
cochineal	JJ	cochineal
costs	NNS	cost
about	IN	about
30	CD	@card@
euros	NNS	<unknown>
.	SENT	.
One	CD	one
gram	NN	gram
of	IN	of
gold	NN	gold
is	VBZ	be
30	CD	@card@
euros	NNS	<unknown>
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	NN	S
a	DT	a
very	RB	very
precious	JJ	precious
thing	NN	thing
that	IN	that
we	PP	we
'	POS	'
re	NN	re
using	VBG	use
to	TO	to
dye	VB	dye
our	PP$	our
foods	NNS	food
.	SENT	.
Now	RB	now
the	DT	the
situation	NN	situation
in	IN	in
the	DT	the
world	NN	world
is	VBZ	be
going	VBG	go
to	TO	to
change	VB	change
for	IN	for
you	PP	you
and	CC	and
me	PP	me
,	,	,
for	IN	for
everyone	NN	everyone
on	IN	on
this	DT	this
Earth	NN	earth
.	SENT	.
The	DT	the
human	JJ	human
population	NN	population
is	VBZ	be
growing	VBG	grow
very	RB	very
rapidly	RB	rapidly
and	CC	and
is	VBZ	be
growing	VBG	grow
exponentially	RB	exponentially
.	SENT	.
Where	WRB	where
,	,	,
at	IN	at
the	DT	the
moment	NN	moment
,	,	,
we	PP	we
have	VBP	have
something	NN	something
between	IN	between
six	CD	six
and	CC	and
seven	CD	seven
billion	NN	billion
people	NNS	people
,	,	,
it	PP	it
will	MD	will
grow	VB	grow
to	TO	to
about	RB	about
nine	CD	nine
billion	NNS	billion
in	IN	in
2050	CD	@card@
.	SENT	.
That	DT	that
means	VBZ	mean
that	IN	that
we	PP	we
have	VBP	have
a	DT	a
lot	NN	lot
more	JJR	more
mouths	NNS	mouth
to	TO	to
feed	VB	feed
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
something	NN	something
that	WDT	that
worries	VBZ	worry
more	JJR	more
and	CC	and
more	JJR	more
people	NNS	people
.	SENT	.
There	EX	there
was	VBD	be
an	DT	an
FAO	NP	FAO
conference	NN	conference
last	JJ	last
October	NP	October
that	WDT	that
was	VBD	be
completely	RB	completely
devoted	VBN	devote
to	TO	to
this	DT	this
.	SENT	.
How	WRB	how
are	VBP	be
we	PP	we
going	VBG	go
to	TO	to
feed	VB	feed
this	DT	this
world	NN	world
?	SENT	?
And	CC	and
if	IN	if
you	PP	you
look	VBP	look
at	IN	at
the	DT	the
figures	NNS	figure
up	RB	up
there	RB	there
,	,	,
it	PP	it
says	VBZ	say
that	IN	that
we	PP	we
have	VBP	have
a	DT	a
third	JJ	third
more	JJR	more
mouths	NNS	mouth
to	TO	to
feed	VB	feed
,	,	,
but	CC	but
we	PP	we
need	VBP	need
an	DT	an
agricultural	JJ	agricultural
production	NN	production
increase	NN	increase
of	IN	of
70	CD	@card@
percent	NN	percent
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
especially	RB	especially
because	IN	because
this	DT	this
world	NN	world
population	NN	population
is	VBZ	be
increasing	VBG	increase
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
increasing	VBG	increase
,	,	,
not	RB	not
only	RB	only
in	IN	in
numbers	NNS	number
,	,	,
but	CC	but
we	PP	we
'	POS	'
re	NN	re
also	RB	also
getting	VBG	get
wealthier	JJR	wealthy
,	,	,
and	CC	and
anyone	NN	anyone
that	WDT	that
gets	VBZ	get
wealthier	JJR	wealthy
starts	NNS	start
to	TO	to
eat	VB	eat
more	JJR	more
and	CC	and
also	RB	also
starts	VBZ	start
to	TO	to
eat	VB	eat
more	JJR	more
meat	NN	meat
.	SENT	.
And	CC	and
meat	NN	meat
,	,	,
in	IN	in
fact	NN	fact
,	,	,
is	VBZ	be
something	NN	something
that	WDT	that
costs	VBZ	cost
a	DT	a
lot	NN	lot
of	IN	of
our	PP$	our
agricultural	JJ	agricultural
production	NN	production
.	SENT	.
Our	PP$	our
diet	NN	diet
consists	VBZ	consist
,	,	,
[	SYM	[
in	RB	in
]	SYM	]
some	DT	some
part	NN	part
,	,	,
of	IN	of
animal	JJ	animal
proteins	NNS	protein
,	,	,
and	CC	and
at	IN	at
the	DT	the
moment	NN	moment
,	,	,
most	JJS	most
of	IN	of
us	PP	us
here	RB	here
get	VBP	get
it	PP	it
from	IN	from
livestock	NN	livestock
,	,	,
from	IN	from
fish	NN	fish
,	,	,
from	IN	from
game	NN	game
.	SENT	.
And	CC	and
we	PP	we
eat	VBP	eat
quite	PDT	quite
a	DT	a
lot	NN	lot
of	IN	of
it	PP	it
.	SENT	.
In	IN	in
the	DT	the
developed	VBN	develop
world	NN	world
it	PP	it
'	POS	'
s	NN	S
on	IN	on
average	JJ	average
80	CD	@card@
kilograms	NNS	kilogram
per	IN	per
person	NN	person
per	IN	per
year	NN	year
,	,	,
which	WDT	which
goes	VBZ	go
up	RP	up
to	TO	to
120	CD	@card@
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
a	DT	a
bit	NN	bit
lower	RBR	lower
in	IN	in
some	DT	some
other	JJ	other
countries	NNS	country
,	,	,
but	CC	but
on	IN	on
average	JJ	average
80	CD	@card@
kilograms	NNS	kilogram
per	IN	per
person	NN	person
per	IN	per
year	NN	year
.	SENT	.
In	IN	in
the	DT	the
developing	VBG	develop
world	NN	world
it	PP	it
'	POS	'
s	NN	S
much	RB	much
lower	JJR	low
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
25	CD	@card@
kilograms	NNS	kilogram
per	IN	per
person	NN	person
per	IN	per
year	NN	year
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NNS	<unknown>
increasing	VBG	increase
enormously	RB	enormously
.	SENT	.
In	IN	in
China	NP	China
in	IN	in
the	DT	the
last	JJ	last
20	CD	@card@
years	NNS	year
,	,	,
it	PP	it
increased	VBD	increase
from	IN	from
20	CD	@card@
to	TO	to
50	CD	@card@
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
still	RB	still
increasing	VBG	increase
.	SENT	.
So	RB	so
if	IN	if
a	DT	a
third	JJ	third
of	IN	of
the	DT	the
world	NN	world
population	NN	population
is	VBZ	be
going	VBG	go
to	TO	to
increase	VB	increase
its	PP$	its
meat	NN	meat
consumption	NN	consumption
from	IN	from
25	CD	@card@
to	TO	to
80	CD	@card@
on	IN	on
average	NN	average
,	,	,
and	CC	and
a	DT	a
third	JJ	third
of	IN	of
the	DT	the
world	NN	world
population	NN	population
is	VBZ	be
living	VBG	live
in	IN	in
China	NP	China
and	CC	and
in	IN	in
India	NP	India
,	,	,
we	PP	we
'	POS	'
re	IN	re
having	VBG	have
an	DT	an
enormous	JJ	enormous
demand	NN	demand
on	IN	on
meat	NN	meat
.	SENT	.
And	CC	and
of	IN	of
course	NN	course
,	,	,
we	PP	we
are	VBP	be
not	RB	not
there	RB	there
to	TO	to
say	VB	say
that	RB	that
'	''	'
s	NNS	<unknown>
only	RB	only
for	IN	for
us	PP	us
,	,	,
it	PP	it
'	POS	'
s	NN	S
not	RB	not
for	IN	for
them	PP	them
.	SENT	.
They	PP	they
have	VBP	have
the	DT	the
same	JJ	same
share	NN	share
that	IN	that
we	PP	we
have	VBP	have
.	SENT	.
Now	RB	now
to	TO	to
start	VB	start
with	IN	with
,	,	,
I	PP	I
should	MD	should
say	VB	say
that	IN	that
we	PP	we
are	VBP	be
eating	VBG	eat
way	RB	way
too	RB	too
much	JJ	much
meat	NN	meat
in	IN	in
the	DT	the
Western	JJ	Western
world	NN	world
.	SENT	.
We	PP	we
could	MD	could
do	VB	do
with	IN	with
much	JJ	much
,	,	,
much	RB	much
less	JJR	less
—	:	-
and	CC	and
I	PP	I
know	VBP	know
,	,	,
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
a	DT	a
vegetarian	NN	vegetarian
for	IN	for
a	DT	a
long	JJ	long
time	NN	time
,	,	,
and	CC	and
you	PP	you
can	MD	can
easily	RB	easily
do	VB	do
without	IN	without
anything	NN	anything
.	SENT	.
You	PP	you
'	POS	'
ll	NNS	<unknown>
get	VBP	get
proteins	NNS	protein
in	IN	in
any	DT	any
kind	NN	kind
of	IN	of
food	NN	food
anyway	RB	anyway
.	SENT	.
But	CC	but
then	RB	then
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
lot	NN	lot
of	IN	of
problems	NNS	problem
that	WDT	that
come	VBP	come
with	IN	with
meat	NN	meat
production	NN	production
,	,	,
and	CC	and
we	PP	we
'	POS	'
re	NN	re
being	VBG	be
faced	VBN	face
with	IN	with
that	DT	that
more	JJR	more
and	CC	and
more	RBR	more
often	RB	often
.	SENT	.
The	DT	the
first	JJ	first
problem	NN	problem
that	IN	that
we	PP	we
'	POS	'
re	NN	re
facing	VBG	face
is	VBZ	be
human	JJ	human
health	NN	health
.	SENT	.
Pigs	NNS	pig
are	VBP	be
quite	RB	quite
like	IN	like
us	PP	us
.	SENT	.
They	PP	they
'	''	'
re	IN	re
even	JJ	even
models	NNS	model
in	IN	in
medicine	NN	medicine
,	,	,
and	CC	and
we	PP	we
can	MD	can
even	RB	even
transplant	VB	transplant
organs	NNS	organ
from	IN	from
a	DT	a
pig	NN	pig
to	TO	to
a	DT	a
human	NN	human
.	SENT	.
That	DT	that
means	VBZ	mean
that	IN	that
pigs	NNS	pig
also	RB	also
share	VBP	share
diseases	NNS	disease
with	IN	with
us	PP	us
.	SENT	.
And	CC	and
a	DT	a
pig	NN	pig
disease	NN	disease
,	,	,
a	DT	a
pig	NN	pig
virus	NN	virus
,	,	,
and	CC	and
a	DT	a
human	JJ	human
virus	NN	virus
can	MD	can
both	CC	both
proliferate	VB	proliferate
,	,	,
and	CC	and
because	IN	because
of	IN	of
their	PP$	their
kind	NN	kind
of	IN	of
reproduction	NN	reproduction
,	,	,
they	PP	they
can	MD	can
combine	VB	combine
and	CC	and
produce	VB	produce
a	DT	a
new	JJ	new
virus	NN	virus
.	SENT	.
This	DT	this
has	VBZ	have
happened	VBN	happen
in	IN	in
the	DT	the
Netherlands	NPS	Netherlands
in	IN	in
the	DT	the
1990s	NNS	1990s
during	IN	during
the	DT	the
classical	JJ	classical
swine	NN	swine
fever	NN	fever
outbreak	NN	outbreak
.	SENT	.
You	PP	you
get	VBP	get
a	DT	a
new	JJ	new
disease	NN	disease
that	WDT	that
can	MD	can
be	VB	be
deadly	JJ	deadly
.	SENT	.
We	PP	we
eat	VBP	eat
insects	NNS	insect
—	:	-
they	PP	they
'	POS	'
re	NN	re
so	RB	so
distantly	RB	distantly
related	VBN	relate
from	IN	from
us	PP	us
that	IN	that
this	DT	this
doesn	NN	<unknown>
'	POS	'
t	NN	t
happen	VB	happen
.	SENT	.
So	IN	so
that	DT	that
'	''	'
