Lindsay	NP	Lindsay
more	RBR	more
effective	JJ	effective
at	IN	at
what	WP	what
they	PP	they
do	VBP	do
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
real	JJ	real
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	VBG	<unknown>
such	PDT	such
a	DT	a
privilege	NN	privilege
to	TO	to
be	VB	be
involved	VBN	involve
in	IN	in
it	PP	it
.	SENT	.
LL	NP	LL
:	:	:
I	PP	I
mean	VBP	mean
,	,	,
you	PP	you
'	POS	'
re	NN	re
taking	VBG	take
a	DT	a
very	RB	very
aggressive	JJ	aggressive
,	,	,
active	JJ	active
stance	NN	stance
.	SENT	.
What	WP	what
surprised	VBD	surprise
you	PP	you
?	SENT	?
PH	NN	PH
:	:	:
Well	RB	well
,	,	,
a	DT	a
lot	NN	lot
of	IN	of
things	NNS	thing
surprise	VB	surprise
you	PP	you
about	RB	about
AI	VBP	ai
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
for	IN	for
some	DT	some
people	NNS	people
it	PP	it
'	POS	'
s	NN	S
Skynet	NN	<unknown>
and	CC	and
Terminator	NN	terminator
.	SENT	.
For	IN	for
some	DT	some
people	NNS	people
,	,	,
they	PP	they
confuse	VBP	confuse
AI	VBZ	ai
with	IN	with
cyber	NN	<unknown>
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
not	RB	not
saying	VBG	say
everything	NN	everything
is	VBZ	be
perfect	JJ	perfect
,	,	,
but	CC	but
I	PP	I
'	POS	'
m	NN	m
surprised	VBD	surprise
at	IN	at
the	DT	the
number	NN	number
of	IN	of
CEOs	NNS	CEO
or	CC	or
executives	NNS	executive
who	WP	who
--	:	--
Their	PP$	their
first	JJ	first
response	NN	response
to	TO	to
an	DT	an
AI	NN	ai
conversation	NN	conversation
is	VBZ	be
"	``	"
Governance	NN	governance
,	,	,
controls	NNS	control
,	,	,
rules	NNS	rule
,	,	,
principles	NNS	principle
.	SENT	.
"	''	"
Of	IN	of
course	NN	course
,	,	,
everything	NN	everything
has	VBZ	have
its	PP$	its
place	NN	place
,	,	,
but	CC	but
I	PP	I
think	VBP	think
we	PP	we
have	VBP	have
to	TO	to
be	VB	be
honest	JJ	honest
with	IN	with
ourselves	PP	ourselves
.	SENT	.
If	IN	if
it	PP	it
is	VBZ	be
the	DT	the
fourth	JJ	fourth
industrial	JJ	industrial
revolution	NN	revolution
,	,	,
which	WDT	which
we	PP	we
believe	VBP	believe
it	PP	it
is	VBZ	be
,	,	,
then	RB	then
hesitating	VBG	hesitate
,	,	,
this	DT	this
fear	NN	fear
that	WDT	that
can	MD	can
take	VB	take
over	RP	over
,	,	,
can	MD	can
deprive	VB	deprive
you	PP	you
of	IN	of
so	RB	so
much	JJ	much
opportunity	NN	opportunity
.	SENT	.
And	CC	and
you	PP	you
have	VBP	have
to	TO	to
go	VB	go
for	IN	for
it	PP	it
.	SENT	.
I	PP	I
find	VBP	find
that	IN	that
when	WRB	when
you	PP	you
talk	VBP	talk
to	TO	to
lots	NNS	lot
of	IN	of
CEOs	NNS	CEO
,	,	,
they	PP	they
really	RB	really
are	VBP	be
very	RB	very
hesitant	JJ	hesitant
.	SENT	.
Some	DT	some
would	MD	would
say	VB	say
even	RB	even
frightened	JJ	frightened
.	SENT	.
I	PP	I
look	VBP	look
internally	RB	internally
,	,	,
people	NNS	people
are	VBP	be
frightened	VBN	frighten
that	IN	that
you	PP	you
get	VBP	get
this	DT	this
radical	JJ	radical
data	NN	data
transparency	NN	transparency
You	PP	you
can	MD	can
see	VB	see
their	PP$	their
data	NNS	datum
real-time	JJ	real-time
.	SENT	.
LL	NP	LL
:	:	:
And	CC	and
you	PP	you
'	POS	'
re	NN	re
experiencing	VBG	experience
that	DT	that
.	SENT	.
PH	NN	PH
:	:	:
I	PP	I
'	POS	'
ve	NN	ve
experienced	VBD	experience
that	IN	that
and	CC	and
still	RB	still
do	VB	do
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
people	NNS	people
are	VBP	be
often	RB	often
shocked	VBN	shock
that	IN	that
you	PP	you
may	MD	may
get	VB	get
the	DT	the
insight	NN	insight
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
as	IN	as
somebody	NN	somebody
lower	JJR	low
down	IN	down
the	DT	the
organization	NN	organization
.	SENT	.
And	CC	and
then	RB	then
there	EX	there
'	''	'
s	VBG	<unknown>
the	DT	the
lost	VBN	lose
opportunity	NN	opportunity
to	TO	to
polish	VB	polish
a	DT	a
slide	NN	slide
deck	NN	deck
and	CC	and
re-present	VB	re-present
it	PP	it
in	IN	in
the	DT	the
way	NN	way
that	IN	that
I	NP	I
'	POS	'
m	NN	m
supposed	VBN	suppose
to	TO	to
be	VB	be
informed	VBN	inform
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
a	DT	a
deliberate	JJ	deliberate
,	,	,
sort	NN	sort
of	IN	of
,	,	,
misleading	VBG	mislead
approach	NN	approach
.	SENT	.
It	PP	it
'	POS	'
s	VBG	<unknown>
what	WP	what
people	NNS	people
know	VBP	know
.	SENT	.
They	PP	they
get	VBP	get
the	DT	the
insight	NN	insight
,	,	,
they	PP	they
craft	VBP	craft
the	DT	the
story	NN	story
,	,	,
they	PP	they
push	VBP	push
it	PP	it
upwards	RB	upwards
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	JJ	<unknown>
life	NN	life
in	IN	in
many	JJ	many
corporations	NNS	corporation
.	SENT	.
For	IN	for
us	PP	us
,	,	,
we	PP	we
get	VBP	get
the	DT	the
data	NNS	datum
,	,	,
I	PP	I
get	VBP	get
the	DT	the
same	JJ	same
data	NNS	datum
every	DT	every
level	NN	level
of	IN	of
the	DT	the
organization	NN	organization
does	VBZ	do
.	SENT	.
I	PP	I
get	VBP	get
the	DT	the
insight	NN	insight
exactly	RB	exactly
the	DT	the
same	JJ	same
time	NN	time
.	SENT	.
And	CC	and
then	RB	then
people	NNS	people
say	VBP	say
,	,	,
"	''	"
Paul	NP	Paul
,	,	,
don	NN	don
'	POS	'
t	NN	t
look	NN	look
,	,	,
the	DT	the
data	NN	data
is	VBZ	be
not	RB	not
100	CD	@card@
percent	NN	percent
correct	JJ	correct
.	SENT	.
"	''	"
Well	RB	well
,	,	,
make	VB	make
it	PP	it
correct	VB	correct
because	IN	because
the	DT	the
data	NN	data
is	VBZ	be
live	JJ	live
.	SENT	.
So	RB	so
if	IN	if
you	PP	you
really	RB	really
jump	VBP	jump
in	IN	in
and	CC	and
make	VB	make
it	PP	it
correct	VB	correct
,	,	,
it	PP	it
'	POS	'
ll	NNS	<unknown>
better	RBR	well
reflect	VB	reflect
what	WP	what
you	PP	you
'	POS	'
re	NN	re
doing	VBG	do
,	,	,
right	RB	right
?	SENT	?
But	CC	but
if	IN	if
we	PP	we
wait	VBP	wait
for	IN	for
perfection	NN	perfection
it	PP	it
'	POS	'
s	NN	S
simply	RB	simply
not	RB	not
going	VBG	go
to	TO	to
happen	VB	happen
.	SENT	.
LL	NP	LL
:	:	:
So	IN	so
we	PP	we
'	POS	'
re	NN	re
seeing	VBG	see
fear	NN	fear
and	CC	and
some	DT	some
of	IN	of
that	WDT	that
,	,	,
I	PP	I
guess	VBP	guess
,	,	,
is	VBZ	be
not	RB	not
unreasonable	JJ	unreasonable
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
we	PP	we
read	VBP	read
reports	NNS	report
about	IN	about
the	DT	the
impact	NN	impact
on	IN	on
job	NN	job
losses	NNS	loss
,	,	,
for	IN	for
example	NN	example
,	,	,
to	TO	to
come	VB	come
from	IN	from
AI	NN	ai
.	SENT	.
I	PP	I
wonder	VBP	wonder
what	WP	what
mindset	NN	mindset
you	PP	you
believe	VBP	believe
people	NNS	people
need	VBP	need
to	TO	to
adopt	VB	adopt
in	IN	in
the	DT	the
workforce	NN	workforce
of	IN	of
all	DT	all
generations	NNS	generation
,	,	,
as	IN	as
they	PP	they
approach	VBP	approach
or	CC	or
we	PP	we
all	RB	all
approach	VBP	approach
this	DT	this
new	JJ	new
future	NN	future
?	SENT	?
PH	NN	PH
:	:	:
You	PP	you
know	VBP	know
,	,	,
the	DT	the
adoption	NN	adoption
of	IN	of
AI	NN	ai
in	IN	in
particular	JJ	particular
is	VBZ	be
not	RB	not
about	IN	about
jobs	NNS	job
.	SENT	.
And	CC	and
I	PP	I
know	VBP	know
people	NNS	people
will	MD	will
think	VB	think
that	RB	that
and	CC	and
inevitably	RB	inevitably
,	,	,
more	JJR	more
meaningful	JJ	meaningful
work	NN	work
is	VBZ	be
created	VBN	create
.	SENT	.
And	CC	and
of	IN	of
course	NN	course
,	,	,
some	DT	some
roles	NNS	role
change	NN	change
or	CC	or
some	DT	some
skills	NNS	skill
don	NN	don
'	POS	'
t	NN	t
match	NN	match
.	SENT	.
And	CC	and
therefore	RB	therefore
,	,	,
you	PP	you
know	VBP	know
,	,	,
with	IN	with
the	DT	the
help	NN	help
of	IN	of
many	JJ	many
of	IN	of
the	DT	the
people	NNS	people
in	IN	in
the	DT	the
room	NN	room
,	,	,
you	PP	you
get	VBP	get
to	TO	to
reshape	VB	reshape
organizations	NNS	organization
.	SENT	.
But	CC	but
in	IN	in
the	DT	the
end	NN	end
,	,	,
it	PP	it
'	POS	'
s	NN	S
really	RB	really
about	IN	about
using	VBG	use
artificial	JJ	artificial
intelligence	NN	intelligence
to	TO	to
create	VB	create
this	DT	this
real	JJ	real
momentum	NN	momentum
of	IN	of
decision	NN	decision
making	NN	making
and	CC	and
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
take	VB	take
such	PDT	such
an	DT	an
advantage	NN	advantage
over	IN	over
the	DT	the
competition	NN	competition
.	SENT	.
And	CC	and
we	PP	we
believe	VBP	believe
,	,	,
I	PP	I
believe	VBP	believe
,	,	,
that	IN	that
if	IN	if
you	PP	you
create	VBP	create
more	RBR	more
meaningful	JJ	meaningful
work	NN	work
and	CC	and
people	NNS	people
focus	VBP	focus
on	IN	on
insights	NNS	insight
and	CC	and
action	NN	action
and	CC	and
less	JJR	less
on	IN	on
Excel	NP	Excel
and	CC	and
PowerPoint	NP	PowerPoint
and	CC	and
Word	NP	Word
,	,	,
then	RB	then
there	EX	there
is	VBZ	be
a	DT	a
chance	NN	chance
that	IN	that
they	PP	they
enjoy	VBP	enjoy
their	PP$	their
work	NN	work
more	RBR	more
.	SENT	.
Now	RB	now
it	PP	it
may	MD	may
lead	VB	lead
to	TO	to
productivity	NN	productivity
gains	NNS	gain
,	,	,
it	PP	it
may	MD	may
lead	VB	lead
to	TO	to
efficiency	NN	efficiency
.	SENT	.
It	PP	it
may	MD	may
lead	VB	lead
to	TO	to
all	PDT	all
those	DT	those
things	NNS	thing
,	,	,
nobody	NN	nobody
'	POS	'
s	JJ	<unknown>
sort	NN	sort
of	IN	of
denying	VBG	deny
that	DT	that
.	SENT	.
But	CC	but
what	WP	what
I	PP	I
'	POS	'
ve	NN	ve
discovered	VBD	discover
so	RB	so
far	RB	far
is	VBZ	be
when	WRB	when
it	PP	it
does	VBZ	do
,	,	,
people	NNS	people
see	VBP	see
it	PP	it
quite	RB	quite
quickly	RB	quickly
and	CC	and
they	PP	they
put	VBD	put
their	PP$	their
hand	NN	hand
up	RP	up
to	TO	to
do	VB	do
something	NN	something
else	RB	else
,	,	,
or	CC	or
to	TO	to
focus	VB	focus
more	JJR	more
on	IN	on
insights	NNS	insight
than	IN	than
.	SENT	.
.	SENT	.
.	SENT	.
data	NNS	datum
crunching	VBG	crunch
and	CC	and
aggregation	NN	aggregation
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
I	PP	I
'	POS	'
m	NN	m
old	JJ	old
enough	RB	enough
to	TO	to
remember	VB	remember
when	WRB	when
the	DT	the
internet	NN	Internet
was	VBD	be
launched	VBN	launch
,	,	,
you	PP	you
know	VBP	know
,	,	,
commercially	RB	commercially
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	JJ	<unknown>
sort	NN	sort
of	IN	of
similar	JJ	similar
arguments	NNS	argument
,	,	,
even	RB	even
when	WRB	when
the	DT	the
cell	NN	cell
phone	NN	phone
was	VBD	be
launched	VBN	launch
.	SENT	.
"	``	"
Be	VB	be
careful	JJ	careful
.	SENT	.
"	''	"
But	CC	but
the	DT	the
truth	NN	truth
is	VBZ	be
,	,	,
they	PP	they
made	VBD	make
all	PDT	all
our	PP$	our
lives	NNS	life
better	RBR	well
.	SENT	.
The	DT	the
use	NN	use
cases	NNS	case
are	VBP	be
coming	VBG	come
.	SENT	.
But	CC	but
I	PP	I
think	VBP	think
we	PP	we
'	''	'
re	IN	re
starting	VBG	start
to	TO	to
understand	VB	understand
now	RB	now
how	WRB	how
much	JJ	much
this	DT	this
is	VBZ	be
going	VBG	go
to	TO	to
change	VB	change
everybody	NN	everybody
'	POS	'
s	NN	S
lives	NNS	life
.	SENT	.
LL	NP	LL
:	:	:
So	RB	so
who	WP	who
is	VBZ	be
leading	VBG	lead
this	DT	this
in	IN	in
the	DT	the
organization	NN	organization
?	SENT	?
Is	VBZ	be
it	PP	it
a	DT	a
new	JJ	new
generation	NN	generation
?	SENT	?
Is	VBZ	be
it	PP	it
specially	RB	specially
appointed	VBD	appoint
people	NNS	people
?	SENT	?
Where	WRB	where
'	POS	'
s	NNS	<unknown>
the	DT	the
leadership	NN	leadership
coming	VBG	come
from	IN	from
?	SENT	?
PH	NN	PH
:	:	:
It	PP	it
'	POS	'
s	NN	S
an	DT	an
excellent	JJ	excellent
question	NN	question
because	IN	because
maybe	RB	maybe
I	NP	I
'	POS	'
m	NN	m
the	DT	the
last	JJ	last
of	IN	of
the	DT	the
great	JJ	great
dinosaur	NN	dinosaur
CEOs	NNS	CEO
who	WP	who
got	VBD	get
to	TO	to
the	DT	the
top	NN	top
by	IN	by
doing	VBG	do
sort	NN	sort
of	IN	of
every	DT	every
job	NN	job
.	SENT	.
I	PP	I
ran	VBD	run
Japan	NP	Japan
,	,	,
I	PP	I
ran	VBD	run
North	NP	North
America	NP	America
,	,	,
you	PP	you
know	VBP	know
,	,	,
I	PP	I
was	VBD	be
in	IN	in
global	JJ	global
marketing	NN	marketing
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
I	PP	I
'	POS	'
ve	RB	<unknown>
done	VBN	do
all	PDT	all
the	DT	the
tasks	NNS	task
,	,	,
to	TO	to
get	VB	get
to	TO	to
the	DT	the
top	NN	top
,	,	,
and	CC	and
then	RB	then
I	NP	I
'	POS	'
ve	JJ	<unknown>
sort	NN	sort
of	IN	of
seen	VBN	see
everything	NN	everything
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
can	MD	can
be	VB	be
involved	VBN	involve
in	IN	in
every	DT	every
discussion	NN	discussion
.	SENT	.
And	CC	and
now	RB	now
the	DT	the
younger	JJR	young
talent	NN	talent
are	VBP	be
saying	VBG	say
,	,	,
"	''	"
You	PP	you
didn	NNS	<unknown>
'	POS	'
t	NN	t
see	VBP	see
AI	VBP	ai
,	,	,
old	JJ	old
man	NN	man
.	SENT	.
"	''	"
So	RB	so
,	,	,
you	PP	you
know	VBP	know
,	,	,
"	``	"
I	PP	I
have	VBP	have
a	DT	a
better	JJR	good
insight	NN	insight
than	IN	than
you	PP	you
do	VBP	do
.	SENT	.
"	''	"
And	CC	and
"	``	"
Oh	UH	oh
,	,	,
and	CC	and
by	IN	by
the	DT	the
way	NN	way
,	,	,
I	PP	I
'	POS	'
m	NN	m
not	RB	not
just	RB	just
going	VBG	go
to	TO	to
push	VB	push
it	PP	it
up	RP	up
to	TO	to
my	PP$	my
boss	NN	boss
,	,	,
I	PP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
tell	VB	tell
you	PP	you
myself	PP	myself
.	SENT	.
"	''	"
LL	NP	LL
:	:	:
Right	NN	right
.	SENT	.
PH	NN	PH
:	:	:
So	RB	so
the	DT	the
younger	JJR	young
talent	NN	talent
,	,	,
justifiably	RB	justifiably
is	VBZ	be
saying	VBG	say
,	,	,
"	''	"
Hey	NP	Hey
,	,	,
"	``	"
you	PP	you
know	VBP	know
,	,	,
"	``	"
I	PP	I
don	VBP	don
'	''	'
t	NN	t
need	VBP	need
to	TO	to
have	VB	have
my	PP$	my
work	NN	work
shared	VBD	share
upwards	RB	upwards
by	IN	by
a	DT	a
bunch	NN	bunch
of	IN	of
guys	NNS	guy
who	WP	who
are	VBP	be
all	RB	all
sitting	VBG	sit
there	RB	there
going	VBG	go
,	,	,
'	''	'
What	WP	what
do	VBP	do
you	PP	you
think	VBP	think
?	SENT	?
'	''	'
and	CC	and
none	NN	none
of	IN	of
them	PP	them
actually	RB	actually
know	VBP	know
.	SENT	.
"	''	"
And	CC	and
so	RB	so
we	PP	we
invert	VBP	invert
the	DT	the
pyramid	NN	pyramid
.	SENT	.
We	PP	we
have	VBP	have
to	TO	to
have	VB	have
different	JJ	different
people	NNS	people
with	IN	with
two	CD	two
,	,	,
three	CD	three
,	,	,
four	CD	four
years	NNS	year
experience	NN	experience
in	IN	in
the	DT	the
room	NN	room
.	SENT	.
Because	IN	because
what	WP	what
do	VBP	do
we	PP	we
know	VBP	know
?	SENT	?
And	CC	and
that	WDT	that
'	POS	'
s	JJ	<unknown>
sort	NN	sort
of	IN	of
exciting	JJ	exciting
,	,	,
I	PP	I
think	VBP	think
,	,	,
really	RB	really
exciting	JJ	exciting
.	SENT	.
LL	NP	LL
:	:	:
So	RB	so
is	VBZ	be
AI	NN	ai
a	DT	a
unique	JJ	unique
disruptor	NN	disruptor
?	SENT	?
If	IN	if
we	PP	we
think	VBP	think
about	IN	about
some	DT	some
of	IN	of
the	DT	the
other	JJ	other
big	JJ	big
challenges	NNS	challenge
,	,	,
you	PP	you
know	VBP	know
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
to	TO	to
shift	VB	shift
the	DT	the
entire	JJ	entire
global	JJ	global
economy	NN	economy
to	TO	to
be	VB	be
sustainable	JJ	sustainable
,	,	,
for	IN	for
example	NN	example
.	SENT	.
Is	VBZ	be
that	IN	that
comparable	JJ	comparable
in	IN	in
terms	NNS	term
of	IN	of
complexity	NN	complexity
?	SENT	?
Maybe	RB	maybe
more	RBR	more
so	RB	so
?	SENT	?
How	WRB	how
do	VBP	do
you	PP	you
tackle	VB	tackle
that	DT	that
kind	NN	kind
of	IN	of
an	DT	an
issue	NN	issue
?	SENT	?
PH	NN	PH
:	:	:
I	PP	I
think	VBP	think
these	DT	these
are	VBP	be
the	DT	the
big	JJ	big
transformational	JJ	transformational
moments	NNS	moment
for	IN	for
society	NN	society
.	SENT	.
And	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
sustainability	NN	sustainability
is	VBZ	be
,	,	,
you	PP	you
know	VBP	know
,	,	,
for	IN	for
many	JJ	many
,	,	,
it	PP	it
was	VBD	be
carbon	NN	carbon
neutrality	NN	neutrality
,	,	,
then	RB	then
it	PP	it
was	VBD	be
net	JJ	net
zero	CD	zero
,	,	,
it	PP	it
was	VBD	be
go	JJ	go
to	TO	to
COP	VB	cop
28	CD	@card@
,	,	,
it	PP	it
was	VBD	be
put	VBN	put
a	DT	a
poster	NN	poster
by	IN	by
the	DT	the
elevator	NN	elevator
with	IN	with
the	DT	the
meaningful	JJ	meaningful
work	VB	work
you	PP	you
'	''	'
re	IN	re
doing	VBG	do
to	TO	to
show	VB	show
your	PP$	your
commitment	NN	commitment
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NN	S
really	RB	really
different	JJ	different
now	RB	now
.	SENT	.
I	PP	I
think	VBP	think
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
collective	JJ	collective
realization	NN	realization
,	,	,
certainly	RB	certainly
in	IN	in
healthcare	NN	<unknown>
,	,	,
that	WDT	that
we	PP	we
didn	NP	<unknown>
'	POS	'
t	NN	t
do	VBP	do
well	RB	well
enough	RB	enough
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
re	NN	re
a	DT	a
very	RB	very
purpose-driven	JJ	purpose-driven
organization	NN	organization
--	:	--
an	DT	an
industry	NN	industry
,	,	,
in	IN	in
fact	NN	fact
.	SENT	.
We	PP	we
do	VBP	do
health	NN	health
,	,	,
we	PP	we
transform	VBP	transform
the	DT	the
practice	NN	practice
of	IN	of
medicine	NN	medicine
,	,	,
we	PP	we
invent	VBP	invent
miracles	NNS	miracle
often	RB	often
.	SENT	.
And	CC	and
so	IN	so
it	PP	it
'	POS	'
s	NN	S
very	RB	very
easy	JJ	easy
to	TO	to
say	VB	say
,	,	,
look	VB	look
,	,	,
we	PP	we
'	POS	'
re	NN	re
very	RB	very
purpose-driven	JJ	purpose-driven
.	SENT	.
But	CC	but
it	PP	it
doesn	NP	<unknown>
'	POS	'
t	NN	t
abdicate	VBP	abdicate
the	DT	the
responsibility	NN	responsibility
of	IN	of
removing	VBG	remove
plastic	NN	plastic
from	IN	from
packaging	NN	packaging
of	IN	of
vaccines	NNS	vaccine
and	CC	and
medicines	NNS	medicine
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
ridiculous	JJ	ridiculous
to	TO	to
even	RB	even
think	VB	think
you	PP	you
wouldn	NN	<unknown>
'	POS	'
t	NN	t
have	VB	have
to	TO	to
.	SENT	.
Often	RB	often
it	PP	it
'	POS	'
s	NNS	<unknown>
harder	RBR	harder
with	IN	with
the	DT	the
regulator	NN	regulator
,	,	,
by	IN	by
the	DT	the
way	NN	way
,	,	,
to	TO	to
get	VB	get
that	IN	that
done	VBN	do
than	IN	than
with	IN	with
your	PP$	your
own	JJ	own
people	NNS	people
.	SENT	.
LL	NP	LL
:	:	:
So	IN	so
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
those	DT	those
kinds	NNS	kind
of	IN	of
projects	NNS	project
going	VBG	go
on	IN	on
,	,	,
have	VBP	have
you	PP	you
?	SENT	?
Can	MD	can
you	PP	you
give	VB	give
us	PP	us
an	DT	an
example	NN	example
?	SENT	?
PH	NN	PH
:	:	:
We	PP	we
have	VBP	have
to	TO	to
do	VB	do
it	PP	it
.	SENT	.
We	PP	we
have	VBP	have
to	TO	to
do	VB	do
it	PP	it
because	IN	because
,	,	,
you	PP	you
know	VBP	know
,	,	,
we	PP	we
have	VBP	have
this	DT	this
sort	NN	sort
of	IN	of
approach	NN	approach
of	IN	of
what	WP	what
can	MD	can
we	PP	we
do	VB	do
that	IN	that
if	IN	if
we	PP	we
don	NN	don
'	POS	'
t	NN	t
do	VBP	do
,	,	,
it	PP	it
won	VBD	win
'	''	'
t	NN	t
happen	VB	happen
?	SENT	?
And	CC	and
that	WDT	that
'	POS	'
s	JJ	<unknown>
sort	NN	sort
of	IN	of
our	PP$	our
philosophy	NN	philosophy
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
in	IN	in
healthcare	NN	<unknown>
,	,	,
it	PP	it
'	POS	'
s	NN	S
a	DT	a
good	JJ	good
example	NN	example
,	,	,
you	PP	you
know	VBP	know
,	,	,
delivery	NN	delivery
of	IN	of
healthcare	NN	<unknown>
creates	VBZ	create
more	JJR	more
carbon	NN	carbon
than	IN	than
the	DT	the
airline	NN	airline
industry	NN	industry
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	JJ	<unknown>
half	NN	half
of	IN	of
that	WDT	that
,	,	,
let	VBN	let
'	POS	'
s	NNS	<unknown>
say	VBP	say
five	CD	five
percent	NN	percent
.	SENT	.
Half	DT	half
of	IN	of
that	WDT	that
is	VBZ	be
making	VBG	make
drugs	NNS	drug
,	,	,
shipping	VBG	ship
them	PP	them
,	,	,
doing	VBG	do
different	JJ	different
things	NNS	thing
.	SENT	.
The	DT	the
other	JJ	other
half	NN	half
is	VBZ	be
people	NNS	people
driving	VBG	drive
to	TO	to
hospitals	NNS	hospital
for	IN	for
an	DT	an
appointment	NN	appointment
in	IN	in
an	DT	an
overheated	VBN	overheat
,	,	,
overcooled	JJ	<unknown>
healthcare	NN	<unknown>
