Once	RB	once
building	VBG	build
on	IN	on
the	DT	the
invention	NN	invention
of	IN	of
the	DT	the
first	JJ	first
one	CD	one
—	:	-
came	VBD	come
up	RP	up
with	IN	with
a	DT	a
second	JJ	second
cure	NN	cure
.	SENT	.
And	CC	and
the	DT	the
beauty	NN	beauty
of	IN	of
the	DT	the
second	JJ	second
cure	NN	cure
for	IN	for
this	DT	this
disease	NN	disease
was	VBD	be
that	IN	that
it	PP	it
could	MD	could
be	VB	be
used	VBN	use
on	IN	on
infants	NNS	infant
and	CC	and
one-year-olds	NNS	<unknown>
.	SENT	.
And	CC	and
the	DT	the
problem	NN	problem
with	IN	with
this	DT	this
cure	NN	cure
was	VBD	be
it	PP	it
was	VBD	be
very	RB	very
expensive	JJ	expensive
,	,	,
and	CC	and
it	PP	it
was	VBD	be
very	RB	very
complicated	VBN	complicate
to	TO	to
use	VB	use
.	SENT	.
And	CC	and
although	IN	although
parents	NNS	parent
tried	VBN	try
as	IN	as
hard	JJ	hard
as	IN	as
they	PP	they
could	MD	could
to	TO	to
use	VB	use
it	PP	it
properly	RB	properly
,	,	,
almost	RB	almost
all	RB	all
of	IN	of
them	PP	them
ended	VBD	end
up	RP	up
using	VBG	use
it	PP	it
wrong	JJ	wrong
in	IN	in
the	DT	the
end	NN	end
.	SENT	.
But	CC	but
what	WP	what
they	PP	they
did	VBD	do
,	,	,
of	IN	of
course	NN	course
,	,	,
since	IN	since
it	PP	it
was	VBD	be
so	RB	so
complicated	JJ	complicated
and	CC	and
expensive	JJ	expensive
,	,	,
they	PP	they
only	RB	only
used	VBD	use
it	PP	it
on	IN	on
the	DT	the
zero-year-olds	NN	<unknown>
and	CC	and
the	DT	the
one-year-olds	NNS	<unknown>
.	SENT	.
And	CC	and
they	PP	they
kept	VBD	keep
on	IN	on
using	VBG	use
the	DT	the
existing	JJ	existing
cure	NN	cure
that	IN	that
they	PP	they
had	VBD	have
on	IN	on
the	DT	the
two-year-olds	NNS	two-year-old
and	CC	and
up	RB	up
.	SENT	.
And	CC	and
this	DT	this
went	VBD	go
on	IN	on
for	IN	for
quite	PDT	quite
some	DT	some
time	NN	time
.	SENT	.
People	NNS	people
were	VBD	be
happy	JJ	happy
.	SENT	.
They	PP	they
had	VBD	have
their	PP$	their
two	CD	two
cures	NNS	cure
.	SENT	.
Until	IN	until
a	DT	a
particular	JJ	particular
mother	NN	mother
,	,	,
whose	WP$	whose
child	NN	child
had	VBD	have
just	RB	just
turned	VBN	turn
two	CD	two
,	,	,
died	VBN	die
of	IN	of
this	DT	this
disease	NN	disease
.	SENT	.
And	CC	and
she	PP	she
thought	VBD	think
to	TO	to
herself	PP	herself
,	,	,
"	``	"
My	PP$	my
child	NN	child
just	RB	just
turned	VBD	turn
two	CD	two
,	,	,
and	CC	and
until	IN	until
the	DT	the
child	NN	child
turned	VBD	turn
two	CD	two
,	,	,
I	PP	I
had	VBD	have
always	RB	always
used	VBN	use
this	DT	this
complicated	JJ	complicated
,	,	,
expensive	JJ	expensive
cure	NN	cure
,	,	,
you	PP	you
know	VBP	know
,	,	,
this	DT	this
treatment	NN	treatment
.	SENT	.
And	CC	and
then	RB	then
the	DT	the
child	NN	child
turned	VBD	turn
two	CD	two
,	,	,
and	CC	and
I	PP	I
started	VBD	start
using	VBG	use
the	DT	the
cheap	JJ	cheap
and	CC	and
easy	JJ	easy
treatment	NN	treatment
,	,	,
and	CC	and
I	PP	I
wonder	VBP	wonder
"	''	"
—	:	-
and	CC	and
she	PP	she
wondered	VBD	wonder
,	,	,
like	IN	like
all	DT	all
parents	NNS	parent
who	WP	who
lose	VBP	lose
children	NNS	child
wonder	VBP	wonder
—	:	-
"	``	"
if	IN	if
there	EX	there
isn	NP	isn
'	POS	'
t	NN	t
something	NN	something
that	IN	that
I	PP	I
could	MD	could
have	VB	have
done	VBN	do
,	,	,
like	VB	like
keep	VB	keep
on	IN	on
using	VBG	use
that	DT	that
complicated	JJ	complicated
,	,	,
expensive	JJ	expensive
cure	NN	cure
.	SENT	.
"	``	"
And	CC	and
she	PP	she
told	VBD	tell
all	PDT	all
the	DT	the
other	JJ	other
people	NNS	people
,	,	,
and	CC	and
she	PP	she
said	VBD	say
,	,	,
"	``	"
How	WRB	how
could	MD	could
it	PP	it
possibly	RB	possibly
be	VB	be
that	DT	that
something	NN	something
that	RB	that
'	POS	'
s	JJ	<unknown>
cheap	JJ	cheap
and	CC	and
simple	JJ	simple
works	NNS	work
as	RB	as
well	RB	well
as	IN	as
something	NN	something
that	RB	that
'	POS	'
s	JJ	<unknown>
complicated	JJ	complicated
and	CC	and
expensive	JJ	expensive
?	SENT	?
"	''	"
And	CC	and
the	DT	the
people	NNS	people
thought	VBD	think
,	,	,
"	``	"
You	PP	you
know	VBP	know
,	,	,
you	PP	you
'	POS	'
re	NN	re
right	NN	right
.	SENT	.
It	PP	it
probably	RB	probably
is	VBZ	be
the	DT	the
wrong	JJ	wrong
thing	NN	thing
to	TO	to
do	VB	do
to	TO	to
switch	VB	switch
and	CC	and
use	VB	use
the	DT	the
cheap	JJ	cheap
and	CC	and
simple	JJ	simple
solution	NN	solution
.	SENT	.
"	''	"
And	CC	and
the	DT	the
government	NN	government
,	,	,
they	PP	they
heard	VBD	hear
her	PP$	her
story	NN	story
and	CC	and
the	DT	the
other	JJ	other
people	NNS	people
,	,	,
and	CC	and
they	PP	they
said	VBD	say
,	,	,
"	``	"
Yeah	RB	yeah
,	,	,
you	PP	you
'	POS	'
re	NN	re
right	NN	right
,	,	,
we	PP	we
should	MD	should
make	VB	make
a	DT	a
law	NN	law
.	SENT	.
We	PP	we
should	MD	should
outlaw	VB	outlaw
this	DT	this
cheap	JJ	cheap
and	CC	and
simple	JJ	simple
treatment	NN	treatment
and	CC	and
not	RB	not
let	VB	let
anybody	NN	anybody
use	VB	use
this	DT	this
on	IN	on
their	PP$	their
children	NNS	child
.	SENT	.
"	''	"
And	CC	and
the	DT	the
people	NNS	people
were	VBD	be
happy	JJ	happy
.	SENT	.
They	PP	they
were	VBD	be
satisfied	VBN	satisfy
.	SENT	.
For	IN	for
many	JJ	many
years	NNS	year
this	DT	this
went	VBD	go
along	RP	along
,	,	,
and	CC	and
everything	NN	everything
was	VBD	be
fine	JJ	fine
.	SENT	.
But	CC	but
then	RB	then
along	RB	along
came	VBD	come
a	DT	a
lowly	JJ	lowly
economist	NN	economist
,	,	,
who	WP	who
had	VBD	have
children	NNS	child
himself	PP	himself
,	,	,
and	CC	and
he	PP	he
used	VBD	use
the	DT	the
expensive	JJ	expensive
and	CC	and
complicated	JJ	complicated
treatment	NN	treatment
.	SENT	.
But	CC	but
he	PP	he
knew	VBD	know
about	IN	about
the	DT	the
cheap	JJ	cheap
and	CC	and
simple	JJ	simple
one	CD	one
.	SENT	.
And	CC	and
he	PP	he
thought	VBD	think
about	IN	about
it	PP	it
,	,	,
and	CC	and
the	DT	the
expensive	JJ	expensive
one	CD	one
didn	NNS	<unknown>
'	POS	'
t	NN	t
seem	VBP	seem
that	IN	that
great	JJ	great
to	TO	to
him	PP	him
.	SENT	.
So	RB	so
he	PP	he
thought	VBD	think
,	,	,
"	``	"
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
anything	NN	anything
about	IN	about
science	NN	science
,	,	,
but	CC	but
I	PP	I
do	VBP	do
know	VB	know
something	NN	something
about	IN	about
data	NNS	datum
,	,	,
so	RB	so
maybe	RB	maybe
I	PP	I
should	MD	should
go	VB	go
and	CC	and
look	VB	look
at	IN	at
the	DT	the
data	NNS	datum
and	CC	and
see	VB	see
whether	IN	whether
this	DT	this
expensive	JJ	expensive
and	CC	and
complicated	JJ	complicated
treatment	NN	treatment
actually	RB	actually
works	VBZ	work
any	DT	any
better	JJR	good
than	IN	than
the	DT	the
cheap	JJ	cheap
and	CC	and
simple	JJ	simple
one	CD	one
.	SENT	.
"	''	"
And	CC	and
lo	NN	lo
and	CC	and
behold	VB	behold
,	,	,
when	WRB	when
he	PP	he
went	VBD	go
through	IN	through
the	DT	the
data	NNS	datum
,	,	,
he	PP	he
found	VBD	find
that	IN	that
it	PP	it
didn	NNS	<unknown>
'	POS	'
t	NN	t
look	NN	look
like	IN	like
the	DT	the
expensive	JJ	expensive
,	,	,
complicated	JJ	complicated
solution	NN	solution
was	VBD	be
any	RB	any
better	JJR	good
than	IN	than
the	DT	the
cheap	JJ	cheap
one	CD	one
,	,	,
at	IN	at
least	JJS	least
for	IN	for
the	DT	the
children	NNS	child
who	WP	who
were	VBD	be
two	CD	two
and	CC	and
older	JJR	old
—	:	-
the	DT	the
cheap	JJ	cheap
one	CD	one
still	RB	still
didn	NP	<unknown>
'	POS	'
t	NN	t
work	NN	work
on	IN	on
the	DT	the
kids	NNS	kid
who	WP	who
were	VBD	be
younger	JJR	young
.	SENT	.
And	CC	and
so	RB	so
,	,	,
he	PP	he
went	VBD	go
forth	RB	forth
to	TO	to
the	DT	the
people	NNS	people
and	CC	and
he	PP	he
said	VBD	say
,	,	,
"	``	"
I	PP	I
'	POS	'
ve	NN	ve
made	VBD	make
this	DT	this
wonderful	JJ	wonderful
finding	NN	finding
:	:	:
it	PP	it
looks	VBZ	look
as	RB	as
if	IN	if
we	PP	we
could	MD	could
just	RB	just
use	VB	use
the	DT	the
cheap	JJ	cheap
and	CC	and
simple	JJ	simple
solution	NN	solution
,	,	,
and	CC	and
by	IN	by
doing	VBG	do
so	IN	so
we	PP	we
could	MD	could
save	VB	save
ourselves	PP	ourselves
300	CD	@card@
million	CD	million
dollars	NNS	dollar
a	DT	a
year	NN	year
,	,	,
and	CC	and
we	PP	we
could	MD	could
spend	VB	spend
that	IN	that
on	IN	on
our	PP$	our
children	NNS	child
in	IN	in
other	JJ	other
ways	NNS	way
.	SENT	.
"	''	"
And	CC	and
the	DT	the
parents	NNS	parent
were	VBD	be
very	RB	very
unhappy	JJ	unhappy
,	,	,
and	CC	and
they	PP	they
said	VBD	say
,	,	,
"	``	"
This	DT	this
is	VBZ	be
a	DT	a
terrible	JJ	terrible
thing	NN	thing
,	,	,
because	IN	because
how	WRB	how
can	MD	can
the	DT	the
cheap	JJ	cheap
and	CC	and
easy	JJ	easy
thing	NN	thing
be	VB	be
as	RB	as
good	JJ	good
as	IN	as
the	DT	the
hard	JJ	hard
thing	NN	thing
?	SENT	?
"	''	"
And	CC	and
the	DT	the
government	NN	government
was	VBD	be
very	RB	very
upset	VBN	upset
.	SENT	.
And	CC	and
in	IN	in
particular	JJ	particular
,	,	,
the	DT	the
people	NNS	people
who	WP	who
made	VBD	make
this	DT	this
expensive	JJ	expensive
solution	NN	solution
were	VBD	be
very	RB	very
upset	VBN	upset
because	IN	because
they	PP	they
thought	VBD	think
,	,	,
"	``	"
How	WRB	how
can	MD	can
we	PP	we
hope	VBP	hope
to	TO	to
compete	VB	compete
with	IN	with
something	NN	something
that	RB	that
'	POS	'
s	NN	S
essentially	RB	essentially
free	JJ	free
?	SENT	?
We	PP	we
would	MD	would
lose	VB	lose
all	DT	all
of	IN	of
our	PP$	our
market	NN	market
.	SENT	.
"	''	"
And	CC	and
people	NNS	people
were	VBD	be
very	RB	very
angry	JJ	angry
,	,	,
and	CC	and
they	PP	they
called	VBD	call
him	PP	him
horrible	JJ	horrible
names	NNS	name
.	SENT	.
And	CC	and
he	PP	he
decided	VBD	decide
that	IN	that
maybe	RB	maybe
he	PP	he
should	MD	should
leave	VB	leave
the	DT	the
country	NN	country
for	IN	for
a	DT	a
few	JJ	few
days	NNS	day
,	,	,
and	CC	and
seek	VB	seek
out	RP	out
some	DT	some
more	RBR	more
intelligent	JJ	intelligent
,	,	,
open-minded	JJ	open-minded
people	NNS	people
in	IN	in
a	DT	a
place	NN	place
called	VBN	call
Oxford	NP	Oxford
,	,	,
and	CC	and
come	VB	come
and	CC	and
try	VB	try
and	CC	and
tell	VB	tell
the	DT	the
story	NN	story
at	IN	at
that	DT	that
place	NN	place
.	SENT	.
And	CC	and
so	RB	so
,	,	,
anyway	RB	anyway
,	,	,
here	RB	here
I	PP	I
am	VBP	be
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
a	DT	a
fairy	JJ	fairy
tale	NN	tale
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
true	JJ	true
story	NN	story
about	IN	about
the	DT	the
United	NP	United
States	NPS	States
today	NN	today
,	,	,
and	CC	and
the	DT	the
disease	NN	disease
I	PP	I
'	POS	'
m	NN	m
referring	VBG	refer
to	TO	to
is	VBZ	be
actually	RB	actually
motor	JJ	motor
vehicle	NN	vehicle
accidents	NNS	accident
for	IN	for
children	NNS	child
.	SENT	.
And	CC	and
the	DT	the
free	JJ	free
cure	NN	cure
is	VBZ	be
adult	JJ	adult
seatbelts	NNS	seatbelt
,	,	,
and	CC	and
the	DT	the
expensive	JJ	expensive
cure	NN	cure
—	:	-
the	DT	the
300-million-dollar-a-year	JJ	<unknown>
cure	NN	cure
—	:	-
is	VBZ	be
child	NN	child
car	NN	car
seats	NNS	seat
.	SENT	.
And	CC	and
what	WP	what
I	PP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
talk	VB	talk
to	TO	to
you	PP	you
about	IN	about
today	NN	today
is	VBZ	be
some	DT	some
of	IN	of
the	DT	the
evidence	NN	evidence
why	WRB	why
I	PP	I
believe	VBP	believe
this	DT	this
to	TO	to
be	VB	be
true	JJ	true
:	:	:
that	WDT	that
for	IN	for
children	NNS	child
two	CD	two
years	NNS	year
old	JJ	old
and	CC	and
up	RB	up
,	,	,
there	EX	there
really	RB	really
is	VBZ	be
no	DT	no
real	JJ	real
benefit	NN	benefit
—	:	-
proven	JJ	proven
benefit	NN	benefit
—	:	-
of	IN	of
car	NN	car
seats	NNS	seat
,	,	,
in	IN	in
spite	NN	spite
of	IN	of
the	DT	the
incredible	JJ	incredible
energy	NN	energy
that	WDT	that
has	VBZ	have
been	VBN	be
devoted	VBN	devote
toward	IN	toward
expanding	VBG	expand
the	DT	the
laws	NNS	law
and	CC	and
making	VBG	make
it	PP	it
socially	RB	socially
unacceptable	JJ	unacceptable
to	TO	to
put	VB	put
your	PP$	your
children	NNS	child
into	IN	into
seatbelts	NNS	seatbelt
.	SENT	.
And	CC	and
then	RB	then
talk	VB	talk
about	RB	about
why	RB	why
—	:	-
what	WP	what
is	VBZ	be
it	PP	it
that	DT	that
makes	VBZ	make
that	IN	that
true	JJ	true
?	SENT	?
And	CC	and
then	RB	then
,	,	,
finally	RB	finally
talk	VB	talk
a	DT	a
little	JJ	little
bit	NN	bit
about	IN	about
a	DT	a
third	JJ	third
way	NN	way
,	,	,
about	IN	about
another	DT	another
technology	NN	technology
,	,	,
which	WDT	which
is	VBZ	be
probably	RB	probably
better	JJR	good
than	IN	than
anything	NN	anything
we	PP	we
have	VBP	have
,	,	,
but	CC	but
which	WDT	which
—	:	-
there	RB	there
hasn	NP	<unknown>
'	POS	'
t	NN	t
been	VBN	be
any	DT	any
enthusiasm	NN	enthusiasm
for	IN	for
adoption	NN	adoption
precisely	RB	precisely
because	IN	because
people	NNS	people
are	VBP	be
so	RB	so
enamored	VBN	enamor
with	IN	with
the	DT	the
current	JJ	current
car	NN	car
seat	NN	seat
solution	NN	solution
.	SENT	.
OK	UH	OK
.	SENT	.
So	RB	so
,	,	,
many	JJ	many
times	NNS	time
when	WRB	when
you	PP	you
try	VBP	try
to	TO	to
do	VB	do
research	NN	research
on	IN	on
data	NNS	datum
,	,	,
it	PP	it
records	VBZ	record
complicated	JJ	complicated
stories	NNS	story
—	:	-
it	PP	it
'	POS	'
s	NN	S
hard	JJ	hard
to	TO	to
find	VB	find
in	IN	in
the	DT	the
data	NNS	datum
.	SENT	.
It	PP	it
doesn	NP	<unknown>
'	POS	'
t	NN	t
turn	VB	turn
out	RP	out
to	TO	to
be	VB	be
the	DT	the
case	NN	case
when	WRB	when
you	PP	you
look	VBP	look
at	IN	at
seatbelts	NNS	seatbelt
versus	CC	versus
car	NN	car
seats	NNS	seat
.	SENT	.
So	IN	so
the	DT	the
United	NP	United
States	NPS	States
keeps	VBZ	keep
a	DT	a
data	NNS	datum
set	VBN	set
of	IN	of
every	DT	every
fatal	JJ	fatal
accident	NN	accident
that	RB	that
'	POS	'
s	NN	S
happened	VBD	happen
since	IN	since
1975	CD	@card@
.	SENT	.
So	RB	so
in	IN	in
every	DT	every
car	NN	car
crash	NN	crash
in	IN	in
which	WDT	which
at	IN	at
least	JJS	least
one	CD	one
person	NN	person
dies	VBZ	die
,	,	,
they	PP	they
have	VBP	have
information	NN	information
on	IN	on
all	DT	all
of	IN	of
the	DT	the
people	NNS	people
.	SENT	.
So	RB	so
if	IN	if
you	PP	you
look	VBP	look
at	IN	at
that	DT	that
data	NNS	datum
—	:	-
it	PP	it
'	POS	'
s	NN	S
right	RB	right
up	RB	up
on	IN	on
the	DT	the
National	NP	National
Highway	NP	Highway
Transportation	NP	Transportation
Safety	NP	Safety
Administration	NP	Administration
'	POS	'
s	NN	S
website	NN	website
—	:	-
you	PP	you
can	MD	can
just	RB	just
look	VB	look
at	IN	at
the	DT	the
raw	JJ	raw
data	NNS	datum
,	,	,
and	CC	and
begin	VB	begin
to	TO	to
get	VB	get
a	DT	a
sense	NN	sense
of	IN	of
the	DT	the
limited	JJ	limited
amount	NN	amount
of	IN	of
evidence	NN	evidence
that	RB	that
'	POS	'
s	NN	S
in	IN	in
favor	NN	favor
of	IN	of
car	NN	car
seats	NNS	seat
for	IN	for
children	NNS	child
aged	VBN	age
two	CD	two
and	CC	and
up	RB	up
.	SENT	.
So	RB	so
,	,	,
here	RB	here
is	VBZ	be
the	DT	the
data	NN	data
.	SENT	.
Here	RB	here
I	PP	I
have	VBP	have
,	,	,
among	IN	among
two-	NN	two-
to	TO	to
six-year-olds	NNS	six-year-old
—	:	-
anyone	NN	anyone
above	IN	above
six	CD	six
,	,	,
basically	RB	basically
no	DT	no
one	CD	one
uses	VBZ	use
car	NN	car
seats	NNS	seat
,	,	,
so	RB	so
you	PP	you
can	MD	can
'	''	'
t	NN	t
compare	VBP	compare
—	:	-
29	LS	@card@
.	SENT	.
3	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
children	NNS	child
who	WP	who
are	VBP	be
unrestrained	JJ	unrestrained
in	IN	in
a	DT	a
crash	NN	crash
in	IN	in
which	WDT	which
at	IN	at
least	JJS	least
one	CD	one
person	NN	person
dies	VBZ	die
,	,	,
themselves	PP	themselves
die	VBP	die
.	SENT	.
If	IN	if
you	PP	you
put	VBD	put
a	DT	a
child	NN	child
in	IN	in
a	DT	a
car	NN	car
seat	NN	seat
,	,	,
18	CD	@card@
.	SENT	.
2	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
children	NNS	child
die	VBP	die
.	SENT	.
If	IN	if
they	PP	they
'	POS	'
re	NN	re
wearing	VBG	wear
a	DT	a
lap-and-shoulder	NN	lap-and-shoulder
belt	NN	belt
,	,	,
in	IN	in
this	DT	this
raw	JJ	raw
data	NNS	datum
,	,	,
19	CD	@card@
.	SENT	.
4	CD	@card@
percent	NN	percent
die	NN	die
.	SENT	.
And	CC	and
interestingly	RB	interestingly
,	,	,
wearing	VBG	wear
a	DT	a
lap-only	JJ	<unknown>
seatbelt	NN	seatbelt
,	,	,
16	CD	@card@
.	SENT	.
7	CD	@card@
percent	NN	percent
die	NN	die
.	SENT	.
And	CC	and
actually	RB	actually
,	,	,
the	DT	the
theory	NN	theory
tells	VBZ	tell
you	PP	you
that	IN	that
the	DT	the
lap-only	JJ	<unknown>
seatbelt	NN	seatbelt
'	POS	'
s	NN	S
got	VBD	get
to	TO	to
be	VB	be
worse	JJR	bad
than	IN	than
the	DT	the
lap-and-	NN	<unknown>
shoulder	NN	shoulder
belt	NN	belt
.	SENT	.
And	CC	and
that	WDT	that
just	RB	just
reminds	VBZ	remind
you	PP	you
that	IN	that
when	WRB	when
you	PP	you
deal	VBP	deal
with	IN	with
raw	JJ	raw
data	NNS	datum
,	,	,
there	EX	there
are	VBP	be
hundreds	NNS	hundred
of	IN	of
confounding	VBG	confound
variables	NNS	variable
that	WDT	that
may	MD	may
be	VB	be
getting	VBG	get
in	IN	in
the	DT	the
way	NN	way
.	SENT	.
So	RB	so
what	WP	what
we	PP	we
do	VBP	do
in	IN	in
the	DT	the
study	NN	study
is	VBZ	be
—	:	-
and	CC	and
this	DT	this
is	VBZ	be
just	RB	just
presenting	VBG	present
the	DT	the
same	JJ	same
information	NN	information
,	,	,
but	CC	but
turned	VBD	turn
into	IN	into
a	DT	a
figure	NN	figure
to	TO	to
make	VB	make
it	PP	it
easier	JJR	easy
.	SENT	.
So	IN	so
the	DT	the
yellow	JJ	yellow
bar	NN	bar
represents	VBZ	represent
car	NN	car
seats	NNS	seat
,	,	,
the	DT	the
orange	JJ	orange
bar	NN	bar
lap-and-shoulder	NN	lap-and-shoulder
,	,	,
and	CC	and
the	DT	the
red	JJ	red
bar	NN	bar
lap-only	NN	<unknown>
seatbelts	NNS	seatbelt
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
all	RB	all
relative	JJ	relative
to	TO	to
unrestrained	JJ	unrestrained
—	:	-
the	DT	the
bigger	JJR	big
the	DT	the
bar	NN	bar
,	,	,
the	DT	the
better	RBR	well
.	SENT	.
Okay	JJ	okay
.	SENT	.
So	RB	so
,	,	,
this	DT	this
is	VBZ	be
the	DT	the
data	NN	data
I	PP	I
just	RB	just
showed	VBD	show
,	,	,
OK	UH	OK
?	SENT	?
So	IN	so
the	DT	the
highest	JJS	high
bar	NN	bar
is	VBZ	be
what	WP	what
you	PP	you
'	POS	'
re	NN	re
striving	VBG	strive
to	TO	to
beat	VB	beat
.	SENT	.
So	RB	so
you	PP	you
can	MD	can
control	VB	control
for	IN	for
the	DT	the
basic	JJ	basic
things	NNS	thing
,	,	,
like	IN	like
how	WRB	how
hard	JJ	hard
the	DT	the
crash	NN	crash
was	VBD	be
,	,	,
what	WP	what
seat	VBP	seat
the	DT	the
child	NN	child
was	VBD	be
sitting	VBG	sit
in	IN	in
,	,	,
etc	FW	etc
.	SENT	.
,	,	,
the	DT	the
age	NN	age
of	IN	of
the	DT	the
child	NN	child
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
that	IN	that
middle	JJ	middle
set	NN	set
of	IN	of
bars	NNS	bar
.	SENT	.
And	CC	and
so	RB	so
,	,	,
you	PP	you
can	MD	can
see	VB	see
that	IN	that
the	DT	the
lap-	JJ	<unknown>
only	JJ	only
seatbelts	NNS	seatbelt
start	VBP	start
to	TO	to
look	VB	look
worse	JJR	bad
once	IN	once
you	PP	you
do	VBP	do
that	RB	that
.	SENT	.
And	CC	and
then	RB	then
finally	RB	finally
,	,	,
the	DT	the
last	JJ	last
set	NN	set
of	IN	of
bars	NNS	bar
,	,	,
which	WDT	which
are	VBP	be
really	RB	really
controlling	VBG	control
for	IN	for
everything	NN	everything
you	PP	you
could	MD	could
possibly	RB	possibly
imagine	VB	imagine
about	IN	about
the	DT	the
crash	NN	crash
,	,	,
50	CD	@card@
,	,	,
75	CD	@card@
,	,	,
100	CD	@card@
different	JJ	different
characteristics	NNS	characteristic
of	IN	of
the	DT	the
crash	NN	crash
.	SENT	.
And	CC	and
what	WP	what
you	PP	you
find	VBP	find
is	VBZ	be
that	IN	that
the	DT	the
car	NN	car
seats	NNS	seat
and	CC	and
the	DT	the
lap-and-shoulder	NN	lap-and-shoulder
belts	NNS	belt
,	,	,
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
saving	VBG	save
lives	NNS	life
,	,	,
fatalities	NNS	fatality
look	VBP	look
exactly	RB	exactly
identical	JJ	identical
.	SENT	.
And	CC	and
the	DT	the
standard	JJ	standard
error	NN	error
bands	NNS	band
are	VBP	be
relatively	RB	relatively
small	JJ	small
around	IN	around
these	DT	these
estimates	NNS	estimate
as	RB	as
well	RB	well
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
just	RB	just
overall	JJ	overall
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
very	RB	very
robust	JJ	robust
to	TO	to
anything	NN	anything
you	PP	you
want	VBP	want
to	TO	to
look	VB	look
at	IN	at
.	SENT	.
One	CD	one
thing	NN	thing
that	RB	that
'	POS	'
s	NNS	<unknown>
interesting	JJ	interesting
:	:	:
if	IN	if
you	PP	you
look	VBP	look
at	IN	at
frontal-impact	JJ	<unknown>
crashes	NNS	crash
—	:	-
when	WRB	when
the	DT	the
car	NN	car
crashes	NNS	crash
,	,	,
the	DT	the
front	JJ	front
hits	NNS	hit
into	IN	into
something	NN	something
—	:	-
indeed	RB	indeed
,	,	,
what	WP	what
you	PP	you
see	VBP	see
is	VBZ	be
that	IN	that
the	DT	the
car	NN	car
seats	NNS	seat
look	VBP	look
a	DT	a
little	JJ	little
bit	NN	bit
better	RBR	well
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
this	DT	this
isn	NN	isn
'	POS	'
t	NN	t
just	RB	just
chance	NN	chance
.	SENT	.
In	IN	in
order	NN	order
to	TO	to
have	VB	have
the	DT	the
car	NN	car
seat	NN	seat
