Hey	UH	hey
understand	VBP	understand
my	PP$	my
family	NN	family
'	POS	'
s	NN	S
history	NN	history
.	SENT	.
My	PP$	my
grandfather	NN	grandfather
,	,	,
who	WP	who
raised	VBD	raise
me	PP	me
,	,	,
would	MD	would
hold	VB	hold
court	NN	court
in	IN	in
the	DT	the
living	VBG	live
room	NN	room
,	,	,
regaling	VBG	regale
me	PP	me
with	IN	with
stories	NNS	story
of	IN	of
life	NN	life
during	IN	during
the	DT	the
Great	NP	Great
Depression	NP	Depression
.	SENT	.
And	CC	and
telling	VBG	tell
me	PP	me
all	DT	all
about	IN	about
his	PP$	his
parents	NNS	parent
who	WP	who
had	VBD	have
emigrated	VBN	emigrate
from	IN	from
Poland	NP	Poland
.	SENT	.
Now	RB	now
,	,	,
my	PP$	my
great	JJ	great
grandparents	NNS	grandparent
died	VBD	die
many	JJ	many
years	NNS	year
before	IN	before
I	PP	I
was	VBD	be
ever	RB	ever
born	VBN	bear
.	SENT	.
But	CC	but
through	IN	through
these	DT	these
stories	NNS	story
that	WDT	that
were	VBD	be
shared	VBN	share
in	IN	in
our	PP$	our
home	NN	home
I	PP	I
always	RB	always
felt	VBD	feel
like	IN	like
I	PP	I
knew	VBD	know
them	PP	them
.	SENT	.
Now	RB	now
creating	VBG	create
my	PP$	my
own	JJ	own
stories	NNS	story
,	,	,
that	WDT	that
offered	VBD	offer
me	PP	me
an	DT	an
escape	NN	escape
portal	NN	portal
.	SENT	.
You	PP	you
see	VBP	see
,	,	,
it	PP	it
was	VBD	be
a	DT	a
home	NN	home
that	WDT	that
was	VBD	be
filled	VBN	fill
with	IN	with
so	RB	so
much	JJ	much
dysfunction	NN	dysfunction
.	SENT	.
My	PP$	my
grandparents	NNS	grandparent
drank	VBD	drink
a	DT	a
lot	NN	lot
.	SENT	.
There	EX	there
was	VBD	be
a	DT	a
lot	NN	lot
of	IN	of
yelling	VBG	yell
,	,	,
a	DT	a
lot	NN	lot
of	IN	of
chaos	NN	chaos
,	,	,
and	CC	and
I	PP	I
controlled	VBD	control
none	NN	none
of	IN	of
it	PP	it
.	SENT	.
From	IN	from
the	DT	the
pages	NNS	page
of	IN	of
my	PP$	my
comics	NNS	comic
,	,	,
I	PP	I
was	VBD	be
the	DT	the
one	CD	one
calling	VBG	call
the	DT	the
shots	NNS	shot
.	SENT	.
Creating	VBG	create
my	PP$	my
own	JJ	own
worlds	NNS	world
,	,	,
creating	VBG	create
my	PP$	my
own	JJ	own
characters	NNS	character
.	SENT	.
Sharing	VBG	share
them	PP	them
with	IN	with
my	PP$	my
friends	NNS	friend
and	CC	and
family	NN	family
members	NNS	member
.	SENT	.
I	PP	I
thrived	VBD	thrive
off	RP	off
that	DT	that
creativity	NN	creativity
.	SENT	.
Now	RB	now
my	PP$	my
mother	NN	mother
was	VBD	be
an	DT	an
incredibly	RB	incredibly
talented	JJ	talented
artist	NN	artist
.	SENT	.
And	CC	and
even	RB	even
though	IN	though
she	PP	she
spent	VBD	spend
a	DT	a
majority	NN	majority
of	IN	of
my	PP$	my
childhood	NN	childhood
incarcerated	VBD	incarcerate
,	,	,
she	PP	she
spent	VBD	spend
her	PP$	her
time	NN	time
drawing	NN	drawing
cartoons	NNS	cartoon
and	CC	and
mailing	VBG	mail
them	PP	them
to	TO	to
me	PP	me
.	SENT	.
And	CC	and
these	DT	these
cartoons	NNS	cartoon
that	WDT	that
arrived	VBD	arrive
from	IN	from
prison	NN	prison
from	IN	from
my	PP$	my
mom	NN	mom
,	,	,
it	PP	it
was	VBD	be
her	PP$	her
way	NN	way
of	IN	of
,	,	,
you	PP	you
know	VBP	know
,	,	,
it	PP	it
was	VBD	be
her	PP$	her
way	NN	way
of	IN	of
letting	VBG	let
me	PP	me
know	VBP	know
that	IN	that
she	PP	she
loved	VBD	love
me	PP	me
and	CC	and
letting	VBG	let
me	PP	me
know	VBP	know
just	RB	just
what	WP	what
I	PP	I
was	VBD	be
capable	JJ	capable
of	IN	of
.	SENT	.
Now	RB	now
bearing	VBG	bear
witness	NN	witness
to	TO	to
the	DT	the
stories	NNS	story
of	IN	of
others	NNS	other
helped	VBD	help
me	PP	me
put	VBD	put
life	NN	life
into	IN	into
perspective	NN	perspective
.	SENT	.
When	WRB	when
I	PP	I
was	VBD	be
a	DT	a
teenager	NN	teenager
,	,	,
I	PP	I
volunteered	VBD	volunteer
at	IN	at
a	DT	a
camp	NN	camp
for	IN	for
children	NNS	child
with	IN	with
cancer	NN	cancer
.	SENT	.
And	CC	and
I	PP	I
spent	VBD	spend
several	JJ	several
summers	NNS	summer
after	IN	after
that	DT	that
working	NN	working
there	RB	there
as	RB	as
well	RB	well
.	SENT	.
And	CC	and
of	IN	of
all	PDT	all
the	DT	the
kids	NNS	kid
I	PP	I
met	VBD	meet
over	IN	over
the	DT	the
years	NNS	year
,	,	,
the	DT	the
kid	NN	kid
that	WDT	that
sticks	VBZ	stick
out	RP	out
the	DT	the
most	JJS	most
in	IN	in
my	PP$	my
memory	NN	memory
is	VBZ	be
Eric	NP	Eric
.	SENT	.
Eric	NP	Eric
was	VBD	be
the	DT	the
very	RB	very
first	JJ	first
kid	NN	kid
that	IN	that
I	PP	I
was	VBD	be
charged	VBN	charge
to	TO	to
care	VB	care
for	IN	for
.	SENT	.
I	PP	I
was	VBD	be
16	CD	@card@
years	NNS	year
old	JJ	old
.	SENT	.
He	PP	he
was	VBD	be
four	CD	four
and	CC	and
had	VBD	have
recently	RB	recently
been	VBN	be
diagnosed	VBN	diagnose
with	IN	with
leukemia	NN	leukemia
.	SENT	.
Now	RB	now
.	SENT	.
.	SENT	.
.	SENT	.
Despite	IN	despite
his	PP$	his
thinning	VBG	thin
hair	NN	hair
,	,	,
despite	IN	despite
the	DT	the
shunt	NN	shunt
in	IN	in
his	PP$	his
chest	NN	chest
,	,	,
this	DT	this
boy	NN	boy
wielded	VBD	wield
a	DT	a
Power	NP	Power
Rangers	NNS	ranger
sword	NN	sword
and	CC	and
went	VBD	go
after	IN	after
life	NN	life
with	IN	with
so	RB	so
much	JJ	much
energy	NN	energy
and	CC	and
an	DT	an
ear-to-ear	NN	<unknown>
grin	NN	grin
.	SENT	.
Now	RB	now
,	,	,
in	IN	in
my	PP$	my
years	NNS	year
of	IN	of
working	VBG	work
with	IN	with
kids	NNS	kid
with	IN	with
critical	JJ	critical
illnesses	NNS	illness
at	IN	at
camp	NN	camp
,	,	,
I	PP	I
was	VBD	be
often	RB	often
lauded	VBN	laud
,	,	,
but	CC	but
that	IN	that
just	RB	just
always	RB	always
felt	VBN	feel
unnecessary	JJ	unnecessary
and	CC	and
backwards	JJ	backwards
,	,	,
because	IN	because
it	PP	it
just	RB	just
felt	VBD	feel
like	IN	like
such	PDT	such
a	DT	a
selfish	JJ	selfish
endeavor	NN	endeavor
.	SENT	.
I	PP	I
was	VBD	be
given	VBN	give
a	DT	a
front-row	NN	front-row
seat	NN	seat
to	TO	to
some	DT	some
of	IN	of
the	DT	the
most	RBS	most
remarkable	JJ	remarkable
stories	NNS	story
in	IN	in
human	JJ	human
history	NN	history
.	SENT	.
Eric	NP	Eric
died	VBD	die
shortly	RB	shortly
before	IN	before
his	PP$	his
sixth	JJ	sixth
birthday	NN	birthday
.	SENT	.
Twenty-five	JJ	<unknown>
years	NNS	year
ago	RB	ago
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
there	RB	there
isn	NP	isn
'	POS	'
t	NN	t
a	DT	a
day	NN	day
that	IN	that
I	PP	I
don	VB	don
'	''	'
t	NN	t
think	VBP	think
about	IN	about
him	PP	him
,	,	,
there	RB	there
isn	NP	isn
'	POS	'
t	NN	t
a	DT	a
day	NN	day
that	IN	that
I	PP	I
don	VB	don
'	''	'
t	NN	t
think	VBP	think
what	WP	what
he	PP	he
meant	VBD	mean
to	TO	to
me	PP	me
or	CC	or
what	WP	what
he	PP	he
was	VBD	be
able	JJ	able
to	TO	to
do	VB	do
with	IN	with
his	PP$	his
short	JJ	short
life	NN	life
.	SENT	.
And	CC	and
I	PP	I
do	VBP	do
remain	VB	remain
in	IN	in
touch	NN	touch
with	IN	with
his	PP$	his
family	NN	family
.	SENT	.
When	WRB	when
I	PP	I
visit	VBP	visit
his	PP$	his
grave	JJ	grave
site	NN	site
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
bring	VB	bring
flowers	NNS	flower
.	SENT	.
I	PP	I
bring	VBP	bring
a	DT	a
Power	NP	Power
Rangers	NNS	ranger
action	NN	action
figure	NN	figure
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
recently	RB	recently
completed	VBD	complete
a	DT	a
graphic	JJ	graphic
memoir	NN	memoir
recounting	VBG	recount
my	PP$	my
time	NN	time
working	VBG	work
at	IN	at
camp	NN	camp
.	SENT	.
And	CC	and
working	VBG	work
with	IN	with
this	DT	this
population	NN	population
.	SENT	.
And	CC	and
that	DT	that
time	NN	time
with	IN	with
Eric	NP	Eric
.	SENT	.
Now	RB	now
,	,	,
creating	VBG	create
a	DT	a
graphic	JJ	graphic
memoir	NN	memoir
is	VBZ	be
a	DT	a
daunting	JJ	daunting
experience	NN	experience
.	SENT	.
There	EX	there
is	VBZ	be
,	,	,
of	IN	of
course	NN	course
,	,	,
the	DT	the
physical	JJ	physical
labor	NN	labor
of	IN	of
a	DT	a
book	NN	book
that	WDT	that
is	VBZ	be
hundreds	NNS	hundred
of	IN	of
pages	NNS	page
long	RB	long
.	SENT	.
That	DT	that
has	VBZ	have
multiple	JJ	multiple
panels	NNS	panel
of	IN	of
art	NN	art
on	IN	on
every	DT	every
single	JJ	single
page	NN	page
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NN	S
the	DT	the
emotional	JJ	emotional
toll	NN	toll
that	WDT	that
is	VBZ	be
the	DT	the
most	RBS	most
difficult	JJ	difficult
to	TO	to
deal	VB	deal
with	IN	with
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
face-to-face	RB	face-to-face
with	IN	with
these	DT	these
loved	VBN	love
ones	NNS	one
that	IN	that
I	NP	I
'	POS	'
ve	NN	ve
missed	VBD	miss
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
in	IN	in
that	DT	that
room	NN	room
again	RB	again
and	CC	and
often	RB	often
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
dealing	VBG	deal
with	IN	with
stuff	NN	stuff
I	PP	I
had	VBD	have
never	RB	never
dealt	VBN	deal
with	IN	with
at	IN	at
the	DT	the
time	NN	time
.	SENT	.
Now	RB	now
I	PP	I
went	VBD	go
into	IN	into
this	DT	this
process	NN	process
knowing	VBG	know
full	JJ	full
well	RB	well
how	WRB	how
intense	JJ	intense
this	DT	this
experience	NN	experience
would	MD	would
be	VB	be
.	SENT	.
I	NP	I
'	POS	'
d	NN	d
previously	RB	previously
created	VBD	create
a	DT	a
graphic	JJ	graphic
memoir	NN	memoir
called	VBN	call
"	``	"
Hey	NP	Hey
,	,	,
Kiddo	NP	<unknown>
,	,	,
"	''	"
about	IN	about
my	PP$	my
own	JJ	own
childhood	NN	childhood
and	CC	and
my	PP$	my
mother	NN	mother
'	POS	'
s	NN	S
addictions	NNS	addiction
.	SENT	.
So	RB	so
I	PP	I
know	VBP	know
what	WP	what
you	PP	you
'	''	'
re	IN	re
all	DT	all
thinking	NN	thinking
.	SENT	.
Books	NNS	book
for	IN	for
kids	NNS	kid
about	IN	about
a	DT	a
parent	NN	parent
with	IN	with
heroin	NN	heroin
addiction	NN	addiction
,	,	,
pediatric	JJ	pediatric
cancer	NN	cancer
.	SENT	.
And	CC	and
yes	UH	yes
,	,	,
I	PP	I
'	POS	'
m	NN	m
just	RB	just
chasing	VBG	chase
all	DT	all
of	IN	of
the	DT	the
hot	JJ	hot
trends	NNS	trend
in	IN	in
children	NNS	child
'	POS	'
s	NN	S
literature	NN	literature
.	SENT	.
But	CC	but
when	WRB	when
I	PP	I
was	VBD	be
working	VBG	work
on	IN	on
"	``	"
Hey	NP	Hey
,	,	,
Kiddo	NP	<unknown>
,	,	,
"	``	"
even	RB	even
though	IN	though
the	DT	the
most	RBS	most
important	JJ	important
people	NNS	people
in	IN	in
my	PP$	my
life	NN	life
had	VBD	have
since	RB	since
passed	VBN	pass
--	:	--
my	PP$	my
grandfather	NN	grandfather
,	,	,
my	PP$	my
mother	NN	mother
--	:	--
production	NN	production
on	IN	on
that	DT	that
book	NN	book
brought	VBD	bring
me	PP	me
closer	JJR	close
to	TO	to
them	PP	them
.	SENT	.
And	CC	and
the	DT	the
same	JJ	same
now	RB	now
has	VBZ	have
happened	VBN	happen
with	IN	with
Eric	NP	Eric
via	IN	via
"	``	"
Sunshine	NP	Sunshine
.	SENT	.
"	``	"
We	PP	we
all	RB	all
have	VBP	have
loss	NN	loss
in	IN	in
our	PP$	our
lives	NNS	life
,	,	,
and	CC	and
we	PP	we
all	RB	all
have	VBP	have
pain	NN	pain
in	IN	in
our	PP$	our
life	NN	life
,	,	,
and	CC	and
that	WDT	that
can	MD	can
be	VB	be
so	RB	so
incredibly	RB	incredibly
difficult	JJ	difficult
.	SENT	.
And	CC	and
I	PP	I
know	VBP	know
all	RB	all
too	RB	too
well	RB	well
that	RB	that
.	SENT	.
.	SENT	.
.	SENT	.
No	DT	no
matter	NN	matter
how	WRB	how
much	JJ	much
I	PP	I
talk	VBP	talk
about	IN	about
these	DT	these
people	NNS	people
,	,	,
no	DT	no
matter	NN	matter
how	WRB	how
much	JJ	much
I	PP	I
write	VBP	write
about	IN	about
them	PP	them
,	,	,
no	DT	no
matter	NN	matter
how	WRB	how
much	JJ	much
I	PP	I
draw	VBP	draw
them	PP	them
,	,	,
there	EX	there
is	VBZ	be
nothing	NN	nothing
that	IN	that
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
do	VB	do
that	RB	that
'	''	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
bring	VB	bring
them	PP	them
back	RB	back
to	TO	to
this	DT	this
Earth	NN	earth
.	SENT	.
I	PP	I
miss	VBP	miss
them	PP	them
.	SENT	.
But	CC	but
I	PP	I
take	VBP	take
solace	NN	solace
in	IN	in
knowing	VBG	know
that	IN	that
their	PP$	their
stories	NNS	story
are	VBP	be
being	VBG	be
shared	VBN	share
and	CC	and
that	IN	that
they	PP	they
are	VBP	be
being	VBG	be
remembered	VBN	remember
,	,	,
because	IN	because
my	PP$	my
grandfather	NN	grandfather
was	VBD	be
right	JJ	right
.	SENT	.
Stories	NNS	story
keep	VBP	keep
people	NNS	people
alive	JJ	alive
and	CC	and
real	JJ	real
to	TO	to
us	PP	us
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
