Eight	CD	eight
house	NN	house
,	,	,
haunting	VBG	haunt
me	PP	me
.	SENT	.
And	CC	and
I	PP	I
started	VBD	start
to	TO	to
hear	VB	hear
these	DT	these
sounds	NNS	sound
,	,	,
this	DT	this
"	``	"
whoosh	NN	whoosh
,	,	,
"	''	"
kind	NN	kind
of	IN	of
whisper	NN	whisper
,	,	,
like	IN	like
something	NN	something
passing	VBG	pass
through	IN	through
me	PP	me
.	SENT	.
I	PP	I
called	VBD	call
my	PP$	my
best	JJS	good
friend	NN	friend
,	,	,
Claire	NP	Claire
,	,	,
and	CC	and
said	VBD	say
,	,	,
"	``	"
I	PP	I
know	VBP	know
this	DT	this
is	VBZ	be
going	VBG	go
to	TO	to
sound	VB	sound
crazy	JJ	crazy
,	,	,
but	CC	but
,	,	,
um	RB	<unknown>
.	SENT	.
.	SENT	.
.	SENT	.
I	PP	I
think	VBP	think
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
ghost	NN	ghost
in	IN	in
my	PP$	my
house	NN	house
,	,	,
and	CC	and
I	PP	I
need	VBP	need
to	TO	to
get	VB	get
rid	JJ	rid
of	IN	of
it	PP	it
.	SENT	.
"	``	"
And	CC	and
she	PP	she
said	VBD	say
—	:	-
she	PP	she
'	POS	'
s	NN	S
very	RB	very
open-minded	JJ	open-minded
—	:	-
and	CC	and
she	PP	she
said	VBD	say
,	,	,
"	``	"
I	PP	I
don	VBP	don
'	''	'
t	NN	t
think	VBP	think
you	PP	you
'	''	'
re	IN	re
crazy	JJ	crazy
.	SENT	.
I	PP	I
think	VBP	think
you	PP	you
just	RB	just
need	VBP	need
to	TO	to
do	VB	do
a	DT	a
cleansing	NN	cleansing
ritual	NN	ritual
.	SENT	.
"	''	"
"	``	"
So	RB	so
get	VB	get
some	DT	some
sage	NN	sage
and	CC	and
burn	VB	burn
it	PP	it
,	,	,
and	CC	and
tell	VB	tell
it	PP	it
to	TO	to
go	VB	go
away	RB	away
.	SENT	.
"	``	"
So	RB	so
I	PP	I
said	VBD	say
,	,	,
"	``	"
OK	UH	OK
,	,	,
"	``	"
and	CC	and
I	PP	I
went	VBD	go
and	CC	and
I	PP	I
bought	VBD	buy
sage	NN	sage
.	SENT	.
I	PP	I
had	VBD	have
never	RB	never
done	VBN	do
this	DT	this
before	IN	before
,	,	,
so	RB	so
I	PP	I
set	VBD	set
the	DT	the
sage	NN	sage
on	IN	on
fire	NN	fire
,	,	,
waved	VBD	wave
it	PP	it
about	RB	about
,	,	,
and	CC	and
said	VBD	say
,	,	,
"	``	"
Go	VB	go
away	RB	away
!	SENT	!
This	DT	this
is	VBZ	be
my	PP$	my
house	NN	house
!	SENT	!
I	PP	I
live	VBP	live
here	RB	here
.	SENT	.
You	PP	you
don	VBP	don
'	''	'
t	NN	t
live	VBP	live
here	RB	here
!	SENT	!
"	''	"
But	CC	but
the	DT	the
feeling	NN	feeling
stayed	VBD	stay
.	SENT	.
Nothing	NN	nothing
got	VBD	get
better	JJR	good
.	SENT	.
And	CC	and
then	RB	then
I	PP	I
started	VBD	start
to	TO	to
think	VB	think
,	,	,
OK	UH	OK
,	,	,
well	RB	well
now	RB	now
this	DT	this
thing	NN	thing
is	VBZ	be
probably	RB	probably
just	RB	just
laughing	VBG	laugh
at	IN	at
me	PP	me
,	,	,
because	IN	because
it	PP	it
hasn	NN	<unknown>
'	POS	'
t	NN	t
left	VBD	leave
,	,	,
and	CC	and
I	PP	I
probably	RB	probably
just	RB	just
look	VB	look
like	IN	like
this	DT	this
impotent	JJ	impotent
,	,	,
powerless	JJ	powerless
thing	NN	thing
that	IN	that
couldn	NNS	<unknown>
'	POS	'
t	NN	t
get	VB	get
it	PP	it
to	TO	to
go	VB	go
away	RB	away
.	SENT	.
So	IN	so
every	DT	every
day	NN	day
I	PP	I
'	POS	'
d	NN	d
come	VB	come
home	NN	home
and	CC	and
you	PP	you
guys	VBZ	guy
,	,	,
this	DT	this
feeling	NN	feeling
got	VBD	get
so	RB	so
bad	JJ	bad
that	RB	that
—	:	-
I	PP	I
mean	VBP	mean
,	,	,
I	PP	I
'	POS	'
m	NN	m
laughing	VBG	laugh
at	IN	at
it	PP	it
now	RB	now
—	:	-
but	CC	but
I	PP	I
would	MD	would
sit	VB	sit
there	RB	there
in	IN	in
bed	NN	bed
and	CC	and
cry	VB	cry
every	DT	every
night	NN	night
.	SENT	.
And	CC	and
the	DT	the
feeling	NN	feeling
on	IN	on
my	PP$	my
chest	NN	chest
got	VBD	get
worse	JJR	bad
and	CC	and
worse	JJR	bad
.	SENT	.
It	PP	it
was	VBD	be
physically	RB	physically
painful	JJ	painful
.	SENT	.
And	CC	and
I	PP	I
even	RB	even
went	VBD	go
to	TO	to
a	DT	a
psychiatrist	NN	psychiatrist
and	CC	and
tried	VBD	try
to	TO	to
get	VB	get
her	PP	her
to	TO	to
prescribe	VB	prescribe
me	PP	me
medicine	NN	medicine
,	,	,
and	CC	and
she	PP	she
wouldn	NP	<unknown>
'	POS	'
t	NN	t
just	RB	just
because	IN	because
I	PP	I
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
schizophrenia	NN	schizophrenia
,	,	,
OK	UH	OK
.	SENT	.
So	RB	so
finally	RB	finally
I	PP	I
got	VBD	get
on	IN	on
the	DT	the
internet	NN	Internet
,	,	,
and	CC	and
I	PP	I
Googled	VBD	Google
"	``	"
hauntings	NNS	haunting
.	SENT	.
"	``	"
And	CC	and
I	PP	I
came	VBD	come
upon	IN	upon
this	DT	this
forum	NN	forum
of	IN	of
ghost	NN	ghost
hunters	NNS	hunter
.	SENT	.
But	CC	but
these	DT	these
were	VBD	be
a	DT	a
special	JJ	special
kind	NN	kind
of	IN	of
ghost	NN	ghost
hunters	NNS	hunter
—	:	-
they	PP	they
were	VBD	be
skeptics	NNS	skeptic
.	SENT	.
They	PP	they
believed	VBD	believe
that	IN	that
every	DT	every
case	NN	case
of	IN	of
ghosts	NNS	ghost
that	IN	that
they	PP	they
had	VBD	have
investigated	VBN	investigate
so	RB	so
far	RB	far
had	VBD	have
been	VBN	be
explained	VBN	explain
away	RB	away
by	IN	by
science	NN	science
.	SENT	.
And	CC	and
I	PP	I
was	VBD	be
like	IN	like
,	,	,
"	``	"
OK	UH	OK
,	,	,
smart	JJ	smart
guys	NNS	guy
,	,	,
this	DT	this
is	VBZ	be
what	WP	what
'	POS	'
s	NNS	<unknown>
happening	VBG	happen
to	TO	to
me	PP	me
,	,	,
and	CC	and
if	IN	if
you	PP	you
have	VBP	have
an	DT	an
explanation	NN	explanation
for	IN	for
me	PP	me
,	,	,
I	PP	I
would	MD	would
love	VB	love
to	TO	to
hear	VB	hear
it	PP	it
.	SENT	.
"	''	"
And	CC	and
one	CD	one
of	IN	of
them	PP	them
said	VBD	say
,	,	,
"	``	"
OK	UH	OK
.	SENT	.
Um	NP	Um
,	,	,
have	VBP	have
you	PP	you
heard	VBN	hear
of	IN	of
carbon	NN	carbon
monoxide	NN	monoxide
poisoning	NN	poisoning
?	SENT	?
"	``	"
And	CC	and
I	PP	I
said	VBD	say
,	,	,
"	``	"
Yeah	RB	yeah
.	SENT	.
Like	IN	like
,	,	,
gas	NN	gas
poisoning	NN	poisoning
?	SENT	?
"	``	"
Carbon	NN	carbon
monoxide	NN	monoxide
poisoning	NN	poisoning
is	VBZ	be
when	WRB	when
you	PP	you
have	VBP	have
a	DT	a
gas	NN	gas
leak	NN	leak
leaking	VBG	leak
into	IN	into
your	PP$	your
home	NN	home
.	SENT	.
I	PP	I
looked	VBD	look
it	PP	it
up	RP	up
,	,	,
and	CC	and
the	DT	the
symptoms	NNS	symptom
of	IN	of
carbon	NN	carbon
monoxide	NN	monoxide
poisoning	NN	poisoning
include	VBP	include
a	DT	a
pressure	NN	pressure
on	IN	on
your	PP$	your
chest	NN	chest
,	,	,
auditory	JJ	auditory
hallucinations	NNS	hallucination
—	:	-
whoosh	NN	whoosh
—	:	-
and	CC	and
an	DT	an
unexplained	JJ	unexplained
feeling	NN	feeling
of	IN	of
dread	NN	dread
.	SENT	.
So	IN	so
that	DT	that
night	NN	night
,	,	,
I	PP	I
called	VBD	call
the	DT	the
gas	NN	gas
company	NN	company
.	SENT	.
I	PP	I
said	VBD	say
,	,	,
"	``	"
I	PP	I
have	VBP	have
an	DT	an
emergency	NN	emergency
.	SENT	.
I	PP	I
need	VBP	need
you	PP	you
to	TO	to
come	VB	come
out	RP	out
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
to	TO	to
get	VB	get
into	IN	into
the	DT	the
story	NN	story
now	RB	now
,	,	,
but	CC	but
I	PP	I
need	VBP	need
you	PP	you
to	TO	to
come	VB	come
out	RP	out
.	SENT	.
"	''	"
They	PP	they
came	VBD	come
out	RP	out
.	SENT	.
I	PP	I
said	VBD	say
,	,	,
"	``	"
I	PP	I
suspect	VBP	suspect
a	DT	a
gas	NN	gas
leak	NN	leak
.	SENT	.
"	''	"
They	PP	they
brought	VBD	bring
their	PP$	their
carbon	NN	carbon
monoxide	NN	monoxide
detector	NN	detector
,	,	,
and	CC	and
the	DT	the
man	NN	man
said	VBD	say
,	,	,
"	``	"
It	PP	it
'	POS	'
s	NN	S
a	DT	a
really	RB	really
good	JJ	good
thing	NN	thing
that	IN	that
you	PP	you
called	VBD	call
us	PP	us
tonight	RB	tonight
,	,	,
because	IN	because
you	PP	you
could	MD	could
have	VB	have
been	VBN	be
dead	JJ	dead
very	RB	very
soon	RB	soon
.	SENT	.
"	''	"
Thirty-seven	VBN	thirty-seven
percent	NN	percent
of	IN	of
Americans	NPS	Americans
believe	VBP	believe
in	IN	in
haunted	JJ	haunted
houses	NNS	house
,	,	,
and	CC	and
I	PP	I
wonder	VBP	wonder
how	WRB	how
many	JJ	many
of	IN	of
them	PP	them
have	VBP	have
been	VBN	be
in	IN	in
one	CD	one
and	CC	and
how	WRB	how
many	JJ	many
of	IN	of
them	PP	them
have	VBP	have
been	VBN	be
in	IN	in
danger	NN	danger
.	SENT	.
So	IN	so
that	DT	that
haunting	NN	haunting
story	NN	story
has	VBZ	have
led	VBN	lead
me	PP	me
to	TO	to
my	PP$	my
job	NN	job
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
an	DT	an
investigator	NN	investigator
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
an	DT	an
investigator	NN	investigator
in	IN	in
two	CD	two
senses	NNS	sense
:	:	:
I	PP	I
'	POS	'
m	NN	m
an	DT	an
investigative	JJ	investigative
journalist	NN	journalist
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
also	RB	also
an	DT	an
investigator	NN	investigator
of	IN	of
the	DT	the
claims	NNS	claim
of	IN	of
the	DT	the
paranormal	JJ	paranormal
and	CC	and
claims	NNS	claim
of	IN	of
the	DT	the
spiritual	JJ	spiritual
.	SENT	.
And	CC	and
that	DT	that
means	VBZ	mean
a	DT	a
few	JJ	few
things	NNS	thing
.	SENT	.
Sometimes	RB	sometimes
that	DT	that
means	VBZ	mean
that	IN	that
I	NP	I
'	POS	'
m	NN	m
pretending	VBG	pretend
to	TO	to
need	VB	need
an	DT	an
exorcism	NN	exorcism
so	IN	so
I	PP	I
can	MD	can
get	VB	get
—	:	-
yes	UH	yes
,	,	,
that	WDT	that
'	POS	'
s	NN	S
right	NN	right
!	SENT	!
—	:	-
so	IN	so
I	PP	I
can	MD	can
go	VB	go
to	TO	to
an	DT	an
exorcist	NN	exorcist
and	CC	and
see	VB	see
if	IN	if
he	PP	he
'	POS	'
s	NNS	<unknown>
using	VBG	use
gimmicks	NNS	gimmick
or	CC	or
psychological	JJ	psychological
tricks	NNS	trick
to	TO	to
try	VB	try
to	TO	to
convince	VB	convince
someone	NN	someone
that	IN	that
they	PP	they
'	POS	'
re	NN	re
possessed	VBD	possess
.	SENT	.
Sometimes	RB	sometimes
that	DT	that
means	VBZ	mean
I	PP	I
'	''	'
m	NN	m
going	VBG	go
undercover	JJ	undercover
in	IN	in
a	DT	a
fringe	NN	fringe
group	NN	group
which	WDT	which
I	PP	I
report	VBP	report
on	IN	on
for	IN	for
a	DT	a
podcast	NN	<unknown>
that	IN	that
I	PP	I
co-host	NN	co-host
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
ve	NNS	<unknown>
done	VBN	do
over	IN	over
70	CD	@card@
investigations	NNS	investigation
like	IN	like
this	DT	this
with	IN	with
my	PP$	my
co-host	NN	co-host
,	,	,
Ross	NP	Ross
.	SENT	.
I	PP	I
would	MD	would
love	VB	love
to	TO	to
tell	VB	tell
you	PP	you
that	IN	that
nine	CD	nine
times	NNS	time
out	RB	out
of	IN	of
10	CD	@card@
,	,	,
science	NN	science
wins	NNS	win
,	,	,
saves	VBZ	save
the	DT	the
day	NN	day
,	,	,
it	PP	it
'	POS	'
s	NN	S
all	RB	all
explained	VBD	explain
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
not	RB	not
true	JJ	true
.	SENT	.
The	DT	the
truth	NN	truth
is	VBZ	be
,	,	,
10	CD	@card@
times	NNS	time
out	RB	out
of	IN	of
10	CD	@card@
,	,	,
science	NN	science
wins	NNS	win
,	,	,
it	PP	it
saves	VBZ	save
the	DT	the
day	NN	day
.	SENT	.
And	CC	and
that	DT	that
doesn	NN	<unknown>
'	POS	'
t	NN	t
mean	VB	mean
there	RB	there
'	''	'
s	VBG	<unknown>
no	DT	no
such	JJ	such
thing	NN	thing
as	IN	as
a	DT	a
mystery	NN	mystery
.	SENT	.
Of	IN	of
course	NN	course
there	EX	there
are	VBP	be
mysteries	NNS	mystery
,	,	,
but	CC	but
a	DT	a
mystery	NN	mystery
is	VBZ	be
a	DT	a
mystery	NN	mystery
.	SENT	.
It	PP	it
is	VBZ	be
not	RB	not
a	DT	a
ghost	NN	ghost
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
believe	VBP	believe
there	EX	there
are	VBP	be
two	CD	two
kinds	NNS	kind
of	IN	of
truth	NN	truth
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
taken	VBN	take
me	PP	me
a	DT	a
while	NN	while
to	TO	to
get	VB	get
to	TO	to
this	DT	this
place	NN	place
,	,	,
but	CC	but
I	PP	I
think	VBP	think
this	DT	this
is	VBZ	be
right	JJ	right
,	,	,
so	RB	so
hear	VB	hear
me	PP	me
out	RP	out
.	SENT	.
I	PP	I
think	VBP	think
there	EX	there
is	VBZ	be
outer	JJ	outer
truth	NN	truth
and	CC	and
there	EX	there
'	''	'
s	NNS	<unknown>
inner	JJ	inner
truth	NN	truth
.	SENT	.
So	RB	so
if	IN	if
you	PP	you
say	VBP	say
to	TO	to
me	PP	me
,	,	,
"	``	"
There	EX	there
was	VBD	be
a	DT	a
man	NN	man
named	VBN	name
Jesus	NP	Jesus
and	CC	and
he	PP	he
once	RB	once
existed	VBD	exist
,	,	,
"	``	"
that	RB	that
'	''	'
s	NNS	<unknown>
outer	JJ	outer
truth	NN	truth
,	,	,
right	RB	right
?	SENT	?
And	CC	and
we	PP	we
can	MD	can
go	VB	go
and	CC	and
look	VB	look
at	IN	at
the	DT	the
historical	JJ	historical
record	NN	record
.	SENT	.
We	PP	we
can	MD	can
determine	VB	determine
whether	IN	whether
that	WDT	that
seems	VBZ	seem
to	TO	to
be	VB	be
true	JJ	true
.	SENT	.
And	CC	and
I	PP	I
would	MD	would
argue	VB	argue
,	,	,
it	PP	it
does	VBZ	do
seem	VB	seem
to	TO	to
be	VB	be
true	JJ	true
.	SENT	.
If	IN	if
you	PP	you
say	VBP	say
,	,	,
"	''	"
Jesus	NP	Jesus
rose	VBD	rise
from	IN	from
the	DT	the
dead	JJ	dead
,	,	,
"	''	"
—	:	-
ooh	NP	ooh
,	,	,
trickier	JJR	tricky
.	SENT	.
I	PP	I
would	MD	would
say	VB	say
that	RB	that
'	''	'
s	VBG	<unknown>
an	DT	an
outer-truth	NN	outer-truth
claim	NN	claim
,	,	,
because	IN	because
he	PP	he
physically	RB	physically
rose	VBD	rise
or	CC	or
he	PP	he
didn	NP	<unknown>
'	POS	'
t	NN	t
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
not	RB	not
going	VBG	go
to	TO	to
get	VB	get
into	IN	into
whether	IN	whether
he	PP	he
rose	VBD	rise
or	CC	or
he	PP	he
didn	NP	<unknown>
'	POS	'
t	NN	t
,	,	,
but	CC	but
I	PP	I
would	MD	would
say	VB	say
that	RB	that
'	''	'
s	VBG	<unknown>
an	DT	an
outer-truth	NN	outer-truth
claim	NN	claim
.	SENT	.
It	PP	it
happened	VBD	happen
or	CC	or
it	PP	it
didn	NP	<unknown>
'	POS	'
t	NN	t
happen	VB	happen
.	SENT	.
But	CC	but
if	IN	if
you	PP	you
say	VBP	say
,	,	,
"	``	"
I	PP	I
don	VBP	don
'	''	'
t	NN	t
care	NN	care
whether	IN	whether
he	PP	he
rose	VBD	rise
from	IN	from
the	DT	the
dead	NN	dead
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
symbolically	RB	symbolically
important	JJ	important
to	TO	to
me	PP	me
,	,	,
and	CC	and
that	IN	that
metaphor	NN	metaphor
is	VBZ	be
so	RB	so
meaningful	JJ	meaningful
,	,	,
so	RB	so
purposeful	JJ	purposeful
to	TO	to
me	PP	me
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
not	RB	not
going	VBG	go
to	TO	to
try	VB	try
to	TO	to
persuade	VB	persuade
you	PP	you
of	IN	of
it	PP	it
,	,	,
"	``	"
now	RB	now
you	PP	you
'	POS	'
ve	NN	ve
moved	VBD	move
it	PP	it
from	IN	from
outer	JJ	outer
truth	NN	truth
to	TO	to
inner	JJ	inner
truth	NN	truth
,	,	,
from	IN	from
science	NN	science
to	TO	to
art	NN	art
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
we	PP	we
have	VBP	have
a	DT	a
tendency	NN	tendency
to	TO	to
not	RB	not
be	VB	be
clear	JJ	clear
about	IN	about
this	DT	this
,	,	,
to	TO	to
try	VB	try
to	TO	to
move	VB	move
our	PP$	our
inner	JJ	inner
truths	NNS	truth
to	TO	to
outer	JJ	outer
truths	NNS	truth
,	,	,
or	CC	or
to	TO	to
not	RB	not
be	VB	be
fair	JJ	fair
about	IN	about
it	PP	it
to	TO	to
each	DT	each
other	JJ	other
,	,	,
and	CC	and
when	WRB	when
people	NNS	people
are	VBP	be
telling	VBG	tell
us	PP	us
their	PP$	their
inner	JJ	inner
truths	NNS	truth
,	,	,
to	TO	to
try	VB	try
to	TO	to
make	VB	make
them	PP	them
defend	VB	defend
them	PP	them
by	IN	by
outer-truth	NN	outer-truth
standards	NNS	standard
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
m	NN	m
talking	VBG	talk
here	RB	here
about	RB	about
outer	JJ	outer
truth	NN	truth
,	,	,
about	IN	about
objective	JJ	objective
things	NNS	thing
.	SENT	.
And	CC	and
there	EX	there
was	VBD	be
an	DT	an
objective	JJ	objective
reality	NN	reality
in	IN	in
my	PP$	my
haunted	JJ	haunted
house	NN	house
,	,	,
right	RB	right
?	SENT	?
Now	RB	now
that	IN	that
I	NP	I
'	POS	'
ve	NN	ve
told	VBD	tell
you	PP	you
about	IN	about
the	DT	the
gas	NN	gas
leak	NN	leak
,	,	,
I	PP	I
doubt	VBP	doubt
a	DT	a
single	JJ	single
person	NN	person
here	RB	here
would	MD	would
be	VB	be
like	JJ	like
,	,	,
"	''	"
I	PP	I
still	RB	still
think	VBP	think
there	EX	there
was	VBD	be
a	DT	a
ghost	NN	ghost
,	,	,
too	RB	too
"	''	"
—	:	-
because	IN	because
as	RB	as
soon	RB	soon
as	IN	as
we	PP	we
have	VBP	have
these	DT	these
scientific	JJ	scientific
explanations	NNS	explanation
,	,	,
we	PP	we
know	VBP	know
to	TO	to
give	VB	give
up	RP	up
the	DT	the
ghost	NN	ghost
.	SENT	.
We	PP	we
use	VBP	use
these	DT	these
things	NNS	thing
as	IN	as
stopgaps	NNS	stopgap
for	IN	for
things	NNS	thing
that	IN	that
we	PP	we
can	MD	can
'	''	'
t	NN	t
explain	VB	explain
.	SENT	.
We	PP	we
don	VBP	don
'	''	'
t	NN	t
believe	VBP	believe
them	PP	them
because	IN	because
of	IN	of
evidence	NN	evidence
;	:	;
we	PP	we
believe	VBP	believe
them	PP	them
because	IN	because
of	IN	of
a	DT	a
lack	NN	lack
of	IN	of
evidence	NN	evidence
.	SENT	.
So	RB	so
there	EX	there
is	VBZ	be
a	DT	a
group	NN	group
in	IN	in
Los	NP	Los
Angeles	NP	Angeles
called	VBD	call
the	DT	the
Independent	JJ	Independent
Investigations	NNS	investigation
Group	NP	Group
,	,	,
or	CC	or
the	DT	the
IIG	NP	IIG
,	,	,
and	CC	and
they	PP	they
do	VBP	do
great	JJ	great
work	NN	work
.	SENT	.
They	PP	they
'	POS	'
ll	NNS	<unknown>
give	VBP	give
a	DT	a
$10	NN	<unknown>
,	,	,
000	CD	@card@
prize	NN	prize
to	TO	to
anyone	NN	anyone
who	WP	who
can	MD	can
show	VB	show
,	,	,
under	IN	under
scientific	JJ	scientific
conditions	NNS	condition
,	,	,
that	WDT	that
they	PP	they
have	VBP	have
a	DT	a
paranormal	JJ	paranormal
ability	NN	ability
.	SENT	.
No	DT	no
one	CD	one
'	POS	'
s	NN	S
done	VBN	do
it	PP	it
yet	RB	yet
,	,	,
but	CC	but
they	PP	they
'	POS	'
ve	NN	ve
had	VBD	have
a	DT	a
couple	NN	couple
people	NNS	people
who	WP	who
claim	VBP	claim
that	IN	that
they	PP	they
were	VBD	be
clairaudients	NNS	<unknown>
,	,	,
which	WDT	which
means	VBZ	mean
that	IN	that
they	PP	they
can	MD	can
hear	VB	hear
voices	NNS	voice
either	CC	either
from	IN	from
the	DT	the
great	JJ	great
beyond	IN	beyond
or	CC	or
they	PP	they
can	MD	can
read	VB	read
minds	NNS	mind
.	SENT	.
And	CC	and
they	PP	they
had	VBD	have
one	CD	one
person	NN	person
who	WP	who
was	VBD	be
very	RB	very
sincere	JJ	sincere
,	,	,
who	WP	who
believed	VBD	believe
that	IN	that
he	PP	he
could	MD	could
read	VB	read
minds	NNS	mind
.	SENT	.
So	RB	so
they	PP	they
set	VBD	set
up	RP	up
a	DT	a
test	NN	test
with	IN	with
him	PP	him
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
the	DT	the
way	NN	way
it	PP	it
always	RB	always
works	VBZ	work
.	SENT	.
The	DT	the
group	NN	group
says	VBZ	say
,	,	,
"	``	"
OK	UH	OK
,	,	,
we	PP	we
have	VBP	have
a	DT	a
protocol	NN	protocol
,	,	,
we	PP	we
have	VBP	have
a	DT	a
way	NN	way
to	TO	to
scientifically	RB	scientifically
test	VB	test
this	DT	this
.	SENT	.
Do	VB	do
you	PP	you
agree	VB	agree
with	IN	with
it	PP	it
?	SENT	?
"	''	"
The	DT	the
person	NN	person
says	VBZ	say
yes	UH	yes
.	SENT	.
Then	RB	then
they	PP	they
test	VBP	test
it	PP	it
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
very	RB	very
important	JJ	important
that	IN	that
both	DT	both
sides	NNS	side
agree	VBP	agree
.	SENT	.
They	PP	they
did	VBD	do
that	IN	that
,	,	,
they	PP	they
tested	VBD	test
him	PP	him
.	SENT	.
They	PP	they
said	VBD	say
,	,	,
"	``	"
OK	UH	OK
,	,	,
you	PP	you
know	VBP	know
what	WP	what
?	SENT	?
You	PP	you
weren	NNS	<unknown>
'	POS	'
t	NN	t
able	JJ	able
to	TO	to
predict	VB	predict
what	WP	what
Lisa	NP	Lisa
was	VBD	be
thinking	VBG	think
.	SENT	.
It	PP	it
matched	VBD	match
up	RP	up
about	IN	about
the	DT	the
same	JJ	same
as	IN	as
chance	NN	chance
.	SENT	.
Looks	NNS	look
like	VBP	like
you	PP	you
don	VB	don
'	''	'
t	NN	t
have	VBP	have
the	DT	the
power	NN	power
.	SENT	.
"	''	"
And	CC	and
that	DT	that
gave	VBD	give
them	PP	them
the	DT	the
opportunity	NN	opportunity
to	TO	to
compassionately	RB	compassionately
sit	VB	sit
down	RP	down
with	IN	with
him	PP	him
and	CC	and
have	VB	have
a	DT	a
very	RB	very
difficult	JJ	difficult
discussion	NN	discussion
,	,	,
which	WDT	which
basically	RB	basically
amounted	VBD	amount
to	TO	to
,	,	,
"	''	"
Hey	NP	Hey
,	,	,
we	PP	we
know	VBP	know
you	PP	you
'	''	'
re	IN	re
sincere	JJ	sincere
,	,	,
and	CC	and
what	WP	what
that	DT	that
means	NN	means
is	VBZ	be
,	,	,
you	PP	you
do	VBP	do
hear	VB	hear
something	NN	something
in	IN	in
your	PP$	your
head	NN	head
