Meet	NP	Meet
something	NN	something
changes	NNS	change
for	IN	for
Tony	NP	Tony
.	SENT	.
"	''	"
Could	MD	could
be	VB	be
I	NP	I
'	POS	'
m	NN	m
wrong	JJ	wrong
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
tired	VBN	tire
of	IN	of
being	VBG	be
wrong	JJ	wrong
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
know	VB	know
what	WP	what
is	VBZ	be
wrong	JJ	wrong
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
know	VB	know
what	WP	what
I	PP	I
know	VBP	know
.	SENT	.
"	``	"
What	WP	what
Tony	NP	Tony
sees	VBZ	see
in	IN	in
that	DT	that
moment	NN	moment
is	VBZ	be
the	DT	the
project	NN	project
of	IN	of
philosophy	NN	philosophy
,	,	,
the	DT	the
project	NN	project
that	WDT	that
begins	VBZ	begin
in	IN	in
wonder	NN	wonder
—	:	-
what	WP	what
Kant	NP	Kant
called	VBD	call
"	``	"
admiration	NN	admiration
and	CC	and
awe	NN	awe
at	IN	at
the	DT	the
starry	JJ	starry
sky	NN	sky
above	IN	above
and	CC	and
the	DT	the
moral	JJ	moral
law	NN	law
within	IN	within
.	SENT	.
"	``	"
What	WP	what
can	MD	can
creatures	NNS	creature
like	VB	like
us	PP	us
know	VB	know
of	IN	of
such	JJ	such
things	NNS	thing
?	SENT	?
It	PP	it
is	VBZ	be
the	DT	the
project	NN	project
that	WDT	that
always	RB	always
takes	VBZ	take
us	PP	us
back	RB	back
to	TO	to
the	DT	the
condition	NN	condition
of	IN	of
existence	NN	existence
—	:	-
what	WP	what
Heidegger	NP	Heidegger
called	VBD	call
"	``	"
the	DT	the
always	RB	always
already	RB	already
there	RB	there
.	SENT	.
"	``	"
It	PP	it
is	VBZ	be
the	DT	the
project	NN	project
of	IN	of
questioning	VBG	question
what	WP	what
we	PP	we
believe	VBP	believe
and	CC	and
why	WRB	why
we	PP	we
believe	VBP	believe
it	PP	it
—	:	-
what	WP	what
Socrates	NP	Socrates
called	VBD	call
"	``	"
the	DT	the
examined	VBN	examine
life	NN	life
.	SENT	.
"	''	"
Socrates	NP	Socrates
,	,	,
a	DT	a
man	NN	man
wise	JJ	wise
enough	RB	enough
to	TO	to
know	VB	know
that	IN	that
he	PP	he
knows	VBZ	know
nothing	NN	nothing
.	SENT	.
Socrates	NP	Socrates
died	VBD	die
in	IN	in
prison	NN	prison
,	,	,
his	PP$	his
philosophy	NN	philosophy
intact	JJ	intact
.	SENT	.
So	RB	so
Tony	NP	Tony
starts	VBZ	start
doing	VBG	do
his	PP$	his
homework	NN	homework
.	SENT	.
He	PP	he
learns	VBZ	learn
his	PP$	his
whys	NNS	why
and	CC	and
wherefores	NNS	wherefore
,	,	,
his	PP$	his
causes	NNS	cause
and	CC	and
correlations	NNS	correlation
,	,	,
his	PP$	his
logic	NN	logic
,	,	,
his	PP$	his
fallacies	NNS	fallacy
.	SENT	.
Turns	VBZ	turn
out	RP	out
,	,	,
Tony	NP	Tony
'	POS	'
s	NN	S
got	VBD	get
the	DT	the
philosophy	NN	philosophy
muscle	NN	muscle
.	SENT	.
His	PP$	his
body	NN	body
is	VBZ	be
in	IN	in
prison	NN	prison
,	,	,
but	CC	but
his	PP$	his
mind	NN	mind
is	VBZ	be
free	JJ	free
.	SENT	.
Tony	NP	Tony
learns	VBZ	learn
about	IN	about
the	DT	the
ontologically	RB	ontologically
promiscuous	JJ	promiscuous
,	,	,
the	DT	the
epistemologically	RB	epistemologically
anxious	JJ	anxious
,	,	,
the	DT	the
ethically	RB	ethically
dubious	JJ	dubious
,	,	,
the	DT	the
metaphysically	RB	metaphysically
ridiculous	JJ	ridiculous
.	SENT	.
That	IN	that
'	POS	'
s	JJ	<unknown>
Plato	NP	Plato
,	,	,
Descartes	NP	Descartes
,	,	,
Nietzsche	NP	Nietzsche
and	CC	and
Bill	NP	Bill
Clinton	NP	Clinton
.	SENT	.
So	RB	so
when	WRB	when
he	PP	he
gives	VBZ	give
me	PP	me
his	PP$	his
final	JJ	final
paper	NN	paper
,	,	,
in	IN	in
which	WDT	which
he	PP	he
argues	VBZ	argue
that	IN	that
the	DT	the
categorical	JJ	categorical
imperative	NN	imperative
is	VBZ	be
perhaps	RB	perhaps
too	RB	too
uncompromising	JJ	uncompromising
to	TO	to
deal	VB	deal
with	IN	with
the	DT	the
conflict	NN	conflict
that	WDT	that
affects	VBZ	affect
our	PP$	our
everyday	JJ	everyday
and	CC	and
challenges	VBZ	challenge
me	PP	me
to	TO	to
tell	VB	tell
him	PP	him
whether	IN	whether
therefore	RB	therefore
we	PP	we
are	VBP	be
condemned	VBN	condemn
to	TO	to
moral	JJ	moral
failure	NN	failure
,	,	,
I	PP	I
say	VBP	say
,	,	,
"	``	"
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
.	SENT	.
Let	VB	let
us	PP	us
think	VBP	think
about	RB	about
that	RB	that
.	SENT	.
"	''	"
Because	IN	because
in	IN	in
that	DT	that
moment	NN	moment
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
mark	NN	mark
by	IN	by
Tony	NP	Tony
'	POS	'
s	NN	S
name	NN	name
;	:	;
it	PP	it
'	POS	'
s	NN	S
just	RB	just
the	DT	the
two	CD	two
of	IN	of
us	PP	us
standing	VBG	stand
there	RB	there
.	SENT	.
It	PP	it
is	VBZ	be
not	RB	not
professor	NN	professor
and	CC	and
convict	VB	convict
,	,	,
it	PP	it
is	VBZ	be
just	RB	just
two	CD	two
minds	NNS	mind
ready	JJ	ready
to	TO	to
do	VB	do
philosophy	NN	philosophy
.	SENT	.
And	CC	and
I	PP	I
say	VBP	say
to	TO	to
Tony	NP	Tony
,	,	,
"	``	"
Let	VB	let
'	''	'
s	NNS	<unknown>
do	VBP	do
this	DT	this
.	SENT	.
"	``	"
Thank	VB	thank
you	PP	you
.	SENT	.
