Fifteen	CD	fifteen
The	DT	the
part	NN	part
that	WDT	that
manages	VBZ	manage
emotions	NNS	emotion
,	,	,
solves	VBZ	solve
problems	NNS	problem
,	,	,
makes	VBZ	make
plans	NNS	plan
--	:	--
all	DT	all
things	NNS	thing
that	IN	that
children	NNS	child
have	VBP	have
to	TO	to
do	VB	do
when	WRB	when
they	PP	they
play	VBP	play
.	SENT	.
So	RB	so
when	WRB	when
we	PP	we
think	VBP	think
of	IN	of
it	PP	it
that	WDT	that
way	NN	way
,	,	,
play	NN	play
is	VBZ	be
actually	RB	actually
hard	JJ	hard
work	NN	work
.	SENT	.
If	IN	if
learning	NN	learning
is	VBZ	be
like	IN	like
a	DT	a
workout	NN	workout
for	IN	for
the	DT	the
brain	NN	brain
,	,	,
then	RB	then
play-based	JJ	<unknown>
learning	NN	learning
is	VBZ	be
the	DT	the
heavy	JJ	heavy
lifting	NN	lifting
.	SENT	.
And	CC	and
just	RB	just
as	IN	as
heavy	JJ	heavy
lifting	NN	lifting
builds	VBZ	build
muscle	NN	muscle
,	,	,
play-based	JJ	<unknown>
learning	NN	learning
builds	VBZ	build
the	DT	the
brain	NN	brain
'	POS	'
s	NN	S
architecture	NN	architecture
.	SENT	.
So	RB	so
then	RB	then
where	WRB	where
do	VBP	do
us	PP	us
as	IN	as
grown-ups	NNS	grown-up
come	VBN	come
in	IN	in
?	SENT	?
It	PP	it
'	POS	'
s	NN	S
those	DT	those
interactions	NNS	interaction
when	WRB	when
a	DT	a
child	NN	child
says	VBZ	say
something	NN	something
and	CC	and
a	DT	a
parent	NN	parent
or	CC	or
teacher	NN	teacher
says	VBZ	say
something	NN	something
back	RB	back
,	,	,
those	DT	those
interactions	NNS	interaction
help	VBP	help
the	DT	the
child	NN	child
to	TO	to
persist	VB	persist
,	,	,
to	TO	to
stick	VB	stick
with	IN	with
their	PP$	their
plan	NN	plan
,	,	,
to	TO	to
keep	VB	keep
rebuilding	VBG	rebuild
the	DT	the
block	NN	block
tower	NN	tower
each	DT	each
time	NN	time
it	PP	it
falls	VBZ	fall
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	NNS	<unknown>
the	DT	the
play	NN	play
paired	VBN	pair
with	IN	with
the	DT	the
adult	JJ	adult
interactions	NNS	interaction
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
like	IN	like
superfood	NN	<unknown>
for	IN	for
the	DT	the
brain	NN	brain
.	SENT	.
The	DT	the
research	NN	research
community	NN	community
in	IN	in
supportive	JJ	supportive
play	NN	play
is	VBZ	be
so	RB	so
resounding	JJ	resounding
,	,	,
I	PP	I
would	MD	would
expect	VB	expect
to	TO	to
see	VB	see
children	NNS	child
in	IN	in
nearly	RB	nearly
every	DT	every
household	NN	household
,	,	,
every	DT	every
preschool	JJ	preschool
and	CC	and
kindergarten	NN	kindergarten
classroom	NN	classroom
playing	VBG	play
for	IN	for
most	JJS	most
of	IN	of
their	PP$	their
waking	VBG	wake
hours	NNS	hour
.	SENT	.
But	CC	but
that	WDT	that
'	POS	'
s	NN	S
far	RB	far
from	IN	from
reality	NN	reality
.	SENT	.
We	PP	we
don	VBP	don
'	''	'
t	NN	t
see	VBP	see
widespread	JJ	widespread
uptake	NN	uptake
of	IN	of
play	NN	play
among	IN	among
parents	NNS	parent
or	CC	or
teachers	NNS	teacher
,	,	,
and	CC	and
sometimes	RB	sometimes
we	PP	we
even	RB	even
see	VBP	see
resistance	NN	resistance
.	SENT	.
So	RB	so
what	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
on	IN	on
?	SENT	?
What	WP	what
'	POS	'
s	NN	S
driving	VBG	drive
us	PP	us
as	IN	as
parents	NNS	parent
and	CC	and
teachers	NNS	teacher
to	TO	to
ignore	VB	ignore
the	DT	the
overwhelming	JJ	overwhelming
research	NN	research
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
play	VB	play
?	SENT	?
After	IN	after
years	NNS	year
of	IN	of
teaching	VBG	teach
preschool	JJ	preschool
,	,	,
coaching	NN	coaching
teachers	NNS	teacher
,	,	,
coaching	NN	coaching
parents	NNS	parent
and	CC	and
analyzing	VBG	analyze
my	PP$	my
own	JJ	own
parenting	VBG	parent
,	,	,
I	PP	I
'	POS	'
ve	NN	ve
realized	VBD	realize
our	PP$	our
best	JJS	good
intentions	NNS	intention
are	VBP	be
getting	VBG	get
in	IN	in
the	DT	the
way	NN	way
.	SENT	.
We	PP	we
live	VBP	live
in	IN	in
a	DT	a
comparison	NN	comparison
culture	NN	culture
,	,	,
and	CC	and
we	PP	we
worry	VBP	worry
that	IN	that
our	PP$	our
child	NN	child
won	VBD	win
'	''	'
t	NN	t
be	VB	be
good	JJ	good
enough	RB	enough
.	SENT	.
Won	NP	Won
'	POS	'
t	NN	t
be	VB	be
good	JJ	good
enough	RB	enough
for	IN	for
the	DT	the
soccer	NN	soccer
team	NN	team
,	,	,
won	VBN	win
'	POS	'
t	NN	t
be	VB	be
ready	JJ	ready
for	IN	for
kindergarten	NN	kindergarten
,	,	,
won	VBN	win
'	POS	'
t	NN	t
be	VB	be
as	RB	as
smart	JJ	smart
as	IN	as
their	PP$	their
classmates	NNS	classmate
.	SENT	.
And	CC	and
we	PP	we
worry	VBP	worry
that	IN	that
if	IN	if
our	PP$	our
child	NN	child
doesn	NN	<unknown>
'	POS	'
t	NN	t
measure	NN	measure
up	RB	up
,	,	,
it	PP	it
will	MD	will
be	VB	be
our	PP$	our
fault	NN	fault
.	SENT	.
Our	PP$	our
hyperfocus	NN	hyperfocus
on	IN	on
our	PP$	our
children	NNS	child
and	CC	and
our	PP$	our
students	NNS	student
'	POS	'
s	NN	S
success	NN	success
is	VBZ	be
backfiring	VBG	backfire
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
exacerbated	VBD	exacerbate
by	IN	by
two	CD	two
forces	NNS	force
I	PP	I
see	VBP	see
impacting	VBG	impact
the	DT	the
large	JJ	large
majority	NN	majority
of	IN	of
parents	NNS	parent
and	CC	and
teachers	NNS	teacher
.	SENT	.
First	RB	first
,	,	,
the	DT	the
need	NN	need
for	IN	for
immediate	JJ	immediate
gratification	NN	gratification
and	CC	and
quick	JJ	quick
results	NNS	result
.	SENT	.
And	CC	and
second	JJ	second
,	,	,
our	PP$	our
own	JJ	own
discomfort	NN	discomfort
with	IN	with
play	NN	play
,	,	,
either	CC	either
because	IN	because
we	PP	we
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
the	DT	the
time	NN	time
or	CC	or
energy	NN	energy
,	,	,
or	CC	or
because	IN	because
we	PP	we
just	RB	just
don	VBP	don
'	POS	'
t	NN	t
know	VBP	know
how	WRB	how
to	TO	to
play	VB	play
anymore	RB	anymore
.	SENT	.
On	IN	on
the	DT	the
topic	NN	topic
of	IN	of
immediate	JJ	immediate
gratification	NN	gratification
,	,	,
I	PP	I
think	VBP	think
back	RB	back
to	TO	to
that	DT	that
Excel	NP	Excel
document	NN	document
I	PP	I
created	VBD	create
as	IN	as
a	DT	a
first-year	JJ	first-year
teacher	NN	teacher
.	SENT	.
That	DT	that
document	NN	document
was	VBD	be
the	DT	the
manifestation	NN	manifestation
of	IN	of
my	PP$	my
anxiety	NN	anxiety
,	,	,
because	IN	because
often	RB	often
when	WRB	when
we	PP	we
feel	VBP	feel
anxious	JJ	anxious
or	CC	or
out	RB	out
of	IN	of
control	NN	control
,	,	,
we	PP	we
revert	VBP	revert
back	RB	back
to	TO	to
what	WP	what
we	PP	we
can	MD	can
control	VB	control
.	SENT	.
For	IN	for
parents	NNS	parent
and	CC	and
teachers	NNS	teacher
,	,	,
we	PP	we
often	RB	often
revert	VBP	revert
to	TO	to
fact-based	JJ	fact-based
teaching	NN	teaching
because	IN	because
we	PP	we
see	VBP	see
pretty	RB	pretty
immediate	JJ	immediate
results	NNS	result
that	WDT	that
affirm	VBP	affirm
our	PP$	our
efforts	NNS	effort
.	SENT	.
Whereas	IN	whereas
we	PP	we
can	MD	can
'	''	'
t	NN	t
see	VB	see
the	DT	the
connections	NNS	connection
in	IN	in
the	DT	the
child	NN	child
'	POS	'
s	JJ	<unknown>
brain	NN	brain
that	DT	that
fire	NN	fire
when	WRB	when
they	PP	they
finally	RB	finally
get	VBP	get
that	IN	that
wobbly	JJ	wobbly
block	NN	block
tower	NN	tower
to	TO	to
stay	VB	stay
standing	NN	standing
.	SENT	.
The	DT	the
immediate	JJ	immediate
result	NN	result
of	IN	of
something	NN	something
like	IN	like
our	PP$	our
child	NN	child
learning	VBG	learn
a	DT	a
new	JJ	new
letter	NN	letter
,	,	,
it	PP	it
gives	VBZ	give
us	PP	us
this	DT	this
dopamine	NN	dopamine
rush	NN	rush
that	WDT	that
then	RB	then
sets	VBZ	set
off	RP	off
a	DT	a
flywheel	NN	flywheel
effect	NN	effect
because	IN	because
as	IN	as
we	PP	we
see	VBP	see
and	CC	and
feel	VBP	feel
the	DT	the
results	NNS	result
of	IN	of
our	PP$	our
work	NN	work
more	RBR	more
and	CC	and
more	RBR	more
,	,	,
we	PP	we
subconsciously	RB	subconsciously
begin	VBP	begin
to	TO	to
prioritize	VB	<unknown>
that	DT	that
type	NN	type
of	IN	of
teaching	NN	teaching
.	SENT	.
Recently	RB	recently
,	,	,
my	PP$	my
staff	NN	staff
was	VBD	be
coaching	VBG	coach
a	DT	a
group	NN	group
of	IN	of
school	NN	school
principals	NNS	principal
on	IN	on
the	DT	the
importance	NN	importance
of	IN	of
play	NN	play
.	SENT	.
And	CC	and
one	CD	one
of	IN	of
the	DT	the
principals	NNS	principal
said	VBD	say
that	IN	that
his	PP$	his
teachers	NNS	teacher
just	RB	just
weren	NN	<unknown>
'	POS	'
t	NN	t
on	IN	on
board	NN	board
.	SENT	.
They	PP	they
said	VBD	say
their	PP$	their
students	NNS	student
are	VBP	be
too	RB	too
far	RB	far
behind	IN	behind
to	TO	to
play	VB	play
.	SENT	.
And	CC	and
those	DT	those
well-intentioned	JJ	well-intentioned
teachers	NNS	teacher
,	,	,
they	PP	they
were	VBD	be
equating	VBG	equate
academic	JJ	academic
learning	NN	learning
that	IN	that
their	PP$	their
students	NNS	student
needed	VBN	need
with	IN	with
methods	NNS	method
that	WDT	that
would	MD	would
show	VB	show
quick	JJ	quick
,	,	,
concrete	JJ	concrete
results	NNS	result
.	SENT	.
They	PP	they
felt	VBD	feel
really	RB	really
proud	JJ	proud
and	CC	and
accomplished	VBN	accomplish
when	WRB	when
they	PP	they
could	MD	could
talk	VB	talk
to	TO	to
the	DT	the
students	NNS	student
'	POS	'
parents	NNS	parent
and	CC	and
say	VBP	say
how	WRB	how
many	JJ	many
letters	NNS	letter
and	CC	and
numbers	NNS	number
they	PP	they
learned	VBD	learn
that	DT	that
month	NN	month
.	SENT	.
Because	IN	because
we	PP	we
as	IN	as
parents	NNS	parent
and	CC	and
teachers	NNS	teacher
,	,	,
we	PP	we
share	VBP	share
this	DT	this
universal	JJ	universal
desire	NN	desire
for	IN	for
our	PP$	our
kids	NNS	kid
to	TO	to
do	VB	do
well	RB	well
.	SENT	.
And	CC	and
we	PP	we
will	MD	will
pour	VB	pour
our	PP$	our
energy	NN	energy
and	CC	and
resources	NNS	resource
into	IN	into
making	VBG	make
that	DT	that
happen	VB	happen
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NNS	<unknown>
showing	VBG	show
up	RP	up
in	IN	in
our	PP$	our
spending	NN	spending
habits	NNS	habit
.	SENT	.
Marketers	NNS	marketer
are	VBP	be
preying	VBG	prey
on	IN	on
it	PP	it
as	IN	as
they	PP	they
advertise	VBP	advertise
the	DT	the
latest	JJS	late
and	CC	and
greatest	JJS	great
toys	NNS	toy
,	,	,
flashcards	NNS	flashcard
,	,	,
iPad	NN	<unknown>
apps	NNS	<unknown>
for	IN	for
brain	NN	brain
development	NN	development
,	,	,
even	RB	even
kits	NNS	kit
that	WDT	that
claim	VBP	claim
to	TO	to
teach	VB	teach
your	PP$	your
baby	NN	baby
to	TO	to
read	VB	read
.	SENT	.
Seriously	RB	seriously
,	,	,
babies	NNS	baby
.	SENT	.
And	CC	and
because	IN	because
we	PP	we
worry	VBP	worry
that	IN	that
our	PP$	our
kids	NNS	kid
won	NN	won
'	POS	'
t	NN	t
measure	NN	measure
up	RB	up
,	,	,
we	PP	we
fall	VBP	fall
prey	NN	prey
to	TO	to
that	DT	that
.	SENT	.
The	DT	the
global	JJ	global
market	NN	market
for	IN	for
educational	JJ	educational
toys	NNS	toy
surpassed	VBD	surpass
68	CD	@card@
billion	NN	billion
dollars	NNS	dollar
in	IN	in
2021	CD	@card@
and	CC	and
is	VBZ	be
projected	VBN	project
to	TO	to
reach	VB	reach
132	CD	@card@
billion	NNS	billion
by	IN	by
2028	CD	@card@
.	SENT	.
But	CC	but
those	DT	those
smart	JJ	smart
toys	NNS	toy
,	,	,
they	PP	they
'	POS	'
re	NN	re
a	DT	a
far	JJ	far
cry	NN	cry
from	IN	from
the	DT	the
interactive	JJ	interactive
,	,	,
playful	JJ	playful
learning	NN	learning
that	IN	that
I	PP	I
was	VBD	be
talking	VBG	talk
about	RB	about
earlier	RBR	earlier
.	SENT	.
That	DT	that
type	NN	type
of	IN	of
learning	NN	learning
,	,	,
the	DT	the
real	JJ	real
gold	NN	gold
standard	NN	standard
of	IN	of
early	JJ	early
education	NN	education
,	,	,
it	PP	it
'	POS	'
s	NN	S
not	RB	not
immediate	JJ	immediate
.	SENT	.
It	PP	it
takes	VBZ	take
time	NN	time
and	CC	and
it	PP	it
doesn	NP	<unknown>
'	POS	'
t	NN	t
lend	VB	lend
itself	PP	itself
to	TO	to
a	DT	a
checklist	NN	checklist
or	CC	or
an	DT	an
Excel	NP	Excel
document	NN	document
.	SENT	.
The	DT	the
second	JJ	second
force	NN	force
I	PP	I
see	VBP	see
negatively	RB	negatively
impacting	VBG	impact
play-based	JJ	<unknown>
learning	NN	learning
is	VBZ	be
that	IN	that
we	PP	we
,	,	,
as	IN	as
grown	VBN	grow
ups	NNS	up
,	,	,
parents	NNS	parent
and	CC	and
teachers	NNS	teacher
,	,	,
just	RB	just
don	NN	don
'	POS	'
t	NN	t
always	RB	always
like	IN	like
hearing	VBG	hear
that	DT	that
play-based	JJ	<unknown>
learning	NN	learning
might	MD	might
require	VB	require
some	DT	some
of	IN	of
us	PP	us
.	SENT	.
Because	IN	because
that	DT	that
means	NNS	mean
it	PP	it
will	MD	will
take	VB	take
time	NN	time
,	,	,
energy	NN	energy
and	CC	and
skills	NNS	skill
that	IN	that
we	PP	we
don	VB	don
'	''	'
t	NN	t
think	VBP	think
we	PP	we
have	VBP	have
.	SENT	.
But	CC	but
not	RB	not
only	RB	only
is	VBZ	be
it	PP	it
worth	VBP	worth
our	PP$	our
time	NN	time
,	,	,
it	PP	it
can	MD	can
be	VB	be
done	VBN	do
in	IN	in
really	RB	really
small	JJ	small
doses	NNS	dose
.	SENT	.
So	RB	so
take	VB	take
this	DT	this
simple	JJ	simple
example	NN	example
of	IN	of
bath	NN	bath
time	NN	time
.	SENT	.
If	IN	if
I	PP	I
'	POS	'
m	NN	m
a	DT	a
busy	JJ	busy
mom	NN	mom
who	WP	who
has	VBZ	have
a	DT	a
few	JJ	few
extra	JJ	extra
dollars	NNS	dollar
to	TO	to
spend	VB	spend
,	,	,
I	PP	I
might	MD	might
pop	VB	pop
my	PP$	my
kiddo	NN	<unknown>
into	IN	into
the	DT	the
tub	NN	tub
,	,	,
remember	VBP	remember
that	IN	that
buying	VBG	buy
bath	NN	bath
toys	NNS	toy
has	VBZ	have
been	VBN	be
on	IN	on
my	PP$	my
never-ending	VBG	never-end
mental	JJ	mental
to-do	NN	to-do
list	NN	list
for	IN	for
weeks	NNS	week
,	,	,
so	RB	so
I	PP	I
whip	VB	whip
out	RP	out
my	PP$	my
phone	NN	phone
and	CC	and
I	PP	I
use	VBP	use
that	IN	that
five	CD	five
minutes	NNS	minute
to	TO	to
go	VB	go
over	RP	over
to	TO	to
Amazon	NP	Amazon
and	CC	and
buy	VB	buy
the	DT	the
top-rated	JJ	top-rated
bath	NN	bath
toys	NNS	toy
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
not	RB	not
here	RB	here
to	TO	to
say	VB	say
that	IN	that
those	DT	those
bath	NN	bath
toys	NNS	toy
are	VBP	be
harmful	JJ	harmful
for	IN	for
your	PP$	your
child	NN	child
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
not	RB	not
.	SENT	.
But	CC	but
you	PP	you
'	POS	'
re	NN	re
busy	JJ	busy
.	SENT	.
So	RB	so
what	WP	what
you	PP	you
do	VBP	do
with	IN	with
that	DT	that
five	CD	five
to	TO	to
10	CD	@card@
minutes	NNS	minute
,	,	,
it	PP	it
matters	VBZ	matter
.	SENT	.
And	CC	and
you	PP	you
know	VBP	know
what	WP	what
would	MD	would
be	VB	be
way	RB	way
better	RBR	well
than	IN	than
scrolling	VBG	scroll
Amazon	NP	Amazon
and	CC	and
even	RB	even
better	RBR	well
than	IN	than
those	DT	those
bath	NN	bath
toys	NNS	toy
?	SENT	?
Three	CD	three
things	NNS	thing
that	IN	that
I	PP	I
can	MD	can
almost	RB	almost
guarantee	VB	guarantee
you	PP	you
have	VBP	have
in	IN	in
your	PP$	your
home	NN	home
.	SENT	.
Measuring	VBG	measure
cups	NNS	cup
,	,	,
kitchen	NN	kitchen
sponges	VBZ	sponge
and	CC	and
you	PP	you
.	SENT	.
Because	IN	because
a	DT	a
couple	NN	couple
household	NN	household
materials	NNS	material
dropped	VBD	drop
into	IN	into
the	DT	the
bathtub	NN	bathtub
,	,	,
and	CC	and
this	DT	this
mundane	JJ	mundane
routine	NN	routine
becomes	VBZ	become
fun	NN	fun
and	CC	and
surprisingly	RB	surprisingly
energizing	VBG	energize
bonding	VBG	bond
time	NN	time
for	IN	for
you	PP	you
and	CC	and
your	PP$	your
child	NN	child
.	SENT	.
And	CC	and
bonus	NN	bonus
,	,	,
instead	RB	instead
of	IN	of
the	DT	the
manufacturer-designed	JJ	manufacturer-designed
toy	NN	toy
telling	VBG	tell
your	PP$	your
child	NN	child
how	WRB	how
to	TO	to
play	VB	play
,	,	,
your	PP$	your
child	NN	child
'	POS	'
s	NN	S
brain	NN	brain
has	VBZ	have
to	TO	to
do	VB	do
the	DT	the
heavy	JJ	heavy
lifting	NN	lifting
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
that	IN	that
superfood	NN	<unknown>
for	IN	for
the	DT	the
brain	NN	brain
.	SENT	.
Now	RB	now
,	,	,
over	IN	over
the	DT	the
past	JJ	past
10	CD	@card@
years	NNS	year
coaching	VBG	coach
parents	NNS	parent
,	,	,
I	PP	I
have	VBP	have
heard	VBN	hear
over	RP	over
and	CC	and
over	RP	over
again	RB	again
that	IN	that
parents	NNS	parent
don	VB	don
'	''	'
t	NN	t
feel	VBP	feel
good	JJ	good
enough	NN	enough
at	IN	at
their	PP$	their
job	NN	job
,	,	,
at	IN	at
parenting	VBG	parent
.	SENT	.
And	CC	and
there	EX	there
'	''	'
s	NN	S
so	IN	so
much	JJ	much
pressure	NN	pressure
on	IN	on
us	PP	us
,	,	,
and	CC	and
sometimes	RB	sometimes
it	PP	it
feels	VBZ	feel
like	IN	like
we	PP	we
'	POS	'
re	NN	re
supposed	VBN	suppose
to	TO	to
innately	RB	innately
know	VB	know
how	WRB	how
to	TO	to
get	VB	get
down	RP	down
on	IN	on
the	DT	the
floor	NN	floor
and	CC	and
build	VB	build
our	PP$	our
baby	NN	baby
'	POS	'
s	NN	S
brains	NNS	brain
.	SENT	.
And	CC	and
over	IN	over
the	DT	the
past	JJ	past
few	JJ	few
years	NNS	year
,	,	,
the	DT	the
social	JJ	social
media	NNS	medium
world	NN	world
has	VBZ	have
exploded	VBN	explode
with	IN	with
even	RB	even
more	JJR	more
advice	NN	advice
for	IN	for
parents	NNS	parent
and	CC	and
teachers	NNS	teacher
.	SENT	.
How	WRB	how
to	TO	to
affirm	VB	affirm
children	NNS	child
'	POS	'
s	NN	S
feelings	NNS	feeling
but	CC	but
still	RB	still
set	VBN	set
clear	JJ	clear
boundaries	NNS	boundary
.	SENT	.
15	CD	@card@
ways	NNS	way
to	TO	to
use	VB	use
a	DT	a
cardboard	JJ	cardboard
box	NN	box
in	IN	in
your	PP$	your
classroom	NN	classroom
.	SENT	.
And	CC	and
DIY	NN	DIY
Halloween	NP	Halloween
costumes	NNS	costume
that	WDT	that
are	VBP	be
sure	JJ	sure
to	TO	to
win	VB	win
the	DT	the
school	NN	school
costume	NN	costume
contest	NN	contest
.	SENT	.
And	CC	and
as	IN	as
I	PP	I
rattle	VBP	rattle
those	DT	those
off	JJ	off
,	,	,
I	PP	I
could	MD	could
just	RB	just
imagine	VB	imagine
the	DT	the
rolling	VBG	roll
eyes	NNS	eye
from	IN	from
parents	NNS	parent
and	CC	and
teachers	NNS	teacher
,	,	,
and	CC	and
I	PP	I
share	VBP	share
that	DT	that
frustration	NN	frustration
.	SENT	.
Because	IN	because
sometimes	RB	sometimes
all	PDT	all
the	DT	the
chatter	NN	chatter
only	RB	only
makes	VBZ	make
us	PP	us
feel	VBP	feel
more	RBR	more
pressured	VBN	pressure
to	TO	to
get	VB	get
it	PP	it
right	RB	right
.	SENT	.
When	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
our	PP$	our
children	NNS	child
'	POS	'
s	NN	S
learning	NN	learning
,	,	,
though	RB	though
,	,	,
we	PP	we
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
be	VB	be
the	DT	the
perfect	JJ	perfect
Etsy	NP	<unknown>
parent	NN	parent
or	CC	or
the	DT	the
perfect	JJ	perfect
Pinterest	NN	Pinterest
teacher	NN	teacher
.	SENT	.
We	PP	we
have	VBP	have
to	TO	to
prioritize	VB	<unknown>
interactions	NNS	interaction
and	CC	and
be	VB	be
OK	JJ	OK
with	IN	with
them	PP	them
being	VBG	be
imperfect	JJ	imperfect
.	SENT	.
Because	IN	because
it	PP	it
may	MD	may
seem	VB	seem
silly	RB	silly
to	TO	to
admit	VB	admit
that	IN	that
we	PP	we
don	VB	don
'	''	'
t	NN	t
feel	VBP	feel
good	JJ	good
at	IN	at
playing	VBG	play
with	IN	with
our	PP$	our
kids	NNS	kid
,	,	,
but	CC	but
as	IN	as
adults	NNS	adult
,	,	,
it	PP	it
'	POS	'
s	NN	S
not	RB	not
always	RB	always
intuitive	JJ	intuitive
.	SENT	.
Sure	RB	sure
,	,	,
most	JJS	most
of	IN	of
us	PP	us
played	VBD	play
a	DT	a
lot	NN	lot
when	WRB	when
we	PP	we
were	VBD	be
little	JJ	little
.	SENT	.
We	PP	we
'	POS	'
d	NN	d
tie	VB	tie
the	DT	the
blankets	NNS	blanket
around	IN	around
their	PP$	their
neck	NN	neck
and	CC	and
bound	VBN	bind
around	IN	around
the	DT	the
house	NN	house
like	IN	like
superheroes	NNS	superhero
.	SENT	.
But	CC	but
as	IN	as
we	PP	we
grew	VBD	grow
up	RP	up
,	,	,
that	DT	that
type	NN	type
of	IN	of
play	NN	play
wasn	NN	<unknown>
'	POS	'
t	NN	t
encouraged	VBD	encourage
anymore	RB	anymore
.	SENT	.
And	CC	and
just	RB	just
as	RB	as
with	IN	with
any	DT	any
skill	NN	skill
that	IN	that
we	PP	we
don	VB	don
'	''	'
t	NN	t
use	NN	use
,	,	,
we	PP	we
risk	VBP	risk
losing	VBG	lose
it	PP	it
.	SENT	.
A	DT	a
couple	NN	couple
months	NNS	month
ago	RB	ago
,	,	,
my	PP$	my
colleague	NN	colleague
and	CC	and
I	PP	I
,	,	,
we	PP	we
were	VBD	be
leading	VBG	lead
a	DT	a
workshop	NN	workshop
for	IN	for
parents	NNS	parent
and	CC	and
teachers	NNS	teacher
.	SENT	.
And	CC	and
we	PP	we
brought	VBD	bring
materials	NNS	material
like	IN	like
shaving	NN	shaving
cream	NN	cream
and	CC	and
plastic	NN	plastic
straws	NNS	straw
and	CC	and
buttons	NNS	button
and	CC	and
pipe	NN	pipe
cleaners	NNS	cleaner
and	CC	and
just	RB	just
asked	VBD	ask
the	DT	the
parents	NNS	parent
and	CC	and
teachers	NNS	teacher
to	TO	to
play	VB	play
,	,	,
to	TO	to
create	VB	create
.	SENT	.
Everyone	NN	everyone
froze	VBD	freeze
.	SENT	.
Then	RB	then
,	,	,
slowly	RB	slowly
but	CC	but
surely	RB	surely
,	,	,
people	NNS	people
started	VBD	start
to	TO	to
create	VB	create
.	SENT	.
And	CC	and
by	IN	by
the	DT	the
end	NN	end
of	IN	of
the	DT	the
session	NN	session
,	,	,
their	PP$	their
faces	NNS	face
were	VBD	be
