Now	RB	now
it	PP	it
'	POS	'
s	NN	S
about	RB	about
to	TO	to
go	VB	go
,	,	,
and	CC	and
I	PP	I
put	VBD	put
my	PP$	my
sheet	NN	sheet
in	IN	in
the	DT	the
camera	NN	camera
,	,	,
it	PP	it
'	POS	'
s	NN	S
all	RB	all
focused	VBN	focus
,	,	,
and	CC	and
all	DT	all
of	IN	of
a	DT	a
sudden	NN	sudden
there	RB	there
'	POS	'
s	NN	S
a	DT	a
massive	JJ	massive
"	``	"
whack	NN	whack
,	,	,
"	``	"
and	CC	and
I	PP	I
'	POS	'
m	NN	m
looking	VBG	look
around	RP	around
,	,	,
and	CC	and
in	IN	in
the	DT	the
top	JJ	top
corner	NN	corner
of	IN	of
the	DT	the
tree	NN	tree
,	,	,
one	CD	one
of	IN	of
the	DT	the
girls	NNS	girl
slaps	VBZ	slap
the	DT	the
girl	NN	girl
next	JJ	next
to	TO	to
her	PP	her
,	,	,
and	CC	and
the	DT	the
girl	NN	girl
next	JJ	next
to	TO	to
her	PP	her
pulls	VBZ	pull
her	PP$	her
hair	NN	hair
,	,	,
and	CC	and
all	DT	all
hell	NN	hell
breaks	VBZ	break
loose	JJ	loose
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
standing	NN	standing
there	RB	there
going	VBG	go
,	,	,
"	''	"
But	CC	but
the	DT	the
light	NN	light
,	,	,
the	DT	the
light	NN	light
.	SENT	.
Wait	VB	wait
,	,	,
I	PP	I
need	VBP	need
the	DT	the
light	NN	light
.	SENT	.
Stay	VB	stay
still	RB	still
!	SENT	!
Stay	VB	stay
still	RB	still
!	SENT	!
"	``	"
And	CC	and
they	PP	they
start	VBP	start
screaming	VBG	scream
,	,	,
and	CC	and
then	RB	then
one	CD	one
of	IN	of
the	DT	the
men	NNS	man
turns	VBZ	turn
around	RB	around
and	CC	and
starts	VBZ	start
screaming	VBG	scream
,	,	,
shouting	VBG	shout
,	,	,
and	CC	and
the	DT	the
whole	JJ	whole
tree	NN	tree
collapses	NNS	collapse
,	,	,
not	RB	not
the	DT	the
tree	NN	tree
,	,	,
but	CC	but
the	DT	the
people	NNS	people
in	IN	in
the	DT	the
tree	NN	tree
.	SENT	.
They	PP	they
'	''	'
re	IN	re
all	DT	all
running	NN	running
around	IN	around
screaming	VBG	scream
,	,	,
and	CC	and
they	PP	they
run	VBP	run
back	RB	back
off	RB	off
into	IN	into
the	DT	the
village	NN	village
in	IN	in
this	DT	this
sort	NN	sort
of	IN	of
cloud	NN	cloud
of	IN	of
smoke	NN	smoke
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
left	VBD	leave
there	RB	there
standing	NN	standing
behind	IN	behind
my	PP$	my
tripod	NN	tripod
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
got	VBD	get
my	PP$	my
sheet	NN	sheet
,	,	,
and	CC	and
the	DT	the
light	NN	light
'	POS	'
s	NNS	<unknown>
gone	VBN	go
,	,	,
and	CC	and
I	PP	I
can	MD	can
'	''	'
t	NN	t
make	VB	make
the	DT	the
picture	NN	picture
.	SENT	.
Where	WRB	where
have	VB	have
they	PP	they
all	RB	all
gone	VBN	go
?	SENT	?
I	PP	I
had	VBD	have
no	DT	no
idea	NN	idea
.	SENT	.
It	PP	it
took	VBD	take
me	PP	me
a	DT	a
week	NN	week
,	,	,
it	PP	it
took	VBD	take
me	PP	me
a	DT	a
week	NN	week
to	TO	to
make	VB	make
the	DT	the
picture	NN	picture
which	WDT	which
you	PP	you
see	VBP	see
here	RB	here
today	NN	today
,	,	,
and	CC	and
I	PP	I
'	POS	'
ll	NNS	<unknown>
tell	VBP	tell
you	PP	you
why	WRB	why
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
very	RB	very
,	,	,
very	RB	very
,	,	,
very	RB	very
simple	JJ	simple
—	:	-
I	PP	I
spent	VBD	spend
a	DT	a
week	NN	week
going	VBG	go
around	IN	around
the	DT	the
village	NN	village
,	,	,
and	CC	and
I	PP	I
went	VBD	go
to	TO	to
every	DT	every
single	JJ	single
one	CD	one
:	:	:
"	``	"
Hello	UH	hello
,	,	,
can	MD	can
you	PP	you
meet	VB	meet
at	IN	at
the	DT	the
tree	NN	tree
?	SENT	?
What	WP	what
'	''	'
s	VBG	<unknown>
your	PP$	your
story	NN	story
?	SENT	?
Who	WP	who
are	VBP	be
you	PP	you
?	SENT	?
"	``	"
And	CC	and
it	PP	it
all	RB	all
turned	VBD	turn
out	RP	out
to	TO	to
be	VB	be
about	IN	about
a	DT	a
boyfriend	NN	boyfriend
,	,	,
for	IN	for
crying	VBG	cry
out	RP	out
loud	RB	loud
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
I	PP	I
have	VBP	have
teenage	JJ	teenage
kids	NNS	kid
.	SENT	.
I	PP	I
should	MD	should
know	VB	know
.	SENT	.
It	PP	it
was	VBD	be
about	RB	about
a	DT	a
boyfriend	NN	boyfriend
.	SENT	.
The	DT	the
girl	NN	girl
on	IN	on
the	DT	the
top	NN	top
,	,	,
she	PP	she
'	POS	'
d	NN	d
kissed	VBD	kiss
the	DT	the
wrong	JJ	wrong
boy	NN	boy
,	,	,
and	CC	and
they	PP	they
'	POS	'
d	NN	d
started	VBD	start
having	VBG	have
a	DT	a
fight	NN	fight
.	SENT	.
And	CC	and
there	EX	there
was	VBD	be
a	DT	a
very	JJ	very
,	,	,
very	RB	very
beautiful	JJ	beautiful
lesson	NN	lesson
for	IN	for
me	PP	me
in	IN	in
that	DT	that
:	:	:
If	IN	if
I	PP	I
was	VBD	be
going	VBG	go
to	TO	to
photograph	VB	photograph
these	DT	these
people	NNS	people
in	IN	in
the	DT	the
dignified	JJ	dignified
,	,	,
respectful	JJ	respectful
way	NN	way
that	IN	that
I	PP	I
had	VBD	have
intended	VBN	intend
,	,	,
and	CC	and
put	VB	put
them	PP	them
on	IN	on
a	DT	a
pedestal	NN	pedestal
,	,	,
I	PP	I
had	VBD	have
to	TO	to
understand	VB	understand
them	PP	them
.	SENT	.
It	PP	it
wasn	NP	<unknown>
'	POS	'
t	NN	t
just	RB	just
about	IN	about
turning	VBG	turn
up	RP	up
.	SENT	.
It	PP	it
wasn	NP	<unknown>
'	POS	'
t	NN	t
just	RB	just
about	IN	about
shaking	VBG	shake
a	DT	a
hand	NN	hand
.	SENT	.
It	PP	it
wasn	NP	<unknown>
'	POS	'
t	NN	t
about	IN	about
just	RB	just
saying	VBG	say
,	,	,
"	''	"
I	NP	I
'	POS	'
m	NN	m
Jimmy	NP	Jimmy
,	,	,
I	NP	I
'	POS	'
m	NN	m
a	DT	a
photographer	NN	photographer
.	SENT	.
"	``	"
I	PP	I
had	VBD	have
to	TO	to
get	VB	get
to	TO	to
know	VB	know
every	DT	every
single	JJ	single
one	CD	one
of	IN	of
them	PP	them
,	,	,
right	RB	right
down	RB	down
to	TO	to
whose	WP$	whose
boyfriend	NN	boyfriend
is	VBZ	be
who	WP	who
and	CC	and
who	WP	who
is	VBZ	be
allowed	VBN	allow
to	TO	to
kiss	VB	kiss
who	WP	who
.	SENT	.
So	RB	so
in	IN	in
the	DT	the
end	NN	end
,	,	,
a	DT	a
week	NN	week
later	RBR	later
,	,	,
and	CC	and
I	PP	I
was	VBD	be
absolutely	RB	absolutely
exhausted	VBN	exhaust
,	,	,
I	PP	I
mean	VBP	mean
on	IN	on
my	PP$	my
knees	NNS	knee
going	VBG	go
,	,	,
"	``	"
Please	UH	please
get	VB	get
back	RB	back
up	RB	up
in	IN	in
that	DT	that
tree	NN	tree
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
picture	NN	picture
I	PP	I
need	VBP	need
to	TO	to
make	VB	make
.	SENT	.
"	``	"
They	PP	they
all	RB	all
came	VBD	come
back	RB	back
.	SENT	.
I	PP	I
put	VBD	put
them	PP	them
all	RB	all
back	RB	back
up	RB	up
in	IN	in
the	DT	the
tree	NN	tree
.	SENT	.
I	PP	I
made	VBD	make
sure	RB	sure
the	DT	the
girls	NNS	girl
were	VBD	be
in	IN	in
the	DT	the
right	JJ	right
position	NN	position
,	,	,
and	CC	and
the	DT	the
ones	NNS	one
that	WDT	that
slapped	VBD	slap
,	,	,
one	PP	one
was	VBD	be
over	RB	over
there	RB	there
.	SENT	.
They	PP	they
did	VBD	do
look	NN	look
at	IN	at
each	DT	each
other	JJ	other
.	SENT	.
If	IN	if
you	PP	you
look	VBP	look
at	IN	at
it	PP	it
later	RBR	later
,	,	,
they	PP	they
'	POS	'
re	NN	re
staring	VBG	stare
at	IN	at
each	DT	each
other	JJ	other
very	RB	very
angrily	RB	angrily
,	,	,
and	CC	and
I	PP	I
'	POS	'
ve	NN	ve
got	VBD	get
the	DT	the
tree	NN	tree
and	CC	and
everything	NN	everything
,	,	,
and	CC	and
then	RB	then
at	IN	at
the	DT	the
last	JJ	last
minute	NN	minute
,	,	,
I	PP	I
go	VBP	go
,	,	,
"	''	"
The	DT	the
goat	NN	goat
,	,	,
the	DT	the
goat	NN	goat
!	SENT	!
I	PP	I
need	VBP	need
something	NN	something
for	IN	for
the	DT	the
eye	NN	eye
to	TO	to
look	VB	look
at	IN	at
.	SENT	.
I	PP	I
need	VBP	need
a	DT	a
white	JJ	white
goat	NN	goat
in	IN	in
the	DT	the
middle	NN	middle
.	SENT	.
"	``	"
So	RB	so
I	PP	I
swapped	VBD	swap
all	PDT	all
the	DT	the
goats	NNS	goat
around	RB	around
.	SENT	.
I	PP	I
put	VBD	put
the	DT	the
goats	NNS	goat
in	IN	in
.	SENT	.
But	CC	but
even	RB	even
then	RB	then
I	PP	I
got	VBD	get
it	PP	it
wrong	JJ	wrong
,	,	,
because	IN	because
if	IN	if
you	PP	you
can	MD	can
see	VB	see
on	IN	on
the	DT	the
left-hand	JJ	left-hand
side	NN	side
,	,	,
another	DT	another
little	JJ	little
boy	NN	boy
storms	NNS	storm
off	RB	off
because	IN	because
I	PP	I
didn	NN	<unknown>
'	POS	'
t	NN	t
choose	VB	choose
his	PP$	his
goat	NN	goat
.	SENT	.
So	IN	so
the	DT	the
moral	JJ	moral
being	NN	being
I	PP	I
have	VBP	have
to	TO	to
learn	VB	learn
to	TO	to
speak	VB	speak
Goat	NN	goat
as	RB	as
well	RB	well
as	IN	as
Daasanach	NP	<unknown>
.	SENT	.
But	CC	but
anyway	RB	anyway
,	,	,
the	DT	the
effort	NN	effort
that	WDT	that
goes	VBZ	go
into	IN	into
that	DT	that
picture	NN	picture
and	CC	and
the	DT	the
story	NN	story
that	IN	that
I	NP	I
'	POS	'
ve	NN	ve
just	RB	just
related	VBN	relate
to	TO	to
you	PP	you
,	,	,
as	IN	as
you	PP	you
can	MD	can
imagine	VB	imagine
,	,	,
there	EX	there
are	VBP	be
hundreds	NNS	hundred
of	IN	of
other	JJ	other
bizarre	JJ	bizarre
,	,	,
eccentric	JJ	eccentric
stories	NNS	story
of	IN	of
hundreds	NNS	hundred
of	IN	of
other	JJ	other
people	NNS	people
around	IN	around
the	DT	the
world	NN	world
.	SENT	.
And	CC	and
this	DT	this
was	VBD	be
about	RB	about
four	CD	four
years	NNS	year
ago	RB	ago
,	,	,
and	CC	and
I	PP	I
set	VBD	set
off	RP	off
on	IN	on
a	DT	a
journey	NN	journey
,	,	,
to	TO	to
be	VB	be
honest	JJ	honest
,	,	,
a	DT	a
very	RB	very
indulgent	JJ	indulgent
journey	NN	journey
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
a	DT	a
real	JJ	real
romantic	NN	romantic
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
an	DT	an
idealist	NN	idealist
,	,	,
perhaps	RB	perhaps
in	IN	in
some	DT	some
ways	NNS	way
naive	JJ	naive
.	SENT	.
But	CC	but
I	PP	I
truly	RB	truly
believe	VBP	believe
that	IN	that
there	EX	there
are	VBP	be
people	NNS	people
on	IN	on
the	DT	the
planet	NN	planet
that	WDT	that
are	VBP	be
beautiful	JJ	beautiful
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
very	RB	very
,	,	,
very	RB	very
simple	JJ	simple
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
rocket	NN	rocket
science	NN	science
.	SENT	.
I	PP	I
wanted	VBD	want
to	TO	to
put	VB	put
these	DT	these
people	NNS	people
on	IN	on
a	DT	a
pedestal	NN	pedestal
.	SENT	.
I	PP	I
wanted	VBD	want
to	TO	to
put	VB	put
them	PP	them
on	IN	on
a	DT	a
pedestal	NN	pedestal
like	IN	like
they	PP	they
'	POS	'
d	NN	d
never	RB	never
been	VBN	be
seen	VBN	see
before	RB	before
.	SENT	.
So	RB	so
,	,	,
I	PP	I
chose	VBD	choose
about	RB	about
35	CD	@card@
different	JJ	different
groups	NNS	group
,	,	,
tribes	NNS	tribe
,	,	,
indigenous	JJ	indigenous
cultures	NNS	culture
.	SENT	.
They	PP	they
were	VBD	be
chosen	VBN	choose
purely	RB	purely
because	IN	because
of	IN	of
their	PP$	their
aesthetic	NN	aesthetic
,	,	,
and	CC	and
I	PP	I
'	POS	'
ll	NNS	<unknown>
talk	VBP	talk
more	RBR	more
about	RB	about
that	IN	that
later	RBR	later
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
not	RB	not
an	DT	an
anthropologist	NN	anthropologist
,	,	,
I	PP	I
have	VBP	have
no	DT	no
technical	JJ	technical
study	NN	study
with	IN	with
the	DT	the
subject	NN	subject
,	,	,
but	CC	but
I	PP	I
do	VBP	do
have	VB	have
a	DT	a
very	JJ	very
,	,	,
very	RB	very
,	,	,
very	RB	very
deep	JJ	deep
passion	NN	passion
,	,	,
and	CC	and
I	PP	I
believe	VBP	believe
that	IN	that
I	PP	I
had	VBD	have
to	TO	to
choose	VB	choose
the	DT	the
most	RBS	most
beautiful	JJ	beautiful
people	NNS	people
on	IN	on
the	DT	the
planet	NN	planet
in	IN	in
the	DT	the
most	RBS	most
beautiful	JJ	beautiful
environment	NN	environment
that	IN	that
they	PP	they
lived	VBD	live
in	IN	in
,	,	,
and	CC	and
put	VBD	put
the	DT	the
two	CD	two
together	RB	together
and	CC	and
present	VB	present
them	PP	them
to	TO	to
you	PP	you
.	SENT	.
About	IN	about
a	DT	a
year	NN	year
ago	RB	ago
,	,	,
I	PP	I
published	VBD	publish
the	DT	the
first	JJ	first
pictures	NNS	picture
,	,	,
and	CC	and
something	NN	something
extraordinarily	RB	extraordinarily
exciting	JJ	exciting
happened	VBD	happen
.	SENT	.
The	DT	the
whole	JJ	whole
world	NN	world
came	VBD	come
running	VBG	run
,	,	,
and	CC	and
it	PP	it
was	VBD	be
a	DT	a
bizarre	JJ	bizarre
experience	NN	experience
,	,	,
because	IN	because
everybody	NN	everybody
,	,	,
from	IN	from
everywhere	RB	everywhere
:	:	:
"	``	"
Who	WP	who
are	VBP	be
they	PP	they
?	SENT	?
What	WP	what
are	VBP	be
they	PP	they
?	SENT	?
How	WRB	how
many	JJ	many
are	VBP	be
they	PP	they
?	SENT	?
Where	WRB	where
did	VBD	do
you	PP	you
find	VB	find
them	PP	them
?	SENT	?
Are	VBP	be
they	PP	they
real	JJ	real
?	SENT	?
You	PP	you
faked	VBD	fake
it	PP	it
.	SENT	.
Tell	VB	tell
me	PP	me
.	SENT	.
Tell	VB	tell
me	PP	me
.	SENT	.
Tell	VB	tell
me	PP	me
.	SENT	.
Tell	VB	tell
me	PP	me
.	SENT	.
"	''	"
Millions	NNS	million
of	IN	of
questions	NNS	question
for	IN	for
which	WDT	which
,	,	,
to	TO	to
be	VB	be
honest	JJ	honest
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
the	DT	the
answers	NNS	answer
.	SENT	.
I	PP	I
really	RB	really
didn	JJ	<unknown>
'	''	'
t	NN	t
have	VBP	have
the	DT	the
answers	NNS	answer
,	,	,
and	CC	and
I	PP	I
could	MD	could
sort	VB	sort
of	IN	of
understand	VB	understand
,	,	,
okay	RB	okay
,	,	,
they	PP	they
'	POS	'
re	NN	re
beautiful	JJ	beautiful
,	,	,
that	WDT	that
was	VBD	be
my	PP$	my
intention	NN	intention
,	,	,
but	CC	but
the	DT	the
questions	NNS	question
that	IN	that
I	PP	I
was	VBD	be
being	VBG	be
fired	VBN	fire
at	IN	at
,	,	,
I	PP	I
could	MD	could
not	RB	not
answer	VB	answer
them	PP	them
.	SENT	.
Until	IN	until
,	,	,
it	PP	it
was	VBD	be
quite	RB	quite
amusing	JJ	amusing
,	,	,
about	IN	about
a	DT	a
year	NN	year
ago	RB	ago
somebody	NN	somebody
said	VBD	say
,	,	,
"	``	"
You	PP	you
'	POS	'
ve	RB	<unknown>
been	VBN	be
invited	VBN	invite
to	TO	to
do	VB	do
a	DT	a
TED	VBP	ted
Talk	NN	talk
.	SENT	.
"	``	"
And	CC	and
I	PP	I
said	VBD	say
,	,	,
"	``	"
Ted	NP	Ted
?	SENT	?
Ted	NP	Ted
?	SENT	?
Who	WP	who
'	POS	'
s	JJ	<unknown>
Ted	NP	Ted
?	SENT	?
I	PP	I
haven	NN	haven
'	POS	'
t	NN	t
met	VBD	meet
Ted	NP	Ted
before	RB	before
.	SENT	.
"	''	"
He	PP	he
said	VBD	say
,	,	,
"	``	"
No	UH	no
,	,	,
a	DT	a
TED	VBP	ted
Talk	NN	talk
.	SENT	.
"	''	"
I	PP	I
said	VBD	say
,	,	,
"	''	"
But	CC	but
who	WP	who
'	POS	'
s	JJ	<unknown>
Ted	NP	Ted
?	SENT	?
Do	VB	do
I	PP	I
have	VBP	have
to	TO	to
talk	VB	talk
to	TO	to
him	PP	him
or	CC	or
do	VBP	do
we	PP	we
sit	VBP	sit
with	IN	with
each	DT	each
other	JJ	other
on	IN	on
the	DT	the
stage	NN	stage
?	SENT	?
"	''	"
And	CC	and
,	,	,
"	``	"
No	UH	no
,	,	,
no	UH	no
,	,	,
the	DT	the
TED	VBP	ted
group	NN	group
.	SENT	.
You	PP	you
must	MD	must
know	VB	know
about	IN	about
it	PP	it
.	SENT	.
"	``	"
And	CC	and
I	PP	I
said	VBD	say
,	,	,
"	``	"
I	NP	I
'	''	'
ve	RB	<unknown>
been	VBN	be
in	IN	in
a	DT	a
teepee	NN	teepee
and	CC	and
in	IN	in
a	DT	a
yurt	NN	yurt
for	IN	for
the	DT	the
last	JJ	last
five	CD	five
years	NNS	year
.	SENT	.
How	WRB	how
do	VBP	do
I	PP	I
know	VBP	know
who	WP	who
Ted	NP	Ted
is	VBZ	be
?	SENT	?
Introduce	VB	introduce
me	PP	me
to	TO	to
him	PP	him
.	SENT	.
"	''	"
Anyway	RB	anyway
,	,	,
to	TO	to
cut	VB	cut
a	DT	a
long	JJ	long
story	NN	story
short	RB	short
,	,	,
he	PP	he
said	VBD	say
,	,	,
"	``	"
We	PP	we
have	VBP	have
to	TO	to
do	VB	do
a	DT	a
TED	VBP	ted
Talk	NN	talk
.	SENT	.
"	''	"
Researched	VBN	research
.	SENT	.
Oh	UH	oh
,	,	,
exciting	JJ	exciting
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
great	JJ	great
!	SENT	!
And	CC	and
then	RB	then
eventually	RB	eventually
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
go	VB	go
to	TO	to
TEDGlobal	NP	TEDGlobal
.	SENT	.
Even	RB	even
more	RBR	more
exciting	JJ	exciting
.	SENT	.
But	CC	but
what	WP	what
you	PP	you
need	VBP	need
to	TO	to
do	VB	do
,	,	,
you	PP	you
need	VBP	need
to	TO	to
teach	VB	teach
the	DT	the
people	NNS	people
lessons	NNS	lesson
,	,	,
lessons	VBZ	lesson
that	IN	that
you	PP	you
'	POS	'
ve	NN	ve
learned	VBD	learn
on	IN	on
your	PP$	your
travels	NNS	travel
around	IN	around
the	DT	the
world	NN	world
with	IN	with
these	DT	these
tribes	NNS	tribe
.	SENT	.
I	PP	I
thought	VBD	think
,	,	,
lessons	NNS	lesson
,	,	,
okay	JJ	okay
,	,	,
well	RB	well
,	,	,
what	WP	what
did	VBD	do
I	PP	I
learn	VBP	learn
?	SENT	?
Good	JJ	good
question	NN	question
.	SENT	.
Three	CD	three
.	SENT	.
You	PP	you
need	VBP	need
three	CD	three
lessons	NNS	lesson
,	,	,
and	CC	and
they	PP	they
need	VBP	need
to	TO	to
be	VB	be
terribly	RB	terribly
profound	JJ	profound
.	SENT	.
And	CC	and
I	PP	I
thought	VBD	think
,	,	,
three	CD	three
lessons	NNS	lesson
,	,	,
well	RB	well
,	,	,
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
think	VB	think
about	IN	about
it	PP	it
.	SENT	.
So	RB	so
I	PP	I
thought	VBD	think
long	RB	long
and	CC	and
hard	RB	hard
,	,	,
and	CC	and
I	PP	I
stood	VBD	stand
here	RB	here
two	CD	two
days	NNS	day
ago	RB	ago
,	,	,
and	CC	and
I	PP	I
had	VBD	have
my	PP$	my
test	NN	test
run	NN	run
,	,	,
and	CC	and
I	PP	I
had	VBD	have
my	PP$	my
cards	NNS	card
and	CC	and
my	PP$	my
clicker	NN	clicker
in	IN	in
my	PP$	my
hands	NNS	hand
and	CC	and
my	PP$	my
pictures	NNS	picture
were	VBD	be
on	IN	on
the	DT	the
screen	NN	screen
,	,	,
and	CC	and
I	PP	I
had	VBD	have
my	PP$	my
three	CD	three
lessons	NNS	lesson
,	,	,
and	CC	and
I	PP	I
started	VBD	start
presenting	VBG	present
them	PP	them
,	,	,
and	CC	and
I	PP	I
had	VBD	have
this	DT	this
very	RB	very
odd	JJ	odd
out-of-body	NN	out-of-body
experience	NN	experience
.	SENT	.
I	PP	I
sort	VBP	sort
of	IN	of
looked	VBN	look
at	IN	at
myself	PP	myself
standing	VBG	stand
there	RB	there
,	,	,
going	VBG	go
,	,	,
"	``	"
Oh	UH	oh
,	,	,
Jimmy	NP	Jimmy
,	,	,
this	DT	this
is	VBZ	be
complete	VB	complete
loads	NNS	load
of	IN	of
codswallop	NN	codswallop
.	SENT	.
All	PDT	all
these	DT	these
people	NNS	people
sitting	VBG	sit
here	RB	here
,	,	,
they	PP	they
'	POS	'
ve	NN	ve
had	VBD	have
more	JJR	more
of	IN	of
these	DT	these
talks	NNS	talk
,	,	,
they	PP	they
'	POS	'
ve	NN	ve
heard	VBD	hear
more	JJR	more
lessons	NNS	lesson
in	IN	in
their	PP$	their
life	NN	life
.	SENT	.
Who	WP	who
are	VBP	be
you	PP	you
to	TO	to
tell	VB	tell
them	PP	them
what	WP	what
you	PP	you
