First	JJ	first
future	NN	future
,	,	,
for	IN	for
me	PP	me
,	,	,
what	WP	what
can	MD	can
be	VB	be
so	RB	so
frightening	JJ	frightening
is	VBZ	be
that	IN	that
I	PP	I
don	VB	don
'	''	'
t	NN	t
know	VBP	know
what	WP	what
'	POS	'
s	NNS	<unknown>
coming	VBG	come
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
if	IN	if
that	DT	that
'	''	'
s	NNS	<unknown>
true	JJ	true
for	IN	for
other	JJ	other
people	NNS	people
,	,	,
but	CC	but
that	DT	that
notion	NN	notion
of	IN	of
thinking	VBG	think
about	RB	about
how	WRB	how
we	PP	we
can	MD	can
understand	VB	understand
the	DT	the
future	NN	future
and	CC	and
predict	VB	predict
outcomes	NNS	outcome
,	,	,
for	IN	for
me	PP	me
,	,	,
it	PP	it
'	POS	'
s	NN	S
terrifying	JJ	terrifying
to	TO	to
not	RB	not
know	VB	know
what	WP	what
might	MD	might
be	VB	be
coming	VBG	come
.	SENT	.
And	CC	and
so	RB	so
the	DT	the
idea	NN	idea
that	IN	that
there	EX	there
are	VBP	be
questions	NNS	question
that	IN	that
I	NP	I
'	POS	'
ve	NN	ve
never	RB	never
seen	VBN	see
that	IN	that
my	PP$	my
people	NNS	people
are	VBP	be
going	VBG	go
to	TO	to
answer	VB	answer
,	,	,
and	CC	and
some	DT	some
of	IN	of
these	DT	these
characters	NNS	character
have	VBP	have
been	VBN	be
with	IN	with
me	PP	me
for	IN	for
ages	NNS	age
,	,	,
some	DT	some
of	IN	of
them	PP	them
don	NN	don
'	POS	'
t	NN	t
even	RB	even
have	VBP	have
names	NNS	name
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
what	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
happen	VB	happen
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
what	WP	what
'	POS	'
s	NN	S
coming	VBG	come
,	,	,
and	CC	and
all	RB	all
I	PP	I
can	MD	can
do	VB	do
is	VBZ	be
remind	VB	remind
myself	PP	myself
that	IN	that
I	PP	I
told	VBD	tell
Chris	NP	Chris
I	NP	I
'	POS	'
d	NN	d
fly	NN	fly
by	IN	by
the	DT	the
seat	NN	seat
of	IN	of
my	PP$	my
pants	NNS	pant
,	,	,
and	CC	and
now	RB	now
that	IN	that
I	NP	I
'	POS	'
m	NN	m
up	RB	up
here	RB	here
it	PP	it
sort	VB	sort
of	IN	of
feels	NNS	feel
like	IN	like
that	DT	that
dream	NN	dream
where	WRB	where
you	PP	you
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
any	DT	any
pants	NNS	pant
on	IN	on
,	,	,
and	CC	and
so	RB	so
I	PP	I
suppose	VBP	suppose
I	PP	I
'	''	'
m	NN	m
going	VBG	go
to	TO	to
be	VB	be
flying	VBG	fly
by	IN	by
the	DT	the
seat	NN	seat
of	IN	of
my	PP$	my
ass	NN	ass
.	SENT	.
That	DT	that
said	VBD	say
,	,	,
let	VBN	let
'	POS	'
s	NNS	<unknown>
just	RB	just
see	VBP	see
who	WP	who
comes	VBZ	come
out	RP	out
.	SENT	.
May	MD	may
we	PP	we
have	VB	have
the	DT	the
first	JJ	first
question	NN	question
:	:	:
"	``	"
Do	VBP	do
you	PP	you
ever	RB	ever
get	VBP	get
headaches	NNS	headache
from	IN	from
the	DT	the
microchips	NNS	microchip
implanted	VBN	implant
in	IN	in
your	PP$	your
brain	NN	brain
?	SENT	?
"	''	"
Right	RB	right
.	SENT	.
Okay	JJ	okay
.	SENT	.
Well	RB	well
first	JJ	first
of	IN	of
all	DT	all
,	,	,
I	PP	I
'	POS	'
ll	NNS	<unknown>
just	RB	just
say	VBP	say
that	IN	that
I	PP	I
hope	VBP	hope
you	PP	you
can	MD	can
hear	VB	hear
me	PP	me
okay	JJ	okay
.	SENT	.
My	PP$	my
name	NN	name
is	VBZ	be
Lorraine	NP	Lorraine
Levine	NP	Levine
,	,	,
and	CC	and
the	DT	the
idea	NN	idea
of	IN	of
microchips	NNS	microchip
implanted	VBN	implant
in	IN	in
my	PP$	my
brain	NN	brain
,	,	,
frankly	RB	frankly
,	,	,
just	RB	just
putting	VBG	put
on	IN	on
my	PP$	my
glasses	NNS	glass
reminds	VBZ	remind
me	PP	me
of	IN	of
thank	VBP	thank
God	NP	God
I	NP	I
'	POS	'
m	NN	m
not	RB	not
wearing	VBG	wear
the	DT	the
Google	NP	<unknown>
Glasses	NNS	glass
.	SENT	.
No	DT	no
offense	NN	offense
to	TO	to
them	PP	them
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
glad	JJ	glad
that	IN	that
you	PP	you
all	RB	all
enjoy	VBP	enjoy
them	PP	them
,	,	,
but	CC	but
at	IN	at
my	PP$	my
age	NN	age
,	,	,
just	RB	just
putting	VBG	put
on	IN	on
the	DT	the
regular	JJ	regular
ones	NNS	one
I	PP	I
have	VBP	have
already	RB	already
gives	VBZ	give
me	PP	me
too	RB	too
much	JJ	much
information	NN	information
.	SENT	.
Do	VB	do
you	PP	you
understand	VB	understand
what	WP	what
I	PP	I
'	POS	'
m	NN	m
saying	VBG	say
to	TO	to
you	PP	you
?	SENT	?
I	PP	I
don	VBP	don
'	''	'
t	NN	t
need	VBP	need
to	TO	to
know	VB	know
more	RBR	more
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
to	TO	to
know	VB	know
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
it	PP	it
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
enough	RB	enough
.	SENT	.
I	PP	I
love	VBP	love
you	PP	you
all	DT	all
.	SENT	.
You	PP	you
'	POS	'
re	NN	re
wonderful	JJ	wonderful
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
fabulous	JJ	fabulous
to	TO	to
be	VB	be
here	RB	here
with	IN	with
such	JJ	such
big	JJ	big
machers	NNS	<unknown>
again	RB	again
this	DT	this
year	NN	year
.	SENT	.
Mwah	NP	<unknown>
!	SENT	!
Okay	JJ	okay
,	,	,
next	JJ	next
question	NN	question
.	SENT	.
Next	RB	next
,	,	,
please	UH	please
.	SENT	.
"	``	"
Is	VBZ	be
dating	VBG	date
boring	JJ	boring
,	,	,
now	RB	now
that	IN	that
humans	NNS	human
reproduce	VB	reproduce
asexually	RB	asexually
?	SENT	?
"	''	"
Who	WP	who
do	VBP	do
we	PP	we
got	VBD	get
?	SENT	?
Hi	UH	hi
,	,	,
um	NNS	<unknown>
,	,	,
okay	RB	okay
,	,	,
hi	UH	hi
everybody	NN	everybody
.	SENT	.
My	PP$	my
name	NN	name
is	VBZ	be
Nereida	NP	Nereida
.	SENT	.
I	PP	I
just	RB	just
want	VBP	want
to	TO	to
say	VB	say
first	JJ	first
of	IN	of
all	PDT	all
that	DT	that
dating	VBG	date
is	VBZ	be
never	RB	never
boring	JJ	boring
under	IN	under
any	DT	any
circumstance	NN	circumstance
.	SENT	.
But	CC	but
I	PP	I
am	VBP	be
very	RB	very
excited	VBN	excite
to	TO	to
be	VB	be
here	RB	here
right	RB	right
now	RB	now
,	,	,
so	RB	so
I	PP	I
am	VBP	be
just	RB	just
trying	VBG	try
to	TO	to
remind	VB	remind
myself	PP	myself
that	DT	that
,	,	,
you	PP	you
know	VBP	know
,	,	,
like	VBP	like
,	,	,
the	DT	the
purpose	NN	purpose
of	IN	of
being	VBG	be
here	RB	here
and	CC	and
everything	NN	everything
,	,	,
I	PP	I
mean	VBP	mean
,	,	,
trying	VBG	try
to	TO	to
answer	VB	answer
these	DT	these
questions	NNS	question
,	,	,
it	PP	it
is	VBZ	be
very	RB	very
exciting	JJ	exciting
.	SENT	.
But	CC	but
I	PP	I
also	RB	also
,	,	,
I	PP	I
just	RB	just
need	VBP	need
to	TO	to
acknowledge	VB	acknowledge
that	DT	that
TED	VBP	ted
is	VBZ	be
an	DT	an
incredible	JJ	incredible
experience	NN	experience
right	RB	right
now	RB	now
in	IN	in
the	DT	the
present	JJ	present
,	,	,
like	VB	like
,	,	,
I	PP	I
just	RB	just
need	VBP	need
to	TO	to
say	VB	say
,	,	,
like	VB	like
,	,	,
Isabel	NP	Isabel
Allende	NP	Allende
.	SENT	.
Isabel	NP	Isabel
Allende	NP	Allende
!	SENT	!
Okay	RB	okay
,	,	,
maybe	RB	maybe
it	PP	it
doesn	NP	<unknown>
'	POS	'
t	NN	t
mean	NN	mean
,	,	,
of	IN	of
course	NN	course
it	PP	it
means	VBZ	mean
something	NN	something
to	TO	to
you	PP	you
,	,	,
but	CC	but
to	TO	to
me	PP	me
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
like	VBP	like
,	,	,
another	DT	another
level	NN	level
,	,	,
okay	JJ	okay
?	SENT	?
Because	IN	because
I	PP	I
'	POS	'
m	NN	m
Latina	NP	Latina
and	CC	and
I	PP	I
really	RB	really
appreciate	VBP	appreciate
the	DT	the
fact	NN	fact
that	IN	that
there	EX	there
are	VBP	be
role	NN	role
models	NNS	model
here	RB	here
that	IN	that
I	PP	I
can	MD	can
really	RB	really
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
,	,	,
I	PP	I
just	RB	just
need	VBP	need
to	TO	to
say	VB	say
that	DT	that
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
incredible	JJ	incredible
to	TO	to
me	PP	me
,	,	,
and	CC	and
sometimes	RB	sometimes
when	WRB	when
I	PP	I
'	POS	'
m	NN	m
nervous	JJ	nervous
and	CC	and
everything	NN	everything
like	IN	like
that	DT	that
,	,	,
I	PP	I
just	RB	just
need	VBP	need
to	TO	to
,	,	,
like	VB	like
,	,	,
say	VBP	say
some	DT	some
affirmations	NNS	affirmation
that	WDT	that
can	MD	can
help	VB	help
me	PP	me
.	SENT	.
I	PP	I
usually	RB	usually
just	RB	just
try	VB	try
to	TO	to
use	VB	use
,	,	,
like	VB	like
,	,	,
the	DT	the
three	CD	three
little	JJ	little
words	NNS	word
that	WDT	that
always	RB	always
make	VBP	make
me	PP	me
feel	VBP	feel
better	RBR	well
:	:	:
Sotomayor	NP	Sotomayor
,	,	,
Sotomayor	NP	Sotomayor
,	,	,
Sotomayor	NP	Sotomayor
.	SENT	.
Just	RB	just
,	,	,
it	PP	it
really	RB	really
helps	VBZ	help
me	PP	me
to	TO	to
get	VB	get
grounded	VBN	ground
.	SENT	.
Now	RB	now
I	PP	I
can	MD	can
use	VB	use
Allende	NP	Allende
,	,	,
Allende	NP	Allende
,	,	,
Allende	NP	Allende
,	,	,
and	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
I	PP	I
just	RB	just
need	VBP	need
to	TO	to
say	VB	say
it	PP	it
,	,	,
like	VB	like
,	,	,
it	PP	it
'	POS	'
s	NN	S
so	RB	so
incredible	JJ	incredible
to	TO	to
be	VB	be
here	RB	here
,	,	,
and	CC	and
I	PP	I
knew	VBD	know
that	IN	that
we	PP	we
were	VBD	be
going	VBG	go
to	TO	to
have	VB	have
these	DT	these
questions	NNS	question
.	SENT	.
I	PP	I
was	VBD	be
so	RB	so
nervous	JJ	nervous
and	CC	and
I	PP	I
was	VBD	be
thinking	VBG	think
just	RB	just
,	,	,
like	VB	like
,	,	,
oh	UH	oh
my	PP$	my
God	NP	God
,	,	,
oh	UH	oh
my	PP$	my
God	NP	God
,	,	,
and	CC	and
reminding	VBG	remind
me	PP	me
,	,	,
because	IN	because
I	PP	I
'	POS	'
ve	NN	ve
had	VBD	have
,	,	,
like	VB	like
,	,	,
some	RB	some
very	RB	very
,	,	,
especially	RB	especially
since	IN	since
the	DT	the
last	JJ	last
time	NN	time
we	PP	we
were	VBD	be
here	RB	here
at	IN	at
TED	VB	ted
,	,	,
it	PP	it
was	VBD	be
,	,	,
like	VB	like
,	,	,
unbelievable	JJ	unbelievable
,	,	,
and	CC	and
then	RB	then
right	RB	right
after	IN	after
that	DT	that
,	,	,
like	VB	like
,	,	,
so	RB	so
many	JJ	many
crazy	JJ	crazy
things	NNS	thing
happened	VBD	happen
,	,	,
like	IN	like
,	,	,
we	PP	we
ended	VBD	end
up	RP	up
going	VBG	go
to	TO	to
the	DT	the
White	NP	White
House	NP	House
to	TO	to
perform	VB	perform
.	SENT	.
That	WDT	that
was	VBD	be
,	,	,
like	VB	like
,	,	,
amazing	JJ	amazing
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
standing	NN	standing
there	RB	there
,	,	,
and	CC	and
I	PP	I
was	VBD	be
just	RB	just
like	JJ	like
,	,	,
please	VB	please
don	NN	don
'	POS	'
t	NN	t
say	VBP	say
,	,	,
"	``	"
Oh	UH	oh
my	PP$	my
God	NP	God
.	SENT	.
"	''	"
Don	NP	Don
'	POS	'
t	NN	t
say	VBP	say
,	,	,
"	``	"
Oh	UH	oh
my	PP$	my
God	NP	God
.	SENT	.
"	``	"
And	CC	and
I	PP	I
just	RB	just
kept	VBD	keep
saying	VBG	say
it	PP	it
:	:	:
"	``	"
Oh	UH	oh
my	PP$	my
God	NP	God
.	SENT	.
Oh	UH	oh
my	PP$	my
God	NP	God
.	SENT	.
"	''	"
And	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
I	PP	I
kept	VBD	keep
thinking	VBG	think
to	TO	to
myself	PP	myself
,	,	,
like	VB	like
,	,	,
President	NP	President
Obama	NP	<unknown>
has	VBZ	have
to	TO	to
come	VB	come
up	RP	up
here	RB	here
at	IN	at
the	DT	the
same	JJ	same
podium	NN	podium
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
standing	NN	standing
here	RB	here
saying	VBG	say
,	,	,
"	``	"
Oh	UH	oh
my	PP$	my
God	NP	God
.	SENT	.
"	``	"
It	PP	it
'	POS	'
s	NNS	<unknown>
like	VBP	like
,	,	,
the	DT	the
separation	NN	separation
of	IN	of
church	NN	church
and	CC	and
state	NN	state
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
just	RB	just
,	,	,
I	PP	I
couldn	NNS	<unknown>
'	POS	'
t	NN	t
,	,	,
like	VB	like
,	,	,
I	PP	I
couldn	NNS	<unknown>
'	POS	'
t	NN	t
process	NN	process
.	SENT	.
It	PP	it
was	VBD	be
really	RB	really
too	RB	too
much	JJ	much
.	SENT	.
So	RB	so
I	PP	I
think	VBP	think
I	PP	I
'	''	'
ve	NNS	<unknown>
lost	VBD	lose
my	PP$	my
way	NN	way
.	SENT	.
But	CC	but
what	WP	what
I	PP	I
wanted	VBD	want
to	TO	to
say	VB	say
is	VBZ	be
that	IN	that
dating	VBG	date
,	,	,
for	IN	for
me	PP	me
,	,	,
you	PP	you
know	VBP	know
,	,	,
as	RB	as
far	RB	far
as	IN	as
I	PP	I
'	POS	'
m	NN	m
concerned	JJ	concerned
,	,	,
however	RB	however
you	PP	you
reproduce	VBP	reproduce
,	,	,
as	RB	as
long	RB	long
as	IN	as
you	PP	you
'	POS	'
re	NN	re
enjoying	VBG	enjoy
yourself	PP	yourself
and	CC	and
it	PP	it
'	POS	'
s	NN	S
with	IN	with
another	DT	another
consenting	VBG	consent
asexual	JJ	asexual
â	NP	<unknown>
I	NP	I
don	NN	don
'	POS	'
t	NN	t
know	VBP	know
.	SENT	.
You	PP	you
know	VBP	know
where	WRB	where
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
with	IN	with
that	DT	that
.	SENT	.
Okay	RB	okay
,	,	,
ciao	NP	<unknown>
,	,	,
gracias	NNS	<unknown>
.	SENT	.
Okay	JJ	okay
,	,	,
next	JJ	next
question	NN	question
.	SENT	.
What	WP	what
are	VBP	be
your	PP$	your
top	JJ	top
five	CD	five
favorite	JJ	favorite
songs	NNS	song
right	RB	right
now	RB	now
?	SENT	?
All	DT	all
right	NN	right
,	,	,
well	RB	well
first	JJ	first
of	IN	of
all	DT	all
,	,	,
I	PP	I
'	POS	'
mma	NNS	<unknown>
say	VBP	say
,	,	,
you	PP	you
know	VBP	know
what	WP	what
I	PP	I
'	POS	'
m	NN	m
saying	VBG	say
,	,	,
I	PP	I
'	POS	'
m	NN	m
the	DT	the
only	JJ	only
dude	NN	dude
up	RB	up
here	RB	here
right	RB	right
now	RB	now
.	SENT	.
My	PP$	my
name	NN	name
is	VBZ	be
Rashid	NP	Rashid
,	,	,
and	CC	and
I	PP	I
never	RB	never
been	VBN	be
at	IN	at
TED	VB	ted
before	RB	before
,	,	,
you	PP	you
know	VBP	know
what	WP	what
I	PP	I
'	POS	'
m	NN	m
saying	NN	saying
.	SENT	.
I	PP	I
think	VBP	think
,	,	,
Sarah	NP	Sarah
Jones	NP	Jones
,	,	,
maybe	RB	maybe
she	PP	she
didn	NP	<unknown>
'	POS	'
t	NN	t
want	VBP	want
me	PP	me
to	TO	to
come	VB	come
out	RP	out
last	JJ	last
time	NN	time
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VB	know
why	WRB	why
.	SENT	.
You	PP	you
know	VBP	know
what	WP	what
I	PP	I
'	POS	'
m	NN	m
saying	NN	saying
.	SENT	.
Obviously	RB	obviously
I	PP	I
would	MD	would
be	VB	be
like	IN	like
a	DT	a
perfect	JJ	perfect
fit	NN	fit
for	IN	for
TED	VB	ted
.	SENT	.
You	PP	you
know	VBP	know
what	WP	what
I	PP	I
'	POS	'
m	NN	m
saying	NN	saying
.	SENT	.
First	JJ	first
of	IN	of
all	DT	all
,	,	,
that	IN	that
I	NP	I
'	POS	'
m	NN	m
in	IN	in
hip	JJ	hip
hop	NN	hop
,	,	,
you	PP	you
know	VBP	know
what	WP	what
I	PP	I
'	POS	'
m	NN	m
saying	NN	saying
.	SENT	.
I	PP	I
know	VBP	know
some	DT	some
of	IN	of
y	NP	y
'	POS	'
all	RB	all
may	MD	may
be	VB	be
not	RB	not
really	RB	really
as	RB	as
much	JJ	much
into	IN	into
the	DT	the
music	NN	music
,	,	,
but	CC	but
the	DT	the
first	JJ	first
way	NN	way
y	NN	y
'	''	'
all	DT	all
can	MD	can
always	RB	always
know	VB	know
,	,	,
you	PP	you
know	VBP	know
what	WP	what
I	PP	I
'	POS	'
m	NN	m
saying	VBG	say
,	,	,
that	IN	that
I	NP	I
'	POS	'
m	NN	m
in	IN	in
hip	JJ	hip
hop	NN	hop
,	,	,
is	VBZ	be
'	''	'
cos	NN	cos
I	PP	I
hold	VBP	hold
the	DT	the
microphone	NN	microphone
in	IN	in
an	DT	an
official	JJ	official
emcee	NN	emcee
posture	NN	posture
.	SENT	.
Y	NP	Y
'	POS	'
all	RB	all
can	MD	can
see	VB	see
that	DT	that
right	NN	right
there	RB	there
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
how	WRB	how
you	PP	you
hold	VBP	hold
it	PP	it
.	SENT	.
All	DT	all
right	NN	right
,	,	,
so	RB	so
you	PP	you
get	VBP	get
your	PP$	your
little	JJ	little
tutorial	JJ	tutorial
right	NN	right
there	RB	there
.	SENT	.
But	CC	but
when	WRB	when
Sarah	NP	Sarah
Jones	NP	Jones
told	VBD	tell
me	PP	me
we	PP	we
was	VBD	be
gonna	VBG	gonna
come	VBN	come
up	RP	up
here	RB	here
,	,	,
I	PP	I
was	VBD	be
like	JJ	like
,	,	,
betch	NN	<unknown>
,	,	,
you	PP	you
know	VBP	know
what	WP	what
I	PP	I
'	POS	'
m	NN	m
saying	VBG	say
,	,	,
TED	VBP	ted
is	VBZ	be
real	JJ	real
fly	NN	fly
,	,	,
I	PP	I
got	VBD	get
a	DT	a
whole	JJ	whole
lot	NN	lot
of	IN	of
dope	NN	dope
,	,	,
you	PP	you
know	VBP	know
what	WP	what
I	PP	I
'	POS	'
m	NN	m
saying	NN	saying
,	,	,
shit	VBD	shit
going	VBG	go
on	IN	on
and	CC	and
everything	NN	everything
,	,	,
but	CC	but
she	PP	she
was	VBD	be
like	JJ	like
,	,	,
yeah	RB	yeah
,	,	,
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
have	VB	have
to	TO	to
answer	VB	answer
,	,	,
like	VB	like
,	,	,
some	DT	some
random	JJ	random
questions	NNS	question
,	,	,
just	RB	just
like	JJ	like
,	,	,
and	CC	and
I	PP	I
was	VBD	be
like	JJ	like
,	,	,
what	WP	what
the	DT	the
hell	NN	hell
is	VBZ	be
that	RB	that
?	SENT	?
You	PP	you
know	VBP	know
what	WP	what
I	PP	I
'	POS	'
m	NN	m
saying	VBG	say
,	,	,
just	RB	just
stand	VBP	stand
up	RP	up
there	RB	there
and	CC	and
answer	VB	answer
some	DT	some
random	JJ	random
questions	NNS	question
?	SENT	?
I	PP	I
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
to	TO	to
,	,	,
I	PP	I
mean	VBP	mean
,	,	,
it	PP	it
'	POS	'
s	NN	S
like	IN	like
an	DT	an
intellectual	JJ	intellectual
stop-and-frisk	NN	stop-and-frisk
.	SENT	.
You	PP	you
know	VBP	know
what	WP	what
I	PP	I
'	POS	'
m	NN	m
saying	NN	saying
?	SENT	?
I	PP	I
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
to	TO	to
be	VB	be
standing	VBG	stand
up	RP	up
there	RB	there
just	RB	just
all	DT	all
getting	VBG	get
interrogated	VBN	interrogate
and	CC	and
whatnot	NN	whatnot
.	SENT	.
That	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
I	PP	I
'	POS	'
m	NN	m
trying	VBG	try
to	TO	to
leave	VB	leave
behind	IN	behind
in	IN	in
New	NP	New
York	NP	York
.	SENT	.
You	PP	you
know	VBP	know
what	WP	what
I	PP	I
'	POS	'
m	NN	m
saying	NN	saying
?	SENT	?
So	RB	so
anyway	RB	anyway
,	,	,
I	PP	I
would	MD	would
have	VB	have
to	TO	to
say	VB	say
my	PP$	my
top	JJ	top
five	CD	five
songs	NNS	song
right	RB	right
now	RB	now
is	VBZ	be
all	RB	all
out	RB	out
of	IN	of
my	PP$	my
own	JJ	own
personal	JJ	personal
catalogue	NN	catalogue
,	,	,
you	PP	you
know	VBP	know
what	WP	what
I	PP	I
mean	VBP	mean
?	SENT	?
So	RB	so
if	IN	if
you	PP	you
want	VBP	want
to	TO	to
know	VB	know
more	JJR	more
about	IN	about
that	DT	that
,	,	,
you	PP	you
know	VBP	know
what	WP	what
I	PP	I
'	POS	'
m	NN	m
saying	VBG	say
,	,	,
we	PP	we
could	MD	could
talk	VB	talk
about	IN	about
the	DT	the
anti-piracy	NN	anti-piracy
and	CC	and
all	PDT	all
that	DT	that
,	,	,
but	CC	but
as	RB	as
far	RB	far
as	IN	as
I	PP	I
'	POS	'
m	NN	m
concerned	JJ	concerned
,	,	,
you	PP	you
know	VBP	know
,	,	,
I	PP	I
believe	VBP	believe
in	IN	in
creative	JJ	creative
commons	NNS	common
,	,	,
and	CC	and
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	NNS	<unknown>
really	RB	really
important	JJ	important
that	IN	that
,	,	,
you	PP	you
know	VBP	know
,	,	,
that	WDT	that
needs	VBZ	need
to	TO	to
be	VB	be
sustainable	JJ	sustainable
and	CC	and
everything	NN	everything
,	,	,
and	CC	and
I	PP	I
mean	VBP	mean
,	,	,
as	RB	as
far	RB	far
as	IN	as
I	PP	I
'	POS	'
m	NN	m
concerned	JJ	concerned
,	,	,
I	PP	I
mean	VBP	mean
,	,	,
this	DT	this
right	NN	right
here	RB	here
,	,	,
this	DT	this
environment	NN	environment
,	,	,
I	PP	I
would	MD	would
like	VB	like
to	TO	to
sustain	VB	sustain
.	SENT	.
You	PP	you
know	VBP	know
what	WP	what
I	PP	I
mean	VBP	mean
?	SENT	?
But	CC	but
I	PP	I
'	POS	'
m	NN	m
just	RB	just
saying	VBG	say
,	,	,
if	IN	if
y	NP	y
'	POS	'
all	RB	all
are	VBP	be
interested	JJ	interested
in	IN	in
the	DT	the
top	JJ	top
five	CD	five
songs	NNS	song
,	,	,
you	PP	you
need	VBP	need
