Rosa	NP	Rosa
into	IN	into
a	DT	a
new	JJ	new
kind	NN	kind
of	IN	of
business	NN	business
where	WRB	where
we	PP	we
look	VBP	look
at	IN	at
our	PP$	our
entire	JJ	entire
value	NN	value
chain	NN	chain
in	IN	in
new	JJ	new
ways	NNS	way
,	,	,
where	WRB	where
we	PP	we
look	VBP	look
at	IN	at
how	WRB	how
we	PP	we
meet	VBP	meet
with	IN	with
customers	NNS	customer
in	IN	in
a	DT	a
new	JJ	new
way	NN	way
and	CC	and
how	WRB	how
we	PP	we
engage	VBP	engage
with	IN	with
coworkers	NNS	coworker
.	SENT	.
We	PP	we
will	MD	will
look	VB	look
at	IN	at
price	NN	price
and	CC	and
low	JJ	low
price	NN	price
,	,	,
because	IN	because
our	PP$	our
vision	NN	vision
is	VBZ	be
to	TO	to
be	VB	be
for	IN	for
the	DT	the
many	JJ	many
people	NNS	people
,	,	,
it	PP	it
needs	VBZ	need
to	TO	to
be	VB	be
affordable	JJ	affordable
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NN	S
also	RB	also
about	IN	about
form	NN	form
,	,	,
function	NN	function
,	,	,
sustainability	NN	sustainability
and	CC	and
quality	NN	quality
.	SENT	.
RH	NP	RH
:	:	:
How	WRB	how
does	VBZ	do
IKEA	NN	IKEA
balance	NN	balance
sustainability	NN	sustainability
and	CC	and
persuading	VBG	persuade
buyers	NNS	buyer
to	TO	to
consume	VB	consume
things	NNS	thing
during	IN	during
the	DT	the
climate	NN	climate
crisis	NN	crisis
?	SENT	?
PHC	NN	PHC
:	:	:
It	PP	it
really	RB	really
means	VBZ	mean
looking	VBG	look
at	IN	at
the	DT	the
entirety	NN	entirety
of	IN	of
our	PP$	our
business	NN	business
.	SENT	.
We	PP	we
committed	VBD	commit
to	TO	to
only	RB	only
use	VB	use
renewable	JJ	renewable
and	CC	and
recycled	JJ	recycled
materials	NNS	material
by	IN	by
2030	CD	@card@
.	SENT	.
We	PP	we
have	VBP	have
,	,	,
for	IN	for
example	NN	example
,	,	,
already	RB	already
all	PDT	all
our	PP$	our
cotton	NN	cotton
in	IN	in
the	DT	the
products	NNS	product
,	,	,
like	IN	like
this	DT	this
sofa	NN	sofa
,	,	,
to	TO	to
be	VB	be
sustainable	JJ	sustainable
cotton	NN	cotton
.	SENT	.
We	PP	we
are	VBP	be
well	RB	well
on	IN	on
our	PP$	our
way	NN	way
to	TO	to
have	VB	have
all	DT	all
of	IN	of
our	PP$	our
wood	NN	wood
being	NN	being
from	IN	from
sustainable	JJ	sustainable
sources	NNS	source
by	IN	by
2020	CD	@card@
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
also	RB	also
looking	VBG	look
at	IN	at
:	:	:
How	WRB	how
do	VBP	do
we	PP	we
design	VB	design
the	DT	the
products	NNS	product
so	RB	so
that	IN	that
they	PP	they
can	MD	can
be	VB	be
repurposed	VBN	repurpose
,	,	,
reused	VBN	reuse
,	,	,
recycled	VBN	recycle
,	,	,
etc	FW	etc
?	SENT	?
So	IN	so
it	PP	it
'	POS	'
s	NN	S
really	RB	really
looking	VBG	look
at	IN	at
:	:	:
How	WRB	how
do	VBP	do
we	PP	we
build	VB	build
circular	JJ	circular
design	NN	design
metrics	NNS	metric
into	IN	into
our	PP$	our
products	NNS	product
?	SENT	?
But	CC	but
then	RB	then
also	RB	also
,	,	,
how	WRB	how
do	VBP	do
we	PP	we
engage	VB	engage
and	CC	and
reach	VB	reach
out	RP	out
to	TO	to
customers	NNS	customer
,	,	,
so	RB	so
,	,	,
looking	VBG	look
at	IN	at
new	JJ	new
service	NN	service
models	NNS	model
like	IN	like
furniture	NN	furniture
as	IN	as
a	DT	a
service	NN	service
,	,	,
starting	VBG	start
now	RB	now
testing	NN	testing
with	IN	with
business-to-business	NN	business-to-business
.	SENT	.
RH	NN	RH
:	:	:
In	IN	in
2019	CD	@card@
,	,	,
IKEA	NP	IKEA
'	POS	'
s	NN	S
business	NN	business
grew	VBD	grow
by	IN	by
6	CD	@card@
.	SENT	.
5	CD	@card@
percent	NN	percent
.	SENT	.
But	CC	but
the	DT	the
company	NN	company
decreased	VBD	decrease
its	PP$	its
global	JJ	global
carbon	NN	carbon
footprint	NN	footprint
by	IN	by
4	CD	@card@
.	SENT	.
3	CD	@card@
percent	NN	percent
,	,	,
beginning	VBG	begin
to	TO	to
decouple	VB	decouple
growth	NN	growth
and	CC	and
emissions	NNS	emission
.	SENT	.
JB	NN	JB
:	:	:
That	DT	that
step	NN	step
for	IN	for
us	PP	us
was	VBD	be
--	:	--
it	PP	it
gave	VBD	give
a	DT	a
lot	NN	lot
of	IN	of
confidence	NN	confidence
and	CC	and
optimism	NN	optimism
,	,	,
to	TO	to
be	VB	be
honest	JJ	honest
,	,	,
showing	VBG	show
that	IN	that
it	PP	it
'	POS	'
s	NN	S
possible	JJ	possible
to	TO	to
grow	VB	grow
and	CC	and
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
move	NN	move
in	IN	in
the	DT	the
right	JJ	right
direction	NN	direction
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
carbon	NN	carbon
.	SENT	.
RH	NP	RH
:	:	:
Yes	UH	yes
,	,	,
fine	NN	fine
,	,	,
but	CC	but
how	WRB	how
can	MD	can
you	PP	you
make	VB	make
that	IN	that
shift	NN	shift
durable	JJ	durable
and	CC	and
expand	VB	expand
that	DT	that
decoupling	NN	decoupling
?	SENT	?
JB	NN	JB
:	:	:
There	EX	there
are	VBP	be
some	DT	some
myths	NNS	myth
that	WDT	that
we	PP	we
need	VBP	need
to	TO	to
rid	VB	rid
ourselves	PP	ourselves
from	IN	from
.	SENT	.
The	DT	the
consumption	NN	consumption
myth	NN	myth
is	VBZ	be
one	CD	one
.	SENT	.
That	DT	that
sustainability	NN	sustainability
should	MD	should
come	VB	come
at	IN	at
a	DT	a
premium	NN	premium
is	VBZ	be
a	DT	a
very	RB	very
dangerous	JJ	dangerous
myth	NN	myth
,	,	,
that	DT	that
purpose	NN	purpose
and	CC	and
profit	NN	profit
couldn	NN	<unknown>
'	POS	'
t	NN	t
go	VBP	go
hand	NN	hand
in	IN	in
hand	NN	hand
--	:	--
it	PP	it
'	POS	'
s	NNS	<unknown>
the	DT	the
opposite	NN	opposite
.	SENT	.
RH	NP	RH
:	:	:
Why	WRB	why
should	MD	should
people	NNS	people
trust	VB	trust
you	PP	you
?	SENT	?
JB	NP	JB
:	:	:
Trust	NP	Trust
is	VBZ	be
maybe	RB	maybe
the	DT	the
most	RBS	most
important	JJ	important
thing	NN	thing
to	TO	to
get	VB	get
into	IN	into
the	DT	the
system	NN	system
and	CC	and
into	IN	into
the	DT	the
conversation	NN	conversation
.	SENT	.
I	PP	I
think	VBP	think
to	TO	to
start	VB	start
with	IN	with
,	,	,
you	PP	you
have	VBP	have
to	TO	to
look	VB	look
at	IN	at
intentions	NNS	intention
.	SENT	.
And	CC	and
scrutinize	VBP	scrutinize
is	VBZ	be
,	,	,
of	IN	of
course	NN	course
,	,	,
one	CD	one
part	NN	part
of	IN	of
the	DT	the
equation	NN	equation
here	RB	here
.	SENT	.
But	CC	but
when	WRB	when
you	PP	you
look	VBP	look
at	IN	at
the	DT	the
reasons	NNS	reason
why	WRB	why
it	PP	it
'	POS	'
s	NNS	<unknown>
important	JJ	important
for	IN	for
us	PP	us
to	TO	to
move	VB	move
in	IN	in
this	DT	this
topic	NN	topic
,	,	,
it	PP	it
makes	VBZ	make
business	NN	business
sense	NN	sense
,	,	,
from	IN	from
the	DT	the
point	NN	point
that	IN	that
coworkers	NNS	coworker
and	CC	and
customers	NNS	customer
will	MD	will
expect	VB	expect
us	PP	us
to	TO	to
be	VB	be
--	:	--
and	CC	and
already	RB	already
today	NN	today
expect	VBP	expect
us	PP	us
to	TO	to
be	VB	be
--	:	--
a	DT	a
leader	NN	leader
.	SENT	.
And	CC	and
thereby	RB	thereby
,	,	,
it	PP	it
would	MD	would
be	VB	be
dangerous	JJ	dangerous
for	IN	for
your	PP$	your
brand	NN	brand
if	IN	if
you	PP	you
wouldn	NN	<unknown>
'	POS	'
t	NN	t
take	VB	take
the	DT	the
lead	NN	lead
in	IN	in
your	PP$	your
segment	NN	segment
.	SENT	.
But	CC	but
last	JJ	last
,	,	,
I	PP	I
think	VBP	think
,	,	,
which	WDT	which
is	VBZ	be
most	RBS	most
intriguing	JJ	intriguing
for	IN	for
me	PP	me
,	,	,
is	VBZ	be
that	IN	that
sustainability	NN	sustainability
is	VBZ	be
the	DT	the
new	JJ	new
low	JJ	low
cost	NN	cost
,	,	,
it	PP	it
is	VBZ	be
the	DT	the
new	JJ	new
model	NN	model
of	IN	of
the	DT	the
world	NN	world
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
in	IN	in
contrast	NN	contrast
to	TO	to
doing	VBG	do
good	JJ	good
business	NN	business
,	,	,
but	CC	but
the	DT	the
opposite	NN	opposite
.	SENT	.
RH	NP	RH
:	:	:
What	WP	what
response	NN	response
are	VBP	be
you	PP	you
getting	VBG	get
from	IN	from
coworkers	NNS	coworker
and	CC	and
from	IN	from
partners	NNS	partner
?	SENT	?
PHC	NN	PHC
:	:	:
Super	JJ	super
positive	JJ	positive
response	NN	response
from	IN	from
our	PP$	our
coworkers	NNS	coworker
,	,	,
and	CC	and
sustainability	NN	sustainability
,	,	,
in	IN	in
our	PP$	our
internal	JJ	internal
survey	NN	survey
I	PP	I
share	VBP	share
,	,	,
is	VBZ	be
actually	RB	actually
the	DT	the
number	NN	number
two	CD	two
reason	NN	reason
why	WRB	why
people	NNS	people
choose	VBP	choose
to	TO	to
work	VB	work
for	IN	for
IKEA	NN	IKEA
and	CC	and
stay	VB	stay
at	IN	at
IKEA	NP	IKEA
.	SENT	.
And	CC	and
the	DT	the
number	NN	number
one	CD	one
reason	NN	reason
is	VBZ	be
all	PDT	all
the	DT	the
lovely	JJ	lovely
colleagues	NNS	colleague
that	IN	that
we	PP	we
have	VBP	have
.	SENT	.
RH	NN	RH
:	:	:
The	DT	the
climate	NN	climate
crisis	NN	crisis
is	VBZ	be
also	RB	also
a	DT	a
crisis	NN	crisis
of	IN	of
justice	NN	justice
and	CC	and
fairness	NN	fairness
.	SENT	.
How	WRB	how
is	VBZ	be
IKEA	NN	IKEA
thinking	VBG	think
about	IN	about
that	DT	that
?	SENT	?
PHC	NN	PHC
:	:	:
We	PP	we
definitely	RB	definitely
see	VBP	see
that	IN	that
climate	NN	climate
change	NN	change
is	VBZ	be
a	DT	a
human	JJ	human
rights	NNS	right
issue	NN	issue
,	,	,
and	CC	and
we	PP	we
know	VBP	know
that	IN	that
those	DT	those
with	IN	with
thin	JJ	thin
wallets	NNS	wallet
or	CC	or
even	RB	even
no	DT	no
wallets	NNS	wallet
are	VBP	be
the	DT	the
most	RBS	most
impacted	VBN	impact
by	IN	by
climate	NN	climate
change	NN	change
.	SENT	.
So	RB	so
what	WP	what
we	PP	we
do	VBP	do
is	VBZ	be
,	,	,
both	CC	both
through	IN	through
the	DT	the
IKEA	NP	IKEA
Foundation	NP	Foundation
,	,	,
which	WDT	which
is	VBZ	be
our	PP$	our
philanthropic	JJ	philanthropic
arm	NN	arm
,	,	,
we	PP	we
'	POS	'
re	NN	re
working	VBG	work
through	IN	through
various	JJ	various
climate	NN	climate
activities	NNS	activity
in	IN	in
developing	VBG	develop
countries	NNS	country
and	CC	and
have	VBP	have
put	VBN	put
aside	RP	aside
about	IN	about
150	CD	@card@
million	CD	million
euro	NN	<unknown>
in	IN	in
the	DT	the
last	JJ	last
two	CD	two
years	NNS	year
.	SENT	.
Then	RB	then
,	,	,
in	IN	in
Ingka	NP	<unknown>
,	,	,
where	WRB	where
we	PP	we
have	VBP	have
shopping	NN	shopping
centers	NNS	center
and	CC	and
stores	NNS	store
and	CC	and
fulfillment	NN	fulfillment
centers	NNS	center
,	,	,
we	PP	we
'	POS	'
re	NN	re
working	VBG	work
with	IN	with
refugees	NNS	refugee
and	CC	and
looking	VBG	look
at	IN	at
how	WRB	how
can	MD	can
we	PP	we
create	VB	create
skills	NNS	skill
for	IN	for
employment	NN	employment
programs	NNS	program
,	,	,
where	WRB	where
we	PP	we
do	VBP	do
skills	NNS	skill
training	NN	training
and	CC	and
language	NN	language
training	NN	training
.	SENT	.
RH	NN	RH
:	:	:
Companies	NNS	company
generally	RB	generally
think	VBP	think
quarter	NN	quarter
by	IN	by
quarter	NN	quarter
.	SENT	.
Climate	NN	climate
is	VBZ	be
a	DT	a
long-term	JJ	long-term
challenge	NN	challenge
that	WDT	that
needs	VBZ	need
immediate	JJ	immediate
action	NN	action
.	SENT	.
How	WRB	how
do	VBP	do
you	PP	you
square	VB	square
that	DT	that
?	SENT	?
JB	NN	JB
:	:	:
We	PP	we
are	VBP	be
actually	RB	actually
foundation-owned	JJ	foundation-owned
,	,	,
so	RB	so
we	PP	we
have	VBP	have
less	JJR	less
of	IN	of
the	DT	the
quarterly	JJ	quarterly
pressure	NN	pressure
.	SENT	.
And	CC	and
our	PP$	our
founder	NN	founder
was	VBD	be
amazing	JJ	amazing
in	IN	in
thinking	VBG	think
and	CC	and
planning	VBG	plan
long-term	JJ	long-term
.	SENT	.
And	CC	and
I	PP	I
actually	RB	actually
recall	VBP	recall
one	CD	one
of	IN	of
the	DT	the
last	JJ	last
meetings	NNS	meeting
I	PP	I
had	VBD	have
with	IN	with
him	PP	him
a	DT	a
few	JJ	few
years	NNS	year
ago	RB	ago
,	,	,
before	IN	before
he	PP	he
passed	VBD	pass
away	RB	away
.	SENT	.
We	PP	we
asked	VBD	ask
him	PP	him
how	WRB	how
we	PP	we
should	MD	should
think	VB	think
and	CC	and
plan	VB	plan
,	,	,
and	CC	and
he	PP	he
said	VBD	say
,	,	,
"	``	"
You	PP	you
should	MD	should
think	VB	think
long-term	JJ	long-term
.	SENT	.
"	``	"
And	CC	and
when	WRB	when
we	PP	we
asked	VBD	ask
him	PP	him
,	,	,
"	``	"
How	WRB	how
long-term	JJ	long-term
?	SENT	?
"	''	"
he	PP	he
said	VBD	say
,	,	,
"	``	"
Yeah	RB	yeah
,	,	,
well	RB	well
,	,	,
200	CD	@card@
years	NNS	year
.	SENT	.
"	``	"
So	RB	so
I	PP	I
think	VBP	think
that	WDT	that
is	VBZ	be
possibly	RB	possibly
a	DT	a
bit	NN	bit
too	RB	too
long	RB	long
,	,	,
we	PP	we
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
that	DT	that
time	NN	time
,	,	,
but	CC	but
10	CD	@card@
years	NNS	year
is	VBZ	be
a	DT	a
good	JJ	good
horizon	NN	horizon
for	IN	for
all	DT	all
of	IN	of
us	PP	us
.	SENT	.
