Lily	NP	Lily
space	NN	space
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
the	DT	the
Big	NP	Big
Bang	NP	Bang
theory	NN	theory
,	,	,
the	DT	the
idea	NN	idea
that	IN	that
the	DT	the
universe	NN	universe
was	VBD	be
smaller	JJR	small
and	CC	and
denser	JJR	dense
and	CC	and
hotter	JJR	hot
in	IN	in
the	DT	the
past	NN	past
.	SENT	.
And	CC	and
we	PP	we
got	VBD	get
really	RB	really
direct	JJ	direct
evidence	NN	evidence
of	IN	of
that	DT	that
in	IN	in
the	DT	the
1960s	NNS	1960s
when	WRB	when
we	PP	we
'	POS	'
re	NN	re
able	JJ	able
to	TO	to
actually	RB	actually
see	VB	see
the	DT	the
light	NN	light
from	IN	from
the	DT	the
very	RB	very
early	JJ	early
universe	NN	universe
.	SENT	.
So	RB	so
let	VB	let
me	PP	me
take	VB	take
one	CD	one
more	JJR	more
step	NN	step
back	RB	back
.	SENT	.
When	WRB	when
we	PP	we
look	VBP	look
at	IN	at
a	DT	a
distant	JJ	distant
galaxy	NN	galaxy
,	,	,
the	DT	the
light	NN	light
from	IN	from
that	DT	that
galaxy	NN	galaxy
takes	VBZ	take
some	DT	some
time	NN	time
to	TO	to
reach	VB	reach
us	PP	us
.	SENT	.
So	RB	so
we	PP	we
see	VBP	see
,	,	,
you	PP	you
know	VBP	know
,	,	,
we	PP	we
see	VBP	see
a	DT	a
galaxy	NN	galaxy
shining	VBG	shine
.	SENT	.
That	DT	that
light	NN	light
might	MD	might
have	VB	have
taken	VBN	take
a	DT	a
billion	NN	billion
years	NNS	year
to	TO	to
cross	VB	cross
the	DT	the
space	NN	space
between	IN	between
there	RB	there
and	CC	and
here	RB	here
.	SENT	.
We	PP	we
can	MD	can
see	VB	see
galaxies	NNS	galaxy
that	WDT	that
are	VBP	be
so	RB	so
distant	JJ	distant
that	IN	that
the	DT	the
light	NN	light
took	VBD	take
10	CD	@card@
billion	NN	billion
years	NNS	year
,	,	,
even	RB	even
13	CD	@card@
billion	NN	billion
years	NNS	year
to	TO	to
reach	VB	reach
us	PP	us
,	,	,
and	CC	and
the	DT	the
universe	NN	universe
is	VBZ	be
only	RB	only
13	CD	@card@
.	SENT	.
8	CD	@card@
billion	NN	billion
years	NNS	year
old	JJ	old
.	SENT	.
So	RB	so
what	WP	what
happens	VBZ	happen
if	IN	if
you	PP	you
look	VBP	look
at	IN	at
something	NN	something
so	RB	so
far	RB	far
away	RB	away
that	IN	that
the	DT	the
light	NN	light
has	VBZ	have
taken	VBN	take
more	JJR	more
than	IN	than
,	,	,
you	PP	you
know	VBP	know
,	,	,
more	JJR	more
than	IN	than
13	CD	@card@
billion	NN	billion
years	NNS	year
to	TO	to
reach	VB	reach
us	PP	us
?	SENT	?
What	WP	what
happens	VBZ	happen
when	WRB	when
you	PP	you
try	VBP	try
and	CC	and
look	VBP	look
at	IN	at
something	NN	something
even	RB	even
farther	RBR	farther
?	SENT	?
Well	RB	well
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
limit	VB	limit
to	TO	to
how	WRB	how
far	RB	far
you	PP	you
can	MD	can
look	VB	look
,	,	,
the	DT	the
observable	JJ	observable
universe	NN	universe
,	,	,
and	CC	and
that	IN	that
limit	NN	limit
is	VBZ	be
defined	VBN	define
by	IN	by
how	WRB	how
long	RB	long
it	PP	it
takes	VBZ	take
light	JJ	light
to	TO	to
travel	VB	travel
.	SENT	.
So	RB	so
if	IN	if
something	NN	something
is	VBZ	be
so	RB	so
far	RB	far
away	RB	away
that	IN	that
the	DT	the
light	NN	light
would	MD	would
take	VB	take
15	CD	@card@
billion	NN	billion
years	NNS	year
to	TO	to
reach	VB	reach
us	PP	us
,	,	,
we	PP	we
can	MD	can
'	''	'
t	NN	t
see	VB	see
it	PP	it
because	IN	because
the	DT	the
light	JJ	light
hasn	NN	<unknown>
'	POS	'
t	NN	t
gotten	VBN	get
here	RB	here
yet	RB	yet
.	SENT	.
But	CC	but
if	IN	if
we	PP	we
look	VBP	look
at	IN	at
something	NN	something
that	RB	that
'	POS	'
s	NN	S
,	,	,
you	PP	you
know	VBP	know
,	,	,
so	RB	so
far	RB	far
away	RB	away
,	,	,
the	DT	the
light	NN	light
'	POS	'
s	NN	S
taken	VBN	take
13	CD	@card@
.	SENT	.
8	CD	@card@
billion	NN	billion
years	NNS	year
to	TO	to
reach	VB	reach
us	PP	us
,	,	,
then	RB	then
what	WP	what
we	PP	we
'	POS	'
re	NN	re
looking	VBG	look
at	IN	at
is	VBZ	be
a	DT	a
time	NN	time
when	WRB	when
the	DT	the
universe	NN	universe
was	VBD	be
just	RB	just
beginning	VBG	begin
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
looking	VBG	look
at	IN	at
the	DT	the
light	NN	light
from	IN	from
the	DT	the
very	JJ	very
beginning	NN	beginning
of	IN	of
the	DT	the
universe	NN	universe
and	CC	and
what	WP	what
we	PP	we
should	MD	should
see	VB	see
,	,	,
if	IN	if
we	PP	we
look	VBP	look
at	IN	at
something	NN	something
that	IN	that
far	RB	far
away	RB	away
,	,	,
is	VBZ	be
fire	NN	fire
,	,	,
right	RB	right
?	SENT	?
So	RB	so
we	PP	we
take	VBP	take
this	DT	this
idea	NN	idea
that	IN	that
the	DT	the
early	JJ	early
universe	NN	universe
was	VBD	be
hot	JJ	hot
and	CC	and
dense	JJ	dense
,	,	,
everywhere	RB	everywhere
in	IN	in
the	DT	the
cosmos	NN	cosmos
was	VBD	be
,	,	,
like	VB	like
,	,	,
filled	VBN	fill
with	IN	with
this	DT	this
sort	NN	sort
of	IN	of
roiling	VBG	roil
plasma	NN	plasma
.	SENT	.
And	CC	and
so	RB	so
if	IN	if
we	PP	we
look	VBP	look
far	RB	far
enough	RB	enough
away	RB	away
,	,	,
we	PP	we
should	MD	should
see	VB	see
it	PP	it
,	,	,
because	IN	because
we	PP	we
'	POS	'
re	NN	re
looking	VBG	look
so	RB	so
far	RB	far
back	RB	back
in	IN	in
time	NN	time
that	IN	that
we	PP	we
'	POS	'
re	NN	re
looking	VBG	look
at	IN	at
the	DT	the
time	NN	time
when	WRB	when
the	DT	the
whole	JJ	whole
universe	NN	universe
was	VBD	be
on	IN	on
fire	NN	fire
.	SENT	.
And	CC	and
we	PP	we
do	VBP	do
see	VB	see
that	IN	that
shockingly	RB	shockingly
,	,	,
we	PP	we
actually	RB	actually
do	VBP	do
see	VB	see
that	DT	that
.	SENT	.
When	WRB	when
we	PP	we
use	VBP	use
microwave	NN	microwave
telescopes	NNS	telescope
,	,	,
we	PP	we
see	VBP	see
this	DT	this
background	NN	background
light	NN	light
every	DT	every
direction	NN	direction
we	PP	we
look	VBP	look
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
at	IN	at
the	DT	the
edges	NNS	edge
of	IN	of
our	PP$	our
vision	NN	vision
,	,	,
is	VBZ	be
this	DT	this
heat	NN	heat
,	,	,
this	DT	this
fire	NN	fire
,	,	,
and	CC	and
we	PP	we
know	VBP	know
that	IN	that
it	PP	it
'	POS	'
s	NN	S
heat	NN	heat
,	,	,
we	PP	we
can	MD	can
analyze	VB	analyze
the	DT	the
spectrum	NN	spectrum
of	IN	of
the	DT	the
light	NN	light
and	CC	and
we	PP	we
can	MD	can
see	VB	see
that	IN	that
this	DT	this
microwave	NN	microwave
light	NN	light
,	,	,
this	DT	this
radiation	NN	radiation
,	,	,
is	VBZ	be
the	DT	the
kind	NN	kind
of	IN	of
light	NN	light
you	PP	you
get	VBP	get
when	WRB	when
something	NN	something
is	VBZ	be
just	RB	just
glowing	JJ	glowing
because	IN	because
it	PP	it
'	POS	'
s	NNS	<unknown>
hot	JJ	hot
.	SENT	.
And	CC	and
so	RB	so
we	PP	we
can	MD	can
see	VB	see
that	IN	that
every	DT	every
direction	NN	direction
we	PP	we
look	VBP	look
,	,	,
if	IN	if
we	PP	we
look	VBP	look
far	RB	far
enough	RB	enough
away	RB	away
,	,	,
we	PP	we
'	POS	'
re	NN	re
looking	VBG	look
so	RB	so
far	RB	far
back	RB	back
in	IN	in
time	NN	time
that	IN	that
we	PP	we
'	''	'
re	IN	re
seeing	VBG	see
a	DT	a
universe	NN	universe
that	WDT	that
is	VBZ	be
still	RB	still
on	IN	on
fire	NN	fire
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	VBG	<unknown>
the	DT	the
Big	NP	Big
Bang	NP	Bang
.	SENT	.
Exactly	RB	exactly
what	WP	what
happened	VBD	happen
,	,	,
you	PP	you
know	VBP	know
,	,	,
around	IN	around
that	DT	that
time	NN	time
,	,	,
how	WRB	how
that	DT	that
fire	NN	fire
got	VBD	get
started	VBN	start
,	,	,
that	IN	that
'	POS	'
s	NN	S
a	DT	a
whole	JJ	whole
other	JJ	other
very	JJ	very
complicated	JJ	complicated
story	NN	story
that	IN	that
we	PP	we
'	POS	'
re	NN	re
still	RB	still
figuring	VBG	figure
out	RP	out
.	SENT	.
So	RB	so
we	PP	we
think	VBP	think
that	IN	that
,	,	,
you	PP	you
know	VBP	know
,	,	,
before	IN	before
the	DT	the
fiery	JJ	fiery
part	NN	part
there	EX	there
was	VBD	be
this	DT	this
inflation	NN	inflation
,	,	,
this	DT	this
rapid	JJ	rapid
expansion	NN	expansion
.	SENT	.
Before	IN	before
that	DT	that
,	,	,
maybe	RB	maybe
there	EX	there
was	VBD	be
a	DT	a
singularity	NN	singularity
,	,	,
maybe	RB	maybe
not	RB	not
,	,	,
we	PP	we
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
.	SENT	.
We	PP	we
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
what	WP	what
started	VBD	start
that	DT	that
rapid	JJ	rapid
expansion	NN	expansion
.	SENT	.
But	CC	but
we	PP	we
do	VBP	do
know	VB	know
that	IN	that
for	IN	for
the	DT	the
first	JJ	first
380	CD	@card@
,	,	,
000	CD	@card@
years	NNS	year
of	IN	of
the	DT	the
cosmos	NN	cosmos
,	,	,
it	PP	it
was	VBD	be
this	DT	this
sort	NN	sort
of	IN	of
,	,	,
all	RB	all
of	IN	of
space	NN	space
was	VBD	be
filled	VBN	fill
with	IN	with
this	DT	this
fire	NN	fire
.	SENT	.
And	CC	and
we	PP	we
know	VBP	know
that	IN	that
because	IN	because
we	PP	we
can	MD	can
see	VB	see
it	PP	it
.	SENT	.
LJO	NN	LJO
:	:	:
It	PP	it
'	POS	'
s	NNS	<unknown>
amazing	JJ	amazing
.	SENT	.
Well	RB	well
,	,	,
let	VBP	let
'	POS	'
s	NNS	<unknown>
get	VBP	get
into	IN	into
some	DT	some
of	IN	of
the	DT	the
juicy	JJ	juicy
specifics	NNS	specific
of	IN	of
how	WRB	how
exactly	RB	exactly
the	DT	the
universe	NN	universe
might	MD	might
end	VB	end
.	SENT	.
I	PP	I
know	VBP	know
that	IN	that
you	PP	you
'	POS	'
ve	NN	ve
talked	VBD	talk
to	TO	to
many	JJ	many
other	JJ	other
cosmologists	NNS	cosmologist
yourself	PP	yourself
and	CC	and
there	EX	there
are	VBP	be
a	DT	a
lot	NN	lot
of	IN	of
different	JJ	different
theories	NNS	theory
on	IN	on
this	DT	this
.	SENT	.
Where	WRB	where
do	VBP	do
you	PP	you
think	VBP	think
we	PP	we
should	MD	should
begin	VB	begin
?	SENT	?
Dealer	NN	dealer
'	POS	'
s	NN	S
choice	NN	choice
.	SENT	.
What	WP	what
'	POS	'
s	NN	S
in	IN	in
store	NN	store
for	IN	for
us	PP	us
?	SENT	?
KM	NP	KM
:	:	:
Well	UH	well
,	,	,
so	IN	so
the	DT	the
one	CD	one
that	WDT	that
is	VBZ	be
,	,	,
as	RB	as
far	RB	far
as	IN	as
we	PP	we
know	VBP	know
,	,	,
the	DT	the
most	RBS	most
likely	JJ	likely
,	,	,
the	DT	the
one	CD	one
that	IN	that
we	PP	we
talk	VBP	talk
about	IN	about
the	DT	the
most	JJS	most
in	IN	in
cosmology	NN	cosmology
,	,	,
is	VBZ	be
the	DT	the
heat	NN	heat
death	NN	death
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
what	WP	what
I	PP	I
discussed	VBD	discuss
in	IN	in
my	PP$	my
TED	VB	ted
Talk	NN	talk
,	,	,
and	CC	and
the	DT	the
idea	NN	idea
there	EX	there
is	VBZ	be
that	DT	that
,	,	,
you	PP	you
know	VBP	know
,	,	,
the	DT	the
universe	NN	universe
is	VBZ	be
currently	RB	currently
expanding	VBG	expand
.	SENT	.
Galaxies	NNS	galaxy
are	VBP	be
getting	VBG	get
farther	RBR	farther
and	CC	and
farther	RBR	farther
apart	RB	apart
from	IN	from
each	DT	each
other	JJ	other
.	SENT	.
When	WRB	when
we	PP	we
measured	VBD	measure
the	DT	the
expansion	NN	expansion
,	,	,
it	PP	it
turned	VBD	turn
out	RP	out
that	IN	that
it	PP	it
was	VBD	be
not	RB	not
slowing	VBG	slow
down	RP	down
at	IN	at
all	DT	all
,	,	,
it	PP	it
was	VBD	be
actually	RB	actually
speeding	VBG	speed
up	RP	up
.	SENT	.
And	CC	and
that	DT	that
was	VBD	be
like	IN	like
if	IN	if
you	PP	you
throw	VBP	throw
a	DT	a
ball	NN	ball
up	RP	up
into	IN	into
the	DT	the
air	NN	air
,	,	,
it	PP	it
slows	VBZ	slow
down	RP	down
for	IN	for
a	DT	a
little	JJ	little
while	NN	while
and	CC	and
then	RB	then
just	RB	just
shoots	VBZ	shoot
off	RP	off
into	IN	into
space	NN	space
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
very	RB	very
similar	JJ	similar
physics	NNS	physic
,	,	,
and	CC	and
we	PP	we
didn	NN	<unknown>
'	''	'
t	NN	t
have	VBP	have
any	DT	any
idea	NN	idea
why	WRB	why
that	DT	that
should	MD	should
happen	VB	happen
.	SENT	.
So	RB	so
we	PP	we
still	RB	still
don	VBP	don
'	POS	'
t	NN	t
know	VB	know
why	WRB	why
that	DT	that
'	''	'
s	NN	S
happening	NN	happening
.	SENT	.
We	PP	we
attribute	VBP	attribute
it	PP	it
to	TO	to
something	NN	something
we	PP	we
call	VBP	call
"	``	"
dark	JJ	dark
energy	NN	energy
.	SENT	.
"	``	"
We	PP	we
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
what	WP	what
dark	JJ	dark
energy	NN	energy
is	VBZ	be
.	SENT	.
It	PP	it
'	POS	'
s	JJ	<unknown>
just	JJ	just
something	NN	something
that	WDT	that
seems	VBZ	seem
to	TO	to
be	VB	be
pushing	VBG	push
things	NNS	thing
apart	RB	apart
,	,	,
making	VBG	make
the	DT	the
universe	NN	universe
expand	VB	expand
faster	RBR	faster
.	SENT	.
And	CC	and
because	IN	because
of	IN	of
that	DT	that
,	,	,
it	PP	it
looks	VBZ	look
like	IN	like
we	PP	we
will	MD	will
end	VB	end
up	RP	up
with	IN	with
everything	NN	everything
,	,	,
really	RB	really
--	:	--
you	PP	you
know	VBP	know
,	,	,
all	PDT	all
the	DT	the
galaxies	NNS	galaxy
really	RB	really
isolated	VBN	isolate
,	,	,
the	DT	the
stars	NNS	star
will	MD	will
die	VB	die
away	RB	away
.	SENT	.
The	DT	the
universe	NN	universe
will	MD	will
get	VB	get
very	RB	very
dark	JJ	dark
,	,	,
very	RB	very
cold	JJ	cold
.	SENT	.
And	CC	and
you	PP	you
know	VBP	know
,	,	,
we	PP	we
'	POS	'
ll	NN	ll
end	NN	end
up	RB	up
with	IN	with
this	DT	this
basically	RB	basically
empty	JJ	empty
,	,	,
cold	JJ	cold
,	,	,
dark	JJ	dark
,	,	,
lonely	JJ	lonely
universe	NN	universe
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
called	VBD	call
the	DT	the
heat	NN	heat
death	NN	death
.	SENT	.
The	DT	the
reason	NN	reason
it	PP	it
'	POS	'
s	NN	S
called	VBD	call
the	DT	the
heat	NN	heat
death	NN	death
is	VBZ	be
because	IN	because
,	,	,
like	VB	like
.	SENT	.
.	SENT	.
.	SENT	.
Everything	NN	everything
'	POS	'
s	NNS	<unknown>
decaying	VBG	decay
into	IN	into
,	,	,
like	VB	like
,	,	,
the	DT	the
waste	NN	waste
heat	NN	heat
of	IN	of
creation	NN	creation
.	SENT	.
So	RB	so
,	,	,
you	PP	you
know	VBP	know
,	,	,
just	RB	just
as	IN	as
you	PP	you
can	MD	can
'	''	'
t	NN	t
have	VBP	have
a	DT	a
machine	NN	machine
that	RB	that
'	POS	'
s	NN	S
perfectly	RB	perfectly
efficient	JJ	efficient
,	,	,
it	PP	it
'	POS	'
ll	NNS	<unknown>
always	RB	always
lose	VBP	lose
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
energy	NN	energy
through	IN	through
friction	NN	friction
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
a	DT	a
property	NN	property
of	IN	of
physics	NNS	physic
in	IN	in
general	JJ	general
,	,	,
it	PP	it
'	POS	'
s	NN	S
called	VBD	call
the	DT	the
second	JJ	second
law	NN	law
of	IN	of
thermodynamics	NNS	thermodynamics
.	SENT	.
Everything	NN	everything
sort	NN	sort
of	IN	of
decays	NNS	decay
into	IN	into
entropy	NN	entropy
,	,	,
into	IN	into
disorder	NN	disorder
,	,	,
and	CC	and
that	WDT	that
is	VBZ	be
called	VBN	call
heat	NN	heat
from	IN	from
a	DT	a
physics	NN	physics
perspective	NN	perspective
.	SENT	.
So	IN	so
the	DT	the
heat	NN	heat
death	NN	death
is	VBZ	be
when	WRB	when
nothing	NN	nothing
is	VBZ	be
left	VBN	leave
but	CC	but
the	DT	the
waste	NN	waste
heat	NN	heat
of	IN	of
the	DT	the
universe	NN	universe
.	SENT	.
Which	WDT	which
is	VBZ	be
part	NN	part
of	IN	of
why	WRB	why
it	PP	it
'	POS	'
s	JJ	<unknown>
fun	NN	fun
to	TO	to
talk	VB	talk
about	IN	about
the	DT	the
alternatives	NNS	alternative
,	,	,
because	IN	because
we	PP	we
don	NN	don
'	POS	'
t	NN	t
know	VBP	know
for	IN	for
sure	JJ	sure
that	IN	that
the	DT	the
heat	NN	heat
death	NN	death
will	MD	will
happen	VB	happen
.	SENT	.
Partially	RB	partially
because	IN	because
we	PP	we
don	NN	don
'	POS	'
t	NN	t
know	VBP	know
what	WP	what
dark	JJ	dark
energy	NN	energy
is	VBZ	be
.	SENT	.
We	PP	we
don	VBP	don
'	''	'
t	NN	t
understand	VB	understand
this	DT	this
stuff	NN	stuff
that	RB	that
'	POS	'
s	NN	S
making	VBG	make
the	DT	the
universe	NN	universe
expand	VB	expand
faster	RBR	faster
.	SENT	.
Maybe	RB	maybe
it	PP	it
'	POS	'
s	NN	S
just	RB	just
a	DT	a
property	NN	property
of	IN	of
space	NN	space
where	WRB	where
,	,	,
you	PP	you
know	VBP	know
,	,	,
space	NN	space
just	RB	just
has	VBZ	have
this	DT	this
sort	NN	sort
of	IN	of
,	,	,
expansion	NN	expansion
built	VBN	build
in	IN	in
,	,	,
and	CC	and
it	PP	it
'	POS	'
ll	NNS	<unknown>
keep	VBP	keep
going	VBG	go
the	DT	the
way	NN	way
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
.	SENT	.
But	CC	but
maybe	RB	maybe
it	PP	it
'	POS	'
s	JJ	<unknown>
something	NN	something
that	IN	that
changes	NNS	change
over	IN	over
time	NN	time
.	SENT	.
Maybe	RB	maybe
it	PP	it
'	POS	'
ll	NNS	<unknown>
turn	VBP	turn
around	RP	around
and	CC	and
we	PP	we
'	POS	'
ll	NNS	<unknown>
get	VBP	get
a	DT	a
big	JJ	big
crunch	NN	crunch
and	CC	and
everything	NN	everything
will	MD	will
come	VB	come
back	RB	back
together	RB	together
.	SENT	.
Or	CC	or
maybe	RB	maybe
it	PP	it
'	POS	'
ll	NNS	<unknown>
become	VBP	become
more	RBR	more
powerful	JJ	powerful
.	SENT	.
And	CC	and
then	RB	then
you	PP	you
end	VB	end
up	RP	up
with	IN	with
something	NN	something
called	VBD	call
a	DT	a
"	``	"
Big	NP	Big
Rip	NP	Rip
,	,	,
"	``	"
where	WRB	where
if	IN	if
the	DT	the
dark	JJ	dark
energy	NN	energy
becomes	VBZ	become
more	RBR	more
powerful	JJ	powerful
,	,	,
it	PP	it
starts	VBZ	start
to	TO	to
not	RB	not
just	RB	just
move	VB	move
galaxies	NNS	galaxy
apart	RB	apart
from	IN	from
each	DT	each
other	JJ	other
,	,	,
but	CC	but
actually	RB	actually
expand	VB	expand
the	DT	the
space	NN	space
in	IN	in
galaxies	NNS	galaxy
and	CC	and
move	NN	move
stars	NNS	star
away	RB	away
from	IN	from
galaxies	NNS	galaxy
and	CC	and
then	RB	then
pull	VB	pull
apart	RP	apart
planets	NNS	planet
and	CC	and
stars	NNS	star
and	CC	and
eventually	RB	eventually
destroy	VB	destroy
the	DT	the
entire	JJ	entire
universe	NN	universe
.	SENT	.
So	RB	so
those	DT	those
are	VBP	be
other	JJ	other
possibilities	NNS	possibility
that	IN	that
I	PP	I
talk	VBP	talk
about	RB	about
in	IN	in
the	DT	the
book	NN	book
.	SENT	.
Because	IN	because
we	PP	we
don	NN	don
'	POS	'
t	NN	t
know	VBP	know
what	WP	what
dark	JJ	dark
energy	NN	energy
is	VBZ	be
,	,	,
and	CC	and
we	PP	we
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
for	IN	for
sure	JJ	sure
what	WP	what
it	PP	it
'	POS	'
ll	NNS	<unknown>
do	VBP	do
in	IN	in
the	DT	the
future	NN	future
.	SENT	.
LJO	NN	LJO
:	:	:
I	PP	I
want	VBP	want
to	TO	to
open	VB	open
up	RP	up
to	TO	to
some	DT	some
of	IN	of
the	DT	the
questions	NNS	question
from	IN	from
the	DT	the
audience	NN	audience
.	SENT	.
Vasily	NP	Vasily
asks	VBZ	ask
,	,	,
"	``	"
Have	VBP	have
you	PP	you
ever	RB	ever
asked	VBD	ask
the	DT	the
question	NN	question
'	''	'
If	IN	if
there	EX	there
were	VBD	be
no	DT	no
universe	NN	universe
,	,	,
what	WP	what
would	MD	would
there	RB	there
be	VB	be
?	SENT	?
'	''	'
This	DT	this
leads	NNS	lead
to	TO	to
the	DT	the
question	NN	question
of	IN	of
what	WP	what
will	MD	will
be	VB	be
after	IN	after
the	DT	the
universe	NN	universe
ends	VBZ	end
?	SENT	?
"	''	"
KM	NP	KM
:	:	:
So	RB	so
I	PP	I
think	VBP	think
that	WDT	that
gets	VBZ	get
into	IN	into
tricky	JJ	tricky
questions	NNS	question
of	IN	of
how	WRB	how
do	VBP	do
you	PP	you
define	VB	define
universe	NN	universe
,	,	,
right	RB	right
?	SENT	?
So	RB	so
you	PP	you
can	MD	can
define	VB	define
universe	NN	universe
as	IN	as
being	VBG	be
everything	NN	everything
,	,	,
and	CC	and
then	RB	then
it	PP	it
becomes	VBZ	become
a	DT	a
less	RBR	less
clear	JJ	clear
question	NN	question
.	SENT	.
What	WP	what
does	VBZ	do
it	PP	it
mean	VB	mean
for	IN	for
something	NN	something
other	JJ	other
than	IN	than
everything	NN	everything
?	SENT	?
Then	RB	then
,	,	,
you	PP	you
know	VBP	know
,	,	,
if	IN	if
there	EX	there
is	VBZ	be
anything	NN	anything
else	RB	else
,	,	,
it	PP	it
'	POS	'
s	NN	S
by	IN	by
definition	NN	definition
part	NN	part
of	IN	of
the	DT	the
universe	NN	universe
.	SENT	.
But	CC	but
one	CD	one
of	IN	of
the	DT	the
ways	NNS	way
we	PP	we
often	RB	often
talk	VBP	talk
about	IN	about
the	DT	the
universe	NN	universe
in	IN	in
cosmology	NN	cosmology
,	,	,
is	VBZ	be
we	PP	we
talk	VBP	talk
about	IN	about
the	DT	the
observable	JJ	observable
universe	NN	universe
,	,	,
where	WRB	where
the	DT	the
observable	JJ	observable
universe	NN	universe
is	VBZ	be
the	DT	the
part	NN	part
of	IN	of
the	DT	the
cosmos	NNS	cosmos
we	PP	we
can	MD	can
see	VB	see
,	,	,
where	WRB	where
the	DT	the
light	NN	light
has	VBZ	have
had	VBN	have
time	NN	time
to	TO	to
reach	VB	reach
us	PP	us
since	IN	since
the	DT	the
Big	NP	Big
Bang	NP	Bang
.	SENT	.
So	RB	so
I	PP	I
talked	VBD	talk
about	RB	about
that	IN	that
before	IN	before
.	SENT	.
The	DT	the
edge	NN	edge
of	IN	of
the	DT	the
observable	JJ	observable
universe	NN	universe
is	VBZ	be
where	WRB	where
we	PP	we
