Thank	VB	thank
today	NN	today
,	,	,
in	IN	in
Monterey	NP	Monterey
,	,	,
I	PP	I
read	VBP	read
that	DT	that
book	NN	book
,	,	,
and	CC	and
from	IN	from
when	WRB	when
I	PP	I
was	VBD	be
reading	VBG	read
that	DT	that
book	NN	book
,	,	,
I	PP	I
knew	VBD	know
that	IN	that
I	PP	I
wanted	VBD	want
to	TO	to
have	VB	have
a	DT	a
life	NN	life
in	IN	in
medicine	NN	medicine
.	SENT	.
I	PP	I
wanted	VBD	want
to	TO	to
be	VB	be
like	IN	like
the	DT	the
explorers	NNS	explorer
I	PP	I
'	POS	'
d	NN	d
read	VBD	read
about	RB	about
in	IN	in
the	DT	the
book	NN	book
,	,	,
who	WP	who
went	VBD	go
into	IN	into
the	DT	the
jungles	NNS	jungle
of	IN	of
Africa	NP	Africa
,	,	,
went	VBD	go
into	IN	into
the	DT	the
research	NN	research
labs	NNS	lab
and	CC	and
just	RB	just
tried	VBD	try
to	TO	to
figure	VB	figure
out	RP	out
what	WP	what
this	DT	this
deadly	JJ	deadly
virus	NN	virus
was	VBD	be
.	SENT	.
So	RB	so
from	IN	from
that	DT	that
moment	NN	moment
on	IN	on
,	,	,
I	PP	I
read	VBP	read
every	DT	every
medical	JJ	medical
book	NN	book
I	PP	I
could	MD	could
get	VB	get
my	PP$	my
hands	NNS	hand
on	IN	on
,	,	,
and	CC	and
I	PP	I
just	RB	just
loved	VBD	love
it	PP	it
so	RB	so
much	RB	much
.	SENT	.
I	PP	I
was	VBD	be
a	DT	a
passive	JJ	passive
observer	NN	observer
of	IN	of
the	DT	the
medical	JJ	medical
world	NN	world
.	SENT	.
It	PP	it
wasn	NP	<unknown>
'	POS	'
t	NN	t
until	IN	until
I	PP	I
entered	VBD	enter
high	JJ	high
school	NN	school
that	IN	that
I	PP	I
thought	VBD	think
,	,	,
"	``	"
Maybe	RB	maybe
now	RB	now
,	,	,
you	PP	you
know	VBP	know
—	:	-
being	VBG	be
a	DT	a
big	JJ	big
high	JJ	high
school	NN	school
kid	NN	kid
—	:	-
I	PP	I
can	MD	can
maybe	RB	maybe
become	VB	become
an	DT	an
active	JJ	active
part	NN	part
of	IN	of
this	DT	this
big	JJ	big
medical	JJ	medical
world	NN	world
.	SENT	.
"	``	"
I	PP	I
was	VBD	be
14	CD	@card@
,	,	,
and	CC	and
I	PP	I
emailed	VBD	email
professors	NNS	professor
at	IN	at
the	DT	the
local	JJ	local
university	NN	university
to	TO	to
see	VB	see
if	IN	if
maybe	RB	maybe
I	PP	I
could	MD	could
go	VB	go
work	NN	work
in	IN	in
their	PP$	their
lab	NN	lab
.	SENT	.
And	CC	and
hardly	RB	hardly
anyone	NN	anyone
responded	VBD	respond
.	SENT	.
But	CC	but
I	PP	I
mean	VBP	mean
,	,	,
why	WRB	why
would	MD	would
they	PP	they
respond	VB	respond
to	TO	to
a	DT	a
14-year-old	JJ	14-year-old
,	,	,
anyway	RB	anyway
?	SENT	?
And	CC	and
I	PP	I
got	VBD	get
to	TO	to
go	VB	go
talk	NN	talk
to	TO	to
one	CD	one
professor	NN	professor
,	,	,
Dr	NP	Dr
.	SENT	.
Jacobs	NP	Jacobs
,	,	,
who	WP	who
accepted	VBD	accept
me	PP	me
into	IN	into
the	DT	the
lab	NN	lab
.	SENT	.
At	IN	at
that	DT	that
time	NN	time
,	,	,
I	PP	I
was	VBD	be
really	RB	really
interested	JJ	interested
in	IN	in
neuroscience	NN	neuroscience
and	CC	and
wanted	VBD	want
to	TO	to
do	VB	do
a	DT	a
research	NN	research
project	NN	project
in	IN	in
neurology	NN	neurology
—	:	-
specifically	RB	specifically
looking	VBG	look
at	IN	at
the	DT	the
effects	NNS	effect
of	IN	of
heavy	JJ	heavy
metals	NNS	metal
on	IN	on
the	DT	the
developing	VBG	develop
nervous	JJ	nervous
system	NN	system
.	SENT	.
So	RB	so
I	PP	I
started	VBD	start
that	IN	that
,	,	,
and	CC	and
worked	VBD	work
in	IN	in
his	PP$	his
lab	NN	lab
for	IN	for
a	DT	a
year	NN	year
,	,	,
and	CC	and
found	VBD	find
the	DT	the
results	NNS	result
that	WDT	that
I	PP	I
guess	VBP	guess
you	PP	you
'	''	'
d	SYM	d
expect	VBP	expect
to	TO	to
find	VB	find
when	WRB	when
you	PP	you
feed	VBP	feed
fruit	NN	fruit
flies	VBZ	fly
heavy	JJ	heavy
metals	NNS	metal
—	:	-
that	IN	that
it	PP	it
really	RB	really
,	,	,
really	RB	really
impaired	VBN	impair
the	DT	the
nervous	JJ	nervous
system	NN	system
.	SENT	.
The	DT	the
spinal	JJ	spinal
cord	NN	cord
had	VBD	have
breaks	NNS	break
.	SENT	.
The	DT	the
neurons	NNS	neuron
were	VBD	be
crossing	VBG	cross
in	IN	in
every	DT	every
which	WDT	which
way	NN	way
.	SENT	.
And	CC	and
from	IN	from
then	RB	then
I	PP	I
wanted	VBD	want
to	TO	to
look	VB	look
not	RB	not
at	IN	at
impairment	NN	impairment
,	,	,
but	CC	but
at	IN	at
prevention	NN	prevention
of	IN	of
impairment	NN	impairment
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	NNS	<unknown>
what	WP	what
led	VBD	lead
me	PP	me
to	TO	to
Alzheimer	NP	Alzheimer
'	POS	'
s	NN	S
.	SENT	.
I	PP	I
started	VBD	start
reading	NN	reading
about	IN	about
Alzheimer	NP	Alzheimer
'	POS	'
s	NN	S
and	CC	and
tried	VBD	try
to	TO	to
familiarize	VB	familiarize
myself	PP	myself
with	IN	with
the	DT	the
research	NN	research
,	,	,
and	CC	and
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
when	WRB	when
I	PP	I
was	VBD	be
in	IN	in
the	DT	the
—	:	-
I	PP	I
was	VBD	be
reading	VBG	read
in	IN	in
the	DT	the
medical	JJ	medical
library	NN	library
one	CD	one
day	NN	day
,	,	,
and	CC	and
I	PP	I
read	VBP	read
this	DT	this
article	NN	article
about	IN	about
something	NN	something
called	VBN	call
"	``	"
purine	NN	purine
derivatives	NNS	derivative
.	SENT	.
"	``	"
And	CC	and
they	PP	they
seemed	VBD	seem
to	TO	to
have	VB	have
cell	NN	cell
growth-promoting	NN	<unknown>
properties	NNS	property
.	SENT	.
And	CC	and
being	VBG	be
naive	JJ	naive
about	IN	about
the	DT	the
whole	JJ	whole
field	NN	field
,	,	,
I	PP	I
kind	RB	kind
of	IN	of
thought	NN	thought
,	,	,
"	``	"
Oh	UH	oh
,	,	,
you	PP	you
have	VBP	have
cell	NN	cell
death	NN	death
in	IN	in
Alzheimer	NP	Alzheimer
'	POS	'
s	NN	S
which	WDT	which
is	VBZ	be
causing	VBG	cause
the	DT	the
memory	NN	memory
deficit	NN	deficit
,	,	,
and	CC	and
then	RB	then
you	PP	you
have	VBP	have
this	DT	this
compound	NN	compound
—	:	-
purine	NN	purine
derivatives	NNS	derivative
—	:	-
that	WDT	that
are	VBP	be
promoting	VBG	promote
cell	NN	cell
growth	NN	growth
.	SENT	.
"	''	"
And	CC	and
so	RB	so
I	PP	I
thought	VBD	think
,	,	,
"	``	"
Maybe	RB	maybe
if	IN	if
it	PP	it
can	MD	can
promote	VB	promote
cell	NN	cell
growth	NN	growth
,	,	,
it	PP	it
can	MD	can
inhibit	VB	inhibit
cell	NN	cell
death	NN	death
,	,	,
too	RB	too
.	SENT	.
"	''	"
And	CC	and
so	RB	so
that	RB	that
'	''	'
s	VBG	<unknown>
the	DT	the
project	NN	project
that	IN	that
I	PP	I
pursued	VBD	pursue
for	IN	for
that	DT	that
year	NN	year
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
continuing	VBG	continue
now	RB	now
as	RB	as
well	RB	well
,	,	,
and	CC	and
found	VBD	find
that	IN	that
a	DT	a
specific	JJ	specific
purine	NN	purine
derivative	NN	derivative
called	VBN	call
"	``	"
guanidine	NN	guanidine
"	''	"
had	VBD	have
inhibited	VBN	inhibit
the	DT	the
cell	NN	cell
growth	NN	growth
by	IN	by
approximately	RB	approximately
60	CD	@card@
percent	NN	percent
.	SENT	.
So	RB	so
I	PP	I
presented	VBD	present
those	DT	those
results	NNS	result
at	IN	at
the	DT	the
International	NP	International
Science	NP	Science
Fair	NP	Fair
,	,	,
which	WDT	which
was	VBD	be
just	RB	just
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
amazing	JJ	amazing
experiences	NNS	experience
of	IN	of
my	PP$	my
life	NN	life
.	SENT	.
And	CC	and
there	EX	there
I	PP	I
was	VBD	be
awarded	VBN	award
"	``	"
Best	JJS	good
in	IN	in
the	DT	the
World	NP	World
in	IN	in
Medicine	NP	Medicine
,	,	,
"	''	"
which	WDT	which
allowed	VBD	allow
me	PP	me
to	TO	to
get	VB	get
in	IN	in
,	,	,
or	CC	or
at	IN	at
least	JJS	least
get	VB	get
a	DT	a
foot	NN	foot
in	IN	in
the	DT	the
door	NN	door
of	IN	of
the	DT	the
big	JJ	big
medical	JJ	medical
world	NN	world
.	SENT	.
And	CC	and
from	IN	from
then	RB	then
on	RB	on
,	,	,
since	IN	since
I	PP	I
was	VBD	be
now	RB	now
in	IN	in
this	DT	this
huge	JJ	huge
exciting	JJ	exciting
world	NN	world
,	,	,
I	PP	I
wanted	VBD	want
to	TO	to
explore	VB	explore
it	PP	it
all	DT	all
.	SENT	.
I	PP	I
wanted	VBD	want
it	PP	it
all	RB	all
at	IN	at
once	RB	once
,	,	,
but	CC	but
knew	VBD	know
I	PP	I
couldn	NN	<unknown>
'	POS	'
t	NN	t
really	RB	really
get	VB	get
that	DT	that
.	SENT	.
And	CC	and
I	PP	I
stumbled	VBD	stumble
across	IN	across
something	NN	something
called	VBN	call
"	``	"
cancer	NN	cancer
stem	NN	stem
cells	NNS	cell
.	SENT	.
"	''	"
And	CC	and
this	DT	this
is	VBZ	be
really	RB	really
what	WP	what
I	PP	I
want	VBP	want
to	TO	to
talk	VB	talk
to	TO	to
you	PP	you
about	IN	about
today	NN	today
—	:	-
about	IN	about
cancer	NN	cancer
.	SENT	.
At	IN	at
first	RB	first
when	WRB	when
I	PP	I
heard	VBD	hear
of	IN	of
cancer	NN	cancer
stem	NN	stem
cells	NNS	cell
,	,	,
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
really	RB	really
know	VBP	know
how	WRB	how
to	TO	to
put	VB	put
the	DT	the
two	CD	two
together	RB	together
.	SENT	.
I	NP	I
'	POS	'
d	NN	d
heard	VBD	hear
of	IN	of
stem	NN	stem
cells	NNS	cell
,	,	,
and	CC	and
I	PP	I
'	POS	'
d	NN	d
heard	VBD	hear
of	IN	of
them	PP	them
as	IN	as
the	DT	the
panacea	NN	panacea
of	IN	of
the	DT	the
future	NN	future
—	:	-
the	DT	the
therapy	NN	therapy
of	IN	of
many	JJ	many
diseases	NNS	disease
to	TO	to
come	VB	come
in	IN	in
the	DT	the
future	NN	future
,	,	,
perhaps	RB	perhaps
.	SENT	.
But	CC	but
I	PP	I
'	POS	'
d	NN	d
heard	VBD	hear
of	IN	of
cancer	NN	cancer
as	IN	as
the	DT	the
most	RBS	most
feared	JJ	feared
disease	NN	disease
of	IN	of
our	PP$	our
time	NN	time
,	,	,
so	RB	so
how	WRB	how
did	VBD	do
the	DT	the
good	JJ	good
and	CC	and
bad	JJ	bad
go	VBP	go
together	RB	together
?	SENT	?
Last	JJ	last
summer	NN	summer
I	PP	I
worked	VBD	work
at	IN	at
Stanford	NP	Stanford
University	NP	University
,	,	,
doing	VBG	do
some	DT	some
research	NN	research
on	IN	on
cancer	NN	cancer
stem	NN	stem
cells	NNS	cell
.	SENT	.
And	CC	and
while	IN	while
I	PP	I
was	VBD	be
doing	VBG	do
this	DT	this
,	,	,
I	PP	I
was	VBD	be
reading	VBG	read
the	DT	the
cancer	NN	cancer
literature	NN	literature
,	,	,
trying	VBG	try
to	TO	to
—	:	-
again	RB	again
—	:	-
familiarize	VB	familiarize
myself	PP	myself
with	IN	with
this	DT	this
new	JJ	new
medical	JJ	medical
field	NN	field
.	SENT	.
And	CC	and
it	PP	it
seemed	VBD	seem
that	IN	that
tumors	NNS	tumor
actually	RB	actually
begin	VBP	begin
from	IN	from
a	DT	a
stem	NN	stem
cell	NN	cell
.	SENT	.
This	DT	this
fascinated	VBD	fascinate
me	PP	me
.	SENT	.
The	DT	the
more	JJR	more
I	PP	I
read	VBP	read
,	,	,
the	DT	the
more	RBR	more
I	PP	I
looked	VBD	look
at	IN	at
cancer	NN	cancer
differently	RB	differently
and	CC	and
almost	RB	almost
became	VBD	become
less	RBR	less
fearful	JJ	fearful
of	IN	of
it	PP	it
.	SENT	.
It	PP	it
seems	VBZ	seem
that	IN	that
cancer	NN	cancer
is	VBZ	be
a	DT	a
direct	JJ	direct
result	NN	result
to	TO	to
injury	NN	injury
.	SENT	.
If	IN	if
you	PP	you
smoke	VBP	smoke
,	,	,
you	PP	you
damage	VBP	damage
your	PP$	your
lung	NN	lung
tissue	NN	tissue
,	,	,
and	CC	and
then	RB	then
lung	NN	lung
cancer	NN	cancer
arises	VBZ	arise
.	SENT	.
If	IN	if
you	PP	you
drink	VBP	drink
,	,	,
you	PP	you
damage	VBP	damage
your	PP$	your
liver	NN	liver
,	,	,
and	CC	and
then	RB	then
liver	JJR	live
cancer	NN	cancer
occurs	VBZ	occur
.	SENT	.
And	CC	and
it	PP	it
was	VBD	be
really	RB	really
interesting	JJ	interesting
—	:	-
there	EX	there
were	VBD	be
articles	NNS	article
correlating	VBG	correlate
if	IN	if
you	PP	you
have	VBP	have
a	DT	a
bone	NN	bone
fracture	NN	fracture
,	,	,
and	CC	and
then	RB	then
bone	NN	bone
cancer	NN	cancer
arises	VBZ	arise
.	SENT	.
Because	IN	because
what	WP	what
stem	VBP	stem
cells	NNS	cell
are	VBP	be
—	:	-
they	PP	they
'	POS	'
re	NN	re
these	DT	these
phenomenal	JJ	phenomenal
cells	NNS	cell
that	WDT	that
really	RB	really
have	VBP	have
the	DT	the
ability	NN	ability
to	TO	to
differentiate	VB	differentiate
into	IN	into
any	DT	any
type	NN	type
of	IN	of
tissue	NN	tissue
.	SENT	.
So	RB	so
,	,	,
if	IN	if
the	DT	the
body	NN	body
is	VBZ	be
sensing	VBG	sense
that	IN	that
you	PP	you
have	VBP	have
damage	NN	damage
to	TO	to
an	DT	an
organ	NN	organ
and	CC	and
then	RB	then
it	PP	it
'	POS	'
s	JJ	<unknown>
initiating	VBG	initiate
cancer	NN	cancer
,	,	,
it	PP	it
'	POS	'
s	NN	S
almost	RB	almost
as	RB	as
if	IN	if
this	DT	this
is	VBZ	be
a	DT	a
repair	NN	repair
response	NN	response
.	SENT	.
And	CC	and
the	DT	the
cancer	NN	cancer
,	,	,
the	DT	the
body	NN	body
is	VBZ	be
saying	VBG	say
the	DT	the
lung	NN	lung
tissue	NN	tissue
is	VBZ	be
damaged	VBN	damage
,	,	,
we	PP	we
need	VBP	need
to	TO	to
repair	VB	repair
the	DT	the
lung	NN	lung
.	SENT	.
And	CC	and
cancer	NN	cancer
is	VBZ	be
originating	VBG	originate
in	IN	in
the	DT	the
lung	NN	lung
trying	VBG	try
to	TO	to
repair	VB	repair
—	:	-
because	IN	because
you	PP	you
have	VBP	have
this	DT	this
excessive	JJ	excessive
proliferation	NN	proliferation
of	IN	of
these	DT	these
remarkable	JJ	remarkable
cells	NNS	cell
that	WDT	that
really	RB	really
have	VBP	have
the	DT	the
potential	NN	potential
to	TO	to
become	VB	become
lung	NN	lung
tissue	NN	tissue
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NN	S
almost	RB	almost
as	RB	as
if	IN	if
the	DT	the
body	NN	body
has	VBZ	have
originated	VBN	originate
this	DT	this
ingenious	JJ	ingenious
response	NN	response
,	,	,
but	CC	but
can	MD	can
'	''	'
t	NN	t
quite	RB	quite
control	VB	control
it	PP	it
.	SENT	.
It	PP	it
hasn	NP	<unknown>
'	POS	'
t	NN	t
yet	RB	yet
become	VBN	become
fine-tuned	JJ	fine-tuned
enough	RB	enough
to	TO	to
finish	VB	finish
what	WP	what
has	VBZ	have
been	VBN	be
initiated	VBN	initiate
.	SENT	.
So	RB	so
this	DT	this
really	RB	really
,	,	,
really	RB	really
fascinated	VBN	fascinate
me	PP	me
.	SENT	.
And	CC	and
I	PP	I
really	RB	really
think	VBP	think
that	IN	that
we	PP	we
can	MD	can
'	''	'
t	NN	t
think	VBP	think
about	IN	about
cancer	NN	cancer
—	:	-
let	VB	let
alone	RB	alone
any	DT	any
disease	NN	disease
—	:	-
in	IN	in
such	JJ	such
black-and-white	JJ	black-and-white
terms	NNS	term
.	SENT	.
If	IN	if
we	PP	we
eliminate	VBP	eliminate
cancer	NN	cancer
the	DT	the
way	NN	way
we	PP	we
'	POS	'
re	NN	re
trying	VBG	try
to	TO	to
do	VB	do
now	RB	now
,	,	,
with	IN	with
chemotherapy	NN	chemotherapy
and	CC	and
radiation	NN	radiation
,	,	,
we	PP	we
'	POS	'
re	NN	re
bombarding	VBG	bombard
the	DT	the
body	NN	body
or	CC	or
the	DT	the
cancer	NN	cancer
with	IN	with
toxins	NNS	toxin
,	,	,
or	CC	or
with	IN	with
radiation	NN	radiation
,	,	,
trying	VBG	try
to	TO	to
kill	VB	kill
it	PP	it
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
almost	RB	almost
as	RB	as
if	IN	if
we	PP	we
'	POS	'
re	NN	re
getting	VBG	get
back	RB	back
to	TO	to
this	DT	this
starting	VBG	start
point	NN	point
.	SENT	.
We	PP	we
'	''	'
re	IN	re
removing	VBG	remove
the	DT	the
cancer	NN	cancer
cells	NNS	cell
,	,	,
but	CC	but
we	PP	we
'	POS	'
re	NN	re
revealing	VBG	reveal
the	DT	the
previous	JJ	previous
damage	NN	damage
that	IN	that
the	DT	the
body	NN	body
has	VBZ	have
tried	VBN	try
to	TO	to
fix	VB	fix
.	SENT	.
Shouldn	NP	<unknown>
'	POS	'
t	NN	t
we	PP	we
think	VBP	think
about	IN	about
manipulation	NN	manipulation
,	,	,
rather	RB	rather
than	IN	than
elimination	NN	elimination
?	SENT	?
If	IN	if
somehow	RB	somehow
we	PP	we
can	MD	can
cause	VB	cause
these	DT	these
cells	NNS	cell
to	TO	to
differentiate	VB	differentiate
—	:	-
to	TO	to
become	VB	become
bone	NN	bone
tissue	NN	tissue
,	,	,
lung	NN	lung
tissue	NN	tissue
,	,	,
liver	NN	liver
tissue	NN	tissue
,	,	,
whatever	WDT	whatever
that	DT	that
cancer	NN	cancer
has	VBZ	have
been	VBN	be
put	VBN	put
there	RB	there
to	TO	to
do	VB	do
—	:	-
it	PP	it
would	MD	would
be	VB	be
a	DT	a
repair	NN	repair
process	NN	process
.	SENT	.
We	PP	we
'	POS	'
d	NN	d
end	NN	end
up	IN	up
better	JJR	good
than	IN	than
we	PP	we
were	VBD	be
before	IN	before
cancer	NN	cancer
.	SENT	.
So	RB	so
,	,	,
this	DT	this
really	RB	really
changed	VBN	change
my	PP$	my
view	NN	view
of	IN	of
looking	VBG	look
at	IN	at
cancer	NN	cancer
.	SENT	.
And	CC	and
while	IN	while
I	PP	I
was	VBD	be
reading	VBG	read
all	PDT	all
these	DT	these
articles	NNS	article
about	IN	about
cancer	NN	cancer
,	,	,
it	PP	it
seemed	VBD	seem
that	IN	that
the	DT	the
articles	NNS	article
—	:	-
a	DT	a
lot	NN	lot
of	IN	of
them	PP	them
—	:	-
focused	VBN	focus
on	RP	on
,	,	,
you	PP	you
know	VBP	know
,	,	,
the	DT	the
genetics	NN	genetics
of	IN	of
breast	NN	breast
cancer	NN	cancer
,	,	,
and	CC	and
the	DT	the
genesis	NN	genesis
and	CC	and
the	DT	the
progression	NN	progression
of	IN	of
breast	NN	breast
cancer	NN	cancer
—	:	-
tracking	VBG	track
the	DT	the
cancer	NN	cancer
through	IN	through
the	DT	the
body	NN	body
,	,	,
tracing	VBG	trace
where	WRB	where
it	PP	it
is	VBZ	be
,	,	,
where	WRB	where
it	PP	it
goes	VBZ	go
.	SENT	.
But	CC	but
it	PP	it
struck	VBD	strike
me	PP	me
that	IN	that
I	NP	I
'	POS	'
d	NN	d
never	RB	never
heard	VBN	hear
of	IN	of
cancer	NN	cancer
of	IN	of
the	DT	the
heart	NN	heart
,	,	,
or	CC	or
cancer	NN	cancer
of	IN	of
any	DT	any
skeletal	JJ	skeletal
muscle	NN	muscle
for	IN	for
that	DT	that
matter	NN	matter
.	SENT	.
And	CC	and
skeletal	JJ	skeletal
muscle	NN	muscle
constitutes	VBZ	constitute
50	CD	@card@
percent	NN	percent
of	IN	of
our	PP$	our
body	NN	body
,	,	,
or	CC	or
over	IN	over
50	CD	@card@
percent	NN	percent
of	IN	of
our	PP$	our
body	NN	body
.	SENT	.
And	CC	and
so	RB	so
at	IN	at
first	JJ	first
