Ever	RB	ever
then	RB	then
,	,	,
my	PP$	my
father	NN	father
,	,	,
he	PP	he
had	VBD	have
a	DT	a
bicycle	NN	bicycle
shop	NN	shop
,	,	,
and	CC	and
in	IN	in
the	DT	the
weekend	NN	weekend
,	,	,
he	PP	he
would	MD	would
bring	VB	bring
me	PP	me
along	RP	along
to	TO	to
the	DT	the
recycle	NN	recycle
station	NN	station
to	TO	to
get	VB	get
rid	JJ	rid
of	IN	of
his	PP$	his
trash	NN	trash
.	SENT	.
And	CC	and
to	TO	to
me	PP	me
,	,	,
the	DT	the
recycle	NN	recycle
station	NN	station
was	VBD	be
like	IN	like
a	DT	a
gigantic	JJ	gigantic
toy	NN	toy
store	NN	store
filled	VBN	fill
with	IN	with
everything	NN	everything
my	PP$	my
young	JJ	young
heart	NN	heart
could	MD	could
desire	VB	desire
,	,	,
like	IN	like
a	DT	a
boombox	NN	<unknown>
that	WDT	that
was	VBD	be
broken	VBN	break
just	RB	just
because	IN	because
somebody	NN	somebody
had	VBD	have
bent	VBN	bend
their	PP$	their
antenna	NN	antenna
and	CC	and
they	PP	they
had	VBD	have
discarded	VBN	discard
it	PP	it
,	,	,
or	CC	or
a	DT	a
window	NN	window
with	IN	with
all	PDT	all
the	DT	the
glass	NN	glass
intact	JJ	intact
that	WDT	that
fit	VBP	fit
perfectly	RB	perfectly
from	IN	from
the	DT	the
skylight	NN	skylight
for	IN	for
my	PP$	my
treetop	NN	treetop
house	NN	house
.	SENT	.
I	PP	I
got	VBD	get
a	DT	a
pipe	NN	pipe
that	WDT	that
could	MD	could
be	VB	be
a	DT	a
slide	NN	slide
for	IN	for
one	CD	one
of	IN	of
my	PP$	my
action	NN	action
figures	NNS	figure
.	SENT	.
But	CC	but
at	IN	at
the	DT	the
recycle	NN	recycle
station	NN	station
,	,	,
there	EX	there
was	VBD	be
one	CD	one
big	JJ	big
problem	NN	problem
:	:	:
it	PP	it
was	VBD	be
illegal	JJ	illegal
to	TO	to
dumpster	NN	<unknown>
dive	NN	dive
.	SENT	.
And	CC	and
so	IN	so
me	PP	me
and	CC	and
my	PP$	my
father	NN	father
,	,	,
through	IN	through
the	DT	the
years	NNS	year
,	,	,
had	VBD	have
developed	VBN	develop
a	DT	a
sneaky	JJ	sneaky
method	NN	method
where	WRB	where
we	PP	we
would	MD	would
park	VB	park
his	PP$	his
green	JJ	green
company	NN	company
van	NN	van
just	RB	just
in	IN	in
front	NN	front
of	IN	of
the	DT	the
station	NN	station
manager	NN	manager
'	POS	'
s	NN	S
office	NN	office
,	,	,
outside	IN	outside
the	DT	the
window	NN	window
so	IN	so
it	PP	it
would	MD	would
block	VB	block
the	DT	the
entire	JJ	entire
view	NN	view
of	IN	of
the	DT	the
recycle	NN	recycle
station	NN	station
and	CC	and
me	PP	me
and	CC	and
my	PP$	my
father	NN	father
,	,	,
behind	IN	behind
the	DT	the
truck	NN	truck
,	,	,
could	MD	could
steal	VB	steal
all	PDT	all
the	DT	the
trash	NN	trash
without	IN	without
nobody	NN	nobody
seeing	VBG	see
us	PP	us
.	SENT	.
Or	CC	or
as	IN	as
I	PP	I
like	VBP	like
to	TO	to
think	VB	think
back	RB	back
then	RB	then
,	,	,
set	VBD	set
the	DT	the
trash	NN	trash
free	JJ	free
before	IN	before
the	DT	the
dump	NN	dump
truck	NN	truck
would	MD	would
come	VB	come
and	CC	and
take	VB	take
it	PP	it
and	CC	and
it	PP	it
would	MD	would
be	VB	be
gone	VBN	go
forever	RB	forever
.	SENT	.
My	PP$	my
name	NN	name
is	VBZ	be
Thomas	NP	Thomas
Dambo	NP	<unknown>
,	,	,
and	CC	and
I	PP	I
build	VBP	build
giant	JJ	giant
sculptures	NNS	sculpture
of	IN	of
recycled	JJ	recycled
materials	NNS	material
while	IN	while
I	PP	I
dream	VBP	dream
about	RB	about
saving	VBG	save
the	DT	the
world	NN	world
from	IN	from
drowning	VBG	drown
in	IN	in
trash	NN	trash
.	SENT	.
Pretty	RB	pretty
much	RB	much
my	PP$	my
whole	JJ	whole
life	NN	life
I	PP	I
have	VBP	have
been	VBN	be
centered	VBN	center
around	IN	around
trash	NN	trash
,	,	,
recycling	NN	recycling
and	CC	and
upcycling	NN	upcycling
,	,	,
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
a	DT	a
rapper	NN	rapper
,	,	,
I	PP	I
'	POS	'
ve	NNS	<unknown>
rapped	VBN	rap
and	CC	and
had	VBD	have
music	NN	music
videos	NNS	video
about	IN	about
dumpster	NN	<unknown>
diving	VBG	dive
I	PP	I
made	VBD	make
TV	NN	TV
shows	NNS	show
about	IN	about
dumpster	NN	<unknown>
diving	NN	diving
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
had	VBD	have
upcycling	JJ	<unknown>
workshops	NNS	workshop
with	IN	with
Christmas	NP	Christmas
ornaments	NNS	ornament
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
built	VBD	build
countless	JJ	countless
installations	NNS	installation
and	CC	and
sculptures	NNS	sculpture
,	,	,
all	RB	all
with	IN	with
the	DT	the
same	JJ	same
focus	NN	focus
,	,	,
to	TO	to
limit	VB	limit
our	PP$	our
world	NN	world
'	POS	'
s	JJ	<unknown>
trash	NN	trash
by	IN	by
showing	VBG	show
us	PP	us
all	RB	all
how	WRB	how
beautiful	JJ	beautiful
and	CC	and
valuable	JJ	valuable
our	PP$	our
trash	NN	trash
is	VBZ	be
.	SENT	.
But	CC	but
the	DT	the
last	JJ	last
nine	CD	nine
years	NNS	year
,	,	,
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
working	VBG	work
on	IN	on
one	CD	one
super	NN	super
,	,	,
super	JJ	super
big	JJ	big
project	NN	project
where	WRB	where
I	PP	I
'	POS	'
m	NN	m
building	VBG	build
big	JJ	big
recycled	JJ	recycled
troll	NN	troll
sculptures	NNS	sculpture
of	IN	of
scrap	NN	scrap
wood	NN	wood
and	CC	and
hiding	VBG	hide
them	PP	them
in	IN	in
the	DT	the
forest	NN	forest
around	IN	around
the	DT	the
world	NN	world
for	IN	for
us	PP	us
all	RB	all
to	TO	to
go	VB	go
and	CC	and
find	VB	find
.	SENT	.
And	CC	and
I	PP	I
will	MD	will
now	RB	now
introduce	VB	introduce
you	PP	you
to	TO	to
a	DT	a
couple	NN	couple
of	IN	of
them	PP	them
.	SENT	.
This	DT	this
here	RB	here
is	VBZ	be
Little	JJ	little
Tilde	NN	tilde
.	SENT	.
Little	JJ	little
Tilde	NN	tilde
,	,	,
she	PP	she
is	VBZ	be
in	IN	in
a	DT	a
forest	NN	forest
in	IN	in
Copenhagen	NP	Copenhagen
,	,	,
where	WRB	where
I	PP	I
also	RB	also
come	VBP	come
from	IN	from
-	NN	<unknown>
I	PP	I
come	VBP	come
from	IN	from
Denmark	NP	Denmark
-	NN	<unknown>
and	CC	and
she	PP	she
'	POS	'
s	JJ	<unknown>
hiding	NN	hiding
behind	IN	behind
a	DT	a
tree	NN	tree
because	IN	because
she	PP	she
'	POS	'
s	NN	S
a	DT	a
little	JJ	little
bit	NN	bit
afraid	JJ	afraid
of	IN	of
us	PP	us
humans	NNS	human
.	SENT	.
Because	IN	because
most	JJS	most
of	IN	of
the	DT	the
time	NN	time
when	WRB	when
we	PP	we
come	VBP	come
to	TO	to
visit	VB	visit
her	PP$	her
forest	NN	forest
,	,	,
we	PP	we
come	VBP	come
with	IN	with
a	DT	a
big	JJ	big
chainsaw	NN	chainsaw
to	TO	to
cut	VB	cut
down	RP	down
the	DT	the
very	RB	very
same	JJ	same
forest	NN	forest
.	SENT	.
This	DT	this
one	CD	one
is	VBZ	be
called	VBN	call
Hanna	NP	Hanna
Halerød	NP	<unknown>
.	SENT	.
Hannah	NP	Hannah
has	VBZ	have
a	DT	a
350-foot-long	JJ	350-foot-long
tail	NN	tail
that	WDT	that
is	VBZ	be
made	VBN	make
from	IN	from
pellets	NNS	pellet
that	IN	that
around	RB	around
70	CD	@card@
volunteers	NNS	volunteer
have	VBP	have
created	VBN	create
,	,	,
and	CC	and
it	PP	it
runs	VBZ	run
from	IN	from
the	DT	the
nearest	JJS	near
parking	NN	parking
lot	NN	lot
and	CC	and
then	RB	then
through	IN	through
the	DT	the
forest	NN	forest
,	,	,
over	IN	over
a	DT	a
little	JJ	little
hill	NN	hill
and	CC	and
around	IN	around
the	DT	the
tree	NN	tree
and	CC	and
up	RB	up
to	TO	to
where	WRB	where
you	PP	you
can	MD	can
then	RB	then
follow	VB	follow
it	PP	it
and	CC	and
find	VB	find
where	WRB	where
she	PP	she
'	POS	'
s	NN	S
standing	NN	standing
.	SENT	.
This	DT	this
one	CD	one
is	VBZ	be
called	VBN	call
Sigurd	NP	Sigurd
.	SENT	.
Sigurd	NP	Sigurd
is	VBZ	be
trying	VBG	try
to	TO	to
tame	VB	tame
a	DT	a
big	JJ	big
or	CC	or
little	JJ	little
big	JJ	big
red	JJ	red
car	NN	car
while	IN	while
it	PP	it
'	POS	'
s	NNS	<unknown>
rolling	VBG	roll
down	RP	down
a	DT	a
hill	NN	hill
.	SENT	.
And	CC	and
most	JJS	most
of	IN	of
my	PP$	my
trolls	NNS	troll
,	,	,
also	RB	also
like	IN	like
Sigurd	NP	Sigurd
,	,	,
don	NN	don
'	POS	'
t	NN	t
really	RB	really
like	IN	like
cars	NNS	car
because	IN	because
they	PP	they
find	VBP	find
them	PP	them
really	RB	really
noisy	JJ	noisy
and	CC	and
really	RB	really
smelly	JJ	smelly
.	SENT	.
This	DT	this
one	CD	one
is	VBZ	be
Røskva	NP	<unknown>
,	,	,
it	PP	it
is	VBZ	be
in	IN	in
Maine	NP	Maine
,	,	,
here	RB	here
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
.	SENT	.
This	DT	this
one	CD	one
is	VBZ	be
called	VBN	call
Jyttes	NP	<unknown>
.	SENT	.
It	PP	it
is	VBZ	be
a	DT	a
holding	NN	holding
a	DT	a
big	JJ	big
tree	NN	tree
like	IN	like
little	JJ	little
tree	NN	tree
hugger	NN	hugger
troll	NN	troll
,	,	,
in	IN	in
Mandurah	NP	<unknown>
in	IN	in
Australia	NP	Australia
.	SENT	.
This	DT	this
one	CD	one
is	VBZ	be
called	VBN	call
Lost	JJ	lost
Finn	NN	Finn
,	,	,
I	PP	I
just	RB	just
finished	VBD	finish
it	PP	it
two	CD	two
weeks	NNS	week
ago	RB	ago
in	IN	in
Vermont	NP	Vermont
.	SENT	.
And	CC	and
this	DT	this
one	CD	one
is	VBZ	be
called	VBN	call
the	DT	the
Moon	NP	Moon
Mother	NP	Mother
,	,	,
it	PP	it
is	VBZ	be
my	PP$	my
number	NN	number
100	CD	@card@
troll	NN	troll
.	SENT	.
I	PP	I
have	VBP	have
now	RB	now
finished	VBN	finish
118	CD	@card@
trolls	NNS	troll
that	WDT	that
can	MD	can
be	VB	be
found	VBN	find
in	IN	in
17	CD	@card@
countries	NNS	country
all	DT	all
around	IN	around
the	DT	the
world	NN	world
.	SENT	.
Thank	VB	thank
you	PP	you
so	RB	so
much	RB	much
.	SENT	.
Thousands	NNS	thousand
of	IN	of
volunteers	NNS	volunteer
have	VBP	have
helped	VBN	help
me	PP	me
take	VB	take
apart	RP	apart
pallets	NNS	pallet
and	CC	and
recycle	VB	recycle
hundreds	NNS	hundred
of	IN	of
tons	NNS	ton
of	IN	of
scrap	NN	scrap
wood	NN	wood
that	IN	that
now	RB	now
over	IN	over
10	CD	@card@
million	CD	million
people	NNS	people
have	VBP	have
gone	VBN	go
to	TO	to
visit	VB	visit
while	IN	while
all	DT	all
returning	VBG	return
home	NN	home
with	IN	with
a	DT	a
valuable	JJ	valuable
lesson	NN	lesson
,	,	,
that	DT	that
something	NN	something
made	VBN	make
of	IN	of
something	NN	something
old	JJ	old
can	MD	can
be	VB	be
just	RB	just
as	RB	as
good	JJ	good
as	IN	as
something	NN	something
made	VBN	make
of	IN	of
something	NN	something
new	JJ	new
.	SENT	.
When	WRB	when
I	PP	I
'	POS	'
m	NN	m
not	RB	not
on	IN	on
the	DT	the
road	NN	road
,	,	,
I	PP	I
have	VBP	have
my	PP$	my
studio	NN	studio
and	CC	and
my	PP$	my
workshop	NN	workshop
at	IN	at
a	DT	a
big	JJ	big
old	JJ	old
farm	NN	farm
in	IN	in
Denmark	NP	Denmark
,	,	,
where	WRB	where
I	PP	I
now	RB	now
employ	VBP	employ
23	CD	@card@
people	NNS	people
full	JJ	full
time	NN	time
.	SENT	.
And	CC	and
all	DT	all
of	IN	of
our	PP$	our
salaries	NNS	salary
,	,	,
and	CC	and
including	VBG	include
the	DT	the
farm	NN	farm
,	,	,
is	VBZ	be
generated	VBN	generate
by	IN	by
rethinking	VBG	rethink
the	DT	the
value	NN	value
of	IN	of
other	JJ	other
people	NNS	people
'	POS	'
s	NN	S
trash	NN	trash
.	SENT	.
We	PP	we
dumpster	VBP	<unknown>
dive	NN	dive
,	,	,
we	PP	we
clean	VBP	clean
,	,	,
collect	VB	collect
,	,	,
organize	VB	organize
and	CC	and
build	VB	build
everything	NN	everything
from	IN	from
other	JJ	other
people	NNS	people
'	POS	'
s	NN	S
trash	NN	trash
.	SENT	.
Like	IN	like
my	PP$	my
workshop	NN	workshop
here	IN	here
that	WDT	that
is	VBZ	be
covered	VBN	cover
in	IN	in
colorful	JJ	colorful
shingles	NNS	shingle
cut	VBN	cut
from	IN	from
old	JJ	old
aluminum	NN	aluminum
billboards	NNS	billboard
.	SENT	.
And	CC	and
before	IN	before
I	PP	I
got	VBD	get
here	RB	here
today	NN	today
,	,	,
I	PP	I
had	VBD	have
my	PP$	my
old	JJ	old
working	VBG	work
jeans	NNS	jean
sewn	VBN	sew
into	IN	into
this	DT	this
beautiful	JJ	beautiful
hat	NN	hat
.	SENT	.
It	PP	it
takes	VBZ	take
approximately	RB	approximately
five	CD	five
tons	NNS	ton
of	IN	of
scrap	NN	scrap
wood	NN	wood
to	TO	to
build	VB	build
one	CD	one
of	IN	of
my	PP$	my
trolls	NNS	troll
.	SENT	.
And	CC	and
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
,	,	,
12	CD	@card@
million	CD	million
tons	NNS	ton
of	IN	of
scrap	NN	scrap
wood	NN	wood
is	VBZ	be
driven	VBN	drive
to	TO	to
the	DT	the
landfill	NN	landfill
every	DT	every
year	NN	year
.	SENT	.
That	DT	that
is	VBZ	be
actually	RB	actually
enough	JJ	enough
to	TO	to
build	VB	build
2	CD	@card@
.	SENT	.
5	CD	@card@
million	CD	million
trolls	NNS	troll
of	IN	of
scrap	NN	scrap
wood	NN	wood
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
alone	RB	alone
,	,	,
per	IN	per
year	NN	year
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
probably	RB	probably
a	DT	a
lot	NN	lot
more	RBR	more
trolls	VBZ	troll
than	IN	than
we	PP	we
need	VBP	need
.	SENT	.
But	CC	but
my	PP$	my
point	NN	point
is	VBZ	be
,	,	,
my	PP$	my
point	NN	point
is	VBZ	be
that	IN	that
we	PP	we
could	MD	could
use	VB	use
our	PP$	our
waste	NN	waste
for	IN	for
so	RB	so
many	JJ	many
better	JJR	good
things	NNS	thing
than	IN	than
to	TO	to
grow	VB	grow
our	PP$	our
landfills	NNS	landfill
bigger	JJR	big
and	CC	and
bigger	JJR	big
.	SENT	.
We	PP	we
could	MD	could
build	VB	build
houses	NNS	house
,	,	,
we	PP	we
could	MD	could
build	VB	build
furniture	NN	furniture
,	,	,
toys	NNS	toy
,	,	,
homes	NNS	home
,	,	,
probably	RB	probably
skyscrapers	NNS	skyscraper
,	,	,
I	PP	I
think	VBP	think
the	DT	the
possibilities	NNS	possibility
are	VBP	be
unlimited	JJ	unlimited
.	SENT	.
I	PP	I
believe	VBP	believe
that	IN	that
anything	NN	anything
can	MD	can
be	VB	be
made	VBN	make
out	RP	out
of	IN	of
anything	NN	anything
,	,	,
and	CC	and
that	IN	that
there	EX	there
should	MD	should
be	VB	be
no	DT	no
such	JJ	such
thing	NN	thing
as	IN	as
trash	NN	trash
.	SENT	.
Yet	RB	yet
the	DT	the
world	NN	world
is	VBZ	be
running	VBG	run
out	RP	out
of	IN	of
resources	NNS	resource
while	IN	while
the	DT	the
world	NN	world
is	VBZ	be
drowning	VBG	drown
in	IN	in
trash	NN	trash
.	SENT	.
But	CC	but
there	EX	there
is	VBZ	be
a	DT	a
saying	NN	saying
that	IN	that
one	CD	one
man	NN	man
'	POS	'
s	NN	S
trash	NN	trash
is	VBZ	be
another	DT	another
man	NN	man
'	POS	'
s	NN	S
treasure	NN	treasure
.	SENT	.
And	CC	and
if	IN	if
we	PP	we
would	MD	would
all	RB	all
learn	VB	learn
to	TO	to
understand	VB	understand
the	DT	the
full	JJ	full
meaning	NN	meaning
of	IN	of
this	DT	this
sentence	NN	sentence
,	,	,
that	DT	that
one	CD	one
man	NN	man
'	POS	'
s	NN	S
trash	NN	trash
is	VBZ	be
another	DT	another
man	NN	man
'	POS	'
s	NN	S
treasure	NN	treasure
,	,	,
that	DT	that
trash	NN	trash
equals	VBZ	equal
treasure	NN	treasure
,	,	,
that	DT	that
trash	NN	trash
equals	VBZ	equal
wealth	NN	wealth
and	CC	and
opportunity	NN	opportunity
,	,	,
then	RB	then
we	PP	we
would	MD	would
also	RB	also
understand	VB	understand
that	IN	that
our	PP$	our
world	NN	world
is	VBZ	be
actually	RB	actually
not	RB	not
drowning	VBG	drown
in	IN	in
trash	NN	trash
.	SENT	.
It	PP	it
is	VBZ	be
filled	VBN	fill
with	IN	with
wealth	NN	wealth
and	CC	and
opportunity	NN	opportunity
to	TO	to
build	VB	build
a	DT	a
better	JJR	good
world	NN	world
.	SENT	.
And	CC	and
I	PP	I
believe	VBP	believe
the	DT	the
reason	NN	reason
why	WRB	why
we	PP	we
don	VBP	don
'	''	'
t	NN	t
understand	VB	understand
this	DT	this
,	,	,
it	PP	it
is	VBZ	be
because	IN	because
we	PP	we
'	POS	'
ve	NN	ve
all	RB	all
grown	VBN	grow
up	RP	up
in	IN	in
a	DT	a
society	NN	society
that	WDT	that
has	VBZ	have
told	VBN	tell
us	PP	us
that	IN	that
trash	NN	trash
is	VBZ	be
dirty	JJ	dirty
,	,	,
it	PP	it
is	VBZ	be
disgusting	JJ	disgusting
and	CC	and
it	PP	it
is	VBZ	be
dangerous	JJ	dangerous
.	SENT	.
We	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
taught	VBN	teach
that	IN	that
trash	NN	trash
is	VBZ	be
worthless	JJ	worthless
,	,	,
and	CC	and
we	PP	we
live	VBP	live
in	IN	in
a	DT	a
world	NN	world
where	WRB	where
we	PP	we
put	VBP	put
those	DT	those
who	WP	who
work	VBP	work
with	IN	with
trash	NN	trash
at	IN	at
the	DT	the
bottom	NN	bottom
of	IN	of
our	PP$	our
society	NN	society
and	CC	and
at	IN	at
the	DT	the
bottom	NN	bottom
of	IN	of
our	PP$	our
payrolls	NNS	payroll
.	SENT	.
But	CC	but
if	IN	if
we	PP	we
want	VBP	want
to	TO	to
save	VB	save
the	DT	the
world	NN	world
from	IN	from
drowning	VBG	drown
in	IN	in
trash	NN	trash
,	,	,
we	PP	we
have	VBP	have
to	TO	to
change	VB	change
that	DT	that
mindset	NN	mindset
.	SENT	.
And	CC	and
we	PP	we
have	VBP	have
to	TO	to
learn	VB	learn
to	TO	to
love	VB	love
our	PP$	our
trash	NN	trash
for	IN	for
the	DT	the
valuable	JJ	valuable
resource	NN	resource
it	PP	it
is	VBZ	be
.	SENT	.
And	CC	and
…	NN	<unknown>
This	DT	this
is	VBZ	be
me	PP	me
,	,	,
43	CD	@card@
years	NNS	year
old	JJ	old
,	,	,
at	IN	at
one	CD	one
of	IN	of
the	DT	the
very	RB	very
same	JJ	same
recycle	NN	recycle
stations	NNS	station
that	IN	that
I	PP	I
used	VBD	use
to	TO	to
go	VB	go
to	TO	to
with	IN	with
my	PP$	my
father	NN	father
as	IN	as
a	DT	a
child	NN	child
.	SENT	.
And	CC	and
now	RB	now
I	NP	I
'	POS	'
m	NN	m
no	RB	no
longer	RBR	longer
an	DT	an
outlaw	NN	outlaw
.	SENT	.
Now	RB	now
I	PP	I
have	VBP	have
my	PP$	my
own	JJ	own
container	NN	container
where	WRB	where
people	NNS	people
will	MD	will
give	VB	give
me	PP	me
the	DT	the
stuff	VBP	stuff
they	PP	they
don	VB	don
'	''	'
t	NN	t
want	VBP	want
anymore	RB	anymore
,	,	,
like	IN	like
pallets	NNS	pallet
and	CC	and
old	JJ	old
floors	NNS	floor
and	CC	and
a	DT	a
boombox	NN	<unknown>
that	RB	that
'	POS	'
s	NN	S
still	RB	still
working	VBG	work
,	,	,
so	RB	so
that	IN	that
I	PP	I
can	MD	can
bring	VB	bring
it	PP	it
back	RB	back
to	TO	to
my	PP$	my
farm	NN	farm
,	,	,
where	WRB	where
me	PP	me
and	CC	and
my	PP$	my
crew	NN	crew
,	,	,
and	CC	and
my	PP$	my
father	NN	father
when	WRB	when
he	PP	he
comes	VBZ	come
to	TO	to
visit	VB	visit
,	,	,
can	MD	can
use	VB	use
it	PP	it
to	TO	to
create	VB	create
new	JJ	new
things	NNS	thing
.	SENT	.
I	PP	I
believe	VBP	believe
we	PP	we
could	MD	could
easily	RB	easily
set	VB	set
up	RP	up
millions	NNS	million
of	IN	of
small	JJ	small
local	JJ	local
partnerships	NNS	partnership
such	JJ	such
as	IN	as
this	DT	this
,	,	,
if	IN	if
we	PP	we
would	MD	would
bring	VB	bring
our	PP$	our
trash	NN	trash
out	RP	out
in	IN	in
the	DT	the
light	NN	light
where	WRB	where
people	NNS	people
could	MD	could
see	VB	see
it	PP	it
and	CC	and
see	VB	see
the	DT	the
opportunity	NN	opportunity
in	IN	in
it	PP	it
.	SENT	.
I	PP	I
found	VBD	find
my	PP$	my
dream	NN	dream
of	IN	of
becoming	VBG	become
an	DT	an
artist	NN	artist
in	IN	in
a	DT	a
trash	NN	trash
can	MD	can
.	SENT	.
Trash	NN	trash
is	VBZ	be
a	DT	a
treasure	NN	treasure
.	SENT	.
Trash	NN	trash
can	MD	can
make	VB	make
you	PP	you
a	DT	a
millionaire	NN	millionaire
.	SENT	.
But	CC	but
treated	VBN	treat
without	IN	without
caution	NN	caution
,	,	,
trash	NN	trash
is	VBZ	be
treacherous	JJ	treacherous
and	CC	and
can	MD	can
drown	VB	drown
the	DT	the
world	NN	world
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
will	MD	will
end	VB	end
my	PP$	my
talk	NN	talk
today	NN	today
with	IN	with
a	DT	a
simple	JJ	simple
call	NN	call
to	TO	to
action	NN	action
.	SENT	.
Look	VB	look
at	IN	at
what	WP	what
is	VBZ	be
being	VBG	be
thrown	VBN	throw
out	RP	out
at	IN	at
your	PP$	your
home	NN	home
.	SENT	.
Next	JJ	next
time	NN	time
you	PP	you
'	''	'
re	IN	re
cleaning	VBG	clean
out	RP	out
your	PP$	your
garage	NN	garage
,	,	,
at	IN	at
the	DT	the
job	NN	job
where	WRB	where
you	PP	you
work	VBP	work
,	,	,
or	CC	or
at	IN	at
the	DT	the
factory	NN	factory
that	IN	that
you	PP	you
own	VBP	own
,	,	,
and	CC	and
take	VB	take
responsibility	NN	responsibility
for	IN	for
your	PP$	your
trash	NN	trash
.	SENT	.
Take	VB	take
a	DT	a
photo	NN	photo
of	IN	of
your	PP$	your
trash	NN	trash
.	SENT	.
Share	NN	share
that	IN	that
photo	NN	photo
with	IN	with
your	PP$	your
friends	NNS	friend
,	,	,
your	PP$	your
family	NN	family
,	,	,
and	CC	and
your	PP$	your
world	NN	world
so	IN	so
you	PP	you
can	MD	can
try	VB	try
and	CC	and
find	VB	find
that	DT	that
someone	NN	someone
for	IN	for
whom	WP	whom
the	DT	the
content	NN	content
of	IN	of
your	PP$	your
trash	NN	trash
can	MD	can
is	VBZ	be
a	DT	a
treasure	NN	treasure
.	SENT	.
Because	IN	because
if	IN	if
you	PP	you
don	NN	don
'	POS	'
t	NN	t
do	VBP	do
so	RB	so
,	,	,
then	RB	then
you	PP	you
might	MD	might
just	RB	just
be	VB	be
throwing	VBG	throw
out	RP	out
someone	NN	someone
'	POS	'
s	NNS	<unknown>
dream	VBP	dream
next	JJ	next
time	NN	time
the	DT	the
dump	NN	dump
truck	NN	truck
comes	VBZ	come
to	TO	to
empty	VB	empty
your	PP$	your
trash	NN	trash
can	MD	can
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
