Whitney	NP	Whitney
Because	RB	because
,	,	,
you	PP	you
know	VBP	know
,	,	,
I	PP	I
have	VBP	have
heard	VBN	hear
the	DT	the
stories	NNS	story
so	IN	so
many	JJ	many
times	NNS	time
about	RB	about
how	WRB	how
there	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
Black	NP	Black
talent	NN	talent
out	IN	out
there	RB	there
,	,	,
no	DT	no
Latinx	NP	<unknown>
talent	NN	talent
for	IN	for
these	DT	these
particular	JJ	particular
roles	NNS	role
.	SENT	.
The	DT	the
talent	NN	talent
is	VBZ	be
out	RB	out
there	RB	there
.	SENT	.
I	PP	I
will	MD	will
tell	VB	tell
you	PP	you
that	IN	that
it	PP	it
'	POS	'
s	NNS	<unknown>
underdeveloped	JJ	underdeveloped
,	,	,
because	IN	because
I	PP	I
think	VBP	think
we	PP	we
have	VBP	have
spent	VBN	spend
more	JJR	more
time	NN	time
trying	VBG	try
to	TO	to
reach	VB	reach
numbers	NNS	number
than	IN	than
we	PP	we
have	VBP	have
changing	VBG	change
our	PP$	our
environment	NN	environment
where	WRB	where
people	NNS	people
feel	VBP	feel
safe	JJ	safe
,	,	,
where	WRB	where
they	PP	they
feel	VBP	feel
they	PP	they
can	MD	can
come	VB	come
to	TO	to
work	VB	work
and	CC	and
be	VB	be
their	PP$	their
whole	JJ	whole
self	NN	self
,	,	,
give	VB	give
it	PP	it
everything	NN	everything
they	PP	they
'	POS	'
ve	NN	ve
got	VBD	get
,	,	,
be	VB	be
their	PP$	their
natural	JJ	natural
self	NN	self
and	CC	and
be	VB	be
respected	VBN	respect
for	IN	for
it	PP	it
and	CC	and
applauded	VBD	applaud
for	IN	for
it	PP	it
,	,	,
and	CC	and
for	IN	for
people	NNS	people
to	TO	to
recognize	VB	recognize
and	CC	and
appreciate	VB	appreciate
their	PP$	their
differences	NNS	difference
and	CC	and
understand	VBP	understand
that	IN	that
they	PP	they
'	POS	'
re	NN	re
differences	NNS	difference
,	,	,
and	CC	and
if	IN	if
they	PP	they
'	POS	'
re	NN	re
included	VBD	include
in	IN	in
the	DT	the
conversations	NNS	conversation
,	,	,
that	WDT	that
they	PP	they
'	''	'
re	IN	re
just	RB	just
a	DT	a
better	JJR	good
resource	NN	resource
for	IN	for
the	DT	the
companies	NNS	company
.	SENT	.
So	RB	so
I	PP	I
think	VBP	think
there	EX	there
'	''	'
s	NN	S
so	IN	so
much	JJ	much
opportunity	NN	opportunity
in	IN	in
the	DT	the
inclusion	NN	inclusion
space	NN	space
,	,	,
because	IN	because
we	PP	we
focus	VBP	focus
too	RB	too
much	RB	much
on	IN	on
meeting	NN	meeting
metrics	NNS	metric
.	SENT	.
WPR	NN	WPR
:	:	:
And	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
I	PP	I
think	VBP	think
earlier	RBR	earlier
this	DT	this
year	NN	year
when	WRB	when
the	DT	the
protests	NNS	protest
began	VBD	begin
right	RB	right
after	IN	after
the	DT	the
death	NN	death
of	IN	of
George	NP	George
Floyd	NP	Floyd
,	,	,
we	PP	we
saw	VBD	see
lots	NNS	lot
of	IN	of
organizations	NNS	organization
put	VBN	put
out	IN	out
these	DT	these
statements	NNS	statement
of	IN	of
solidarity	NN	solidarity
,	,	,
these	DT	these
commitments	NNS	commitment
to	TO	to
do	VB	do
more	RBR	more
to	TO	to
be	VB	be
inclusive	JJ	inclusive
both	CC	both
in	IN	in
their	PP$	their
workspace	NN	workspace
and	CC	and
for	IN	for
their	PP$	their
customers	NNS	customer
and	CC	and
people	NNS	people
who	WP	who
support	VBP	support
their	PP$	their
work	NN	work
.	SENT	.
But	CC	but
then	RB	then
you	PP	you
also	RB	also
hear	VBP	hear
--	:	--
I	PP	I
'	POS	'
ve	NN	ve
heard	VBD	hear
a	DT	a
lot	NN	lot
of	IN	of
business	NN	business
leaders	NNS	leader
say	VBP	say
things	NNS	thing
like	VBP	like
,	,	,
"	``	"
You	PP	you
know	VBP	know
,	,	,
we	PP	we
want	VBP	want
to	TO	to
do	VB	do
something	NN	something
but	CC	but
don	NN	don
'	POS	'
t	NN	t
really	RB	really
know	VBP	know
where	WRB	where
to	TO	to
start	VB	start
.	SENT	.
"	''	"
And	CC	and
so	IN	so
I	PP	I
'	POS	'
m	NN	m
curious	JJ	curious
to	TO	to
hear	VB	hear
from	IN	from
you	PP	you
just	RB	just
sort	VB	sort
of	IN	of
what	WP	what
do	VBP	do
you	PP	you
think	VBP	think
are	VBP	be
ways	NNS	way
that	IN	that
you	PP	you
actually	RB	actually
can	MD	can
make	VB	make
a	DT	a
real	JJ	real
difference	NN	difference
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
thinking	VBG	think
about	IN	about
diversity	NN	diversity
and	CC	and
inclusion	NN	inclusion
and	CC	and
avoid	VB	avoid
sort	NN	sort
of	IN	of
this	DT	this
performative	JJ	performative
justice	NN	justice
?	SENT	?
RB	NP	RB
:	:	:
Yes	UH	yes
.	SENT	.
So	RB	so
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
few	JJ	few
things	NNS	thing
that	IN	that
I	PP	I
think	VBP	think
about	RB	about
in	IN	in
this	DT	this
space	NN	space
.	SENT	.
First	JJ	first
of	IN	of
all	DT	all
,	,	,
when	WRB	when
you	PP	you
think	VBP	think
about	IN	about
an	DT	an
inclusive	JJ	inclusive
environment	NN	environment
,	,	,
you	PP	you
think	VBP	think
about	RB	about
:	:	:
Am	VBP	be
I	PP	I
being	VBG	be
heard	VBN	hear
?	SENT	?
And	CC	and
most	JJS	most
people	NNS	people
with	IN	with
differences	NNS	difference
,	,	,
they	PP	they
want	VBP	want
to	TO	to
know	VB	know
that	IN	that
you	PP	you
are	VBP	be
heard	VBN	hear
and	CC	and
that	IN	that
you	PP	you
are	VBP	be
seen	VBN	see
.	SENT	.
And	CC	and
I	PP	I
really	RB	really
applaud	VBP	applaud
the	DT	the
companies	NNS	company
who	WP	who
have	VBP	have
been	VBN	be
spending	VBG	spend
time	NN	time
just	RB	just
putting	VBG	put
themselves	PP	themselves
on	IN	on
a	DT	a
learning	VBG	learn
journey	NN	journey
,	,	,
you	PP	you
know	VBP	know
,	,	,
holding	VBG	hold
listening	VBG	listen
sessions	NNS	session
,	,	,
trying	VBG	try
to	TO	to
make	VB	make
sure	JJ	sure
that	IN	that
we	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
different	JJ	different
viewpoints	NNS	viewpoint
when	WRB	when
big	JJ	big
decisions	NNS	decision
are	VBP	be
made	VBN	make
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
there	EX	there
are	VBP	be
some	DT	some
companies	NNS	company
who	WP	who
are	VBP	be
engaging	VBG	engage
their	PP$	their
partner	NN	partner
networks	NNS	network
in	IN	in
ways	NNS	way
that	IN	that
they	PP	they
'	POS	'
ve	NN	ve
never	RB	never
done	VBN	do
before	RB	before
.	SENT	.
I	PP	I
think	VBP	think
those	DT	those
are	VBP	be
some	DT	some
early	JJ	early
success	NN	success
factors	NNS	factor
that	WDT	that
could	MD	could
lead	VB	lead
us	PP	us
to	TO	to
different	JJ	different
kinds	NNS	kind
of	IN	of
conversations	NNS	conversation
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
listening	VBG	listen
to	TO	to
a	DT	a
lot	NN	lot
of	IN	of
my	PP$	my
peers	NNS	peer
in	IN	in
different	JJ	different
industries	NNS	industry
,	,	,
and	CC	and
they	PP	they
'	POS	'
re	IN	re
having	VBG	have
their	PP$	their
own	JJ	own
personal	JJ	personal
aha	NP	aha
moments	NNS	moment
,	,	,
and	CC	and
they	PP	they
'	POS	'
re	NN	re
actually	RB	actually
checking	VBG	check
themselves	PP	themselves
at	IN	at
the	DT	the
front	JJ	front
door	NN	door
,	,	,
saying	VBG	say
,	,	,
"	''	"
I	PP	I
never	RB	never
thought	VBD	think
,	,	,
"	''	"
"	``	"
I	PP	I
never	RB	never
knew	VBD	know
,	,	,
"	''	"
"	``	"
I	PP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
know	VBP	know
what	WP	what
I	PP	I
was	VBD	be
doing	VBG	do
when	WRB	when
I	PP	I
said	VBD	say
X	NP	X
,	,	,
or	CC	or
when	WRB	when
I	PP	I
did	VBD	do
this	DT	this
.	SENT	.
"	''	"
Right	RB	right
?	SENT	?
And	CC	and
so	RB	so
I	PP	I
think	VBP	think
it	PP	it
starts	VBZ	start
with	IN	with
some	DT	some
very	RB	very
simple	JJ	simple
things	NNS	thing
.	SENT	.
I	NP	I
'	POS	'
d	NN	d
say	VBP	say
that	IN	that
there	EX	there
are	VBP	be
a	DT	a
lot	NN	lot
of	IN	of
steps	NNS	step
to	TO	to
take	VB	take
before	IN	before
training	NN	training
and	CC	and
development	NN	development
,	,	,
that	WDT	that
'	POS	'
s	NN	S
for	IN	for
sure	JJ	sure
.	SENT	.
So	IN	so
those	DT	those
that	WDT	that
are	VBP	be
jumping	VBG	jump
quickly	RB	quickly
into	IN	into
training	NN	training
and	CC	and
development	NN	development
,	,	,
I	PP	I
'	POS	'
d	NN	d
say	VBP	say
put	VB	put
a	DT	a
pause	NN	pause
on	IN	on
it	PP	it
and	CC	and
just	RB	just
get	VB	get
back	RB	back
to	TO	to
grassroots	NNS	grassroots
and	CC	and
hold	VB	hold
listening	VBG	listen
sessions	NNS	session
and	CC	and
then	RB	then
decide	VB	decide
,	,	,
what	WP	what
do	VBP	do
you	PP	you
want	VBP	want
to	TO	to
do	VB	do
?	SENT	?
And	CC	and
then	RB	then
help	VB	help
those	DT	those
people	NNS	people
of	IN	of
diverse	JJ	diverse
backgrounds	NNS	background
engage	VBP	engage
in	IN	in
those	DT	those
conversations	NNS	conversation
about	RB	about
how	WRB	how
they	PP	they
want	VBP	want
to	TO	to
see	VB	see
change	NN	change
happen	VB	happen
.	SENT	.
They	PP	they
'	''	'
re	IN	re
the	DT	the
best	JJS	good
resource	NN	resource
for	IN	for
a	DT	a
lot	NN	lot
of	IN	of
this	DT	this
and	CC	and
a	DT	a
lot	NN	lot
of	IN	of
these	DT	these
discussions	NNS	discussion
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
I	PP	I
learned	VBD	learn
so	RB	so
much	RB	much
.	SENT	.
I	PP	I
have	VBP	have
breakfast	NN	breakfast
sessions	NNS	session
with	IN	with
the	DT	the
baristas	NNS	<unknown>
and	CC	and
partners	NNS	partner
at	IN	at
Starbucks	NNS	Starbuck
regularly	RB	regularly
.	SENT	.
I	PP	I
just	RB	just
had	VBD	have
one	CD	one
yesterday	NN	yesterday
,	,	,
and	CC	and
when	WRB	when
my	PP$	my
screen	NN	screen
popped	VBD	pop
up	RP	up
,	,	,
I	PP	I
had	VBD	have
nine	CD	nine
diverse	JJ	diverse
randomly	RB	randomly
selected	VBN	select
partners	NNS	partner
.	SENT	.
We	PP	we
call	VBP	call
our	PP$	our
employees	NNS	employee
"	''	"
partners	NNS	partner
.	SENT	.
"	``	"
And	CC	and
it	PP	it
was	VBD	be
such	JJ	such
a	DT	a
rich	JJ	rich
conversation	NN	conversation
,	,	,
and	CC	and
they	PP	they
began	VBD	begin
to	TO	to
network	VB	network
while	IN	while
I	PP	I
'	POS	'
m	NN	m
talking	VBG	talk
to	TO	to
them	PP	them
,	,	,
right	RB	right
,	,	,
they	PP	they
were	VBD	be
learning	VBG	learn
from	IN	from
each	DT	each
other	JJ	other
.	SENT	.
And	CC	and
this	DT	this
wasn	NN	<unknown>
'	POS	'
t	NN	t
a	DT	a
diversity	NN	diversity
conversation	NN	conversation
.	SENT	.
We	PP	we
were	VBD	be
actually	RB	actually
kicking	VBG	kick
off	RP	off
our	PP$	our
new	JJ	new
financial	JJ	financial
year	NN	year
at	IN	at
Starbucks	NP	Starbucks
,	,	,
and	CC	and
so	RB	so
this	DT	this
was	VBD	be
actually	RB	actually
a	DT	a
business	NN	business
conversation	NN	conversation
and	CC	and
a	DT	a
touch-base	NN	<unknown>
to	TO	to
see	VB	see
how	WRB	how
you	PP	you
'	POS	'
re	NN	re
doing	VBG	do
while	IN	while
we	PP	we
'	POS	'
re	NN	re
working	VBG	work
remotely	RB	remotely
.	SENT	.
And	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
it	PP	it
starts	VBZ	start
there	RB	there
with	IN	with
building	VBG	build
relationships	NNS	relationship
and	CC	and
learning	VBG	learn
people	NNS	people
for	IN	for
who	WP	who
they	PP	they
are	VBP	be
and	CC	and
engaging	VBG	engage
them	PP	them
and	CC	and
saying	VBG	say
,	,	,
"	``	"
I	PP	I
see	VBP	see
you	PP	you
,	,	,
I	PP	I
hear	VBP	hear
you	PP	you
.	SENT	.
"	''	"
That	WDT	that
goes	VBZ	go
such	PDT	such
a	DT	a
long	JJ	long
way	NN	way
that	IN	that
I	PP	I
think	VBP	think
if	IN	if
we	PP	we
do	VBP	do
more	JJR	more
of	IN	of
that	DT	that
,	,	,
I	PP	I
even	RB	even
think	VBP	think
the	DT	the
engagement	NN	engagement
and	CC	and
performance	NN	performance
just	RB	just
goes	VBZ	go
through	IN	through
the	DT	the
roof	NN	roof
.	SENT	.
WPR	NN	WPR
:	:	:
And	CC	and
so	IN	so
what	WP	what
I	PP	I
hear	VBP	hear
you	PP	you
saying	VBG	say
,	,	,
then	RB	then
,	,	,
is	VBZ	be
that	IN	that
it	PP	it
'	POS	'
s	NNS	<unknown>
less	RBR	less
about	IN	about
this	DT	this
short-term	JJ	short-term
"	``	"
how	WRB	how
can	MD	can
I	PP	I
respond	VB	respond
to	TO	to
this	DT	this
moment	NN	moment
right	RB	right
now	RB	now
?	SENT	?
"	``	"
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
more	RBR	more
about	IN	about
long-term	JJ	long-term
engagement	NN	engagement
with	IN	with
people	NNS	people
and	CC	and
making	VBG	make
this	DT	this
part	NN	part
of	IN	of
the	DT	the
fabric	NN	fabric
of	IN	of
how	WRB	how
you	PP	you
do	VBP	do
your	PP$	your
work	NN	work
.	SENT	.
And	CC	and
so	IN	so
I	PP	I
'	POS	'
m	NN	m
curious	JJ	curious
also	RB	also
to	TO	to
hear	VB	hear
a	DT	a
little	JJ	little
bit	NN	bit
about	RB	about
,	,	,
just	RB	just
,	,	,
I	PP	I
guess	VBP	guess
if	IN	if
there	EX	there
is	VBZ	be
a	DT	a
timeline	NN	timeline
,	,	,
when	WRB	when
people	NNS	people
think	VBP	think
about	RB	about
how	WRB	how
quickly	RB	quickly
they	PP	they
should	MD	should
be	VB	be
responding	VBG	respond
to	TO	to
protests	NNS	protest
and	CC	and
to	TO	to
what	WP	what
'	POS	'
s	NNS	<unknown>
happening	VBG	happen
in	IN	in
this	DT	this
cultural	JJ	cultural
moment	NN	moment
.	SENT	.
What	WP	what
should	MD	should
we	PP	we
actually	RB	actually
be	VB	be
looking	VBG	look
at	IN	at
as	RB	as
far	RB	far
as	IN	as
when	WRB	when
we	PP	we
see	VBP	see
this	DT	this
change	NN	change
actually	RB	actually
materialize	VB	materialize
and	CC	and
take	VB	take
effect	NN	effect
?	SENT	?
RB	NP	RB
:	:	:
Yes	UH	yes
.	SENT	.
So	RB	so
I	PP	I
think	VBP	think
there	EX	there
are	VBP	be
some	DT	some
short-term	JJ	short-term
things	NNS	thing
.	SENT	.
There	EX	there
are	VBP	be
some	DT	some
really	RB	really
key	JJ	key
partnerships	NNS	partnership
in	IN	in
the	DT	the
communities	NNS	community
around	IN	around
our	PP$	our
localities	NNS	locality
that	WDT	that
are	VBP	be
really	RB	really
important	JJ	important
to	TO	to
also	RB	also
engage	VB	engage
in	IN	in
some	DT	some
of	IN	of
the	DT	the
listening	VBG	listen
and	CC	and
learning	VBG	learn
sessions	NNS	session
as	IN	as
well	RB	well
.	SENT	.
I	PP	I
learn	VBP	learn
tons	NNS	ton
from	IN	from
organizations	NNS	organization
like	IN	like
the	DT	the
Legal	NP	Legal
Defense	NP	Defense
Fund	NP	Fund
,	,	,
from	IN	from
the	DT	the
NAACP	NP	NAACP
,	,	,
and	CC	and
engaging	VBG	engage
those	DT	those
partnerships	NNS	partnership
that	IN	that
we	PP	we
'	POS	'
ve	NN	ve
had	VBD	have
over	IN	over
the	DT	the
years	NNS	year
,	,	,
but	CC	but
changing	VBG	change
the	DT	the
discussion	NN	discussion
of	IN	of
the	DT	the
conversation	NN	conversation
about	RB	about
how	WRB	how
do	VBP	do
we	PP	we
partner	NN	partner
together	RB	together
.	SENT	.
Because	IN	because
one	CD	one
of	IN	of
the	DT	the
things	NNS	thing
that	WDT	that
I	PP	I
fear	VBP	fear
for	IN	for
being	VBG	be
a	DT	a
retailer	NN	retailer
like	IN	like
Starbucks	NP	Starbucks
and	CC	and
many	JJ	many
other	JJ	other
companies	NNS	company
is	VBZ	be
that	IN	that
I	PP	I
want	VBP	want
my	PP$	my
partners	NNS	partner
to	TO	to
feel	VB	feel
not	RB	not
only	RB	only
safe	JJ	safe
,	,	,
comfortable	JJ	comfortable
,	,	,
heard	VBN	hear
and	CC	and
seen	VBN	see
in	IN	in
the	DT	the
company	NN	company
,	,	,
I	PP	I
want	VBP	want
them	PP	them
to	TO	to
have	VB	have
that	DT	that
same	JJ	same
experience	NN	experience
in	IN	in
the	DT	the
community	NN	community
.	SENT	.
And	CC	and
so	RB	so
that	RB	that
'	''	'
s	NN	S
when	WRB	when
it	PP	it
comes	VBZ	come
full	JJ	full
circle	NN	circle
.	SENT	.
I	PP	I
really	RB	really
want	VBP	want
diverse	JJ	diverse
BIPOC	NP	<unknown>
employees	NNS	employee
to	TO	to
feel	VB	feel
like	IN	like
,	,	,
you	PP	you
know	VBP	know
,	,	,
"	``	"
I	PP	I
make	VBP	make
a	DT	a
difference	NN	difference
.	SENT	.
"	''	"
First	RB	first
of	IN	of
all	DT	all
,	,	,
I	PP	I
vote	VBP	vote
every	DT	every
year	NN	year
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
engaged	VBD	engage
in	IN	in
my	PP$	my
community	NN	community
.	SENT	.
And	CC	and
then	RB	then
I	NP	I
'	POS	'
m	NN	m
engaged	VBD	engage
in	IN	in
work	NN	work
.	SENT	.
So	RB	so
I	PP	I
have	VBP	have
value	NN	value
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
think	VBP	think
there	EX	there
are	VBP	be
some	DT	some
key	JJ	key
partnerships	NNS	partnership
that	WDT	that
should	MD	should
happen	VB	happen
right	RB	right
now	RB	now
so	RB	so
that	IN	that
we	PP	we
can	MD	can
make	VB	make
sure	JJ	sure
that	IN	that
our	PP$	our
employees	NNS	employee
feel	VBP	feel
like	IN	like
they	PP	they
have	VBP	have
a	DT	a
full	JJ	full
way	NN	way
to	TO	to
engage	VB	engage
in	IN	in
this	DT	this
change	NN	change
that	RB	that
'	POS	'
s	NN	S
underfoot	RB	underfoot
right	RB	right
now	RB	now
.	SENT	.
WPR	NN	WPR
:	:	:
And	CC	and
then	RB	then
I	PP	I
wonder	VBP	wonder
,	,	,
conversely	RB	conversely
,	,	,
what	WP	what
sort	NN	sort
of	IN	of
pitfalls	NNS	pitfall
have	VBP	have
you	PP	you
seen	VBN	see
business	NN	business
leaders	NNS	leader
fall	VBP	fall
into	IN	into
that	WDT	that
are	VBP	be
actually	RB	actually
just	RB	just
not	RB	not
effective	JJ	effective
and	CC	and
are	VBP	be
not	RB	not
supportive	JJ	supportive
of	IN	of
efforts	NNS	effort
to	TO	to
be	VB	be
more	RBR	more
inclusive	JJ	inclusive
and	CC	and
to	TO	to
diversify	VB	diversify
?	SENT	?
What	WP	what
are	VBP	be
some	DT	some
of	IN	of
the	DT	the
things	NNS	thing
that	DT	that
haven	NN	haven
'	POS	'
t	NN	t
worked	VBD	work
?	SENT	?
RB	NN	RB
:	:	:
Yeah	RB	yeah
,	,	,
you	PP	you
know	VBP	know
,	,	,
I	PP	I
worry	VBP	worry
about	IN	about
the	DT	the
race	NN	race
for	IN	for
numbers	NNS	number
,	,	,
to	TO	to
meet	VB	meet
numbers	NNS	number
,	,	,
because	IN	because
what	WP	what
you	PP	you
will	MD	will
find	VB	find
,	,	,
I	PP	I
'	POS	'
ve	NN	ve
found	VBD	find
many	JJ	many
times	NNS	time
in	IN	in
my	PP$	my
career	NN	career
,	,	,
is	VBZ	be
that	IN	that
some	DT	some
of	IN	of
our	PP$	our
best	JJS	good
leaders	NNS	leader
have	VBP	have
good	JJ	good
intentions	NNS	intention
,	,	,
but	CC	but
they	PP	they
don	VBP	don
'	''	'
t	NN	t
understand	VB	understand
.	SENT	.
They	PP	they
don	VBP	don
'	''	'
t	NN	t
understand	VB	understand
the	DT	the
partner	NN	partner
sitting	VBG	sit
next	JJ	next
to	TO	to
them	PP	them
that	IN	that
looks	NNS	look
different	JJ	different
from	IN	from
them	PP	them
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
worry	VBP	worry
about	RB	about
when	WRB	when
we	PP	we
race	VBP	race
to	TO	to
numbers	NNS	number
,	,	,
because	RB	because
,	,	,
you	PP	you
know	VBP	know
what	WP	what
?	SENT	?
The	DT	the
kind	NN	kind
of	IN	of
country	NN	country
we	PP	we
live	VBP	live
in	IN	in
,	,	,
the	DT	the
world	NN	world
we	PP	we
live	VBP	live
in	IN	in
,	,	,
we	PP	we
all	RB	all
know	VBP	know
how	WRB	how
to	TO	to
make	VB	make
numbers	NNS	number
work	NN	work
.	SENT	.
What	WP	what
we	PP	we
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
how	WRB	how
to	TO	to
do	VB	do
is	VBZ	be
to	TO	to
build	VB	build
strong	JJ	strong
relationships	NNS	relationship
that	WDT	that
are	VBP	be
lasting	JJ	lasting
,	,	,
that	WDT	that
are	VBP	be
valued	VBN	value
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
that	IN	that
'	POS	'
s	NN	S
where	WRB	where
we	PP	we
need	VBP	need
to	TO	to
start	VB	start
,	,	,
is	VBZ	be
relationship-building	JJ	relationship-building
and	CC	and
key	JJ	key
partnerships	NNS	partnership
.	SENT	.
So	RB	so
I	PP	I
worry	VBP	worry
about	IN	about
the	DT	the
numbers	NNS	number
base	NN	base
.	SENT	.
WPR	NN	WPR
:	:	:
And	CC	and
so	RB	so
,	,	,
of	IN	of
course	NN	course
,	,	,
I	PP	I
think	VBP	think
we	PP	we
all	DT	all
remember	VBP	remember
a	DT	a
few	JJ	few
years	NNS	year
back	RB	back
,	,	,
Starbucks	NP	Starbucks
had	VBD	have
a	DT	a
very	RB	very
public	JJ	public
issue	NN	issue
.	SENT	.
You	PP	you
were	VBD	be
embroiled	VBN	embroil
in	IN	in
that	DT	that
incident	NN	incident
in	IN	in
Philadelphia	NP	Philadelphia
around	IN	around
racial	JJ	racial
discrimination	NN	discrimination
that	WDT	that
led	VBD	lead
to	TO	to
Starbucks	NP	Starbucks
taking	VBG	take
a	DT	a
step	NN	step
back	RB	back
and	CC	and
thinking	VBG	think
about	IN	about
inclusion	NN	inclusion
and	CC	and
implicit	JJ	implicit
bias	NN	bias
and	CC	and
racial	JJ	racial
sensitivity	NN	sensitivity
.	SENT	.
So	RB	so
how	WRB	how
did	VBD	do
that	IN	that
experience	NN	experience
help	NN	help
prepare	VB	prepare
you	PP	you
for	IN	for
this	DT	this
year	NN	year
,	,	,
both	CC	both
as	IN	as
an	DT	an
individual	JJ	individual
business	NN	business
leader	NN	leader
