Once	RB	once
here	RB	here
'	''	'
s	VBG	<unknown>
the	DT	the
trick	NN	trick
.	SENT	.
In	IN	in
order	NN	order
to	TO	to
run	VB	run
in	IN	in
the	DT	the
general	JJ	general
election	NN	election
,	,	,
you	PP	you
must	MD	must
do	VB	do
extremely	RB	extremely
well	RB	well
in	IN	in
the	DT	the
Lester	NP	Lester
election	NN	election
.	SENT	.
You	PP	you
don	VBP	don
'	''	'
t	NN	t
necessarily	RB	necessarily
have	VBP	have
to	TO	to
win	VB	win
,	,	,
but	CC	but
you	PP	you
must	MD	must
do	VB	do
extremely	RB	extremely
well	RB	well
.	SENT	.
Now	RB	now
,	,	,
what	WP	what
can	MD	can
we	PP	we
say	VB	say
about	IN	about
democracy	NN	democracy
in	IN	in
Lesterland	NP	Lesterland
?	SENT	?
What	WP	what
we	PP	we
can	MD	can
say	VB	say
,	,	,
number	NN	number
one	CD	one
,	,	,
as	IN	as
the	DT	the
Supreme	NP	Supreme
Court	NP	Court
said	VBD	say
in	IN	in
Citizens	NP	Citizens
United	NP	United
,	,	,
that	DT	that
people	NNS	people
have	VBP	have
the	DT	the
ultimate	JJ	ultimate
influence	NN	influence
over	IN	over
elected	VBN	elect
officials	NNS	official
,	,	,
because	RB	because
,	,	,
after	IN	after
all	DT	all
,	,	,
there	EX	there
is	VBZ	be
a	DT	a
general	JJ	general
election	NN	election
,	,	,
but	CC	but
only	RB	only
after	IN	after
the	DT	the
Lesters	NP	Lesters
have	VBP	have
had	VBN	have
their	PP$	their
way	NN	way
with	IN	with
the	DT	the
candidates	NNS	candidate
who	WP	who
wish	VBP	wish
to	TO	to
run	VB	run
in	IN	in
the	DT	the
general	JJ	general
election	NN	election
.	SENT	.
And	CC	and
number	NN	number
two	CD	two
,	,	,
obviously	RB	obviously
,	,	,
this	DT	this
dependence	NN	dependence
upon	IN	upon
the	DT	the
Lesters	NP	Lesters
is	VBZ	be
going	VBG	go
to	TO	to
produce	VB	produce
a	DT	a
subtle	JJ	subtle
,	,	,
understated	VBN	understate
,	,	,
we	PP	we
could	MD	could
say	VB	say
camouflaged	VBN	camouflage
,	,	,
bending	VBG	bend
to	TO	to
keep	VB	keep
the	DT	the
Lesters	NP	Lesters
happy	JJ	happy
.	SENT	.
Okay	RB	okay
,	,	,
so	RB	so
we	PP	we
have	VBP	have
a	DT	a
democracy	NN	democracy
,	,	,
no	DT	no
doubt	NN	doubt
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NNS	<unknown>
dependent	JJ	dependent
upon	IN	upon
the	DT	the
Lesters	NP	Lesters
and	CC	and
dependent	JJ	dependent
upon	IN	upon
the	DT	the
people	NNS	people
.	SENT	.
It	PP	it
has	VBZ	have
competing	JJ	competing
dependencies	NNS	dependency
,	,	,
we	PP	we
could	MD	could
say	VB	say
conflicting	JJ	conflicting
dependencies	NNS	dependency
,	,	,
depending	VBG	depend
upon	IN	upon
who	WP	who
the	DT	the
Lesters	NNS	Lester
are	VBP	be
.	SENT	.
Okay	JJ	okay
.	SENT	.
That	IN	that
'	POS	'
s	JJ	<unknown>
Lesterland	NP	Lesterland
.	SENT	.
Now	RB	now
there	EX	there
are	VBP	be
three	CD	three
things	NNS	thing
I	PP	I
want	VBP	want
you	PP	you
to	TO	to
see	VB	see
now	RB	now
that	IN	that
I	NP	I
'	POS	'
ve	NN	ve
described	VBD	describe
Lesterland	NP	Lesterland
.	SENT	.
Number	NN	number
one	CD	one
,	,	,
the	DT	the
United	NP	United
States	NPS	States
is	VBZ	be
Lesterland	NP	Lesterland
.	SENT	.
The	DT	the
United	NP	United
States	NPS	States
is	VBZ	be
Lesterland	NP	Lesterland
.	SENT	.
The	DT	the
United	NP	United
States	NP	States
also	RB	also
looks	VBZ	look
like	IN	like
this	DT	this
,	,	,
also	RB	also
has	VBZ	have
two	CD	two
elections	NNS	election
,	,	,
one	CD	one
we	PP	we
called	VBD	call
the	DT	the
general	JJ	general
election	NN	election
,	,	,
the	DT	the
second	NN	second
we	PP	we
should	MD	should
call	VB	call
the	DT	the
money	NN	money
election	NN	election
.	SENT	.
In	IN	in
the	DT	the
general	JJ	general
election	NN	election
,	,	,
it	PP	it
'	POS	'
s	NN	S
the	DT	the
citizens	NNS	citizen
who	WP	who
get	VBP	get
to	TO	to
vote	VB	vote
,	,	,
if	IN	if
you	PP	you
'	POS	'
re	NN	re
over	IN	over
18	CD	@card@
,	,	,
in	IN	in
some	DT	some
states	NNS	state
if	IN	if
you	PP	you
have	VBP	have
an	DT	an
ID	NN	id
.	SENT	.
In	IN	in
the	DT	the
money	NN	money
election	NN	election
,	,	,
it	PP	it
'	POS	'
s	NN	S
the	DT	the
funders	NNS	funder
who	WP	who
get	VBP	get
to	TO	to
vote	VB	vote
,	,	,
the	DT	the
funders	NNS	funder
who	WP	who
get	VBP	get
to	TO	to
vote	VB	vote
,	,	,
and	CC	and
just	RB	just
like	IN	like
in	IN	in
Lesterland	NP	Lesterland
,	,	,
the	DT	the
trick	NN	trick
is	VBZ	be
,	,	,
to	TO	to
run	VB	run
in	IN	in
the	DT	the
general	JJ	general
election	NN	election
,	,	,
you	PP	you
must	MD	must
do	VB	do
extremely	RB	extremely
well	RB	well
in	IN	in
the	DT	the
money	NN	money
election	NN	election
.	SENT	.
You	PP	you
don	VBP	don
'	''	'
t	NN	t
necessarily	RB	necessarily
have	VBP	have
to	TO	to
win	VB	win
.	SENT	.
There	EX	there
is	VBZ	be
Jerry	NP	Jerry
Brown	NP	Brown
.	SENT	.
But	CC	but
you	PP	you
must	MD	must
do	VB	do
extremely	RB	extremely
well	RB	well
.	SENT	.
And	CC	and
here	RB	here
'	''	'
s	VBG	<unknown>
the	DT	the
key	JJ	key
:	:	:
There	EX	there
are	VBP	be
just	RB	just
as	IN	as
few	JJ	few
relevant	JJ	relevant
funders	NNS	funder
in	IN	in
USA-land	NP	<unknown>
as	IN	as
there	EX	there
are	VBP	be
Lesters	NP	Lesters
in	IN	in
Lesterland	NP	Lesterland
.	SENT	.
Now	RB	now
you	PP	you
say	VBP	say
,	,	,
really	RB	really
?	SENT	?
Really	RB	really
.	SENT	.
05	CD	@card@
percent	NN	percent
?	SENT	?
Well	RB	well
,	,	,
here	RB	here
are	VBP	be
the	DT	the
numbers	NNS	number
from	IN	from
2010	CD	@card@
:	:	:
.	SENT	.
26	CD	@card@
percent	NN	percent
of	IN	of
America	NP	America
gave	VBD	give
200	CD	@card@
dollars	NNS	dollar
or	CC	or
more	JJR	more
to	TO	to
any	DT	any
federal	JJ	federal
candidate	NN	candidate
,	,	,
.	SENT	.
05	CD	@card@
percent	NN	percent
gave	VBD	give
the	DT	the
maximum	JJ	maximum
amount	NN	amount
to	TO	to
any	DT	any
federal	JJ	federal
candidate	NN	candidate
,	,	,
.	SENT	.
01	CD	@card@
percent	NN	percent
—	:	-
the	DT	the
one	CD	one
percent	NN	percent
of	IN	of
the	DT	the
one	CD	one
percent	NN	percent
—	:	-
gave	VBD	give
10	CD	@card@
,	,	,
000	CD	@card@
dollars	NNS	dollar
or	CC	or
more	JJR	more
to	TO	to
federal	JJ	federal
candidates	NNS	candidate
,	,	,
and	CC	and
in	IN	in
this	DT	this
election	NN	election
cycle	NN	cycle
,	,	,
my	PP$	my
favorite	JJ	favorite
statistic	NN	statistic
is	VBZ	be
.	SENT	.
000042	CD	@card@
percent	NN	percent
—	:	-
for	IN	for
those	DT	those
of	IN	of
you	PP	you
doing	VBG	do
the	DT	the
numbers	NNS	number
,	,	,
you	PP	you
know	VBP	know
that	IN	that
'	POS	'
s	NN	S
132	CD	@card@
Americans	NNS	American
—	:	-
gave	VBD	give
60	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
Super	NP	Super
PAC	NP	PAC
money	NN	money
spent	VBD	spend
in	IN	in
the	DT	the
cycle	NN	cycle
we	PP	we
have	VBP	have
just	RB	just
seen	VBN	see
ending	VBG	end
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
m	NN	m
just	RB	just
a	DT	a
lawyer	NN	lawyer
,	,	,
I	PP	I
look	VBP	look
at	IN	at
this	DT	this
range	NN	range
of	IN	of
numbers	NNS	number
,	,	,
and	CC	and
I	PP	I
say	VBP	say
it	PP	it
'	''	'
s	NNS	<unknown>
fair	JJ	fair
for	IN	for
me	PP	me
to	TO	to
say	VB	say
it	PP	it
'	POS	'
s	NN	S
.	SENT	.
05	CD	@card@
percent	NNS	percent
who	WP	who
are	VBP	be
our	PP$	our
relevant	JJ	relevant
funders	NNS	funder
in	IN	in
America	NP	America
.	SENT	.
In	IN	in
this	DT	this
sense	NN	sense
,	,	,
the	DT	the
funders	NNS	funder
are	VBP	be
our	PP$	our
Lesters	NNS	Lester
.	SENT	.
Now	RB	now
,	,	,
what	WP	what
can	MD	can
we	PP	we
say	VB	say
about	IN	about
this	DT	this
democracy	NN	democracy
in	IN	in
USA-land	NP	<unknown>
?	SENT	?
Well	RB	well
,	,	,
as	IN	as
the	DT	the
Supreme	NP	Supreme
Court	NP	Court
said	VBD	say
in	IN	in
Citizens	NP	Citizens
United	NP	United
,	,	,
we	PP	we
could	MD	could
say	VB	say
,	,	,
of	IN	of
course	NN	course
the	DT	the
people	NNS	people
have	VBP	have
the	DT	the
ultimate	JJ	ultimate
influence	NN	influence
over	IN	over
the	DT	the
elected	VBN	elect
officials	NNS	official
.	SENT	.
We	PP	we
have	VBP	have
a	DT	a
general	JJ	general
election	NN	election
,	,	,
but	CC	but
only	RB	only
after	IN	after
the	DT	the
funders	NNS	funder
have	VBP	have
had	VBN	have
their	PP$	their
way	NN	way
with	IN	with
the	DT	the
candidates	NNS	candidate
who	WP	who
wish	VBP	wish
to	TO	to
run	VB	run
in	IN	in
that	DT	that
general	JJ	general
election	NN	election
.	SENT	.
And	CC	and
number	NN	number
two	CD	two
,	,	,
obviously	RB	obviously
,	,	,
this	DT	this
dependence	NN	dependence
upon	IN	upon
the	DT	the
funders	NNS	funder
produces	VBZ	produce
a	DT	a
subtle	JJ	subtle
,	,	,
understated	VBN	understate
,	,	,
camouflaged	VBN	camouflage
bending	VBG	bend
to	TO	to
keep	VB	keep
the	DT	the
funders	NNS	funder
happy	JJ	happy
.	SENT	.
Candidates	NNS	candidate
for	IN	for
Congress	NP	Congress
and	CC	and
members	NNS	member
of	IN	of
Congress	NP	Congress
spend	VBP	spend
between	IN	between
30	CD	@card@
and	CC	and
70	CD	@card@
percent	NN	percent
of	IN	of
their	PP$	their
time	NN	time
raising	VBG	raise
money	NN	money
to	TO	to
get	VB	get
back	RB	back
to	TO	to
Congress	NP	Congress
or	CC	or
to	TO	to
get	VB	get
their	PP$	their
party	NN	party
back	RB	back
into	IN	into
power	NN	power
,	,	,
and	CC	and
the	DT	the
question	NN	question
we	PP	we
need	VBP	need
to	TO	to
ask	VB	ask
is	VBZ	be
,	,	,
what	WP	what
does	VBZ	do
it	PP	it
do	VBP	do
to	TO	to
them	PP	them
,	,	,
these	DT	these
humans	NNS	human
,	,	,
as	IN	as
they	PP	they
spend	VBP	spend
their	PP$	their
time	NN	time
behind	IN	behind
the	DT	the
telephone	NN	telephone
,	,	,
calling	VBG	call
people	NNS	people
they	PP	they
'	POS	'
ve	NN	ve
never	RB	never
met	VBD	meet
,	,	,
but	CC	but
calling	VBG	call
the	DT	the
tiniest	JJS	tiny
slice	NN	slice
of	IN	of
the	DT	the
one	CD	one
percent	NN	percent
?	SENT	?
As	IN	as
anyone	NN	anyone
would	MD	would
,	,	,
as	IN	as
they	PP	they
do	VBP	do
this	DT	this
,	,	,
they	PP	they
develop	VBP	develop
a	DT	a
sixth	JJ	sixth
sense	NN	sense
,	,	,
a	DT	a
constant	JJ	constant
awareness	NN	awareness
about	RB	about
how	WRB	how
what	WP	what
they	PP	they
do	VBP	do
might	MD	might
affect	VB	affect
their	PP$	their
ability	NN	ability
to	TO	to
raise	VB	raise
money	NN	money
.	SENT	.
They	PP	they
become	VBP	become
,	,	,
in	IN	in
the	DT	the
words	NNS	word
of	IN	of
"	``	"
The	DT	the
X-Files	NNS	<unknown>
,	,	,
"	''	"
shape-shifters	NNS	shape-shifter
,	,	,
as	IN	as
they	PP	they
constantly	RB	constantly
adjust	VBP	adjust
their	PP$	their
views	NNS	view
in	IN	in
light	NN	light
of	IN	of
what	WP	what
they	PP	they
know	VBP	know
will	MD	will
help	VB	help
them	PP	them
to	TO	to
raise	VB	raise
money	NN	money
,	,	,
not	RB	not
on	IN	on
issues	NNS	issue
one	CD	one
to	TO	to
10	CD	@card@
,	,	,
but	CC	but
on	IN	on
issues	NNS	issue
11	CD	@card@
to	TO	to
1	CD	@card@
,	,	,
000	CD	@card@
.	SENT	.
Leslie	NP	Leslie
Byrne	NP	Byrne
,	,	,
a	DT	a
Democrat	NP	Democrat
from	IN	from
Virginia	NP	Virginia
,	,	,
describes	VBZ	describe
that	IN	that
when	WRB	when
she	PP	she
went	VBD	go
to	TO	to
Congress	NP	Congress
,	,	,
she	PP	she
was	VBD	be
told	VBN	tell
by	IN	by
a	DT	a
colleague	NN	colleague
,	,	,
"	``	"
Always	RB	always
lean	JJ	lean
to	TO	to
the	DT	the
green	NN	green
.	SENT	.
"	''	"
Then	RB	then
to	TO	to
clarify	VB	clarify
,	,	,
she	PP	she
went	VBD	go
on	IN	on
,	,	,
"	``	"
He	PP	he
was	VBD	be
not	RB	not
an	DT	an
environmentalist	NN	environmentalist
.	SENT	.
"	''	"
So	RB	so
here	RB	here
too	RB	too
we	PP	we
have	VBP	have
a	DT	a
democracy	NN	democracy
,	,	,
a	DT	a
democracy	NN	democracy
dependent	JJ	dependent
upon	IN	upon
the	DT	the
funders	NNS	funder
and	CC	and
dependent	JJ	dependent
upon	IN	upon
the	DT	the
people	NNS	people
,	,	,
competing	VBG	compete
dependencies	NNS	dependency
,	,	,
possibly	RB	possibly
conflicting	VBG	conflict
dependencies	NNS	dependency
depending	VBG	depend
upon	IN	upon
who	WP	who
the	DT	the
funders	NNS	funder
are	VBP	be
.	SENT	.
Okay	RB	okay
,	,	,
the	DT	the
United	NP	United
States	NPS	States
is	VBZ	be
Lesterland	NP	Lesterland
,	,	,
point	NN	point
number	NN	number
one	CD	one
.	SENT	.
Here	RB	here
'	POS	'
s	JJ	<unknown>
point	NN	point
number	NN	number
two	CD	two
.	SENT	.
The	DT	the
United	NP	United
States	NPS	States
is	VBZ	be
worse	JJR	bad
than	IN	than
Lesterland	NP	Lesterland
,	,	,
worse	JJR	bad
than	IN	than
Lesterland	NP	Lesterland
because	IN	because
you	PP	you
can	MD	can
imagine	VB	imagine
in	IN	in
Lesterland	NP	Lesterland
if	IN	if
we	PP	we
Lesters	NP	Lesters
got	VBD	get
a	DT	a
letter	NN	letter
from	IN	from
the	DT	the
government	NN	government
that	WDT	that
said	VBD	say
,	,	,
"	``	"
Hey	NP	Hey
,	,	,
you	PP	you
get	VBP	get
to	TO	to
pick	VB	pick
who	WP	who
gets	VBZ	get
to	TO	to
run	VB	run
in	IN	in
the	DT	the
general	JJ	general
election	NN	election
,	,	,
"	''	"
we	PP	we
would	MD	would
think	VB	think
maybe	RB	maybe
of	IN	of
a	DT	a
kind	NN	kind
of	IN	of
aristocracy	NN	aristocracy
of	IN	of
Lesters	NP	Lesters
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
there	EX	there
are	VBP	be
Lesters	NNS	Lester
from	IN	from
every	DT	every
part	NN	part
of	IN	of
social	JJ	social
society	NN	society
.	SENT	.
There	EX	there
are	VBP	be
rich	JJ	rich
Lesters	NP	Lesters
,	,	,
poor	JJ	poor
Lesters	NP	Lesters
,	,	,
black	JJ	black
Lesters	NP	Lesters
,	,	,
white	JJ	white
Lesters	NP	Lesters
,	,	,
not	RB	not
many	JJ	many
women	NNS	woman
Lesters	NP	Lesters
,	,	,
but	CC	but
put	VBD	put
that	IN	that
to	TO	to
the	DT	the
side	NN	side
for	IN	for
one	CD	one
second	NN	second
.	SENT	.
We	PP	we
have	VBP	have
Lesters	NNS	Lester
from	IN	from
everywhere	RB	everywhere
.	SENT	.
We	PP	we
could	MD	could
think	VB	think
,	,	,
"	``	"
What	WP	what
could	MD	could
we	PP	we
do	VB	do
to	TO	to
make	VB	make
Lesterland	NP	Lesterland
better	RBR	well
?	SENT	?
"	``	"
It	PP	it
'	POS	'
s	NN	S
at	IN	at
least	JJS	least
possible	JJ	possible
the	DT	the
Lesters	NP	Lesters
would	MD	would
act	VB	act
for	IN	for
the	DT	the
good	JJ	good
of	IN	of
Lesterland	NP	Lesterland
.	SENT	.
But	CC	but
in	IN	in
our	PP$	our
land	NN	land
,	,	,
in	IN	in
this	DT	this
land	NN	land
,	,	,
in	IN	in
USA-	NP	<unknown>
land	NN	land
,	,	,
there	EX	there
are	VBP	be
certainly	RB	certainly
some	DT	some
sweet	JJ	sweet
Lesters	NP	Lesters
out	IN	out
there	RB	there
,	,	,
many	JJ	many
of	IN	of
them	PP	them
in	IN	in
this	DT	this
room	NN	room
here	RB	here
today	NN	today
,	,	,
but	CC	but
the	DT	the
vast	JJ	vast
majority	NN	majority
of	IN	of
Lesters	NP	Lesters
act	NN	act
for	IN	for
the	DT	the
Lesters	NP	Lesters
,	,	,
because	IN	because
the	DT	the
shifting	VBG	shift
coalitions	NNS	coalition
that	WDT	that
are	VBP	be
comprising	VBG	comprise
the	DT	the
.	SENT	.
05	CD	@card@
percent	NN	percent
are	VBP	be
not	RB	not
comprising	VBG	comprise
it	PP	it
for	IN	for
the	DT	the
public	JJ	public
interest	NN	interest
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
for	IN	for
their	PP$	their
private	JJ	private
interest	NN	interest
.	SENT	.
In	IN	in
this	DT	this
sense	NN	sense
,	,	,
the	DT	the
USA	NP	USA
is	VBZ	be
worse	JJR	bad
than	IN	than
Lesterland	NP	Lesterland
.	SENT	.
And	CC	and
finally	RB	finally
,	,	,
point	NN	point
number	NN	number
three	CD	three
:	:	:
Whatever	WDT	whatever
one	PP	one
wants	VBZ	want
to	TO	to
say	VB	say
about	IN	about
Lesterland	NP	Lesterland
,	,	,
against	IN	against
the	DT	the
background	NN	background
of	IN	of
its	PP$	its
history	NN	history
,	,	,
its	PP$	its
traditions	NNS	tradition
,	,	,
in	IN	in
our	PP$	our
land	NN	land
,	,	,
in	IN	in
USA-	NP	<unknown>
land	NN	land
,	,	,
Lesterland	NP	Lesterland
is	VBZ	be
a	DT	a
corruption	NN	corruption
,	,	,
a	DT	a
corruption	NN	corruption
.	SENT	.
Now	RB	now
,	,	,
by	IN	by
corruption	NN	corruption
I	PP	I
don	VBP	don
'	''	'
t	NN	t
mean	VBP	mean
brown	JJ	brown
paper	NN	paper
bag	NN	bag
cash	NN	cash
secreted	VBN	secrete
among	IN	among
members	NNS	member
of	IN	of
Congress	NP	Congress
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
mean	VBP	mean
Rod	NP	Rod
Blagojevich	NP	<unknown>
sense	NN	sense
of	IN	of
corruption	NN	corruption
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
mean	VB	mean
any	DT	any
criminal	JJ	criminal
act	NN	act
.	SENT	.
The	DT	the
corruption	NN	corruption
I	PP	I
'	POS	'
m	NN	m
talking	VBG	talk
about	RB	about
is	VBZ	be
perfectly	RB	perfectly
legal	JJ	legal
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
corruption	NN	corruption
relative	JJ	relative
to	TO	to
the	DT	the
framers	NNS	framer
'	POS	'
baseline	NN	baseline
for	IN	for
this	DT	this
republic	NN	republic
.	SENT	.
The	DT	the
framers	NNS	framer
gave	VBD	give
us	PP	us
what	WP	what
they	PP	they
called	VBD	call
a	DT	a
republic	NN	republic
,	,	,
but	CC	but
by	IN	by
a	DT	a
republic	NN	republic
they	PP	they
meant	VBD	mean
a	DT	a
representative	JJ	representative
democracy	NN	democracy
,	,	,
and	CC	and
by	IN	by
a	DT	a
representative	JJ	representative
democracy	NN	democracy
,	,	,
they	PP	they
meant	VBD	mean
a	DT	a
government	NN	government
,	,	,
as	IN	as
Madison	NP	Madison
put	VBD	put
it	PP	it
in	IN	in
Federalist	NP	Federalist
52	CD	@card@
,	,	,
that	WDT	that
would	MD	would
have	VB	have
a	DT	a
branch	NN	branch
that	WDT	that
would	MD	would
be	VB	be
dependent	JJ	dependent
upon	IN	upon
the	DT	the
people	NNS	people
alone	RB	alone
.	SENT	.
So	RB	so
here	RB	here
'	''	'
s	VBG	<unknown>
the	DT	the
model	NN	model
of	IN	of
government	NN	government
.	SENT	.
They	PP	they
have	VBP	have
the	DT	the
people	NNS	people
and	CC	and
the	DT	the
government	NN	government
with	IN	with
this	DT	this
exclusive	JJ	exclusive
dependency	NN	dependency
,	,	,
but	CC	but
the	DT	the
problem	NN	problem
here	RB	here
is	VBZ	be
that	IN	that
Congress	NP	Congress
has	VBZ	have
evolved	VBN	evolve
a	DT	a
different	JJ	different
dependence	NN	dependence
,	,	,
no	DT	no
longer	RBR	longer
a	DT	a
dependence	NN	dependence
upon	IN	upon
the	DT	the
people	NNS	people
alone	RB	alone
,	,	,
increasingly	RB	increasingly
a	DT	a
dependence	NN	dependence
upon	IN	upon
the	DT	the
funders	NNS	funder
.	SENT	.
Now	RB	now
this	DT	this
is	VBZ	be
a	DT	a
dependence	NN	dependence
too	RB	too
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	JJ	<unknown>
different	JJ	different
and	CC	and
conflicting	JJ	conflicting
from	IN	from
a	DT	a
dependence	NN	dependence
upon	IN	upon
the	DT	the
people	NNS	people
alone	RB	alone
so	RB	so
long	JJ	long
as	IN	as
the	DT	the
funders	NNS	funder
are	VBP	be
not	RB	not
the	DT	the
people	NNS	people
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
corruption	NN	corruption
.	SENT	.
Now	RB	now
,	,	,
there	EX	there
'	''	'
s	NNS	<unknown>
good	JJ	good
news	NN	news
and	CC	and
bad	JJ	bad
news	NN	news
about	IN	about
this	DT	this
corruption	NN	corruption
.	SENT	.
One	CD	one
bit	NN	bit
of	IN	of
good	JJ	good
news	NN	news
is	VBZ	be
that	IN	that
it	PP	it
'	POS	'
s	NNS	<unknown>
bipartisan	JJ	bipartisan
,	,	,
equal-opportunity	NN	equal-opportunity
corruption	NN	corruption
.	SENT	.
It	PP	it
blocks	VBZ	block
the	DT	the
left	NN	left
on	IN	on
a	DT	a
whole	JJ	whole
range	NN	range
of	IN	of
issues	NNS	issue
that	IN	that
we	PP	we
on	IN	on
the	DT	the
left	VBD	leave
really	RB	really
care	VB	care
about	RB	about
.	SENT	.
It	PP	it
blocks	VBZ	block
the	DT	the
right	NN	right
too	RB	too
,	,	,
as	IN	as
it	PP	it
makes	VBZ	make
principled	JJ	principled
arguments	NNS	argument
of	IN	of
the	DT	the
right	NN	right
increasingly	RB	increasingly
impossible	JJ	impossible
.	SENT	.
So	IN	so
the	DT	the
right	NN	right
wants	VBZ	want
smaller	JJR	small
government	NN	government
.	SENT	.
When	WRB	when
Al	NP	Al
Gore	NP	Gore
was	VBD	be
Vice	NP	Vice
President	NP	President
,	,	,
his	PP$	his
team	NN	team
had	VBD	have
an	DT	an
idea	NN	idea
for	IN	for
deregulating	VBG	deregulate
a	DT	a
significant	JJ	significant
portion	NN	portion
of	IN	of
the	DT	the
telecommunications	NNS	telecommunication
industry	NN	industry
.	SENT	.
The	DT	the
chief	JJ	chief
policy	NN	policy
man	NN	man
took	VBD	take
this	DT	this
idea	NN	idea
to	TO	to
Capitol	NP	Capitol
Hill	NP	Hill
,	,	,
and	CC	and
as	IN	as
he	PP	he
reported	VBD	report
back	RB	back
to	TO	to
me	PP	me
,	,	,
the	DT	the
response	NN	response
was	VBD	be
,	,	,
"	``	"
Hell	UH	hell
no	UH	no
!	SENT	!
If	IN	if
we	PP	we
deregulate	VBP	deregulate
these	DT	these
guys	NNS	guy
,	,	,
how	WRB	how
are	VBP	be
we	PP	we
going	VBG	go
to	TO	to
raise	VB	raise
money	NN	money
from	IN	from
them	PP	them
?	SENT	?
"	``	"
This	DT	this
is	VBZ	be
a	DT	a
system	NN	system
that	RB	that
'	POS	'
s	NNS	<unknown>
designed	VBN	design
to	TO	to
save	VB	save
the	DT	the
status	FW	status
quo	FW	quo
,	,	,
including	VBG	include
the	DT	the
status	FW	status
quo	FW	quo
of	IN	of
big	JJ	big
and	CC	and
invasive	JJ	invasive
government	NN	government
.	SENT	.
It	PP	it
works	VBZ	work
against	IN	against
the	DT	the
left	NN	left
and	CC	and
the	DT	the
right	NN	right
,	,	,
and	CC	and
that	WDT	that
,	,	,
you	PP	you
might	MD	might
say	VB	say
,	,	,
is	VBZ	be
good	JJ	good
news	NN	news
.	SENT	.
But	CC	but
here	RB	here
'	''	'
s	VBG	<unknown>
the	DT	the
bad	JJ	bad
news	NN	news
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
pathological	JJ	pathological
,	,	,
democracy-destroying	JJ	<unknown>
corruption	NN	corruption
,	,	,
because	IN	because
in	IN	in
any	DT	any
system	NN	system
where	WRB	where
the	DT	the
members	NNS	member
are	VBP	be
