Good	JJ	good
So	RB	so
this	DT	this
brings	VBZ	bring
me	PP	me
to	TO	to
lesson	NN	lesson
number	NN	number
one	CD	one
:	:	:
life	NN	life
can	MD	can
do	VB	do
a	DT	a
lot	NN	lot
with	IN	with
very	RB	very
little	JJ	little
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
take	VBP	take
the	DT	the
example	NN	example
of	IN	of
electrical	JJ	electrical
stimulation	NN	stimulation
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
see	VBP	see
how	WRB	how
powerful	JJ	powerful
just	RB	just
one	CD	one
of	IN	of
these	DT	these
essentials	NNS	essential
can	MD	can
be	VB	be
.	SENT	.
On	IN	on
the	DT	the
left	NN	left
,	,	,
we	PP	we
see	VBP	see
a	DT	a
tiny	JJ	tiny
piece	NN	piece
of	IN	of
beating	VBG	beat
heart	NN	heart
tissue	NN	tissue
that	IN	that
I	PP	I
engineered	VBD	engineer
from	IN	from
rat	NN	rat
cells	NNS	cell
in	IN	in
the	DT	the
lab	NN	lab
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
about	IN	about
the	DT	the
size	NN	size
of	IN	of
a	DT	a
mini	JJ	mini
marshmallow	NN	marshmallow
.	SENT	.
And	CC	and
after	IN	after
one	CD	one
week	NN	week
,	,	,
it	PP	it
'	POS	'
s	NN	S
beating	NN	beating
.	SENT	.
You	PP	you
can	MD	can
see	VB	see
it	PP	it
in	IN	in
the	DT	the
upper	JJ	upper
left-hand	JJ	left-hand
corner	NN	corner
.	SENT	.
But	CC	but
don	NN	don
'	POS	'
t	NN	t
worry	NN	worry
if	IN	if
you	PP	you
can	MD	can
'	''	'
t	NN	t
see	VB	see
it	PP	it
so	RB	so
well	RB	well
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
amazing	JJ	amazing
that	IN	that
these	DT	these
cells	NNS	cell
beat	VBP	beat
at	IN	at
all	DT	all
.	SENT	.
But	CC	but
what	WP	what
'	POS	'
s	NN	S
really	RB	really
amazing	JJ	amazing
is	VBZ	be
that	IN	that
the	DT	the
cells	NNS	cell
,	,	,
when	WRB	when
we	PP	we
electrically	RB	electrically
stimulate	VB	stimulate
them	PP	them
,	,	,
like	IN	like
with	IN	with
a	DT	a
pacemaker	NN	pacemaker
,	,	,
that	WDT	that
they	PP	they
beat	VBP	beat
so	RB	so
much	RB	much
more	RBR	more
.	SENT	.
But	CC	but
that	DT	that
brings	VBZ	bring
me	PP	me
to	TO	to
lesson	NN	lesson
number	NN	number
two	CD	two
:	:	:
cells	NNS	cell
do	VBP	do
all	PDT	all
the	DT	the
work	NN	work
.	SENT	.
In	IN	in
a	DT	a
sense	NN	sense
,	,	,
tissue	NN	tissue
engineers	NNS	engineer
have	VBP	have
a	DT	a
bit	NN	bit
of	IN	of
an	DT	an
identity	NN	identity
crisis	NN	crisis
here	RB	here
,	,	,
because	IN	because
structural	JJ	structural
engineers	NNS	engineer
build	VBP	build
bridges	NNS	bridge
and	CC	and
big	JJ	big
things	NNS	thing
,	,	,
computer	NN	computer
engineers	NNS	engineer
,	,	,
computers	NNS	computer
,	,	,
but	CC	but
what	WP	what
we	PP	we
are	VBP	be
doing	VBG	do
is	VBZ	be
actually	RB	actually
building	VBG	build
enabling	VBG	enable
technologies	NNS	technology
for	IN	for
the	DT	the
cells	NNS	cell
themselves	PP	themselves
.	SENT	.
What	WP	what
does	VBZ	do
this	DT	this
mean	NN	mean
for	IN	for
us	PP	us
?	SENT	?
Let	NP	Let
'	POS	'
s	NNS	<unknown>
do	VBP	do
something	NN	something
really	RB	really
simple	JJ	simple
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
remind	VBP	remind
ourselves	PP	ourselves
that	IN	that
cells	NNS	cell
are	VBP	be
not	RB	not
an	DT	an
abstract	JJ	abstract
concept	NN	concept
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
remember	VBP	remember
that	IN	that
our	PP$	our
cells	NNS	cell
sustain	VB	sustain
our	PP$	our
lives	NNS	life
in	IN	in
a	DT	a
very	RB	very
real	JJ	real
way	NN	way
.	SENT	.
"	``	"
We	PP	we
are	VBP	be
what	WP	what
we	PP	we
eat	VBP	eat
,	,	,
"	``	"
could	MD	could
easily	RB	easily
be	VB	be
described	VBN	describe
as	IN	as
,	,	,
"	``	"
We	PP	we
are	VBP	be
what	WP	what
our	PP$	our
cells	NNS	cell
eat	VBP	eat
.	SENT	.
"	''	"
And	CC	and
in	IN	in
the	DT	the
case	NN	case
of	IN	of
the	DT	the
flora	NN	flora
in	IN	in
our	PP$	our
gut	NN	gut
,	,	,
these	DT	these
cells	NNS	cell
may	MD	may
not	RB	not
even	RB	even
be	VB	be
human	JJ	human
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NN	S
also	RB	also
worth	JJ	worth
noting	VBG	note
that	IN	that
cells	NNS	cell
also	RB	also
mediate	VBP	mediate
our	PP$	our
experience	NN	experience
of	IN	of
life	NN	life
.	SENT	.
Behind	IN	behind
every	DT	every
sound	NN	sound
,	,	,
sight	NN	sight
,	,	,
touch	NN	touch
,	,	,
taste	NN	taste
and	CC	and
smell	NN	smell
is	VBZ	be
a	DT	a
corresponding	JJ	corresponding
set	NN	set
of	IN	of
cells	NNS	cell
that	WDT	that
receive	VBP	receive
this	DT	this
information	NN	information
and	CC	and
interpret	VB	interpret
it	PP	it
for	IN	for
us	PP	us
.	SENT	.
It	PP	it
begs	VBZ	beg
the	DT	the
question	NN	question
:	:	:
shall	MD	shall
we	PP	we
expand	VB	expand
our	PP$	our
sense	NN	sense
of	IN	of
environmental	JJ	environmental
stewardship	NN	stewardship
to	TO	to
include	VB	include
the	DT	the
ecosystem	NN	ecosystem
of	IN	of
our	PP$	our
own	JJ	own
bodies	NNS	body
?	SENT	?
I	PP	I
invite	VBP	invite
you	PP	you
to	TO	to
talk	VB	talk
about	IN	about
this	DT	this
with	IN	with
me	PP	me
further	RBR	further
,	,	,
and	CC	and
in	IN	in
the	DT	the
meantime	NN	meantime
,	,	,
I	PP	I
wish	VBP	wish
you	PP	you
luck	NN	luck
.	SENT	.
May	NP	May
none	NN	none
of	IN	of
your	PP$	your
non-cancer	NN	non-cancer
cells	NNS	cell
become	VBP	become
endangered	JJ	endangered
species	NNS	specie
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
