One	CD	one
people	NNS	people
have	VBP	have
faced	VBN	face
a	DT	a
rather	RB	rather
unpleasant	JJ	unpleasant
choice	NN	choice
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
almost	RB	almost
as	RB	as
though	RB	though
either	CC	either
you	PP	you
accept	VBP	accept
the	DT	the
doctrine	NN	doctrine
and	CC	and
then	RB	then
you	PP	you
can	MD	can
have	VB	have
all	PDT	all
the	DT	the
nice	JJ	nice
stuff	NN	stuff
,	,	,
or	CC	or
you	PP	you
reject	VBP	reject
the	DT	the
doctrine	NN	doctrine
and	CC	and
you	PP	you
'	POS	'
re	NN	re
living	NN	living
in	IN	in
some	DT	some
kind	NN	kind
of	IN	of
spiritual	JJ	spiritual
wasteland	NN	wasteland
under	IN	under
the	DT	the
guidance	NN	guidance
of	IN	of
CNN	NP	CNN
and	CC	and
Walmart	NP	<unknown>
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	VBG	<unknown>
a	DT	a
sort	NN	sort
of	IN	of
tough	JJ	tough
choice	NN	choice
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
think	VBP	think
we	PP	we
have	VBP	have
to	TO	to
make	VB	make
that	DT	that
choice	NN	choice
.	SENT	.
I	PP	I
think	VBP	think
there	EX	there
is	VBZ	be
an	DT	an
alternative	NN	alternative
.	SENT	.
I	PP	I
think	VBP	think
there	EX	there
are	VBP	be
ways	NNS	way
â	NP	<unknown>
and	CC	and
I	NP	I
'	POS	'
m	NN	m
being	VBG	be
both	DT	both
very	RB	very
respectful	JJ	respectful
and	CC	and
completely	RB	completely
impious	JJ	impious
â	NP	<unknown>
of	IN	of
stealing	VBG	steal
from	IN	from
religions	NNS	religion
.	SENT	.
If	IN	if
you	PP	you
don	NN	don
'	POS	'
t	NN	t
believe	VBP	believe
in	IN	in
a	DT	a
religion	NN	religion
,	,	,
there	EX	there
'	''	'
s	NN	S
nothing	NN	nothing
wrong	JJ	wrong
with	IN	with
picking	VBG	pick
and	CC	and
mixing	VBG	mix
,	,	,
with	IN	with
taking	VBG	take
out	RP	out
the	DT	the
best	JJS	good
sides	NNS	side
of	IN	of
religion	NN	religion
.	SENT	.
And	CC	and
for	IN	for
me	PP	me
,	,	,
atheism	NN	atheism
2	CD	@card@
.	SENT	.
0	CD	@card@
is	VBZ	be
about	RB	about
both	CC	both
,	,	,
as	IN	as
I	PP	I
say	VBP	say
,	,	,
a	DT	a
respectful	JJ	respectful
and	CC	and
an	DT	an
impious	JJ	impious
way	NN	way
of	IN	of
going	VBG	go
through	IN	through
religions	NNS	religion
and	CC	and
saying	VBG	say
,	,	,
"	''	"
What	WP	what
here	RB	here
could	MD	could
we	PP	we
use	VB	use
?	SENT	?
"	``	"
The	DT	the
secular	JJ	secular
world	NN	world
is	VBZ	be
full	JJ	full
of	IN	of
holes	NNS	hole
.	SENT	.
We	PP	we
have	VBP	have
secularized	VBN	secularize
badly	RB	badly
,	,	,
I	PP	I
would	MD	would
argue	VB	argue
.	SENT	.
And	CC	and
a	DT	a
thorough	JJ	thorough
study	NN	study
of	IN	of
religion	NN	religion
could	MD	could
give	VB	give
us	PP	us
all	DT	all
sorts	NNS	sort
of	IN	of
insights	NNS	insight
into	IN	into
areas	NNS	area
of	IN	of
life	NN	life
that	WDT	that
are	VBP	be
not	RB	not
going	VBG	go
too	RB	too
well	RB	well
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
run	VB	run
through	IN	through
a	DT	a
few	JJ	few
of	IN	of
these	DT	these
today	NN	today
.	SENT	.
I	NP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
kick	VB	kick
off	RP	off
by	IN	by
looking	VBG	look
at	IN	at
education	NN	education
.	SENT	.
Now	RB	now
education	NN	education
is	VBZ	be
a	DT	a
field	NN	field
the	DT	the
secular	JJ	secular
world	NN	world
really	RB	really
believes	VBZ	believe
in	IN	in
.	SENT	.
When	WRB	when
we	PP	we
think	VBP	think
about	RB	about
how	WRB	how
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
make	VB	make
the	DT	the
world	NN	world
a	DT	a
better	JJR	good
place	NN	place
,	,	,
we	PP	we
think	VBP	think
education	NN	education
;	:	;
that	WDT	that
'	POS	'
s	NN	S
where	WRB	where
we	PP	we
put	VBD	put
a	DT	a
lot	NN	lot
of	IN	of
money	NN	money
.	SENT	.
Education	NP	Education
is	VBZ	be
going	VBG	go
to	TO	to
give	VB	give
us	PP	us
,	,	,
not	RB	not
only	RB	only
commercial	JJ	commercial
skills	NNS	skill
,	,	,
industrial	JJ	industrial
skills	NNS	skill
,	,	,
it	PP	it
'	POS	'
s	NN	S
also	RB	also
going	VBG	go
to	TO	to
make	VB	make
us	PP	us
better	JJR	good
people	NNS	people
.	SENT	.
You	PP	you
know	VBP	know
the	DT	the
kind	NN	kind
of	IN	of
thing	NN	thing
a	DT	a
commencement	NN	commencement
address	NN	address
is	VBZ	be
,	,	,
and	CC	and
graduation	NN	graduation
ceremonies	NNS	ceremony
,	,	,
those	DT	those
lyrical	JJ	lyrical
claims	NNS	claim
that	DT	that
education	NN	education
,	,	,
the	DT	the
process	NN	process
of	IN	of
education	NN	education
â	NP	<unknown>
particularly	RB	particularly
higher	JJR	high
education	NN	education
â	NP	<unknown>
will	MD	will
make	VB	make
us	PP	us
into	IN	into
nobler	JJR	noble
and	CC	and
better	JJR	good
human	JJ	human
beings	NNS	being
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
a	DT	a
lovely	JJ	lovely
idea	NN	idea
.	SENT	.
Interesting	VBG	interest
where	WRB	where
it	PP	it
came	VBD	come
from	IN	from
.	SENT	.
In	IN	in
the	DT	the
early	JJ	early
19th	JJ	19th
century	NN	century
,	,	,
church	NN	church
attendance	NN	attendance
in	IN	in
Western	NP	Western
Europe	NP	Europe
started	VBD	start
sliding	VBG	slide
down	RB	down
very	RB	very
,	,	,
very	RB	very
sharply	RB	sharply
,	,	,
and	CC	and
people	NNS	people
panicked	VBD	panick
.	SENT	.
They	PP	they
asked	VBD	ask
themselves	PP	themselves
the	DT	the
following	VBG	follow
question	NN	question
.	SENT	.
They	PP	they
said	VBD	say
,	,	,
where	WRB	where
are	VBP	be
people	NNS	people
going	VBG	go
to	TO	to
find	VB	find
the	DT	the
morality	NN	morality
,	,	,
where	WRB	where
are	VBP	be
they	PP	they
going	VBG	go
to	TO	to
find	VB	find
guidance	NN	guidance
,	,	,
and	CC	and
where	WRB	where
are	VBP	be
they	PP	they
going	VBG	go
to	TO	to
find	VB	find
sources	NNS	source
of	IN	of
consolation	NN	consolation
?	SENT	?
And	CC	and
influential	JJ	influential
voices	NNS	voice
came	VBD	come
up	RP	up
with	IN	with
one	CD	one
answer	NN	answer
.	SENT	.
They	PP	they
said	VBD	say
culture	NN	culture
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
to	TO	to
culture	NN	culture
that	IN	that
we	PP	we
should	MD	should
look	VB	look
for	IN	for
guidance	NN	guidance
,	,	,
for	IN	for
consolation	NN	consolation
,	,	,
for	IN	for
morality	NN	morality
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
look	VBP	look
to	TO	to
the	DT	the
plays	NNS	play
of	IN	of
Shakespeare	NP	Shakespeare
,	,	,
the	DT	the
dialogues	NNS	dialogue
of	IN	of
Plato	NP	Plato
,	,	,
the	DT	the
novels	NNS	novel
of	IN	of
Jane	NP	Jane
Austen	NP	Austen
.	SENT	.
In	IN	in
there	RB	there
,	,	,
we	PP	we
'	POS	'
ll	NNS	<unknown>
find	VBP	find
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
truths	NNS	truth
that	IN	that
we	PP	we
might	MD	might
previously	RB	previously
have	VB	have
found	VBN	find
in	IN	in
the	DT	the
Gospel	NN	gospel
of	IN	of
Saint	NP	Saint
John	NP	John
.	SENT	.
Now	RB	now
I	PP	I
think	VBP	think
that	DT	that
'	''	'
s	VBG	<unknown>
a	DT	a
very	RB	very
beautiful	JJ	beautiful
idea	NN	idea
and	CC	and
a	DT	a
very	RB	very
true	JJ	true
idea	NN	idea
.	SENT	.
They	PP	they
wanted	VBD	want
to	TO	to
replace	VB	replace
scripture	NN	scripture
with	IN	with
culture	NN	culture
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
a	DT	a
very	RB	very
plausible	JJ	plausible
idea	NN	idea
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
also	RB	also
an	DT	an
idea	NN	idea
that	IN	that
we	PP	we
have	VBP	have
forgotten	VBN	forget
.	SENT	.
If	IN	if
you	PP	you
went	VBD	go
to	TO	to
a	DT	a
top	JJ	top
university	NN	university
â	NP	<unknown>
let	NN	let
'	POS	'
s	NNS	<unknown>
say	VBP	say
you	PP	you
went	VBD	go
to	TO	to
Harvard	NP	Harvard
or	CC	or
Oxford	NP	Oxford
or	CC	or
Cambridge	NP	Cambridge
â	NP	<unknown>
and	CC	and
you	PP	you
said	VBD	say
,	,	,
"	``	"
I	PP	I
'	POS	'
ve	NNS	<unknown>
come	VBP	come
here	RB	here
because	IN	because
I	PP	I
'	POS	'
m	NN	m
in	IN	in
search	NN	search
of	IN	of
morality	NN	morality
,	,	,
guidance	NN	guidance
and	CC	and
consolation	NN	consolation
;	:	;
I	PP	I
want	VBP	want
to	TO	to
know	VB	know
how	WRB	how
to	TO	to
live	VB	live
,	,	,
"	``	"
they	PP	they
would	MD	would
show	VB	show
you	PP	you
the	DT	the
way	NN	way
to	TO	to
the	DT	the
insane	JJ	insane
asylum	NN	asylum
.	SENT	.
This	DT	this
is	VBZ	be
simply	RB	simply
not	RB	not
what	WP	what
our	PP$	our
grandest	JJS	grand
and	CC	and
best	JJS	good
institutes	NNS	institute
of	IN	of
higher	JJR	high
learning	NN	learning
are	VBP	be
in	IN	in
the	DT	the
business	NN	business
of	IN	of
.	SENT	.
Why	WRB	why
?	SENT	?
They	PP	they
don	VBP	don
'	''	'
t	NN	t
think	VBP	think
we	PP	we
need	VBP	need
it	PP	it
.	SENT	.
They	PP	they
don	VBP	don
'	''	'
t	NN	t
think	VBP	think
we	PP	we
are	VBP	be
in	IN	in
an	DT	an
urgent	JJ	urgent
need	NN	need
of	IN	of
assistance	NN	assistance
.	SENT	.
They	PP	they
see	VBP	see
us	PP	us
as	IN	as
adults	NNS	adult
,	,	,
rational	JJ	rational
adults	NNS	adult
.	SENT	.
What	WP	what
we	PP	we
need	VBP	need
is	VBZ	be
information	NN	information
.	SENT	.
We	PP	we
need	VBP	need
data	NNS	datum
,	,	,
we	PP	we
don	VBP	don
'	''	'
t	NN	t
need	MD	need
help	VB	help
.	SENT	.
Now	RB	now
religions	NNS	religion
start	VBP	start
from	IN	from
a	DT	a
very	RB	very
different	JJ	different
place	NN	place
indeed	RB	indeed
.	SENT	.
All	DT	all
religions	NNS	religion
,	,	,
all	DT	all
major	JJ	major
religions	NNS	religion
,	,	,
at	IN	at
various	JJ	various
points	NNS	point
call	VBP	call
us	PP	us
children	NNS	child
.	SENT	.
And	CC	and
like	IN	like
children	NNS	child
,	,	,
they	PP	they
believe	VBP	believe
that	IN	that
we	PP	we
are	VBP	be
in	IN	in
severe	JJ	severe
need	NN	need
of	IN	of
assistance	NN	assistance
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
only	RB	only
just	RB	just
holding	VBG	hold
it	PP	it
together	RB	together
.	SENT	.
Perhaps	RB	perhaps
this	DT	this
is	VBZ	be
just	RB	just
me	PP	me
,	,	,
maybe	RB	maybe
you	PP	you
.	SENT	.
But	CC	but
anyway	RB	anyway
,	,	,
we	PP	we
'	POS	'
re	NN	re
only	RB	only
just	RB	just
holding	VBG	hold
it	PP	it
together	RB	together
.	SENT	.
And	CC	and
we	PP	we
need	MD	need
help	VB	help
.	SENT	.
Of	IN	of
course	NN	course
,	,	,
we	PP	we
need	MD	need
help	VB	help
.	SENT	.
And	CC	and
so	RB	so
we	PP	we
need	VBP	need
guidance	NN	guidance
and	CC	and
we	PP	we
need	VBP	need
didactic	JJ	didactic
learning	NN	learning
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
in	IN	in
the	DT	the
18th	JJ	18th
century	NN	century
in	IN	in
the	DT	the
U	NP	U
.	SENT	.
K	NN	K
.	SENT	.
,	,	,
the	DT	the
greatest	JJS	great
preacher	NN	preacher
,	,	,
greatest	JJS	great
religious	JJ	religious
preacher	NN	preacher
,	,	,
was	VBD	be
a	DT	a
man	NN	man
called	VBD	call
John	NP	John
Wesley	NP	Wesley
,	,	,
who	WP	who
went	VBD	go
up	RP	up
and	CC	and
down	RP	down
this	DT	this
country	NN	country
delivering	VBG	deliver
sermons	NNS	sermon
,	,	,
advising	VBG	advise
people	NNS	people
how	WRB	how
they	PP	they
could	MD	could
live	VB	live
.	SENT	.
He	PP	he
delivered	VBD	deliver
sermons	NNS	sermon
on	IN	on
the	DT	the
duties	NNS	duty
of	IN	of
parents	NNS	parent
to	TO	to
their	PP$	their
children	NNS	child
and	CC	and
children	NNS	child
to	TO	to
their	PP$	their
parents	NNS	parent
,	,	,
the	DT	the
duties	NNS	duty
of	IN	of
the	DT	the
rich	JJ	rich
to	TO	to
the	DT	the
poor	JJ	poor
and	CC	and
the	DT	the
poor	JJ	poor
to	TO	to
the	DT	the
rich	JJ	rich
.	SENT	.
He	PP	he
was	VBD	be
trying	VBG	try
to	TO	to
tell	VB	tell
people	NNS	people
how	WRB	how
they	PP	they
should	MD	should
live	VB	live
through	IN	through
the	DT	the
medium	NN	medium
of	IN	of
sermons	NNS	sermon
,	,	,
the	DT	the
classic	JJ	classic
medium	NN	medium
of	IN	of
delivery	NN	delivery
of	IN	of
religions	NNS	religion
.	SENT	.
Now	RB	now
we	PP	we
'	POS	'
ve	NN	ve
given	VBN	give
up	RP	up
with	IN	with
the	DT	the
idea	NN	idea
of	IN	of
sermons	NNS	sermon
.	SENT	.
If	IN	if
you	PP	you
said	VBD	say
to	TO	to
a	DT	a
modern	JJ	modern
liberal	JJ	liberal
individualist	NN	individualist
,	,	,
"	''	"
Hey	NP	Hey
,	,	,
how	WRB	how
about	RB	about
a	DT	a
sermon	NN	sermon
?	SENT	?
"	``	"
they	PP	they
'	POS	'
d	NN	d
go	VB	go
,	,	,
"	``	"
No	UH	no
,	,	,
no	UH	no
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
need	VBP	need
one	CD	one
of	IN	of
those	DT	those
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
an	DT	an
independent	JJ	independent
,	,	,
individual	JJ	individual
person	NN	person
.	SENT	.
"	``	"
What	WP	what
'	POS	'
s	NNS	<unknown>
the	DT	the
difference	NN	difference
between	IN	between
a	DT	a
sermon	NN	sermon
and	CC	and
our	PP$	our
modern	JJ	modern
,	,	,
secular	JJ	secular
mode	NN	mode
of	IN	of
delivery	NN	delivery
,	,	,
the	DT	the
lecture	NN	lecture
?	SENT	?
Well	RB	well
a	DT	a
sermon	NN	sermon
wants	VBZ	want
to	TO	to
change	VB	change
your	PP$	your
life	NN	life
and	CC	and
a	DT	a
lecture	NN	lecture
wants	VBZ	want
to	TO	to
give	VB	give
you	PP	you
a	DT	a
bit	NN	bit
of	IN	of
information	NN	information
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
we	PP	we
need	VBP	need
to	TO	to
get	VB	get
back	RB	back
to	TO	to
that	DT	that
sermon	NN	sermon
tradition	NN	tradition
.	SENT	.
The	DT	the
tradition	NN	tradition
of	IN	of
sermonizing	VBG	sermonize
is	VBZ	be
hugely	RB	hugely
valuable	JJ	valuable
,	,	,
because	IN	because
we	PP	we
are	VBP	be
in	IN	in
need	NN	need
of	IN	of
guidance	NN	guidance
,	,	,
morality	NN	morality
and	CC	and
consolation	NN	consolation
â	NP	<unknown>
and	CC	and
religions	NNS	religion
know	VBP	know
that	DT	that
.	SENT	.
Another	DT	another
point	NN	point
about	IN	about
education	NN	education
:	:	:
we	PP	we
tend	VBP	tend
to	TO	to
believe	VB	believe
in	IN	in
the	DT	the
modern	JJ	modern
secular	JJ	secular
world	NN	world
that	IN	that
if	IN	if
you	PP	you
tell	VBP	tell
someone	NN	someone
something	NN	something
once	RB	once
,	,	,
they	PP	they
'	POS	'
ll	NNS	<unknown>
remember	VBP	remember
it	PP	it
.	SENT	.
Sit	VB	sit
them	PP	them
in	IN	in
a	DT	a
classroom	NN	classroom
,	,	,
tell	VB	tell
them	PP	them
about	IN	about
Plato	NP	Plato
at	IN	at
the	DT	the
age	NN	age
of	IN	of
20	CD	@card@
,	,	,
send	VB	send
them	PP	them
out	RP	out
for	IN	for
a	DT	a
career	NN	career
in	IN	in
management	NN	management
consultancy	NN	consultancy
for	IN	for
40	CD	@card@
years	NNS	year
,	,	,
and	CC	and
that	IN	that
lesson	NN	lesson
will	MD	will
stick	VB	stick
with	IN	with
them	PP	them
.	SENT	.
Religions	NNS	religion
go	VBP	go
,	,	,
"	``	"
Nonsense	NN	nonsense
.	SENT	.
You	PP	you
need	VBP	need
to	TO	to
keep	VB	keep
repeating	VBG	repeat
the	DT	the
lesson	NN	lesson
10	CD	@card@
times	NNS	time
a	DT	a
day	NN	day
.	SENT	.
So	RB	so
get	VB	get
on	IN	on
your	PP$	your
knees	NNS	knee
and	CC	and
repeat	VB	repeat
it	PP	it
.	SENT	.
"	``	"
That	RB	that
'	''	'
s	NNS	<unknown>
what	WP	what
all	DT	all
religions	NNS	religion
tell	VBP	tell
us	PP	us
:	:	:
"	``	"
Get	VB	get
on	IN	on
you	PP	you
knees	NNS	knee
and	CC	and
repeat	VB	repeat
it	PP	it
10	CD	@card@
or	CC	or
20	CD	@card@
or	CC	or
15	CD	@card@
times	NNS	time
a	DT	a
day	NN	day
.	SENT	.
"	''	"
Otherwise	RB	otherwise
our	PP$	our
minds	NNS	mind
are	VBP	be
like	IN	like
sieves	NNS	sieve
.	SENT	.
So	RB	so
religions	NNS	religion
are	VBP	be
cultures	NNS	culture
of	IN	of
repetition	NN	repetition
.	SENT	.
They	PP	they
circle	VBP	circle
the	DT	the
great	JJ	great
truths	NNS	truth
again	RB	again
and	CC	and
again	RB	again
and	CC	and
again	RB	again
.	SENT	.
We	PP	we
associate	VBP	associate
repetition	NN	repetition
with	IN	with
boredom	NN	boredom
.	SENT	.
"	``	"
Give	VB	give
us	PP	us
the	DT	the
new	JJ	new
,	,	,
"	''	"
we	PP	we
'	POS	'
re	NN	re
always	RB	always
saying	VBG	say
.	SENT	.
"	``	"
The	DT	the
new	JJ	new
is	VBZ	be
better	JJR	good
than	IN	than
the	DT	the
old	JJ	old
.	SENT	.
"	``	"
If	IN	if
I	PP	I
said	VBD	say
to	TO	to
you	PP	you
,	,	,
"	''	"
Okay	NP	Okay
,	,	,
we	PP	we
'	POS	'
re	NN	re
not	RB	not
going	VBG	go
to	TO	to
have	VB	have
new	JJ	new
TED	VBP	ted
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
just	RB	just
going	VBG	go
to	TO	to
run	VB	run
through	IN	through
all	PDT	all
the	DT	the
old	JJ	old
ones	NNS	one
and	CC	and
watch	VB	watch
them	PP	them
five	CD	five
times	NNS	time
because	IN	because
they	PP	they
'	POS	'
re	NN	re
so	RB	so
true	JJ	true
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
watch	VB	watch
Elizabeth	NP	Elizabeth
Gilbert	NP	Gilbert
five	CD	five
times	NNS	time
because	IN	because
what	WP	what
she	PP	she
says	VBZ	say
is	VBZ	be
so	RB	so
clever	JJ	clever
,	,	,
"	''	"
you	PP	you
'	POS	'
d	NN	d
feel	NN	feel
cheated	VBD	cheat
.	SENT	.
Not	RB	not
so	RB	so
if	IN	if
you	PP	you
'	POS	'
re	NN	re
adopting	VBG	adopt
a	DT	a
religious	JJ	religious
mindset	NN	mindset
.	SENT	.
The	DT	the
other	JJ	other
things	NNS	thing
that	WDT	that
religions	NNS	religion
do	VBP	do
is	VBZ	be
to	TO	to
arrange	VB	arrange
time	NN	time
.	SENT	.
All	PDT	all
the	DT	the
major	JJ	major
religions	NNS	religion
give	VBP	give
us	PP	us
calendars	VBZ	calendar
.	SENT	.
What	WP	what
is	VBZ	be
a	DT	a
calendar	NN	calendar
?	SENT	?
A	DT	a
calendar	NN	calendar
is	VBZ	be
a	DT	a
way	NN	way
of	IN	of
making	VBG	make
sure	JJ	sure
that	IN	that
across	IN	across
the	DT	the
year	NN	year
you	PP	you
will	MD	will
bump	VB	bump
into	IN	into
certain	JJ	certain
very	JJ	very
important	JJ	important
ideas	NNS	idea
.	SENT	.
In	IN	in
the	DT	the
Catholic	JJ	Catholic
chronology	NN	chronology
,	,	,
Catholic	JJ	Catholic
calendar	NN	calendar
,	,	,
at	IN	at
the	DT	the
end	NN	end
of	IN	of
March	NP	March
you	PP	you
will	MD	will
think	VB	think
about	IN	about
St	NP	St
.	SENT	.
Jerome	NP	Jerome
and	CC	and
his	PP$	his
qualities	NNS	quality
of	IN	of
humility	NN	humility
and	CC	and
goodness	NN	goodness
and	CC	and
his	PP$	his
generosity	NN	generosity
to	TO	to
the	DT	the
poor	JJ	poor
.	SENT	.
You	PP	you
won	VBD	win
'	''	'
t	NN	t
do	VBP	do
that	IN	that
by	IN	by
accident	NN	accident
;	:	;
you	PP	you
will	MD	will
do	VB	do
that	IN	that
because	IN	because
you	PP	you
are	VBP	be
guided	VBN	guide
to	TO	to
do	VB	do
