Anna	NP	Anna
.	SENT	.
It	PP	it
is	VBZ	be
very	RB	very
intentional	JJ	intentional
.	SENT	.
Like	IN	like
I	PP	I
said	VBD	say
,	,	,
with	IN	with
"	``	"
Hidden	NP	Hidden
Figures	NNS	figure
"	''	"
as	IN	as
an	DT	an
example	NN	example
,	,	,
why	WRB	why
would	MD	would
we	PP	we
not	RB	not
know	VBP	know
that	IN	that
Black	NP	Black
women	NNS	woman
were	VBD	be
the	DT	the
mathematicians	NNS	mathematician
called	VBD	call
"	``	"
the	DT	the
computers	NNS	computer
"	''	"
behind	IN	behind
a	DT	a
space	NN	space
launch	NN	launch
?	SENT	?
That	DT	that
is	VBZ	be
critical	JJ	critical
information	NN	information
for	IN	for
our	PP$	our
history	NN	history
.	SENT	.
And	CC	and
for	IN	for
me	PP	me
to	TO	to
think	VB	think
as	IN	as
a	DT	a
young	JJ	young
Black	NP	Black
woman	NN	woman
,	,	,
when	WRB	when
I	PP	I
was	VBD	be
sitting	VBG	sit
in	IN	in
school	NN	school
,	,	,
when	WRB	when
I	PP	I
was	VBD	be
a	DT	a
young	JJ	young
Black	NP	Black
girl	NN	girl
,	,	,
what	WP	what
that	RB	that
could	MD	could
have	VB	have
meant	VBN	mean
to	TO	to
me	PP	me
to	TO	to
know	VB	know
that	DT	that
.	SENT	.
That	IN	that
it	PP	it
was	VBD	be
a	DT	a
part	NN	part
not	RB	not
only	RB	only
of	IN	of
--	:	--
I	PP	I
could	MD	could
not	RB	not
be	VB	be
the	DT	the
first	JJ	first
Black	NP	Black
woman	NN	woman
to	TO	to
do	VB	do
something	NN	something
,	,	,
but	CC	but
that	IN	that
there	EX	there
was	VBD	be
a	DT	a
history	NN	history
before	IN	before
me	PP	me
of	IN	of
Black	JJ	Black
female	JJ	female
mathematicians	NNS	mathematician
and	CC	and
these	DT	these
brilliant	JJ	brilliant
brains	NNS	brain
.	SENT	.
And	CC	and
even	RB	even
as	RB	as
much	RB	much
as	RB	as
,	,	,
you	PP	you
know	VBP	know
,	,	,
my	PP$	my
parents	NNS	parent
educated	VBD	educate
me	PP	me
on	IN	on
my	PP$	my
Black	NP	Black
history	NN	history
and	CC	and
my	PP$	my
African	JJ	African
history	NN	history
because	IN	because
even	RB	even
I	PP	I
have	VBP	have
a	DT	a
privilege	NN	privilege
that	IN	that
many	JJ	many
Black	NP	Black
Americans	NPS	Americans
do	VBP	do
not	RB	not
have	VB	have
.	SENT	.
I	PP	I
knew	VBD	know
my	PP$	my
connection	NN	connection
to	TO	to
my	PP$	my
lineage	NN	lineage
in	IN	in
Ghana	NP	Ghana
,	,	,
etc	FW	etc
.	SENT	.
So	RB	so
much	RB	much
of	IN	of
this	DT	this
history	NN	history
has	VBZ	have
been	VBN	be
robbed	VBN	rob
from	IN	from
us	PP	us
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
a	DT	a
very	RB	very
strategic	JJ	strategic
robbing	VBG	rob
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
a	DT	a
mistake	NN	mistake
.	SENT	.
So	RB	so
that	IN	that
,	,	,
just	RB	just
thinking	VBG	think
from	IN	from
that	DT	that
perspective	NN	perspective
,	,	,
we	PP	we
want	VBP	want
to	TO	to
continue	VB	continue
to	TO	to
uncover	VB	uncover
more	JJR	more
and	CC	and
more	JJR	more
stories	NNS	story
of	IN	of
those	DT	those
who	WP	who
have	VBP	have
been	VBN	be
intentionally	RB	intentionally
marginalized	VBN	marginalize
,	,	,
intentionally	RB	intentionally
oppressed	VBN	oppress
.	SENT	.
Because	IN	because
the	DT	the
more	RBR	more
we	PP	we
can	MD	can
correct	VB	correct
our	PP$	our
telling	VBG	tell
of	IN	of
that	DT	that
story	NN	story
and	CC	and
that	DT	that
history	NN	history
,	,	,
the	DT	the
better	RBR	well
we	PP	we
'	POS	'
ll	NNS	<unknown>
do	VBP	do
moving	VBG	move
forward	RB	forward
.	SENT	.
So	IN	so
these	DT	these
attacks	NNS	attack
on	IN	on
telling	VBG	tell
history	NN	history
right	RB	right
now	RB	now
,	,	,
it	PP	it
'	POS	'
s	NN	S
very	RB	very
strategic	JJ	strategic
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
,	,	,
again	RB	again
,	,	,
a	DT	a
mistake	NN	mistake
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
something	NN	something
that	IN	that
people	NNS	people
are	VBP	be
doing	VBG	do
unconsciously	RB	unconsciously
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
very	RB	very
:	:	:
"	``	"
We	PP	we
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
to	TO	to
tell	VB	tell
the	DT	the
truth	NN	truth
.	SENT	.
"	``	"
And	CC	and
we	PP	we
all	RB	all
need	VBP	need
to	TO	to
reckon	VB	reckon
with	IN	with
that	DT	that
,	,	,
and	CC	and
we	PP	we
need	VBP	need
to	TO	to
fight	VB	fight
against	IN	against
that	DT	that
.	SENT	.
WPR	NN	WPR
:	:	:
I	PP	I
think	VBP	think
that	IN	that
it	PP	it
'	POS	'
s	NN	S
really	RB	really
interesting	JJ	interesting
in	IN	in
the	DT	the
book	NN	book
that	IN	that
you	PP	you
draw	VBP	draw
these	DT	these
parallels	NNS	parallel
between	IN	between
what	WP	what
was	VBD	be
happening	VBG	happen
in	IN	in
the	DT	the
lives	NNS	life
of	IN	of
these	DT	these
three	CD	three
women	NNS	woman
and	CC	and
what	WP	what
we	PP	we
'	''	'
re	IN	re
seeing	VBG	see
happening	NN	happening
,	,	,
you	PP	you
know	VBP	know
,	,	,
play	VBP	play
out	RP	out
in	IN	in
the	DT	the
news	NN	news
today	NN	today
or	CC	or
have	VBP	have
seen	VBN	see
happen	VB	happen
at	IN	at
other	JJ	other
moments	NNS	moment
in	IN	in
history	NN	history
during	IN	during
their	PP$	their
lives	NNS	life
.	SENT	.
And	CC	and
you	PP	you
know	VBP	know
,	,	,
I	PP	I
'	POS	'
m	NN	m
curious	JJ	curious
to	TO	to
hear	VB	hear
how	WRB	how
you	PP	you
think	VBP	think
writing	VBG	write
this	DT	this
book	NN	book
changed	VBD	change
your	PP$	your
perspective	NN	perspective
on	IN	on
the	DT	the
experiences	NNS	experience
of	IN	of
mothers	NNS	mother
currently	RB	currently
,	,	,
just	RB	just
how	WRB	how
you	PP	you
think	VBP	think
about	IN	about
motherhood	NN	motherhood
today	NN	today
.	SENT	.
AMT	NP	AMT
:	:	:
Yeah	RB	yeah
,	,	,
this	DT	this
is	VBZ	be
something	NN	something
that	IN	that
I	PP	I
already	RB	already
knew	VBD	know
was	VBD	be
an	DT	an
issue	NN	issue
.	SENT	.
Going	VBG	go
back	RB	back
to	TO	to
my	PP$	my
mom	NN	mom
,	,	,
she	PP	she
would	MD	would
always	RB	always
say	VB	say
,	,	,
in	IN	in
every	DT	every
place	NN	place
that	IN	that
we	PP	we
travel	VBP	travel
to	TO	to
pay	VB	pay
attention	NN	attention
to	TO	to
how	WRB	how
women	NNS	woman
are	VBP	be
being	VBG	be
treated	VBN	treat
in	IN	in
the	DT	the
society	NN	society
,	,	,
how	WRB	how
mothers	NNS	mother
,	,	,
very	RB	very
specifically	RB	specifically
,	,	,
are	VBP	be
being	VBG	be
treated	VBN	treat
.	SENT	.
That	DT	that
is	VBZ	be
an	DT	an
indicator	NN	indicator
on	IN	on
how	WRB	how
successful	JJ	successful
this	DT	this
community	NN	community
will	MD	will
be	VB	be
.	SENT	.
And	CC	and
so	RB	so
I	PP	I
always	RB	always
carry	VBP	carry
that	IN	that
in	IN	in
the	DT	the
back	NN	back
of	IN	of
my	PP$	my
mind	NN	mind
,	,	,
I	PP	I
was	VBD	be
always	RB	always
aware	JJ	aware
that	IN	that
,	,	,
when	WRB	when
I	PP	I
moved	VBD	move
back	RB	back
to	TO	to
the	DT	the
US	NP	US
,	,	,
for	IN	for
instance	NN	instance
,	,	,
that	WDT	that
we	PP	we
weren	NNS	<unknown>
'	POS	'
t	NN	t
really	RB	really
giving	VBG	give
mothers	NNS	mother
the	DT	the
support	NN	support
that	IN	that
they	PP	they
deserved	VBD	deserve
;	:	;
we	PP	we
certainly	RB	certainly
weren	NNS	<unknown>
'	POS	'
t	NN	t
giving	VBG	give
them	PP	them
the	DT	the
celebration	NN	celebration
that	IN	that
they	PP	they
deserve	VBP	deserve
,	,	,
and	CC	and
therefore	RB	therefore
the	DT	the
support	NN	support
was	VBD	be
lacking	VBG	lack
.	SENT	.
And	CC	and
there	EX	there
was	VBD	be
this	DT	this
lack	NN	lack
of	IN	of
understanding	VBG	understand
around	RP	around
the	DT	the
critical	JJ	critical
importance	NN	importance
of	IN	of
the	DT	the
role	NN	role
.	SENT	.
But	CC	but
in	IN	in
putting	VBG	put
this	DT	this
book	NN	book
out	IN	out
there	RB	there
,	,	,
and	CC	and
even	RB	even
doing	VBG	do
the	DT	the
TED	VBP	ted
Talk	NN	talk
and	CC	and
speaking	VBG	speak
to	TO	to
so	RB	so
many	JJ	many
different	JJ	different
audiences	NNS	audience
around	IN	around
this	DT	this
,	,	,
it	PP	it
is	VBZ	be
a	DT	a
dire	JJ	dire
situation	NN	situation
for	IN	for
mothers	NNS	mother
.	SENT	.
And	CC	and
whether	IN	whether
that	DT	that
'	''	'
s	NN	S
on	IN	on
a	DT	a
personal	JJ	personal
level	NN	level
,	,	,
where	WRB	where
those	DT	those
who	WP	who
have	VBP	have
come	VBN	come
up	RP	up
to	TO	to
me	PP	me
and	CC	and
said	VBD	say
,	,	,
"	``	"
I	PP	I
am	VBP	be
the	DT	the
mom	NN	mom
who	WP	who
feels	VBZ	feel
unappreciated	JJ	<unknown>
in	IN	in
my	PP$	my
household	NN	household
right	RB	right
now	RB	now
.	SENT	.
"	''	"
"	``	"
I	PP	I
am	VBP	be
the	DT	the
mom	NN	mom
who	WP	who
feels	VBZ	feel
unseen	JJ	unseen
.	SENT	.
"	''	"
To	TO	to
this	DT	this
national	JJ	national
level	NN	level
of	IN	of
a	DT	a
crisis	NN	crisis
where	WRB	where
we	PP	we
are	VBP	be
fighting	VBG	fight
for	IN	for
weeks	NNS	week
of	IN	of
parental	JJ	parental
leave	NN	leave
,	,	,
mere	JJ	mere
weeks	NNS	week
.	SENT	.
This	DT	this
is	VBZ	be
.	SENT	.
.	SENT	.
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
upsetting	NN	upsetting
,	,	,
and	CC	and
we	PP	we
should	MD	should
be	VB	be
embarrassed	VBN	embarrass
by	IN	by
that	DT	that
.	SENT	.
These	DT	these
are	VBP	be
things	NNS	thing
that	WDT	that
should	MD	should
have	VB	have
been	VBN	be
established	VBN	establish
by	IN	by
now	RB	now
,	,	,
and	CC	and
I	PP	I
really	RB	really
do	VBP	do
--	:	--
and	CC	and
I	PP	I
say	VBP	say
this	DT	this
in	IN	in
the	DT	the
TED	VBP	ted
Talk	NN	talk
--	:	--
I	PP	I
truly	RB	truly
hope	VBP	hope
that	IN	that
within	IN	within
my	PP$	my
lifetime	NN	lifetime
,	,	,
we	PP	we
can	MD	can
usher	VB	usher
in	IN	in
a	DT	a
shift	NN	shift
that	WDT	that
starts	VBZ	start
with	IN	with
first	RB	first
saying	VBG	say
:	:	:
"	``	"
Mothers	NNS	mother
are	VBP	be
essential	JJ	essential
.	SENT	.
"	``	"
We	PP	we
need	VBP	need
mothers	NNS	mother
to	TO	to
be	VB	be
supported	VBN	support
because	IN	because
they	PP	they
are	VBP	be
holding	VBG	hold
so	RB	so
much	RB	much
of	IN	of
our	PP$	our
lives	NNS	life
together	RB	together
,	,	,
our	PP$	our
society	NN	society
together	RB	together
.	SENT	.
Stay-at-home	JJ	stay-at-home
moms	NNS	mom
are	VBP	be
performing	VBG	perform
some	DT	some
of	IN	of
the	DT	the
most	RBS	most
important	JJ	important
work	NN	work
in	IN	in
our	PP$	our
country	NN	country
,	,	,
and	CC	and
we	PP	we
are	VBP	be
devaluing	VBG	devalue
them	PP	them
.	SENT	.
And	CC	and
not	RB	not
only	RB	only
that	IN	that
,	,	,
we	PP	we
are	VBP	be
making	VBG	make
them	PP	them
feel	VBP	feel
bad	JJ	bad
about	IN	about
what	WP	what
they	PP	they
are	VBP	be
doing	VBG	do
.	SENT	.
This	DT	this
really	RB	really
is	VBZ	be
an	DT	an
issue	NN	issue
that	IN	that
more	JJR	more
of	IN	of
us	PP	us
need	VBP	need
to	TO	to
take	VB	take
on	RP	on
.	SENT	.
Going	VBG	go
back	RB	back
to	TO	to
that	DT	that
very	RB	very
first	JJ	first
question	NN	question
,	,	,
why	WRB	why
this	DT	this
is	VBZ	be
an	DT	an
issue	NN	issue
for	IN	for
everybody	NN	everybody
to	TO	to
care	VB	care
about	RB	about
.	SENT	.
And	CC	and
it	PP	it
sounds	VBZ	sound
obvious	JJ	obvious
,	,	,
but	CC	but
we	PP	we
shouldn	NN	<unknown>
'	''	'
t	NN	t
have	VBP	have
to	TO	to
say	VB	say
that	IN	that
if	IN	if
mothers	NNS	mother
are	VBP	be
dying	VBG	die
in	IN	in
a	DT	a
maternal	JJ	maternal
health	NN	health
crisis	NN	crisis
--	:	--
one	CD	one
that	WDT	that
is	VBZ	be
exacerbated	VBN	exacerbate
for	IN	for
Black	NP	Black
women	NNS	woman
--	:	--
the	DT	the
Black	NP	Black
maternal	JJ	maternal
health	NN	health
crisis	NN	crisis
is	VBZ	be
alarming	JJ	alarming
,	,	,
but	CC	but
generally	RB	generally
the	DT	the
maternal	JJ	maternal
health	NN	health
crisis	NN	crisis
in	IN	in
the	DT	the
US	NP	US
is	VBZ	be
terrible	JJ	terrible
.	SENT	.
It	PP	it
shouldn	NNS	<unknown>
'	''	'
t	NN	t
be	VB	be
this	DT	this
way	NN	way
.	SENT	.
Mothers	NNS	mother
of	IN	of
all	DT	all
races	NNS	race
are	VBP	be
dying	VBG	die
more	RBR	more
than	IN	than
they	PP	they
should	MD	should
be	VB	be
.	SENT	.
We	PP	we
need	VBP	need
to	TO	to
pay	VB	pay
attention	NN	attention
to	TO	to
that	DT	that
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
not	RB	not
only	RB	only
bad	JJ	bad
for	IN	for
mothers	NNS	mother
,	,	,
obviously	RB	obviously
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
only	RB	only
bad	JJ	bad
for	IN	for
mothers	NNS	mother
if	IN	if
they	PP	they
have	VBP	have
to	TO	to
walk	VB	walk
away	RP	away
from	IN	from
their	PP$	their
job	NN	job
during	IN	during
the	DT	the
pandemic	NN	pandemic
because	IN	because
there	EX	there
were	VBD	be
no	DT	no
supports	NNS	support
in	IN	in
place	NN	place
to	TO	to
catch	VB	catch
them	PP	them
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
only	RB	only
bad	JJ	bad
for	IN	for
mothers	NNS	mother
if	IN	if
they	PP	they
have	VBP	have
to	TO	to
choose	VB	choose
between	IN	between
being	VBG	be
a	DT	a
mother	NN	mother
or	CC	or
making	VBG	make
money	NN	money
for	IN	for
their	PP$	their
family	NN	family
.	SENT	.
That	DT	that
shouldn	NN	<unknown>
'	POS	'
t	NN	t
be	VB	be
put	VBN	put
on	IN	on
their	PP$	their
shoulders	NNS	shoulder
.	SENT	.
There	EX	there
should	MD	should
be	VB	be
supports	NNS	support
in	IN	in
place	NN	place
.	SENT	.
We	PP	we
should	MD	should
have	VB	have
affordable	JJ	affordable
child	NN	child
care	NN	care
.	SENT	.
We	PP	we
should	MD	should
have	VB	have
universal	JJ	universal
preschool	JJ	preschool
.	SENT	.
All	DT	all
of	IN	of
these	DT	these
things	NNS	thing
that	IN	that
impact	NN	impact
mothers	NNS	mother
have	VBP	have
ripple	JJ	ripple
effects	NNS	effect
for	IN	for
the	DT	the
rest	NN	rest
of	IN	of
us	PP	us
.	SENT	.
So	RB	so
,	,	,
yes	UH	yes
,	,	,
it	PP	it
opened	VBD	open
my	PP$	my
eyes	NNS	eye
to	TO	to
just	RB	just
how	WRB	how
alarming	VBG	alarm
and	CC	and
how	WRB	how
critical	JJ	critical
a	DT	a
situation	NN	situation
we	PP	we
'	POS	'
re	NN	re
currently	RB	currently
in	IN	in
.	SENT	.
Even	RB	even
though	RB	though
,	,	,
again	RB	again
,	,	,
my	PP$	my
mom	NN	mom
raised	VBD	raise
me	PP	me
to	TO	to
know	VB	know
all	DT	all
of	IN	of
these	DT	these
things	NNS	thing
.	SENT	.
Through	IN	through
doing	VBG	do
this	DT	this
work	NN	work
,	,	,
I	PP	I
'	POS	'
ve	NN	ve
just	RB	just
now	RB	now
been	VBN	be
kind	NN	kind
of	IN	of
awoken	VBN	awake
to	TO	to
the	DT	the
need	NN	need
for	IN	for
people	NNS	people
to	TO	to
open	VB	open
their	PP$	their
eyes	NNS	eye
right	RB	right
now	RB	now
.	SENT	.
WPR	NP	WPR
:	:	:
M	NP	M
.	SENT	.
Watson	NP	Watson
has	VBZ	have
a	DT	a
question	NN	question
that	IN	that
actually	RB	actually
kind	NN	kind
of	IN	of
piggybacks	NNS	piggyback
on	IN	on
this	DT	this
more	JJR	more
than	IN	than
just	RB	just
thinking	VBG	think
about	RB	about
how	WRB	how
we	PP	we
can	MD	can
gain	VB	gain
access	NN	access
to	TO	to
these	DT	these
stories	NNS	story
,	,	,
they	PP	they
want	VBP	want
to	TO	to
know	VB	know
,	,	,
you	PP	you
know	VBP	know
,	,	,
what	WP	what
do	VBP	do
you	PP	you
feel	VBP	feel
is	VBZ	be
the	DT	the
most	RBS	most
effective	JJ	effective
way	NN	way
we	PP	we
can	MD	can
,	,	,
as	IN	as
a	DT	a
people	NNS	people
,	,	,
change	VB	change
the	DT	the
narrative	NN	narrative
around	IN	around
Black	NP	Black
women	NNS	woman
?	SENT	?
You	PP	you
know	VBP	know
,	,	,
if	IN	if
you	PP	you
have	VBP	have
any	DT	any
specific	JJ	specific
examples	NNS	example
which	WDT	which
I	PP	I
know	VBP	know
you	PP	you
share	VB	share
some	DT	some
in	IN	in
your	PP$	your
talk	NN	talk
,	,	,
They	PP	they
ask	VBP	ask
,	,	,
"	``	"
How	WRB	how
can	MD	can
I	PP	I
personally	RB	personally
be	VB	be
involved	VBN	involve
in	IN	in
this	DT	this
work	NN	work
of	IN	of
changing	VBG	change
this	DT	this
narrative	NN	narrative
?	SENT	?
"	''	"
AMT	NP	AMT
:	:	:
Great	JJ	great
question	NN	question
,	,	,
and	CC	and
there	EX	there
are	VBP	be
levels	NNS	level
to	TO	to
this	DT	this
.	SENT	.
I	PP	I
would	MD	would
say	VB	say
definitely	RB	definitely
understanding	VBG	understand
the	DT	the
history	NN	history
of	IN	of
how	WRB	how
Black	JJ	Black
women	NNS	woman
have	VBP	have
been	VBN	be
treated	VBN	treat
is	VBZ	be
very	RB	very
important	JJ	important
.	SENT	.
So	RB	so
again	RB	again
,	,	,
it	PP	it
'	POS	'
s	NN	S
a	DT	a
shameless	JJ	shameless
plug	NN	plug
,	,	,
but	CC	but
read	VB	read
the	DT	the
book	NN	book
.	SENT	.
I	PP	I
talk	VBP	talk
about	RB	about
not	RB	not
only	RB	only
these	DT	these
three	CD	three
women	NNS	woman
,	,	,
but	CC	but
again	RB	again
many	JJ	many
of	IN	of
the	DT	the
goals	NNS	goal
that	IN	that
I	PP	I
had	VBD	have
,	,	,
one	CD	one
of	IN	of
them	PP	them
also	RB	also
was	VBD	be
to	TO	to
explain	VB	explain
tropes	NNS	trope
like	IN	like
the	DT	the
mammy	NN	mammy
and	CC	and
the	DT	the
matriarch	NN	matriarch
trope	NN	trope
and	CC	and
the	DT	the
Jezebel	NP	Jezebel
trope	NN	trope
and	CC	and
the	DT	the
"	``	"
welfare	NN	welfare
queen	NN	queen
"	''	"
and	CC	and
the	DT	the
strong	JJ	strong
Black	NP	Black
woman	NN	woman
trope	NN	trope
.	SENT	.
What	WP	what
all	DT	all
of	IN	of
these	DT	these
have	VBP	have
meant	VBN	mean
in	IN	in
American	JJ	American
history	NN	history
and	CC	and
what	WP	what
their	PP$	their
intention	NN	intention
was	VBD	be
.	SENT	.
And	CC	and
that	WDT	that
is	VBZ	be
to	TO	to
say	VB	say
that	DT	that
anything	NN	anything
Black	NN	black
women	NNS	woman
were	VBD	be
dealing	VBG	deal
with	IN	with
was	VBD	be
their	PP$	their
own	JJ	own
fault	NN	fault
.	SENT	.
That	IN	that
,	,	,
with	IN	with
the	DT	the
mammy	NN	mammy
trope	NN	trope
,	,	,
that	WDT	that
we	PP	we
didn	NP	<unknown>
'	POS	'
t	NN	t
deserve	VBP	deserve
necessarily	RB	necessarily
to	TO	to
be	VB	be
compensated	VBN	compensate
for	IN	for
work	NN	work
that	IN	that
we	PP	we
were	VBD	be
doing	VBG	do
,	,	,
that	IN	that
we	PP	we
deserved	VBD	deserve
to	TO	to
stay	VB	stay
within	IN	within
domestic	JJ	domestic
work	NN	work
and	CC	and
that	IN	that
we	PP	we
shouldn	NNS	<unknown>
'	POS	'
t	NN	t
necessarily	RB	necessarily
be	VB	be
paid	VBN	pay
what	WP	what
that	DT	that
work	NN	work
was	VBD	be
worth	JJ	worth
because	IN	because
we	PP	we
liked	VBD	like
it	PP	it
and	CC	and
we	PP	we
were	VBD	be
happy	JJ	happy
to	TO	to
be	VB	be
the	DT	the
mammy	NN	mammy
.	SENT	.
The	DT	the
Aunt	NN	aunt
