Hi	NP	Hi
of	IN	of
Indigenous	JJ	indigenous
foods	NNS	food
.	SENT	.
And	CC	and
even	RB	even
for	IN	for
myself	PP	myself
,	,	,
I	PP	I
realized	VBD	realize
that	IN	that
I	PP	I
couldn	NNS	<unknown>
'	POS	'
t	NN	t
even	RB	even
name	NN	name
--	:	--
I	PP	I
could	MD	could
name	VB	name
less	JJR	less
than	IN	than
a	DT	a
handful	NN	handful
of	IN	of
Lakota	NP	Lakota
recipes	NNS	recipe
that	WDT	that
were	VBD	be
truly	RB	truly
Lakota	NP	Lakota
,	,	,
things	NNS	thing
without	IN	without
cream	NN	cream
of	IN	of
mushroom	NN	mushroom
soup	NN	soup
in	IN	in
it	PP	it
,	,	,
right	RB	right
?	SENT	?
So	RB	so
I	PP	I
was	VBD	be
really	RB	really
trying	VBG	try
--	:	--
It	PP	it
,	,	,
you	PP	you
know	VBP	know
,	,	,
put	VBP	put
me	PP	me
on	IN	on
a	DT	a
path	NN	path
to	TO	to
try	VB	try
and	CC	and
understand	VB	understand
what	WP	what
happened	VBD	happen
,	,	,
like	IN	like
where	WRB	where
are	VBP	be
all	PDT	all
the	DT	the
Native	JJ	native
American	JJ	American
foods	NNS	food
at	IN	at
,	,	,
you	PP	you
know	VBP	know
?	SENT	?
And	CC	and
so	IN	so
it	PP	it
'	POS	'
s	RB	<unknown>
been	VBN	be
really	RB	really
interesting	JJ	interesting
.	SENT	.
So	IN	so
Indigenous	JJ	indigenous
foods	NNS	food
,	,	,
that	DT	that
shouldn	NN	<unknown>
'	POS	'
t	NN	t
be	VB	be
--	:	--
there	RB	there
shouldn	NN	<unknown>
'	''	'
t	NN	t
be	VB	be
a	DT	a
big	JJ	big
question	NN	question
mark	NN	mark
,	,	,
you	PP	you
know	VBP	know
,	,	,
we	PP	we
should	MD	should
know	VB	know
about	IN	about
it	PP	it
,	,	,
because	IN	because
no	DT	no
matter	NN	matter
where	WRB	where
we	PP	we
are	VBP	be
in	IN	in
North	NP	North
America	NP	America
,	,	,
we	PP	we
'	POS	'
re	NN	re
--	:	--
you	PP	you
know	VBP	know
,	,	,
North	NP	North
America	NP	America
obviously	RB	obviously
begins	VBZ	begin
,	,	,
all	DT	all
of	IN	of
its	PP$	its
history	NN	history
begins	VBZ	begin
with	IN	with
Indigenous	JJ	indigenous
history	NN	history
,	,	,
right	RB	right
?	SENT	?
And	CC	and
no	DT	no
matter	NN	matter
where	WRB	where
we	PP	we
are	VBP	be
,	,	,
we	PP	we
'	POS	'
re	NN	re
standing	NN	standing
on	IN	on
indigenous	JJ	indigenous
land	NN	land
.	SENT	.
And	CC	and
so	RB	so
we	PP	we
should	MD	should
have	VB	have
a	DT	a
really	RB	really
good	JJ	good
,	,	,
strong	JJ	strong
sense	NN	sense
of	IN	of
Native	JJ	native
American	JJ	American
food	NN	food
because	IN	because
it	PP	it
'	POS	'
s	NN	S
just	RB	just
the	DT	the
land	NN	land
that	IN	that
we	PP	we
'	POS	'
re	NN	re
on	RB	on
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
just	RB	just
the	DT	the
history	NN	history
of	IN	of
the	DT	the
land	NN	land
that	IN	that
we	PP	we
'	POS	'
re	NN	re
on	RB	on
.	SENT	.
So	RB	so
for	IN	for
us	PP	us
,	,	,
it	PP	it
became	VBD	become
more	RBR	more
than	IN	than
just	RB	just
serving	VBG	serve
foods	NNS	food
.	SENT	.
It	PP	it
really	RB	really
became	VBD	become
talking	VBG	talk
about	IN	about
it	PP	it
and	CC	and
talking	VBG	talk
about	RB	about
why	WRB	why
it	PP	it
isn	NP	isn
'	POS	'
t	NN	t
here	RB	here
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	VBG	<unknown>
a	DT	a
really	RB	really
important	JJ	important
story	NN	story
for	IN	for
us	PP	us
to	TO	to
know	VB	know
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
also	RB	also
really	RB	really
important	JJ	important
to	TO	to
see	VB	see
the	DT	the
benefit	NN	benefit
of	IN	of
why	WRB	why
understanding	JJ	understanding
Indigenous	JJ	indigenous
foods	NNS	food
could	MD	could
really	RB	really
help	VB	help
all	DT	all
of	IN	of
us	PP	us
in	IN	in
the	DT	the
future	NN	future
.	SENT	.
So	RB	so
,	,	,
you	PP	you
know	VBP	know
,	,	,
but	CC	but
where	WRB	where
are	VBP	be
all	PDT	all
the	DT	the
Native	JJ	native
American	JJ	American
restaurants	NNS	restaurant
?	SENT	?
We	PP	we
live	VBP	live
in	IN	in
a	DT	a
world	NN	world
today	NN	today
,	,	,
you	PP	you
know	VBP	know
,	,	,
where	WRB	where
we	PP	we
have	VBP	have
--	:	--
as	IN	as
the	DT	the
US	NP	US
,	,	,
we	PP	we
'	POS	'
re	NN	re
like	IN	like
food	NN	food
capitals	NNS	capital
of	IN	of
the	DT	the
world	NN	world
,	,	,
right	RB	right
?	SENT	?
We	PP	we
have	VBP	have
some	DT	some
of	IN	of
the	DT	the
best	JJS	good
restaurants	NNS	restaurant
in	IN	in
New	NP	New
York	NP	York
City	NP	City
,	,	,
in	IN	in
Chicago	NP	Chicago
and	CC	and
LA	NP	LA
,	,	,
and	CC	and
zero	CD	zero
Indigenous	JJ	indigenous
restaurants	NNS	restaurant
that	WDT	that
are	VBP	be
focused	VBN	focus
on	IN	on
the	DT	the
land	NN	land
that	IN	that
they	PP	they
'	POS	'
re	NN	re
sitting	VBG	sit
on	IN	on
,	,	,
which	WDT	which
is	VBZ	be
kind	NN	kind
of	IN	of
insane	NN	insane
.	SENT	.
You	PP	you
can	MD	can
have	VB	have
every	DT	every
other	JJ	other
restaurants	NNS	restaurant
--	:	--
and	CC	and
Indian	JJ	Indian
restaurants	NNS	restaurant
don	NN	don
'	POS	'
t	NN	t
count	NN	count
,	,	,
because	IN	because
that	WDT	that
was	VBD	be
my	PP$	my
only	JJ	only
choice	NN	choice
on	IN	on
Facebook	NP	<unknown>
,	,	,
because	IN	because
when	WRB	when
I	PP	I
was	VBD	be
trying	VBG	try
to	TO	to
decide	VB	decide
how	WRB	how
to	TO	to
describe	VB	describe
our	PP$	our
restaurant	NN	restaurant
--	:	--
is	VBZ	be
it	PP	it
Indian	JJ	Indian
or	CC	or
is	VBZ	be
it	PP	it
new	JJ	new
American	JJ	American
or	CC	or
old	JJ	old
American	NP	American
?	SENT	?
But	CC	but
anyways	RB	anyways
,	,	,
so	RB	so
what	WP	what
we	PP	we
'	POS	'
ve	NN	ve
done	VBN	do
is	VBZ	be
like	IN	like
we	PP	we
tried	VBD	try
to	TO	to
focus	VB	focus
on	IN	on
,	,	,
first	JJ	first
off	RP	off
,	,	,
just	RB	just
understanding	VBG	understand
what	WP	what
were	VBD	be
precontact	NN	precontact
foods	NNS	food
,	,	,
precolonial	JJ	precolonial
foods	NNS	food
.	SENT	.
And	CC	and
I	PP	I
realized	VBD	realize
that	IN	that
that	DT	that
term	NN	term
didn	NN	<unknown>
'	POS	'
t	NN	t
even	RB	even
really	RB	really
make	VB	make
a	DT	a
lot	NN	lot
of	IN	of
sense	NN	sense
to	TO	to
people	NNS	people
.	SENT	.
So	RB	so
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	NNS	<unknown>
really	RB	really
important	JJ	important
to	TO	to
go	VB	go
through	IN	through
the	DT	the
storyline	NN	storyline
because	IN	because
to	TO	to
understand	VB	understand
colonial	NN	colonial
or	CC	or
what	WP	what
is	VBZ	be
a	DT	a
precolonial	JJ	precolonial
food	NN	food
,	,	,
you	PP	you
have	VBP	have
to	TO	to
understand	VB	understand
colonialism	NN	colonialism
itself	PP	itself
.	SENT	.
And	CC	and
to	TO	to
understand	VB	understand
colonialism	NN	colonialism
,	,	,
the	DT	the
easiest	JJS	easy
way	NN	way
is	VBZ	be
just	RB	just
to	TO	to
Google	NP	<unknown>
it	PP	it
.	SENT	.
So	RB	so
if	IN	if
you	PP	you
Google	NP	<unknown>
the	DT	the
word	NN	word
"	``	"
colonialism	NN	colonialism
,	,	,
"	''	"
you	PP	you
'	POS	'
ll	NNS	<unknown>
get	VBP	get
a	DT	a
definition	NN	definition
,	,	,
"	''	"
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
policy	NN	policy
or	CC	or
practice	NN	practice
of	IN	of
acquiring	VBG	acquire
full	JJ	full
or	CC	or
partial	JJ	partial
political	JJ	political
control	NN	control
over	IN	over
another	DT	another
country	NN	country
,	,	,
occupying	VBG	occupy
it	PP	it
with	IN	with
settlers	NNS	settler
and	CC	and
exploiting	VBG	exploit
it	PP	it
economically	RB	economically
.	SENT	.
"	''	"
And	CC	and
this	DT	this
is	VBZ	be
something	NN	something
that	RB	that
'	POS	'
s	NN	S
happened	VBD	happen
not	RB	not
uniquely	RB	uniquely
here	RB	here
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
happened	VBD	happen
all	RB	all
across	IN	across
the	DT	the
globe	NN	globe
.	SENT	.
So	RB	so
all	RB	all
over	IN	over
the	DT	the
Americas	NPS	America
,	,	,
North	NP	North
and	CC	and
South	NP	South
,	,	,
all	DT	all
over	IN	over
Africa	NP	Africa
,	,	,
all	DT	all
over	IN	over
India	NP	India
,	,	,
all	DT	all
over	IN	over
Southeast	NP	Southeast
Asia	NP	Asia
,	,	,
Australia	NP	Australia
,	,	,
New	NP	New
Zealand	NP	Zealand
,	,	,
Hawaii	NP	Hawaii
,	,	,
you	PP	you
name	VBP	name
it	PP	it
,	,	,
like	IN	like
this	DT	this
has	VBZ	have
been	VBN	be
a	DT	a
very	RB	very
common	JJ	common
history	NN	history
for	IN	for
a	DT	a
lot	NN	lot
of	IN	of
areas	NNS	area
around	IN	around
the	DT	the
globe	NN	globe
.	SENT	.
For	IN	for
the	DT	the
US	NP	US
,	,	,
which	WDT	which
is	VBZ	be
our	PP$	our
focus	NN	focus
,	,	,
because	IN	because
we	PP	we
'	POS	'
re	NN	re
right	NN	right
here	RB	here
smack	RB	smack
dab	VB	dab
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
the	DT	the
United	NP	United
States	NPS	States
,	,	,
it	PP	it
'	POS	'
s	NN	S
really	RB	really
important	JJ	important
to	TO	to
understand	VB	understand
the	DT	the
history	NN	history
because	IN	because
the	DT	the
US	NP	US
did	VBD	do
a	DT	a
really	RB	really
good	JJ	good
job	NN	job
of	IN	of
smudging	VBG	smudge
its	PP$	its
history	NN	history
a	DT	a
little	JJ	little
bit	NN	bit
.	SENT	.
So	RB	so
if	IN	if
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
through	IN	through
high	JJ	high
school	NN	school
,	,	,
the	DT	the
history	NN	history
you	PP	you
get	VBP	get
on	IN	on
Indigenous	JJ	indigenous
peoples	NNS	people
probably	RB	probably
isn	NP	isn
'	POS	'
t	NN	t
the	DT	the
best	JJS	good
history	NN	history
.	SENT	.
So	RB	so
you	PP	you
really	RB	really
should	MD	should
read	VB	read
a	DT	a
little	JJ	little
bit	NN	bit
more	JJR	more
about	IN	about
what	WP	what
really	RB	really
happened	VBD	happen
.	SENT	.
So	IN	so
let	NN	let
'	POS	'
s	JJ	<unknown>
start	NN	start
with	IN	with
Manifest	JJ	manifest
Destiny	NP	Destiny
,	,	,
which	WDT	which
is	VBZ	be
really	RB	really
kind	NN	kind
of	IN	of
something	NN	something
that	WDT	that
was	VBD	be
born	VBN	bear
from	IN	from
the	DT	the
idea	NN	idea
of	IN	of
what	WP	what
was	VBD	be
originally	RB	originally
doctrine	NN	doctrine
of	IN	of
discovery	NN	discovery
,	,	,
which	WDT	which
basically	RB	basically
gave	VBD	give
European	JJ	European
powers	NNS	power
their	PP$	their
own	JJ	own
rights	NNS	right
to	TO	to
say	VB	say
,	,	,
if	IN	if
we	PP	we
discover	VBP	discover
it	PP	it
,	,	,
then	RB	then
we	PP	we
own	VBP	own
it	PP	it
.	SENT	.
Right	RB	right
?	SENT	?
But	CC	but
that	DT	that
policy	NN	policy
doesn	NN	<unknown>
'	POS	'
t	NN	t
really	RB	really
work	VBP	work
that	IN	that
well	RB	well
,	,	,
because	IN	because
if	IN	if
you	PP	you
go	VBP	go
into	IN	into
an	DT	an
Apple	NP	Apple
Store	NP	Store
and	CC	and
you	PP	you
discover	VBP	discover
a	DT	a
brand	NN	brand
new	JJ	new
MacBook	NN	<unknown>
,	,	,
most	RBS	most
likely	JJ	likely
you	PP	you
'	''	'
re	IN	re
not	RB	not
going	VBG	go
to	TO	to
have	VB	have
the	DT	the
rights	NNS	right
to	TO	to
walk	VB	walk
out	RP	out
the	DT	the
door	NN	door
with	IN	with
it	PP	it
.	SENT	.
But	CC	but
a	DT	a
lot	NN	lot
of	IN	of
our	PP$	our
policies	NNS	policy
and	CC	and
a	DT	a
lot	NN	lot
of	IN	of
--	:	--
like	IN	like
,	,	,
our	PP$	our
country	NN	country
was	VBD	be
built	VBN	build
on	IN	on
this	DT	this
notion	NN	notion
that	IN	that
we	PP	we
just	RB	just
have	VBP	have
this	DT	this
right	NN	right
to	TO	to
everything	NN	everything
,	,	,
right	RB	right
?	SENT	?
And	CC	and
people	NNS	people
have	VBP	have
to	TO	to
remember	VB	remember
how	WRB	how
young	JJ	young
our	PP$	our
history	NN	history
is	VBZ	be
.	SENT	.
We	PP	we
'	''	'
re	IN	re
such	PDT	such
a	DT	a
young	JJ	young
country	NN	country
,	,	,
you	PP	you
know	VBP	know
?	SENT	?
There	EX	there
'	''	'
s	NNS	<unknown>
like	VBP	like
,	,	,
barely	RB	barely
any	DT	any
time	NN	time
has	VBZ	have
passed	VBN	pass
.	SENT	.
So	RB	so
just	RB	just
go	VB	go
back	RB	back
a	DT	a
couple	NN	couple
hundred	CD	hundred
years	NNS	year
and	CC	and
,	,	,
like	IN	like
,	,	,
start	VB	start
with	IN	with
1800s	NP	<unknown>
.	SENT	.
So	RB	so
in	IN	in
1800	CD	@card@
,	,	,
the	DT	the
United	NP	United
States	NPS	States
is	VBZ	be
still	RB	still
not	RB	not
much	RB	much
more	RBR	more
than	IN	than
just	RB	just
the	DT	the
13	CD	@card@
colonies	NNS	colony
at	IN	at
that	DT	that
point	NN	point
in	IN	in
history	NN	history
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
the	DT	the
1800s	NNS	<unknown>
that	WDT	that
are	VBP	be
the	DT	the
most	RBS	most
deadly	JJ	deadly
century	NN	century
for	IN	for
Indigenous	JJ	indigenous
peoples	NNS	people
.	SENT	.
So	IN	so
a	DT	a
lot	NN	lot
of	IN	of
really	RB	really
bad	JJ	bad
things	NNS	thing
happened	VBN	happen
during	IN	during
this	DT	this
time	NN	time
period	NN	period
,	,	,
because	IN	because
in	IN	in
1800	CD	@card@
,	,	,
in	IN	in
reality	NN	reality
,	,	,
almost	RB	almost
all	DT	all
of	IN	of
what	WP	what
is	VBZ	be
the	DT	the
US	PP	us
is	VBZ	be
still	RB	still
completely	RB	completely
occupied	VBN	occupy
by	IN	by
Indigenous	JJ	indigenous
peoples	NNS	people
and	CC	and
communities	NNS	community
and	CC	and
a	DT	a
huge	JJ	huge
diversity	NN	diversity
of	IN	of
them	PP	them
across	IN	across
the	DT	the
board	NN	board
.	SENT	.
Even	RB	even
despite	IN	despite
European	JJ	European
powers	NNS	power
having	VBG	have
big	JJ	big
land	NN	land
claims	NNS	claim
,	,	,
you	PP	you
know	VBP	know
,	,	,
France	NP	France
has	VBZ	have
a	DT	a
big	JJ	big
section	NN	section
and	CC	and
Spain	NP	Spain
'	POS	'
s	NN	S
got	VBD	get
big	JJ	big
chunks	NNS	chunk
and	CC	and
England	NP	England
is	VBZ	be
holding	VBG	hold
on	IN	on
to	TO	to
chunks	NNS	chunk
and	CC	and
Russia	NP	Russia
is	VBZ	be
coming	VBG	come
in	IN	in
and	CC	and
there	EX	there
'	''	'
s	VBG	<unknown>
all	DT	all
sorts	NNS	sort
of	IN	of
just	RB	just
big	JJ	big
land	NN	land
grabs	NNS	grab
happening	VBG	happen
.	SENT	.
But	CC	but
in	IN	in
reality	NN	reality
,	,	,
it	PP	it
'	POS	'
s	NN	S
the	DT	the
Indigenous	JJ	indigenous
communities	NNS	community
that	WDT	that
have	VBP	have
always	RB	always
been	VBN	be
there	RB	there
.	SENT	.
But	CC	but
this	DT	this
century	NN	century
is	VBZ	be
a	DT	a
mass	JJ	mass
century	NN	century
of	IN	of
change	NN	change
,	,	,
you	PP	you
know	VBP	know
.	SENT	.
So	RB	so
during	IN	during
this	DT	this
time	NN	time
period	NN	period
,	,	,
things	NNS	thing
move	VBP	move
really	RB	really
fast	RB	fast
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
just	RB	just
a	DT	a
really	RB	really
tough	JJ	tough
time	NN	time
.	SENT	.
And	CC	and
for	IN	for
me	PP	me
,	,	,
this	DT	this
is	VBZ	be
like	IN	like
my	PP$	my
great-grandfather	NN	great-grandfather
'	POS	'
s	JJ	<unknown>
era	NN	era
because	IN	because
my	PP$	my
great-grandfather	NN	great-grandfather
was	VBD	be
born	VBN	bear
in	IN	in
the	DT	the
late	JJ	late
1850s	JJ	<unknown>
and	CC	and
during	IN	during
his	PP$	his
lifetime	NN	lifetime
,	,	,
he	PP	he
sees	VBZ	see
so	RB	so
much	RB	much
change	VB	change
so	RB	so
quickly	RB	quickly
,	,	,
he	PP	he
sees	VBZ	see
so	RB	so
many	JJ	many
battles	NNS	battle
between	IN	between
the	DT	the
Lakota	NP	Lakota
and	CC	and
the	DT	the
US	NP	US
government	NN	government
.	SENT	.
He	PP	he
sees	VBZ	see
the	DT	the
Battle	NN	battle
of	IN	of
Little	JJ	little
Bighorn	NNS	bighorn
when	WRB	when
he	PP	he
'	POS	'
s	NN	S
18	CD	@card@
years	NNS	year
old	JJ	old
,	,	,
during	IN	during
the	DT	the
battle	NN	battle
on	IN	on
the	DT	the
Lakota	NP	Lakota
side	NN	side
.	SENT	.
He	PP	he
sees	VBZ	see
his	PP$	his
kids	NNS	kid
having	VBG	have
to	TO	to
go	VB	go
to	TO	to
boarding	VBG	board
school	NN	school
,	,	,
cut	VBD	cut
their	PP$	their
hair	NN	hair
,	,	,
learn	VBP	learn
to	TO	to
speak	VB	speak
English	JJ	English
,	,	,
learn	VB	learn
Christianity	NN	Christianity
.	SENT	.
He	PP	he
sees	VBZ	see
his	PP$	his
children	NNS	child
--	:	--
some	DT	some
of	IN	of
his	PP$	his
children	NNS	child
even	RB	even
grow	VBP	grow
up	RP	up
to	TO	to
fight	VB	fight
for	IN	for
the	DT	the
US	NP	US
government	NN	government
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	VBG	<unknown>
such	PDT	such
a	DT	a
crazy	JJ	crazy
amount	NN	amount
of	IN	of
change	NN	change
to	TO	to
see	VB	see
in	IN	in
one	CD	one
single	JJ	single
lifetime	NN	lifetime
,	,	,
right	RB	right
?	SENT	?
And	CC	and
during	IN	during
this	DT	this
time	NN	time
period	NN	period
,	,	,
people	NNS	people
are	VBP	be
getting	VBG	get
pushed	VBN	push
around	RP	around
.	SENT	.
At	IN	at
the	DT	the
beginning	NN	beginning
of	IN	of
that	DT	that
century	NN	century
,	,	,
over	IN	over
80	CD	@card@
percent	NN	percent
of	IN	of
that	DT	that
landmass	NN	landmass
was	VBD	be
under	IN	under
Indigenous	JJ	indigenous
control	NN	control
.	SENT	.
And	CC	and
by	IN	by
the	DT	the
end	NN	end
of	IN	of
the	DT	the
century	NN	century
less	JJR	less
than	IN	than
two	CD	two
percent	NN	percent
,	,	,
only	RB	only
because	IN	because
of	IN	of
the	DT	the
reservation	NN	reservation
systems	NNS	system
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
all	DT	all
just	JJ	just
part	NN	part
of	IN	of
the	DT	the
story	NN	story
of	IN	of
why	WRB	why
there	RB	there
aren	NNS	<unknown>
'	POS	'
t	NN	t
Native	JJ	native
American	JJ	American
restaurants	NNS	restaurant
,	,	,
because	IN	because
we	PP	we
just	RB	just
went	VBD	go
through	IN	through
a	DT	a
really	RB	really
traumatic	JJ	traumatic
time	NN	time
in	IN	in
history	NN	history
where	WRB	where
we	PP	we
'	POS	'
re	NN	re
still	RB	still
--	:	--
we	PP	we
haven	NN	haven
'	POS	'
t	NN	t
even	RB	even
had	VBD	have
the	DT	the
time	NN	time
to	TO	to
heal	VB	heal
yet	RB	yet
,	,	,
let	VBP	let
alone	RB	alone
evolve	VB	evolve
,	,	,
right	RB	right
,	,	,
when	WRB	when
it	PP	it
comes	VBZ	come
down	RP	down
to	TO	to
all	PDT	all
this	DT	this
.	SENT	.
So	IN	so
the	DT	the
US	NP	US
history	NN	history
,	,	,
you	PP	you
know	VBP	know
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
lot	NN	lot
of	IN	of
these	DT	these
big	JJ	big
movements	NNS	movement
like	IN	like
the	DT	the
Indian	JJ	Indian
Removal	NN	removal
Act	NN	act
of	IN	of
1830	CD	@card@
,	,	,
the	DT	the
Homestead	NP	Homestead
Act	NP	Act
of	IN	of
1862	CD	@card@
,	,	,
the	DT	the
Indian	JJ	Indian
Appropriation	NN	appropriation
Act	NN	act
that	WDT	that
basically	RB	basically
said	VBD	say
we	PP	we
'	POS	'
re	NN	re
wards	VBZ	ward
the	DT	the
states	NNS	state
,	,	,
that	WDT	that
we	PP	we
'	''	'
re	IN	re
not	RB	not
our	PP$	our
own	JJ	own
entities	NNS	entity
anymore	RB	anymore
,	,	,
the	DT	the
Dawes	NP	Dawes
Act	NP	Act
of	IN	of
1887	CD	@card@
.	SENT	.
And	CC	and
all	PDT	all
these	DT	these
pieces	NNS	piece
were	VBD	be
very	RB	very
focused	VBN	focus
and	CC	and
the	DT	the
government	NN	government
was	VBD	be
really	RB	really
,	,	,
really	RB	really
good	JJ	good
at	IN	at
what	WP	what
they	PP	they
did	VBD	do
,	,	,
you	PP	you
know	VBP	know
.	SENT	.
And	CC	and
it	PP	it
all	RB	all
starts	VBZ	start
with	IN	with
taking	VBG	take
our	PP$	our
food	NN	food
away	RB	away
from	IN	from
us	PP	us
.	SENT	.
So	IN	so
the	DT	the
loss	NN	loss
of	IN	of
Indigenous	JJ	indigenous
food	NN	food
is	VBZ	be
something	NN	something
that	WDT	that
starts	VBZ	start
from	IN	from
the	DT	the
very	JJ	very
beginning	NN	beginning
.	SENT	.
George	NP	George
Washington	NP	Washington
,	,	,
one	CD	one
of	IN	of
his	PP$	his
very	JJ	very
first	JJ	first
things	NNS	thing
that	IN	that
he	PP	he
does	VBZ	do
is	VBZ	be
send	VB	send
General	NP	General
Sullivan	NP	Sullivan
out	RB	out
to	TO	to
push	VB	push
all	PDT	all
the	DT	the
native	JJ	native
people	NNS	people
outside	JJ	outside
of	IN	of
the	DT	the
US	NP	US
.	SENT	.
He	PP	he
wanted	VBD	want
them	PP	them
captured	VBD	capture
.	SENT	.
He	PP	he
wanted	VBD	want
them	PP	them
brought	VBD	bring
back	RB	back
.	SENT	.
And	CC	and
they	PP	they
went	VBD	go
on	IN	on
this	DT	this
march	NN	march
that	WDT	that
lasts	VBZ	last
a	DT	a
single	JJ	single
summer	NN	summer
and	CC	and
does	VBZ	do
just	RB	just
that	RB	that
.	SENT	.
So	RB	so
after	IN	after
a	DT	a
single	JJ	single
summer	NN	summer
,	,	,
there	EX	there
'	''	'
s	NNS	<unknown>
no	RB	no
more	RBR	more
native	JJ	native
people	NNS	people
in	IN	in
all	DT	all
of	IN	of
that	WDT	that
New	NP	New
York	NP	York
area	NN	area
,	,	,
from	IN	from
D	NP	D
.	SENT	.
C	LS	c
.	SENT	.
all	PDT	all
the	DT	the
way	NN	way
up	RB	up
,	,	,
basically	RB	basically
.	SENT	.
And	CC	and
they	PP	they
named	VBD	name
George	NP	George
Washington	NP	Washington
the	DT	the
president	NN	president
.	SENT	.
They	PP	they
gave	VBD	give
the	DT	the
name	NN	name
for	IN	for
a	DT	a
US	NP	US
president	NN	president
:	:	:
Town	NN	town
Destroyer	NN	destroyer
,	,	,
which	WDT	which
is	VBZ	be
still	RB	still
the	DT	the
name	NN	name
that	IN	that
they	PP	they
use	VBP	use
