I	PP	I
proud	JJ	proud
of	IN	of
this	DT	this
.	SENT	.
But	CC	but
,	,	,
we	PP	we
also	RB	also
must	MD	must
admit	VB	admit
that	IN	that
we	PP	we
haven	NN	haven
'	POS	'
t	NN	t
been	VBN	be
good	JJ	good
at	IN	at
using	VBG	use
those	DT	those
same	JJ	same
networks	NNS	network
and	CC	and
technologies	NNS	technology
to	TO	to
successfully	RB	successfully
articulate	VB	articulate
an	DT	an
alternative	NN	alternative
to	TO	to
what	WP	what
we	PP	we
'	''	'
re	IN	re
seeing	VBG	see
and	CC	and
find	VB	find
the	DT	the
consensus	NN	consensus
and	CC	and
build	VB	build
the	DT	the
alliances	NNS	alliance
that	WDT	that
are	VBP	be
needed	VBN	need
to	TO	to
make	VB	make
it	PP	it
happen	VB	happen
.	SENT	.
And	CC	and
so	RB	so
the	DT	the
risk	NN	risk
that	IN	that
we	PP	we
face	VBP	face
is	VBZ	be
that	IN	that
we	PP	we
can	MD	can
create	VB	create
these	DT	these
huge	JJ	huge
power	NN	power
vacuums	NNS	vacuum
that	WDT	that
will	MD	will
very	RB	very
quickly	RB	quickly
get	VB	get
filled	VBN	fill
up	RP	up
by	IN	by
de	FW	de
facto	FW	facto
powers	NNS	power
,	,	,
like	IN	like
the	DT	the
military	JJ	military
or	CC	or
highly	RB	highly
motivated	VBN	motivate
and	CC	and
already	RB	already
organized	VBN	organize
groups	NNS	group
that	WDT	that
generally	RB	generally
lie	VBP	lie
on	IN	on
the	DT	the
extremes	NNS	extreme
.	SENT	.
But	CC	but
our	PP$	our
democracy	NN	democracy
is	VBZ	be
neither	RB	neither
just	RB	just
a	DT	a
matter	NN	matter
of	IN	of
voting	NN	voting
once	IN	once
every	DT	every
couple	NN	couple
of	IN	of
years	NNS	year
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NN	S
not	RB	not
either	CC	either
the	DT	the
ability	NN	ability
to	TO	to
bring	VB	bring
millions	NNS	million
onto	IN	onto
the	DT	the
streets	NNS	street
.	SENT	.
So	RB	so
the	DT	the
question	VBP	question
I	PP	I
'	''	'
d	SYM	d
like	IN	like
to	TO	to
raise	VB	raise
here	RB	here
,	,	,
and	CC	and
I	PP	I
do	VBP	do
believe	VB	believe
it	PP	it
'	POS	'
s	NN	S
the	DT	the
most	RBS	most
important	JJ	important
question	NN	question
we	PP	we
need	VBP	need
to	TO	to
answer	VB	answer
,	,	,
is	VBZ	be
this	DT	this
one	CD	one
:	:	:
If	IN	if
Internet	NP	Internet
is	VBZ	be
the	DT	the
new	JJ	new
printing	NN	printing
press	NN	press
,	,	,
then	RB	then
what	WP	what
is	VBZ	be
democracy	NN	democracy
for	IN	for
the	DT	the
Internet	NP	Internet
era	NN	era
?	SENT	?
What	WP	what
institutions	NNS	institution
do	VBP	do
we	PP	we
want	VBP	want
to	TO	to
build	VB	build
for	IN	for
the	DT	the
21st-century	JJ	<unknown>
society	NN	society
?	SENT	?
I	PP	I
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
the	DT	the
answer	NN	answer
,	,	,
just	RB	just
in	IN	in
case	NN	case
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
think	VBP	think
anyone	NN	anyone
does	VBZ	do
.	SENT	.
But	CC	but
I	PP	I
truly	RB	truly
believe	VBP	believe
we	PP	we
can	MD	can
'	''	'
t	NN	t
afford	VB	afford
to	TO	to
ignore	VB	ignore
this	DT	this
question	NN	question
anymore	RB	anymore
.	SENT	.
So	RB	so
,	,	,
I	PP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
share	VB	share
our	PP$	our
experience	NN	experience
and	CC	and
what	WP	what
we	PP	we
'	POS	'
ve	NN	ve
learned	VBD	learn
so	RB	so
far	RB	far
and	CC	and
hopefully	RB	hopefully
contribute	VB	contribute
two	CD	two
cents	NNS	cent
to	TO	to
this	DT	this
conversation	NN	conversation
.	SENT	.
Two	CD	two
years	NNS	year
ago	RB	ago
,	,	,
with	IN	with
a	DT	a
group	NN	group
of	IN	of
friends	NNS	friend
from	IN	from
Argentina	NP	Argentina
,	,	,
we	PP	we
started	VBD	start
thinking	VBG	think
,	,	,
"	``	"
how	WRB	how
can	MD	can
we	PP	we
get	VB	get
our	PP$	our
representatives	NNS	representative
,	,	,
our	PP$	our
elected	VBN	elect
representatives	NNS	representative
,	,	,
to	TO	to
represent	VB	represent
us	PP	us
?	SENT	?
"	''	"
Marshall	NP	Marshall
McLuhan	NP	McLuhan
once	RB	once
said	VBD	say
that	IN	that
politics	NN	politics
is	VBZ	be
solving	VBG	solve
today	NN	today
'	POS	'
s	NN	S
problems	NNS	problem
with	IN	with
yesterday	NN	yesterday
'	POS	'
s	NN	S
tools	NNS	tool
.	SENT	.
So	IN	so
the	DT	the
question	NN	question
that	WDT	that
motivated	VBD	motivate
us	PP	us
was	VBD	be
,	,	,
can	MD	can
we	PP	we
try	VB	try
and	CC	and
solve	VB	solve
some	DT	some
of	IN	of
today	NN	today
'	POS	'
s	NN	S
problems	NNS	problem
with	IN	with
the	DT	the
tools	NNS	tool
that	WDT	that
we	PP	we
use	VBP	use
every	DT	every
single	JJ	single
day	NN	day
of	IN	of
our	PP$	our
lives	NNS	life
?	SENT	?
Our	PP$	our
first	JJ	first
approach	NN	approach
was	VBD	be
to	TO	to
design	VB	design
and	CC	and
develop	VB	develop
a	DT	a
piece	NN	piece
of	IN	of
software	NN	software
called	VBN	call
DemocracyOS	NP	<unknown>
.	SENT	.
DemocracyOS	NP	<unknown>
is	VBZ	be
an	DT	an
open-source	NN	open-source
web	NN	web
application	NN	application
that	WDT	that
is	VBZ	be
designed	VBN	design
to	TO	to
become	VB	become
a	DT	a
bridge	NN	bridge
between	IN	between
citizens	NNS	citizen
and	CC	and
their	PP$	their
elected	VBN	elect
representatives	NNS	representative
to	TO	to
make	VB	make
it	PP	it
easier	JJR	easy
for	IN	for
us	PP	us
to	TO	to
participate	VB	participate
from	IN	from
our	PP$	our
everyday	JJ	everyday
lives	NNS	life
.	SENT	.
So	RB	so
first	JJ	first
of	IN	of
all	DT	all
,	,	,
you	PP	you
can	MD	can
get	VB	get
informed	VBN	inform
so	IN	so
every	DT	every
new	JJ	new
project	NN	project
that	WDT	that
gets	VBZ	get
introduced	VBN	introduce
in	IN	in
Congress	NP	Congress
gets	VBZ	get
immediately	RB	immediately
translated	VBN	translate
and	CC	and
explained	VBN	explain
in	IN	in
plain	JJ	plain
language	NN	language
on	IN	on
this	DT	this
platform	NN	platform
.	SENT	.
But	CC	but
we	PP	we
all	RB	all
know	VBP	know
that	IN	that
social	JJ	social
change	NN	change
is	VBZ	be
not	RB	not
going	VBG	go
to	TO	to
come	VB	come
from	IN	from
just	RB	just
knowing	VBG	know
more	JJR	more
information	NN	information
,	,	,
but	CC	but
from	IN	from
doing	VBG	do
something	NN	something
with	IN	with
it	PP	it
.	SENT	.
So	RB	so
better	JJR	good
access	NN	access
to	TO	to
information	NN	information
should	MD	should
lead	VB	lead
to	TO	to
a	DT	a
conversation	NN	conversation
about	IN	about
what	WP	what
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
do	VB	do
next	JJ	next
,	,	,
and	CC	and
DemocracyOS	NP	<unknown>
allows	VBZ	allow
for	IN	for
that	DT	that
.	SENT	.
Because	IN	because
we	PP	we
believe	VBP	believe
that	IN	that
democracy	NN	democracy
is	VBZ	be
not	RB	not
just	RB	just
a	DT	a
matter	NN	matter
of	IN	of
stacking	VBG	stack
up	RP	up
preferences	NNS	preference
,	,	,
one	CD	one
on	IN	on
top	NN	top
of	IN	of
each	DT	each
other	JJ	other
,	,	,
but	CC	but
that	IN	that
our	PP$	our
healthy	JJ	healthy
and	CC	and
robust	JJ	robust
public	JJ	public
debate	NN	debate
should	MD	should
be	VB	be
,	,	,
once	RB	once
again	RB	again
,	,	,
one	CD	one
of	IN	of
its	PP$	its
fundamental	JJ	fundamental
values	NNS	value
.	SENT	.
So	RB	so
DemocracyOS	NP	<unknown>
is	VBZ	be
about	RB	about
persuading	VBG	persuade
and	CC	and
being	VBG	be
persuaded	VBN	persuade
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
about	IN	about
reaching	VBG	reach
a	DT	a
consensus	NN	consensus
as	IN	as
much	JJ	much
as	IN	as
finding	VBG	find
a	DT	a
proper	JJ	proper
way	NN	way
of	IN	of
channeling	VBG	channel
our	PP$	our
disagreement	NN	disagreement
.	SENT	.
And	CC	and
finally	RB	finally
,	,	,
you	PP	you
can	MD	can
vote	VB	vote
how	WRB	how
you	PP	you
would	MD	would
like	VB	like
your	PP$	your
elected	VBN	elect
representative	NN	representative
to	TO	to
vote	VB	vote
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
do	VBP	do
not	RB	not
feel	VB	feel
comfortable	JJ	comfortable
voting	NN	voting
on	IN	on
a	DT	a
certain	JJ	certain
issue	NN	issue
,	,	,
you	PP	you
can	MD	can
always	RB	always
delegate	VB	delegate
your	PP$	your
vote	NN	vote
to	TO	to
someone	NN	someone
else	RB	else
,	,	,
allowing	VBG	allow
for	IN	for
a	DT	a
dynamic	JJ	dynamic
and	CC	and
emerging	VBG	emerge
social	JJ	social
leadership	NN	leadership
.	SENT	.
It	PP	it
suddenly	RB	suddenly
became	VBD	become
very	RB	very
easy	JJ	easy
for	IN	for
us	PP	us
to	TO	to
simply	RB	simply
compare	VB	compare
these	DT	these
results	NNS	result
with	IN	with
how	WRB	how
our	PP$	our
representatives	NNS	representative
were	VBD	be
voting	VBG	vote
in	IN	in
Congress	NP	Congress
.	SENT	.
But	CC	but
,	,	,
it	PP	it
also	RB	also
became	VBD	become
very	RB	very
evident	JJ	evident
that	IN	that
technology	NN	technology
was	VBD	be
not	RB	not
going	VBG	go
to	TO	to
do	VB	do
the	DT	the
trick	NN	trick
.	SENT	.
What	WP	what
we	PP	we
needed	VBD	need
to	TO	to
do	VB	do
to	TO	to
was	VBD	be
to	TO	to
find	VB	find
actors	NNS	actor
that	WDT	that
were	VBD	be
able	JJ	able
to	TO	to
grab	VB	grab
this	DT	this
distributed	VBN	distribute
knowledge	NN	knowledge
in	IN	in
society	NN	society
and	CC	and
use	VB	use
it	PP	it
to	TO	to
make	VB	make
better	JJR	good
and	CC	and
more	JJR	more
fair	JJ	fair
decisions	NNS	decision
.	SENT	.
So	RB	so
we	PP	we
reached	VBD	reach
out	RP	out
to	TO	to
traditional	JJ	traditional
political	JJ	political
parties	NNS	party
and	CC	and
we	PP	we
offered	VBD	offer
them	PP	them
DemocracyOS	NP	<unknown>
.	SENT	.
We	PP	we
said	VBD	say
,	,	,
"	``	"
Look	VB	look
,	,	,
here	RB	here
you	PP	you
have	VBP	have
a	DT	a
platform	NN	platform
that	IN	that
you	PP	you
can	MD	can
use	VB	use
to	TO	to
build	VB	build
a	DT	a
two-way	JJ	two-way
conversation	NN	conversation
with	IN	with
your	PP$	your
constituencies	NNS	constituency
.	SENT	.
"	''	"
And	CC	and
yes	UH	yes
,	,	,
we	PP	we
failed	VBD	fail
.	SENT	.
We	PP	we
failed	VBD	fail
big	JJ	big
time	NN	time
.	SENT	.
We	PP	we
were	VBD	be
sent	VBN	send
to	TO	to
play	VB	play
outside	JJ	outside
like	IN	like
little	JJ	little
kids	NNS	kid
.	SENT	.
Amongst	IN	amongst
other	JJ	other
things	NNS	thing
,	,	,
we	PP	we
were	VBD	be
called	VBN	call
naive	JJ	naive
.	SENT	.
And	CC	and
I	PP	I
must	MD	must
be	VB	be
honest	JJ	honest
:	:	:
I	PP	I
think	VBP	think
,	,	,
in	IN	in
hindsight	NN	hindsight
,	,	,
we	PP	we
were	VBD	be
.	SENT	.
Because	IN	because
the	DT	the
challenges	NNS	challenge
that	WDT	that
we	PP	we
face	VBP	face
,	,	,
they	PP	they
'	POS	'
re	NN	re
not	RB	not
technological	JJ	technological
,	,	,
they	PP	they
'	POS	'
re	NN	re
cultural	JJ	cultural
.	SENT	.
Political	JJ	political
parties	NNS	party
were	VBD	be
never	RB	never
willing	JJ	willing
to	TO	to
change	VB	change
the	DT	the
way	NN	way
they	PP	they
make	VBP	make
their	PP$	their
decisions	NNS	decision
.	SENT	.
So	RB	so
it	PP	it
suddenly	RB	suddenly
became	VBD	become
a	DT	a
bit	NN	bit
obvious	JJ	obvious
that	IN	that
if	IN	if
we	PP	we
wanted	VBD	want
to	TO	to
move	VB	move
forward	RB	forward
with	IN	with
this	DT	this
idea	NN	idea
,	,	,
we	PP	we
needed	VBD	need
to	TO	to
do	VB	do
it	PP	it
ourselves	PP	ourselves
.	SENT	.
And	CC	and
so	RB	so
we	PP	we
took	VBD	take
quite	PDT	quite
a	DT	a
leap	NN	leap
of	IN	of
faith	NN	faith
,	,	,
and	CC	and
in	IN	in
August	NP	August
last	JJ	last
year	NN	year
,	,	,
we	PP	we
founded	VBD	found
our	PP$	our
own	JJ	own
political	JJ	political
party	NN	party
,	,	,
El	NP	El
Partido	NP	Partido
de	NP	de
la	NP	la
Red	NP	Red
,	,	,
or	CC	or
the	DT	the
Net	JJ	net
Party	NN	party
,	,	,
in	IN	in
the	DT	the
city	NN	city
of	IN	of
Buenos	NP	Buenos
Aires	NP	Aires
.	SENT	.
And	CC	and
taking	VBG	take
an	DT	an
even	RB	even
bigger	JJR	big
leap	NN	leap
of	IN	of
faith	NN	faith
,	,	,
we	PP	we
ran	VBD	run
for	IN	for
elections	NNS	election
in	IN	in
October	NP	October
last	JJ	last
year	NN	year
with	IN	with
this	DT	this
idea	NN	idea
:	:	:
if	IN	if
we	PP	we
want	VBP	want
a	DT	a
seat	NN	seat
in	IN	in
Congress	NP	Congress
,	,	,
our	PP$	our
candidate	NN	candidate
,	,	,
our	PP$	our
representatives	NNS	representative
were	VBD	be
always	RB	always
going	VBG	go
to	TO	to
vote	VB	vote
according	VBG	accord
to	TO	to
what	WP	what
citizens	NNS	citizen
decided	VBN	decide
on	IN	on
DemocracyOS	NP	<unknown>
.	SENT	.
Every	DT	every
single	JJ	single
project	NN	project
that	WDT	that
got	VBD	get
introduced	VBN	introduce
in	IN	in
Congress	NP	Congress
,	,	,
we	PP	we
were	VBD	be
going	VBG	go
vote	NN	vote
according	VBG	accord
to	TO	to
what	WP	what
citizens	NNS	citizen
decided	VBN	decide
on	IN	on
an	DT	an
online	JJ	online
platform	NN	platform
.	SENT	.
It	PP	it
was	VBD	be
our	PP$	our
way	NN	way
of	IN	of
hacking	VBG	hack
the	DT	the
political	JJ	political
system	NN	system
.	SENT	.
We	PP	we
understood	VBD	understand
that	IN	that
if	IN	if
we	PP	we
wanted	VBD	want
to	TO	to
become	VB	become
part	NN	part
of	IN	of
the	DT	the
conversation	NN	conversation
,	,	,
to	TO	to
have	VB	have
a	DT	a
seat	NN	seat
at	IN	at
the	DT	the
table	NN	table
,	,	,
we	PP	we
needed	VBD	need
to	TO	to
become	VB	become
valid	JJ	valid
stakeholders	NNS	stakeholder
,	,	,
and	CC	and
the	DT	the
only	JJ	only
way	NN	way
of	IN	of
doing	VBG	do
it	PP	it
is	VBZ	be
to	TO	to
play	VB	play
by	IN	by
the	DT	the
system	NN	system
rules	NNS	rule
.	SENT	.
But	CC	but
we	PP	we
were	VBD	be
hacking	VBG	hack
it	PP	it
in	IN	in
the	DT	the
sense	NN	sense
that	IN	that
we	PP	we
were	VBD	be
radically	RB	radically
changing	VBG	change
the	DT	the
way	NN	way
a	DT	a
political	JJ	political
party	NN	party
makes	VBZ	make
its	PP$	its
decisions	NNS	decision
.	SENT	.
For	IN	for
the	DT	the
first	JJ	first
time	NN	time
,	,	,
we	PP	we
were	VBD	be
making	VBG	make
our	PP$	our
decisions	NNS	decision
together	RB	together
with	IN	with
those	DT	those
who	WP	who
we	PP	we
were	VBD	be
affecting	VBG	affect
directly	RB	directly
by	IN	by
those	DT	those
decisions	NNS	decision
.	SENT	.
It	PP	it
was	VBD	be
a	DT	a
very	JJ	very
,	,	,
very	RB	very
bold	JJ	bold
move	NN	move
for	IN	for
a	DT	a
two-	NN	two-
month-old	JJ	month-old
party	NN	party
in	IN	in
the	DT	the
city	NN	city
of	IN	of
Buenos	NP	Buenos
Aires	NP	Aires
.	SENT	.
But	CC	but
it	PP	it
got	VBD	get
attention	NN	attention
.	SENT	.
We	PP	we
got	VBD	get
22	CD	@card@
,	,	,
000	CD	@card@
votes	NNS	vote
,	,	,
that	WDT	that
'	POS	'
s	NN	S
1	CD	@card@
.	SENT	.
