I	NP	I
way	NN	way
it	PP	it
happens	VBZ	happen
.	SENT	.
And	CC	and
when	WRB	when
you	PP	you
get	VBP	get
together	RB	together
to	TO	to
play	VB	play
baseball	NN	baseball
,	,	,
immediately	RB	immediately
you	PP	you
'	POS	'
re	NN	re
with	IN	with
two	CD	two
opposing	JJ	opposing
teams	NNS	team
,	,	,
one	CD	one
playing	NN	playing
offense	NN	offense
,	,	,
one	CD	one
playing	NN	playing
defense	NN	defense
,	,	,
somebody	NN	somebody
'	POS	'
s	NNS	<unknown>
trying	VBG	try
to	TO	to
move	VB	move
deeper	JJR	deep
into	IN	into
the	DT	the
field	NN	field
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
usually	RB	usually
a	DT	a
sign	NN	sign
to	TO	to
the	DT	the
boy	NN	boy
.	SENT	.
Somebody	NN	somebody
'	POS	'
s	NNS	<unknown>
trying	VBG	try
to	TO	to
defend	VB	defend
people	NNS	people
moving	VBG	move
into	IN	into
the	DT	the
field	NN	field
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
often	RB	often
given	VBN	give
to	TO	to
the	DT	the
girl	NN	girl
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
competitive	JJ	competitive
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
not	RB	not
playing	VBG	play
with	IN	with
each	DT	each
other	JJ	other
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
playing	NN	playing
against	IN	against
each	DT	each
other	JJ	other
.	SENT	.
And	CC	and
when	WRB	when
you	PP	you
show	VBP	show
up	RP	up
to	TO	to
play	VB	play
baseball	NN	baseball
,	,	,
nobody	NN	nobody
needs	VBZ	need
to	TO	to
talk	VB	talk
about	RB	about
what	WP	what
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
do	VB	do
or	CC	or
how	WRB	how
this	DT	this
baseball	NN	baseball
game	NN	game
might	MD	might
be	VB	be
good	JJ	good
for	IN	for
us	PP	us
.	SENT	.
Everybody	NN	everybody
knows	VBZ	know
the	DT	the
rules	NNS	rule
.	SENT	.
You	PP	you
just	RB	just
take	VB	take
your	PP$	your
position	NN	position
and	CC	and
play	VB	play
the	DT	the
game	NN	game
.	SENT	.
But	CC	but
when	WRB	when
do	VBP	do
you	PP	you
have	VBP	have
pizza	NN	pizza
?	SENT	?
Well	RB	well
,	,	,
you	PP	you
have	VBP	have
pizza	NN	pizza
when	WRB	when
you	PP	you
'	POS	'
re	NN	re
hungry	JJ	hungry
for	IN	for
pizza	NN	pizza
.	SENT	.
It	PP	it
starts	VBZ	start
with	IN	with
an	DT	an
internal	JJ	internal
sense	NN	sense
,	,	,
an	DT	an
internal	JJ	internal
desire	NN	desire
,	,	,
or	CC	or
a	DT	a
need	NN	need
.	SENT	.
"	``	"
Huh	NP	Huh
.	SENT	.
I	PP	I
could	MD	could
go	VB	go
for	IN	for
some	DT	some
pizza	NN	pizza
.	SENT	.
"	''	"
And	CC	and
because	IN	because
it	PP	it
'	POS	'
s	NN	S
an	DT	an
internal	JJ	internal
desire	NN	desire
,	,	,
we	PP	we
actually	RB	actually
have	VBP	have
some	DT	some
sense	NN	sense
of	IN	of
control	NN	control
over	IN	over
that	DT	that
.	SENT	.
I	PP	I
could	MD	could
decide	VB	decide
that	IN	that
I	NP	I
'	POS	'
m	NN	m
hungry	JJ	hungry
but	CC	but
know	VBP	know
that	IN	that
it	PP	it
'	POS	'
s	NN	S
not	RB	not
a	DT	a
great	JJ	great
time	NN	time
to	TO	to
eat	VB	eat
.	SENT	.
And	CC	and
then	RB	then
when	WRB	when
we	PP	we
get	VBP	get
together	RB	together
with	IN	with
someone	NN	someone
for	IN	for
pizza	NN	pizza
,	,	,
we	PP	we
'	POS	'
re	NN	re
not	RB	not
competing	VBG	compete
with	IN	with
them	PP	them
,	,	,
we	PP	we
'	POS	'
re	NN	re
looking	VBG	look
for	IN	for
an	DT	an
experience	NN	experience
that	IN	that
both	DT	both
of	IN	of
us	PP	us
will	MD	will
share	VB	share
that	RB	that
'	''	'
s	NNS	<unknown>
satisfying	VBG	satisfy
for	IN	for
both	DT	both
of	IN	of
us	PP	us
,	,	,
and	CC	and
when	WRB	when
you	PP	you
get	VBP	get
together	RB	together
for	IN	for
pizza	NN	pizza
with	IN	with
somebody	NN	somebody
,	,	,
what	WP	what
'	POS	'
s	NN	S
the	DT	the
first	JJ	first
thing	NN	thing
you	PP	you
do	VBP	do
?	SENT	?
You	PP	you
talk	VBP	talk
about	IN	about
it	PP	it
.	SENT	.
You	PP	you
talk	VBP	talk
about	RB	about
what	WP	what
you	PP	you
want	VBP	want
.	SENT	.
You	PP	you
talk	VBP	talk
about	RB	about
what	WP	what
you	PP	you
like	VBP	like
.	SENT	.
You	PP	you
may	MD	may
even	RB	even
negotiate	VB	negotiate
it	PP	it
.	SENT	.
"	``	"
How	WRB	how
do	VBP	do
you	PP	you
feel	VBP	feel
about	IN	about
pepperoni	NP	pepperoni
?	SENT	?
"	''	"
"	``	"
Not	RB	not
so	RB	so
much	RB	much
,	,	,
I	PP	I
'	POS	'
m	NN	m
kind	NN	kind
of	IN	of
a	DT	a
mushroom	NN	mushroom
guy	NN	guy
myself	PP	myself
.	SENT	.
"	''	"
"	``	"
Well	UH	well
,	,	,
maybe	RB	maybe
we	PP	we
can	MD	can
go	VB	go
half	NN	half
and	CC	and
half	NN	half
.	SENT	.
"	''	"
And	CC	and
even	RB	even
if	IN	if
you	PP	you
'	POS	'
ve	NN	ve
had	VBD	have
pizza	NN	pizza
with	IN	with
somebody	NN	somebody
for	IN	for
a	DT	a
very	RB	very
long	JJ	long
time	NN	time
,	,	,
don	NN	don
'	POS	'
t	NN	t
you	PP	you
still	RB	still
say	VBP	say
things	NNS	thing
like	VBP	like
,	,	,
"	``	"
Should	MD	should
we	PP	we
get	VB	get
the	DT	the
usual	JJ	usual
?	SENT	?
"	''	"
"	``	"
Or	CC	or
maybe	RB	maybe
something	NN	something
a	DT	a
little	RB	little
more	RBR	more
adventurous	JJ	adventurous
?	SENT	?
"	''	"
Okay	RB	okay
,	,	,
so	RB	so
when	WRB	when
you	PP	you
'	POS	'
re	NN	re
playing	NN	playing
baseball	NN	baseball
,	,	,
so	RB	so
if	IN	if
we	PP	we
talk	VBP	talk
about	RB	about
during	IN	during
sexual	JJ	sexual
activity	NN	activity
,	,	,
when	WRB	when
you	PP	you
'	POS	'
re	NN	re
playing	NN	playing
baseball	NN	baseball
,	,	,
you	PP	you
'	POS	'
re	NN	re
just	RB	just
supposed	VBN	suppose
to	TO	to
round	VB	round
the	DT	the
bases	NNS	base
in	IN	in
the	DT	the
proper	JJ	proper
order	NN	order
one	CD	one
at	IN	at
a	DT	a
time	NN	time
.	SENT	.
You	PP	you
can	MD	can
'	''	'
t	NN	t
hit	VBD	hit
the	DT	the
ball	NN	ball
and	CC	and
run	VB	run
to	TO	to
right	JJ	right
field	NN	field
.	SENT	.
That	DT	that
doesn	NN	<unknown>
'	POS	'
t	NN	t
work	NN	work
.	SENT	.
And	CC	and
you	PP	you
also	RB	also
can	MD	can
'	''	'
t	NN	t
get	VB	get
to	TO	to
second	JJ	second
base	NN	base
and	CC	and
say	VB	say
,	,	,
"	``	"
I	PP	I
like	VBP	like
it	PP	it
here	RB	here
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
stay	VB	stay
here	RB	here
.	SENT	.
"	``	"
No	UH	no
.	SENT	.
And	CC	and
also	RB	also
,	,	,
of	IN	of
course	NN	course
,	,	,
with	IN	with
baseball	NN	baseball
,	,	,
there	EX	there
'	''	'
s	NNS	<unknown>
,	,	,
like	VB	like
,	,	,
the	DT	the
specific	JJ	specific
equipment	NN	equipment
and	CC	and
a	DT	a
specific	JJ	specific
skill	NN	skill
set	NN	set
.	SENT	.
Not	RB	not
everybody	NN	everybody
can	MD	can
play	VB	play
baseball	NN	baseball
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
pretty	RB	pretty
exclusive	JJ	exclusive
.	SENT	.
Okay	RB	okay
,	,	,
but	CC	but
what	WP	what
about	IN	about
pizza	NN	pizza
?	SENT	?
When	WRB	when
we	PP	we
'	POS	'
re	NN	re
trying	VBG	try
to	TO	to
figure	VB	figure
out	RP	out
what	WP	what
'	POS	'
s	NNS	<unknown>
good	JJ	good
for	IN	for
pizza	NN	pizza
,	,	,
isn	NP	isn
'	POS	'
t	NN	t
it	PP	it
all	RB	all
about	RB	about
what	WP	what
'	POS	'
s	VBG	<unknown>
our	PP$	our
pleasure	NN	pleasure
?	SENT	?
There	EX	there
are	VBP	be
a	DT	a
million	CD	million
different	JJ	different
kinds	NNS	kind
of	IN	of
pizza	NN	pizza
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
million	CD	million
different	JJ	different
toppings	NNS	topping
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
million	CD	million
different	JJ	different
ways	NNS	way
to	TO	to
eat	VB	eat
pizza	NN	pizza
.	SENT	.
And	CC	and
none	NN	none
of	IN	of
them	PP	them
are	VBP	be
wrong	JJ	wrong
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
different	JJ	different
.	SENT	.
And	CC	and
in	IN	in
this	DT	this
case	NN	case
,	,	,
difference	NN	difference
is	VBZ	be
good	JJ	good
,	,	,
because	IN	because
that	DT	that
'	''	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
increase	VB	increase
the	DT	the
chance	NN	chance
that	IN	that
we	PP	we
'	''	'
re	IN	re
having	VBG	have
a	DT	a
satisfying	JJ	satisfying
experience	NN	experience
.	SENT	.
And	CC	and
lastly	RB	lastly
,	,	,
what	WP	what
'	POS	'
s	NN	S
the	DT	the
expected	VBN	expect
outcome	NN	outcome
of	IN	of
baseball	NN	baseball
?	SENT	?
Well	RB	well
,	,	,
in	IN	in
baseball	NN	baseball
,	,	,
you	PP	you
play	VBP	play
to	TO	to
win	VB	win
.	SENT	.
You	PP	you
score	VBP	score
as	IN	as
many	JJ	many
runs	NNS	run
as	IN	as
you	PP	you
can	MD	can
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
always	RB	always
a	DT	a
winner	NN	winner
in	IN	in
baseball	NN	baseball
,	,	,
and	CC	and
that	IN	that
means	NNS	mean
there	RB	there
'	''	'
s	NNS	<unknown>
always	RB	always
a	DT	a
loser	NN	loser
in	IN	in
baseball	NN	baseball
.	SENT	.
But	CC	but
what	WP	what
about	IN	about
pizza	NN	pizza
?	SENT	?
Well	RB	well
,	,	,
in	IN	in
pizza	NN	pizza
,	,	,
we	PP	we
'	POS	'
re	NN	re
not	RB	not
really	RB	really
—	:	-
there	EX	there
'	''	'
s	NNS	<unknown>
no	RB	no
winning	VBG	win
.	SENT	.
How	WRB	how
do	VBP	do
you	PP	you
win	VB	win
pizza	NN	pizza
?	SENT	?
You	PP	you
don	VBP	don
'	''	'
t	NN	t
.	SENT	.
But	CC	but
you	PP	you
do	VBP	do
look	VB	look
for	IN	for
,	,	,
"	``	"
Are	VBP	be
we	PP	we
satisfied	VBN	satisfy
?	SENT	?
"	''	"
And	CC	and
sometimes	RB	sometimes
that	WDT	that
can	MD	can
be	VB	be
different	JJ	different
amounts	NNS	amount
over	IN	over
different	JJ	different
times	NNS	time
or	CC	or
with	IN	with
different	JJ	different
people	NNS	people
or	CC	or
on	IN	on
different	JJ	different
days	NNS	day
.	SENT	.
And	CC	and
we	PP	we
get	VBP	get
to	TO	to
decide	VB	decide
when	WRB	when
we	PP	we
feel	VBP	feel
satisfied	VBN	satisfy
.	SENT	.
If	IN	if
we	PP	we
'	POS	'
re	NN	re
still	RB	still
hungry	JJ	hungry
,	,	,
we	PP	we
might	MD	might
have	VB	have
some	DT	some
more	RBR	more
.	SENT	.
If	IN	if
you	PP	you
eat	VBP	eat
too	RB	too
much	RB	much
,	,	,
though	RB	though
,	,	,
you	PP	you
just	RB	just
feel	VBP	feel
gross	JJ	gross
.	SENT	.
So	RB	so
what	WP	what
if	IN	if
we	PP	we
could	MD	could
take	VB	take
this	DT	this
pizza	NN	pizza
model	NN	model
and	CC	and
overlay	VBD	overlie
it	PP	it
on	IN	on
top	NN	top
of	IN	of
sexuality	NN	sexuality
education	NN	education
?	SENT	?
A	DT	a
lot	NN	lot
of	IN	of
sexuality	NN	sexuality
education	NN	education
that	WDT	that
happens	VBZ	happen
today	NN	today
is	VBZ	be
so	RB	so
influenced	VBN	influence
by	IN	by
the	DT	the
baseball	NN	baseball
model	NN	model
,	,	,
and	CC	and
it	PP	it
sets	VBZ	set
up	RP	up
education	NN	education
that	WDT	that
can	MD	can
'	''	'
t	NN	t
help	VB	help
but	CC	but
produce	VB	produce
unhealthy	JJ	unhealthy
sexuality	NN	sexuality
in	IN	in
young	JJ	young
people	NNS	people
.	SENT	.
And	CC	and
those	DT	those
young	JJ	young
people	NNS	people
become	VBP	become
older	JJR	old
people	NNS	people
.	SENT	.
But	CC	but
if	IN	if
we	PP	we
could	MD	could
create	VB	create
sexuality	NN	sexuality
education	NN	education
that	WDT	that
was	VBD	be
more	JJR	more
like	IN	like
pizza	NN	pizza
,	,	,
we	PP	we
could	MD	could
create	VB	create
education	NN	education
that	WDT	that
invites	VBZ	invite
people	NNS	people
to	TO	to
think	VB	think
about	IN	about
their	PP$	their
own	JJ	own
desires	NNS	desire
,	,	,
to	TO	to
make	VB	make
deliberate	JJ	deliberate
decisions	NNS	decision
about	IN	about
what	WP	what
they	PP	they
want	VBP	want
,	,	,
to	TO	to
talk	VB	talk
about	IN	about
it	PP	it
with	IN	with
their	PP$	their
partners	NNS	partner
,	,	,
and	CC	and
to	TO	to
ultimately	RB	ultimately
look	VB	look
for	IN	for
not	RB	not
some	DT	some
external	JJ	external
outcome	NN	outcome
but	CC	but
for	IN	for
what	WP	what
feels	VBZ	feel
satisfying	JJ	satisfying
,	,	,
and	CC	and
we	PP	we
get	VBP	get
to	TO	to
decide	VB	decide
that	DT	that
.	SENT	.
You	PP	you
may	MD	may
have	VB	have
noticed	VBN	notice
in	IN	in
the	DT	the
baseball	NN	baseball
and	CC	and
pizza	NN	pizza
comparison	NN	comparison
,	,	,
under	IN	under
the	DT	the
baseball	NN	baseball
,	,	,
it	PP	it
'	POS	'
s	NN	S
all	RB	all
commands	VBZ	command
.	SENT	.
They	PP	they
'	''	'
re	IN	re
all	DT	all
exclamation	NN	exclamation
points	NNS	point
.	SENT	.
But	CC	but
under	IN	under
the	DT	the
pizza	NN	pizza
model	NN	model
,	,	,
they	PP	they
'	POS	'
re	NN	re
questions	NNS	question
.	SENT	.
And	CC	and
who	WP	who
gets	VBZ	get
to	TO	to
answer	VB	answer
those	DT	those
questions	NNS	question
?	SENT	?
You	PP	you
do	VBP	do
.	SENT	.
I	PP	I
do	VBP	do
.	SENT	.
So	RB	so
remember	VB	remember
,	,	,
when	WRB	when
we	PP	we
'	POS	'
re	NN	re
thinking	NN	thinking
about	IN	about
sexuality	NN	sexuality
education	NN	education
and	CC	and
sexual	JJ	sexual
activity	NN	activity
,	,	,
baseball	NN	baseball
,	,	,
you	PP	you
'	POS	'
re	NN	re
out	RB	out
.	SENT	.
Pizza	NP	Pizza
is	VBZ	be
the	DT	the
way	NN	way
to	TO	to
think	VB	think
about	RB	about
healthy	JJ	healthy
,	,	,
satisfying	JJ	satisfying
sexual	JJ	sexual
activity	NN	activity
,	,	,
and	CC	and
good	JJ	good
,	,	,
comprehensive	JJ	comprehensive
sexuality	NN	sexuality
education	NN	education
.	SENT	.
Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
your	PP$	your
time	NN	time
.	SENT	.
