My	PP$	my
what	WP	what
happens	VBZ	happen
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
okay	JJ	okay
to	TO	to
applaud	VB	applaud
the	DT	the
laws	NNS	law
of	IN	of
physics	NNS	physic
,	,	,
but	CC	but
essentially	RB	essentially
what	WP	what
'	POS	'
s	NNS	<unknown>
happening	VBG	happen
here	RB	here
—	:	-
—	:	-
is	VBZ	be
the	DT	the
energy	NN	energy
from	IN	from
the	DT	the
sound	NN	sound
via	IN	via
the	DT	the
air	NN	air
and	CC	and
gas	NN	gas
molecules	NNS	molecule
is	VBZ	be
influencing	VBG	influence
the	DT	the
combustion	NN	combustion
properties	NNS	property
of	IN	of
propane	NN	propane
,	,	,
creating	VBG	create
a	DT	a
visible	JJ	visible
waveform	NN	waveform
,	,	,
and	CC	and
we	PP	we
can	MD	can
see	VB	see
the	DT	the
alternating	VBG	alternate
regions	NNS	region
of	IN	of
compression	NN	compression
and	CC	and
rarefaction	NN	rarefaction
that	IN	that
we	PP	we
call	VBP	call
frequency	NN	frequency
,	,	,
and	CC	and
the	DT	the
height	NN	height
is	VBZ	be
showing	VBG	show
us	PP	us
amplitude	NN	amplitude
.	SENT	.
So	RB	so
let	VB	let
'	''	'
s	NNS	<unknown>
change	VBP	change
the	DT	the
frequency	NN	frequency
of	IN	of
the	DT	the
sound	NN	sound
,	,	,
and	CC	and
watch	VB	watch
what	WP	what
happens	VBZ	happen
to	TO	to
the	DT	the
fire	NN	fire
.	SENT	.
So	IN	so
every	DT	every
time	NN	time
we	PP	we
hit	VBD	hit
a	DT	a
resonant	JJ	resonant
frequency	NN	frequency
we	PP	we
get	VBP	get
a	DT	a
standing	NN	standing
wave	NN	wave
and	CC	and
that	DT	that
emergent	JJ	emergent
sine	NN	sine
curve	NN	curve
of	IN	of
fire	NN	fire
.	SENT	.
So	RB	so
let	VB	let
'	''	'
s	NNS	<unknown>
turn	VBP	turn
that	IN	that
off	RB	off
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
indoors	RB	indoors
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
I	PP	I
also	RB	also
have	VBP	have
with	IN	with
me	PP	me
a	DT	a
flame	NN	flame
table	NN	table
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
very	RB	very
similar	JJ	similar
to	TO	to
a	DT	a
Rubens	NP	Rubens
'	POS	'
tube	NN	tube
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
also	RB	also
used	VBN	use
for	IN	for
visualizing	VBG	visualize
the	DT	the
physical	JJ	physical
properties	NNS	property
of	IN	of
sound	JJ	sound
,	,	,
such	JJ	such
as	IN	as
eigenmodes	NNS	eigenmode
,	,	,
so	RB	so
let	VBP	let
'	POS	'
s	NNS	<unknown>
fire	VB	fire
it	PP	it
up	RP	up
and	CC	and
see	VB	see
what	WP	what
it	PP	it
does	VBZ	do
.	SENT	.
Ooh	NP	Ooh
.	SENT	.
Okay	JJ	okay
.	SENT	.
Now	RB	now
,	,	,
while	IN	while
the	DT	the
table	NN	table
comes	VBZ	come
up	RP	up
to	TO	to
pressure	VB	pressure
,	,	,
let	VB	let
me	PP	me
note	VBP	note
here	RB	here
that	IN	that
the	DT	the
sound	NN	sound
is	VBZ	be
not	RB	not
traveling	VBG	travel
in	IN	in
perfect	JJ	perfect
lines	NNS	line
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
actually	RB	actually
traveling	VBG	travel
in	IN	in
all	DT	all
directions	NNS	direction
,	,	,
and	CC	and
the	DT	the
Rubens	NP	Rubens
'	POS	'
tube	NN	tube
'	''	'
s	VBG	<unknown>
a	DT	a
little	JJ	little
like	IN	like
bisecting	VBG	bisect
those	DT	those
waves	NNS	wave
with	IN	with
a	DT	a
line	NN	line
,	,	,
and	CC	and
the	DT	the
flame	NN	flame
table	NN	table
'	POS	'
s	NN	S
a	DT	a
little	JJ	little
like	IN	like
bisecting	VBG	bisect
those	DT	those
waves	NNS	wave
with	IN	with
a	DT	a
plane	NN	plane
,	,	,
and	CC	and
it	PP	it
can	MD	can
show	VB	show
a	DT	a
little	RB	little
more	RBR	more
subtle	JJ	subtle
complexity	NN	complexity
,	,	,
which	WDT	which
is	VBZ	be
why	WRB	why
I	PP	I
like	VBP	like
to	TO	to
use	VB	use
it	PP	it
to	TO	to
watch	VB	watch
Geoff	NP	Geoff
Farina	NP	Farina
play	NN	play
guitar	NN	guitar
.	SENT	.
All	DT	all
right	NN	right
,	,	,
so	IN	so
it	PP	it
'	POS	'
s	NN	S
a	DT	a
delicate	JJ	delicate
dance	NN	dance
.	SENT	.
If	IN	if
you	PP	you
watch	VBP	watch
closely	RB	closely
—	:	-
If	IN	if
you	PP	you
watch	VBP	watch
closely	RB	closely
,	,	,
you	PP	you
may	MD	may
have	VB	have
seen	VBN	see
some	DT	some
of	IN	of
the	DT	the
eigenmodes	NNS	eigenmode
,	,	,
but	CC	but
also	RB	also
you	PP	you
may	MD	may
have	VB	have
seen	VBN	see
that	DT	that
jazz	NN	jazz
music	NN	music
is	VBZ	be
better	JJR	good
with	IN	with
fire	NN	fire
.	SENT	.
Actually	RB	actually
,	,	,
a	DT	a
lot	NN	lot
of	IN	of
things	NNS	thing
are	VBP	be
better	JJR	good
with	IN	with
fire	NN	fire
in	IN	in
my	PP$	my
world	NN	world
,	,	,
but	CC	but
the	DT	the
fire	NN	fire
'	POS	'
s	NN	S
just	RB	just
a	DT	a
foundation	NN	foundation
.	SENT	.
It	PP	it
shows	VBZ	show
very	RB	very
well	RB	well
that	IN	that
eyes	NNS	eye
can	MD	can
hear	VB	hear
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
interesting	JJ	interesting
to	TO	to
me	PP	me
because	IN	because
technology	NN	technology
allows	VBZ	allow
us	PP	us
to	TO	to
present	VB	present
sound	NN	sound
to	TO	to
the	DT	the
eyes	NNS	eye
in	IN	in
ways	NNS	way
that	WDT	that
accentuate	VBP	accentuate
the	DT	the
strength	NN	strength
of	IN	of
the	DT	the
eyes	NNS	eye
for	IN	for
seeing	VBG	see
sound	JJ	sound
,	,	,
such	JJ	such
as	IN	as
the	DT	the
removal	NN	removal
of	IN	of
time	NN	time
.	SENT	.
So	RB	so
here	RB	here
,	,	,
I	PP	I
'	POS	'
m	NN	m
using	VBG	use
a	DT	a
rendering	VBG	render
algorithm	NN	algorithm
to	TO	to
paint	VB	paint
the	DT	the
frequencies	NNS	frequency
of	IN	of
the	DT	the
song	NN	song
"	``	"
Smells	VBZ	smell
Like	IN	like
Teen	JJ	teen
Spirit	NN	spirit
"	''	"
in	IN	in
a	DT	a
way	NN	way
that	IN	that
the	DT	the
eyes	NNS	eye
can	MD	can
take	VB	take
them	PP	them
in	IN	in
as	IN	as
a	DT	a
single	JJ	single
visual	JJ	visual
impression	NN	impression
,	,	,
and	CC	and
the	DT	the
technique	NN	technique
will	MD	will
also	RB	also
show	VB	show
the	DT	the
strengths	NNS	strength
of	IN	of
the	DT	the
visual	JJ	visual
cortex	NN	cortex
for	IN	for
pattern	NN	pattern
recognition	NN	recognition
.	SENT	.
So	RB	so
if	IN	if
I	PP	I
show	VBP	show
you	PP	you
another	DT	another
song	NN	song
off	IN	off
this	DT	this
album	NN	album
,	,	,
and	CC	and
another	DT	another
,	,	,
your	PP$	your
eyes	NNS	eye
will	MD	will
easily	RB	easily
pick	VB	pick
out	RP	out
the	DT	the
use	NN	use
of	IN	of
repetition	NN	repetition
by	IN	by
the	DT	the
band	NN	band
Nirvana	NN	nirvana
,	,	,
and	CC	and
in	IN	in
the	DT	the
frequency	NN	frequency
distribution	NN	distribution
,	,	,
the	DT	the
colors	NNS	color
,	,	,
you	PP	you
can	MD	can
see	VB	see
the	DT	the
clean-	NN	<unknown>
dirty-clean	JJ	dirty-clean
sound	NN	sound
that	IN	that
they	PP	they
are	VBP	be
famous	JJ	famous
for	IN	for
,	,	,
and	CC	and
here	RB	here
is	VBZ	be
the	DT	the
entire	JJ	entire
album	NN	album
as	IN	as
a	DT	a
single	JJ	single
visual	JJ	visual
impression	NN	impression
,	,	,
and	CC	and
I	PP	I
think	VBP	think
this	DT	this
impression	NN	impression
is	VBZ	be
pretty	RB	pretty
powerful	JJ	powerful
.	SENT	.
At	IN	at
least	JJS	least
,	,	,
it	PP	it
'	POS	'
s	JJ	<unknown>
powerful	JJ	powerful
enough	NN	enough
that	IN	that
if	IN	if
I	PP	I
show	VBP	show
you	PP	you
these	DT	these
four	CD	four
songs	NNS	song
,	,	,
and	CC	and
I	PP	I
remind	VBP	remind
you	PP	you
that	IN	that
this	DT	this
is	VBZ	be
"	``	"
Smells	VBZ	smell
Like	IN	like
Teen	JJ	teen
Spirit	NN	spirit
,	,	,
"	''	"
you	PP	you
can	MD	can
probably	RB	probably
correctly	RB	correctly
guess	VB	guess
,	,	,
without	IN	without
listening	VBG	listen
to	TO	to
any	DT	any
music	NN	music
at	IN	at
all	DT	all
,	,	,
that	IN	that
the	DT	the
song	NN	song
a	DT	a
die	NN	die
hard	JJ	hard
Nirvana	NN	nirvana
fan	NN	fan
would	MD	would
enjoy	VB	enjoy
is	VBZ	be
this	DT	this
song	NN	song
,	,	,
"	''	"
I	NP	I
'	POS	'
ll	NNS	<unknown>
Stick	VB	stick
Around	IN	around
"	``	"
by	IN	by
the	DT	the
Foo	NP	Foo
Fighters	NNS	fighter
,	,	,
whose	WP$	whose
lead	NN	lead
singer	NN	singer
is	VBZ	be
Dave	NP	Dave
Grohl	NP	Grohl
,	,	,
who	WP	who
was	VBD	be
the	DT	the
drummer	NN	drummer
in	IN	in
Nirvana	NN	nirvana
.	SENT	.
The	DT	the
songs	NNS	song
are	VBP	be
a	DT	a
little	RB	little
similar	JJ	similar
,	,	,
but	CC	but
mostly	RB	mostly
I	NP	I
'	POS	'
m	NN	m
just	RB	just
interested	JJ	interested
in	IN	in
the	DT	the
idea	NN	idea
that	IN	that
someday	RB	someday
maybe	RB	maybe
we	PP	we
'	POS	'
ll	NNS	<unknown>
buy	VBP	buy
a	DT	a
song	NN	song
because	IN	because
we	PP	we
like	VBP	like
the	DT	the
way	NN	way
it	PP	it
looks	VBZ	look
.	SENT	.
All	DT	all
right	NN	right
,	,	,
now	RB	now
for	IN	for
some	DT	some
more	JJR	more
sound	NN	sound
data	NNS	datum
.	SENT	.
This	DT	this
is	VBZ	be
data	NNS	datum
from	IN	from
a	DT	a
skate	NN	skate
park	NN	park
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
Mabel	NP	Mabel
Davis	NP	Davis
skate	NN	skate
park	NN	park
in	IN	in
Austin	NP	Austin
,	,	,
Texas	NP	Texas
.	SENT	.
And	CC	and
the	DT	the
sounds	VBZ	sound
you	PP	you
'	''	'
re	IN	re
hearing	NN	hearing
came	VBD	come
from	IN	from
eight	CD	eight
microphones	NNS	microphone
attached	VBN	attach
to	TO	to
obstacles	NNS	obstacle
around	IN	around
the	DT	the
park	NN	park
,	,	,
and	CC	and
it	PP	it
sounds	VBZ	sound
like	IN	like
chaos	NN	chaos
,	,	,
but	CC	but
actually	RB	actually
all	PDT	all
the	DT	the
tricks	NNS	trick
start	VBP	start
with	IN	with
a	DT	a
very	RB	very
distinct	JJ	distinct
slap	NN	slap
,	,	,
but	CC	but
successful	JJ	successful
tricks	NNS	trick
end	NN	end
with	IN	with
a	DT	a
pop	NN	pop
,	,	,
whereas	IN	whereas
unsuccessful	JJ	unsuccessful
tricks	NNS	trick
more	RBR	more
of	IN	of
a	DT	a
scratch	NN	scratch
and	CC	and
a	DT	a
tumble	NN	tumble
,	,	,
and	CC	and
tricks	NNS	trick
on	IN	on
the	DT	the
rail	NN	rail
will	MD	will
ring	VB	ring
out	RP	out
like	IN	like
a	DT	a
gong	NN	gong
,	,	,
and	CC	and
voices	NNS	voice
occupy	VBP	occupy
very	RB	very
unique	JJ	unique
frequencies	NNS	frequency
in	IN	in
the	DT	the
skate	NN	skate
park	NN	park
.	SENT	.
So	RB	so
if	IN	if
we	PP	we
were	VBD	be
to	TO	to
render	VB	render
these	DT	these
sounds	NNS	sound
visually	RB	visually
,	,	,
we	PP	we
might	MD	might
end	VB	end
up	RP	up
with	IN	with
something	NN	something
like	IN	like
this	DT	this
.	SENT	.
This	DT	this
is	VBZ	be
all	DT	all
40	CD	@card@
minutes	NNS	minute
of	IN	of
the	DT	the
recording	NN	recording
,	,	,
and	CC	and
right	RB	right
away	RB	away
the	DT	the
algorithm	NN	algorithm
tells	VBZ	tell
us	PP	us
a	DT	a
lot	RB	lot
more	JJR	more
tricks	NNS	trick
are	VBP	be
missed	VBN	miss
than	IN	than
are	VBP	be
made	VBN	make
,	,	,
and	CC	and
also	RB	also
a	DT	a
trick	NN	trick
on	IN	on
the	DT	the
rails	NNS	rail
is	VBZ	be
a	DT	a
lot	NN	lot
more	RBR	more
likely	JJ	likely
to	TO	to
produce	VB	produce
a	DT	a
cheer	NN	cheer
,	,	,
and	CC	and
if	IN	if
you	PP	you
look	VBP	look
really	RB	really
closely	RB	closely
,	,	,
we	PP	we
can	MD	can
tease	VB	tease
out	RP	out
traffic	NN	traffic
patterns	NNS	pattern
.	SENT	.
You	PP	you
see	VBP	see
the	DT	the
skaters	NNS	skater
often	RB	often
trick	VBP	trick
in	IN	in
this	DT	this
direction	NN	direction
.	SENT	.
The	DT	the
obstacles	NNS	obstacle
are	VBP	be
easier	JJR	easy
.	SENT	.
And	CC	and
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
the	DT	the
recording	NN	recording
,	,	,
the	DT	the
mics	NNS	<unknown>
pick	VBP	pick
this	DT	this
up	RP	up
,	,	,
but	CC	but
later	RBR	later
in	IN	in
the	DT	the
recording	NN	recording
,	,	,
this	DT	this
kid	NN	kid
shows	VBZ	show
up	RP	up
,	,	,
and	CC	and
he	PP	he
starts	VBZ	start
using	VBG	use
a	DT	a
line	NN	line
at	IN	at
the	DT	the
top	NN	top
of	IN	of
the	DT	the
park	NN	park
to	TO	to
do	VB	do
some	DT	some
very	RB	very
advanced	JJ	advanced
tricks	NNS	trick
on	IN	on
something	NN	something
called	VBD	call
the	DT	the
tall	JJ	tall
rail	NN	rail
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
fascinating	JJ	fascinating
.	SENT	.
At	IN	at
this	DT	this
moment	NN	moment
in	IN	in
time	NN	time
,	,	,
all	PDT	all
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
skaters	NNS	skater
turn	VBP	turn
their	PP$	their
lines	NNS	line
90	CD	@card@
degrees	NNS	degree
to	TO	to
stay	VB	stay
out	RP	out
of	IN	of
his	PP$	his
way	NN	way
.	SENT	.
You	PP	you
see	VBP	see
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
subtle	JJ	subtle
etiquette	NN	etiquette
in	IN	in
the	DT	the
skate	NN	skate
park	NN	park
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
led	VBD	lead
by	IN	by
key	JJ	key
influencers	NNS	influencer
,	,	,
and	CC	and
they	PP	they
tend	VBP	tend
to	TO	to
be	VB	be
the	DT	the
kids	NNS	kid
who	WP	who
can	MD	can
do	VB	do
the	DT	the
best	JJS	good
tricks	NNS	trick
,	,	,
or	CC	or
wear	VB	wear
red	JJ	red
pants	NNS	pant
,	,	,
and	CC	and
on	IN	on
this	DT	this
day	NN	day
the	DT	the
mics	NNS	<unknown>
picked	VBD	pick
that	IN	that
up	RB	up
.	SENT	.
All	DT	all
right	NN	right
,	,	,
from	IN	from
skate	NN	skate
physics	NNS	physic
to	TO	to
theoretical	JJ	theoretical
physics	NNS	physic
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
a	DT	a
big	JJ	big
fan	NN	fan
of	IN	of
Stephen	NP	Stephen
Hawking	NP	Hawking
,	,	,
and	CC	and
I	PP	I
wanted	VBD	want
to	TO	to
use	VB	use
all	DT	all
eight	CD	eight
hours	NNS	hour
of	IN	of
his	PP$	his
Cambridge	NP	Cambridge
lecture	NN	lecture
series	NN	series
to	TO	to
create	VB	create
an	DT	an
homage	NN	homage
.	SENT	.
Now	RB	now
,	,	,
in	IN	in
this	DT	this
series	NN	series
he	PP	he
'	POS	'
s	JJ	<unknown>
speaking	NN	speaking
with	IN	with
the	DT	the
aid	NN	aid
of	IN	of
a	DT	a
computer	NN	computer
,	,	,
which	WDT	which
actually	RB	actually
makes	VBZ	make
identifying	VBG	identify
the	DT	the
ends	NNS	end
of	IN	of
sentences	NNS	sentence
fairly	RB	fairly
easy	JJ	easy
.	SENT	.
So	RB	so
I	PP	I
wrote	VBD	write
a	DT	a
steering	NN	steering
algorithm	NN	algorithm
.	SENT	.
It	PP	it
listens	VBZ	listen
to	TO	to
the	DT	the
lecture	NN	lecture
,	,	,
and	CC	and
then	RB	then
it	PP	it
uses	VBZ	use
the	DT	the
amplitude	NN	amplitude
of	IN	of
each	DT	each
word	NN	word
to	TO	to
move	VB	move
a	DT	a
point	NN	point
on	IN	on
the	DT	the
x-axis	JJ	x-axis
,	,	,
and	CC	and
it	PP	it
uses	VBZ	use
the	DT	the
inflection	NN	inflection
of	IN	of
sentences	NNS	sentence
to	TO	to
move	VB	move
a	DT	a
same	JJ	same
point	NN	point
up	RP	up
and	CC	and
down	RP	down
on	IN	on
the	DT	the
y-axis	JJ	y-axis
.	SENT	.
And	CC	and
these	DT	these
trend	NN	trend
lines	NNS	line
,	,	,
you	PP	you
can	MD	can
see	VB	see
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
more	JJR	more
questions	NNS	question
than	IN	than
answers	NNS	answer
in	IN	in
the	DT	the
laws	NNS	law
of	IN	of
physics	NNS	physic
,	,	,
and	CC	and
when	WRB	when
we	PP	we
reach	VBP	reach
the	DT	the
end	NN	end
of	IN	of
a	DT	a
sentence	NN	sentence
,	,	,
we	PP	we
place	VBP	place
a	DT	a
star	NN	star
at	IN	at
that	DT	that
location	NN	location
.	SENT	.
So	RB	so
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
lot	NN	lot
of	IN	of
sentences	NNS	sentence
,	,	,
so	RB	so
a	DT	a
lot	NN	lot
of	IN	of
stars	NNS	star
,	,	,
and	CC	and
after	IN	after
rendering	VBG	render
all	DT	all
of	IN	of
the	DT	the
audio	NN	audio
,	,	,
this	DT	this
is	VBZ	be
what	WP	what
we	PP	we
get	VBP	get
.	SENT	.
This	DT	this
is	VBZ	be
Stephen	NP	Stephen
Hawking	NP	Hawking
'	POS	'
s	NN	S
universe	NN	universe
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
all	DT	all
eight	CD	eight
hours	NNS	hour
of	IN	of
the	DT	the
Cambridge	NP	Cambridge
lecture	NN	lecture
series	NN	series
taken	VBN	take
in	IN	in
as	IN	as
a	DT	a
single	JJ	single
visual	JJ	visual
impression	NN	impression
,	,	,
and	CC	and
I	PP	I
really	RB	really
like	VBP	like
this	DT	this
image	NN	image
,	,	,
but	CC	but
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
think	VBP	think
it	PP	it
'	''	'
s	NNS	<unknown>
fake	JJ	fake
.	SENT	.
So	RB	so
I	PP	I
made	VBD	make
a	DT	a
more	RBR	more
interactive	JJ	interactive
version	NN	version
,	,	,
and	CC	and
the	DT	the
way	NN	way
I	PP	I
did	VBD	do
that	WDT	that
is	VBZ	be
I	PP	I
used	VBD	use
their	PP$	their
position	NN	position
in	IN	in
time	NN	time
in	IN	in
the	DT	the
lecture	NN	lecture
to	TO	to
place	VB	place
these	DT	these
stars	NNS	star
into	IN	into
3D	JJ	3D
space	NN	space
,	,	,
and	CC	and
with	IN	with
some	DT	some
custom	NN	custom
software	NN	software
and	CC	and
a	DT	a
Kinect	NN	<unknown>
,	,	,
I	PP	I
can	MD	can
walk	VB	walk
right	RB	right
into	IN	into
the	DT	the
lecture	NN	lecture
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
wave	NN	wave
through	IN	through
the	DT	the
Kinect	NN	<unknown>
here	RB	here
and	CC	and
take	VB	take
control	NN	control
,	,	,
and	CC	and
now	RB	now
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
reach	VB	reach
out	RP	out
and	CC	and
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
touch	VB	touch
a	DT	a
star	NN	star
,	,	,
and	CC	and
when	WRB	when
I	PP	I
do	VBP	do
,	,	,
it	PP	it
will	MD	will
play	VB	play
the	DT	the
sentence	NN	sentence
that	WDT	that
generated	VBD	generate
that	DT	that
star	NN	star
.	SENT	.
Stephen	NP	Stephen
Hawking	NP	Hawking
:	:	:
There	EX	there
is	VBZ	be
one	CD	one
,	,	,
and	CC	and
only	RB	only
one	CD	one
,	,	,
arrangement	NN	arrangement
in	IN	in
which	WDT	which
the	DT	the
pieces	NNS	piece
make	VBP	make
a	DT	a
complete	JJ	complete
picture	NN	picture
.	SENT	.
Jared	NP	Jared
Ficklin	NP	Ficklin
:	:	:
Thank	VB	thank
you	PP	you
.	SENT	.
There	EX	there
are	VBP	be
1	CD	@card@
,	,	,
400	CD	@card@
stars	NNS	star
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
really	RB	really
fun	NN	fun
way	NN	way
to	TO	to
explore	VB	explore
the	DT	the
lecture	NN	lecture
,	,	,
and	CC	and
,	,	,
I	PP	I
hope	VBP	hope
,	,	,
a	DT	a
fitting	JJ	fitting
homage	NN	homage
.	SENT	.
All	DT	all
right	NN	right
.	SENT	.
Let	VB	let
me	PP	me
close	VB	close
with	IN	with
a	DT	a
work	NN	work
in	IN	in
progress	NN	progress
.	SENT	.
I	PP	I
think	VBP	think
,	,	,
after	IN	after
30	CD	@card@
years	NNS	year
,	,	,
the	DT	the
opportunity	NN	opportunity
exists	VBZ	exist
to	TO	to
create	VB	create
an	DT	an
enhanced	JJ	enhanced
version	NN	version
of	IN	of
closed	VBN	close
captioning	VBG	caption
.	SENT	.
Now	RB	now
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
all	RB	all
seen	VBN	see
a	DT	a
lot	NN	lot
of	IN	of
TEDTalks	NNS	TEDtalk
online	JJ	online
,	,	,
so	RB	so
let	VBD	let
'	''	'
s	NNS	<unknown>
watch	VBP	watch
one	CD	one
now	RB	now
with	IN	with
the	DT	the
sound	NN	sound
turned	VBD	turn
off	RP	off
and	CC	and
the	DT	the
closed	VBD	close
captioning	VBG	caption
turned	VBN	turn
on	RP	on
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
no	RB	no
closed	VBD	close
captioning	VBG	caption
for	IN	for
the	DT	the
TED	VBP	ted
theme	NN	theme
song	NN	song
,	,	,
and	CC	and
we	PP	we
'	POS	'
re	NN	re
missing	VBG	miss
it	PP	it
,	,	,
but	CC	but
if	IN	if
you	PP	you
'	POS	'
ve	NN	ve
watched	VBD	watch
enough	RB	enough
of	IN	of
these	DT	these
,	,	,
you	PP	you
hear	VBP	hear
it	PP	it
in	IN	in
your	PP$	your
mind	NN	mind
'	POS	'
s	NN	S
ear	NN	ear
,	,	,
and	CC	and
then	RB	then
applause	NN	applause
starts	NNS	start
.	SENT	.
It	PP	it
usually	RB	usually
begins	VBZ	begin
here	RB	here
,	,	,
and	CC	and
it	PP	it
grows	VBZ	grow
and	CC	and
then	RB	then
it	PP	it
falls	VBZ	fall
.	SENT	.
Sometimes	RB	sometimes
you	PP	you
get	VBP	get
a	DT	a
little	JJ	little
star	NN	star
applause	NN	applause
,	,	,
and	CC	and
then	RB	then
I	PP	I
think	VBP	think
even	RB	even
Bill	NP	Bill
Gates	NP	Gates
takes	VBZ	take
a	DT	a
nervous	JJ	nervous
breath	NN	breath
,	,	,
and	CC	and
the	DT	the
talk	NN	talk
begins	VBZ	begin
.	SENT	.
All	DT	all
right	NN	right
,	,	,
so	RB	so
let	VBD	let
'	''	'
s	NNS	<unknown>
watch	VBP	watch
this	DT	this
clip	NN	clip
again	RB	again
.	SENT	.
This	DT	this
time	NN	time
,	,	,
I	PP	I
'	POS	'
m	NN	m
not	RB	not
going	VBG	go
to	TO	to
talk	VB	talk
at	IN	at
all	DT	all
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
still	RB	still
going	VBG	go
to	TO	to
be	VB	be
no	RB	no
audio	JJ	audio
,	,	,
but	CC	but
what	WP	what
I	PP	I
am	VBP	be
going	VBG	go
to	TO	to
do	VB	do
is	VBZ	be
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
render	VB	render
the	DT	the
sound	NN	sound
visually	RB	visually
in	IN	in
real	JJ	real
time	NN	time
at	IN	at
the	DT	the
bottom	NN	bottom
of	IN	of
the	DT	the
screen	NN	screen
.	SENT	.
So	RB	so
watch	VB	watch
closely	RB	closely
and	CC	and
see	VB	see
what	WP	what
your	PP$	your
eyes	NNS	eye
can	MD	can
hear	VB	hear
.	SENT	.
This	DT	this
is	VBZ	be
fairly	RB	fairly
amazing	JJ	amazing
to	TO	to
me	PP	me
.	SENT	.
Even	RB	even
on	IN	on
the	DT	the
first	JJ	first
view	NN	view
,	,	,
your	PP$	your
eyes	NNS	eye
will	MD	will
successfully	RB	successfully
pick	VB	pick
out	RP	out
patterns	NNS	pattern
,	,	,
but	CC	but
on	IN	on
repeated	JJ	repeated
views	NNS	view
,	,	,
your	PP$	your
brain	NN	brain
actually	RB	actually
gets	VBZ	get
better	RBR	well
at	IN	at
turning	VBG	turn
these	DT	these
