So	RB	so
Would	MD	would
the	DT	the
discovery	NN	discovery
of	IN	of
an	DT	an
older	JJR	old
cultural	JJ	cultural
civilization	NN	civilization
out	RB	out
there	RB	there
inspire	VB	inspire
us	PP	us
to	TO	to
find	VB	find
ways	NNS	way
to	TO	to
survive	VB	survive
our	PP$	our
increasingly	RB	increasingly
uncertain	JJ	uncertain
technological	JJ	technological
adolescence	NN	adolescence
?	SENT	?
Might	MD	might
it	PP	it
be	VB	be
the	DT	the
discovery	NN	discovery
of	IN	of
a	DT	a
distant	JJ	distant
civilization	NN	civilization
and	CC	and
our	PP$	our
common	JJ	common
cosmic	JJ	cosmic
origins	NNS	origin
that	WDT	that
finally	RB	finally
drives	VBZ	drive
home	RB	home
the	DT	the
message	NN	message
of	IN	of
the	DT	the
bond	NN	bond
among	IN	among
all	DT	all
humans	NNS	human
?	SENT	?
Whether	IN	whether
we	PP	we
'	POS	'
re	NN	re
born	VBN	bear
in	IN	in
San	NP	San
Francisco	NP	Francisco
,	,	,
or	CC	or
Sudan	NP	Sudan
,	,	,
or	CC	or
close	VB	close
to	TO	to
the	DT	the
heart	NN	heart
of	IN	of
the	DT	the
Milky	JJ	milky
Way	NN	way
galaxy	NN	galaxy
,	,	,
we	PP	we
are	VBP	be
the	DT	the
products	NNS	product
of	IN	of
a	DT	a
billion-year	NN	<unknown>
lineage	NN	lineage
of	IN	of
wandering	VBG	wander
stardust	NN	stardust
.	SENT	.
We	PP	we
,	,	,
all	RB	all
of	IN	of
us	PP	us
,	,	,
are	VBP	be
what	WP	what
happens	VBZ	happen
when	WRB	when
a	DT	a
primordial	JJ	primordial
mixture	NN	mixture
of	IN	of
hydrogen	NN	hydrogen
and	CC	and
helium	NN	helium
evolves	VBZ	evolve
for	IN	for
so	RB	so
long	JJ	long
that	IN	that
it	PP	it
begins	VBZ	begin
to	TO	to
ask	VB	ask
where	WRB	where
it	PP	it
came	VBD	come
from	IN	from
.	SENT	.
Fifty	CD	fifty
years	NNS	year
ago	RB	ago
,	,	,
the	DT	the
journey	NN	journey
to	TO	to
find	VB	find
answers	NNS	answer
took	VBD	take
a	DT	a
different	JJ	different
path	NN	path
and	CC	and
SETI	NP	<unknown>
,	,	,
the	DT	the
Search	NP	Search
for	IN	for
Extra-Terrestrial	NN	Extra-Terrestrial
Intelligence	NP	Intelligence
,	,	,
began	VBD	begin
.	SENT	.
So	RB	so
,	,	,
what	WP	what
exactly	RB	exactly
is	VBZ	be
SETI	NP	<unknown>
?	SENT	?
Well	RB	well
,	,	,
SETI	NP	<unknown>
uses	VBZ	use
the	DT	the
tools	NNS	tool
of	IN	of
astronomy	NN	astronomy
to	TO	to
try	VB	try
and	CC	and
find	VB	find
evidence	NN	evidence
of	IN	of
someone	NN	someone
else	RB	else
'	POS	'
s	JJ	<unknown>
technology	NN	technology
out	IN	out
there	RB	there
.	SENT	.
Our	PP$	our
own	JJ	own
technologies	NNS	technology
are	VBP	be
visible	JJ	visible
over	IN	over
interstellar	JJ	interstellar
distances	NNS	distance
,	,	,
and	CC	and
theirs	PP	theirs
might	MD	might
be	VB	be
as	RB	as
well	RB	well
.	SENT	.
It	PP	it
might	MD	might
be	VB	be
that	IN	that
some	DT	some
massive	JJ	massive
network	NN	network
of	IN	of
communications	NNS	communication
,	,	,
or	CC	or
some	DT	some
shield	NN	shield
against	IN	against
asteroidal	JJ	<unknown>
impact	NN	impact
,	,	,
or	CC	or
some	DT	some
huge	JJ	huge
astro-engineering	NN	astro-engineering
project	NN	project
that	IN	that
we	PP	we
can	MD	can
'	''	'
t	NN	t
even	RB	even
begin	VB	begin
to	TO	to
conceive	VB	conceive
of	IN	of
,	,	,
could	MD	could
generate	VB	generate
signals	NNS	signal
at	IN	at
radio	NN	radio
or	CC	or
optical	JJ	optical
frequencies	NNS	frequency
that	IN	that
a	DT	a
determined	VBN	determine
program	NN	program
of	IN	of
searching	VBG	search
might	MD	might
detect	VB	detect
.	SENT	.
For	IN	for
millennia	NNS	millennium
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
actually	RB	actually
turned	VBD	turn
to	TO	to
the	DT	the
priests	NNS	priest
and	CC	and
the	DT	the
philosophers	NNS	philosopher
for	IN	for
guidance	NN	guidance
and	CC	and
instruction	NN	instruction
on	IN	on
this	DT	this
question	NN	question
of	IN	of
whether	IN	whether
there	EX	there
'	''	'
s	NNS	<unknown>
intelligent	JJ	intelligent
life	NN	life
out	IN	out
there	RB	there
.	SENT	.
Now	RB	now
,	,	,
we	PP	we
can	MD	can
use	VB	use
the	DT	the
tools	NNS	tool
of	IN	of
the	DT	the
21st	JJ	21st
century	NN	century
to	TO	to
try	VB	try
and	CC	and
observe	VB	observe
what	WP	what
is	VBZ	be
,	,	,
rather	RB	rather
than	IN	than
ask	VB	ask
what	WP	what
should	MD	should
be	VB	be
,	,	,
believed	VBD	believe
.	SENT	.
SETI	NP	<unknown>
doesn	NP	<unknown>
'	POS	'
t	NN	t
presume	VB	presume
the	DT	the
existence	NN	existence
of	IN	of
extra	JJ	extra
terrestrial	JJ	terrestrial
intelligence	NN	intelligence
;	:	;
it	PP	it
merely	RB	merely
notes	VBZ	note
the	DT	the
possibility	NN	possibility
,	,	,
if	IN	if
not	RB	not
the	DT	the
probability	NN	probability
in	IN	in
this	DT	this
vast	JJ	vast
universe	NN	universe
,	,	,
which	WDT	which
seems	VBZ	seem
fairly	RB	fairly
uniform	JJ	uniform
.	SENT	.
The	DT	the
numbers	NNS	number
suggest	VBP	suggest
a	DT	a
universe	NN	universe
of	IN	of
possibilities	NNS	possibility
.	SENT	.
Our	PP$	our
sun	NN	sun
is	VBZ	be
one	CD	one
of	IN	of
400	CD	@card@
billion	NN	billion
stars	NNS	star
in	IN	in
our	PP$	our
galaxy	NN	galaxy
,	,	,
and	CC	and
we	PP	we
know	VBP	know
that	IN	that
many	JJ	many
other	JJ	other
stars	NNS	star
have	VBP	have
planetary	JJ	planetary
systems	NNS	system
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
discovered	VBD	discover
over	IN	over
350	CD	@card@
in	IN	in
the	DT	the
last	JJ	last
14	CD	@card@
years	NNS	year
,	,	,
including	VBG	include
the	DT	the
small	JJ	small
planet	NN	planet
,	,	,
announced	VBD	announce
earlier	RBR	earlier
this	DT	this
week	NN	week
,	,	,
which	WDT	which
has	VBZ	have
a	DT	a
radius	NN	radius
just	RB	just
twice	RB	twice
the	DT	the
size	NN	size
of	IN	of
the	DT	the
Earth	NN	earth
.	SENT	.
And	CC	and
,	,	,
if	IN	if
even	RB	even
all	DT	all
of	IN	of
the	DT	the
planetary	JJ	planetary
systems	NNS	system
in	IN	in
our	PP$	our
galaxy	NN	galaxy
were	VBD	be
devoid	JJ	devoid
of	IN	of
life	NN	life
,	,	,
there	EX	there
are	VBP	be
still	RB	still
100	CD	@card@
billion	NNS	billion
other	JJ	other
galaxies	NNS	galaxy
out	IN	out
there	RB	there
,	,	,
altogether	RB	altogether
10^22	JJ	<unknown>
stars	NNS	star
.	SENT	.
Now	RB	now
,	,	,
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
try	VB	try
a	DT	a
trick	NN	trick
,	,	,
and	CC	and
recreate	VB	recreate
an	DT	an
experiment	NN	experiment
from	IN	from
this	DT	this
morning	NN	morning
.	SENT	.
Remember	VB	remember
,	,	,
one	CD	one
billion	NNS	billion
?	SENT	?
But	CC	but
,	,	,
this	DT	this
time	NN	time
not	RB	not
one	CD	one
billion	NN	billion
dollars	NNS	dollar
,	,	,
one	CD	one
billion	NN	billion
stars	NNS	star
.	SENT	.
Alright	RB	alright
,	,	,
one	CD	one
billion	NN	billion
stars	NNS	star
.	SENT	.
Now	RB	now
,	,	,
up	RB	up
there	RB	there
,	,	,
20	CD	@card@
feet	NNS	foot
above	IN	above
the	DT	the
stage	NN	stage
,	,	,
that	WDT	that
'	POS	'
s	NN	S
10	CD	@card@
trillion	CD	trillion
.	SENT	.
Well	RB	well
,	,	,
what	WP	what
about	RB	about
10^22	JJ	<unknown>
?	SENT	?
Where	WRB	where
'	POS	'
s	NNS	<unknown>
the	DT	the
line	NN	line
that	WDT	that
marks	VBZ	mark
that	DT	that
?	SENT	?
That	DT	that
line	NN	line
would	MD	would
have	VB	have
to	TO	to
be	VB	be
3	CD	@card@
.	SENT	.
8	CD	@card@
million	CD	million
miles	NNS	mile
above	IN	above
this	DT	this
stage	NN	stage
.	SENT	.
16	CD	@card@
times	NNS	time
farther	RBR	farther
away	RB	away
than	IN	than
the	DT	the
moon	NN	moon
,	,	,
or	CC	or
four	CD	four
percent	NN	percent
of	IN	of
the	DT	the
distance	NN	distance
to	TO	to
the	DT	the
sun	NN	sun
.	SENT	.
So	RB	so
,	,	,
there	EX	there
are	VBP	be
many	JJ	many
possibilities	NNS	possibility
.	SENT	.
And	CC	and
much	RB	much
of	IN	of
this	DT	this
vast	JJ	vast
universe	NN	universe
,	,	,
much	RB	much
more	RBR	more
may	MD	may
be	VB	be
habitable	JJ	habitable
than	IN	than
we	PP	we
once	RB	once
thought	VBD	think
,	,	,
as	IN	as
we	PP	we
study	VBP	study
extremophiles	NNS	<unknown>
on	IN	on
Earth	NP	Earth
â	NP	<unknown>
organisms	NNS	organism
that	WDT	that
can	MD	can
live	VB	live
in	IN	in
conditions	NNS	condition
totally	RB	totally
inhospitable	JJ	inhospitable
for	IN	for
us	PP	us
,	,	,
in	IN	in
the	DT	the
hot	JJ	hot
,	,	,
high	JJ	high
pressure	NN	pressure
thermal	JJ	thermal
vents	NNS	vent
at	IN	at
the	DT	the
bottom	NN	bottom
of	IN	of
the	DT	the
ocean	NN	ocean
,	,	,
frozen	VBN	freeze
in	IN	in
ice	NN	ice
,	,	,
in	IN	in
boiling	VBG	boil
battery	NN	battery
acid	NN	acid
,	,	,
in	IN	in
the	DT	the
cooling	VBG	cool
waters	NNS	water
of	IN	of
nuclear	JJ	nuclear
reactors	NNS	reactor
.	SENT	.
These	DT	these
extremophiles	NNS	<unknown>
tell	VBP	tell
us	PP	us
that	IN	that
life	NN	life
may	MD	may
exist	VB	exist
in	IN	in
many	JJ	many
other	JJ	other
environments	NNS	environment
.	SENT	.
But	CC	but
those	DT	those
environments	NNS	environment
are	VBP	be
going	VBG	go
to	TO	to
be	VB	be
widely	RB	widely
spaced	VBN	space
in	IN	in
this	DT	this
universe	NN	universe
.	SENT	.
Even	RB	even
our	PP$	our
nearest	JJS	near
star	NN	star
,	,	,
the	DT	the
Sun	NP	Sun
â	NP	<unknown>
its	PP$	its
emissions	NNS	emission
suffer	VBP	suffer
the	DT	the
tyranny	NN	tyranny
of	IN	of
light	JJ	light
speed	NN	speed
.	SENT	.
It	PP	it
takes	VBZ	take
a	DT	a
full	JJ	full
eight	CD	eight
minutes	NNS	minute
for	IN	for
its	PP$	its
radiation	NN	radiation
to	TO	to
reach	VB	reach
us	PP	us
.	SENT	.
And	CC	and
the	DT	the
nearest	JJS	near
star	NN	star
is	VBZ	be
4	CD	@card@
.	SENT	.
2	CD	@card@
light	JJ	light
years	NNS	year
away	RB	away
,	,	,
which	WDT	which
means	VBZ	mean
its	PP$	its
light	NN	light
takes	VBZ	take
4	CD	@card@
.	SENT	.
2	CD	@card@
years	NNS	year
to	TO	to
get	VB	get
here	RB	here
.	SENT	.
And	CC	and
the	DT	the
edge	NN	edge
of	IN	of
our	PP$	our
galaxy	NN	galaxy
is	VBZ	be
75	CD	@card@
,	,	,
000	CD	@card@
light	JJ	light
years	NNS	year
away	RB	away
,	,	,
and	CC	and
the	DT	the
nearest	JJS	near
galaxy	NN	galaxy
to	TO	to
us	PP	us
,	,	,
2	CD	@card@
.	SENT	.
5	CD	@card@
million	CD	million
light	JJ	light
years	NNS	year
.	SENT	.
That	DT	that
means	VBZ	mean
any	DT	any
signal	NN	signal
we	PP	we
detect	VBP	detect
would	MD	would
have	VB	have
started	VBN	start
its	PP$	its
journey	NN	journey
a	DT	a
long	JJ	long
time	NN	time
ago	RB	ago
.	SENT	.
And	CC	and
a	DT	a
signal	NN	signal
would	MD	would
give	VB	give
us	PP	us
a	DT	a
glimpse	NN	glimpse
of	IN	of
their	PP$	their
past	NN	past
,	,	,
not	RB	not
their	PP$	their
present	NN	present
.	SENT	.
Which	WDT	which
is	VBZ	be
why	WRB	why
Phil	NP	Phil
Morrison	NP	Morrison
calls	VBZ	call
SETI	NP	<unknown>
,	,	,
"	''	"
the	DT	the
archaeology	NN	archaeology
of	IN	of
the	DT	the
future	NN	future
.	SENT	.
"	''	"
It	PP	it
tells	VBZ	tell
us	PP	us
about	IN	about
their	PP$	their
past	NN	past
,	,	,
but	CC	but
detection	NN	detection
of	IN	of
a	DT	a
signal	NN	signal
tells	VBZ	tell
us	PP	us
it	PP	it
'	POS	'
s	NNS	<unknown>
possible	JJ	possible
for	IN	for
us	PP	us
to	TO	to
have	VB	have
a	DT	a
long	JJ	long
future	NN	future
.	SENT	.
I	PP	I
think	VBP	think
this	DT	this
is	VBZ	be
what	WP	what
David	NP	David
Deutsch	NP	Deutsch
meant	VBD	mean
in	IN	in
2005	CD	@card@
,	,	,
when	WRB	when
he	PP	he
ended	VBD	end
his	PP$	his
Oxford	NP	Oxford
TEDTalk	NP	<unknown>
by	IN	by
saying	VBG	say
he	PP	he
had	VBD	have
two	CD	two
principles	NNS	principle
he	PP	he
'	POS	'
d	NN	d
like	IN	like
to	TO	to
share	NN	share
for	IN	for
living	NN	living
,	,	,
and	CC	and
he	PP	he
would	MD	would
like	VB	like
to	TO	to
carve	VB	carve
them	PP	them
on	IN	on
stone	NN	stone
tablets	NNS	tablet
.	SENT	.
The	DT	the
first	JJ	first
is	VBZ	be
that	IN	that
problems	NNS	problem
are	VBP	be
inevitable	JJ	inevitable
.	SENT	.
The	DT	the
second	NN	second
is	VBZ	be
that	IN	that
problems	NNS	problem
are	VBP	be
soluble	JJ	soluble
.	SENT	.
So	RB	so
,	,	,
ultimately	RB	ultimately
what	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
determine	VB	determine
the	DT	the
success	NN	success
or	CC	or
failure	NN	failure
of	IN	of
SETI	NP	<unknown>
is	VBZ	be
the	DT	the
longevity	NN	longevity
of	IN	of
technologies	NNS	technology
,	,	,
and	CC	and
the	DT	the
mean	JJ	mean
distance	NN	distance
between	IN	between
technologies	NNS	technology
in	IN	in
the	DT	the
cosmos	NN	cosmos
â	NP	<unknown>
distance	NN	distance
over	IN	over
space	NN	space
and	CC	and
distance	NN	distance
over	IN	over
time	NN	time
.	SENT	.
If	IN	if
technologies	NNS	technology
don	NN	don
'	POS	'
t	NN	t
last	JJ	last
and	CC	and
persist	VB	persist
,	,	,
we	PP	we
will	MD	will
not	RB	not
succeed	VB	succeed
.	SENT	.
And	CC	and
we	PP	we
'	POS	'
re	NN	re
a	DT	a
very	RB	very
young	JJ	young
technology	NN	technology
in	IN	in
an	DT	an
old	JJ	old
galaxy	NN	galaxy
,	,	,
and	CC	and
we	PP	we
don	NN	don
'	POS	'
t	NN	t
yet	RB	yet
know	VBP	know
whether	IN	whether
it	PP	it
'	POS	'
s	NNS	<unknown>
possible	JJ	possible
for	IN	for
technologies	NNS	technology
to	TO	to
persist	VB	persist
.	SENT	.
So	RB	so
,	,	,
up	RB	up
until	IN	until
now	RB	now
I	NP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
talking	VBG	talk
to	TO	to
you	PP	you
about	RB	about
really	RB	really
large	JJ	large
numbers	NNS	number
.	SENT	.
Let	VB	let
me	PP	me
talk	VB	talk
about	IN	about
a	DT	a
relatively	RB	relatively
small	JJ	small
number	NN	number
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NNS	<unknown>
the	DT	the
length	NN	length
of	IN	of
time	NN	time
that	IN	that
the	DT	the
Earth	NN	earth
was	VBD	be
lifeless	JJ	lifeless
.	SENT	.
Zircons	NNS	zircon
that	WDT	that
are	VBP	be
mined	VBN	mine
in	IN	in
the	DT	the
Jack	NP	Jack
Hills	NP	Hills
of	IN	of
western	JJ	western
Australia	NP	Australia
,	,	,
zircons	NNS	zircon
taken	VBN	take
from	IN	from
the	DT	the
Jack	NP	Jack
Hills	NP	Hills
of	IN	of
western	JJ	western
Australia	NP	Australia
tell	VB	tell
us	PP	us
that	IN	that
within	IN	within
a	DT	a
few	JJ	few
hundred	CD	hundred
million	CD	million
years	NNS	year
of	IN	of
the	DT	the
origin	NN	origin
of	IN	of
the	DT	the
planet	NN	planet
there	EX	there
was	VBD	be
abundant	JJ	abundant
water	NN	water
and	CC	and
perhaps	RB	perhaps
even	RB	even
life	NN	life
.	SENT	.
So	RB	so
,	,	,
our	PP$	our
planet	NN	planet
has	VBZ	have
spent	VBN	spend
the	DT	the
vast	JJ	vast
majority	NN	majority
of	IN	of
its	PP$	its
4	CD	@card@
.	SENT	.
56	CD	@card@
billion	NN	billion
year	NN	year
history	NN	history
developing	VBG	develop
life	NN	life
,	,	,
not	RB	not
anticipating	VBG	anticipate
its	PP$	its
emergence	NN	emergence
.	SENT	.
Life	NN	life
happened	VBD	happen
very	RB	very
quickly	RB	quickly
,	,	,
and	CC	and
that	WDT	that
bodes	VBZ	bode
well	RB	well
for	IN	for
the	DT	the
potential	NN	potential
of	IN	of
life	NN	life
elsewhere	RB	elsewhere
in	IN	in
the	DT	the
cosmos	NN	cosmos
.	SENT	.
And	CC	and
the	DT	the
other	JJ	other
thing	NN	thing
that	IN	that
one	PP	one
should	MD	should
take	VB	take
away	RB	away
from	IN	from
this	DT	this
chart	NN	chart
is	VBZ	be
the	DT	the
very	RB	very
narrow	JJ	narrow
range	NN	range
of	IN	of
time	NN	time
over	IN	over
which	WDT	which
humans	NNS	human
can	MD	can
claim	VB	claim
to	TO	to
be	VB	be
the	DT	the
dominant	JJ	dominant
intelligence	NN	intelligence
on	IN	on
the	DT	the
planet	NN	planet
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
only	RB	only
the	DT	the
last	JJ	last
few	JJ	few
hundred	CD	hundred
thousand	CD	thousand
years	NNS	year
modern	JJ	modern
humans	NNS	human
have	VBP	have
been	VBN	be
pursuing	VBG	pursue
technology	NN	technology
and	CC	and
civilization	NN	civilization
.	SENT	.
So	RB	so
,	,	,
one	PP	one
needs	VBZ	need
a	DT	a
very	RB	very
deep	JJ	deep
appreciation	NN	appreciation
of	IN	of
the	DT	the
diversity	NN	diversity
and	CC	and
incredible	JJ	incredible
scale	NN	scale
of	IN	of
life	NN	life
on	IN	on
this	DT	this
planet	NN	planet
as	IN	as
the	DT	the
first	JJ	first
step	NN	step
in	IN	in
preparing	VBG	prepare
to	TO	to
make	VB	make
contact	NN	contact
with	IN	with
life	NN	life
elsewhere	RB	elsewhere
in	IN	in
the	DT	the
cosmos	NN	cosmos
.	SENT	.
We	PP	we
are	VBP	be
not	RB	not
the	DT	the
pinnacle	NN	pinnacle
of	IN	of
evolution	NN	evolution
.	SENT	.
We	PP	we
are	VBP	be
not	RB	not
the	DT	the
determined	VBN	determine
product	NN	product
of	IN	of
billions	NNS	billion
of	IN	of
years	NNS	year
of	IN	of
evolutionary	JJ	evolutionary
plotting	VBG	plot
and	CC	and
planning	VBG	plan
.	SENT	.
We	PP	we
are	VBP	be
one	CD	one
outcome	NN	outcome
of	IN	of
a	DT	a
continuing	JJ	continuing
adaptational	JJ	<unknown>
process	NN	process
.	SENT	.
We	PP	we
are	VBP	be
residents	NNS	resident
of	IN	of
one	CD	one
small	JJ	small
planet	NN	planet
in	IN	in
a	DT	a
corner	NN	corner
of	IN	of
the	DT	the
Milky	JJ	milky
Way	NN	way
galaxy	NN	galaxy
.	SENT	.
And	CC	and
Homo	NN	homo
sapiens	JJ	sapiens
are	VBP	be
one	CD	one
small	JJ	small
leaf	NN	leaf
on	IN	on
a	DT	a
very	RB	very
extensive	JJ	extensive
Tree	NN	tree
of	IN	of
Life	NP	Life
,	,	,
which	WDT	which
is	VBZ	be
densely	RB	densely
populated	VBN	populate
by	IN	by
organisms	NNS	organism
that	WDT	that
have	VBP	have
been	VBN	be
honed	VBN	hone
for	IN	for
survival	NN	survival
over	IN	over
millions	NNS	million
of	IN	of
years	NNS	year
.	SENT	.
We	PP	we
misuse	VBP	misuse
language	NN	language
,	,	,
and	CC	and
talk	VB	talk
about	IN	about
the	DT	the
"	``	"
ascent	NN	ascent
"	''	"
of	IN	of
man	NN	man
.	SENT	.
We	PP	we
understand	VBP	understand
the	DT	the
scientific	JJ	scientific
basis	NN	basis
for	IN	for
the	DT	the
interrelatedness	NN	interrelatedness
of	IN	of
life	NN	life
but	CC	but
our	PP$	our
ego	NN	ego
hasn	NN	<unknown>
'	POS	'
t	NN	t
caught	VBD	catch
up	RP	up
yet	RB	yet
.	SENT	.
So	RB	so
this	DT	this
"	``	"
ascent	NN	ascent
"	''	"
of	IN	of
man	NN	man
,	,	,
pinnacle	NN	pinnacle
of	IN	of
evolution	NN	evolution
,	,	,
has	VBZ	have
got	VBN	get
to	TO	to
go	VB	go
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
sense	NN	sense
of	IN	of
privilege	NN	privilege
that	IN	that
the	DT	the
natural	JJ	natural
universe	NN	universe
doesn	NN	<unknown>
'	POS	'
t	NN	t
share	NN	share
.	SENT	.
Loren	NP	Loren
Eiseley	NP	Eiseley
has	VBZ	have
said	VBN	say
,	,	,
"	''	"
One	PP	one
does	VBZ	do
not	RB	not
meet	VB	meet
oneself	PP	oneself
until	IN	until
one	CD	one
catches	NNS	catch
the	DT	the
reflection	NN	reflection
from	IN	from
an	DT	an
eye	NN	eye
other	JJ	other
than	IN	than
human	JJ	human
.	SENT	.
"	''	"
One	CD	one
day	NN	day
that	DT	that
eye	NN	eye
may	MD	may
be	VB	be
that	IN	that
of	IN	of
an	DT	an
intelligent	JJ	intelligent
alien	NN	alien
,	,	,
and	CC	and
the	DT	the
sooner	RBR	sooner
we	PP	we
eschew	VBP	eschew
our	PP$	our
narrow	JJ	narrow
view	NN	view
of	IN	of
evolution	NN	evolution
the	DT	the
sooner	RBR	sooner
we	PP	we
can	MD	can
truly	RB	truly
explore	VB	explore
our	PP$	our
ultimate	JJ	ultimate
origins	NNS	origin
and	CC	and
destinations	NNS	destination
.	SENT	.
We	PP	we
are	VBP	be
a	DT	a
small	JJ	small
part	NN	part
of	IN	of
the	DT	the
story	NN	story
of	IN	of
cosmic	JJ	cosmic
evolution	NN	evolution
,	,	,
and	CC	and
we	PP	we
are	VBP	be
going	VBG	go
to	TO	to
be	VB	be
responsible	JJ	responsible
for	IN	for
our	PP$	our
continued	JJ	continued
participation	NN	participation
in	IN	in
that	DT	that
story	NN	story
,	,	,
and	CC	and
perhaps	RB	perhaps
SETI	NP	<unknown>
will	MD	will
help	VB	help
as	RB	as
