Monique	NP	Monique
so	RB	so
bright	JJ	bright
after	IN	after
kind	NN	kind
of	IN	of
1984	CD	@card@
.	SENT	.
Instead	RB	instead
of	IN	of
you	PP	you
thinking	VBG	think
it	PP	it
was	VBD	be
kind	NN	kind
of	IN	of
the	DT	the
end	NN	end
of	IN	of
the	DT	the
world	NN	world
,	,	,
it	PP	it
was	VBD	be
like	IN	like
,	,	,
oh	UH	oh
,	,	,
what	WP	what
is	VBZ	be
the	DT	the
world	NN	world
evolving	VBG	evolve
into	IN	into
?	SENT	?
This	DT	this
is	VBZ	be
amazing	JJ	amazing
.	SENT	.
CA	MD	ca
:	:	:
Yeah	RB	yeah
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
certainly	RB	certainly
in	IN	in
the	DT	the
West	NN	west
,	,	,
there	EX	there
was	VBD	be
a	DT	a
lot	NN	lot
of	IN	of
optimism	NN	optimism
,	,	,
you	PP	you
know	VBP	know
,	,	,
the	DT	the
fall	NN	fall
of	IN	of
communism	NN	communism
,	,	,
rise	NN	rise
of	IN	of
technology	NN	technology
,	,	,
people	NNS	people
spoke	VBD	speak
of	IN	of
the	DT	the
end	NN	end
of	IN	of
history	NN	history
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
Western	JJ	Western
ideas	NNS	idea
were	VBD	be
going	VBG	go
to	TO	to
win	VB	win
and	CC	and
spread	VB	spread
out	RP	out
across	IN	across
the	DT	the
world	NN	world
.	SENT	.
And	CC	and
yet	RB	yet
the	DT	the
internet	NN	Internet
.	SENT	.
I	PP	I
remember	VBP	remember
Wired	VBN	wire
Magazine	NN	magazine
in	IN	in
the	DT	the
late	JJ	late
'	POS	'
90s	NNS	<unknown>
,	,	,
publishing	VBG	publish
these	DT	these
articles	NNS	article
that	WDT	that
were	VBD	be
basically	RB	basically
implying	VBG	imply
that	IN	that
the	DT	the
rules	NNS	rule
of	IN	of
economics	NNS	economics
had	VBD	have
changed	VBN	change
forever	RB	forever
and	CC	and
that	IN	that
we	PP	we
were	VBD	be
in	IN	in
for	IN	for
this	DT	this
long	JJ	long
boom	NN	boom
,	,	,
you	PP	you
know	VBP	know
,	,	,
that	WDT	that
might	MD	might
last	VB	last
our	PP$	our
lifetimes	NNS	lifetime
driven	VBN	drive
by	IN	by
the	DT	the
power	NN	power
of	IN	of
spreading	VBG	spread
knowledge	NN	knowledge
.	SENT	.
MRB	NP	MRB
:	:	:
Right	NN	right
.	SENT	.
Well	RB	well
,	,	,
you	PP	you
just	RB	just
did	VBD	do
a	DT	a
talk	NN	talk
,	,	,
a	DT	a
conversation	NN	conversation
with	IN	with
Richard	NP	Richard
Wurman	NP	Wurman
,	,	,
who	WP	who
is	VBZ	be
the	DT	the
founder	NN	founder
of	IN	of
TED	VB	ted
.	SENT	.
And	CC	and
we	PP	we
have	VBP	have
that	RB	that
on	RB	on
TED	VB	ted
.	SENT	.
com	NN	com
.	SENT	.
That	DT	that
was	VBD	be
a	DT	a
great	JJ	great
conversation	NN	conversation
to	TO	to
kind	NN	kind
of	IN	of
look	NN	look
at	IN	at
the	DT	the
history	NN	history
of	IN	of
TED	VB	ted
.	SENT	.
But	CC	but
now	RB	now
I	PP	I
want	VBP	want
this	DT	this
conversation	NN	conversation
to	TO	to
kind	NN	kind
of	IN	of
look	NN	look
at	IN	at
the	DT	the
future	NN	future
of	IN	of
TED	VB	ted
.	SENT	.
So	RB	so
one	CD	one
of	IN	of
the	DT	the
things	NNS	thing
that	IN	that
we	PP	we
'	POS	'
re	NN	re
kind	NN	kind
of	IN	of
evolving	VBG	evolve
is	VBZ	be
our	PP$	our
tagline	NN	tagline
and	CC	and
our	PP$	our
mission	NN	mission
statement	NN	statement
.	SENT	.
From	IN	from
"	``	"
ideas	NNS	idea
worth	VBP	worth
spreading	VBG	spread
"	``	"
to	TO	to
"	``	"
ideas	NNS	idea
change	VBP	change
everything	NN	everything
.	SENT	.
"	``	"
That	RB	that
'	''	'
s	VBG	<unknown>
a	DT	a
very	JJ	very
,	,	,
very	RB	very
powerful	JJ	powerful
statement	NN	statement
.	SENT	.
Why	WRB	why
are	VBP	be
we	PP	we
leaning	VBG	lean
into	IN	into
that	DT	that
now	RB	now
?	SENT	?
CA	MD	ca
:	:	:
For	IN	for
several	JJ	several
reasons	NNS	reason
.	SENT	.
I	PP	I
have	VBP	have
loved	VBN	love
"	``	"
ideas	NNS	idea
worth	VBP	worth
spreading	VBG	spread
.	SENT	.
"	''	"
That	WDT	that
happened	VBD	happen
when	WRB	when
we	PP	we
started	VBD	start
sharing	VBG	share
talks	NNS	talk
online	JJ	online
,	,	,
and	CC	and
we	PP	we
were	VBD	be
trying	VBG	try
to	TO	to
figure	VB	figure
out	RP	out
,	,	,
why	WRB	why
are	VBP	be
we	PP	we
doing	VBG	do
this	DT	this
,	,	,
why	WRB	why
are	VBP	be
we	PP	we
giving	VBG	give
away	RP	away
our	PP$	our
best	JJS	good
content	NN	content
?	SENT	?
And	CC	and
the	DT	the
idea	NN	idea
that	WDT	that
seemed	VBD	seem
to	TO	to
land	VB	land
with	IN	with
everyone	NN	everyone
was	VBD	be
well	RB	well
,	,	,
because	IN	because
we	PP	we
should	MD	should
.	SENT	.
Because	IN	because
these	DT	these
are	VBP	be
ideas	NNS	idea
that	WDT	that
are	VBP	be
worth	JJ	worth
putting	VBG	put
out	RP	out
there	RB	there
.	SENT	.
And	CC	and
so	RB	so
it	PP	it
was	VBD	be
intended	VBN	intend
partly	RB	partly
as	IN	as
a	DT	a
little	JJ	little
nudge	NN	nudge
to	TO	to
people	NNS	people
.	SENT	.
You	PP	you
watch	VBP	watch
this	DT	this
talk	NN	talk
,	,	,
you	PP	you
better	JJR	good
share	NN	share
it	PP	it
as	RB	as
well	RB	well
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
that	WDT	that
helped	VBD	help
create	VB	create
TED	VB	ted
'	''	'
s	NN	S
virality	NN	<unknown>
.	SENT	.
It	PP	it
also	RB	also
,	,	,
although	IN	although
we	PP	we
didn	NN	<unknown>
'	POS	'
t	NN	t
really	RB	really
talk	VB	talk
about	IN	about
this	DT	this
,	,	,
it	PP	it
puts	VBZ	put
a	DT	a
little	JJ	little
obligation	NN	obligation
on	IN	on
anyone	NN	anyone
watching	VBG	watch
a	DT	a
talk	NN	talk
.	SENT	.
Ideas	NNS	idea
worth	JJ	worth
sharing	NN	sharing
.	SENT	.
Do	VBP	do
I	PP	I
want	VBP	want
to	TO	to
do	VB	do
something	NN	something
with	IN	with
that	DT	that
?	SENT	?
Today	NN	today
,	,	,
we	PP	we
'	POS	'
re	NN	re
deluged	VBD	deluge
with	IN	with
content	NN	content
.	SENT	.
There	EX	there
is	VBZ	be
so	RB	so
much	JJ	much
,	,	,
I	PP	I
mean	VBP	mean
,	,	,
there	EX	there
are	VBP	be
literally	RB	literally
millions	NNS	million
of	IN	of
talking	VBG	talk
heads	NNS	head
online	JJ	online
.	SENT	.
TikTok	NP	<unknown>
,	,	,
Instagram	NP	<unknown>
,	,	,
YouTube	NP	<unknown>
have	VBP	have
allowed	VBN	allow
thousands	NNS	thousand
and	CC	and
thousands	NNS	thousand
and	CC	and
thousands	NNS	thousand
of	IN	of
experiments	NNS	experiment
to	TO	to
be	VB	be
made	VBN	make
in	IN	in
how	WRB	how
talk	NN	talk
can	MD	can
be	VB	be
compelling	JJ	compelling
.	SENT	.
And	CC	and
what	WP	what
'	POS	'
s	NN	S
happened	VBD	happen
is	VBZ	be
that	IN	that
people	NNS	people
have	VBP	have
discovered	VBN	discover
that	IN	that
there	EX	there
are	VBP	be
lots	NNS	lot
of	IN	of
ways	NNS	way
to	TO	to
build	VB	build
an	DT	an
audience	NN	audience
that	WDT	that
are	VBP	be
very	RB	very
different	JJ	different
from	IN	from
just	RB	just
watching	VBG	watch
a	DT	a
speaker	NN	speaker
on	IN	on
a	DT	a
stage	NN	stage
,	,	,
giving	VBG	give
a	DT	a
talk	NN	talk
in	IN	in
the	DT	the
traditional	JJ	traditional
way	NN	way
to	TO	to
an	DT	an
audience	NN	audience
.	SENT	.
And	CC	and
so	IN	so
we	PP	we
'	POS	'
ve	NN	ve
had	VBD	have
to	TO	to
figure	VB	figure
out	RP	out
what	WP	what
to	TO	to
do	VB	do
about	IN	about
that	DT	that
.	SENT	.
There	EX	there
'	''	'
s	NN	S
more	JJR	more
than	IN	than
one	CD	one
response	NN	response
,	,	,
but	CC	but
the	DT	the
biggest	JJS	big
single	JJ	single
response	NN	response
that	IN	that
I	PP	I
think	VBP	think
we	PP	we
should	MD	should
do	VB	do
and	CC	and
are	VBP	be
doing	VBG	do
is	VBZ	be
to	TO	to
double	VB	double
down	RP	down
on	IN	on
the	DT	the
importance	NN	importance
of	IN	of
what	WP	what
our	PP$	our
content	NN	content
is	VBZ	be
.	SENT	.
So	RB	so
collectively	RB	collectively
,	,	,
all	PDT	all
these	DT	these
other	JJ	other
voices	NNS	voice
have	VBP	have
created	VBN	create
this	DT	this
irresistible	JJ	irresistible
world	NN	world
of	IN	of
doomscrolling	NN	doomscrolling
where	WRB	where
people	NNS	people
,	,	,
if	IN	if
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
an	DT	an
hour	NN	hour
free	JJ	free
,	,	,
you	PP	you
know	VBP	know
,	,	,
you	PP	you
could	MD	could
watch	VB	watch
a	DT	a
couple	NN	couple
of	IN	of
TED	VB	ted
Talks	NNS	talk
,	,	,
or	CC	or
you	PP	you
could	MD	could
have	VB	have
instant	JJ	instant
dialed-up	JJ	<unknown>
gratification	NN	gratification
through	IN	through
,	,	,
you	PP	you
know	VBP	know
,	,	,
little	JJ	little
glimpses	NNS	glimpse
of	IN	of
hundreds	NNS	hundred
and	CC	and
hundreds	NNS	hundred
of	IN	of
people	NNS	people
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
hard	JJ	hard
to	TO	to
resist	VB	resist
in	IN	in
the	DT	the
war	NN	war
of	IN	of
attention	NN	attention
.	SENT	.
What	WP	what
we	PP	we
want	VBP	want
to	TO	to
say	VB	say
to	TO	to
the	DT	the
world	NN	world
is	VBZ	be
,	,	,
yes	UH	yes
,	,	,
doomscrolling	NN	doomscrolling
is	VBZ	be
great	JJ	great
,	,	,
but	CC	but
ideas	NNS	idea
change	NN	change
everything	NN	everything
.	SENT	.
At	IN	at
some	DT	some
point	NN	point
,	,	,
it	PP	it
'	POS	'
s	JJ	<unknown>
worth	JJ	worth
spending	NN	spending
time	NN	time
investing	VBG	invest
in	IN	in
that	DT	that
.	SENT	.
In	IN	in
the	DT	the
power	NN	power
of	IN	of
learning	VBG	learn
.	SENT	.
It	PP	it
can	MD	can
make	VB	make
all	PDT	all
the	DT	the
difference	NN	difference
to	TO	to
your	PP$	your
own	JJ	own
future	NN	future
--	:	--
and	CC	and
actually	RB	actually
to	TO	to
the	DT	the
future	NN	future
of	IN	of
the	DT	the
planet	NN	planet
as	IN	as
well	RB	well
.	SENT	.
MRB	NP	MRB
:	:	:
Leaning	VBG	lean
into	IN	into
kind	NN	kind
of	IN	of
our	PP$	our
evolution	NN	evolution
and	CC	and
how	WRB	how
we	PP	we
'	POS	'
re	NN	re
even	RB	even
thinking	VBG	think
about	IN	about
our	PP$	our
formats	NNS	format
on	IN	on
the	DT	the
stage	NN	stage
and	CC	and
how	WRB	how
we	PP	we
'	POS	'
re	NN	re
kind	NN	kind
of	IN	of
leaning	VBG	lean
into	IN	into
a	DT	a
little	JJ	little
bit	NN	bit
more	RBR	more
of	IN	of
a	DT	a
debate	NN	debate
style	NN	style
on	IN	on
some	DT	some
of	IN	of
our	PP$	our
talks	NNS	talk
,	,	,
one	CD	one
of	IN	of
my	PP$	my
favorite	JJ	favorite
quotes	NNS	quote
is	VBZ	be
by	IN	by
James	NP	James
Baldwin	NP	Baldwin
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
:	:	:
"	``	"
Not	RB	not
everything	NN	everything
that	WDT	that
is	VBZ	be
faced	VBN	face
can	MD	can
be	VB	be
changed	VBN	change
,	,	,
but	CC	but
nothing	NN	nothing
can	MD	can
be	VB	be
changed	VBN	change
unless	IN	unless
it	PP	it
'	POS	'
s	NN	S
faced	VBD	face
.	SENT	.
"	''	"
And	CC	and
so	RB	so
,	,	,
thinking	VBG	think
about	IN	about
that	DT	that
debate	NN	debate
format	NN	format
as	IN	as
kind	NN	kind
of	IN	of
facing	VBG	face
some	DT	some
really	RB	really
hard	JJ	hard
conversations	NNS	conversation
,	,	,
how	WRB	how
are	VBP	be
you	PP	you
feeling	VBG	feel
about	IN	about
that	DT	that
?	SENT	?
How	WRB	how
are	VBP	be
we	PP	we
going	VBG	go
to	TO	to
present	VB	present
that	IN	that
on	IN	on
the	DT	the
stage	NN	stage
?	SENT	?
CA	MD	ca
:	:	:
Right	RB	right
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
really	RB	really
a	DT	a
bit	NN	bit
of	IN	of
a	DT	a
new	JJ	new
development	NN	development
for	IN	for
TED	VB	ted
,	,	,
to	TO	to
lean	VB	lean
more	RBR	more
deliberately	RB	deliberately
into	IN	into
ideas	NNS	idea
being	VBG	be
debated	VBN	debate
,	,	,
not	RB	not
just	RB	just
announced	VBN	announce
.	SENT	.
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	RB	<unknown>
always	RB	always
been	VBN	be
true	JJ	true
that	IN	that
ideas	NNS	idea
are	VBP	be
.	SENT	.
.	SENT	.
.	SENT	.
they	PP	they
don	VBP	don
'	''	'
t	NN	t
land	NN	land
in	IN	in
the	DT	the
world	NN	world
in	IN	in
perfect	JJ	perfect
form	NN	form
.	SENT	.
They	PP	they
find	VBP	find
their	PP$	their
best	JJS	good
form	NN	form
by	IN	by
being	VBG	be
articulated	VBN	articulate
,	,	,
shared	VBN	share
,	,	,
debated	VBN	debate
,	,	,
tweaked	VBD	tweak
,	,	,
people	NNS	people
listening	VBG	listen
to	TO	to
other	JJ	other
people	NNS	people
.	SENT	.
It	PP	it
often	RB	often
takes	VBZ	take
many	JJ	many
human	JJ	human
minds	NNS	mind
to	TO	to
help	VB	help
something	NN	something
find	VB	find
its	PP$	its
best	JJS	good
form	NN	form
.	SENT	.
Now	RB	now
,	,	,
the	DT	the
world	NN	world
,	,	,
in	IN	in
some	DT	some
ways	NNS	way
is	VBZ	be
getting	VBG	get
more	RBR	more
divided	VBN	divide
,	,	,
and	CC	and
there	EX	there
'	''	'
s	NNS	<unknown>
just	RB	just
more	RBR	more
fundamental	JJ	fundamental
disagreement	NN	disagreement
on	IN	on
certain	JJ	certain
types	NNS	type
of	IN	of
ideas	NNS	idea
than	IN	than
there	EX	there
'	''	'
s	RB	<unknown>
ever	RB	ever
been	VBN	be
.	SENT	.
And	CC	and
if	IN	if
we	PP	we
want	VBP	want
to	TO	to
explore	VB	explore
ideas	NNS	idea
in	IN	in
those	DT	those
spaces	NNS	space
,	,	,
really	RB	really
the	DT	the
only	JJ	only
way	NN	way
to	TO	to
do	VB	do
it	PP	it
is	VBZ	be
to	TO	to
open	VB	open
up	RP	up
to	TO	to
more	JJR	more
than	IN	than
one	CD	one
voice	NN	voice
on	IN	on
it	PP	it
and	CC	and
to	TO	to
.	SENT	.
.	SENT	.
.	SENT	.
explore	VB	explore
those	DT	those
disagreements	NNS	disagreement
.	SENT	.
And	CC	and
to	TO	to
see	VB	see
if	IN	if
we	PP	we
can	MD	can
do	VB	do
so	RB	so
in	IN	in
a	DT	a
way	NN	way
that	RB	that
'	POS	'
s	NNS	<unknown>
different	JJ	different
than	IN	than
what	WP	what
is	VBZ	be
largely	RB	largely
happening	VBG	happen
out	RP	out
there	RB	there
,	,	,
because	IN	because
what	WP	what
'	POS	'
s	NN	S
largely	RB	largely
happening	VBG	happen
out	IN	out
there	EX	there
is	VBZ	be
not	RB	not
a	DT	a
discussion	NN	discussion
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
mud	NN	mud
fight	NN	fight
.	SENT	.
People	NNS	people
are	VBP	be
yelling	VBG	yell
at	IN	at
each	DT	each
other	JJ	other
,	,	,
flinging	VBG	fling
insults	NNS	insult
,	,	,
trying	VBG	try
to	TO	to
undercut	VB	undercut
each	DT	each
other	JJ	other
and	CC	and
not	RB	not
really	RB	really
taking	VBG	take
seriously	RB	seriously
,	,	,
not	RB	not
listening	VBG	listen
with	IN	with
respect	NN	respect
,	,	,
and	CC	and
not	RB	not
responding	VBG	respond
with	IN	with
insight	NN	insight
in	IN	in
a	DT	a
way	NN	way
that	WDT	that
could	MD	could
actually	RB	actually
change	VB	change
minds	NNS	mind
.	SENT	.
I	PP	I
hope	VBP	hope
,	,	,
I	PP	I
truly	RB	truly
hope	VBP	hope
,	,	,
to	TO	to
the	DT	the
core	NN	core
of	IN	of
myself	PP	myself
,	,	,
that	DT	that
humanity	NN	humanity
is	VBZ	be
capable	JJ	capable
still	RB	still
of	IN	of
doing	VBG	do
this	DT	this
thing	NN	thing
,	,	,
of	IN	of
making	VBG	make
progress	NN	progress
towards	IN	towards
a	DT	a
deeper	JJR	deep
,	,	,
shared	JJ	shared
understanding	NN	understanding
,	,	,
listening	VBG	listen
,	,	,
persuasion	NN	persuasion
.	SENT	.
And	CC	and
then	RB	then
once	IN	once
you	PP	you
'	POS	'
ve	NN	ve
found	VBD	find
some	DT	some
common	JJ	common
ground	NN	ground
to	TO	to
dream	VB	dream
together	RB	together
about	IN	about
other	JJ	other
possibilities	NNS	possibility
that	WDT	that
may	MD	may
reframe	VB	reframe
the	DT	the
situation	NN	situation
altogether	RB	altogether
.	SENT	.
Ideas	NNS	idea
allow	VBP	allow
us	PP	us
to	TO	to
reshape	VB	reshape
the	DT	the
space	NN	space
of	IN	of
the	DT	the
adjacent	JJ	adjacent
possible	JJ	possible
.	SENT	.
And	CC	and
so	RB	so
if	IN	if
you	PP	you
can	MD	can
do	VB	do
that	IN	that
,	,	,
you	PP	you
can	MD	can
switch	VB	switch
a	DT	a
zero-sum	NN	zero-sum
mud	NN	mud
fight	NN	fight
into	IN	into
a	DT	a
positive-sum	NN	<unknown>
exploration	NN	exploration
of	IN	of
possibility	NN	possibility
.	SENT	.
So	RB	so
anyway	RB	anyway
,	,	,
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
try	VB	try
and	CC	and
do	VBP	do
that	IN	that
with	IN	with
some	DT	some
issues	NNS	issue
in	IN	in
this	DT	this
upcoming	JJ	upcoming
TED	VB	ted
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
going	VBG	go
to	TO	to
be	VB	be
a	DT	a
traditional	JJ	traditional
debate	NN	debate
.	SENT	.
So	RB	so
one	CD	one
of	IN	of
the	DT	the
things	NNS	thing
that	IN	that
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
be	VB	be
doing	VBG	do
is	VBZ	be
literally	RB	literally
just	RB	just
placing	VBG	place
two	CD	two
people	NNS	people
opposite	IN	opposite
each	DT	each
other	JJ	other
,	,	,
looking	VBG	look
at	IN	at
each	DT	each
other	JJ	other
,	,	,
having	VBG	have
a	DT	a
conversation	NN	conversation
with	IN	with
each	DT	each
other	JJ	other
,	,	,
kind	NN	kind
of	IN	of
like	IN	like
you	PP	you
and	CC	and
I	PP	I
are	VBP	be
now	RB	now
.	SENT	.
But	CC	but
if	IN	if
you	PP	you
imagine	VBP	imagine
that	IN	that
we	PP	we
disagreed	VBD	disagree
on	IN	on
everything	NN	everything
,	,	,
but	CC	but
we	PP	we
'	POS	'
re	NN	re
trying	VBG	try
to	TO	to
find	VB	find
common	JJ	common
ground	NN	ground
,	,	,
how	WRB	how
do	VBP	do
you	PP	you
do	VBP	do
that	RB	that
?	SENT	?
Can	MD	can
you	PP	you
find	VB	find
people	NNS	people
who	WP	who
are	VBP	be
willing	JJ	willing
to	TO	to
be	VB	be
curious	JJ	curious
about	IN	about
the	DT	the
other	JJ	other
person	NN	person
,	,	,
and	CC	and
to	TO	to
learn	VB	learn
about	IN	about
them	PP	them
,	,	,
and	CC	and
to	TO	to
empathize	VB	empathize
with	IN	with
some	DT	some
of	IN	of
what	WP	what
they	PP	they
are	VBP	be
feeling	VBG	feel
?	SENT	?
And	CC	and
if	IN	if
you	PP	you
could	MD	could
do	VB	do
that	IN	that
,	,	,
what	WP	what
would	MD	would
that	RB	that
change	VB	change
?	SENT	?
We	PP	we
are	VBP	be
going	VBG	go
to	TO	to
find	VB	find
out	RP	out
.	SENT	.
MRB	NP	MRB
:	:	:
We	PP	we
are	VBP	be
going	VBG	go
to	TO	to
find	VB	find
out	RP	out
,	,	,
because	IN	because
I	PP	I
don	NN	don
'	POS	'
t	NN	t
think	VBP	think
there	EX	there
'	''	'
s	VBG	<unknown>
any	DT	any
other	JJ	other
platform	NN	platform
that	RB	that
'	POS	'
s	NN	S
really	RB	really
doing	VBG	do
this	DT	this
.	SENT	.
So	RB	so
why	WRB	why
do	VBP	do
you	PP	you
think	VBP	think
TED	VB	ted
is	VBZ	be
a	DT	a
strong	JJ	strong
platform	NN	platform
to	TO	to
kind	NN	kind
of	IN	of
try	VB	try
this	DT	this
very	RB	very
unique	JJ	unique
experiment	NN	experiment
?	SENT	?
CA	MD	ca
:	:	:
Well	UH	well
,	,	,
we	PP	we
are	VBP	be
a	DT	a
nonprofit	JJ	nonprofit
.	SENT	.
We	PP	we
are	VBP	be
nonpartisan	JJ	nonpartisan
.	SENT	.
I	PP	I
kind	RB	kind
of	IN	of
feel	VB	feel
like	IN	like
we	PP	we
have	VBP	have
a	DT	a
duty	NN	duty
to	TO	to
do	VB	do
it	PP	it
.	SENT	.
We	PP	we
believe	VBP	believe
,	,	,
I	PP	I
think	VBP	think
more	RBR	more
passionately	RB	passionately
than	IN	than
anyone	NN	anyone
else	RB	else
,	,	,
that	IN	that
ideas	NNS	idea
of	IN	of
the	DT	the
currency	NN	currency
that	IN	that
matters	NNS	matter
.	SENT	.
Ideas	NNS	idea
can	MD	can
be	VB	be
in	IN	in
two	CD	two
minds	NNS	mind
at	IN	at
once	RB	once
.	SENT	.
And	CC	and
ideas	NNS	idea
are	VBP	be
things	NNS	thing
that	IN	that
you	PP	you
can	MD	can
adopt	VB	adopt
in	IN	in
part	NN	part
.	SENT	.
You	PP	you
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
adopt	VB	adopt
them	PP	them
wholly	RB	wholly
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	NNS	<unknown>
possible	JJ	possible
,	,	,
for	IN	for
example	NN	example
,	,	,
to	TO	to
disagree	VB	disagree
with	IN	with
someone	NN	someone
profoundly	RB	profoundly
on	IN	on
a	DT	a
lot	NN	lot
of	IN	of
things	NNS	thing
,	,	,
but	CC	but
still	RB	still
find	VB	find
something	NN	something
that	IN	that
you	PP	you
could	MD	could
learn	VB	learn
from	IN	from
them	PP	them
.	SENT	.
And	CC	and
just	RB	just
that	IN	that
one	CD	one
thing	NN	thing
may	MD	may
change	VB	change
the	DT	the
dynamic	NN	dynamic
.	SENT	.
MRB	NP	MRB
:	:	:
Also	RB	also
thinking	VBG	think
about	RB	about
,	,	,
you	PP	you
know	VBP	know
,	,	,
us	PP	us
trying	VBG	try
different	JJ	different
things	NNS	thing
,	,	,
and	CC	and
us	PP	us
connecting	VBG	connect
with	IN	with
our	PP$	our
audiences	NNS	audience
different	JJ	different
,	,	,
us	PP	us
connecting	VBG	connect
with	IN	with
the	DT	the
next	JJ	next
generation	NN	generation
of	IN	of
our	PP$	our
community	NN	community
,	,	,
what	WP	what
does	VBZ	do
that	IN	that
look	NN	look
like	JJ	like
for	IN	for
TED	VB	ted
?	SENT	?
How	WRB	how
are	VBP	be
we	PP	we
kind	JJ	kind
