Amongst	IN	amongst
players	NNS	player
coming	VBG	come
onto	IN	onto
the	DT	the
scene	NN	scene
.	SENT	.
We	PP	we
loosely	RB	loosely
call	VBP	call
them	PP	them
"	''	"
groups	NNS	group
.	SENT	.
"	``	"
They	PP	they
may	MD	may
represent	VB	represent
social	JJ	social
,	,	,
religious	JJ	religious
,	,	,
political	JJ	political
,	,	,
economic	JJ	economic
,	,	,
military	JJ	military
realities	NNS	reality
.	SENT	.
And	CC	and
we	PP	we
struggle	VBP	struggle
with	IN	with
how	WRB	how
to	TO	to
deal	VB	deal
with	IN	with
them	PP	them
.	SENT	.
The	DT	the
rules	NNS	rule
of	IN	of
engagement	NN	engagement
:	:	:
how	WRB	how
to	TO	to
talk	VB	talk
,	,	,
when	WRB	when
to	TO	to
talk	VB	talk
,	,	,
and	CC	and
how	WRB	how
to	TO	to
deal	VB	deal
with	IN	with
them	PP	them
.	SENT	.
Let	VB	let
me	PP	me
show	VB	show
you	PP	you
a	DT	a
slide	VB	slide
here	RB	here
which	WDT	which
illustrates	VBZ	illustrate
the	DT	the
character	NN	character
of	IN	of
conflicts	NNS	conflict
since	IN	since
1946	CD	@card@
until	IN	until
today	NN	today
.	SENT	.
You	PP	you
see	VBP	see
the	DT	the
green	NN	green
is	VBZ	be
a	DT	a
traditional	JJ	traditional
interstate	JJ	interstate
conflict	NN	conflict
,	,	,
the	DT	the
ones	NNS	one
we	PP	we
used	VBD	use
to	TO	to
read	VB	read
about	RB	about
.	SENT	.
The	DT	the
red	NN	red
is	VBZ	be
modern	JJ	modern
conflict	NN	conflict
,	,	,
conflicts	NNS	conflict
within	IN	within
states	NNS	state
.	SENT	.
These	DT	these
are	VBP	be
quite	RB	quite
different	JJ	different
,	,	,
and	CC	and
they	PP	they
are	VBP	be
outside	IN	outside
the	DT	the
grasp	NN	grasp
of	IN	of
modern	JJ	modern
diplomacy	NN	diplomacy
.	SENT	.
And	CC	and
the	DT	the
core	NN	core
of	IN	of
these	DT	these
key	JJ	key
actors	NNS	actor
are	VBP	be
groups	NNS	group
who	WP	who
represent	VBP	represent
different	JJ	different
interests	NNS	interest
inside	IN	inside
countries	NNS	country
.	SENT	.
And	CC	and
the	DT	the
way	NN	way
they	PP	they
deal	VBP	deal
with	IN	with
their	PP$	their
conflicts	NNS	conflict
rapidly	RB	rapidly
spreads	VBZ	spread
to	TO	to
other	JJ	other
countries	NNS	country
.	SENT	.
So	RB	so
in	IN	in
a	DT	a
way	NN	way
,	,	,
it	PP	it
is	VBZ	be
everybody	NN	everybody
'	POS	'
s	NN	S
business	NN	business
.	SENT	.
Another	DT	another
acknowledgment	NN	acknowledgment
we	PP	we
'	POS	'
ve	NNS	<unknown>
seen	VBN	see
during	IN	during
these	DT	these
years	NNS	year
,	,	,
recent	JJ	recent
years	NNS	year
,	,	,
is	VBZ	be
that	IN	that
very	RB	very
few	JJ	few
of	IN	of
these	DT	these
domestic	JJ	domestic
interstate	NN	interstate
,	,	,
intrastate	JJ	intrastate
conflicts	NNS	conflict
can	MD	can
be	VB	be
solved	VBN	solve
militarily	RB	militarily
.	SENT	.
They	PP	they
may	MD	may
have	VB	have
to	TO	to
be	VB	be
dealt	VBN	deal
with	IN	with
with	IN	with
military	JJ	military
means	NNS	mean
,	,	,
but	CC	but
they	PP	they
cannot	MD	can
be	VB	be
solved	VBN	solve
by	IN	by
military	JJ	military
means	NNS	mean
.	SENT	.
They	PP	they
need	VBP	need
political	JJ	political
solutions	NNS	solution
.	SENT	.
And	CC	and
we	PP	we
,	,	,
therefore	RB	therefore
,	,	,
have	VBP	have
a	DT	a
problem	NN	problem
,	,	,
because	IN	because
they	PP	they
escape	VB	escape
traditional	JJ	traditional
diplomacy	NN	diplomacy
.	SENT	.
And	CC	and
we	PP	we
have	VBP	have
among	IN	among
states	NNS	state
a	DT	a
reluctance	NN	reluctance
in	IN	in
dealing	VBG	deal
with	IN	with
them	PP	them
.	SENT	.
Plus	CC	plus
,	,	,
during	IN	during
the	DT	the
last	JJ	last
decade	NN	decade
,	,	,
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
in	IN	in
the	DT	the
mode	NN	mode
where	WRB	where
dealing	VBG	deal
with	IN	with
groups	NNS	group
was	VBD	be
conceptually	RB	conceptually
and	CC	and
politically	RB	politically
dangerous	JJ	dangerous
.	SENT	.
After	IN	after
9	CD	@card@
/	SYM	/
11	CD	@card@
,	,	,
either	CC	either
you	PP	you
were	VBD	be
with	IN	with
us	PP	us
or	CC	or
against	IN	against
us	PP	us
.	SENT	.
It	PP	it
was	VBD	be
black	JJ	black
or	CC	or
white	JJ	white
.	SENT	.
And	CC	and
groups	NNS	group
are	VBP	be
very	RB	very
often	RB	often
immediately	RB	immediately
label	NN	label
terrorists	NNS	terrorist
.	SENT	.
And	CC	and
who	WP	who
would	MD	would
talk	VB	talk
to	TO	to
terrorists	NNS	terrorist
?	SENT	?
The	DT	the
West	NP	West
,	,	,
as	IN	as
I	PP	I
would	MD	would
see	VB	see
it	PP	it
,	,	,
comes	VBZ	come
out	RP	out
of	IN	of
that	DT	that
decade	NN	decade
weakened	VBD	weaken
,	,	,
because	IN	because
we	PP	we
didn	NN	<unknown>
'	POS	'
t	NN	t
understand	VBP	understand
the	DT	the
group	NN	group
.	SENT	.
So	IN	so
we	PP	we
'	POS	'
ve	NN	ve
spent	VBD	spend
more	JJR	more
time	NN	time
on	IN	on
focusing	VBG	focus
on	IN	on
why	WRB	why
we	PP	we
should	MD	should
not	RB	not
talk	VB	talk
to	TO	to
others	NNS	other
than	IN	than
finding	VBG	find
out	RP	out
how	WRB	how
we	PP	we
talk	VBP	talk
to	TO	to
others	NNS	other
.	SENT	.
Now	RB	now
I	NP	I
'	POS	'
m	NN	m
not	RB	not
naive	JJ	naive
.	SENT	.
You	PP	you
cannot	MD	can
talk	VB	talk
to	TO	to
everybody	NN	everybody
all	PDT	all
the	DT	the
time	NN	time
.	SENT	.
And	CC	and
there	EX	there
are	VBP	be
times	NNS	time
you	PP	you
should	MD	should
walk	VB	walk
.	SENT	.
And	CC	and
sometimes	RB	sometimes
military	JJ	military
intervention	NN	intervention
is	VBZ	be
necessary	JJ	necessary
.	SENT	.
I	PP	I
happen	VBP	happen
to	TO	to
believe	VB	believe
that	IN	that
Libya	NP	Libya
was	VBD	be
necessary	JJ	necessary
and	CC	and
that	IN	that
military	JJ	military
intervention	NN	intervention
in	IN	in
Afghanistan	NP	Afghanistan
was	VBD	be
also	RB	also
necessary	JJ	necessary
.	SENT	.
And	CC	and
my	PP$	my
country	NN	country
relies	VBZ	rely
on	IN	on
its	PP$	its
security	NN	security
through	IN	through
military	JJ	military
alliance	NN	alliance
,	,	,
that	WDT	that
'	POS	'
s	NNS	<unknown>
clear	JJ	clear
.	SENT	.
But	CC	but
still	RB	still
we	PP	we
have	VBP	have
a	DT	a
large	JJ	large
deficit	NN	deficit
in	IN	in
dealing	VBG	deal
with	IN	with
and	CC	and
understanding	VBG	understand
modern	JJ	modern
conflict	NN	conflict
.	SENT	.
Let	VB	let
us	PP	us
turn	VB	turn
to	TO	to
Afghanistan	NP	Afghanistan
.	SENT	.
10	CD	@card@
years	NNS	year
after	IN	after
that	DT	that
military	JJ	military
intervention	NN	intervention
,	,	,
that	DT	that
country	NN	country
is	VBZ	be
far	RB	far
from	IN	from
secure	VB	secure
.	SENT	.
The	DT	the
situation	NN	situation
,	,	,
to	TO	to
be	VB	be
honest	JJ	honest
,	,	,
is	VBZ	be
very	RB	very
serious	JJ	serious
.	SENT	.
Now	RB	now
again	RB	again
,	,	,
the	DT	the
military	NN	military
is	VBZ	be
necessary	JJ	necessary
,	,	,
but	CC	but
the	DT	the
military	NN	military
is	VBZ	be
no	DT	no
problem-solver	NN	problem-solver
.	SENT	.
When	WRB	when
I	PP	I
first	RB	first
came	VBD	come
to	TO	to
Afghanistan	NP	Afghanistan
in	IN	in
2005	CD	@card@
as	IN	as
a	DT	a
foreign	JJ	foreign
minister	NN	minister
,	,	,
I	PP	I
met	VBD	meet
the	DT	the
commander	NN	commander
of	IN	of
ISAF	NP	<unknown>
,	,	,
the	DT	the
international	JJ	international
troops	NNS	troop
.	SENT	.
And	CC	and
he	PP	he
told	VBD	tell
me	PP	me
that	IN	that
,	,	,
"	``	"
This	DT	this
can	MD	can
be	VB	be
won	VBN	win
militarily	RB	militarily
,	,	,
minister	NN	minister
.	SENT	.
We	PP	we
just	RB	just
have	VB	have
to	TO	to
persevere	VB	persevere
.	SENT	.
"	''	"
Now	RB	now
four	CD	four
COM	NN	com
ISAF	NN	<unknown>
'	POS	'
s	NNS	<unknown>
later	RBR	later
,	,	,
we	PP	we
hear	VBP	hear
a	DT	a
different	JJ	different
message	NN	message
:	:	:
"	``	"
This	DT	this
cannot	MD	can
be	VB	be
won	VBN	win
militarily	RB	militarily
.	SENT	.
We	PP	we
need	VBP	need
military	JJ	military
presence	NN	presence
,	,	,
but	CC	but
we	PP	we
need	VBP	need
to	TO	to
move	VB	move
to	TO	to
politics	NNS	politics
.	SENT	.
We	PP	we
can	MD	can
only	RB	only
solve	VB	solve
this	DT	this
through	IN	through
a	DT	a
political	JJ	political
solution	NN	solution
.	SENT	.
And	CC	and
it	PP	it
is	VBZ	be
not	RB	not
us	PP	us
who	WP	who
will	MD	will
solve	VB	solve
it	PP	it
;	:	;
Afghans	NNS	Afghan
have	VBP	have
to	TO	to
solve	VB	solve
it	PP	it
.	SENT	.
"	''	"
But	CC	but
then	RB	then
they	PP	they
need	VBP	need
a	DT	a
different	JJ	different
political	JJ	political
process	NN	process
than	IN	than
the	DT	the
one	CD	one
they	PP	they
were	VBD	be
given	VBN	give
in	IN	in
2001	CD	@card@
,	,	,
2002	CD	@card@
.	SENT	.
They	PP	they
need	VBP	need
an	DT	an
inclusive	JJ	inclusive
process	NN	process
where	WRB	where
the	DT	the
real	JJ	real
fabric	NN	fabric
of	IN	of
this	DT	this
very	RB	very
complicated	JJ	complicated
society	NN	society
can	MD	can
deal	VB	deal
with	IN	with
their	PP$	their
issues	NNS	issue
.	SENT	.
Everybody	NN	everybody
seems	VBZ	seem
to	TO	to
agree	VB	agree
with	IN	with
that	DT	that
.	SENT	.
It	PP	it
was	VBD	be
very	RB	very
controversial	JJ	controversial
to	TO	to
say	VB	say
three	CD	three
,	,	,
four	CD	four
,	,	,
five	CD	five
years	NNS	year
ago	RB	ago
.	SENT	.
Now	RB	now
everybody	NN	everybody
agrees	VBZ	agree
.	SENT	.
But	CC	but
now	RB	now
,	,	,
as	IN	as
we	PP	we
prepare	VBP	prepare
to	TO	to
talk	VB	talk
,	,	,
we	PP	we
understand	VBP	understand
how	WRB	how
little	JJ	little
we	PP	we
know	VBP	know
.	SENT	.
Because	IN	because
we	PP	we
didn	NN	<unknown>
'	POS	'
t	NN	t
talk	NN	talk
.	SENT	.
We	PP	we
didn	NP	<unknown>
'	POS	'
t	NN	t
grasp	NN	grasp
what	WP	what
was	VBD	be
going	VBG	go
on	IN	on
.	SENT	.
The	DT	the
International	NP	International
Committee	NP	Committee
of	IN	of
the	DT	the
Red	NP	Red
Cross	NP	Cross
,	,	,
the	DT	the
ICRC	NP	<unknown>
,	,	,
is	VBZ	be
talking	VBG	talk
to	TO	to
everyone	NN	everyone
,	,	,
and	CC	and
it	PP	it
is	VBZ	be
doing	VBG	do
so	RB	so
because	IN	because
it	PP	it
is	VBZ	be
neutral	JJ	neutral
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
one	CD	one
reason	NN	reason
why	WRB	why
that	DT	that
organization	NN	organization
probably	RB	probably
is	VBZ	be
the	DT	the
best	RBS	well
informed	JJ	informed
key	JJ	key
player	NN	player
to	TO	to
understand	VB	understand
modern	JJ	modern
conflict	NN	conflict
â	NP	<unknown>
because	IN	because
they	PP	they
talk	VBP	talk
.	SENT	.
My	PP$	my
point	NN	point
is	VBZ	be
that	IN	that
you	PP	you
don	VB	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
be	VB	be
neutral	JJ	neutral
to	TO	to
talk	VB	talk
.	SENT	.
And	CC	and
you	PP	you
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
agree	VB	agree
when	WRB	when
you	PP	you
sit	VBP	sit
down	RB	down
with	IN	with
the	DT	the
other	JJ	other
side	NN	side
.	SENT	.
And	CC	and
you	PP	you
can	MD	can
always	RB	always
walk	VB	walk
.	SENT	.
But	CC	but
if	IN	if
you	PP	you
don	NN	don
'	POS	'
t	NN	t
talk	NN	talk
,	,	,
you	PP	you
can	MD	can
'	''	'
t	NN	t
engage	VBP	engage
the	DT	the
other	JJ	other
side	NN	side
.	SENT	.
And	CC	and
the	DT	the
other	JJ	other
side	NN	side
which	WDT	which
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
engage	VB	engage
is	VBZ	be
the	DT	the
one	CD	one
with	IN	with
whom	WP	whom
you	PP	you
profoundly	RB	profoundly
disagree	VBP	disagree
.	SENT	.
Prime	NP	Prime
Minister	NP	Minister
Rabin	NP	Rabin
said	VBD	say
when	WRB	when
he	PP	he
engaged	VBD	engage
the	DT	the
Oslo	NN	Oslo
process	NN	process
,	,	,
"	``	"
You	PP	you
don	VBP	don
'	''	'
t	NN	t
make	VB	make
peace	NN	peace
with	IN	with
your	PP$	your
friends	NNS	friend
,	,	,
you	PP	you
make	VBP	make
peace	NN	peace
with	IN	with
your	PP$	your
enemies	NNS	enemy
.	SENT	.
"	``	"
It	PP	it
'	POS	'
s	NNS	<unknown>
hard	JJ	hard
,	,	,
but	CC	but
it	PP	it
is	VBZ	be
necessary	JJ	necessary
.	SENT	.
Let	VB	let
me	PP	me
go	VB	go
one	CD	one
step	NN	step
further	RBR	further
.	SENT	.
This	DT	this
is	VBZ	be
Tahrir	NP	<unknown>
Square	NP	Square
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
revolution	NN	revolution
going	VBG	go
on	IN	on
.	SENT	.
The	DT	the
Arab	NP	Arab
Spring	NP	Spring
is	VBZ	be
heading	VBG	head
into	IN	into
fall	NN	fall
and	CC	and
is	VBZ	be
moving	VBG	move
into	IN	into
winter	NN	winter
.	SENT	.
It	PP	it
will	MD	will
last	VB	last
for	IN	for
a	DT	a
long	JJ	long
,	,	,
long	JJ	long
time	NN	time
.	SENT	.
And	CC	and
who	WP	who
knows	VBZ	know
what	WP	what
it	PP	it
will	MD	will
be	VB	be
called	VBN	call
in	IN	in
the	DT	the
end	NN	end
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
not	RB	not
the	DT	the
point	NN	point
.	SENT	.
The	DT	the
point	NN	point
is	VBZ	be
that	IN	that
we	PP	we
are	VBP	be
probably	RB	probably
seeing	VBG	see
,	,	,
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
in	IN	in
the	DT	the
history	NN	history
of	IN	of
the	DT	the
Arab	JJ	Arab
world	NN	world
,	,	,
a	DT	a
revolution	NN	revolution
bottom-up	JJ	bottom-up
â	NP	<unknown>
people	NNS	people
'	POS	'
s	NN	S
revolution	NN	revolution
.	SENT	.
Social	JJ	social
groups	NNS	group
are	VBP	be
taking	VBG	take
to	TO	to
the	DT	the
streets	NNS	street
.	SENT	.
And	CC	and
we	PP	we
find	VBP	find
out	RP	out
in	IN	in
the	DT	the
West	NN	west
that	IN	that
we	PP	we
know	VBP	know
very	RB	very
little	JJ	little
about	IN	about
what	WP	what
'	POS	'
s	NN	S
happening	NN	happening
.	SENT	.
Because	IN	because
we	PP	we
never	RB	never
talk	VBP	talk
to	TO	to
the	DT	the
people	NNS	people
in	IN	in
these	DT	these
countries	NNS	country
.	SENT	.
Most	JJS	most
governments	NNS	government
followed	VBD	follow
the	DT	the
dictate	NN	dictate
of	IN	of
the	DT	the
authoritarian	JJ	authoritarian
leaders	NNS	leader
to	TO	to
stay	VB	stay
away	RP	away
from	IN	from
these	DT	these
different	JJ	different
groups	NNS	group
,	,	,
because	IN	because
they	PP	they
were	VBD	be
terrorists	NNS	terrorist
.	SENT	.
So	RB	so
now	RB	now
that	IN	that
they	PP	they
are	VBP	be
emerging	VBG	emerge
in	IN	in
the	DT	the
street	NN	street
and	CC	and
we	PP	we
salute	VBP	salute
the	DT	the
democratic	JJ	democratic
revolution	NN	revolution
,	,	,
we	PP	we
find	VBP	find
out	RB	out
how	WRB	how
little	JJ	little
we	PP	we
know	VBP	know
.	SENT	.
Right	RB	right
now	RB	now
,	,	,
the	DT	the
discussion	NN	discussion
goes	VBZ	go
,	,	,
"	``	"
Should	MD	should
we	PP	we
talk	VB	talk
to	TO	to
the	DT	the
Muslim	NP	Muslim
Brotherhood	NP	Brotherhood
?	SENT	?
Should	MD	should
we	PP	we
talk	VB	talk
to	TO	to
Hamas	NNS	<unknown>
?	SENT	?
If	IN	if
we	PP	we
talk	VBP	talk
to	TO	to
them	PP	them
,	,	,
we	PP	we
may	MD	may
legitimize	VB	legitimize
them	PP	them
.	SENT	.
"	``	"
I	PP	I
think	VBP	think
that	WDT	that
is	VBZ	be
wrong	JJ	wrong
.	SENT	.
If	IN	if
you	PP	you
talk	VBP	talk
in	IN	in
the	DT	the
right	JJ	right
way	NN	way
,	,	,
you	PP	you
make	VBP	make
it	PP	it
very	RB	very
clear	JJ	clear
that	IN	that
talking	VBG	talk
is	VBZ	be
not	RB	not
agreeing	VBG	agree
.	SENT	.
And	CC	and
how	WRB	how
can	MD	can
we	PP	we
tell	VB	tell
the	DT	the
Muslim	NP	Muslim
Brotherhood	NP	Brotherhood
,	,	,
as	IN	as
we	PP	we
should	MD	should
,	,	,
that	IN	that
they	PP	they
must	MD	must
respect	VB	respect
minority	NN	minority
rights	NNS	right
,	,	,
if	IN	if
we	PP	we
don	VBP	don
'	''	'
t	NN	t
accept	VB	accept
majority	NN	majority
rights	NNS	right
?	SENT	?
Because	IN	because
they	PP	they
may	MD	may
turn	VB	turn
out	RP	out
to	TO	to
be	VB	be
a	DT	a
majority	NN	majority
.	SENT	.
How	WRB	how
can	MD	can
we	PP	we
escape	VB	escape
[	SYM	[
having	VBG	have
]	SYM	]
a	DT	a
double-standard	NN	double-standard
,	,	,
if	IN	if
we	PP	we
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
preach	VBP	preach
democracy	NN	democracy
and	CC	and
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
don	NN	don
'	POS	'
t	NN	t
want	VBP	want
to	TO	to
deal	VB	deal
with	IN	with
the	DT	the
groups	NNS	group
that	WDT	that
are	VBP	be
representative	JJ	representative
?	SENT	?
How	WRB	how
will	MD	will
we	PP	we
ever	RB	ever
be	VB	be
interlocutors	NNS	interlocutor
?	SENT	?
Now	RB	now
my	PP$	my
diplomats	NNS	diplomat
are	VBP	be
instructed	VBN	instruct
to	TO	to
talk	VB	talk
to	TO	to
all	PDT	all
these	DT	these
groups	NNS	group
.	SENT	.
But	CC	but
talking	NN	talking
can	MD	can
be	VB	be
done	VBN	do
in	IN	in
different	JJ	different
ways	NNS	way
.	SENT	.
We	PP	we
make	VBP	make
a	DT	a
distinction	NN	distinction
between	IN	between
talking	VBG	talk
from	IN	from
a	DT	a
diplomatic	JJ	diplomatic
level	NN	level
and	CC	and
talking	VBG	talk
at	IN	at
the	DT	the
political	JJ	political
level	NN	level
.	SENT	.
Now	RB	now
talking	NN	talking
can	MD	can
be	VB	be
accompanied	VBN	accompany
with	IN	with
aid	NN	aid
or	CC	or
not	RB	not
with	IN	with
aid	NN	aid
.	SENT	.
Talking	NN	talking
can	MD	can
be	VB	be
accompanied	VBN	accompany
with	IN	with
inclusion	NN	inclusion
or	CC	or
not	RB	not
inclusion	NN	inclusion
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
big	JJ	big
array	NN	array
of	IN	of
the	DT	the
ways	NNS	way
of	IN	of
dealing	VBG	deal
with	IN	with
this	DT	this
.	SENT	.
So	RB	so
if	IN	if
we	PP	we
refuse	VBP	refuse
to	TO	to
talk	VB	talk
to	TO	to
these	DT	these
new	JJ	new
groups	NNS	group
that	WDT	that
are	VBP	be
going	VBG	go
to	TO	to
be	VB	be
dominating	VBG	dominate
the	DT	the
news	NN	news
in	IN	in
years	NNS	year
to	TO	to
come	VB	come
,	,	,
we	PP	we
will	MD	will
further	VB	further
radicalization	NN	radicalization
,	,	,
I	PP	I
believe	VBP	believe
.	SENT	.
We	PP	we
will	MD	will
make	VB	make
the	DT	the
road	NN	road
from	IN	from
violent	JJ	violent
activities	NNS	activity
into	IN	into
politics	NNS	politics
harder	JJR	hard
to	TO	to
travel	VB	travel
.	SENT	.
And	CC	and
if	IN	if
we	PP	we
cannot	MD	can
demonstrate	VB	demonstrate
to	TO	to
these	DT	these
groups	NNS	group
that	IN	that
if	IN	if
you	PP	you
move	VBP	move
towards	IN	towards
democracy	NN	democracy
,	,	,
if	IN	if
you	PP	you
move	VBP	move
towards	IN	towards
taking	VBG	take
part	NN	part
in	IN	in
civilized	JJ	civilized
and	CC	and
normal	JJ	normal
standards	NNS	standard
among	IN	among
states	NNS	state
,	,	,
there	EX	there
are	VBP	be
some	DT	some
rewards	NNS	reward
on	IN	on
the	DT	the
other	JJ	other
side	NN	side
.	SENT	.
The	DT	the
paradox	NN	paradox
here	RB	here
is	VBZ	be
that	IN	that
the	DT	the
last	JJ	last
decade	NN	decade
probably	RB	probably
was	VBD	be
a	DT	a
lost	VBN	lose
decade	NN	decade
for	IN	for
making	VBG	make
progress	NN	progress
on	IN	on
this	DT	this
.	SENT	.
And	CC	and
the	DT	the
paradox	NN	paradox
is	VBZ	be
that	IN	that
the	DT	the
decade	NN	decade
before	IN	before
the	DT	the
last	JJ	last
decade	NN	decade
was	VBD	be
so	RB	so
promising	VBG	promise
â	NP	<unknown>
and	CC	and
for	IN	for
one	CD	one
reason	NN	reason
primarily	RB	primarily
.	SENT	.
And	CC	and
the	DT	the
reason	NN	reason
is	VBZ	be
what	WP	what
happened	VBD	happen
in	IN	in
South	NP	South
Africa	NP	Africa
:	:	:
Nelson	NP	Nelson
Mandela	NP	Mandela
.	SENT	.
When	WRB	when
Mandela	NP	Mandela
came	VBD	come
out	RP	out
of	IN	of
prison	NN	prison
after	IN	after
27	CD	@card@
years	NNS	year
of	IN	of
captivity	NN	captivity
,	,	,
if	IN	if
he	PP	he
had	VBD	have
told	VBN	tell
his	PP$	his
people	NNS	people
,	,	,
"	''	"
It	PP	it
'	POS	'
s	JJ	<unknown>
time	NN	time
to	TO	to
take	VB	take
up	RP	up
the	DT	the
arms	NNS	arm
,	,	,
it	PP	it
'	POS	'
s	JJ	<unknown>
time	NN	time
to	TO	to
fight	VB	fight
,	,	,
"	``	"
he	PP	he
would	MD	would
have	VB	have
been	VBN	be
followed	VBN	follow
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
the	DT	the
international	JJ	international
community	NN	community
would	MD	would
have	VB	have
said	VBN	say
,	,	,
"	''	"
Fair	NP	Fair
enough	RB	enough
.	SENT	.
It	PP	it
'	''	'
s	VBG	<unknown>
their	PP$	their
right	NN	right
to	TO	to
fight	VB	fight
.	SENT	.
"	''	"
Now	RB	now
as	IN	as
you	PP	you
know	VBP	know
,	,	,
Mandela	NP	Mandela
didn	NP	<unknown>
'	POS	'
t	NN	t
do	VBP	do
that	DT	that
.	SENT	.
In	IN	in
his	PP$	his
memoirs	NNS	memoir
,	,	,
"	''	"
Long	NP	Long
Road	NP	Road
to	TO	to
Freedom	NP	Freedom
,	,	,
"	''	"
he	PP	he
wrote	VBD	write
that	IN	that
he	PP	he
survived	VBD	survive
during	IN	during
those	DT	those
years	NNS	year
of	IN	of
captivity	NN	captivity
because	IN	because
he	PP	he
always	RB	always
decided	VBD	decide
to	TO	to
look	VB	look
upon	RP	upon
his	PP$	his
oppressor	NN	oppressor
as	IN	as
also	RB	also
being	VBG	be
a	DT	a
human	JJ	human
being	NN	being
,	,	,
also	RB	also
being	VBG	be
a	DT	a
human	NN	human
being	VBG	be
.	SENT	.
So	RB	so
he	PP	he
engaged	VBD	engage
a	DT	a
political	JJ	political
process	NN	process
of	IN	of
dialogue	NN	dialogue
,	,	,
not	RB	not
as	IN	as
a	DT	a
strategy	NN	strategy
of	IN	of
the	DT	the
weak	JJ	weak
,	,	,
but	CC	but
as	IN	as
a	DT	a
strategy	NN	strategy
of	IN	of
the	DT	the
strong	JJ	strong
.	SENT	.
And	CC	and
he	PP	he
engaged	VBD	engage
talking	VBG	talk
profoundly	RB	profoundly
by	IN	by
settling	VBG	settle
some	DT	some
of	IN	of
the	DT	the
most	RBS	most
tricky	JJ	tricky
issues	NNS	issue
through	IN	through
a	DT	a
truth	NN	truth
and	CC	and
reconciliation	NN	reconciliation
process	NN	process
where	WRB	where
people	NNS	people
came	VBD	come
and	CC	and
talked	VBD	talk
.	SENT	.
Now	RB	now
South	JJ	South
African	JJ	African
friends	NNS	friend
will	MD	will
know	VB	know
that	DT	that
was	VBD	be
very	RB	very
painful	JJ	painful
.	SENT	.
So	RB	so
what	WP	what
can	MD	can
we	PP	we
learn	VB	learn
from	IN	from
all	DT	all
of	IN	of
this	DT	this
?	SENT	?
Dialogue	NN	dialogue
is	VBZ	be
not	RB	not
easy	JJ	easy
â	NP	<unknown>
not	RB	not
between	IN	between
individuals	NNS	individual
,	,	,
not	RB	not
between	IN	between
groups	NNS	group
,	,	,
not	RB	not
between	IN	between
governments	NNS	government
â	NP	<unknown>
but	CC	but
it	PP	it
is	VBZ	be
very	RB	very
necessary	JJ	necessary
.	SENT	.
If	IN	if
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
deal	VB	deal
with	IN	with
political	JJ	political
conflict-solving	NN	<unknown>
of	IN	of
conflicts	NNS	conflict
,	,	,
