Please	UH	please
,	,	,
so	RB	so
they	PP	they
can	MD	can
integrate	VB	integrate
energy	NN	energy
sources	NNS	source
,	,	,
and	CC	and
can	MD	can
have	VB	have
wireless	NN	wireless
transmission	NN	transmission
capabilities	NNS	capability
.	SENT	.
So	RB	so
as	IN	as
we	PP	we
began	VBD	begin
to	TO	to
build	VB	build
these	DT	these
types	NNS	type
of	IN	of
systems	NNS	system
,	,	,
we	PP	we
began	VBD	begin
to	TO	to
test	VB	test
them	PP	them
on	IN	on
ourselves	PP	ourselves
in	IN	in
our	PP$	our
research	NN	research
group	NN	group
.	SENT	.
But	CC	but
in	IN	in
addition	NN	addition
,	,	,
we	PP	we
began	VBD	begin
to	TO	to
reach	VB	reach
out	RP	out
to	TO	to
some	DT	some
of	IN	of
our	PP$	our
clinical	JJ	clinical
partners	NNS	partner
in	IN	in
San	NP	San
Diego	NP	Diego
,	,	,
and	CC	and
test	VB	test
these	DT	these
on	IN	on
different	JJ	different
patients	NNS	patient
in	IN	in
different	JJ	different
clinical	JJ	clinical
conditions	NNS	condition
,	,	,
including	VBG	include
moms-to-be	NN	<unknown>
like	IN	like
Jane	NP	Jane
.	SENT	.
Here	RB	here
is	VBZ	be
a	DT	a
picture	NN	picture
of	IN	of
a	DT	a
pregnant	JJ	pregnant
woman	NN	woman
in	IN	in
labor	NN	labor
at	IN	at
our	PP$	our
university	NN	university
hospital	NN	hospital
being	VBG	be
monitored	VBN	monitor
for	IN	for
her	PP$	her
uterine	JJ	uterine
contractions	NNS	contraction
with	IN	with
the	DT	the
conventional	JJ	conventional
belt	NN	belt
.	SENT	.
In	IN	in
addition	NN	addition
,	,	,
our	PP$	our
flexible	JJ	flexible
electronic	JJ	electronic
patches	NNS	patch
are	VBP	be
there	RB	there
.	SENT	.
This	DT	this
picture	NN	picture
demonstrates	VBZ	demonstrate
waveforms	NNS	waveform
pertaining	VBG	pertain
to	TO	to
the	DT	the
fetal	JJ	fetal
heart	NN	heart
rate	NN	rate
,	,	,
where	WRB	where
the	DT	the
red	NN	red
corresponds	VBZ	correspond
to	TO	to
what	WP	what
was	VBD	be
acquired	VBN	acquire
with	IN	with
the	DT	the
conventional	JJ	conventional
belts	NNS	belt
,	,	,
and	CC	and
the	DT	the
blue	NN	blue
corresponds	VBZ	correspond
to	TO	to
our	PP$	our
estimates	NNS	estimate
using	VBG	use
our	PP$	our
flexible	JJ	flexible
electronic	JJ	electronic
systems	NNS	system
and	CC	and
our	PP$	our
algorithms	NNS	algorithm
.	SENT	.
At	IN	at
this	DT	this
moment	NN	moment
,	,	,
we	PP	we
gave	VBD	give
ourselves	PP	ourselves
a	DT	a
big	JJ	big
mental	JJ	mental
high	JJ	high
five	CD	five
.	SENT	.
Some	DT	some
of	IN	of
the	DT	the
things	NNS	thing
we	PP	we
had	VBD	have
imagined	VBN	imagine
were	VBD	be
beginning	VBG	begin
to	TO	to
come	VB	come
to	TO	to
fruition	NN	fruition
,	,	,
and	CC	and
we	PP	we
were	VBD	be
actually	RB	actually
seeing	VBG	see
this	DT	this
in	IN	in
a	DT	a
clinical	JJ	clinical
context	NN	context
.	SENT	.
But	CC	but
there	EX	there
was	VBD	be
still	RB	still
a	DT	a
problem	NN	problem
.	SENT	.
The	DT	the
problem	NN	problem
was	VBD	be
,	,	,
the	DT	the
way	NN	way
we	PP	we
manufactured	VBD	manufacture
these	DT	these
systems	NNS	system
was	VBD	be
very	RB	very
inefficient	JJ	inefficient
,	,	,
had	VBD	have
low	JJ	low
yield	NN	yield
and	CC	and
was	VBD	be
very	RB	very
error-prone	JJ	error-prone
.	SENT	.
In	IN	in
addition	NN	addition
,	,	,
as	IN	as
we	PP	we
talked	VBD	talk
to	TO	to
some	DT	some
of	IN	of
the	DT	the
nurses	NNS	nurse
in	IN	in
the	DT	the
hospital	NN	hospital
,	,	,
they	PP	they
encouraged	VBD	encourage
us	PP	us
to	TO	to
make	VB	make
sure	JJ	sure
that	IN	that
our	PP$	our
electronics	NNS	electronics
worked	VBN	work
with	IN	with
typical	JJ	typical
medical	JJ	medical
adhesives	NNS	adhesive
that	WDT	that
are	VBP	be
used	VBN	use
in	IN	in
a	DT	a
hospital	NN	hospital
.	SENT	.
We	PP	we
had	VBD	have
an	DT	an
epiphany	NN	epiphany
and	CC	and
said	VBD	say
,	,	,
"	``	"
Wait	VB	wait
a	DT	a
minute	NN	minute
.	SENT	.
Rather	RB	rather
than	IN	than
just	RB	just
making	VBG	make
them	PP	them
work	NN	work
with	IN	with
adhesives	NNS	adhesive
,	,	,
let	VBN	let
'	POS	'
s	NNS	<unknown>
integrate	VB	integrate
them	PP	them
into	IN	into
adhesives	NNS	adhesive
,	,	,
and	CC	and
that	WDT	that
could	MD	could
solve	VB	solve
our	PP$	our
manufacturing	NN	manufacturing
problem	NN	problem
.	SENT	.
"	''	"
This	DT	this
picture	NN	picture
that	IN	that
you	PP	you
see	VBP	see
here	RB	here
is	VBZ	be
our	PP$	our
ability	NN	ability
to	TO	to
embed	VB	embed
these	DT	these
censors	NNS	censor
inside	RB	inside
of	IN	of
a	DT	a
piece	NN	piece
of	IN	of
Scotch	JJ	Scotch
tape	NN	tape
by	IN	by
simply	RB	simply
peeling	VBG	peel
it	PP	it
off	RP	off
of	IN	of
a	DT	a
wafer	NN	wafer
.	SENT	.
Ongoing	JJ	ongoing
work	NN	work
in	IN	in
our	PP$	our
research	NN	research
group	NN	group
allows	VBZ	allow
us	PP	us
to	TO	to
,	,	,
in	IN	in
addition	NN	addition
,	,	,
embed	VB	embed
integrated	JJ	integrated
circuits	NNS	circuit
into	IN	into
the	DT	the
flexible	JJ	flexible
adhesives	NNS	adhesive
to	TO	to
do	VB	do
things	NNS	thing
like	IN	like
amplifying	VBG	amplify
signals	NNS	signal
and	CC	and
digitizing	VBG	digitize
them	PP	them
,	,	,
processing	VBG	process
them	PP	them
and	CC	and
encoding	VBG	encode
for	IN	for
wireless	NN	wireless
transmission	NN	transmission
.	SENT	.
All	DT	all
of	IN	of
this	DT	this
integrated	VBN	integrate
into	IN	into
the	DT	the
same	JJ	same
medical	JJ	medical
adhesives	NNS	adhesive
that	WDT	that
are	VBP	be
used	VBN	use
in	IN	in
the	DT	the
hospital	NN	hospital
.	SENT	.
So	RB	so
when	WRB	when
we	PP	we
reached	VBD	reach
this	DT	this
point	NN	point
,	,	,
we	PP	we
had	VBD	have
some	DT	some
other	JJ	other
challenges	NNS	challenge
,	,	,
from	IN	from
both	CC	both
an	DT	an
engineering	NN	engineering
as	RB	as
well	RB	well
as	IN	as
a	DT	a
usability	NN	usability
perspective	NN	perspective
,	,	,
to	TO	to
make	VB	make
sure	JJ	sure
that	IN	that
we	PP	we
could	MD	could
make	VB	make
it	PP	it
used	VBN	use
practically	RB	practically
.	SENT	.
In	IN	in
many	JJ	many
digital	JJ	digital
health	NN	health
discussions	NNS	discussion
,	,	,
people	NNS	people
believe	VBP	believe
in	IN	in
and	CC	and
embrace	VB	embrace
the	DT	the
idea	NN	idea
that	IN	that
we	PP	we
can	MD	can
simply	RB	simply
digitize	VB	digitize
the	DT	the
data	NNS	datum
,	,	,
wirelessly	RB	<unknown>
transmit	VB	transmit
it	PP	it
,	,	,
send	VB	send
it	PP	it
to	TO	to
the	DT	the
cloud	NN	cloud
,	,	,
and	CC	and
in	IN	in
the	DT	the
cloud	NN	cloud
,	,	,
we	PP	we
can	MD	can
extract	VB	extract
meaningful	JJ	meaningful
information	NN	information
for	IN	for
interpretation	NN	interpretation
.	SENT	.
And	CC	and
indeed	RB	indeed
,	,	,
you	PP	you
can	MD	can
do	VB	do
all	DT	all
of	IN	of
that	WDT	that
,	,	,
if	IN	if
you	PP	you
'	POS	'
re	NN	re
not	RB	not
worried	VBN	worry
about	IN	about
some	DT	some
of	IN	of
the	DT	the
energy	NN	energy
challenges	NNS	challenge
.	SENT	.
Think	VB	think
about	IN	about
Jane	NP	Jane
for	IN	for
a	DT	a
moment	NN	moment
.	SENT	.
She	PP	she
doesn	NP	<unknown>
'	POS	'
t	NN	t
live	JJ	live
in	IN	in
Palo	NP	Palo
Alto	NP	Alto
,	,	,
nor	CC	nor
does	VBZ	do
she	PP	she
live	VB	live
in	IN	in
Beverly	NP	Beverly
Hills	NP	Hills
.	SENT	.
What	WP	what
that	WDT	that
means	VBZ	mean
is	VBZ	be
,	,	,
we	PP	we
have	VBP	have
to	TO	to
be	VB	be
mindful	JJ	mindful
about	IN	about
her	PP$	her
data	NNS	datum
plan	VBP	plan
and	CC	and
how	WRB	how
much	JJ	much
it	PP	it
would	MD	would
cost	VB	cost
for	IN	for
her	PP	her
to	TO	to
be	VB	be
sending	VBG	send
out	RP	out
a	DT	a
continuous	JJ	continuous
stream	NN	stream
of	IN	of
data	NNS	datum
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
another	DT	another
challenge	NN	challenge
that	IN	that
not	RB	not
everyone	NN	everyone
in	IN	in
the	DT	the
medical	JJ	medical
profession	NN	profession
is	VBZ	be
comfortable	JJ	comfortable
talking	VBG	talk
about	RB	about
.	SENT	.
And	CC	and
that	DT	that
is	VBZ	be
,	,	,
that	IN	that
Jane	NP	Jane
does	VBZ	do
not	RB	not
have	VB	have
the	DT	the
most	JJS	most
trust	NN	trust
in	IN	in
the	DT	the
medical	JJ	medical
establishment	NN	establishment
.	SENT	.
She	PP	she
,	,	,
people	NNS	people
like	VBP	like
her	PP	her
,	,	,
her	PP$	her
ancestors	NNS	ancestor
,	,	,
have	VBP	have
not	RB	not
had	VBN	have
the	DT	the
best	JJS	good
experiences	NNS	experience
at	IN	at
the	DT	the
hands	NNS	hand
of	IN	of
doctors	NNS	doctor
and	CC	and
the	DT	the
hospital	NN	hospital
or	CC	or
insurance	NN	insurance
companies	NNS	company
.	SENT	.
That	DT	that
means	VBZ	mean
that	IN	that
we	PP	we
have	VBP	have
to	TO	to
be	VB	be
mindful	JJ	mindful
of	IN	of
questions	NNS	question
of	IN	of
privacy	NN	privacy
.	SENT	.
Jane	NP	Jane
might	MD	might
not	RB	not
feel	VB	feel
that	IN	that
happy	JJ	happy
about	IN	about
all	PDT	all
that	DT	that
data	NNS	datum
being	VBG	be
processed	VBN	process
into	IN	into
the	DT	the
cloud	NN	cloud
.	SENT	.
And	CC	and
Jane	NP	Jane
cannot	MD	can
be	VB	be
fooled	VBN	fool
;	:	;
she	PP	she
reads	VBZ	read
the	DT	the
news	NN	news
.	SENT	.
She	PP	she
knows	VBZ	know
that	IN	that
if	IN	if
the	DT	the
federal	JJ	federal
government	NN	government
can	MD	can
be	VB	be
hacked	VBN	hack
,	,	,
if	IN	if
the	DT	the
Fortune	NP	Fortune
500	CD	@card@
can	MD	can
be	VB	be
hacked	VBN	hack
,	,	,
so	RB	so
can	MD	can
her	PP$	her
doctor	NN	doctor
.	SENT	.
And	CC	and
so	RB	so
with	IN	with
that	IN	that
in	IN	in
mind	NN	mind
,	,	,
we	PP	we
had	VBD	have
an	DT	an
epiphany	NN	epiphany
.	SENT	.
We	PP	we
cannot	MD	can
outsmart	VB	outsmart
all	PDT	all
the	DT	the
hackers	NNS	hacker
in	IN	in
the	DT	the
world	NN	world
,	,	,
but	CC	but
perhaps	RB	perhaps
we	PP	we
can	MD	can
present	VB	present
them	PP	them
a	DT	a
smaller	JJR	small
target	NN	target
.	SENT	.
What	WP	what
if	IN	if
we	PP	we
could	MD	could
actually	RB	actually
,	,	,
rather	RB	rather
than	IN	than
have	VBP	have
those	DT	those
algorithms	NNS	algorithm
that	WDT	that
do	VBP	do
data	NN	data
interpretation	NN	interpretation
run	VBN	run
in	IN	in
the	DT	the
cloud	NN	cloud
,	,	,
what	WP	what
if	IN	if
we	PP	we
have	VBP	have
those	DT	those
algorithms	NNS	algorithm
run	VBN	run
on	IN	on
those	DT	those
small	JJ	small
integrated	JJ	integrated
circuits	NNS	circuit
embedded	VBN	embed
into	IN	into
those	DT	those
adhesives	NNS	adhesive
?	SENT	?
And	CC	and
so	RB	so
when	WRB	when
we	PP	we
integrate	VBP	integrate
these	DT	these
things	NNS	thing
together	RB	together
,	,	,
what	WP	what
this	DT	this
means	NN	means
is	VBZ	be
that	IN	that
now	RB	now
we	PP	we
can	MD	can
think	VB	think
about	IN	about
the	DT	the
future	NN	future
where	WRB	where
someone	NN	someone
like	IN	like
Jane	NP	Jane
can	MD	can
still	RB	still
go	VB	go
about	IN	about
living	VBG	live
her	PP$	her
normal	JJ	normal
daily	JJ	daily
life	NN	life
,	,	,
she	PP	she
can	MD	can
be	VB	be
monitored	VBN	monitor
,	,	,
it	PP	it
can	MD	can
be	VB	be
done	VBN	do
in	IN	in
a	DT	a
way	NN	way
where	WRB	where
she	PP	she
doesn	NN	<unknown>
'	''	'
t	NN	t
have	VBP	have
to	TO	to
get	VB	get
another	DT	another
job	NN	job
to	TO	to
pay	VB	pay
her	PP$	her
data	NNS	datum
plan	NN	plan
,	,	,
and	CC	and
we	PP	we
can	MD	can
also	RB	also
address	VB	address
some	DT	some
of	IN	of
her	PP$	her
concerns	NNS	concern
about	IN	about
privacy	NN	privacy
.	SENT	.
So	RB	so
at	IN	at
this	DT	this
point	NN	point
,	,	,
we	PP	we
'	POS	'
re	NN	re
feeling	NN	feeling
very	RB	very
good	JJ	good
about	IN	about
ourselves	PP	ourselves
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
accomplished	VBD	accomplish
this	DT	this
,	,	,
we	PP	we
'	POS	'
ve	NNS	<unknown>
begun	VBN	begin
to	TO	to
address	VB	address
some	DT	some
of	IN	of
these	DT	these
questions	NNS	question
about	IN	about
privacy	NN	privacy
and	CC	and
we	PP	we
feel	VBP	feel
like	IN	like
,	,	,
pretty	RB	pretty
much	RB	much
the	DT	the
chapter	NN	chapter
is	VBZ	be
closed	VBN	close
now	RB	now
.	SENT	.
Everyone	NN	everyone
lived	VBD	live
happily	RB	happily
ever	RB	ever
after	IN	after
,	,	,
right	RB	right
?	SENT	?
Well	RB	well
,	,	,
not	RB	not
so	RB	so
fast	RB	fast
.	SENT	.
One	CD	one
of	IN	of
the	DT	the
things	NNS	thing
we	PP	we
have	VBP	have
to	TO	to
remember	VB	remember
,	,	,
as	IN	as
I	PP	I
mentioned	VBD	mention
earlier	RBR	earlier
,	,	,
is	VBZ	be
that	IN	that
Jane	NP	Jane
does	VBZ	do
not	RB	not
have	VB	have
the	DT	the
most	JJS	most
trust	NN	trust
in	IN	in
the	DT	the
medical	JJ	medical
establishment	NN	establishment
.	SENT	.
We	PP	we
have	VBP	have
to	TO	to
remember	VB	remember
that	IN	that
there	EX	there
are	VBP	be
increasing	VBG	increase
and	CC	and
widening	VBG	widen
health	NN	health
disparities	NNS	disparity
,	,	,
and	CC	and
there	EX	there
'	''	'
s	NN	S
inequity	NN	inequity
in	IN	in
terms	NNS	term
of	IN	of
proper	JJ	proper
care	NN	care
management	NN	management
.	SENT	.
And	CC	and
so	IN	so
what	WP	what
that	DT	that
means	NN	means
is	VBZ	be
that	IN	that
this	DT	this
simple	JJ	simple
picture	NN	picture
of	IN	of
Jane	NP	Jane
and	CC	and
her	PP$	her
data	NNS	datum
—	:	-
even	RB	even
with	IN	with
her	PP$	her
being	VBG	be
comfortable	JJ	comfortable
being	VBG	be
wirelessly	RB	<unknown>
transmitted	VBN	transmit
to	TO	to
the	DT	the
cloud	NN	cloud
,	,	,
letting	VBG	let
a	DT	a
doctor	NN	doctor
intervene	VB	intervene
if	IN	if
necessary	JJ	necessary
—	:	-
is	VBZ	be
not	RB	not
the	DT	the
whole	JJ	whole
story	NN	story
.	SENT	.
So	RB	so
what	WP	what
we	PP	we
'	POS	'
re	NN	re
beginning	NN	beginning
to	TO	to
do	VB	do
is	VBZ	be
to	TO	to
think	VB	think
about	IN	about
ways	NNS	way
to	TO	to
have	VB	have
trusted	VBN	trust
parties	NNS	party
serve	VBP	serve
as	IN	as
intermediaries	NNS	intermediary
between	IN	between
people	NNS	people
like	IN	like
Jane	NP	Jane
and	CC	and
her	PP$	her
health	NN	health
care	NN	care
providers	NNS	provider
.	SENT	.
For	IN	for
example	NN	example
,	,	,
we	PP	we
'	POS	'
ve	NNS	<unknown>
begun	VBN	begin
to	TO	to
partner	NN	partner
with	IN	with
churches	NNS	church
and	CC	and
to	TO	to
think	VB	think
about	IN	about
nurses	NNS	nurse
that	WDT	that
are	VBP	be
church	NN	church
members	NNS	member
,	,	,
that	WDT	that
come	VBP	come
from	IN	from
that	DT	that
trusted	VBN	trust
community	NN	community
,	,	,
as	IN	as
patient	JJ	patient
advocates	NNS	advocate
and	CC	and
health	NN	health
coaches	NNS	coach
to	TO	to
people	NNS	people
like	IN	like
Jane	NP	Jane
.	SENT	.
Another	DT	another
thing	NN	thing
we	PP	we
have	VB	have
going	VBG	go
for	IN	for
us	PP	us
is	VBZ	be
that	IN	that
insurance	NN	insurance
companies	NNS	company
,	,	,
increasingly	RB	increasingly
,	,	,
are	VBP	be
attracted	VBN	attract
to	TO	to
some	DT	some
of	IN	of
these	DT	these
ideas	NNS	idea
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
increasingly	RB	increasingly
realizing	VBG	realize
that	IN	that
perhaps	RB	perhaps
it	PP	it
'	POS	'
s	NN	S
better	RBR	well
to	TO	to
pay	VB	pay
one	CD	one
dollar	NN	dollar
now	RB	now
for	IN	for
a	DT	a
wearable	JJ	wearable
device	NN	device
and	CC	and
a	DT	a
health	NN	health
coach	NN	coach
,	,	,
rather	RB	rather
than	IN	than
paying	VBG	pay
10	CD	@card@
dollars	NNS	dollar
later	RBR	later
,	,	,
when	WRB	when
that	DT	that
baby	NN	baby
is	VBZ	be
born	VBN	bear
prematurely	RB	prematurely
and	CC	and
ends	VBZ	end
up	RP	up
in	IN	in
the	DT	the
neonatal	JJ	neonatal
intensive	JJ	intensive
care	NN	care
unit	NN	unit
—	:	-
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
expensive	JJ	expensive
parts	NNS	part
of	IN	of
a	DT	a
hospital	NN	hospital
.	SENT	.
This	DT	this
has	VBZ	have
been	VBN	be
a	DT	a
long	JJ	long
learning	VBG	learn
process	NN	process
for	IN	for
us	PP	us
.	SENT	.
This	DT	this
iterative	JJ	iterative
process	NN	process
of	IN	of
breaking	VBG	break
through	RP	through
and	CC	and
attacking	VBG	attack
one	CD	one
problem	NN	problem
and	CC	and
not	RB	not
feeling	VBG	feel
totally	RB	totally
comfortable	JJ	comfortable
,	,	,
and	CC	and
identifying	VBG	identify
the	DT	the
next	JJ	next
problem	NN	problem
,	,	,
has	VBZ	have
helped	VBN	help
us	PP	us
go	VBP	go
along	IN	along
this	DT	this
path	NN	path
of	IN	of
actually	RB	actually
trying	VBG	try
to	TO	to
not	RB	not
only	RB	only
innovate	VB	innovate
with	IN	with
this	DT	this
technology	NN	technology
but	CC	but
make	VB	make
sure	JJ	sure
it	PP	it
can	MD	can
be	VB	be
used	VBN	use
for	IN	for
people	NNS	people
who	WP	who
perhaps	RB	perhaps
need	VBP	need
it	PP	it
the	DT	the
most	JJS	most
.	SENT	.
Another	DT	another
learning	VBG	learn
lesson	NN	lesson
we	PP	we
'	POS	'
ve	NNS	<unknown>
taken	VBN	take
from	IN	from
this	DT	this
process	NN	process
that	WDT	that
is	VBZ	be
very	RB	very
humbling	VBG	humble
,	,	,
is	VBZ	be
that	IN	that
as	IN	as
technology	NN	technology
progresses	NNS	progress
and	CC	and
advances	NNS	advance
at	IN	at
an	DT	an
accelerating	JJ	accelerating
rate	NN	rate
,	,	,
we	PP	we
have	VBP	have
to	TO	to
remember	VB	remember
that	IN	that
human	JJ	human
beings	NNS	being
are	VBP	be
using	VBG	use
this	DT	this
technology	NN	technology
,	,	,
and	CC	and
we	PP	we
have	VBP	have
to	TO	to
be	VB	be
mindful	JJ	mindful
that	IN	that
these	DT	these
human	JJ	human
beings	NNS	being
—	:	-
they	PP	they
have	VBP	have
a	DT	a
face	NN	face
,	,	,
they	PP	they
have	VBP	have
a	DT	a
name	NN	name
and	CC	and
a	DT	a
life	NN	life
.	SENT	.
And	CC	and
in	IN	in
the	DT	the
case	NN	case
of	IN	of
Jane	NP	Jane
,	,	,
hopefully	RB	hopefully
,	,	,
two	CD	two
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
