Well	RB	well
subsurface	NN	subsurface
of	IN	of
a	DT	a
planet	NN	planet
where	WRB	where
you	PP	you
are	VBP	be
very	RB	very
far	RB	far
away	RB	away
from	IN	from
a	DT	a
sun	NN	sun
,	,	,
but	CC	but
you	PP	you
still	RB	still
have	VBP	have
water	NN	water
,	,	,
energy	NN	energy
,	,	,
nutrients	NNS	nutrient
,	,	,
which	WDT	which
for	IN	for
some	DT	some
of	IN	of
them	PP	them
means	VBZ	mean
food	NN	food
,	,	,
and	CC	and
a	DT	a
protection	NN	protection
.	SENT	.
And	CC	and
when	WRB	when
you	PP	you
look	VBP	look
at	IN	at
the	DT	the
Earth	NN	earth
,	,	,
very	RB	very
far	RB	far
away	RB	away
from	IN	from
any	DT	any
sunlight	NN	sunlight
,	,	,
deep	RB	deep
in	IN	in
the	DT	the
ocean	NN	ocean
,	,	,
you	PP	you
have	VBP	have
life	NN	life
thriving	VBG	thrive
and	CC	and
it	PP	it
uses	VBZ	use
only	JJ	only
chemistry	NN	chemistry
for	IN	for
life	NN	life
processes	NNS	process
.	SENT	.
So	RB	so
when	WRB	when
you	PP	you
think	VBP	think
of	IN	of
it	PP	it
at	IN	at
that	DT	that
point	NN	point
,	,	,
all	DT	all
walls	NNS	wall
collapse	NN	collapse
.	SENT	.
You	PP	you
have	VBP	have
no	DT	no
limitations	NNS	limitation
,	,	,
basically	RB	basically
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
have	VBP	have
been	VBN	be
looking	VBG	look
at	IN	at
the	DT	the
headlines	NNS	headline
lately	RB	lately
,	,	,
then	RB	then
you	PP	you
will	MD	will
see	VB	see
that	IN	that
we	PP	we
have	VBP	have
discovered	VBN	discover
a	DT	a
subsurface	JJ	subsurface
ocean	NN	ocean
on	IN	on
Europa	NP	Europa
,	,	,
on	IN	on
Ganymede	NP	<unknown>
,	,	,
on	IN	on
Enceladus	NP	<unknown>
,	,	,
on	IN	on
Titan	NN	titan
,	,	,
and	CC	and
now	RB	now
we	PP	we
are	VBP	be
finding	VBG	find
a	DT	a
geyser	NN	geyser
and	CC	and
hot	JJ	hot
springs	NNS	spring
on	IN	on
Enceladus	NP	<unknown>
,	,	,
Our	PP$	our
solar	JJ	solar
system	NN	system
is	VBZ	be
turning	VBG	turn
into	IN	into
a	DT	a
giant	JJ	giant
spa	NN	spa
.	SENT	.
For	IN	for
anybody	NN	anybody
who	WP	who
has	VBZ	have
gone	VBN	go
to	TO	to
a	DT	a
spa	NN	spa
knows	VBZ	know
how	WRB	how
much	JJ	much
microbes	NNS	microbe
like	VBP	like
that	IN	that
,	,	,
right	RB	right
?	SENT	?
So	RB	so
at	IN	at
that	DT	that
point	NN	point
,	,	,
think	VBP	think
also	RB	also
about	IN	about
Mars	NP	Mars
.	SENT	.
There	EX	there
is	VBZ	be
no	DT	no
life	NN	life
possible	JJ	possible
at	IN	at
the	DT	the
surface	NN	surface
of	IN	of
Mars	NP	Mars
today	NN	today
,	,	,
but	CC	but
it	PP	it
might	MD	might
still	RB	still
be	VB	be
hiding	VBG	hide
underground	RB	underground
.	SENT	.
So	RB	so
,	,	,
we	PP	we
have	VBP	have
been	VBN	be
making	VBG	make
progress	NN	progress
in	IN	in
our	PP$	our
understanding	NN	understanding
of	IN	of
habitability	NN	habitability
,	,	,
but	CC	but
we	PP	we
also	RB	also
have	VBP	have
been	VBN	be
making	VBG	make
progress	NN	progress
in	IN	in
our	PP$	our
understanding	NN	understanding
of	IN	of
what	WP	what
the	DT	the
signatures	NNS	signature
of	IN	of
life	NN	life
are	VBP	be
on	IN	on
Earth	NP	Earth
.	SENT	.
And	CC	and
you	PP	you
can	MD	can
have	VB	have
what	WP	what
we	PP	we
call	VBP	call
organic	JJ	organic
molecules	NNS	molecule
,	,	,
and	CC	and
these	DT	these
are	VBP	be
the	DT	the
bricks	NNS	brick
of	IN	of
life	NN	life
,	,	,
and	CC	and
you	PP	you
can	MD	can
have	VB	have
fossils	NNS	fossil
,	,	,
and	CC	and
you	PP	you
can	MD	can
minerals	NNS	mineral
,	,	,
biominerals	NNS	biomineral
,	,	,
which	WDT	which
is	VBZ	be
due	JJ	due
to	TO	to
the	DT	the
reaction	NN	reaction
between	IN	between
bacteria	NNS	bacterium
and	CC	and
rocks	NNS	rock
,	,	,
and	CC	and
of	IN	of
course	NN	course
you	PP	you
can	MD	can
have	VB	have
gases	NNS	gas
in	IN	in
the	DT	the
atmosphere	NN	atmosphere
.	SENT	.
And	CC	and
when	WRB	when
you	PP	you
look	VBP	look
at	IN	at
those	DT	those
tiny	JJ	tiny
green	JJ	green
algae	NN	algae
on	IN	on
the	DT	the
right	NN	right
of	IN	of
the	DT	the
slide	NN	slide
here	RB	here
,	,	,
they	PP	they
are	VBP	be
the	DT	the
direct	JJ	direct
descendants	NNS	descendant
of	IN	of
those	DT	those
who	WP	who
have	VBP	have
been	VBN	be
pumping	VBG	pump
oxygen	NN	oxygen
a	DT	a
billion	NN	billion
years	NNS	year
ago	RB	ago
in	IN	in
the	DT	the
atmosphere	NN	atmosphere
of	IN	of
the	DT	the
Earth	NN	earth
.	SENT	.
When	WRB	when
they	PP	they
did	VBD	do
that	IN	that
,	,	,
they	PP	they
poisoned	VBD	poison
90	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
life	NN	life
at	IN	at
the	DT	the
surface	NN	surface
of	IN	of
the	DT	the
Earth	NN	earth
,	,	,
but	CC	but
they	PP	they
are	VBP	be
the	DT	the
reason	NN	reason
why	WRB	why
you	PP	you
are	VBP	be
breathing	VBG	breathe
this	DT	this
air	NN	air
today	NN	today
.	SENT	.
But	CC	but
as	RB	as
much	RB	much
as	IN	as
our	PP$	our
understanding	NN	understanding
grows	VBZ	grow
of	IN	of
all	DT	all
of	IN	of
these	DT	these
things	NNS	thing
,	,	,
there	EX	there
is	VBZ	be
one	CD	one
question	NN	question
we	PP	we
still	RB	still
cannot	MD	can
answer	VB	answer
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
,	,	,
where	WRB	where
are	VBP	be
we	PP	we
coming	VBG	come
from	IN	from
?	SENT	?
And	CC	and
you	PP	you
know	VBP	know
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
getting	VBG	get
worse	JJR	bad
,	,	,
because	IN	because
we	PP	we
won	VBD	win
'	''	'
t	NN	t
be	VB	be
able	JJ	able
to	TO	to
find	VB	find
the	DT	the
physical	JJ	physical
evidence	NN	evidence
of	IN	of
where	WRB	where
we	PP	we
are	VBP	be
coming	VBG	come
from	IN	from
on	IN	on
this	DT	this
planet	NN	planet
,	,	,
and	CC	and
the	DT	the
reason	NN	reason
being	NN	being
is	VBZ	be
that	DT	that
anything	NN	anything
that	WDT	that
is	VBZ	be
older	JJR	old
than	IN	than
four	CD	four
billion	NN	billion
years	NNS	year
is	VBZ	be
gone	VBN	go
.	SENT	.
All	DT	all
record	NN	record
is	VBZ	be
gone	VBN	go
,	,	,
erased	VBN	erase
by	IN	by
plate	NN	plate
tectonics	NNS	tectonics
and	CC	and
erosion	NN	erosion
.	SENT	.
This	DT	this
is	VBZ	be
what	WP	what
I	PP	I
call	VBP	call
the	DT	the
Earth	NN	earth
'	POS	'
s	JJ	<unknown>
biological	JJ	biological
horizon	NN	horizon
.	SENT	.
Beyond	IN	beyond
this	DT	this
horizon	NN	horizon
we	PP	we
don	VBP	don
'	''	'
t	NN	t
know	VB	know
where	WRB	where
we	PP	we
are	VBP	be
coming	VBG	come
from	IN	from
.	SENT	.
So	RB	so
is	VBZ	be
everything	NN	everything
lost	VBN	lose
?	SENT	?
Well	RB	well
,	,	,
maybe	RB	maybe
not	RB	not
.	SENT	.
And	CC	and
we	PP	we
might	MD	might
be	VB	be
able	JJ	able
to	TO	to
find	VB	find
evidence	NN	evidence
of	IN	of
our	PP$	our
own	JJ	own
origin	NN	origin
in	IN	in
the	DT	the
most	RBS	most
unlikely	JJ	unlikely
place	NN	place
,	,	,
and	CC	and
this	DT	this
place	NN	place
in	IN	in
Mars	NP	Mars
.	SENT	.
How	WRB	how
is	VBZ	be
this	DT	this
possible	JJ	possible
?	SENT	?
Well	RB	well
clearly	RB	clearly
at	IN	at
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
solar	JJ	solar
system	NN	system
,	,	,
Mars	NP	Mars
and	CC	and
the	DT	the
Earth	NN	earth
were	VBD	be
bombarded	VBN	bombard
by	IN	by
giant	JJ	giant
asteroids	NNS	asteroid
and	CC	and
comets	NNS	comet
,	,	,
and	CC	and
there	EX	there
were	VBD	be
ejecta	NN	ejecta
from	IN	from
these	DT	these
impacts	NNS	impact
all	RB	all
over	IN	over
the	DT	the
place	NN	place
.	SENT	.
Earth	NP	Earth
and	CC	and
Mars	NP	Mars
kept	VBD	keep
throwing	VBG	throw
rocks	NNS	rock
at	IN	at
each	DT	each
other	JJ	other
for	IN	for
a	DT	a
very	RB	very
long	JJ	long
time	NN	time
.	SENT	.
Pieces	NNS	piece
of	IN	of
rocks	NNS	rock
landed	VBN	land
on	IN	on
the	DT	the
Earth	NN	earth
.	SENT	.
Pieces	NNS	piece
of	IN	of
the	DT	the
Earth	NN	earth
landed	VBD	land
on	IN	on
Mars	NP	Mars
.	SENT	.
So	RB	so
clearly	RB	clearly
,	,	,
those	DT	those
two	CD	two
planets	NNS	planet
may	MD	may
have	VB	have
been	VBN	be
seeded	VBN	seed
by	IN	by
the	DT	the
same	JJ	same
material	NN	material
.	SENT	.
So	RB	so
yeah	RB	yeah
,	,	,
maybe	RB	maybe
Granddady	NP	<unknown>
is	VBZ	be
sitting	VBG	sit
there	RB	there
on	IN	on
the	DT	the
surface	NN	surface
and	CC	and
waiting	VBG	wait
for	IN	for
us	PP	us
.	SENT	.
But	CC	but
that	WDT	that
also	RB	also
means	VBZ	mean
that	IN	that
we	PP	we
can	MD	can
go	VB	go
to	TO	to
Mars	NP	Mars
and	CC	and
try	VB	try
to	TO	to
find	VB	find
traces	NNS	trace
of	IN	of
our	PP$	our
own	JJ	own
origin	NN	origin
.	SENT	.
Mars	NP	Mars
may	MD	may
hold	VB	hold
that	DT	that
secret	NN	secret
for	IN	for
us	PP	us
.	SENT	.
This	DT	this
is	VBZ	be
why	WRB	why
Mars	NP	Mars
is	VBZ	be
so	RB	so
special	JJ	special
to	TO	to
us	PP	us
.	SENT	.
But	CC	but
for	IN	for
that	WDT	that
to	TO	to
happen	VB	happen
,	,	,
Mars	NP	Mars
needed	VBD	need
to	TO	to
be	VB	be
habitable	JJ	habitable
at	IN	at
the	DT	the
time	NN	time
when	WRB	when
conditions	NNS	condition
were	VBD	be
right	JJ	right
.	SENT	.
So	RB	so
was	VBD	be
Mars	NP	Mars
habitable	JJ	habitable
?	SENT	?
We	PP	we
have	VBP	have
a	DT	a
number	NN	number
of	IN	of
missions	NNS	mission
telling	VBG	tell
us	PP	us
exactly	RB	exactly
the	DT	the
same	JJ	same
thing	NN	thing
today	NN	today
.	SENT	.
At	IN	at
the	DT	the
time	NN	time
when	WRB	when
life	NN	life
appeared	VBD	appear
on	IN	on
the	DT	the
Earth	NP	Earth
,	,	,
Mars	NP	Mars
did	VBD	do
have	VBP	have
an	DT	an
ocean	NN	ocean
,	,	,
it	PP	it
had	VBD	have
volcanoes	NNS	volcano
,	,	,
it	PP	it
had	VBD	have
lakes	NNS	lake
,	,	,
and	CC	and
it	PP	it
had	VBD	have
deltas	NNS	delta
like	IN	like
the	DT	the
beautiful	JJ	beautiful
picture	NN	picture
you	PP	you
see	VBP	see
here	RB	here
.	SENT	.
This	DT	this
picture	NN	picture
was	VBD	be
sent	VBN	send
by	IN	by
the	DT	the
Curiosity	NN	curiosity
rover	NN	rover
only	RB	only
a	DT	a
few	JJ	few
weeks	NNS	week
ago	RB	ago
.	SENT	.
It	PP	it
shows	VBZ	show
the	DT	the
remnants	NNS	remnant
of	IN	of
a	DT	a
delta	NN	delta
,	,	,
and	CC	and
this	DT	this
picture	NN	picture
tells	VBZ	tell
us	PP	us
something	NN	something
:	:	:
water	NN	water
was	VBD	be
abundant	JJ	abundant
and	CC	and
stayed	VBN	stay
founting	NN	<unknown>
at	IN	at
the	DT	the
surface	NN	surface
for	IN	for
a	DT	a
very	RB	very
long	JJ	long
time	NN	time
.	SENT	.
This	DT	this
is	VBZ	be
good	JJ	good
news	NN	news
for	IN	for
life	NN	life
.	SENT	.
Life	NN	life
chemistry	NN	chemistry
takes	VBZ	take
a	DT	a
long	JJ	long
time	NN	time
to	TO	to
actually	RB	actually
happen	VB	happen
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
extremely	RB	extremely
good	JJ	good
news	NN	news
,	,	,
but	CC	but
does	VBZ	do
that	RB	that
mean	VB	mean
that	IN	that
if	IN	if
we	PP	we
go	VBP	go
there	RB	there
,	,	,
life	NN	life
will	MD	will
be	VB	be
easy	JJ	easy
to	TO	to
find	VB	find
on	IN	on
Mars	NP	Mars
?	SENT	?
Not	RB	not
necessarily	RB	necessarily
.	SENT	.
Here	RB	here
'	''	'
s	NNS	<unknown>
what	WP	what
happened	VBD	happen
:	:	:
At	IN	at
the	DT	the
time	NN	time
when	WRB	when
life	NN	life
exploded	VBD	explode
at	IN	at
the	DT	the
surface	NN	surface
of	IN	of
the	DT	the
Earth	NN	earth
,	,	,
then	RB	then
everything	NN	everything
went	VBD	go
south	RB	south
for	IN	for
Mars	NP	Mars
,	,	,
literally	RB	literally
.	SENT	.
The	DT	the
atmosphere	NN	atmosphere
was	VBD	be
stripped	VBN	strip
away	RB	away
by	IN	by
solar	JJ	solar
winds	NNS	wind
,	,	,
Mars	NP	Mars
lost	VBD	lose
its	PP$	its
magnetosphere	NN	magnetosphere
,	,	,
and	CC	and
then	RB	then
cosmic	JJ	cosmic
rays	NNS	ray
and	CC	and
U	NP	U
.	SENT	.
V	NN	V
.	SENT	.
bombarded	VBN	bombard
the	DT	the
surface	NN	surface
and	CC	and
water	NN	water
escaped	VBN	escape
to	TO	to
space	NN	space
and	CC	and
went	VBD	go
underground	RB	underground
.	SENT	.
So	RB	so
if	IN	if
we	PP	we
want	VBP	want
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
understand	VB	understand
,	,	,
if	IN	if
we	PP	we
want	VBP	want
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
find	VB	find
those	DT	those
traces	NNS	trace
of	IN	of
the	DT	the
signatures	NNS	signature
of	IN	of
life	NN	life
at	IN	at
the	DT	the
surface	NN	surface
of	IN	of
Mars	NP	Mars
,	,	,
if	IN	if
they	PP	they
are	VBP	be
there	RB	there
,	,	,
we	PP	we
need	VBP	need
to	TO	to
understand	VB	understand
what	WP	what
was	VBD	be
the	DT	the
impact	NN	impact
of	IN	of
each	DT	each
of	IN	of
these	DT	these
events	NNS	event
on	IN	on
the	DT	the
preservation	NN	preservation
of	IN	of
its	PP$	its
record	NN	record
.	SENT	.
Only	RB	only
then	RB	then
will	MD	will
we	PP	we
be	VB	be
able	JJ	able
to	TO	to
know	VB	know
where	WRB	where
those	DT	those
signatures	NNS	signature
are	VBP	be
hiding	VBG	hide
,	,	,
and	CC	and
only	RB	only
then	RB	then
will	MD	will
we	PP	we
be	VB	be
able	JJ	able
to	TO	to
send	VB	send
our	PP$	our
rover	NN	rover
to	TO	to
the	DT	the
right	NN	right
places	VBZ	place
where	WRB	where
we	PP	we
can	MD	can
sample	VB	sample
those	DT	those
rocks	NNS	rock
that	WDT	that
may	MD	may
be	VB	be
telling	VBG	tell
us	PP	us
something	NN	something
really	RB	really
important	JJ	important
about	IN	about
who	WP	who
we	PP	we
are	VBP	be
,	,	,
or	CC	or
,	,	,
if	IN	if
not	RB	not
,	,	,
maybe	RB	maybe
telling	VBG	tell
us	PP	us
that	IN	that
somewhere	RB	somewhere
,	,	,
independently	RB	independently
,	,	,
life	NN	life
has	VBZ	have
appeared	VBN	appear
on	IN	on
another	DT	another
planet	NN	planet
.	SENT	.
So	RB	so
to	TO	to
do	VB	do
that	IN	that
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
easy	JJ	easy
.	SENT	.
You	PP	you
only	RB	only
need	VBP	need
to	TO	to
go	VB	go
back	RB	back
3	CD	@card@
.	SENT	.
5	CD	@card@
billion	NN	billion
years	NNS	year
ago	RB	ago
in	IN	in
the	DT	the
past	NN	past
of	IN	of
a	DT	a
planet	NN	planet
.	SENT	.
We	PP	we
just	RB	just
need	VBP	need
a	DT	a
time	NN	time
machine	NN	machine
.	SENT	.
Easy	RB	easy
,	,	,
right	RB	right
?	SENT	?
Well	RB	well
,	,	,
actually	RB	actually
,	,	,
it	PP	it
is	VBZ	be
.	SENT	.
Look	VB	look
around	IN	around
you	PP	you
—	:	-
that	WDT	that
'	POS	'
s	JJ	<unknown>
planet	NN	planet
Earth	NN	earth
.	SENT	.
This	DT	this
is	VBZ	be
our	PP$	our
time	NN	time
machine	NN	machine
.	SENT	.
Geologists	NNS	geologist
are	VBP	be
using	VBG	use
it	PP	it
to	TO	to
go	VB	go
back	RB	back
in	IN	in
the	DT	the
past	NN	past
of	IN	of
our	PP$	our
own	JJ	own
planet	NN	planet
.	SENT	.
I	PP	I
am	VBP	be
using	VBG	use
it	PP	it
a	DT	a
little	JJ	little
bit	NN	bit
differently	RB	differently
.	SENT	.
I	PP	I
use	VBP	use
planet	NN	planet
Earth	NN	earth
to	TO	to
go	VB	go
in	IN	in
very	RB	very
extreme	JJ	extreme
environments	NNS	environment
where	WRB	where
conditions	NNS	condition
were	VBD	be
similar	JJ	similar
to	TO	to
those	DT	those
of	IN	of
Mars	NP	Mars
at	IN	at
the	DT	the
time	NN	time
when	WRB	when
the	DT	the
climate	NN	climate
changed	VBD	change
,	,	,
and	CC	and
there	RB	there
I	NP	I
'	POS	'
m	NN	m
trying	VBG	try
to	TO	to
understand	VB	understand
what	WP	what
happened	VBN	happen
.	SENT	.
What	WP	what
are	VBP	be
the	DT	the
signatures	NNS	signature
of	IN	of
life	NN	life
?	SENT	?
What	WP	what
is	VBZ	be
left	VBN	leave
?	SENT	?
How	WRB	how
are	VBP	be
we	PP	we
going	VBG	go
to	TO	to
find	VB	find
it	PP	it
?	SENT	?
So	RB	so
for	IN	for
one	CD	one
moment	NN	moment
now	RB	now
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
take	VB	take
you	PP	you
with	IN	with
me	PP	me
on	IN	on
a	DT	a
trip	NN	trip
into	IN	into
that	DT	that
time	NN	time
machine	NN	machine
.	SENT	.
And	CC	and
now	RB	now
,	,	,
what	WP	what
you	PP	you
see	VBP	see
here	RB	here
,	,	,
we	PP	we
are	VBP	be
at	IN	at
4	CD	@card@
,	,	,
500	CD	@card@
meters	NNS	meter
in	IN	in
the	DT	the
Andes	NP	Andes
,	,	,
but	CC	but
in	IN	in
fact	NN	fact
we	PP	we
are	VBP	be
less	JJR	less
than	IN	than
a	DT	a
billion	NN	billion
years	NNS	year
after	IN	after
the	DT	the
Earth	NP	Earth
and	CC	and
Mars	NP	Mars
formed	VBD	form
.	SENT	.
The	DT	the
Earth	NP	Earth
and	CC	and
Mars	NP	Mars
will	MD	will
have	VB	have
looked	VBN	look
pretty	RB	pretty
much	RB	much
exactly	RB	exactly
like	IN	like
that	DT	that
—	:	-
volcanoes	NNS	volcano
everywhere	RB	everywhere
,	,	,
evaporating	VBG	evaporate
lakes	NNS	lake
everywhere	RB	everywhere
,	,	,
minerals	NNS	mineral
,	,	,
hot	JJ	hot
springs	NNS	spring
,	,	,
and	CC	and
then	RB	then
you	PP	you
see	VBP	see
those	DT	those
mounds	NNS	mound
on	IN	on
the	DT	the
shore	NN	shore
of	IN	of
those	DT	those
lakes	NNS	lake
?	SENT	?
Those	DT	those
are	VBP	be
built	VBN	build
by	IN	by
the	DT	the
descendants	NNS	descendant
of	IN	of
the	DT	the
first	JJ	first
organisms	NNS	organism
that	WDT	that
gave	VBD	give
us	PP	us
the	DT	the
first	JJ	first
fossil	NN	fossil
on	IN	on
Earth	NP	Earth
.	SENT	.
But	CC	but
if	IN	if
we	PP	we
want	VBP	want
to	TO	to
understand	VB	understand
what	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
on	IN	on
,	,	,
we	PP	we
need	VBP	need
to	TO	to
go	VB	go
a	DT	a
little	RB	little
further	JJR	further
.	SENT	.
And	CC	and
the	DT	the
other	JJ	other
thing	NN	thing
about	IN	about
those	DT	those
sites	NNS	site
is	VBZ	be
that	IN	that
exactly	RB	exactly
like	IN	like
on	IN	on
Mars	NP	Mars
three	CD	three
and	CC	and
a	DT	a
half	JJ	half
billion	NN	billion
years	NNS	year
ago	RB	ago
,	,	,
the	DT	the
climate	NN	climate
is	VBZ	be
changing	VBG	change
very	RB	very
fast	RB	fast
,	,	,
and	CC	and
water	NN	water
and	CC	and
ice	NN	ice
are	VBP	be
disappearing	VBG	disappear
.	SENT	.
But	CC	but
we	PP	we
need	VBP	need
to	TO	to
go	VB	go
back	RB	back
to	TO	to
that	DT	that
time	NN	time
when	WRB	when
everything	NN	everything
changed	VBD	change
on	IN	on
Mars	NP	Mars
,	,	,
and	CC	and
to	TO	to
do	VB	do
that	IN	that
,	,	,
we	PP	we
need	VBP	need
to	TO	to
go	VB	go
higher	JJR	high
.	SENT	.
Why	WRB	why
is	VBZ	be
that	RB	that
?	SENT	?
Because	IN	because
when	WRB	when
you	PP	you
go	VBP	go
higher	JJR	high
,	,	,
the	DT	the
atmosphere	NN	atmosphere
is	VBZ	be
getting	VBG	get
thinner	JJR	thin
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
getting	VBG	get
more	RBR	more
unstable	JJ	unstable
,	,	,
the	DT	the
temperature	NN	temperature
is	VBZ	be
getting	VBG	get
cooler	JJR	cool
,	,	,
and	CC	and
you	PP	you
have	VBP	have
a	DT	a
lot	NN	lot
more	RBR	more
U	NP	U
.	SENT	.
V	CD	@card@
.	SENT	.
radiation	NN	radiation
.	SENT	.
Basically	RB	basically
,	,	,
you	PP	you
are	VBP	be
getting	VBG	get
to	TO	to
those	DT	those
conditions	NNS	condition
on	IN	on
Mars	NP	Mars
when	WRB	when
everything	NN	everything
changed	VBD	change
.	SENT	.
So	RB	so
I	PP	I
was	VBD	be
not	RB	not
promising	JJ	promising
anything	NN	anything
about	IN	about
a	DT	a
leisurely	JJ	leisurely
trip	NN	trip
on	IN	on
the	DT	the
time	NN	time
machine	NN	machine
.	SENT	.
You	PP	you
are	VBP	be
not	RB	not
going	VBG	go
to	TO	to
be	VB	be
sitting	VBG	sit
in	IN	in
that	DT	that
time	NN	time
machine	NN	machine
.	SENT	.
You	PP	you
have	VBP	have
to	TO	to
haul	VB	haul
1	CD	@card@
,	,	,
000	CD	@card@
pounds	NNS	pound
of	IN	of
equipment	NN	equipment
to	TO	to
