Many	JJ	many
is	VBZ	be
a	DT	a
case	NN	case
where	WRB	where
we	PP	we
'	POS	'
re	NN	re
simply	RB	simply
switching	VBG	switch
off	RP	off
the	DT	the
firing	NN	firing
of	IN	of
the	DT	the
brain	NN	brain
cells	NNS	cell
,	,	,
particularly	RB	particularly
in	IN	in
the	DT	the
cortex	NN	cortex
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
not	RB	not
natural	JJ	natural
sleep	NN	sleep
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
during	IN	during
deep	JJ	deep
non-rapid	JJ	non-rapid
eye	NN	eye
movement	NN	movement
sleep	NN	sleep
,	,	,
for	IN	for
example	NN	example
,	,	,
the	DT	the
brain	NN	brain
has	VBZ	have
this	DT	this
remarkable	JJ	remarkable
coordination	NN	coordination
of	IN	of
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
of	IN	of
cells	NNS	cell
that	IN	that
all	DT	all
of	IN	of
a	DT	a
sudden	JJ	sudden
fire	NN	fire
together	RB	together
,	,	,
and	CC	and
then	RB	then
they	PP	they
all	RB	all
go	VBP	go
silent	JJ	silent
,	,	,
and	CC	and
then	RB	then
they	PP	they
all	DT	all
fire	NN	fire
together	RB	together
,	,	,
and	CC	and
then	RB	then
they	PP	they
go	VBP	go
silent	JJ	silent
,	,	,
producing	VBG	produce
these	DT	these
big	JJ	big
,	,	,
powerful	JJ	powerful
brainwaves	NNS	brainwave
of	IN	of
deep	JJ	deep
non-REM	NP	<unknown>
sleep	NN	sleep
.	SENT	.
And	CC	and
so	RB	so
that	RB	that
'	''	'
s	VBG	<unknown>
the	DT	the
first	JJ	first
way	NN	way
in	IN	in
which	WDT	which
alcohol	NN	alcohol
can	MD	can
be	VB	be
problematic	JJ	problematic
.	SENT	.
We	PP	we
'	''	'
re	IN	re
mistaking	VBG	mistake
sedation	NN	sedation
for	IN	for
deep	JJ	deep
sleep	NN	sleep
.	SENT	.
The	DT	the
second	JJ	second
problem	NN	problem
with	IN	with
alcohol	NN	alcohol
is	VBZ	be
that	IN	that
it	PP	it
can	MD	can
actually	RB	actually
fragment	VB	fragment
your	PP$	your
sleep	NN	sleep
.	SENT	.
Alcohol	NN	alcohol
can	MD	can
actually	RB	actually
trigger	VB	trigger
and	CC	and
activate	VB	activate
during	IN	during
sleep	NN	sleep
what	WP	what
we	PP	we
call	VBP	call
the	DT	the
fight	NN	fight
or	CC	or
flight	NN	flight
branch	NN	branch
of	IN	of
the	DT	the
nervous	JJ	nervous
system	NN	system
,	,	,
which	WDT	which
will	MD	will
therefore	RB	therefore
wake	VB	wake
you	PP	you
up	RB	up
more	RBR	more
frequently	RB	frequently
throughout	IN	throughout
the	DT	the
night	NN	night
.	SENT	.
And	CC	and
alcohol	NN	alcohol
can	MD	can
even	RB	even
increase	VB	increase
the	DT	the
amount	NN	amount
of	IN	of
alerting	VBG	alert
chemicals	NNS	chemical
that	WDT	that
are	VBP	be
released	VBN	release
by	IN	by
the	DT	the
brain	NN	brain
,	,	,
once	RB	once
again	RB	again
fragmenting	VBG	fragment
your	PP$	your
sleep	NN	sleep
.	SENT	.
The	DT	the
third	JJ	third
and	CC	and
final	JJ	final
issue	NN	issue
with	IN	with
alcohol	NN	alcohol
and	CC	and
sleep	NN	sleep
is	VBZ	be
that	IN	that
alcohol	NN	alcohol
can	MD	can
actually	RB	actually
block	VB	block
your	PP$	your
rapid	JJ	rapid
eye	NN	eye
movement	NN	movement
sleep	NN	sleep
,	,	,
or	CC	or
your	PP$	your
dream	NN	dream
sleep	NN	sleep
.	SENT	.
And	CC	and
as	IN	as
we	PP	we
'	POS	'
ll	NNS	<unknown>
learn	VBP	learn
in	IN	in
subsequent	JJ	subsequent
episodes	NNS	episode
,	,	,
REM	NP	Rem
sleep	NN	sleep
,	,	,
or	CC	or
rapid	JJ	rapid
eye	NN	eye
movement	NN	movement
sleep	NN	sleep
,	,	,
dream	NN	dream
sleep	NN	sleep
,	,	,
provides	VBZ	provide
a	DT	a
collection	NN	collection
of	IN	of
benefits	NNS	benefit
,	,	,
things	NNS	thing
such	JJ	such
as	IN	as
your	PP$	your
emotional	JJ	emotional
and	CC	and
mental	JJ	mental
health	NN	health
,	,	,
even	RB	even
creativity	NN	creativity
.	SENT	.
Now	RB	now
I	NP	I
'	POS	'
m	NN	m
not	RB	not
here	RB	here
to	TO	to
tell	VB	tell
anyone	NN	anyone
how	WRB	how
to	TO	to
live	VB	live
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
want	VBP	want
to	TO	to
be	VB	be
puritanical	JJ	puritanical
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
just	RB	just
a	DT	a
scientist	NN	scientist
.	SENT	.
What	WP	what
I	PP	I
want	VBP	want
to	TO	to
try	VB	try
and	CC	and
do	VB	do
is	VBZ	be
provide	VB	provide
you	PP	you
with	IN	with
the	DT	the
information	NN	information
about	IN	about
the	DT	the
relationship	NN	relationship
between	IN	between
caffeine	NN	caffeine
and	CC	and
alcohol	NN	alcohol
on	IN	on
your	PP$	your
sleep	NN	sleep
so	RB	so
then	RB	then
you	PP	you
can	MD	can
make	VB	make
an	DT	an
informed	JJ	informed
choice	NN	choice
as	IN	as
to	TO	to
how	WRB	how
best	JJS	good
you	PP	you
want	VBP	want
to	TO	to
live	VB	live
your	PP$	your
life	NN	life
when	WRB	when
you	PP	you
'	POS	'
re	NN	re
trying	VBG	try
to	TO	to
prioritize	VB	<unknown>
your	PP$	your
sleep	NN	sleep
health	NN	health
.	SENT	.
