Catherine	NP	Catherine
well	RB	well
,	,	,
I	PP	I
think	VBP	think
some	DT	some
of	IN	of
it	PP	it
is	VBZ	be
because	IN	because
fun	NN	fun
can	MD	can
seem	VB	seem
maybe	RB	maybe
frivolous	JJ	frivolous
in	IN	in
a	DT	a
very	RB	very
serious	JJ	serious
world	NN	world
,	,	,
and	CC	and
the	DT	the
world	NN	world
is	VBZ	be
quite	RB	quite
serious	JJ	serious
.	SENT	.
But	CC	but
why	WRB	why
is	VBZ	be
it	PP	it
important	JJ	important
to	TO	to
have	VB	have
fun	NN	fun
?	SENT	?
CP	NP	CP
:	:	:
Thanks	NNS	thanks
for	IN	for
asking	VBG	ask
that	DT	that
question	NN	question
,	,	,
David	NP	David
,	,	,
because	IN	because
that	WDT	that
is	VBZ	be
a	DT	a
common	JJ	common
misperception	NN	misperception
people	NNS	people
have	VBP	have
about	IN	about
fun	NN	fun
is	VBZ	be
that	IN	that
it	PP	it
is	VBZ	be
frivolous	JJ	frivolous
or	CC	or
that	WDT	that
,	,	,
you	PP	you
know	VBP	know
,	,	,
there	EX	there
are	VBP	be
so	RB	so
many	JJ	many
serious	JJ	serious
things	NNS	thing
going	VBG	go
on	IN	on
in	IN	in
the	DT	the
world	NN	world
,	,	,
how	WRB	how
can	MD	can
we	PP	we
possibly	RB	possibly
think	VBP	think
about	IN	about
fun	NN	fun
?	SENT	?
So	IN	so
a	DT	a
couple	NN	couple
of	IN	of
things	NNS	thing
I	PP	I
would	MD	would
say	VB	say
to	TO	to
that	DT	that
.	SENT	.
First	JJ	first
of	IN	of
all	DT	all
,	,	,
life	NN	life
is	VBZ	be
not	RB	not
zero-sum	NN	zero-sum
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
see	VB	see
why	WRB	why
you	PP	you
can	MD	can
'	''	'
t	NN	t
be	VB	be
someone	NN	someone
who	WP	who
cares	VBZ	care
about	IN	about
the	DT	the
serious	JJ	serious
issues	NNS	issue
in	IN	in
the	DT	the
world	NN	world
and	CC	and
also	RB	also
cares	VBZ	care
about	IN	about
fun	NN	fun
.	SENT	.
And	CC	and
also	RB	also
,	,	,
a	DT	a
lot	NN	lot
of	IN	of
what	WP	what
we	PP	we
do	VBP	do
when	WRB	when
we	PP	we
say	VBP	say
we	PP	we
'	''	'
re	IN	re
"	``	"
caring	VBG	care
about	IN	about
serious	JJ	serious
issues	NNS	issue
"	''	"
is	VBZ	be
really	RB	really
kind	NN	kind
of	IN	of
meaningless	JJ	meaningless
and	CC	and
just	RB	just
torturing	VBG	torture
ourselves	PP	ourselves
.	SENT	.
If	IN	if
you	PP	you
read	VBP	read
the	DT	the
same	JJ	same
news	NN	news
article	NN	article
that	WDT	that
makes	VBZ	make
you	PP	you
upset	VBD	upset
six	CD	six
times	NNS	time
in	IN	in
an	DT	an
hour	NN	hour
,	,	,
you	PP	you
haven	VBP	haven
'	''	'
t	NN	t
actually	RB	actually
helped	VBD	help
anybody	NN	anybody
.	SENT	.
And	CC	and
the	DT	the
same	JJ	same
thing	NN	thing
if	IN	if
you	PP	you
'	POS	'
ve	NN	ve
posted	VBD	post
a	DT	a
rant	NN	rant
on	IN	on
social	JJ	social
media	NNS	medium
or	CC	or
gotten	VBN	get
into	IN	into
an	DT	an
argument	NN	argument
or	CC	or
just	RB	just
worked	VBD	work
yourself	PP	yourself
up	RP	up
or	CC	or
essentially	RB	essentially
yelled	VBD	yell
at	IN	at
someone	NN	someone
on	IN	on
Twitter	NN	twitter
.	SENT	.
That	DT	that
didn	NN	<unknown>
'	POS	'
t	NN	t
actually	RB	actually
help	VB	help
anybody	NN	anybody
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
very	RB	very
draining	VBG	drain
.	SENT	.
So	RB	so
what	WP	what
I	PP	I
find	VBP	find
about	IN	about
fun	NN	fun
is	VBZ	be
that	IN	that
when	WRB	when
we	PP	we
actually	RB	actually
have	VBP	have
fun	NN	fun
--	:	--
my	PP$	my
point	NN	point
being	NN	being
here	RB	here
is	VBZ	be
that	IN	that
fun	NN	fun
can	MD	can
actually	RB	actually
help	VB	help
us	PP	us
work	VB	work
to	TO	to
solve	VB	solve
some	DT	some
of	IN	of
those	DT	those
problems	NNS	problem
.	SENT	.
And	CC	and
the	DT	the
reason	NN	reason
I	PP	I
say	VBP	say
that	WDT	that
is	VBZ	be
that	IN	that
,	,	,
first	JJ	first
of	IN	of
all	DT	all
,	,	,
when	WRB	when
you	PP	you
have	VBP	have
enough	JJ	enough
fun	NN	fun
yourself	PP	yourself
,	,	,
it	PP	it
actually	RB	actually
fills	VBZ	fill
up	RP	up
your	PP$	your
own	JJ	own
reserves	NNS	reserve
,	,	,
it	PP	it
builds	VBZ	build
your	PP$	your
resilience	NN	resilience
and	CC	and
your	PP$	your
energy	NN	energy
.	SENT	.
And	CC	and
that	WDT	that
will	MD	will
give	VB	give
you	PP	you
the	DT	the
energy	NN	energy
to	TO	to
do	VB	do
something	NN	something
more	RBR	more
productive	JJ	productive
than	IN	than
just	RB	just
yell	VB	yell
at	IN	at
people	NNS	people
via	IN	via
your	PP$	your
phones	NNS	phone
,	,	,
social	JJ	social
media	NNS	medium
accounts	NNS	account
.	SENT	.
But	CC	but
then	RB	then
also	RB	also
,	,	,
if	IN	if
you	PP	you
actually	RB	actually
have	VBP	have
fun	NN	fun
with	IN	with
other	JJ	other
people	NNS	people
and	CC	and
you	PP	you
'	POS	'
ve	NNS	<unknown>
connected	VBN	connect
with	IN	with
them	PP	them
as	IN	as
human	JJ	human
beings	NNS	being
,	,	,
so	RB	so
if	IN	if
we	PP	we
'	POS	'
re	NN	re
able	JJ	able
to	TO	to
have	VB	have
fun	NN	fun
with	IN	with
each	DT	each
other	JJ	other
,	,	,
we	PP	we
can	MD	can
connect	VB	connect
in	IN	in
a	DT	a
way	NN	way
that	WDT	that
then	RB	then
helps	VBZ	help
us	PP	us
work	VB	work
together	RB	together
to	TO	to
actually	RB	actually
solve	VB	solve
some	DT	some
of	IN	of
those	DT	those
problems	NNS	problem
.	SENT	.
And	CC	and
then	RB	then
I	PP	I
would	MD	would
also	RB	also
say	VB	say
fun	NN	fun
isn	NN	isn
'	POS	'
t	NN	t
frivolous	JJ	frivolous
.	SENT	.
Even	RB	even
if	IN	if
the	DT	the
world	NN	world
was	VBD	be
great	JJ	great
and	CC	and
there	RB	there
weren	NNS	<unknown>
'	POS	'
t	NN	t
any	DT	any
problems	NNS	problem
,	,	,
fun	VBP	fun
itself	PP	itself
is	VBZ	be
not	RB	not
frivolous	JJ	frivolous
--	:	--
and	CC	and
I	PP	I
'	POS	'
m	NN	m
happy	JJ	happy
to	TO	to
go	VB	go
into	IN	into
more	JJR	more
detail	NN	detail
if	IN	if
anyone	NN	anyone
wants	VBZ	want
more	JJR	more
detail	NN	detail
,	,	,
but	CC	but
is	VBZ	be
actually	RB	actually
really	RB	really
important	JJ	important
not	RB	not
just	RB	just
for	IN	for
our	PP$	our
mental	JJ	mental
health	NN	health
,	,	,
but	CC	but
also	RB	also
for	IN	for
our	PP$	our
physical	JJ	physical
health	NN	health
because	IN	because
of	IN	of
the	DT	the
way	NN	way
it	PP	it
reduces	VBZ	reduce
our	PP$	our
stress	NN	stress
levels	NNS	level
and	CC	and
also	RB	also
provides	VBZ	provide
us	PP	us
with	IN	with
a	DT	a
sense	NN	sense
of	IN	of
social	JJ	social
connection	NN	connection
.	SENT	.
DB	NP	DB
:	:	:
Yeah	RB	yeah
,	,	,
fun	NN	fun
is	VBZ	be
good	JJ	good
for	IN	for
your	PP$	your
health	NN	health
.	SENT	.
I	PP	I
think	VBP	think
that	DT	that
'	''	'
s	VBG	<unknown>
the	DT	the
important	JJ	important
thing	NN	thing
to	TO	to
remember	VB	remember
.	SENT	.
But	CC	but
as	IN	as
you	PP	you
pointed	VBD	point
out	RP	out
,	,	,
we	PP	we
shouldn	NNS	<unknown>
'	POS	'
t	NN	t
get	VBP	get
to	TO	to
wrapped	VB	wrapped
up	RP	up
maybe	RB	maybe
in	IN	in
anxiety	NN	anxiety
about	RB	about
whether	IN	whether
we	PP	we
'	''	'
re	IN	re
having	VBG	have
enough	JJ	enough
fun	NN	fun
.	SENT	.
You	PP	you
also	RB	also
talk	VBP	talk
about	IN	about
something	NN	something
called	VBN	call
"	``	"
fake	JJ	fake
"	''	"
fun	NN	fun
.	SENT	.
What	WP	what
'	POS	'
s	NN	S
that	RB	that
?	SENT	?
CP	NP	CP
:	:	:
So	RB	so
fake	JJ	fake
fun	NN	fun
is	VBZ	be
a	DT	a
term	NN	term
I	PP	I
came	VBD	come
up	RP	up
with	IN	with
to	TO	to
describe	VB	describe
products	NNS	product
and	CC	and
services	NNS	service
that	WDT	that
are	VBP	be
marketed	VBN	market
to	TO	to
us	PP	us
as	IN	as
fun	NN	fun
but	CC	but
that	IN	that
aren	NNS	<unknown>
'	POS	'
t	NN	t
actually	RB	actually
fun	NN	fun
in	IN	in
the	DT	the
sense	NN	sense
that	IN	that
they	PP	they
don	VB	don
'	''	'
t	NN	t
actually	RB	actually
produce	VB	produce
playfulness	NN	playfulness
,	,	,
connection	NN	connection
or	CC	or
flow	NN	flow
.	SENT	.
The	DT	the
biggest	JJS	big
culprit	NN	culprit
here	RB	here
is	VBZ	be
definitely	RB	definitely
social	JJ	social
media	NNS	medium
and	CC	and
kind	NN	kind
of	IN	of
--	:	--
or	CC	or
passive	JJ	passive
consumption	NN	consumption
past	IN	past
the	DT	the
point	NN	point
of	IN	of
enjoyment	NN	enjoyment
.	SENT	.
So	RB	so
if	IN	if
you	PP	you
'	POS	'
re	NN	re
watching	VBG	watch
your	PP$	your
favorite	JJ	favorite
show	NN	show
for	IN	for
a	DT	a
couple	NN	couple
episodes	NNS	episode
,	,	,
great	JJ	great
.	SENT	.
But	CC	but
if	IN	if
you	PP	you
'	POS	'
re	NN	re
like	IN	like
,	,	,
in	IN	in
that	DT	that
zone	NN	zone
where	WRB	where
you	PP	you
'	POS	'
re	NN	re
actually	RB	actually
completely	RB	completely
hypnotized	VBN	hypnotize
and	CC	and
seven	CD	seven
hours	NNS	hour
have	VBP	have
past	JJ	past
and	CC	and
you	PP	you
feel	VBP	feel
disgusting	JJ	disgusting
about	IN	about
yourself	PP	yourself
and	CC	and
your	PP$	your
life	NN	life
,	,	,
you	PP	you
'	POS	'
ve	NNS	<unknown>
fallen	VBN	fall
into	IN	into
the	DT	the
trap	NN	trap
of	IN	of
fake	JJ	fake
fun	NN	fun
.	SENT	.
So	RB	so
I	PP	I
see	VBP	see
it	PP	it
as	IN	as
there	RB	there
being	VBG	be
actually	RB	actually
three	CD	three
categories	NNS	category
.	SENT	.
You	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
true	JJ	true
fun	NN	fun
,	,	,
the	DT	the
playful	JJ	playful
connected	JJ	connected
flow	NN	flow
.	SENT	.
You	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
fake	JJ	fake
fun	NN	fun
,	,	,
which	WDT	which
is	VBZ	be
essentially	RB	essentially
the	DT	the
junk	NN	junk
food	NN	food
of	IN	of
our	PP$	our
leisure	NN	leisure
time	NN	time
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
very	RB	very
appealing	JJ	appealing
,	,	,
but	CC	but
it	PP	it
leaves	VBZ	leave
us	PP	us
feeling	VBG	feel
disgusting	JJ	disgusting
about	IN	about
ourselves	PP	ourselves
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
big	JJ	big
middle	JJ	middle
category	NN	category
of	IN	of
stuff	NN	stuff
that	RB	that
'	POS	'
s	NN	S
truly	RB	truly
enjoyable	JJ	enjoyable
,	,	,
but	CC	but
that	DT	that
wouldn	NN	<unknown>
'	POS	'
t	NN	t
necessarily	RB	necessarily
qualify	VB	qualify
as	IN	as
true	JJ	true
fun	NN	fun
by	IN	by
the	DT	the
definition	NN	definition
I	PP	I
'	POS	'
ve	NN	ve
proposed	VBD	propose
.	SENT	.
And	CC	and
that	WDT	that
would	MD	would
be	VB	be
things	NNS	thing
like	IN	like
reading	NN	reading
,	,	,
you	PP	you
know	VBP	know
,	,	,
or	CC	or
like	IN	like
taking	VBG	take
a	DT	a
bath	NN	bath
or	CC	or
watching	VBG	watch
your	PP$	your
favorite	JJ	favorite
TV	NN	TV
show	VBP	show
up	RP	up
to	TO	to
the	DT	the
point	NN	point
where	WRB	where
it	PP	it
'	POS	'
s	NN	S
still	RB	still
enjoyable	JJ	enjoyable
.	SENT	.
To	TO	to
me	PP	me
,	,	,
those	DT	those
are	VBP	be
all	DT	all
legitimate	JJ	legitimate
great	JJ	great
uses	NNS	use
of	IN	of
your	PP$	your
leisure	NN	leisure
time	NN	time
,	,	,
even	RB	even
if	IN	if
they	PP	they
'	POS	'
re	NN	re
not	RB	not
fun	NN	fun
because	IN	because
you	PP	you
know	VBP	know
you	PP	you
actually	RB	actually
enjoy	VBP	enjoy
them	PP	them
.	SENT	.
And	CC	and
the	DT	the
reason	NN	reason
I	PP	I
think	VBP	think
it	PP	it
'	''	'
s	NNS	<unknown>
important	JJ	important
to	TO	to
think	VB	think
so	RB	so
intellectually	RB	intellectually
about	IN	about
fun	NN	fun
is	VBZ	be
that	IN	that
it	PP	it
helps	VBZ	help
us	PP	us
become	VB	become
much	RB	much
more	RBR	more
intentional	JJ	intentional
about	IN	about
how	WRB	how
we	PP	we
use	VBP	use
our	PP$	our
leisure	NN	leisure
time	NN	time
.	SENT	.
So	RB	so
if	IN	if
you	PP	you
'	POS	'
re	NN	re
able	JJ	able
to	TO	to
identify	VB	identify
sources	NNS	source
of	IN	of
fake	JJ	fake
fun	NN	fun
in	IN	in
your	PP$	your
life	NN	life
,	,	,
it	PP	it
'	POS	'
s	NN	S
actually	RB	actually
really	RB	really
easy	JJ	easy
to	TO	to
eliminate	VB	eliminate
those	DT	those
once	IN	once
you	PP	you
'	POS	'
ve	JJ	<unknown>
kind	NN	kind
of	IN	of
cognitively	RB	<unknown>
recognized	VBN	recognize
that	IN	that
you	PP	you
know	VBP	know
it	PP	it
'	''	'
s	VBG	<unknown>
a	DT	a
waste	NN	waste
of	IN	of
time	NN	time
.	SENT	.
And	CC	and
if	IN	if
you	PP	you
'	POS	'
re	NN	re
like	IN	like
,	,	,
"	``	"
Oh	UH	oh
yeah	RB	yeah
,	,	,
this	DT	this
is	VBZ	be
actually	RB	actually
enjoyable	JJ	enjoyable
,	,	,
"	''	"
go	VBP	go
for	IN	for
it	PP	it
.	SENT	.
And	CC	and
then	RB	then
if	IN	if
it	PP	it
'	POS	'
s	NN	S
likely	JJ	likely
to	TO	to
generate	VB	generate
true	JJ	true
fun	NN	fun
,	,	,
I	PP	I
would	MD	would
suggest	VB	suggest
putting	VBG	put
it	PP	it
on	IN	on
the	DT	the
top	NN	top
of	IN	of
your	PP$	your
priority	NN	priority
list	NN	list
because	IN	because
it	PP	it
'	POS	'
s	VBG	<unknown>
such	PDT	such
a	DT	a
wonderfully	RB	wonderfully
nourishing	VBG	nourish
state	NN	state
.	SENT	.
DB	NP	DB
:	:	:
TED	VBP	ted
Member	NP	Member
Don	NP	Don
and	CC	and
Stephania	NP	Stephania
are	VBP	be
,	,	,
you	PP	you
know	VBP	know
,	,	,
feel	VBP	feel
slightly	RB	slightly
overwhelmed	JJ	overwhelmed
by	IN	by
their	PP$	their
lives	NNS	life
and	CC	and
have	VBP	have
trouble	NN	trouble
even	RB	even
thinking	VBG	think
of	IN	of
what	WP	what
fun	NN	fun
feels	VBZ	feel
like	IN	like
.	SENT	.
If	IN	if
you	PP	you
'	POS	'
ve	NNS	<unknown>
forgotten	VBN	forget
what	WP	what
fun	NN	fun
feels	VBZ	feel
like	IN	like
,	,	,
how	WRB	how
do	VBP	do
you	PP	you
find	VBP	find
it	PP	it
again	RB	again
?	SENT	?
CP	NP	CP
:	:	:
One	CD	one
of	IN	of
the	DT	the
things	NNS	thing
I	PP	I
recommend	VBP	recommend
people	NNS	people
do	VBP	do
to	TO	to
start	VB	start
is	VBZ	be
to	TO	to
think	VB	think
back	RB	back
on	IN	on
a	DT	a
moment	NN	moment
of	IN	of
true	JJ	true
fun	NN	fun
from	IN	from
your	PP$	your
own	JJ	own
life	NN	life
,	,	,
a	DT	a
moment	NN	moment
that	IN	that
you	PP	you
describe	VBP	describe
as	RB	as
"	''	"
so	IN	so
fun	NN	fun
.	SENT	.
"	``	"
That	DT	that
was	VBD	be
the	DT	the
term	NN	term
I	PP	I
came	VBD	come
up	RP	up
with	IN	with
when	WRB	when
I	PP	I
was	VBD	be
asking	VBG	ask
people	NNS	people
this	DT	this
question	NN	question
.	SENT	.
Don	NP	Don
'	POS	'
t	NN	t
worry	NN	worry
,	,	,
it	PP	it
can	MD	can
actually	RB	actually
take	VB	take
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
time	NN	time
to	TO	to
tune	VB	tune
in	IN	in
to	TO	to
those	DT	those
experiences	NNS	experience
,	,	,
but	CC	but
I	PP	I
can	MD	can
assure	VB	assure
you	PP	you
we	PP	we
'	POS	'
ve	NN	ve
all	RB	all
had	VBD	have
them	PP	them
.	SENT	.
They	PP	they
don	VBP	don
'	''	'
t	NN	t
need	VBP	need
to	TO	to
be	VB	be
dramatic	JJ	dramatic
.	SENT	.
This	DT	this
is	VBZ	be
another	DT	another
misconception	NN	misconception
we	PP	we
have	VBP	have
about	IN	about
fun	NN	fun
,	,	,
that	WDT	that
it	PP	it
only	RB	only
can	MD	can
happen	VB	happen
in	IN	in
exotic	JJ	exotic
locales	NNS	locale
or	CC	or
when	WRB	when
you	PP	you
'	POS	'
re	NN	re
somehow	RB	somehow
outside	JJ	outside
of	IN	of
your	PP$	your
"	``	"
normal	JJ	normal
life	NN	life
"	''	"
or	CC	or
that	IN	that
it	PP	it
costs	VBZ	cost
a	DT	a
lot	NN	lot
of	IN	of
money	NN	money
