So	RB	so
,	,	,
there	EX	there
'	''	'
s	NN	S
kind	NN	kind
of	IN	of
a	DT	a
third	JJ	third
motivation	NN	motivation
as	IN	as
well	RB	well
.	SENT	.
You	PP	you
see	VBP	see
,	,	,
I	PP	I
have	VBP	have
a	DT	a
passion	NN	passion
for	IN	for
racing	NN	racing
.	SENT	.
In	IN	in
the	DT	the
past	NN	past
,	,	,
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
a	DT	a
race	NN	race
car	NN	car
owner	NN	owner
,	,	,
a	DT	a
crew	NN	crew
chief	NN	chief
and	CC	and
a	DT	a
driving	VBG	drive
coach	NN	coach
,	,	,
although	IN	although
maybe	RB	maybe
not	RB	not
at	IN	at
the	DT	the
level	NN	level
that	IN	that
you	PP	you
'	POS	'
re	NN	re
currently	RB	currently
expecting	VBG	expect
.	SENT	.
One	CD	one
of	IN	of
the	DT	the
things	NNS	thing
that	IN	that
we	PP	we
'	POS	'
ve	NN	ve
developed	VBD	develop
in	IN	in
the	DT	the
lab	NN	lab
—	:	-
we	PP	we
'	POS	'
ve	NN	ve
developed	VBD	develop
several	JJ	several
vehicles	NNS	vehicle
—	:	-
is	VBZ	be
what	WP	what
we	PP	we
believe	VBP	believe
is	VBZ	be
the	DT	the
world	NN	world
'	POS	'
s	NN	S
first	RB	first
autonomously	RB	autonomously
drifting	VBG	drift
car	NN	car
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
another	DT	another
one	CD	one
of	IN	of
those	DT	those
categories	NNS	category
where	WRB	where
maybe	RB	maybe
there	EX	there
'	''	'
s	NNS	<unknown>
not	RB	not
a	DT	a
lot	NN	lot
of	IN	of
competition	NN	competition
.	SENT	.
But	CC	but
this	DT	this
is	VBZ	be
P1	JJ	<unknown>
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
an	DT	an
entirely	RB	entirely
student-built	JJ	<unknown>
electric	JJ	electric
vehicle	NN	vehicle
,	,	,
which	WDT	which
through	IN	through
using	VBG	use
its	PP$	its
rear-wheel	NN	rear-wheel
drive	NN	drive
and	CC	and
front-wheel	NN	front-wheel
steer-by-wire	NN	<unknown>
can	MD	can
drift	VB	drift
around	RP	around
corners	NNS	corner
.	SENT	.
It	PP	it
can	MD	can
get	VB	get
sideways	RB	sideways
like	IN	like
a	DT	a
rally	NN	rally
car	NN	car
driver	NN	driver
,	,	,
always	RB	always
able	JJ	able
to	TO	to
take	VB	take
the	DT	the
tightest	JJS	tight
curve	NN	curve
,	,	,
even	RB	even
on	IN	on
slippery	JJ	slippery
,	,	,
changing	VBG	change
surfaces	NNS	surface
,	,	,
never	RB	never
spinning	VBG	spin
out	RP	out
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
also	RB	also
worked	VBD	work
with	IN	with
Volkswagen	NP	Volkswagen
Oracle	NP	Oracle
,	,	,
on	IN	on
Shelley	NP	Shelley
,	,	,
an	DT	an
autonomous	JJ	autonomous
race	NN	race
car	NN	car
that	WDT	that
has	VBZ	have
raced	VBN	race
at	IN	at
150	CD	@card@
miles	NNS	mile
an	DT	an
hour	NN	hour
through	IN	through
the	DT	the
Bonneville	NP	Bonneville
Salt	NP	Salt
Flats	NNS	flat
,	,	,
gone	VBN	go
around	IN	around
Thunderhill	NP	Thunderhill
Raceway	NN	raceway
Park	NP	Park
in	IN	in
the	DT	the
sun	NN	sun
,	,	,
the	DT	the
wind	NN	wind
and	CC	and
the	DT	the
rain	NN	rain
,	,	,
and	CC	and
navigated	VBD	navigate
the	DT	the
153	CD	@card@
turns	NNS	turn
and	CC	and
12	CD	@card@
.	SENT	.
4	CD	@card@
miles	NNS	mile
of	IN	of
the	DT	the
Pikes	NP	Pikes
Peak	NP	Peak
Hill	NP	Hill
Climb	NN	climb
route	NN	route
in	IN	in
Colorado	NP	Colorado
with	IN	with
nobody	NN	nobody
at	IN	at
the	DT	the
wheel	NN	wheel
.	SENT	.
I	PP	I
guess	VBP	guess
it	PP	it
goes	VBZ	go
without	IN	without
saying	VBG	say
that	IN	that
we	PP	we
'	POS	'
ve	NN	ve
had	VBD	have
a	DT	a
lot	NN	lot
of	IN	of
fun	NN	fun
doing	VBG	do
this	DT	this
.	SENT	.
But	CC	but
in	IN	in
fact	NN	fact
,	,	,
there	EX	there
'	''	'
s	NN	S
something	NN	something
else	RB	else
that	IN	that
we	PP	we
'	POS	'
ve	NN	ve
developed	VBD	develop
in	IN	in
the	DT	the
process	NN	process
of	IN	of
developing	VBG	develop
these	DT	these
autonomous	JJ	autonomous
cars	NNS	car
.	SENT	.
We	PP	we
have	VBP	have
developed	VBN	develop
a	DT	a
tremendous	JJ	tremendous
appreciation	NN	appreciation
for	IN	for
the	DT	the
capabilities	NNS	capability
of	IN	of
human	JJ	human
race	NN	race
car	NN	car
drivers	NNS	driver
.	SENT	.
As	IN	as
we	PP	we
'	POS	'
ve	NN	ve
looked	VBD	look
at	IN	at
the	DT	the
question	NN	question
of	IN	of
how	WRB	how
well	RB	well
do	VB	do
these	DT	these
cars	NNS	car
perform	VBP	perform
,	,	,
we	PP	we
wanted	VBD	want
to	TO	to
compare	VB	compare
them	PP	them
to	TO	to
our	PP$	our
human	JJ	human
counterparts	NNS	counterpart
.	SENT	.
And	CC	and
we	PP	we
discovered	VBD	discover
their	PP$	their
human	JJ	human
counterparts	NNS	counterpart
are	VBP	be
amazing	JJ	amazing
.	SENT	.
Now	RB	now
,	,	,
we	PP	we
can	MD	can
take	VB	take
a	DT	a
map	NN	map
of	IN	of
a	DT	a
race	NN	race
track	NN	track
,	,	,
we	PP	we
can	MD	can
take	VB	take
a	DT	a
mathematical	JJ	mathematical
model	NN	model
of	IN	of
a	DT	a
car	NN	car
,	,	,
and	CC	and
with	IN	with
some	DT	some
iteration	NN	iteration
,	,	,
we	PP	we
can	MD	can
actually	RB	actually
find	VB	find
the	DT	the
fastest	JJS	fast
way	NN	way
around	IN	around
that	DT	that
track	NN	track
.	SENT	.
We	PP	we
line	VBP	line
that	IN	that
up	RB	up
with	IN	with
data	NNS	datum
that	IN	that
we	PP	we
record	VB	record
from	IN	from
a	DT	a
professional	JJ	professional
driver	NN	driver
,	,	,
and	CC	and
the	DT	the
resemblance	NN	resemblance
is	VBZ	be
absolutely	RB	absolutely
remarkable	JJ	remarkable
.	SENT	.
Yes	UH	yes
,	,	,
there	EX	there
are	VBP	be
subtle	JJ	subtle
differences	NNS	difference
here	RB	here
,	,	,
but	CC	but
the	DT	the
human	JJ	human
race	NN	race
car	NN	car
driver	NN	driver
is	VBZ	be
able	JJ	able
to	TO	to
go	VB	go
out	RP	out
and	CC	and
drive	VB	drive
an	DT	an
amazingly	RB	amazingly
fast	JJ	fast
line	NN	line
,	,	,
without	IN	without
the	DT	the
benefit	NN	benefit
of	IN	of
an	DT	an
algorithm	NN	algorithm
that	WDT	that
compares	VBZ	compare
the	DT	the
trade-off	NN	trade-off
between	IN	between
going	VBG	go
as	RB	as
fast	RB	fast
as	RB	as
possible	JJ	possible
in	IN	in
this	DT	this
corner	NN	corner
,	,	,
and	CC	and
shaving	VBG	shave
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
time	NN	time
off	RP	off
of	IN	of
the	DT	the
straight	JJ	straight
over	IN	over
here	RB	here
.	SENT	.
Not	RB	not
only	RB	only
that	IN	that
,	,	,
they	PP	they
'	POS	'
re	NN	re
able	JJ	able
to	TO	to
do	VB	do
it	PP	it
lap	VB	lap
after	IN	after
lap	NN	lap
after	IN	after
lap	NN	lap
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
able	JJ	able
to	TO	to
go	VB	go
out	RP	out
and	CC	and
consistently	RB	consistently
do	VBP	do
this	DT	this
,	,	,
pushing	VBG	push
the	DT	the
car	NN	car
to	TO	to
the	DT	the
limits	VBZ	limit
every	DT	every
single	JJ	single
time	NN	time
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
extraordinary	JJ	extraordinary
to	TO	to
watch	VB	watch
.	SENT	.
You	PP	you
put	VBD	put
them	PP	them
in	IN	in
a	DT	a
new	JJ	new
car	NN	car
,	,	,
and	CC	and
after	IN	after
a	DT	a
few	JJ	few
laps	NNS	lap
,	,	,
they	PP	they
'	POS	'
ve	NN	ve
found	VBD	find
the	DT	the
fastest	JJS	fast
line	NN	line
in	IN	in
that	DT	that
car	NN	car
,	,	,
and	CC	and
they	PP	they
'	POS	'
re	NN	re
off	RB	off
to	TO	to
the	DT	the
races	NNS	race
.	SENT	.
It	PP	it
really	RB	really
makes	VBZ	make
you	PP	you
think	VBP	think
,	,	,
we	PP	we
'	POS	'
d	NN	d
love	NN	love
to	TO	to
know	VB	know
what	WP	what
'	POS	'
s	NNS	<unknown>
going	VBG	go
on	IN	on
inside	IN	inside
their	PP$	their
brain	NN	brain
.	SENT	.
So	RB	so
as	IN	as
researchers	NNS	researcher
,	,	,
that	WDT	that
'	POS	'
s	VBG	<unknown>
what	WP	what
we	PP	we
decided	VBD	decide
to	TO	to
find	VB	find
out	RP	out
.	SENT	.
We	PP	we
decided	VBD	decide
to	TO	to
instrument	NN	instrument
not	RB	not
only	RB	only
the	DT	the
car	NN	car
,	,	,
but	CC	but
also	RB	also
the	DT	the
race	NN	race
car	NN	car
driver	NN	driver
,	,	,
to	TO	to
try	VB	try
to	TO	to
get	VB	get
a	DT	a
glimpse	NN	glimpse
into	IN	into
what	WP	what
was	VBD	be
going	VBG	go
on	IN	on
in	IN	in
their	PP$	their
head	NN	head
as	IN	as
they	PP	they
were	VBD	be
doing	VBG	do
this	DT	this
.	SENT	.
Now	RB	now
,	,	,
this	DT	this
is	VBZ	be
Dr	NN	Dr
.	SENT	.
Lene	NP	Lene
Harbott	NP	<unknown>
applying	VBG	apply
electrodes	NNS	electrode
to	TO	to
the	DT	the
head	NN	head
of	IN	of
John	NP	John
Morton	NP	Morton
.	SENT	.
John	NP	John
Morton	NP	Morton
is	VBZ	be
a	DT	a
former	JJ	former
Can-Am	NP	<unknown>
and	CC	and
IMSA	NP	<unknown>
driver	NN	driver
,	,	,
who	WP	who
'	POS	'
s	NN	S
also	RB	also
a	DT	a
class	NN	class
champion	NN	champion
at	IN	at
Le	NP	Le
Mans	NP	Mans
.	SENT	.
Fantastic	JJ	fantastic
driver	NN	driver
,	,	,
and	CC	and
very	RB	very
willing	JJ	willing
to	TO	to
put	VB	put
up	RP	up
with	IN	with
graduate	JJ	graduate
students	NNS	student
and	CC	and
this	DT	this
sort	NN	sort
of	IN	of
research	NN	research
.	SENT	.
She	NN	she
'	POS	'
s	NNS	<unknown>
putting	VBG	put
electrodes	NNS	electrode
on	IN	on
his	PP$	his
head	NN	head
so	RB	so
that	IN	that
we	PP	we
can	MD	can
monitor	VB	monitor
the	DT	the
electrical	JJ	electrical
activity	NN	activity
in	IN	in
John	NP	John
'	POS	'
s	JJ	<unknown>
brain	NN	brain
as	IN	as
he	PP	he
races	VBZ	race
around	IN	around
the	DT	the
track	NN	track
.	SENT	.
Now	RB	now
,	,	,
clearly	RB	clearly
we	PP	we
'	POS	'
re	NN	re
not	RB	not
going	VBG	go
to	TO	to
put	VB	put
a	DT	a
couple	NN	couple
of	IN	of
electrodes	NNS	electrode
on	IN	on
his	PP$	his
head	NN	head
and	CC	and
understand	VB	understand
exactly	RB	exactly
what	WP	what
all	DT	all
of	IN	of
his	PP$	his
thoughts	NNS	thought
are	VBP	be
on	IN	on
the	DT	the
track	NN	track
.	SENT	.
However	RB	however
,	,	,
neuroscientists	NNS	neuroscientist
have	VBP	have
identified	VBN	identify
certain	JJ	certain
patterns	NNS	pattern
that	WDT	that
let	VBP	let
us	PP	us
tease	VB	tease
out	RP	out
some	DT	some
very	RB	very
important	JJ	important
aspects	NNS	aspect
of	IN	of
this	DT	this
.	SENT	.
For	IN	for
instance	NN	instance
,	,	,
the	DT	the
resting	JJ	resting
brain	NN	brain
tends	VBZ	tend
to	TO	to
generate	VB	generate
a	DT	a
lot	NN	lot
of	IN	of
alpha	NN	alpha
waves	NNS	wave
.	SENT	.
In	IN	in
contrast	NN	contrast
,	,	,
theta	NN	theta
waves	NNS	wave
are	VBP	be
associated	VBN	associate
with	IN	with
a	DT	a
lot	NN	lot
of	IN	of
cognitive	JJ	cognitive
activity	NN	activity
,	,	,
like	IN	like
visual	JJ	visual
processing	NN	processing
,	,	,
things	NNS	thing
where	WRB	where
the	DT	the
driver	NN	driver
is	VBZ	be
thinking	VBG	think
quite	PDT	quite
a	DT	a
bit	NN	bit
.	SENT	.
Now	RB	now
,	,	,
we	PP	we
can	MD	can
measure	VB	measure
this	DT	this
,	,	,
and	CC	and
we	PP	we
can	MD	can
look	VB	look
at	IN	at
the	DT	the
relative	JJ	relative
power	NN	power
between	IN	between
the	DT	the
theta	NN	theta
waves	NNS	wave
and	CC	and
the	DT	the
alpha	NN	alpha
waves	NNS	wave
.	SENT	.
This	DT	this
gives	VBZ	give
us	PP	us
a	DT	a
measure	NN	measure
of	IN	of
mental	JJ	mental
workload	NN	workload
,	,	,
how	WRB	how
much	JJ	much
the	DT	the
driver	NN	driver
is	VBZ	be
actually	RB	actually
challenged	VBN	challenge
cognitively	RB	<unknown>
at	IN	at
any	DT	any
point	NN	point
along	IN	along
the	DT	the
track	NN	track
.	SENT	.
Now	RB	now
,	,	,
we	PP	we
wanted	VBD	want
to	TO	to
see	VB	see
if	IN	if
we	PP	we
could	MD	could
actually	RB	actually
record	VB	record
this	DT	this
on	IN	on
the	DT	the
track	NN	track
,	,	,
so	RB	so
we	PP	we
headed	VBD	head
down	RB	down
south	RB	south
to	TO	to
Laguna	NP	Laguna
Seca	NP	<unknown>
.	SENT	.
Laguna	NP	Laguna
Seca	NP	<unknown>
is	VBZ	be
a	DT	a
legendary	JJ	legendary
raceway	NN	raceway
about	RB	about
halfway	RB	halfway
between	IN	between
Salinas	NP	Salinas
and	CC	and
Monterey	NP	Monterey
.	SENT	.
It	PP	it
has	VBZ	have
a	DT	a
curve	NN	curve
there	RB	there
called	VBD	call
the	DT	the
Corkscrew	NN	corkscrew
.	SENT	.
Now	RB	now
,	,	,
the	DT	the
Corkscrew	NN	corkscrew
is	VBZ	be
a	DT	a
chicane	NN	chicane
,	,	,
followed	VBN	follow
by	IN	by
a	DT	a
quick	JJ	quick
right-handed	JJ	right-handed
turn	NN	turn
as	IN	as
the	DT	the
road	NN	road
drops	VBZ	drop
three	CD	three
stories	NNS	story
.	SENT	.
Now	RB	now
,	,	,
the	DT	the
strategy	NN	strategy
for	IN	for
driving	VBG	drive
this	DT	this
as	RB	as
explained	VBN	explain
to	TO	to
me	PP	me
was	VBD	be
,	,	,
you	PP	you
aim	VBP	aim
for	IN	for
the	DT	the
bush	NN	bush
in	IN	in
the	DT	the
distance	NN	distance
,	,	,
and	CC	and
as	IN	as
the	DT	the
road	NN	road
falls	VBZ	fall
away	RB	away
,	,	,
you	PP	you
realize	VBP	realize
it	PP	it
was	VBD	be
actually	RB	actually
the	DT	the
top	NN	top
of	IN	of
a	DT	a
tree	NN	tree
.	SENT	.
All	DT	all
right	NN	right
,	,	,
so	RB	so
thanks	NNS	thanks
to	TO	to
the	DT	the
Revs	NNS	rev
Program	NN	program
at	IN	at
Stanford	NP	Stanford
,	,	,
we	PP	we
were	VBD	be
able	JJ	able
to	TO	to
take	VB	take
John	NP	John
there	RB	there
and	CC	and
put	VB	put
him	PP	him
behind	IN	behind
the	DT	the
wheel	NN	wheel
of	IN	of
a	DT	a
1960	CD	@card@
Porsche	NP	Porsche
Abarth	NP	Abarth
Carrera	NP	Carrera
.	SENT	.
Life	NP	Life
is	VBZ	be
way	RB	way
too	RB	too
short	JJ	short
for	IN	for
boring	JJ	boring
cars	NNS	car
.	SENT	.
So	RB	so
,	,	,
here	RB	here
you	PP	you
see	VBP	see
John	NP	John
on	IN	on
the	DT	the
track	NN	track
,	,	,
he	PP	he
'	POS	'
s	NNS	<unknown>
going	VBG	go
up	RP	up
the	DT	the
hill	NN	hill
—	:	-
Oh	UH	oh
!	SENT	!
Somebody	NN	somebody
liked	VBD	like
that	DT	that
—	:	-
and	CC	and
you	PP	you
can	MD	can
see	VB	see
,	,	,
actually	RB	actually
,	,	,
his	PP$	his
mental	JJ	mental
workload	NN	workload
—	:	-
measuring	VBG	measure
here	RB	here
in	IN	in
the	DT	the
red	JJ	red
bar	NN	bar
—	:	-
you	PP	you
can	MD	can
see	VB	see
his	PP$	his
actions	NNS	action
as	IN	as
he	PP	he
approaches	VBZ	approach
.	SENT	.
Now	RB	now
watch	VB	watch
,	,	,
he	PP	he
has	VBZ	have
to	TO	to
downshift	NN	downshift
.	SENT	.
And	CC	and
then	RB	then
he	PP	he
has	VBZ	have
to	TO	to
turn	VB	turn
left	VBN	leave
.	SENT	.
Look	VB	look
for	IN	for
the	DT	the
tree	NN	tree
,	,	,
and	CC	and
down	RB	down
.	SENT	.
Not	RB	not
surprisingly	RB	surprisingly
,	,	,
you	PP	you
can	MD	can
see	VB	see
this	DT	this
is	VBZ	be
a	DT	a
pretty	RB	pretty
challenging	JJ	challenging
task	NN	task
.	SENT	.
You	PP	you
can	MD	can
see	VB	see
his	PP$	his
mental	JJ	mental
workload	NN	workload
spike	NN	spike
as	IN	as
he	PP	he
goes	VBZ	go
through	IN	through
this	DT	this
,	,	,
as	IN	as
you	PP	you
would	MD	would
expect	VB	expect
with	IN	with
something	NN	something
that	WDT	that
requires	VBZ	require
this	DT	this
level	NN	level
of	IN	of
complexity	NN	complexity
.	SENT	.
But	CC	but
what	WP	what
'	POS	'
s	NN	S
really	RB	really
interesting	JJ	interesting
is	VBZ	be
to	TO	to
look	VB	look
at	IN	at
areas	NNS	area
of	IN	of
the	DT	the
track	NN	track
where	WRB	where
his	PP$	his
mental	JJ	mental
workload	NN	workload
doesn	NN	<unknown>
'	POS	'
t	NN	t
increase	NN	increase
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
take	VB	take
you	PP	you
around	RP	around
now	RB	now
to	TO	to
the	DT	the
other	JJ	other
side	NN	side
of	IN	of
the	DT	the
track	NN	track
.	SENT	.
Turn	RB	turn
three	CD	three
.	SENT	.
And	CC	and
John	NP	John
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
go	VB	go
into	IN	into
that	DT	that
corner	NN	corner
and	CC	and
the	DT	the
rear	JJ	rear
end	NN	end
of	IN	of
the	DT	the
car	NN	car
is	VBZ	be
going	VBG	go
to	TO	to
begin	VB	begin
to	TO	to
slide	VB	slide
out	RP	out
.	SENT	.
He	PP	he
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
have	VB	have
to	TO	to
correct	VB	correct
for	IN	for
that	IN	that
with	IN	with
steering	NN	steering
.	SENT	.
So	IN	so
watch	NN	watch
as	IN	as
John	NP	John
does	VBZ	do
this	DT	this
here	RB	here
.	SENT	.
Watch	VB	watch
the	DT	the
mental	JJ	mental
workload	NN	workload
,	,	,
and	CC	and
watch	VB	watch
the	DT	the
steering	NN	steering
.	SENT	.
The	DT	the
car	NN	car
begins	VBZ	begin
to	TO	to
slide	VB	slide
out	RP	out
,	,	,
dramatic	JJ	dramatic
maneuver	NN	maneuver
to	TO	to
