Who	WP	who
years	NNS	year
ago	RB	ago
at	IN	at
Lake	NP	Lake
Turkana	NP	<unknown>
,	,	,
Homo	NN	homo
erectus	NN	erectus
,	,	,
one	CD	one
of	IN	of
our	PP$	our
human	JJ	human
ancestors	NNS	ancestor
,	,	,
actually	RB	actually
lived	VBN	live
in	IN	in
this	DT	this
region	NN	region
.	SENT	.
You	PP	you
can	MD	can
see	VB	see
some	DT	some
of	IN	of
the	DT	the
major	JJ	major
fossil	JJ	fossil
sites	NNS	site
that	IN	that
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
working	VBG	work
in	IN	in
the	DT	the
north	NN	north
.	SENT	.
But	CC	but
,	,	,
essentially	RB	essentially
,	,	,
two	CD	two
million	CD	million
years	NNS	year
ago	RB	ago
,	,	,
Homo	NN	homo
erectus	NN	erectus
,	,	,
up	RB	up
in	IN	in
the	DT	the
far	RB	far
right	JJ	right
corner	NN	corner
,	,	,
lived	VBN	live
alongside	IN	alongside
three	CD	three
other	JJ	other
species	NNS	specie
of	IN	of
human	JJ	human
ancestor	NN	ancestor
.	SENT	.
And	CC	and
here	RB	here
is	VBZ	be
a	DT	a
skull	NN	skull
of	IN	of
a	DT	a
Homo	NN	homo
erectus	NN	erectus
,	,	,
which	WDT	which
I	PP	I
just	RB	just
pulled	VBD	pull
off	RP	off
the	DT	the
shelf	NN	shelf
there	RB	there
.	SENT	.
But	CC	but
it	PP	it
is	VBZ	be
not	RB	not
to	TO	to
say	VB	say
that	DT	that
being	NN	being
a	DT	a
single	JJ	single
species	NN	species
on	IN	on
planet	NN	planet
Earth	NN	earth
is	VBZ	be
the	DT	the
norm	NN	norm
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
if	IN	if
you	PP	you
go	VBP	go
back	RB	back
in	IN	in
time	NN	time
,	,	,
it	PP	it
is	VBZ	be
the	DT	the
norm	NN	norm
that	IN	that
there	EX	there
are	VBP	be
multiple	JJ	multiple
species	NNS	specie
of	IN	of
hominids	NNS	hominid
or	CC	or
of	IN	of
human	JJ	human
ancestors	NNS	ancestor
that	WDT	that
coexist	VBP	coexist
at	IN	at
any	DT	any
one	CD	one
time	NN	time
.	SENT	.
Where	WRB	where
did	VBD	do
these	DT	these
things	NNS	thing
come	VBP	come
from	IN	from
?	SENT	?
That	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
we	PP	we
'	POS	'
re	NN	re
still	RB	still
trying	VBG	try
to	TO	to
find	VB	find
answers	NNS	answer
to	TO	to
,	,	,
and	CC	and
it	PP	it
is	VBZ	be
important	JJ	important
to	TO	to
realize	VB	realize
that	IN	that
there	EX	there
is	VBZ	be
diversity	NN	diversity
in	IN	in
all	DT	all
different	JJ	different
species	NN	species
,	,	,
and	CC	and
our	PP$	our
ancestors	NNS	ancestor
are	VBP	be
no	DT	no
exception	NN	exception
.	SENT	.
Here	RB	here
'	''	'
s	VBG	<unknown>
some	DT	some
reconstructions	NNS	reconstruction
of	IN	of
some	DT	some
of	IN	of
the	DT	the
fossils	NNS	fossil
that	WDT	that
have	VBP	have
been	VBN	be
found	VBN	find
from	IN	from
Lake	NP	Lake
Turkana	NP	<unknown>
.	SENT	.
But	CC	but
I	PP	I
was	VBD	be
very	RB	very
lucky	JJ	lucky
to	TO	to
have	VB	have
been	VBN	be
brought	VBN	bring
up	RP	up
in	IN	in
Kenya	NP	Kenya
,	,	,
essentially	RB	essentially
accompanying	VBG	accompany
my	PP$	my
parents	NNS	parent
to	TO	to
Lake	NP	Lake
Turkana	NP	<unknown>
in	IN	in
search	NN	search
of	IN	of
human	JJ	human
remains	NNS	remains
.	SENT	.
And	CC	and
we	PP	we
were	VBD	be
able	JJ	able
to	TO	to
dig	VB	dig
up	RP	up
,	,	,
when	WRB	when
we	PP	we
got	VBD	get
old	JJ	old
enough	NN	enough
,	,	,
fossils	NNS	fossil
such	JJ	such
as	IN	as
this	DT	this
,	,	,
a	DT	a
slender-snouted	JJ	slender-snouted
crocodile	NN	crocodile
.	SENT	.
And	CC	and
we	PP	we
dug	VBD	dig
up	RP	up
giant	JJ	giant
tortoises	NNS	tortoise
,	,	,
and	CC	and
elephants	NNS	elephant
and	CC	and
things	NNS	thing
like	IN	like
that	DT	that
.	SENT	.
But	CC	but
when	WRB	when
I	PP	I
was	VBD	be
12	CD	@card@
,	,	,
as	IN	as
I	PP	I
was	VBD	be
in	IN	in
this	DT	this
picture	NN	picture
,	,	,
a	DT	a
very	RB	very
exciting	JJ	exciting
expedition	NN	expedition
was	VBD	be
in	IN	in
place	NN	place
on	IN	on
the	DT	the
west	JJ	west
side	NN	side
,	,	,
when	WRB	when
they	PP	they
found	VBD	find
essentially	RB	essentially
the	DT	the
skeleton	NN	skeleton
of	IN	of
this	DT	this
Homo	NN	homo
erectus	NN	erectus
.	SENT	.
I	PP	I
could	MD	could
relate	VB	relate
to	TO	to
this	DT	this
Homo	NN	homo
erectus	NN	erectus
skeleton	NN	skeleton
very	RB	very
well	RB	well
,	,	,
because	IN	because
I	PP	I
was	VBD	be
the	DT	the
same	JJ	same
age	NN	age
that	IN	that
he	PP	he
was	VBD	be
when	WRB	when
he	PP	he
died	VBD	die
.	SENT	.
And	CC	and
I	PP	I
imagined	VBD	imagine
him	PP	him
to	TO	to
be	VB	be
tall	JJ	tall
,	,	,
dark-skinned	JJ	dark-skinned
.	SENT	.
His	PP$	his
brothers	NNS	brother
certainly	RB	certainly
were	VBD	be
able	JJ	able
to	TO	to
run	VB	run
long	JJ	long
distances	NNS	distance
chasing	VBG	chase
prey	NN	prey
,	,	,
probably	RB	probably
sweating	VBG	sweat
heavily	RB	heavily
as	IN	as
they	PP	they
did	VBD	do
so	RB	so
.	SENT	.
He	PP	he
was	VBD	be
very	RB	very
able	JJ	able
to	TO	to
use	VB	use
stones	NNS	stone
effectively	RB	effectively
as	IN	as
tools	NNS	tool
.	SENT	.
And	CC	and
this	DT	this
individual	NN	individual
himself	PP	himself
,	,	,
this	DT	this
one	CD	one
that	IN	that
I	NP	I
'	POS	'
m	NN	m
holding	NN	holding
up	RB	up
here	RB	here
,	,	,
actually	RB	actually
had	VBD	have
a	DT	a
bad	JJ	bad
back	NN	back
.	SENT	.
He	PP	he
'	POS	'
d	NN	d
probably	RB	probably
had	VBD	have
an	DT	an
injury	NN	injury
as	IN	as
a	DT	a
child	NN	child
.	SENT	.
He	PP	he
had	VBD	have
a	DT	a
scoliosis	NN	scoliosis
and	CC	and
therefore	RB	therefore
must	MD	must
have	VB	have
been	VBN	be
looked	VBN	look
after	IN	after
quite	RB	quite
carefully	RB	carefully
by	IN	by
other	JJ	other
female	NN	female
,	,	,
and	CC	and
probably	RB	probably
much	RB	much
smaller	JJR	small
,	,	,
members	NNS	member
of	IN	of
his	PP$	his
family	NN	family
group	NN	group
,	,	,
to	TO	to
have	VB	have
got	VBN	get
to	TO	to
where	WRB	where
he	PP	he
did	VBD	do
in	IN	in
life	NN	life
,	,	,
age	NN	age
12	CD	@card@
.	SENT	.
Unfortunately	RB	unfortunately
for	IN	for
him	PP	him
,	,	,
he	PP	he
fell	VBD	fall
into	IN	into
a	DT	a
swamp	NN	swamp
and	CC	and
couldn	NN	<unknown>
'	POS	'
t	NN	t
get	VB	get
out	RP	out
.	SENT	.
Essentially	RB	essentially
,	,	,
his	PP$	his
bones	NNS	bone
were	VBD	be
rapidly	RB	rapidly
buried	VBN	bury
and	CC	and
beautifully	RB	beautifully
preserved	VBN	preserve
.	SENT	.
And	CC	and
he	PP	he
remained	VBD	remain
there	RB	there
until	IN	until
1	CD	@card@
.	SENT	.
6	CD	@card@
million	CD	million
years	NNS	year
later	RBR	later
,	,	,
when	WRB	when
this	DT	this
very	RB	very
famous	JJ	famous
fossil	JJ	fossil
hunter	NN	hunter
,	,	,
Kamoya	NP	<unknown>
Kimeu	NP	<unknown>
,	,	,
walked	VBD	walk
along	IN	along
a	DT	a
small	JJ	small
hillside	NN	hillside
and	CC	and
found	VBD	find
that	IN	that
small	JJ	small
piece	NN	piece
of	IN	of
his	PP$	his
skull	NN	skull
lying	VBG	lie
on	IN	on
the	DT	the
surface	NN	surface
amongst	IN	amongst
the	DT	the
pebbles	NNS	pebble
,	,	,
recognized	VBD	recognize
it	PP	it
as	IN	as
being	VBG	be
hominid	JJ	hominid
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
actually	RB	actually
this	DT	this
little	JJ	little
piece	NN	piece
up	RB	up
here	RB	here
on	IN	on
the	DT	the
top	NN	top
.	SENT	.
Well	RB	well
,	,	,
an	DT	an
excavation	NN	excavation
was	VBD	be
begun	VBN	begin
immediately	RB	immediately
,	,	,
and	CC	and
more	RBR	more
and	CC	and
more	RBR	more
little	JJ	little
bits	NNS	bit
of	IN	of
skull	NN	skull
started	VBD	start
to	TO	to
be	VB	be
extracted	VBN	extract
from	IN	from
the	DT	the
sediment	NN	sediment
.	SENT	.
And	CC	and
what	WP	what
was	VBD	be
so	RB	so
fun	NN	fun
about	IN	about
it	PP	it
was	VBD	be
this	DT	this
:	:	:
the	DT	the
skull	NN	skull
pieces	NNS	piece
got	VBD	get
closer	JJR	close
and	CC	and
closer	JJR	close
to	TO	to
the	DT	the
roots	NNS	root
of	IN	of
the	DT	the
tree	NN	tree
,	,	,
and	CC	and
fairly	RB	fairly
recently	RB	recently
the	DT	the
tree	NN	tree
had	VBD	have
grown	VBN	grow
up	RP	up
,	,	,
but	CC	but
it	PP	it
had	VBD	have
found	VBN	find
that	IN	that
the	DT	the
skull	NN	skull
had	VBD	have
captured	VBN	capture
nice	JJ	nice
water	NN	water
in	IN	in
the	DT	the
hillside	NN	hillside
,	,	,
and	CC	and
so	RB	so
it	PP	it
had	VBD	have
decided	VBN	decide
to	TO	to
grow	VB	grow
its	PP$	its
roots	NNS	root
in	IN	in
and	CC	and
around	IN	around
this	DT	this
,	,	,
holding	VBG	hold
it	PP	it
in	IN	in
place	NN	place
and	CC	and
preventing	VBG	prevent
it	PP	it
from	IN	from
washing	VBG	wash
away	RB	away
down	RB	down
the	DT	the
slope	NN	slope
.	SENT	.
We	PP	we
began	VBD	begin
to	TO	to
find	VB	find
limb	NN	limb
bones	NNS	bone
;	:	;
we	PP	we
found	VBD	find
finger	NN	finger
bones	NNS	bone
,	,	,
