Cultural	JJ	cultural
of	IN	of
the	DT	the
design	NN	design
that	IN	that
we	PP	we
think	VBP	think
of	IN	of
as	IN	as
human	JJ	human
design	NN	design
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
all	RB	all
just	RB	just
the	DT	the
same	JJ	same
thing	NN	thing
happening	NN	happening
.	SENT	.
What	WP	what
did	VBD	do
Darwin	NP	Darwin
say	VBP	say
?	SENT	?
I	PP	I
know	VBP	know
you	PP	you
know	VBP	know
the	DT	the
idea	NN	idea
,	,	,
natural	JJ	natural
selection	NN	selection
,	,	,
but	CC	but
let	VB	let
me	PP	me
just	RB	just
paraphrase	VBP	paraphrase
"	``	"
The	DT	the
Origin	NN	origin
of	IN	of
Species	NP	Species
,	,	,
"	''	"
1859	CD	@card@
,	,	,
in	IN	in
a	DT	a
few	JJ	few
sentences	NNS	sentence
.	SENT	.
What	WP	what
Darwin	NP	Darwin
said	VBD	say
was	VBD	be
something	NN	something
like	IN	like
this	DT	this
:	:	:
if	IN	if
you	PP	you
have	VBP	have
creatures	NNS	creature
that	WDT	that
vary	VBP	vary
,	,	,
and	CC	and
that	WDT	that
can	MD	can
'	''	'
t	NN	t
be	VB	be
doubted	VBN	doubt
—	:	-
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
to	TO	to
the	DT	the
Galapagos	NP	Galapagos
,	,	,
and	CC	and
I	PP	I
'	POS	'
ve	NN	ve
measured	VBD	measure
the	DT	the
size	NN	size
of	IN	of
the	DT	the
beaks	NNS	beak
and	CC	and
the	DT	the
size	NN	size
of	IN	of
the	DT	the
turtle	NN	turtle
shells	NNS	shell
and	CC	and
so	RB	so
on	IN	on
,	,	,
and	CC	and
so	RB	so
on	IN	on
.	SENT	.
And	CC	and
100	CD	@card@
pages	NNS	page
later	RBR	later
.	SENT	.
And	CC	and
if	IN	if
there	EX	there
is	VBZ	be
a	DT	a
struggle	NN	struggle
for	IN	for
life	NN	life
,	,	,
such	JJ	such
that	IN	that
nearly	RB	nearly
all	RB	all
of	IN	of
these	DT	these
creatures	NNS	creature
die	VBP	die
—	:	-
and	CC	and
this	DT	this
can	MD	can
'	''	'
t	NN	t
be	VB	be
doubted	VBN	doubt
,	,	,
I	PP	I
'	POS	'
ve	NNS	<unknown>
read	VBP	read
Malthus	NP	<unknown>
and	CC	and
I	NP	I
'	POS	'
ve	NN	ve
calculated	VBN	calculate
how	WRB	how
long	JJ	long
it	PP	it
would	MD	would
take	VB	take
for	IN	for
elephants	NNS	elephant
to	TO	to
cover	VB	cover
the	DT	the
whole	JJ	whole
world	NN	world
if	IN	if
they	PP	they
bred	VBD	breed
unrestricted	JJ	unrestricted
,	,	,
and	CC	and
so	RB	so
on	RB	on
and	CC	and
so	RB	so
on	IN	on
.	SENT	.
And	CC	and
another	DT	another
100	CD	@card@
pages	NNS	page
later	RBR	later
.	SENT	.
And	CC	and
if	IN	if
the	DT	the
very	RB	very
few	JJ	few
that	WDT	that
survive	VBP	survive
pass	VB	pass
onto	IN	onto
their	PP$	their
offspring	NNS	offspring
whatever	WDT	whatever
it	PP	it
was	VBD	be
that	IN	that
helped	VBN	help
them	PP	them
survive	VBP	survive
,	,	,
then	RB	then
those	DT	those
offspring	NN	offspring
must	MD	must
be	VB	be
better	RBR	well
adapted	VBN	adapt
to	TO	to
the	DT	the
circumstances	NNS	circumstance
in	IN	in
which	WDT	which
all	DT	all
this	NN	this
happened	VBD	happen
than	IN	than
their	PP$	their
parents	NNS	parent
were	VBD	be
.	SENT	.
You	PP	you
see	VBP	see
the	DT	the
idea	NN	idea
?	SENT	?
If	IN	if
,	,	,
if	IN	if
,	,	,
if	IN	if
,	,	,
then	RB	then
.	SENT	.
He	PP	he
had	VBD	have
no	DT	no
concept	NN	concept
of	IN	of
the	DT	the
idea	NN	idea
of	IN	of
an	DT	an
algorithm	NN	algorithm
,	,	,
but	CC	but
that	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
he	PP	he
described	VBD	describe
in	IN	in
that	DT	that
book	NN	book
,	,	,
and	CC	and
this	DT	this
is	VBZ	be
what	WP	what
we	PP	we
now	RB	now
know	VBP	know
as	IN	as
the	DT	the
evolutionary	JJ	evolutionary
algorithm	NN	algorithm
.	SENT	.
The	DT	the
principle	NN	principle
is	VBZ	be
you	PP	you
just	RB	just
need	VBP	need
those	DT	those
three	CD	three
things	NNS	thing
—	:	-
variation	NN	variation
,	,	,
selection	NN	selection
and	CC	and
heredity	NN	heredity
.	SENT	.
And	CC	and
as	IN	as
Dan	NP	Dan
Dennett	NP	Dennett
puts	VBZ	put
it	PP	it
,	,	,
if	IN	if
you	PP	you
have	VBP	have
those	DT	those
,	,	,
then	RB	then
you	PP	you
must	MD	must
get	VB	get
evolution	NN	evolution
.	SENT	.
Or	CC	or
design	VB	design
out	RP	out
of	IN	of
chaos	NN	chaos
,	,	,
without	IN	without
the	DT	the
aid	NN	aid
of	IN	of
mind	NN	mind
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
one	CD	one
word	NN	word
I	PP	I
love	VBP	love
on	IN	on
that	DT	that
slide	NN	slide
.	SENT	.
What	WP	what
do	VBP	do
you	PP	you
think	VBP	think
my	PP$	my
favorite	JJ	favorite
word	NN	word
is	VBZ	be
?	SENT	?
Audience	NN	audience
:	:	:
Chaos	NN	chaos
.	SENT	.
SB	NP	SB
:	:	:
Chaos	NN	chaos
?	SENT	?
No	UH	no
.	SENT	.
What	WP	what
?	SENT	?
Mind	NN	mind
?	SENT	?
No	UH	no
.	SENT	.
Audience	NN	audience
:	:	:
Without	IN	without
.	SENT	.
SB	NP	SB
:	:	:
No	UH	no
,	,	,
not	RB	not
without	IN	without
.	SENT	.
You	PP	you
try	VBP	try
them	PP	them
all	RB	all
in	IN	in
order	NN	order
:	:	:
Mmm	NP	Mmm
.	SENT	.
.	SENT	.
.	SENT	.
?	SENT	?
Audience	NN	audience
:	:	:
Must	MD	must
.	SENT	.
SB	NP	SB
:	:	:
Must	MD	must
,	,	,
at	IN	at
must	NN	must
.	SENT	.
Must	MD	must
,	,	,
must	MD	must
.	SENT	.
This	DT	this
is	VBZ	be
what	WP	what
makes	VBZ	make
it	PP	it
so	RB	so
amazing	JJ	amazing
.	SENT	.
You	PP	you
don	VBP	don
'	''	'
t	NN	t
need	VBP	need
a	DT	a
designer	NN	designer
,	,	,
or	CC	or
a	DT	a
plan	NN	plan
,	,	,
or	CC	or
foresight	NN	foresight
,	,	,
or	CC	or
anything	NN	anything
else	RB	else
.	SENT	.
If	IN	if
there	EX	there
'	''	'
s	NN	S
something	NN	something
that	WDT	that
is	VBZ	be
copied	VBN	copy
with	IN	with
variation	NN	variation
and	CC	and
it	PP	it
'	POS	'
s	NN	S
selected	VBD	select
,	,	,
then	RB	then
you	PP	you
must	MD	must
get	VB	get
design	NN	design
appearing	VBG	appear
out	RP	out
of	IN	of
nowhere	RB	nowhere
.	SENT	.
You	PP	you
can	MD	can
'	''	'
t	NN	t
stop	VB	stop
it	PP	it
.	SENT	.
Must	MD	must
is	VBZ	be
my	PP$	my
favorite	JJ	favorite
word	NN	word
there	RB	there
.	SENT	.
Now	RB	now
,	,	,
what	WP	what
'	POS	'
s	JJ	<unknown>
this	NN	this
to	TO	to
do	VB	do
with	IN	with
memes	NNS	<unknown>
?	SENT	?
Well	RB	well
,	,	,
the	DT	the
principle	NN	principle
here	RB	here
applies	VBZ	apply
to	TO	to
anything	NN	anything
that	WDT	that
is	VBZ	be
copied	VBN	copy
with	IN	with
variation	NN	variation
and	CC	and
selection	NN	selection
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
so	RB	so
used	VBN	use
to	TO	to
thinking	VBG	think
in	IN	in
terms	NNS	term
of	IN	of
biology	NN	biology
,	,	,
we	PP	we
think	VBP	think
about	IN	about
genes	NNS	gene
this	DT	this
way	NN	way
.	SENT	.
Darwin	NP	Darwin
didn	NP	<unknown>
'	POS	'
t	NN	t
,	,	,
of	IN	of
course	NN	course
;	:	;
he	PP	he
didn	NNS	<unknown>
'	POS	'
t	NN	t
know	VBP	know
about	IN	about
genes	NNS	gene
.	SENT	.
He	PP	he
talked	VBD	talk
mostly	RB	mostly
about	IN	about
animals	NNS	animal
and	CC	and
plants	NNS	plant
,	,	,
but	CC	but
also	RB	also
about	IN	about
languages	NNS	language
evolving	VBG	evolve
and	CC	and
becoming	VBG	become
extinct	JJ	extinct
.	SENT	.
But	CC	but
the	DT	the
principle	NN	principle
of	IN	of
Universal	NP	Universal
Darwinism	NP	Darwinism
is	VBZ	be
that	IN	that
any	DT	any
information	NN	information
that	WDT	that
is	VBZ	be
varied	VBN	vary
and	CC	and
selected	VBN	select
will	MD	will
produce	VB	produce
design	NN	design
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
what	WP	what
Richard	NP	Richard
Dawkins	NP	Dawkins
was	VBD	be
on	RB	on
about	RB	about
in	IN	in
his	PP$	his
1976	CD	@card@
bestseller	NN	bestseller
,	,	,
"	''	"
The	DT	the
Selfish	JJ	selfish
Gene	NP	Gene
.	SENT	.
"	``	"
The	DT	the
information	NN	information
that	WDT	that
is	VBZ	be
copied	VBN	copy
,	,	,
he	PP	he
called	VBD	call
the	DT	the
replicator	NN	<unknown>
.	SENT	.
It	PP	it
selfishly	RB	selfishly
copies	VBZ	copy
.	SENT	.
Not	RB	not
meaning	VBG	mean
it	PP	it
kind	NN	kind
of	IN	of
sits	VBZ	sit
around	RP	around
inside	IN	inside
cells	NNS	cell
going	VBG	go
,	,	,
"	``	"
I	PP	I
want	VBP	want
to	TO	to
get	VB	get
copied	VBN	copy
.	SENT	.
"	''	"
But	CC	but
that	IN	that
it	PP	it
will	MD	will
get	VB	get
copied	VBN	copy
if	IN	if
it	PP	it
can	MD	can
,	,	,
regardless	RB	regardless
of	IN	of
the	DT	the
consequences	NNS	consequence
.	SENT	.
It	PP	it
doesn	NP	<unknown>
'	POS	'
t	NN	t
care	NN	care
about	IN	about
the	DT	the
consequences	NNS	consequence
because	IN	because
it	PP	it
can	MD	can
'	''	'
t	NN	t
,	,	,
because	IN	because
it	PP	it
'	POS	'
s	JJ	<unknown>
just	JJ	just
information	NN	information
being	VBG	be
copied	VBN	copy
.	SENT	.
And	CC	and
he	PP	he
wanted	VBD	want
to	TO	to
get	VB	get
away	RB	away
from	IN	from
everybody	NN	everybody
thinking	VBG	think
all	PDT	all
the	DT	the
time	NN	time
about	IN	about
genes	NNS	gene
,	,	,
and	CC	and
so	RB	so
he	PP	he
said	VBD	say
,	,	,
"	``	"
Is	VBZ	be
there	RB	there
another	DT	another
replicator	NN	<unknown>
out	RB	out
there	RB	there
on	IN	on
the	DT	the
planet	NN	planet
?	SENT	?
"	``	"
Ah	UH	ah
,	,	,
yes	UH	yes
,	,	,
there	EX	there
is	VBZ	be
.	SENT	.
Look	VB	look
around	IN	around
you	PP	you
—	:	-
here	RB	here
will	MD	will
do	VB	do
,	,	,
in	IN	in
this	DT	this
room	NN	room
.	SENT	.
All	DT	all
around	IN	around
us	PP	us
,	,	,
still	RB	still
clumsily	RB	clumsily
drifting	VBG	drift
about	RB	about
in	IN	in
its	PP$	its
primeval	JJ	primeval
soup	NN	soup
of	IN	of
culture	NN	culture
,	,	,
is	VBZ	be
another	DT	another
replicator	NN	<unknown>
.	SENT	.
Information	NN	information
that	IN	that
we	PP	we
copy	VBP	copy
from	IN	from
person	NN	person
to	TO	to
person	NN	person
,	,	,
by	IN	by
imitation	NN	imitation
,	,	,
by	IN	by
language	NN	language
,	,	,
by	IN	by
talking	VBG	talk
,	,	,
by	IN	by
telling	VBG	tell
stories	NNS	story
,	,	,
by	IN	by
wearing	VBG	wear
clothes	NNS	clothes
,	,	,
by	IN	by
doing	VBG	do
things	NNS	thing
.	SENT	.
This	DT	this
is	VBZ	be
information	NN	information
copied	VBN	copy
with	IN	with
variation	NN	variation
and	CC	and
selection	NN	selection
.	SENT	.
This	DT	this
is	VBZ	be
design	NN	design
process	NN	process
going	VBG	go
on	IN	on
.	SENT	.
He	PP	he
wanted	VBD	want
a	DT	a
name	NN	name
for	IN	for
the	DT	the
new	JJ	new
replicator	NN	<unknown>
.	SENT	.
So	RB	so
,	,	,
he	PP	he
took	VBD	take
the	DT	the
Greek	JJ	Greek
word	NN	word
"	''	"
mimeme	NN	<unknown>
,	,	,
"	''	"
which	WDT	which
means	VBZ	mean
that	DT	that
which	WDT	which
is	VBZ	be
imitated	VBN	imitate
.	SENT	.
Remember	VB	remember
that	IN	that
,	,	,
that	WDT	that
'	POS	'
s	NN	S
the	DT	the
core	JJ	core
definition	NN	definition
:	:	:
that	IN	that
which	WDT	which
is	VBZ	be
imitated	VBN	imitate
.	SENT	.
And	CC	and
abbreviated	VBD	abbreviate
it	PP	it
to	TO	to
meme	NN	<unknown>
,	,	,
just	RB	just
because	IN	because
it	PP	it
sounds	VBZ	sound
good	JJ	good
and	CC	and
made	VBD	make
a	DT	a
good	JJ	good
meme	NN	<unknown>
,	,	,
an	DT	an
effective	JJ	effective
spreading	VBG	spread
meme	NN	<unknown>
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	NN	S
how	WRB	how
the	DT	the
idea	NN	idea
came	VBD	come
about	RB	about
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
important	JJ	important
to	TO	to
stick	VB	stick
with	IN	with
that	DT	that
definition	NN	definition
.	SENT	.
The	DT	the
whole	JJ	whole
science	NN	science
of	IN	of
memetics	NNS	memetic
is	VBZ	be
much	RB	much
maligned	VBN	malign
,	,	,
much	RB	much
misunderstood	VBN	misunderstand
,	,	,
much	RB	much
feared	VBN	fear
.	SENT	.
But	CC	but
a	DT	a
lot	NN	lot
of	IN	of
these	DT	these
problems	NNS	problem
can	MD	can
be	VB	be
avoided	VBN	avoid
by	IN	by
remembering	VBG	remember
the	DT	the
definition	NN	definition
.	SENT	.
A	DT	a
meme	NN	<unknown>
is	VBZ	be
not	RB	not
equivalent	JJ	equivalent
to	TO	to
an	DT	an
idea	NN	idea
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
an	DT	an
idea	NN	idea
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
equivalent	JJ	equivalent
to	TO	to
anything	NN	anything
else	RB	else
,	,	,
really	RB	really
.	SENT	.
Stick	VB	stick
with	IN	with
the	DT	the
definition	NN	definition
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
that	IN	that
which	WDT	which
is	VBZ	be
imitated	VBN	imitate
,	,	,
or	CC	or
information	NN	information
which	WDT	which
is	VBZ	be
copied	VBN	copy
from	IN	from
person	NN	person
to	TO	to
person	NN	person
.	SENT	.
So	RB	so
,	,	,
let	VBP	let
'	POS	'
s	NNS	<unknown>
see	VBP	see
some	DT	some
memes	NNS	<unknown>
.	SENT	.
Well	RB	well
,	,	,
you	PP	you
sir	NN	sir
,	,	,
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
those	DT	those
glasses	NNS	glass
hung	VBD	hang
around	RP	around
your	PP$	your
neck	NN	neck
in	IN	in
that	DT	that
particularly	RB	particularly
fetching	JJ	fetching
way	NN	way
.	SENT	.
I	PP	I
wonder	VBP	wonder
whether	IN	whether
you	PP	you
invented	VBD	invent
that	DT	that
idea	NN	idea
for	IN	for
yourself	PP	yourself
,	,	,
or	CC	or
copied	VBD	copy
it	PP	it
from	IN	from
someone	NN	someone
else	RB	else
?	SENT	?
If	IN	if
you	PP	you
copied	VBD	copy
it	PP	it
from	IN	from
someone	NN	someone
else	RB	else
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
meme	NN	<unknown>
.	SENT	.
And	CC	and
what	WP	what
about	RB	about
,	,	,
oh	UH	oh
,	,	,
I	PP	I
can	MD	can
'	''	'
t	NN	t
see	VB	see
any	DT	any
interesting	JJ	interesting
memes	NNS	<unknown>
here	RB	here
.	SENT	.
All	DT	all
right	JJ	right
everyone	NN	everyone
,	,	,
who	WP	who
'	POS	'
s	NN	S
got	VBD	get
some	DT	some
interesting	JJ	interesting
memes	NNS	<unknown>
for	IN	for
me	PP	me
?	SENT	?
Oh	UH	oh
,	,	,
well	UH	well
,	,	,
your	PP$	your
earrings	NNS	earring
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
suppose	VBP	suppose
you	PP	you
invented	VBD	invent
the	DT	the
idea	NN	idea
of	IN	of
earrings	NNS	earring
.	SENT	.
You	PP	you
probably	RB	probably
went	VBD	go
out	RP	out
and	CC	and
bought	VBD	buy
them	PP	them
.	SENT	.
There	EX	there
are	VBP	be
plenty	RB	plenty
more	RBR	more
in	IN	in
the	DT	the
shops	NNS	shop
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
something	NN	something
that	RB	that
'	POS	'
s	NN	S
passed	VBD	pass
on	IN	on
from	IN	from
person	NN	person
to	TO	to
person	NN	person
.	SENT	.
All	PDT	all
the	DT	the
stories	NNS	story
that	IN	that
we	PP	we
'	POS	'
re	NN	re
telling	VBG	tell
—	:	-
well	RB	well
,	,	,
of	IN	of
course	NN	course
,	,	,
TED	VBP	ted
is	VBZ	be
a	DT	a
great	JJ	great
meme-fest	NN	<unknown>
,	,	,
masses	NNS	mass
of	IN	of
memes	NNS	<unknown>
.	SENT	.
The	DT	the
way	NN	way
to	TO	to
think	VB	think
about	IN	about
memes	NNS	<unknown>
,	,	,
though	RB	though
,	,	,
is	VBZ	be
to	TO	to
think	VB	think
,	,	,
why	WRB	why
do	VBP	do
they	PP	they
spread	VBD	spread
?	SENT	?
They	PP	they
'	''	'
re	IN	re
selfish	JJ	selfish
information	NN	information
,	,	,
they	PP	they
will	MD	will
get	VB	get
copied	VBN	copy
,	,	,
if	IN	if
they	PP	they
can	MD	can
.	SENT	.
But	CC	but
some	DT	some
of	IN	of
them	PP	them
will	MD	will
be	VB	be
copied	VBN	copy
because	IN	because
they	PP	they
'	POS	'
re	NN	re
good	JJ	good
,	,	,
or	CC	or
true	JJ	true
,	,	,
or	CC	or
useful	JJ	useful
,	,	,
or	CC	or
beautiful	JJ	beautiful
.	SENT	.
Some	DT	some
of	IN	of
them	PP	them
will	MD	will
be	VB	be
copied	VBN	copy
even	RB	even
though	IN	though
they	PP	they
'	POS	'
re	NN	re
not	RB	not
.	SENT	.
Some	RB	some
,	,	,
it	PP	it
'	POS	'
s	NN	S
quite	RB	quite
hard	JJ	hard
to	TO	to
tell	VB	tell
why	WRB	why
.	SENT	.
There	EX	there
'	POS	'
s	JJ	<unknown>
one	CD	one
particular	JJ	particular
curious	JJ	curious
meme	NN	<unknown>
which	WDT	which
I	PP	I
rather	RB	rather
enjoy	VBP	enjoy
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
glad	JJ	glad
to	TO	to
say	VB	say
,	,	,
as	IN	as
I	PP	I
expected	VBD	expect
,	,	,
I	PP	I
found	VBD	find
it	PP	it
when	WRB	when
I	PP	I
came	VBD	come
here	RB	here
,	,	,
and	CC	and
I	PP	I
'	POS	'
m	NN	m
sure	RB	sure
all	RB	all
of	IN	of
you	PP	you
found	VBD	find
it	PP	it
,	,	,
too	RB	too
.	SENT	.
You	PP	you
go	VBP	go
to	TO	to
your	PP$	your
nice	JJ	nice
,	,	,
posh	JJ	posh
,	,	,
international	JJ	international
hotel	NN	hotel
somewhere	RB	somewhere
,	,	,
and	CC	and
you	PP	you
come	VBP	come
in	IN	in
and	CC	and
you	PP	you
put	VBD	put
down	RP	down
your	PP$	your
clothes	NNS	clothes
and	CC	and
you	PP	you
go	VBP	go
to	TO	to
the	DT	the
bathroom	NN	bathroom
,	,	,
and	CC	and
what	WP	what
do	VBP	do
you	PP	you
see	VBP	see
?	SENT	?
Audience	NN	audience
:	:	:
Bathroom	NN	bathroom
soap	NN	soap
.	SENT	.
SB	NP	SB
:	:	:
Pardon	NN	pardon
?	SENT	?
Audience	NN	audience
:	:	:
Soap	NN	soap
.	SENT	.
SB	NP	SB
:	:	:
Soap	NP	Soap
,	,	,
yeah	RB	yeah
.	SENT	.
What	WP	what
else	RB	else
do	VBP	do
you	PP	you
see	VBP	see
?	SENT	?
Audience	NN	audience
:	:	:
SB	NP	SB
:	:	:
Mmm	NP	Mmm
mmm	NP	mmm
.	SENT	.
Audience	NN	audience
:	:	:
Sink	NN	sink
,	,	,
toilet	NN	toilet
!	SENT	!
SB	NP	SB
:	:	:
Sink	NN	sink
,	,	,
toilet	NN	toilet
,	,	,
yes	UH	yes
,	,	,
these	DT	these
are	VBP	be
all	DT	all
memes	NNS	<unknown>
,	,	,
they	PP	they
'	POS	'
re	NN	re
all	DT	all
memes	NNS	<unknown>
,	,	,
but	CC	but
they	PP	they
'	POS	'
re	NN	re
sort	NN	sort
of	IN	of
useful	JJ	useful
ones	NNS	one
,	,	,
and	CC	and
then	RB	then
there	EX	there
'	''	'
s	VBG	<unknown>
this	DT	this
one	CD	one
.	SENT	.
What	WP	what
is	VBZ	be
this	DT	this
one	CD	one
doing	NN	doing
?	SENT	?
This	DT	this
has	VBZ	have
spread	VBN	spread
all	DT	all
over	IN	over
the	DT	the
world	NN	world
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
surprising	JJ	surprising
that	IN	that
you	PP	you
all	RB	all
found	VBD	find
it	PP	it
when	WRB	when
you	PP	you
arrived	VBD	arrive
in	IN	in
your	PP$	your
bathrooms	NNS	bathroom
here	RB	here
.	SENT	.
But	CC	but
I	PP	I
took	VBD	take
this	DT	this
photograph	NN	photograph
in	IN	in
a	DT	a
toilet	NN	toilet
at	IN	at
the	DT	the
back	NN	back
of	IN	of
a	DT	a
tent	NN	tent
in	IN	in
the	DT	the
eco-camp	NN	<unknown>
in	IN	in
the	DT	the
jungle	NN	jungle
in	IN	in
Assam	NN	assam
.	SENT	.
Who	WP	who
folded	VBD	fold
that	DT	that
thing	NN	thing
up	RB	up
there	RB	there
,	,	,
and	CC	and
why	WRB	why
?	SENT	?
Some	DT	some
people	NNS	people
get	VBP	get
carried	VBN	carry
away	RB	away
.	SENT	.
Other	JJ	other
people	NNS	people
are	VBP	be
just	RB	just
lazy	JJ	lazy
and	CC	and
make	VB	make
mistakes	NNS	mistake
.	SENT	.
Some	DT	some
hotels	NNS	hotel
exploit	VBP	exploit
the	DT	the
opportunity	NN	opportunity
to	TO	to
put	VB	put
even	RB	even
more	JJR	more
memes	NNS	<unknown>
with	IN	with
a	DT	a
little	JJ	little
sticker	NN	sticker
.	SENT	.
What	WP	what
is	VBZ	be
this	DT	this
all	RB	all
about	RB	about
?	SENT	?
I	PP	I
suppose	VBP	suppose
it	PP	it
'	''	'
s	NNS	<unknown>
there	RB	there
to	TO	to
tell	VB	tell
you	PP	you
that	DT	that
somebody	NN	somebody
'	POS	'
s	NN	S
cleaned	VBD	clean
the	DT	the
place	NN	place
,	,	,
