Nadia	NP	Nadia
Hubble	NP	Hubble
'	POS	'
s	NN	S
two	CD	two
point	NN	point
four	CD	four
.	SENT	.
ND	NN	ND
:	:	:
It	PP	it
'	POS	'
s	NN	S
so	RB	so
big	JJ	big
that	IN	that
it	PP	it
couldn	NNS	<unknown>
'	''	'
t	NN	t
be	VB	be
launched	VBN	launch
looking	VBG	look
like	IN	like
that	DT	that
.	SENT	.
It	PP	it
had	VBD	have
to	TO	to
be	VB	be
all	RB	all
folded	VBN	fold
up	RP	up
.	SENT	.
HH	NP	HH
:	:	:
That	WDT	that
'	POS	'
s	NN	S
right	NN	right
.	SENT	.
It	PP	it
had	VBD	have
to	TO	to
be	VB	be
folded	VBN	fold
up	RP	up
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
why	WRB	why
the	DT	the
mirror	NN	mirror
is	VBZ	be
segments	NNS	segment
.	SENT	.
ND	NN	ND
:	:	:
Yeah	RB	yeah
.	SENT	.
HH	NP	HH
:	:	:
So	CC	so
that	IN	that
it	PP	it
could	MD	could
be	VB	be
folded	VBN	fold
up	RP	up
.	SENT	.
ND	NN	ND
:	:	:
Like	IN	like
a	DT	a
honeycomb	NN	honeycomb
.	SENT	.
HH	NP	HH
:	:	:
Like	IN	like
a	DT	a
honeycomb	NN	honeycomb
,	,	,
exactly	RB	exactly
.	SENT	.
ND	NN	ND
:	:	:
But	CC	but
then	RB	then
it	PP	it
had	VBD	have
to	TO	to
unfold	VB	unfold
in	IN	in
space	NN	space
.	SENT	.
And	CC	and
I	PP	I
remember	VBP	remember
how	WRB	how
nervous	JJ	nervous
people	NNS	people
were	VBD	be
about	RB	about
this	DT	this
process	NN	process
because	IN	because
it	PP	it
really	RB	really
was	VBD	be
something	NN	something
that	IN	that
everything	NN	everything
,	,	,
every	DT	every
single	JJ	single
step	NN	step
had	VBD	have
to	TO	to
go	VB	go
right	RB	right
.	SENT	.
HH	NP	HH
:	:	:
Not	RB	not
only	RB	only
did	VBD	do
the	DT	the
telescope	NN	telescope
have	VB	have
to	TO	to
fold	VB	fold
up	RP	up
,	,	,
but	CC	but
we	PP	we
--	:	--
if	IN	if
you	PP	you
look	VBP	look
at	IN	at
Webb	NP	Webb
,	,	,
it	PP	it
'	POS	'
s	NN	S
got	VBD	get
this	DT	this
huge	JJ	huge
contraption	NN	contraption
underneath	IN	underneath
it	PP	it
,	,	,
which	WDT	which
we	PP	we
call	VBP	call
a	DT	a
sunshield	NN	sunshield
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NNS	<unknown>
crucial	JJ	crucial
for	IN	for
this	DT	this
telescope	NN	telescope
.	SENT	.
ND	NN	ND
:	:	:
How	WRB	how
did	VBD	do
you	PP	you
feel	VBP	feel
as	IN	as
you	PP	you
were	VBD	be
witnessing	VBG	witness
the	DT	the
deployment	NN	deployment
sequence	NN	sequence
?	SENT	?
HH	NP	HH
:	:	:
I	PP	I
sure	RB	sure
was	VBD	be
nervous	JJ	nervous
,	,	,
just	RB	just
like	IN	like
everybody	NN	everybody
else	RB	else
.	SENT	.
There	EX	there
were	VBD	be
several	JJ	several
single	JJ	single
point	NN	point
failures	NNS	failure
where	WRB	where
if	IN	if
that	DT	that
thing	NN	thing
didn	NN	<unknown>
'	POS	'
t	NN	t
unbolt	VB	unbolt
or	CC	or
unfold	VB	unfold
,	,	,
we	PP	we
didn	NNS	<unknown>
'	''	'
t	NN	t
have	VBP	have
a	DT	a
working	VBG	work
telescope	NN	telescope
anymore	RB	anymore
.	SENT	.
So	RB	so
it	PP	it
was	VBD	be
extremely	RB	extremely
nerve-racking	JJ	nerve-racking
.	SENT	.
But	CC	but
we	PP	we
had	VBD	have
many	JJ	many
years	NNS	year
of	IN	of
testing	VBG	test
because	IN	because
we	PP	we
knew	VBD	know
that	IN	that
there	EX	there
was	VBD	be
no	RB	no
fixing	VBG	fix
this	DT	this
telescope	NN	telescope
.	SENT	.
This	DT	this
telescope	NN	telescope
'	POS	'
s	NN	S
not	RB	not
in	IN	in
low	JJ	low
earth	NN	earth
orbit	NN	orbit
like	IN	like
Hubble	NP	Hubble
.	SENT	.
The	DT	the
James	NP	James
Webb	NP	Webb
Space	NP	Space
Telescope	NN	telescope
is	VBZ	be
a	DT	a
million	CD	million
miles	NNS	mile
away	RB	away
at	IN	at
a	DT	a
point	NN	point
called	VBD	call
the	DT	the
L2	NP	<unknown>
Point	NP	Point
,	,	,
and	CC	and
it	PP	it
was	VBD	be
put	VBN	put
out	RP	out
there	RB	there
deliberately	RB	deliberately
because	IN	because
it	PP	it
needed	VBD	need
to	TO	to
be	VB	be
cold	JJ	cold
.	SENT	.
It	PP	it
needed	VBD	need
to	TO	to
have	VB	have
the	DT	the
sunshield	NN	sunshield
to	TO	to
protect	VB	protect
the	DT	the
telescope	NN	telescope
from	IN	from
the	DT	the
warmth	NN	warmth
of	IN	of
the	DT	the
Sun	NP	Sun
,	,	,
the	DT	the
warmth	NN	warmth
of	IN	of
the	DT	the
Earth	NN	earth
and	CC	and
even	RB	even
the	DT	the
warmth	NN	warmth
of	IN	of
our	PP$	our
Moon	NN	moon
.	SENT	.
So	IN	so
the	DT	the
sunshield	NN	sunshield
is	VBZ	be
designed	VBN	design
to	TO	to
be	VB	be
like	IN	like
an	DT	an
umbrella	NN	umbrella
that	WDT	that
protects	VBZ	protect
it	PP	it
,	,	,
a	DT	a
sun	NN	sun
umbrella	NN	umbrella
that	WDT	that
keeps	VBZ	keep
that	IN	that
telescope	NN	telescope
super	JJ	super
cold	NN	cold
.	SENT	.
So	IN	so
we	PP	we
couldn	NN	<unknown>
'	POS	'
t	NN	t
put	VBD	put
it	PP	it
in	IN	in
low	JJ	low
earth	NN	earth
orbit	NN	orbit
because	IN	because
it	PP	it
'	POS	'
s	NN	S
just	RB	just
too	RB	too
warm	JJ	warm
in	IN	in
that	DT	that
environment	NN	environment
.	SENT	.
You	PP	you
can	MD	can
'	''	'
t	NN	t
sense	NN	sense
infrared	JJ	infrared
light	NN	light
when	WRB	when
it	PP	it
'	POS	'
s	NNS	<unknown>
hot	JJ	hot
.	SENT	.
You	PP	you
have	VBP	have
to	TO	to
have	VB	have
it	PP	it
cold	JJ	cold
.	SENT	.
By	IN	by
the	DT	the
way	NN	way
,	,	,
that	WDT	that
'	POS	'
s	NNS	<unknown>
also	RB	also
why	WRB	why
this	DT	this
telescope	NN	telescope
is	VBZ	be
completely	RB	completely
exposed	VBN	expose
to	TO	to
the	DT	the
elements	NNS	element
of	IN	of
space	NN	space
.	SENT	.
Most	RBS	most
other	JJ	other
telescopes	NNS	telescope
have	VBP	have
tubes	NNS	tube
that	WDT	that
enclose	VBP	enclose
them	PP	them
,	,	,
and	CC	and
this	DT	this
one	CD	one
doesn	NN	<unknown>
'	POS	'
t	NN	t
.	SENT	.
The	DT	the
mirrors	NNS	mirror
are	VBP	be
just	RB	just
sitting	VBG	sit
out	RP	out
there	RB	there
.	SENT	.
ND	NN	ND
:	:	:
They	PP	they
'	POS	'
re	NN	re
just	RB	just
out	RB	out
there	RB	there
.	SENT	.
HH	NP	HH
:	:	:
They	PP	they
'	POS	'
re	NN	re
just	RB	just
sitting	VBG	sit
out	RP	out
there	RB	there
.	SENT	.
ND	NN	ND
:	:	:
So	RB	so
the	DT	the
first	JJ	first
deep	JJ	deep
field	NN	field
from	IN	from
JWST	NP	<unknown>
,	,	,
I	PP	I
think	VBP	think
the	DT	the
analogy	NN	analogy
I	PP	I
heard	VBD	hear
was	VBD	be
that	IN	that
the	DT	the
image	NN	image
itself	PP	itself
covers	VBZ	cover
about	IN	about
the	DT	the
amount	NN	amount
of	IN	of
space	NN	space
as	IN	as
a	DT	a
grain	NN	grain
of	IN	of
rice	NN	rice
on	IN	on
a	DT	a
fingertip	NN	fingertip
held	VBN	hold
at	IN	at
arm	NN	arm
'	POS	'
s	NN	S
length	NN	length
.	SENT	.
Is	VBZ	be
that	DT	that
right	NN	right
?	SENT	?
HH	NP	HH
:	:	:
I	PP	I
heard	VBD	hear
a	DT	a
grain	NN	grain
of	IN	of
sand	NN	sand
,	,	,
not	RB	not
a	DT	a
grain	NN	grain
of	IN	of
rice	NN	rice
.	SENT	.
But	CC	but
it	PP	it
'	POS	'
s	NN	S
the	DT	the
same	JJ	same
concept	NN	concept
,	,	,
you	PP	you
know	VBP	know
,	,	,
that	WDT	that
--	:	--
yeah	RB	yeah
.	SENT	.
If	IN	if
you	PP	you
--	:	--
the	DT	the
piece	NN	piece
of	IN	of
sky	NN	sky
you	PP	you
see	VBP	see
in	IN	in
that	DT	that
picture	NN	picture
,	,	,
if	IN	if
you	PP	you
were	VBD	be
like	IN	like
standing	VBG	stand
in	IN	in
your	PP$	your
backyard	NN	backyard
and	CC	and
looking	VBG	look
up	RP	up
in	IN	in
the	DT	the
sky	NN	sky
,	,	,
that	DT	that
piece	NN	piece
of	IN	of
sky	NN	sky
is	VBZ	be
about	RB	about
the	DT	the
same	JJ	same
size	NN	size
as	IN	as
a	DT	a
tiny	JJ	tiny
grain	NN	grain
of	IN	of
sand	NN	sand
.	SENT	.
If	IN	if
you	PP	you
moved	VBD	move
your	PP$	your
grain	NN	grain
of	IN	of
sand	NN	sand
over	IN	over
to	TO	to
the	DT	the
left	NN	left
,	,	,
you	PP	you
would	MD	would
see	VB	see
more	JJR	more
galaxies	NNS	galaxy
,	,	,
and	CC	and
over	IN	over
to	TO	to
the	DT	the
left	NN	left
again	RB	again
,	,	,
more	JJR	more
galaxies	NNS	galaxy
.	SENT	.
And	CC	and
anywhere	RB	anywhere
you	PP	you
looked	VBD	look
in	IN	in
the	DT	the
sky	NN	sky
,	,	,
it	PP	it
is	VBZ	be
filled	VBN	fill
with	IN	with
galaxies	NNS	galaxy
.	SENT	.
ND	NN	ND
:	:	:
Just	RB	just
thousands	NNS	thousand
and	CC	and
thousands	NNS	thousand
in	IN	in
that	DT	that
one	CD	one
image	NN	image
alone	RB	alone
.	SENT	.
HH	NP	HH
:	:	:
Exactly	RB	exactly
.	SENT	.
What	WP	what
I	PP	I
'	POS	'
m	NN	m
waiting	VBG	wait
for	IN	for
is	VBZ	be
the	DT	the
James	NP	James
Webb	NP	Webb
Space	NP	Space
Telescope	NN	telescope
Deep	NP	Deep
Field	NP	Field
,	,	,
where	WRB	where
we	PP	we
stare	VBP	stare
for	IN	for
days	NNS	day
at	IN	at
a	DT	a
dark	JJ	dark
spot	NN	spot
that	IN	that
we	PP	we
don	VB	don
'	''	'
t	NN	t
know	VB	know
where	WRB	where
anything	NN	anything
is	VBZ	be
.	SENT	.
What	WP	what
are	VBP	be
we	PP	we
going	VBG	go
to	TO	to
see	VB	see
?	SENT	?
And	CC	and
then	RB	then
,	,	,
think	VBP	think
about	RB	about
that	IN	that
,	,	,
going	VBG	go
to	TO	to
be	VB	be
all	DT	all
over	IN	over
the	DT	the
whole	JJ	whole
sky	NN	sky
.	SENT	.
Our	PP$	our
universe	NN	universe
is	VBZ	be
going	VBG	go
to	TO	to
mentally	RB	mentally
expand	VB	expand
at	IN	at
that	DT	that
moment	NN	moment
when	WRB	when
we	PP	we
get	VBP	get
that	IN	that
deep	JJ	deep
field	NN	field
from	IN	from
James	NP	James
Webb	NP	Webb
Space	NP	Space
Telescope	NN	telescope
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
be	VB	be
mind-blowing	JJ	mind-blowing
.	SENT	.
ND	NN	ND
:	:	:
I	PP	I
just	RB	just
think	VBP	think
about	IN	about
it	PP	it
.	SENT	.
Peering	VBG	peer
so	RB	so
far	RB	far
back	RB	back
in	IN	in
time	NN	time
to	TO	to
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
primordial	JJ	primordial
cosmic	JJ	cosmic
murk	NN	murk
.	SENT	.
HH	NP	HH
:	:	:
Yeah	RB	yeah
.	SENT	.
ND	NN	ND
:	:	:
When	WRB	when
stars	NNS	star
and	CC	and
galaxies	NNS	galaxy
are	VBP	be
just	RB	just
starting	VBG	start
to	TO	to
turn	VB	turn
on	IN	on
and	CC	and
how	WRB	how
different	JJ	different
the	DT	the
universe	NN	universe
was	VBD	be
and	CC	and
the	DT	the
fact	NN	fact
that	IN	that
we	PP	we
humans	NNS	human
on	IN	on
this	DT	this
one	CD	one
little	JJ	little
planet	NN	planet
Earth	NN	earth
can	MD	can
craft	VB	craft
an	DT	an
instrument	NN	instrument
that	WDT	that
has	VBZ	have
the	DT	the
capability	NN	capability
to	TO	to
let	VB	let
us	PP	us
see	VB	see
that	IN	that
,	,	,
13	CD	@card@
.	SENT	.
5	CD	@card@
billion	NN	billion
years	NNS	year
ago	RB	ago
,	,	,
or	CC	or
whatever	WDT	whatever
it	PP	it
ends	VBZ	end
up	RP	up
being	VBG	be
,	,	,
is	VBZ	be
really	RB	really
phenomenal	JJ	phenomenal
.	SENT	.
HH	NP	HH
:	:	:
Yeah	RB	yeah
.	SENT	.
I	PP	I
view	VBP	view
it	PP	it
as	IN	as
an	DT	an
example	NN	example
of	IN	of
what	WP	what
humanity	NN	humanity
can	MD	can
do	VB	do
when	WRB	when
we	PP	we
work	VBP	work
for	IN	for
the	DT	the
greater	JJR	great
good	NN	good
,	,	,
when	WRB	when
we	PP	we
work	VBP	work
as	IN	as
teams	NNS	team
and	CC	and
we	PP	we
have	VBP	have
a	DT	a
goal	NN	goal
.	SENT	.
This	DT	this
project	NN	project
required	VBD	require
thousands	NNS	thousand
of	IN	of
people	NNS	people
in	IN	in
multiple	JJ	multiple
countries	NNS	country
,	,	,
multiple	JJ	multiple
states	NNS	state
,	,	,
to	TO	to
take	VB	take
this	DT	this
vision	NN	vision
and	CC	and
turn	VB	turn
it	PP	it
into	IN	into
a	DT	a
concrete	JJ	concrete
thing	NN	thing
,	,	,
this	DT	this
telescope	NN	telescope
.	SENT	.
And	CC	and
then	RB	then
launch	VB	launch
it	PP	it
on	IN	on
a	DT	a
rocket	NN	rocket
,	,	,
and	CC	and
then	RB	then
have	VB	have
the	DT	the
ability	NN	ability
to	TO	to
use	VB	use
it	PP	it
,	,	,
to	TO	to
probe	VB	probe
from	IN	from
right	NN	right
in	IN	in
our	PP$	our
local	JJ	local
neighborhood	NN	neighborhood
all	PDT	all
the	DT	the
way	NN	way
to	TO	to
the	DT	the
edge	NN	edge
of	IN	of
the	DT	the
known	VBN	know
universe	NN	universe
and	CC	and
everything	NN	everything
in	IN	in
between	IN	between
.	SENT	.
ND	NN	ND
:	:	:
Yeah	RB	yeah
.	SENT	.
HH	NP	HH
:	:	:
It	PP	it
'	POS	'
s	NN	S
amazing	JJ	amazing
to	TO	to
me	PP	me
.	SENT	.
And	CC	and
everybody	NN	everybody
had	VBD	have
a	DT	a
role	NN	role
to	TO	to
play	VB	play
.	SENT	.
The	DT	the
beryllium	NN	beryllium
miners	NNS	miner
who	WP	who
mined	VBD	mine
the	DT	the
beryllium	NN	beryllium
we	PP	we
used	VBD	use
to	TO	to
make	VB	make
the	DT	the
mirrors	NNS	mirror
and	CC	and
the	DT	the
cable	NN	cable
wrappers	NNS	wrapper
who	WP	who
wrapped	VBD	wrap
the	DT	the
cables	NNS	cable
to	TO	to
allow	VB	allow
this	DT	this
thing	NN	thing
to	TO	to
move	VB	move
,	,	,
and	CC	and
the	DT	the
people	NNS	people
who	WP	who
built	VBD	build
the	DT	the
different	JJ	different
instruments	NNS	instrument
.	SENT	.
We	PP	we
have	VBP	have
a	DT	a
suite	NN	suite
of	IN	of
four	CD	four
different	JJ	different
instruments	NNS	instrument
,	,	,
cameras	NNS	camera
and	CC	and
spectrographs	NNS	spectrograph
.	SENT	.
Both	CC	both
here	RB	here
,	,	,
in	IN	in
Europe	NP	Europe
.	SENT	.
You	PP	you
know	VBP	know
,	,	,
we	PP	we
all	RB	all
worked	VBD	work
--	:	--
in	IN	in
Canada	NP	Canada
.	SENT	.
Canada	NP	Canada
made	VBD	make
the	DT	the
fine	JJ	fine
guidance	NN	guidance
sensor	NN	sensor
that	WDT	that
allows	VBZ	allow
us	PP	us
to	TO	to
point	VB	point
this	DT	this
thing	NN	thing
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
it	PP	it
'	POS	'
s	NN	S
a	DT	a
truly	RB	truly
international	JJ	international
effort	NN	effort
and	CC	and
it	PP	it
all	RB	all
comes	VBZ	come
together	RB	together
to	TO	to
create	VB	create
this	DT	this
revolution	NN	revolution
in	IN	in
how	WRB	how
we	PP	we
see	VBP	see
the	DT	the
cosmos	NN	cosmos
.	SENT	.
ND	NN	ND
:	:	:
Do	VBP	do
you	PP	you
have	VBP	have
a	DT	a
favorite	NN	favorite
among	IN	among
the	DT	the
images	NNS	image
that	WDT	that
have	VBP	have
been	VBN	be
released	VBN	release
so	RB	so
far	RB	far
?	SENT	?
HH	NP	HH
:	:	:
Well	UH	well
,	,	,
they	PP	they
all	RB	all
have	VBP	have
special	JJ	special
aspects	NNS	aspect
about	IN	about
them	PP	them
that	WDT	that
make	VBP	make
me	PP	me
go	VB	go
,	,	,
"	''	"
Wow	NN	wow
!	SENT	!
"	''	"
In	IN	in
the	DT	the
case	NN	case
of	IN	of
the	DT	the
"	``	"
Cosmic	JJ	cosmic
Cliffs	NPS	Cliff
"	''	"
image	NN	image
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
beautiful	JJ	beautiful
,	,	,
it	PP	it
'	POS	'
s	JJ	<unknown>
blue	NN	blue
in	IN	in
the	DT	the
dark	NN	dark
and	CC	and
orange	NN	orange
in	IN	in
the	DT	the
bottom	NN	bottom
.	SENT	.
And	CC	and
,	,	,
you	PP	you
know	VBP	know
,	,	,
I	PP	I
get	VBP	get
excited	VBN	excite
about	IN	about
images	NNS	image
like	VBP	like
that	IN	that
because	IN	because
not	RB	not
only	RB	only
are	VBP	be
they	PP	they
tremendously	RB	tremendously
beautiful	JJ	beautiful
and	CC	and
evocative	JJ	evocative
in	IN	in
a	DT	a
poetic	JJ	poetic
way	NN	way
,	,	,
but	CC	but
those	DT	those
are	VBP	be
places	NNS	place
where	WRB	where
stars	NNS	star
are	VBP	be
being	VBG	be
born	VBN	bear
.	SENT	.
And	CC	and
some	DT	some
of	IN	of
the	DT	the
little	JJ	little
pokey	JJ	pokey
things	NNS	thing
that	WDT	that
stick	VBP	stick
out	RP	out
,	,	,
that	WDT	that
give	VBP	give
it	PP	it
some	DT	some
of	IN	of
its	PP$	its
dramatic	JJ	dramatic
structure	NN	structure
,	,	,
you	PP	you
know	VBP	know
,	,	,
those	DT	those
are	VBP	be
--	:	--
that	WDT	that
'	POS	'
s	JJ	<unknown>
star	NN	star
birth	NN	birth
in	IN	in
the	DT	the
making	NN	making
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
that	IN	that
'	POS	'
s	NN	S
just	RB	just
so	RB	so
cool	JJ	cool
.	SENT	.
And	CC	and
particularly	RB	particularly
when	WRB	when
we	PP	we
use	VBP	use
our	PP$	our
infrared	JJ	infrared
cameras	NNS	camera
,	,	,
we	PP	we
can	MD	can
look	VB	look
inside	IN	inside
some	DT	some
of	IN	of
those	DT	those
knobs	NNS	knob
and	CC	and
see	VB	see
the	DT	the
stars	NNS	star
that	WDT	that
are	VBP	be
being	VBG	be
born	VBN	bear
.	SENT	.
And	CC	and
in	IN	in
some	DT	some
places	NNS	place
,	,	,
like	IN	like
the	DT	the
Orion	NP	Orion
Nebula	NN	nebula
--	:	--
there	EX	there
was	VBD	be
just	RB	just
an	DT	an
image	NN	image
released	VBN	release
of	IN	of
the	DT	the
Orion	NP	Orion
Nebula	NN	nebula
--	:	--
that	WDT	that
'	POS	'
s	NN	S
places	VBZ	place
where	WRB	where
planetary	JJ	planetary
systems	NNS	system
are	VBP	be
forming	VBG	form
.	SENT	.
We	PP	we
aren	NNS	<unknown>
'	POS	'
t	NN	t
seeing	VBG	see
the	DT	the
planets	NNS	planet
,	,	,
but	CC	but
we	PP	we
'	POS	'
re	NN	re
seeing	VBG	see
the	DT	the
swirling	JJ	swirling
disks	NNS	disk
of	IN	of
dust	NN	dust
and	CC	and
gas	NN	gas
where	WRB	where
those	DT	those
planets	NNS	planet
are	VBP	be
being	VBG	be
born	VBN	bear
.	SENT	.
And	CC	and
even	RB	even
some	DT	some
of	IN	of
these	DT	these
galaxy	NN	galaxy
images	NNS	image
,	,	,
while	IN	while
they	PP	they
may	MD	may
be	VB	be
static	JJ	static
,	,	,
like	IN	like
the	DT	the
"	``	"
Stephan	NP	Stephan
'	POS	'
s	JJ	<unknown>
Quintet	NN	quintet
"	''	"
image	NN	image
,	,	,
which	WDT	which
is	VBZ	be
five	CD	five
galaxies	NNS	galaxy
--	:	--
one	CD	one
of	IN	of
which	WDT	which
is	VBZ	be
an	DT	an
interloper	NN	interloper
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
foreground	NN	foreground
galaxy	NN	galaxy
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
part	NN	part
of	IN	of
the	DT	the
other	JJ	other
crew	NN	crew
.	SENT	.
ND	NN	ND
:	:	:
Just	RB	just
wanted	VBD	want
to	TO	to
be	VB	be
in	IN	in
the	DT	the
shot	NN	shot
.	SENT	.
HH	NP	HH
:	:	:
It	PP	it
'	POS	'
s	NN	S
just	RB	just
photobombing	VBG	photobomb
the	DT	the
other	JJ	other
ones	NNS	one
.	SENT	.
But	CC	but
the	DT	the
four	CD	four
that	WDT	that
are	VBP	be
