You	PP	you
for	IN	for
a	DT	a
species	NN	species
that	WDT	that
can	MD	can
self-replicate	NNS	<unknown>
in	IN	in
the	DT	the
laboratory	NN	laboratory
,	,	,
and	CC	and
we	PP	we
'	POS	'
ve	RB	<unknown>
been	VBN	be
trying	VBG	try
to	TO	to
just	RB	just
see	VB	see
if	IN	if
we	PP	we
can	MD	can
come	VB	come
up	RP	up
with	IN	with
an	DT	an
even	RB	even
smaller	JJR	small
genome	NN	genome
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
able	JJ	able
to	TO	to
knock	VB	knock
out	RP	out
on	IN	on
the	DT	the
order	NN	order
of	IN	of
100	CD	@card@
genes	NNS	gene
out	RB	out
of	IN	of
the	DT	the
500	CD	@card@
or	CC	or
so	RB	so
that	WDT	that
are	VBP	be
here	RB	here
.	SENT	.
When	WRB	when
we	PP	we
look	VBP	look
at	IN	at
its	PP$	its
metabolic	JJ	metabolic
map	NN	map
,	,	,
it	PP	it
'	POS	'
s	NN	S
relatively	RB	relatively
simple	JJ	simple
compared	VBN	compare
to	TO	to
ours	PP	ours
â	NP	<unknown>
trust	VB	trust
me	PP	me
,	,	,
this	DT	this
is	VBZ	be
simple	JJ	simple
â	NP	<unknown>
but	CC	but
when	WRB	when
we	PP	we
look	VBP	look
at	IN	at
all	PDT	all
the	DT	the
genes	NNS	gene
that	IN	that
we	PP	we
can	MD	can
knock	VB	knock
out	RP	out
one	CD	one
at	IN	at
a	DT	a
time	NN	time
,	,	,
it	PP	it
'	POS	'
s	NN	S
very	RB	very
unlikely	JJ	unlikely
that	IN	that
this	DT	this
would	MD	would
yield	VB	yield
a	DT	a
living	VBG	live
cell	NN	cell
.	SENT	.
So	RB	so
we	PP	we
decided	VBD	decide
the	DT	the
only	JJ	only
way	NN	way
forward	RB	forward
was	VBD	be
to	TO	to
actually	RB	actually
synthesize	VB	synthesize
this	DT	this
chromosome	NN	chromosome
so	IN	so
we	PP	we
could	MD	could
vary	VB	vary
the	DT	the
components	NNS	component
to	TO	to
ask	VB	ask
some	DT	some
of	IN	of
these	DT	these
most	RBS	most
fundamental	JJ	fundamental
questions	NNS	question
.	SENT	.
And	CC	and
so	RB	so
we	PP	we
started	VBD	start
down	RP	down
the	DT	the
road	NN	road
of	IN	of
:	:	:
can	MD	can
we	PP	we
synthesize	VB	synthesize
a	DT	a
chromosome	NN	chromosome
?	SENT	?
Can	MD	can
chemistry	NN	chemistry
permit	NN	permit
making	VBG	make
these	DT	these
really	RB	really
large	JJ	large
molecules	NNS	molecule
where	WRB	where
we	PP	we
'	POS	'
ve	NN	ve
never	RB	never
been	VBN	be
before	RB	before
?	SENT	?
And	CC	and
if	IN	if
we	PP	we
do	VBP	do
,	,	,
can	MD	can
we	PP	we
boot	VB	boot
up	RP	up
a	DT	a
chromosome	NN	chromosome
?	SENT	?
A	DT	a
chromosome	NN	chromosome
,	,	,
by	IN	by
the	DT	the
way	NN	way
,	,	,
is	VBZ	be
just	RB	just
a	DT	a
piece	NN	piece
of	IN	of
inert	JJ	inert
chemical	NN	chemical
material	NN	material
.	SENT	.
So	RB	so
,	,	,
our	PP$	our
pace	NN	pace
of	IN	of
digitizing	VBG	digitize
life	NN	life
has	VBZ	have
been	VBN	be
increasing	VBG	increase
at	IN	at
an	DT	an
exponential	JJ	exponential
pace	NN	pace
.	SENT	.
Our	PP$	our
ability	NN	ability
to	TO	to
write	VB	write
the	DT	the
genetic	JJ	genetic
code	NN	code
has	VBZ	have
been	VBN	be
moving	VBG	move
pretty	RB	pretty
slowly	RB	slowly
but	CC	but
has	VBZ	have
been	VBN	be
increasing	VBG	increase
,	,	,
and	CC	and
our	PP$	our
latest	JJS	late
point	NN	point
would	MD	would
put	VB	put
it	PP	it
on	RP	on
,	,	,
now	RB	now
,	,	,
an	DT	an
exponential	JJ	exponential
curve	NN	curve
.	SENT	.
We	PP	we
started	VBD	start
this	DT	this
over	IN	over
15	CD	@card@
years	NNS	year
ago	RB	ago
.	SENT	.
It	PP	it
took	VBD	take
several	JJ	several
stages	NNS	stage
,	,	,
in	IN	in
fact	NN	fact
,	,	,
starting	VBG	start
with	IN	with
a	DT	a
bioethical	JJ	bioethical
review	NN	review
before	IN	before
we	PP	we
did	VBD	do
the	DT	the
first	JJ	first
experiments	NNS	experiment
.	SENT	.
But	CC	but
it	PP	it
turns	VBZ	turn
out	IN	out
synthesizing	VBG	synthesize
DNA	NN	DNA
is	VBZ	be
very	RB	very
difficult	JJ	difficult
.	SENT	.
There	EX	there
are	VBP	be
tens	NNS	ten
of	IN	of
thousands	NNS	thousand
of	IN	of
machines	NNS	machine
around	IN	around
the	DT	the
world	NN	world
that	WDT	that
make	VBP	make
small	JJ	small
pieces	NNS	piece
of	IN	of
DNA	NP	DNA
â	NP	<unknown>
30	CD	@card@
to	TO	to
50	CD	@card@
letters	NNS	letter
in	IN	in
length	NN	length
â	NP	<unknown>
and	CC	and
it	PP	it
'	POS	'
s	NN	S
a	DT	a
degenerate	JJ	degenerate
process	NN	process
,	,	,
so	RB	so
the	DT	the
longer	RBR	longer
you	PP	you
make	VBP	make
the	DT	the
piece	NN	piece
,	,	,
the	DT	the
more	JJR	more
errors	NNS	error
there	RB	there
are	VBP	be
.	SENT	.
So	RB	so
we	PP	we
had	VBD	have
to	TO	to
create	VB	create
a	DT	a
new	JJ	new
method	NN	method
for	IN	for
putting	VBG	put
these	DT	these
little	JJ	little
pieces	NNS	piece
together	RB	together
and	CC	and
correct	VB	correct
all	PDT	all
the	DT	the
errors	NNS	error
.	SENT	.
And	CC	and
this	DT	this
was	VBD	be
our	PP$	our
first	JJ	first
attempt	NN	attempt
,	,	,
starting	VBG	start
with	IN	with
the	DT	the
digital	JJ	digital
information	NN	information
of	IN	of
the	DT	the
genome	NN	genome
of	IN	of
phi	NN	phi
X174	NP	<unknown>
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
small	JJ	small
virus	NN	virus
that	WDT	that
kills	VBZ	kill
bacteria	NNS	bacterium
.	SENT	.
We	PP	we
designed	VBD	design
the	DT	the
pieces	NNS	piece
,	,	,
went	VBD	go
through	IN	through
our	PP$	our
error	NN	error
correction	NN	correction
and	CC	and
had	VBD	have
a	DT	a
DNA	NN	DNA
molecule	NN	molecule
of	IN	of
about	RB	about
5	CD	@card@
,	,	,
000	CD	@card@
letters	NNS	letter
.	SENT	.
The	DT	the
exciting	JJ	exciting
phase	NN	phase
came	VBD	come
when	WRB	when
we	PP	we
took	VBD	take
this	DT	this
piece	NN	piece
of	IN	of
inert	JJ	inert
chemical	NN	chemical
and	CC	and
put	VB	put
it	PP	it
in	IN	in
the	DT	the
bacteria	NNS	bacterium
,	,	,
and	CC	and
the	DT	the
bacteria	NNS	bacterium
started	VBD	start
to	TO	to
read	VB	read
this	DT	this
genetic	JJ	genetic
code	NN	code
,	,	,
made	VBD	make
the	DT	the
viral	JJ	viral
particles	NNS	particle
.	SENT	.
The	DT	the
viral	JJ	viral
particles	NNS	particle
then	RB	then
were	VBD	be
released	VBN	release
from	IN	from
the	DT	the
cells	NNS	cell
and	CC	and
came	VBD	come
back	RB	back
and	CC	and
killed	VBD	kill
the	DT	the
E	NN	E
.	SENT	.
coli	NNS	coli
.	SENT	.
I	PP	I
was	VBD	be
talking	VBG	talk
to	TO	to
the	DT	the
oil	NN	oil
industry	NN	industry
recently	RB	recently
and	CC	and
I	PP	I
said	VBD	say
they	PP	they
clearly	RB	clearly
understood	VBD	understand
that	DT	that
model	NN	model
.	SENT	.
They	PP	they
laughed	VBD	laugh
more	JJR	more
than	IN	than
you	PP	you
guys	NNS	guy
are	VBP	be
.	SENT	.
And	CC	and
so	RB	so
,	,	,
we	PP	we
think	VBP	think
this	DT	this
is	VBZ	be
a	DT	a
situation	NN	situation
where	WRB	where
the	DT	the
software	NN	software
can	MD	can
actually	RB	actually
build	VB	build
its	PP$	its
own	JJ	own
hardware	NN	hardware
in	IN	in
a	DT	a
biological	JJ	biological
system	NN	system
.	SENT	.
But	CC	but
we	PP	we
wanted	VBD	want
to	TO	to
go	VB	go
much	RB	much
larger	JJR	large
:	:	:
we	PP	we
wanted	VBD	want
to	TO	to
build	VB	build
the	DT	the
entire	JJ	entire
bacterial	JJ	bacterial
chromosome	NN	chromosome
â	NP	<unknown>
it	PP	it
'	POS	'
s	NN	S
over	IN	over
580	CD	@card@
,	,	,
000	CD	@card@
letters	NNS	letter
of	IN	of
genetic	JJ	genetic
code	NN	code
â	NP	<unknown>
so	IN	so
we	PP	we
thought	VBD	think
we	PP	we
'	''	'
d	SYM	d
build	VB	build
them	PP	them
in	IN	in
cassettes	NNS	cassette
the	DT	the
size	NN	size
of	IN	of
the	DT	the
viruses	NNS	virus
so	IN	so
we	PP	we
could	MD	could
actually	RB	actually
vary	VB	vary
the	DT	the
cassettes	NNS	cassette
to	TO	to
understand	VB	understand
what	WP	what
the	DT	the
actual	JJ	actual
components	NNS	component
of	IN	of
a	DT	a
living	VBG	live
cell	NN	cell
are	VBP	be
.	SENT	.
Design	NN	design
is	VBZ	be
critical	JJ	critical
,	,	,
and	CC	and
if	IN	if
you	PP	you
'	POS	'
re	NN	re
starting	VBG	start
with	IN	with
digital	JJ	digital
information	NN	information
in	IN	in
the	DT	the
computer	NN	computer
,	,	,
that	DT	that
digital	JJ	digital
information	NN	information
has	VBZ	have
to	TO	to
be	VB	be
really	RB	really
accurate	JJ	accurate
.	SENT	.
When	WRB	when
we	PP	we
first	RB	first
sequenced	VBD	<unknown>
this	DT	this
genome	NN	genome
in	IN	in
1995	CD	@card@
,	,	,
the	DT	the
standard	NN	standard
of	IN	of
accuracy	NN	accuracy
was	VBD	be
one	CD	one
error	NN	error
per	IN	per
10	CD	@card@
,	,	,
000	CD	@card@
base	NN	base
pairs	NNS	pair
.	SENT	.
We	PP	we
actually	RB	actually
found	VBD	find
,	,	,
on	IN	on
resequencing	VBG	resequence
it	PP	it
,	,	,
30	CD	@card@
errors	NNS	error
;	:	;
had	VBD	have
we	PP	we
used	VBN	use
that	IN	that
original	JJ	original
sequence	NN	sequence
,	,	,
it	PP	it
never	RB	never
would	MD	would
have	VB	have
been	VBN	be
able	JJ	able
to	TO	to
be	VB	be
booted	VBN	boot
up	RP	up
.	SENT	.
Part	NN	part
of	IN	of
the	DT	the
design	NN	design
is	VBZ	be
designing	VBG	design
pieces	NNS	piece
that	WDT	that
are	VBP	be
50	CD	@card@
letters	NNS	letter
long	JJ	long
that	WDT	that
have	VBP	have
to	TO	to
overlap	VB	overlap
with	IN	with
all	PDT	all
the	DT	the
other	JJ	other
50-letter	NN	50-letter
pieces	NNS	piece
to	TO	to
build	VB	build
smaller	JJR	small
subunits	NN	subunits
we	PP	we
have	VBP	have
to	TO	to
design	VB	design
so	IN	so
they	PP	they
can	MD	can
go	VB	go
together	RB	together
.	SENT	.
We	PP	we
design	VBP	design
unique	JJ	unique
elements	NNS	element
into	IN	into
this	DT	this
.	SENT	.
You	PP	you
may	MD	may
have	VB	have
read	VBN	read
that	IN	that
we	PP	we
put	VBD	put
watermarks	NNS	watermark
in	IN	in
.	SENT	.
Think	VB	think
of	IN	of
this	DT	this
:	:	:
we	PP	we
have	VBP	have
a	DT	a
four-	NN	four-
letter	NN	letter
genetic	JJ	genetic
code	NN	code
â	NP	<unknown>
A	NP	A
,	,	,
C	NP	C
,	,	,
G	NP	G
and	CC	and
T	NN	T
.	SENT	.
Triplets	NNS	triplet
of	IN	of
those	DT	those
letters	NNS	letter
code	NN	code
for	IN	for
roughly	RB	roughly
20	CD	@card@
amino	NN	amino
acids	NNS	acid
,	,	,
such	JJ	such
that	IN	that
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
single	JJ	single
letter	NN	letter
designation	NN	designation
for	IN	for
each	DT	each
of	IN	of
the	DT	the
amino	NN	amino
acids	NNS	acid
.	SENT	.
So	RB	so
we	PP	we
can	MD	can
use	VB	use
the	DT	the
genetic	JJ	genetic
code	NN	code
to	TO	to
write	VB	write
out	RP	out
words	NNS	word
,	,	,
sentences	NNS	sentence
,	,	,
thoughts	NNS	thought
.	SENT	.
Initially	RB	initially
,	,	,
all	RB	all
we	PP	we
did	VBD	do
was	VBD	be
autograph	VB	autograph
it	PP	it
.	SENT	.
Some	DT	some
people	NNS	people
were	VBD	be
disappointed	VBN	disappoint
there	EX	there
was	VBD	be
not	RB	not
poetry	NN	poetry
.	SENT	.
We	PP	we
designed	VBD	design
these	DT	these
pieces	NNS	piece
so	IN	so
we	PP	we
can	MD	can
just	RB	just
chew	VB	chew
back	RB	back
with	IN	with
enzymes	NNS	enzyme
;	:	;
there	EX	there
are	VBP	be
enzymes	NNS	enzyme
that	WDT	that
repair	VBP	repair
them	PP	them
and	CC	and
put	VB	put
them	PP	them
together	RB	together
.	SENT	.
And	CC	and
we	PP	we
started	VBD	start
making	VBG	make
pieces	NNS	piece
,	,	,
starting	VBG	start
with	IN	with
pieces	NNS	piece
that	WDT	that
were	VBD	be
5	CD	@card@
,	,	,
000	CD	@card@
to	TO	to
7	CD	@card@
,	,	,
000	CD	@card@
letters	NNS	letter
,	,	,
put	VBD	put
those	DT	those
together	RB	together
to	TO	to
make	VB	make
24	CD	@card@
,	,	,
000-letter	NN	000-letter
pieces	NNS	piece
,	,	,
then	RB	then
put	VBN	put
sets	NNS	set
of	IN	of
those	DT	those
going	VBG	go
up	RP	up
to	TO	to
72	CD	@card@
,	,	,
000	CD	@card@
.	SENT	.
At	IN	at
each	DT	each
stage	NN	stage
,	,	,
we	PP	we
grew	VBD	grow
up	RP	up
these	DT	these
pieces	NNS	piece
in	IN	in
abundance	NN	abundance
so	IN	so
we	PP	we
could	MD	could
sequence	NN	sequence
them	PP	them
because	IN	because
we	PP	we
'	POS	'
re	NN	re
trying	VBG	try
to	TO	to
create	VB	create
a	DT	a
process	NN	process
that	RB	that
'	POS	'
s	NN	S
extremely	RB	extremely
robust	JJ	robust
that	IN	that
you	PP	you
can	MD	can
see	VB	see
in	IN	in
a	DT	a
minute	NN	minute
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
trying	VBG	try
to	TO	to
get	VB	get
to	TO	to
the	DT	the
point	NN	point
of	IN	of
automation	NN	automation
.	SENT	.
So	RB	so
,	,	,
this	DT	this
looks	NNS	look
like	IN	like
a	DT	a
basketball	NN	basketball
playoff	NN	playoff
.	SENT	.
When	WRB	when
we	PP	we
get	VBP	get
into	IN	into
these	DT	these
really	RB	really
large	JJ	large
pieces	NNS	piece
over	IN	over
100	CD	@card@
,	,	,
000	CD	@card@
base	NN	base
pairs	NNS	pair
,	,	,
they	PP	they
won	VBD	win
'	''	'
t	NN	t
any	RB	any
longer	RBR	longer
grow	VB	grow
readily	RB	readily
in	IN	in
E	NP	E
.	SENT	.
coli	NNS	coli
â	NP	<unknown>
it	PP	it
exhausts	VBZ	exhaust
all	PDT	all
the	DT	the
modern	JJ	modern
tools	NNS	tool
of	IN	of
molecular	JJ	molecular
biology	NN	biology
â	NP	<unknown>
and	CC	and
so	RB	so
we	PP	we
turned	VBD	turn
to	TO	to
other	JJ	other
mechanisms	NNS	mechanism
.	SENT	.
We	PP	we
knew	VBD	know
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
mechanism	NN	mechanism
called	VBD	call
homologous	JJ	homologous
recombination	NN	recombination
that	IN	that
biology	NN	biology
uses	VBZ	use
to	TO	to
repair	VB	repair
DNA	NN	DNA
that	WDT	that
can	MD	can
put	VB	put
pieces	NNS	piece
together	RB	together
.	SENT	.
Here	RB	here
'	''	'
s	VBG	<unknown>
an	DT	an
example	NN	example
of	IN	of
it	PP	it
:	:	:
there	EX	there
'	''	'
s	VBG	<unknown>
an	DT	an
organism	NN	organism
called	VBN	call
Deinococcus	NP	<unknown>
radiodurans	NNS	<unknown>
that	WDT	that
can	MD	can
take	VB	take
three	CD	three
millions	NNS	million
rads	NNS	rad
of	IN	of
radiation	NN	radiation
.	SENT	.
You	PP	you
can	MD	can
see	VB	see
in	IN	in
the	DT	the
top	JJ	top
panel	NN	panel
,	,	,
its	PP$	its
chromosome	NN	chromosome
just	RB	just
gets	VBZ	get
blown	VBN	blow
apart	RB	apart
.	SENT	.
Twelve	CD	twelve
to	TO	to
24	CD	@card@
hours	NNS	hour
later	RBR	later
,	,	,
it	PP	it
put	VBD	put
it	PP	it
back	RB	back
together	RB	together
exactly	RB	exactly
as	IN	as
it	PP	it
was	VBD	be
before	RB	before
.	SENT	.
We	PP	we
have	VBP	have
thousands	NNS	thousand
of	IN	of
organisms	NNS	organism
that	WDT	that
can	MD	can
do	VB	do
this	DT	this
.	SENT	.
These	DT	these
organisms	NNS	organism
can	MD	can
be	VB	be
totally	RB	totally
desiccated	VBN	desiccate
;	:	;
they	PP	they
can	MD	can
live	VB	live
in	IN	in
a	DT	a
vacuum	NN	vacuum
.	SENT	.
I	PP	I
am	VBP	be
absolutely	RB	absolutely
certain	JJ	certain
that	IN	that
life	NN	life
can	MD	can
exist	VB	exist
in	IN	in
outer	JJ	outer
space	NN	space
,	,	,
move	VB	move
around	RP	around
,	,	,
find	VB	find
a	DT	a
new	JJ	new
aqueous	JJ	aqueous
environment	NN	environment
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
NASA	NP	NASA
has	VBZ	have
shown	VBN	show
a	DT	a
lot	NN	lot
of	IN	of
this	DT	this
is	VBZ	be
out	RB	out
there	RB	there
.	SENT	.
Here	RB	here
'	''	'
s	VBG	<unknown>
an	DT	an
actual	JJ	actual
micrograph	NN	micrograph
of	IN	of
the	DT	the
molecule	NN	molecule
we	PP	we
built	VBD	build
using	VBG	use
these	DT	these
processes	NNS	process
,	,	,
actually	RB	actually
just	RB	just
using	VBG	use
yeast	NN	yeast
mechanisms	NNS	mechanism
with	IN	with
the	DT	the
right	JJ	right
design	NN	design
of	IN	of
the	DT	the
pieces	NNS	piece
we	PP	we
put	VBP	put
them	PP	them
in	RP	in
;	:	;
yeast	NN	yeast
puts	VBZ	put
them	PP	them
together	RB	together
automatically	RB	automatically
.	SENT	.
This	DT	this
is	VBZ	be
not	RB	not
an	DT	an
electron	NN	electron
micrograph	NN	micrograph
;	:	;
this	DT	this
is	VBZ	be
just	RB	just
a	DT	a
regular	JJ	regular
photomicrograph	NN	photomicrograph
.	SENT	.
It	PP	it
'	POS	'
s	VBG	<unknown>
such	PDT	such
a	DT	a
large	JJ	large
molecule	NN	molecule
we	PP	we
can	MD	can
see	VB	see
it	PP	it
with	IN	with
a	DT	a
light	JJ	light
microscope	NN	microscope
.	SENT	.
These	DT	these
are	VBP	be
pictures	NNS	picture
over	IN	over
about	RB	about
a	DT	a
six-	NN	six-
second	JJ	second
period	NN	period
.	SENT	.
So	RB	so
,	,	,
this	DT	this
is	VBZ	be
the	DT	the
publication	NN	publication
we	PP	we
had	VBD	have
just	RB	just
a	DT	a
short	JJ	short
while	NN	while
ago	RB	ago
.	SENT	.
This	DT	this
is	VBZ	be
over	IN	over
580	CD	@card@
,	,	,
000	CD	@card@
letters	NNS	letter
of	IN	of
genetic	JJ	genetic
code	NN	code
;	:	;
it	PP	it
'	POS	'
s	NN	S
the	DT	the
largest	JJS	large
molecule	NN	molecule
ever	RB	ever
made	VBN	make
by	IN	by
humans	NNS	human
of	IN	of
a	DT	a
defined	VBN	define
structure	NN	structure
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
over	IN	over
300	CD	@card@
million	CD	million
molecular	JJ	molecular
weight	NN	weight
.	SENT	.
If	IN	if
we	PP	we
printed	VBD	print
it	PP	it
out	RP	out
at	IN	at
a	DT	a
10	CD	@card@
font	NN	font
with	IN	with
no	DT	no
spacing	NN	spacing
,	,	,
it	PP	it
takes	VBZ	take
142	CD	@card@
pages	NNS	page
just	RB	just
to	TO	to
print	VB	print
this	DT	this
genetic	JJ	genetic
code	NN	code
.	SENT	.
Well	RB	well
,	,	,
how	WRB	how
do	VBP	do
we	PP	we
boot	VB	boot
up	RP	up
a	DT	a
chromosome	NN	chromosome
?	SENT	?
How	WRB	how
do	VBP	do
we	PP	we
activate	VBP	activate
this	DT	this
?	SENT	?
Obviously	RB	obviously
,	,	,
with	IN	with
a	DT	a
virus	NN	virus
it	PP	it
'	POS	'
s	NN	S
pretty	RB	pretty
simple	JJ	simple
;	:	;
it	PP	it
'	POS	'
s	NN	S
much	RB	much
more	RBR	more
complicated	JJ	complicated
dealing	NN	dealing
with	IN	with
bacteria	NNS	bacterium
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
also	RB	also
simpler	JJR	simple
when	WRB	when
you	PP	you
go	VBP	go
into	IN	into
eukaryotes	NNS	<unknown>
like	IN	like
ourselves	PP	ourselves
:	:	:
you	PP	you
can	MD	can
just	RB	just
pop	VB	pop
out	RP	out
the	DT	the
nucleus	NN	nucleus
and	CC	and
pop	NN	pop
in	IN	in
another	DT	another
one	CD	one
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
you	PP	you
'	POS	'
ve	NN	ve
all	RB	all
heard	VBD	hear
about	RB	about
with	IN	with
cloning	VBG	clon
.	SENT	.
With	IN	with
bacteria	NNS	bacterium
and	CC	and
Archaea	NP	<unknown>
,	,	,
the	DT	the
chromosome	NN	chromosome
is	VBZ	be
integrated	VBN	integrate
into	IN	into
the	DT	the
cell	NN	cell
,	,	,
but	CC	but
we	PP	we
recently	RB	recently
showed	VBD	show
that	IN	that
we	PP	we
can	MD	can
do	VB	do
a	DT	a
complete	JJ	complete
transplant	NN	transplant
of	IN	of
a	DT	a
chromosome	NN	chromosome
from	IN	from
one	CD	one
cell	NN	cell
to	TO	to
another	DT	another
and	CC	and
activate	VBP	activate
it	PP	it
.	SENT	.
We	PP	we
purified	VBD	purify
a	DT	a
chromosome	NN	chromosome
from	IN	from
one	CD	one
microbial	JJ	microbial
species	NNS	specie
â	NP	<unknown>
roughly	RB	roughly
,	,	,
these	DT	these
two	CD	two
are	VBP	be
as	RB	as
distant	JJ	distant
as	IN	as
human	JJ	human
and	CC	and
mice	NNS	mouse
â	NP	<unknown>
we	PP	we
added	VBD	add
a	DT	a
few	JJ	few
extra	JJ	extra
genes	NNS	gene
so	IN	so
we	PP	we
could	MD	could
select	VB	select
for	IN	for
this	DT	this
chromosome	NN	chromosome
,	,	,
we	PP	we
digested	VBD	digest
it	PP	it
with	IN	with
enzymes	NNS	enzyme
to	TO	to
kill	VB	kill
all	PDT	all
the	DT	the
proteins	NNS	protein
,	,	,
and	CC	and
it	PP	it
was	VBD	be
pretty	RB	pretty
stunning	JJ	stunning
when	WRB	when
we	PP	we
put	VBP	put
this	DT	this
in	IN	in
the	DT	the
cell	NN	cell
â	NP	<unknown>
and	CC	and
you	PP	you
'	POS	'
ll	NNS	<unknown>
appreciate	VBP	appreciate
our	PP$	our
very	JJ	very
sophisticated	JJ	sophisticated
graphics	NNS	graphics
here	RB	here
.	SENT	.
The	DT	the
new	JJ	new
chromosome	NN	chromosome
went	VBD	go
into	IN	into
the	DT	the
cell	NN	cell
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
we	PP	we
thought	VBD	think
this	DT	this
might	MD	might
be	VB	be
as	RB	as
far	RB	far
as	IN	as
it	PP	it
went	VBD	go
,	,	,
but	CC	but
we	PP	we
tried	VBD	try
to	TO	to
design	VB	design
the	DT	the
process	NN	process
a	DT	a
little	JJ	little
bit	NN	bit
further	RBR	further
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
major	JJ	major
mechanism	NN	mechanism
of	IN	of
evolution	NN	evolution
right	NN	right
here	RB	here
.	SENT	.
We	PP	we
find	VBP	find
all	DT	all
kinds	NNS	kind
of	IN	of
species	NNS	specie
that	WDT	that
have	VBP	have
taken	VBN	take
up	RP	up
a	DT	a
second	JJ	second
chromosome	NN	chromosome
or	CC	or
a	DT	a
third	JJ	third
one	CD	one
from	IN	from
somewhere	RB	somewhere
,	,	,
adding	VBG	add
thousands	NNS	thousand
of	IN	of
new	JJ	new
traits	NNS	trait
in	IN	in
a	DT	a
second	NN	second
to	TO	to
that	DT	that
species	NN	species
.	SENT	.
So	RB	so
,	,	,
people	NNS	people
who	WP	who
think	VBP	think
of	IN	of
evolution	NN	evolution
as	IN	as
just	RB	just
one	CD	one
gene	NN	gene
changing	VBG	change
at	IN	at
a	DT	a
time	NN	time
have	VBP	have
missed	VBN	miss
much	RB	much
of	IN	of
biology	NN	biology
.	SENT	.
There	EX	there
are	VBP	be
enzymes	NNS	enzyme
called	VBD	call
restriction	NN	restriction
enzymes	NNS	enzyme
that	WDT	that
actually	RB	actually
