Motor	NP	Motor
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
pick	VBP	pick
a	DT	a
bit	NN	bit
of	IN	of
data	NNS	datum
from	IN	from
another	DT	another
three-month-old	JJ	three-month-old
patient	NN	patient
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
child	NN	child
,	,	,
and	CC	and
what	WP	what
you	PP	you
'	POS	'
re	NN	re
seeing	VBG	see
here	RB	here
is	VBZ	be
real	JJ	real
data	NNS	datum
,	,	,
and	CC	and
on	IN	on
the	DT	the
far	RB	far
right-hand	JJ	right-hand
side	NN	side
,	,	,
where	WRB	where
everything	NN	everything
starts	VBZ	start
getting	VBG	get
a	DT	a
little	JJ	little
bit	NN	bit
catastrophic	JJ	catastrophic
,	,	,
that	WDT	that
is	VBZ	be
the	DT	the
patient	NN	patient
going	VBG	go
into	IN	into
cardiac	JJ	cardiac
arrest	NN	arrest
.	SENT	.
It	PP	it
was	VBD	be
deemed	VBN	deem
to	TO	to
be	VB	be
an	DT	an
unpredictable	JJ	unpredictable
event	NN	event
.	SENT	.
This	DT	this
was	VBD	be
a	DT	a
heart	NN	heart
attack	NN	attack
that	IN	that
no	DT	no
one	CD	one
could	MD	could
see	VB	see
coming	VBG	come
.	SENT	.
But	CC	but
when	WRB	when
we	PP	we
look	VBP	look
at	IN	at
the	DT	the
information	NN	information
there	RB	there
,	,	,
we	PP	we
can	MD	can
see	VB	see
that	IN	that
things	NNS	thing
are	VBP	be
starting	VBG	start
to	TO	to
become	VB	become
a	DT	a
little	RB	little
fuzzy	JJ	fuzzy
about	IN	about
five	CD	five
minutes	NNS	minute
or	CC	or
so	RB	so
before	IN	before
the	DT	the
cardiac	JJ	cardiac
arrest	NN	arrest
.	SENT	.
We	PP	we
can	MD	can
see	VB	see
small	JJ	small
changes	NNS	change
in	IN	in
things	NNS	thing
like	IN	like
the	DT	the
heart	NN	heart
rate	NN	rate
moving	VBG	move
.	SENT	.
These	DT	these
were	VBD	be
all	RB	all
undetected	JJ	undetected
by	IN	by
normal	JJ	normal
thresholds	NNS	threshold
which	WDT	which
would	MD	would
be	VB	be
applied	VBN	apply
to	TO	to
data	NNS	datum
.	SENT	.
So	IN	so
the	DT	the
question	NN	question
is	VBZ	be
,	,	,
why	WRB	why
couldn	NNS	<unknown>
'	POS	'
t	NN	t
we	PP	we
see	VBP	see
it	PP	it
?	SENT	?
Was	VBD	be
this	DT	this
a	DT	a
predictable	JJ	predictable
event	NN	event
?	SENT	?
Can	MD	can
we	PP	we
look	VB	look
more	RBR	more
at	IN	at
the	DT	the
patterns	NNS	pattern
in	IN	in
the	DT	the
data	NNS	datum
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
do	VB	do
things	NNS	thing
better	RBR	well
?	SENT	?
So	RB	so
this	DT	this
is	VBZ	be
a	DT	a
child	NN	child
,	,	,
about	IN	about
the	DT	the
same	JJ	same
age	NN	age
as	IN	as
the	DT	the
racing	VBG	race
car	NN	car
on	IN	on
stage	NN	stage
,	,	,
three	CD	three
months	NNS	month
old	JJ	old
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
a	DT	a
patient	NN	patient
with	IN	with
a	DT	a
heart	NN	heart
problem	NN	problem
.	SENT	.
Now	RB	now
,	,	,
when	WRB	when
you	PP	you
look	VBP	look
at	IN	at
some	DT	some
of	IN	of
the	DT	the
data	NNS	datum
on	IN	on
the	DT	the
screen	NN	screen
above	RB	above
,	,	,
things	NNS	thing
like	IN	like
heart	NN	heart
rate	NN	rate
,	,	,
pulse	NN	pulse
,	,	,
oxygen	NN	oxygen
,	,	,
respiration	NN	respiration
rates	NNS	rate
,	,	,
they	PP	they
'	POS	'
re	NN	re
all	RB	all
unusual	JJ	unusual
for	IN	for
a	DT	a
normal	JJ	normal
child	NN	child
,	,	,
but	CC	but
they	PP	they
'	POS	'
re	NN	re
quite	RB	quite
normal	JJ	normal
for	IN	for
the	DT	the
child	NN	child
there	RB	there
,	,	,
and	CC	and
so	RB	so
one	CD	one
of	IN	of
the	DT	the
challenges	NNS	challenge
you	PP	you
have	VBP	have
in	IN	in
health	NN	health
care	NN	care
is	VBZ	be
,	,	,
how	WRB	how
can	MD	can
I	PP	I
look	VB	look
at	IN	at
the	DT	the
patient	NN	patient
in	IN	in
front	NN	front
of	IN	of
me	PP	me
,	,	,
have	VBP	have
something	NN	something
which	WDT	which
is	VBZ	be
specific	JJ	specific
for	IN	for
her	PP	her
,	,	,
and	CC	and
be	VB	be
able	JJ	able
to	TO	to
detect	VB	detect
when	WRB	when
things	NNS	thing
start	VBP	start
to	TO	to
change	VB	change
,	,	,
when	WRB	when
things	NNS	thing
start	VBP	start
to	TO	to
deteriorate	VB	deteriorate
?	SENT	?
Because	IN	because
like	IN	like
a	DT	a
racing	NN	racing
car	NN	car
,	,	,
any	DT	any
patient	NN	patient
,	,	,
when	WRB	when
things	NNS	thing
start	VBP	start
to	TO	to
go	VB	go
bad	JJ	bad
,	,	,
you	PP	you
have	VBP	have
a	DT	a
short	JJ	short
time	NN	time
to	TO	to
make	VB	make
a	DT	a
difference	NN	difference
.	SENT	.
So	RB	so
what	WP	what
we	PP	we
did	VBD	do
is	VBZ	be
we	PP	we
took	VBD	take
a	DT	a
data	NN	data
system	NN	system
which	WDT	which
we	PP	we
run	VBP	run
every	DT	every
two	CD	two
weeks	NNS	week
of	IN	of
the	DT	the
year	NN	year
in	IN	in
Formula	NN	formula
1	CD	@card@
and	CC	and
we	PP	we
installed	VBD	install
it	PP	it
on	IN	on
the	DT	the
hospital	NN	hospital
computers	NNS	computer
at	IN	at
Birmingham	NP	Birmingham
Children	NP	Children
'	POS	'
s	NN	S
Hospital	NN	hospital
.	SENT	.
We	PP	we
streamed	VBD	stream
data	NNS	datum
from	IN	from
the	DT	the
bedside	NN	bedside
instruments	NNS	instrument
in	IN	in
their	PP$	their
pediatric	JJ	pediatric
intensive	JJ	intensive
care	NN	care
so	RB	so
that	IN	that
we	PP	we
could	MD	could
both	CC	both
look	VB	look
at	IN	at
the	DT	the
data	NNS	datum
in	IN	in
real	JJ	real
time	NN	time
and	CC	and
,	,	,
more	RBR	more
importantly	RB	importantly
,	,	,
to	TO	to
store	VB	store
the	DT	the
data	NNS	datum
so	RB	so
that	IN	that
we	PP	we
could	MD	could
start	VB	start
to	TO	to
learn	VB	learn
from	IN	from
it	PP	it
.	SENT	.
And	CC	and
then	RB	then
,	,	,
we	PP	we
applied	VBD	apply
an	DT	an
application	NN	application
on	IN	on
top	NN	top
which	WDT	which
would	MD	would
allow	VB	allow
us	PP	us
to	TO	to
tease	VB	tease
out	RP	out
the	DT	the
patterns	NNS	pattern
in	IN	in
the	DT	the
data	NNS	datum
in	IN	in
real	JJ	real
time	NN	time
so	IN	so
we	PP	we
could	MD	could
see	VB	see
what	WP	what
was	VBD	be
happening	VBG	happen
,	,	,
so	RB	so
we	PP	we
could	MD	could
determine	VB	determine
when	WRB	when
things	NNS	thing
started	VBD	start
to	TO	to
change	VB	change
.	SENT	.
Now	RB	now
,	,	,
in	IN	in
motor	NN	motor
racing	NN	racing
,	,	,
we	PP	we
'	POS	'
re	IN	re
all	PDT	all
a	DT	a
little	JJ	little
bit	NN	bit
ambitious	JJ	ambitious
,	,	,
audacious	JJ	audacious
,	,	,
a	DT	a
little	JJ	little
bit	NN	bit
arrogant	JJ	arrogant
sometimes	RB	sometimes
,	,	,
so	RB	so
we	PP	we
decided	VBD	decide
we	PP	we
would	MD	would
also	RB	also
look	VB	look
at	IN	at
the	DT	the
children	NNS	child
as	IN	as
they	PP	they
were	VBD	be
being	VBG	be
transported	VBN	transport
to	TO	to
intensive	JJ	intensive
care	NN	care
.	SENT	.
Why	WRB	why
should	MD	should
we	PP	we
wait	VB	wait
until	IN	until
they	PP	they
arrived	VBD	arrive
in	IN	in
the	DT	the
hospital	NN	hospital
before	IN	before
we	PP	we
started	VBD	start
to	TO	to
look	VB	look
?	SENT	?
And	CC	and
so	RB	so
we	PP	we
installed	VBD	install
a	DT	a
real-time	JJ	real-time
link	NN	link
between	IN	between
the	DT	the
ambulance	NN	ambulance
and	CC	and
the	DT	the
hospital	NN	hospital
,	,	,
just	RB	just
using	VBG	use
normal	JJ	normal
3G	JJ	<unknown>
telephony	NN	telephony
to	TO	to
send	VB	send
that	IN	that
data	NNS	datum
so	RB	so
that	IN	that
the	DT	the
ambulance	NN	ambulance
became	VBD	become
an	DT	an
extra	JJ	extra
bed	NN	bed
in	IN	in
intensive	JJ	intensive
care	NN	care
.	SENT	.
And	CC	and
then	RB	then
we	PP	we
started	VBD	start
looking	VBG	look
at	IN	at
the	DT	the
data	NNS	datum
.	SENT	.
So	IN	so
the	DT	the
wiggly	JJ	wiggly
lines	NNS	line
at	IN	at
the	DT	the
top	NN	top
,	,	,
all	PDT	all
the	DT	the
colors	NNS	color
,	,	,
this	DT	this
is	VBZ	be
the	DT	the
normal	JJ	normal
sort	NN	sort
of	IN	of
data	NNS	datum
you	PP	you
would	MD	would
see	VB	see
on	IN	on
a	DT	a
monitor	NN	monitor
—	:	-
heart	NN	heart
rate	NN	rate
,	,	,
pulse	NN	pulse
,	,	,
oxygen	NN	oxygen
within	IN	within
the	DT	the
blood	NN	blood
,	,	,
and	CC	and
respiration	NN	respiration
.	SENT	.
The	DT	the
lines	NNS	line
on	IN	on
the	DT	the
bottom	NN	bottom
,	,	,
the	DT	the
blue	NN	blue
and	CC	and
the	DT	the
red	NN	red
,	,	,
these	DT	these
are	VBP	be
the	DT	the
interesting	JJ	interesting
ones	NNS	one
.	SENT	.
The	DT	the
red	JJ	red
line	NN	line
is	VBZ	be
showing	VBG	show
an	DT	an
automated	JJ	automated
version	NN	version
of	IN	of
the	DT	the
early	JJ	early
warning	NN	warning
score	NN	score
that	IN	that
Birmingham	NP	Birmingham
Children	NP	Children
'	POS	'
s	NN	S
Hospital	NN	hospital
were	VBD	be
already	RB	already
running	VBG	run
.	SENT	.
They	PP	they
'	''	'
d	SYM	d
been	VBN	be
running	VBG	run
that	IN	that
since	IN	since
2008	CD	@card@
,	,	,
and	CC	and
already	RB	already
have	VBP	have
stopped	VBN	stop
cardiac	JJ	cardiac
arrests	NNS	arrest
and	CC	and
distress	NN	distress
within	IN	within
the	DT	the
hospital	NN	hospital
.	SENT	.
The	DT	the
blue	JJ	blue
line	NN	line
is	VBZ	be
an	DT	an
indication	NN	indication
of	IN	of
when	WRB	when
patterns	NNS	pattern
start	VBP	start
to	TO	to
change	VB	change
,	,	,
and	CC	and
immediately	RB	immediately
,	,	,
before	IN	before
we	PP	we
even	RB	even
started	VBD	start
putting	VBG	put
in	IN	in
clinical	JJ	clinical
interpretation	NN	interpretation
,	,	,
we	PP	we
can	MD	can
see	VB	see
that	IN	that
the	DT	the
data	NN	data
is	VBZ	be
speaking	VBG	speak
to	TO	to
us	PP	us
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
telling	VBG	tell
us	PP	us
that	DT	that
something	NN	something
is	VBZ	be
going	VBG	go
wrong	JJ	wrong
.	SENT	.
The	DT	the
plot	NN	plot
with	IN	with
the	DT	the
red	NN	red
and	CC	and
the	DT	the
green	JJ	green
blobs	NNS	blob
,	,	,
this	DT	this
is	VBZ	be
plotting	VBG	plot
different	JJ	different
components	NNS	component
of	IN	of
the	DT	the
data	NNS	datum
against	IN	against
each	DT	each
other	JJ	other
.	SENT	.
The	DT	the
green	NN	green
is	VBZ	be
us	PP	us
learning	VBG	learn
what	WP	what
is	VBZ	be
normal	JJ	normal
for	IN	for
that	DT	that
child	NN	child
.	SENT	.
We	PP	we
call	VBP	call
it	PP	it
the	DT	the
cloud	NN	cloud
of	IN	of
normality	NN	normality
.	SENT	.
And	CC	and
when	WRB	when
things	NNS	thing
start	VBP	start
to	TO	to
change	VB	change
,	,	,
when	WRB	when
conditions	NNS	condition
start	VBP	start
to	TO	to
deteriorate	VB	deteriorate
,	,	,
we	PP	we
move	VBP	move
into	IN	into
the	DT	the
red	JJ	red
line	NN	line
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
rocket	NN	rocket
science	NN	science
here	RB	here
.	SENT	.
It	PP	it
is	VBZ	be
displaying	VBG	display
data	NNS	datum
that	WDT	that
exists	VBZ	exist
already	RB	already
in	IN	in
a	DT	a
different	JJ	different
way	NN	way
,	,	,
to	TO	to
amplify	VB	amplify
it	PP	it
,	,	,
to	TO	to
provide	VB	provide
cues	NNS	cue
to	TO	to
the	DT	the
doctors	NNS	doctor
,	,	,
to	TO	to
the	DT	the
nurses	NNS	nurse
,	,	,
so	RB	so
they	PP	they
can	MD	can
see	VB	see
what	WP	what
'	POS	'
s	NN	S
happening	NN	happening
.	SENT	.
In	IN	in
the	DT	the
same	JJ	same
way	NN	way
that	IN	that
a	DT	a
good	JJ	good
racing	NN	racing
driver	NN	driver
relies	VBZ	rely
on	IN	on
cues	NNS	cue
to	TO	to
decide	VB	decide
when	WRB	when
to	TO	to
apply	VB	apply
the	DT	the
brakes	NNS	brake
,	,	,
when	WRB	when
to	TO	to
turn	VB	turn
into	IN	into
a	DT	a
corner	NN	corner
,	,	,
we	PP	we
need	VBP	need
to	TO	to
help	VB	help
our	PP$	our
physicians	NNS	physician
and	CC	and
our	PP$	our
nurses	NNS	nurse
to	TO	to
see	VB	see
when	WRB	when
things	NNS	thing
are	VBP	be
starting	VBG	start
to	TO	to
go	VB	go
wrong	JJ	wrong
.	SENT	.
So	RB	so
we	PP	we
have	VBP	have
a	DT	a
very	RB	very
ambitious	JJ	ambitious
program	NN	program
.	SENT	.
We	PP	we
think	VBP	think
that	IN	that
the	DT	the
race	NN	race
is	VBZ	be
on	IN	on
to	TO	to
do	VB	do
something	NN	something
differently	RB	differently
.	SENT	.
We	PP	we
are	VBP	be
thinking	VBG	think
big	JJ	big
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
the	DT	the
right	JJ	right
thing	NN	thing
to	TO	to
do	VB	do
.	SENT	.
We	PP	we
have	VBP	have
an	DT	an
approach	NN	approach
which	WDT	which
,	,	,
if	IN	if
it	PP	it
'	POS	'
s	NNS	<unknown>
successful	JJ	successful
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
reason	NN	reason
why	WRB	why
it	PP	it
should	MD	should
stay	VB	stay
within	IN	within
a	DT	a
hospital	NN	hospital
.	SENT	.
It	PP	it
can	MD	can
go	VB	go
beyond	IN	beyond
the	DT	the
walls	NNS	wall
.	SENT	.
With	IN	with
wireless	NN	wireless
connectivity	NN	connectivity
these	DT	these
days	NNS	day
,	,	,
there	EX	there
is	VBZ	be
no	DT	no
reason	NN	reason
why	WRB	why
patients	NNS	patient
,	,	,
doctors	NNS	doctor
and	CC	and
nurses	NNS	nurse
always	RB	always
have	VB	have
to	TO	to
be	VB	be
in	IN	in
the	DT	the
same	JJ	same
place	NN	place
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
.	SENT	.
And	CC	and
meanwhile	RB	meanwhile
,	,	,
we	PP	we
'	POS	'
ll	NNS	<unknown>
take	VBP	take
our	PP$	our
little	JJ	little
three-month-old	JJ	three-month-old
baby	NN	baby
,	,	,
keep	VB	keep
taking	VBG	take
it	PP	it
to	TO	to
the	DT	the
track	NN	track
,	,	,
keeping	VBG	keep
it	PP	it
safe	JJ	safe
,	,	,
and	CC	and
making	VBG	make
it	PP	it
faster	JJR	fast
and	CC	and
better	JJR	good
.	SENT	.
Thank	VB	thank
you	PP	you
very	RB	very
much	RB	much
.	SENT	.
