B	LS	b
hustles	NNS	hustle
,	,	,
like	IN	like
you	PP	you
run	VBP	run
a	DT	a
barbershop	NN	barbershop
out	RP	out
of	IN	of
your	PP$	your
cell	NN	cell
.	SENT	.
There	EX	there
'	POS	'
s	NN	S
pretty	RB	pretty
illegal	JJ	illegal
hustles	NNS	hustle
:	:	:
You	PP	you
run	VBP	run
a	DT	a
tattoo	NN	tattoo
parlor	NN	parlor
out	IN	out
of	IN	of
your	PP$	your
own	JJ	own
cell	NN	cell
.	SENT	.
And	CC	and
there	EX	there
'	''	'
s	NNS	<unknown>
very	RB	very
illegal	JJ	illegal
hustles	NNS	hustle
,	,	,
which	WDT	which
you	PP	you
smuggle	VBP	smuggle
in	IN	in
,	,	,
you	PP	you
get	VBP	get
smuggled	VBN	smuggle
in	IN	in
,	,	,
drugs	NNS	drug
,	,	,
pornography	NN	pornography
,	,	,
cell	NN	cell
phones	NNS	phone
,	,	,
and	CC	and
just	RB	just
as	RB	as
in	IN	in
the	DT	the
outer	JJ	outer
world	NN	world
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
risk-reward	NN	risk-reward
tradeoff	NN	tradeoff
,	,	,
so	RB	so
the	DT	the
riskier	JJR	risky
the	DT	the
enterprise	NN	enterprise
,	,	,
the	DT	the
more	RBR	more
profitable	JJ	profitable
it	PP	it
can	MD	can
potentially	RB	potentially
be	VB	be
.	SENT	.
You	PP	you
want	VBP	want
a	DT	a
cigarette	NN	cigarette
in	IN	in
prison	NN	prison
?	SENT	?
Three	CD	three
to	TO	to
five	CD	five
dollars	NNS	dollar
.	SENT	.
You	PP	you
want	VBP	want
an	DT	an
old-fashioned	JJ	old-fashioned
cell	NN	cell
phone	NN	phone
that	IN	that
you	PP	you
flip	VB	flip
open	RP	open
and	CC	and
is	VBZ	be
about	RB	about
as	RB	as
big	JJ	big
as	IN	as
your	PP$	your
head	NN	head
?	SENT	?
Three	CD	three
hundred	CD	hundred
bucks	NNS	buck
.	SENT	.
You	PP	you
want	VBP	want
a	DT	a
dirty	JJ	dirty
magazine	NN	magazine
?	SENT	?
Well	RB	well
,	,	,
it	PP	it
can	MD	can
be	VB	be
as	RB	as
much	JJ	much
as	IN	as
1	CD	@card@
,	,	,
000	CD	@card@
dollars	NNS	dollar
.	SENT	.
So	RB	so
as	IN	as
you	PP	you
can	MD	can
probably	RB	probably
tell	VB	tell
,	,	,
one	CD	one
of	IN	of
the	DT	the
defining	VBG	define
aspects	NNS	aspect
of	IN	of
prison	NN	prison
life	NN	life
is	VBZ	be
ingenuity	NN	ingenuity
.	SENT	.
Whether	IN	whether
it	PP	it
was	VBD	be
concocting	VBG	concoct
delicious	JJ	delicious
meals	NNS	meal
from	IN	from
stolen	JJ	stolen
scraps	NNS	scrap
from	IN	from
the	DT	the
warehouse	NN	warehouse
,	,	,
sculpting	VBG	sculpt
people	NNS	people
'	POS	'
s	NN	S
hair	NN	hair
with	IN	with
toenail	NN	toenail
clippers	NNS	clipper
,	,	,
or	CC	or
constructing	VBG	construct
weights	NNS	weight
from	IN	from
boulders	NNS	boulder
in	IN	in
laundry	NN	laundry
bags	NNS	bag
tied	VBN	tie
on	IN	on
to	TO	to
tree	NN	tree
limbs	NNS	limb
,	,	,
prisoners	NNS	prisoner
learn	VBP	learn
how	WRB	how
to	TO	to
make	VB	make
do	VB	do
with	IN	with
less	JJR	less
,	,	,
and	CC	and
many	JJ	many
of	IN	of
them	PP	them
want	VBP	want
to	TO	to
take	VB	take
this	DT	this
ingenuity	NN	ingenuity
that	IN	that
they	PP	they
'	POS	'
ve	NN	ve
learned	VBD	learn
to	TO	to
the	DT	the
outside	NN	outside
and	CC	and
start	NN	start
restaurants	NNS	restaurant
,	,	,
barber	NN	barber
shops	NNS	shop
,	,	,
personal	JJ	personal
training	NN	training
businesses	NNS	business
.	SENT	.
But	CC	but
there	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
training	NN	training
,	,	,
nothing	NN	nothing
to	TO	to
prepare	VB	prepare
them	PP	them
for	IN	for
that	DT	that
,	,	,
no	DT	no
rehabilitation	NN	rehabilitation
at	IN	at
all	DT	all
in	IN	in
prison	NN	prison
,	,	,
no	RB	no
one	CD	one
to	TO	to
help	VB	help
them	PP	them
write	VB	write
a	DT	a
business	NN	business
plan	NN	plan
,	,	,
figure	NN	figure
out	IN	out
a	DT	a
way	NN	way
to	TO	to
translate	VB	translate
the	DT	the
business	NN	business
concepts	NNS	concept
they	PP	they
intuitively	RB	intuitively
grasp	VBP	grasp
into	IN	into
legal	JJ	legal
enterprises	NNS	enterprise
,	,	,
no	DT	no
access	NN	access
to	TO	to
the	DT	the
Internet	NN	Internet
,	,	,
even	RB	even
.	SENT	.
And	CC	and
then	RB	then
,	,	,
when	WRB	when
they	PP	they
come	VBP	come
out	RP	out
,	,	,
most	JJS	most
states	NNS	state
don	NN	don
'	POS	'
t	NN	t
even	RB	even
have	VBP	have
a	DT	a
law	NN	law
prohibiting	VBG	prohibit
employers	NNS	employer
from	IN	from
discriminating	VBG	discriminate
against	IN	against
people	NNS	people
with	IN	with
a	DT	a
background	NN	background
.	SENT	.
So	IN	so
none	NN	none
of	IN	of
us	PP	us
should	MD	should
be	VB	be
surprised	VBN	surprise
that	IN	that
two	CD	two
out	RP	out
of	IN	of
three	CD	three
ex-	NN	ex-
offenders	NNS	offender
re-offend	VBP	re-offend
within	IN	within
five	CD	five
years	NNS	year
.	SENT	.
Look	VB	look
,	,	,
I	PP	I
lied	VBD	lie
to	TO	to
the	DT	the
Feds	NNS	fed
.	SENT	.
I	PP	I
lost	VBD	lose
a	DT	a
year	NN	year
of	IN	of
my	PP$	my
life	NN	life
from	IN	from
it	PP	it
.	SENT	.
But	CC	but
when	WRB	when
I	PP	I
came	VBD	come
out	RP	out
,	,	,
I	PP	I
vowed	VBD	vow
that	IN	that
I	PP	I
was	VBD	be
going	VBG	go
to	TO	to
do	VB	do
whatever	WDT	whatever
I	PP	I
could	MD	could
to	TO	to
make	VB	make
sure	JJ	sure
that	IN	that
guys	NNS	guy
like	IN	like
the	DT	the
ones	NNS	one
I	PP	I
was	VBD	be
locked	VBN	lock
up	RP	up
with	IN	with
didn	NN	<unknown>
'	''	'
t	NN	t
have	VBP	have
to	TO	to
waste	VB	waste
any	DT	any
more	JJR	more
of	IN	of
their	PP$	their
life	NN	life
than	IN	than
they	PP	they
already	RB	already
had	VBD	have
.	SENT	.
So	RB	so
I	PP	I
hope	VBP	hope
that	IN	that
you	PP	you
'	POS	'
ll	NNS	<unknown>
think	VBP	think
about	RB	about
helping	VBG	help
in	IN	in
some	DT	some
way	NN	way
.	SENT	.
The	DT	the
best	JJS	good
thing	NN	thing
we	PP	we
can	MD	can
do	VB	do
is	VBZ	be
figure	VB	figure
out	RP	out
ways	NNS	way
to	TO	to
nurture	VB	nurture
the	DT	the
entrepreneurial	JJ	entrepreneurial
spirit	NN	spirit
and	CC	and
the	DT	the
tremendous	JJ	tremendous
untapped	JJ	untapped
potential	NN	potential
in	IN	in
our	PP$	our
prisons	NNS	prison
,	,	,
because	IN	because
if	IN	if
we	PP	we
don	NN	don
'	POS	'
t	NN	t
,	,	,
they	PP	they
'	POS	'
re	NN	re
not	RB	not
going	VBG	go
to	TO	to
learn	VB	learn
any	DT	any
new	JJ	new
skills	NNS	skill
that	WDT	that
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
help	VB	help
them	PP	them
,	,	,
and	CC	and
they	PP	they
'	POS	'
ll	NNS	<unknown>
be	VB	be
right	RB	right
back	RB	back
.	SENT	.
All	RB	all
they	PP	they
'	POS	'
ll	NNS	<unknown>
learn	VBP	learn
on	IN	on
the	DT	the
inside	NN	inside
is	VBZ	be
new	JJ	new
hustles	NNS	hustle
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
