Here	RB	here
of	IN	of
life	NN	life
:	:	:
personal	JJ	personal
relations	NNS	relation
,	,	,
family	NN	family
life	NN	life
,	,	,
health	NN	health
,	,	,
education	NN	education
,	,	,
politics	NNS	politics
,	,	,
law	NN	law
,	,	,
civic	JJ	civic
life	NN	life
.	SENT	.
Now	RB	now
,	,	,
why	WRB	why
worry	VBP	worry
?	SENT	?
Why	WRB	why
worry	VBP	worry
about	IN	about
our	PP$	our
becoming	VBG	become
market	NN	market
societies	NNS	society
?	SENT	?
For	IN	for
two	CD	two
reasons	NNS	reason
,	,	,
I	PP	I
think	VBP	think
.	SENT	.
One	CD	one
of	IN	of
them	PP	them
has	VBZ	have
to	TO	to
do	VB	do
with	IN	with
inequality	NN	inequality
.	SENT	.
The	DT	the
more	JJR	more
things	NNS	thing
money	NN	money
can	MD	can
buy	VB	buy
,	,	,
the	DT	the
more	JJR	more
affluence	NN	affluence
,	,	,
or	CC	or
the	DT	the
lack	NN	lack
of	IN	of
it	PP	it
,	,	,
matters	NNS	matter
.	SENT	.
If	IN	if
the	DT	the
only	JJ	only
thing	NN	thing
that	IN	that
money	NN	money
determined	VBN	determine
was	VBD	be
access	NN	access
to	TO	to
yachts	NNS	yacht
or	CC	or
fancy	JJ	fancy
vacations	NNS	vacation
or	CC	or
BMWs	NNS	BMW
,	,	,
then	RB	then
inequality	NN	inequality
wouldn	NN	<unknown>
'	POS	'
t	NN	t
matter	NN	matter
very	RB	very
much	RB	much
.	SENT	.
But	CC	but
when	WRB	when
money	NN	money
comes	VBZ	come
increasingly	RB	increasingly
to	TO	to
govern	VB	govern
access	NN	access
to	TO	to
the	DT	the
essentials	NNS	essential
of	IN	of
the	DT	the
good	JJ	good
life	NN	life
—	:	-
decent	JJ	decent
health	NN	health
care	NN	care
,	,	,
access	NN	access
to	TO	to
the	DT	the
best	JJS	good
education	NN	education
,	,	,
political	JJ	political
voice	NN	voice
and	CC	and
influence	NN	influence
in	IN	in
campaigns	NNS	campaign
—	:	-
when	WRB	when
money	NN	money
comes	VBZ	come
to	TO	to
govern	VB	govern
all	DT	all
of	IN	of
those	DT	those
things	NNS	thing
,	,	,
inequality	NN	inequality
matters	VBZ	matter
a	DT	a
great	JJ	great
deal	NN	deal
.	SENT	.
And	CC	and
so	RB	so
the	DT	the
marketization	NN	marketization
of	IN	of
everything	NN	everything
sharpens	VBZ	sharpen
the	DT	the
sting	NN	sting
of	IN	of
inequality	NN	inequality
and	CC	and
its	PP$	its
social	JJ	social
and	CC	and
civic	JJ	civic
consequence	NN	consequence
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
one	CD	one
reason	NN	reason
to	TO	to
worry	VB	worry
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
second	JJ	second
reason	NN	reason
apart	RB	apart
from	IN	from
the	DT	the
worry	NN	worry
about	IN	about
inequality	NN	inequality
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
this	DT	this
:	:	:
with	IN	with
some	DT	some
social	JJ	social
goods	NNS	good
and	CC	and
practices	NNS	practice
,	,	,
when	WRB	when
market	NN	market
thinking	NN	thinking
and	CC	and
market	NN	market
values	NNS	value
enter	VBP	enter
,	,	,
they	PP	they
may	MD	may
change	VB	change
the	DT	the
meaning	NN	meaning
of	IN	of
those	DT	those
practices	NNS	practice
and	CC	and
crowd	NN	crowd
out	IN	out
attitudes	NNS	attitude
and	CC	and
norms	NNS	norm
worth	JJ	worth
caring	NN	caring
about	RB	about
.	SENT	.
I	NP	I
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
take	VB	take
an	DT	an
example	NN	example
of	IN	of
a	DT	a
controversial	JJ	controversial
use	NN	use
of	IN	of
a	DT	a
market	NN	market
mechanism	NN	mechanism
,	,	,
a	DT	a
cash	NN	cash
incentive	NN	incentive
,	,	,
and	CC	and
see	VB	see
what	WP	what
you	PP	you
think	VBP	think
about	IN	about
it	PP	it
.	SENT	.
Many	JJ	many
schools	NNS	school
struggle	NN	struggle
with	IN	with
the	DT	the
challenge	NN	challenge
of	IN	of
motivating	VBG	motivate
kids	NNS	kid
,	,	,
especially	RB	especially
kids	NNS	kid
from	IN	from
disadvantaged	JJ	disadvantaged
backgrounds	NNS	background
,	,	,
to	TO	to
study	VB	study
hard	RB	hard
,	,	,
to	TO	to
do	VB	do
well	RB	well
in	IN	in
school	NN	school
,	,	,
to	TO	to
apply	VB	apply
themselves	PP	themselves
.	SENT	.
Some	DT	some
economists	NNS	economist
have	VBP	have
proposed	VBN	propose
a	DT	a
market	NN	market
solution	NN	solution
:	:	:
Offer	NN	offer
cash	NN	cash
incentives	NNS	incentive
to	TO	to
kids	NNS	kid
for	IN	for
getting	VBG	get
good	JJ	good
grades	NNS	grade
or	CC	or
high	JJ	high
test	NN	test
scores	NNS	score
or	CC	or
for	IN	for
reading	VBG	read
books	NNS	book
.	SENT	.
They	PP	they
'	POS	'
ve	NN	ve
tried	VBD	try
this	DT	this
,	,	,
actually	RB	actually
.	SENT	.
They	PP	they
'	POS	'
ve	NN	ve
done	VBN	do
some	DT	some
experiments	NNS	experiment
in	IN	in
some	DT	some
major	JJ	major
American	JJ	American
cities	NNS	city
.	SENT	.
In	IN	in
New	NP	New
York	NP	York
,	,	,
in	IN	in
Chicago	NP	Chicago
,	,	,
in	IN	in
Washington	NP	Washington
,	,	,
D	NP	D
.	SENT	.
C	LS	c
.	SENT	.
,	,	,
they	PP	they
'	POS	'
ve	NN	ve
tried	VBD	try
this	DT	this
,	,	,
offering	VBG	offer
50	CD	@card@
dollars	NNS	dollar
for	IN	for
an	DT	an
A	NP	A
,	,	,
35	CD	@card@
dollars	NNS	dollar
for	IN	for
a	DT	a
B	NP	B
.	SENT	.
In	IN	in
Dallas	NP	Dallas
,	,	,
Texas	NP	Texas
,	,	,
they	PP	they
have	VBP	have
a	DT	a
program	NN	program
that	WDT	that
offers	VBZ	offer
eight-	NN	eight-
year-olds	NNS	<unknown>
two	CD	two
dollars	NNS	dollar
for	IN	for
each	DT	each
book	NN	book
they	PP	they
read	VBD	read
.	SENT	.
So	RB	so
let	VB	let
'	''	'
s	NNS	<unknown>
see	VBP	see
what	WP	what
—	:	-
Some	DT	some
people	NNS	people
are	VBP	be
in	IN	in
favor	NN	favor
,	,	,
some	DT	some
people	NNS	people
are	VBP	be
opposed	VBN	oppose
to	TO	to
this	DT	this
cash	NN	cash
incentive	NN	incentive
to	TO	to
motivate	VB	motivate
achievement	NN	achievement
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
see	VBP	see
what	WP	what
people	NNS	people
here	RB	here
think	VBP	think
about	IN	about
it	PP	it
.	SENT	.
Imagine	VB	imagine
that	IN	that
you	PP	you
are	VBP	be
the	DT	the
head	NN	head
of	IN	of
a	DT	a
major	JJ	major
school	NN	school
system	NN	system
,	,	,
and	CC	and
someone	NN	someone
comes	VBZ	come
to	TO	to
you	PP	you
with	IN	with
this	DT	this
proposal	NN	proposal
.	SENT	.
And	CC	and
let	VB	let
'	''	'
s	NNS	<unknown>
say	VBP	say
it	PP	it
'	''	'
s	VBG	<unknown>
a	DT	a
foundation	NN	foundation
.	SENT	.
They	PP	they
will	MD	will
provide	VB	provide
the	DT	the
funds	NNS	fund
.	SENT	.
You	PP	you
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
take	VB	take
it	PP	it
out	RP	out
of	IN	of
your	PP$	your
budget	NN	budget
.	SENT	.
How	WRB	how
many	RB	many
would	MD	would
be	VB	be
in	IN	in
favor	NN	favor
and	CC	and
how	WRB	how
many	RB	many
would	MD	would
be	VB	be
opposed	VBN	oppose
to	TO	to
giving	VBG	give
it	PP	it
a	DT	a
try	VBP	try
?	SENT	?
Let	NP	Let
'	POS	'
s	NNS	<unknown>
see	VBP	see
by	IN	by
a	DT	a
show	NN	show
of	IN	of
hands	NNS	hand
.	SENT	.
First	RB	first
,	,	,
how	WRB	how
many	RB	many
think	VBP	think
it	PP	it
might	MD	might
at	IN	at
least	JJS	least
be	VB	be
worth	JJ	worth
a	DT	a
try	NN	try
to	TO	to
see	VB	see
if	IN	if
it	PP	it
would	MD	would
work	VB	work
?	SENT	?
Raise	VB	raise
your	PP$	your
hand	NN	hand
.	SENT	.
And	CC	and
how	WRB	how
many	RB	many
would	MD	would
be	VB	be
opposed	VBN	oppose
?	SENT	?
How	WRB	how
many	RB	many
would	MD	would
—	:	-
So	RB	so
the	DT	the
majority	NN	majority
here	RB	here
are	VBP	be
opposed	VBN	oppose
,	,	,
but	CC	but
a	DT	a
sizable	JJ	sizable
minority	NN	minority
are	VBP	be
in	IN	in
favor	NN	favor
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
have	VBP	have
a	DT	a
discussion	NN	discussion
.	SENT	.
Let	NP	Let
'	POS	'
s	JJ	<unknown>
start	NN	start
with	IN	with
those	DT	those
of	IN	of
you	PP	you
who	WP	who
object	NN	object
,	,	,
who	WP	who
would	MD	would
rule	VB	rule
it	PP	it
out	RP	out
even	RB	even
before	IN	before
trying	VBG	try
.	SENT	.
What	WP	what
would	MD	would
be	VB	be
your	PP$	your
reason	NN	reason
?	SENT	?
Who	WP	who
will	MD	will
get	VB	get
our	PP$	our
discussion	NN	discussion
started	VBD	start
?	SENT	?
Yes	UH	yes
?	SENT	?
Heike	NP	Heike
Moses	NP	Moses
:	:	:
Hello	UH	hello
everyone	NN	everyone
,	,	,
I	PP	I
'	POS	'
m	NN	m
Heike	NP	Heike
,	,	,
and	CC	and
I	PP	I
think	VBP	think
it	PP	it
just	RB	just
kills	VBZ	kill
the	DT	the
intrinsic	JJ	intrinsic
motivation	NN	motivation
,	,	,
so	RB	so
in	IN	in
the	DT	the
respect	NN	respect
that	IN	that
children	NNS	child
,	,	,
if	IN	if
they	PP	they
would	MD	would
like	VB	like
to	TO	to
read	VB	read
,	,	,
you	PP	you
just	RB	just
take	VBP	take
this	DT	this
incentive	NN	incentive
away	RB	away
in	IN	in
just	RB	just
paying	VBG	pay
them	PP	them
,	,	,
so	RB	so
it	PP	it
just	RB	just
changes	VBZ	change
behavior	NN	behavior
.	SENT	.
Michael	NP	Michael
Sandel	NP	Sandel
:	:	:
Takes	VBZ	take
the	DT	the
intrinsic	JJ	intrinsic
incentive	NN	incentive
away	RB	away
.	SENT	.
What	WP	what
is	VBZ	be
,	,	,
or	CC	or
should	MD	should
be	VB	be
,	,	,
the	DT	the
intrinsic	JJ	intrinsic
motivation	NN	motivation
?	SENT	?
HM	UH	hm
:	:	:
Well	UH	well
,	,	,
the	DT	the
intrinsic	JJ	intrinsic
motivation	NN	motivation
should	MD	should
be	VB	be
to	TO	to
learn	VB	learn
.	SENT	.
MS	NN	Ms
:	:	:
To	TO	to
learn	VB	learn
.	SENT	.
HM	UH	hm
:	:	:
To	TO	to
get	VB	get
to	TO	to
know	VB	know
the	DT	the
world	NN	world
.	SENT	.
And	CC	and
then	RB	then
,	,	,
if	IN	if
you	PP	you
stop	VBP	stop
paying	VBG	pay
them	PP	them
,	,	,
what	WP	what
happens	VBZ	happen
then	RB	then
?	SENT	?
Then	RB	then
they	PP	they
stop	VB	stop
reading	NN	reading
?	SENT	?
MS	NN	Ms
:	:	:
Now	RB	now
,	,	,
let	VBP	let
'	POS	'
s	NNS	<unknown>
see	VBP	see
if	IN	if
there	EX	there
'	''	'
s	NN	S
someone	NN	someone
who	WP	who
favors	VBZ	favor
,	,	,
who	WP	who
thinks	VBZ	think
it	PP	it
'	POS	'
s	JJ	<unknown>
worth	NN	worth
trying	VBG	try
this	DT	this
.	SENT	.
Elizabeth	NP	Elizabeth
Loftus	NP	Loftus
:	:	:
I	PP	I
'	POS	'
m	NN	m
Elizabeth	NP	Elizabeth
Loftus	NP	Loftus
,	,	,
and	CC	and
you	PP	you
said	VBD	say
worth	JJ	worth
a	DT	a
try	NN	try
,	,	,
so	RB	so
why	WRB	why
not	RB	not
try	VB	try
it	PP	it
and	CC	and
do	VBP	do
the	DT	the
experiment	NN	experiment
and	CC	and
measure	NN	measure
things	NNS	thing
?	SENT	?
MS	NN	Ms
:	:	:
And	CC	and
measure	NN	measure
.	SENT	.
And	CC	and
what	WP	what
would	MD	would
you	PP	you
measure	VB	measure
?	SENT	?
You	PP	you
'	POS	'
d	NN	d
measure	NN	measure
how	WRB	how
many	JJ	many
—	:	-
EL	NN	el
:	:	:
How	WRB	how
many	JJ	many
books	NNS	book
they	PP	they
read	VBP	read
and	CC	and
how	WRB	how
many	JJ	many
books	NNS	book
they	PP	they
continued	VBD	continue
to	TO	to
read	VB	read
after	IN	after
you	PP	you
stopped	VBD	stop
paying	VBG	pay
them	PP	them
.	SENT	.
MS	NN	Ms
:	:	:
Oh	UH	oh
,	,	,
after	IN	after
you	PP	you
stopped	VBD	stop
paying	VBG	pay
.	SENT	.
All	DT	all
right	NN	right
,	,	,
what	WP	what
about	RB	about
that	RB	that
?	SENT	?
HM	UH	hm
:	:	:
To	TO	to
be	VB	be
frank	JJ	frank
,	,	,
I	PP	I
just	RB	just
think	VBP	think
this	DT	this
is	VBZ	be
,	,	,
not	RB	not
to	TO	to
offend	VB	offend
anyone	NN	anyone
,	,	,
a	DT	a
very	RB	very
American	JJ	American
way	NN	way
.	SENT	.
MS	NN	Ms
:	:	:
All	DT	all
right	NN	right
.	SENT	.
What	WP	what
'	POS	'
s	NN	S
emerged	VBD	emerge
from	IN	from
this	DT	this
discussion	NN	discussion
is	VBZ	be
the	DT	the
following	VBG	follow
question	NN	question
:	:	:
Will	MD	will
the	DT	the
cash	NN	cash
incentive	NN	incentive
drive	VB	drive
out	RP	out
or	CC	or
corrupt	VB	corrupt
or	CC	or
crowd	VB	crowd
out	RP	out
the	DT	the
higher	JJR	high
motivation	NN	motivation
,	,	,
the	DT	the
intrinsic	JJ	intrinsic
lesson	NN	lesson
that	IN	that
we	PP	we
hope	VBP	hope
to	TO	to
convey	VB	convey
,	,	,
which	WDT	which
is	VBZ	be
to	TO	to
learn	VB	learn
to	TO	to
love	VB	love
to	TO	to
learn	VB	learn
and	CC	and
to	TO	to
read	VB	read
for	IN	for
their	PP$	their
own	JJ	own
sakes	NNS	sake
?	SENT	?
And	CC	and
people	NNS	people
disagree	VBP	disagree
about	RB	about
what	WP	what
the	DT	the
effect	NN	effect
will	MD	will
be	VB	be
,	,	,
but	CC	but
that	WDT	that
seems	VBZ	seem
to	TO	to
be	VB	be
the	DT	the
question	NN	question
,	,	,
that	WDT	that
somehow	RB	somehow
a	DT	a
market	NN	market
mechanism	NN	mechanism
or	CC	or
a	DT	a
cash	NN	cash
incentive	NN	incentive
teaches	VBZ	teach
the	DT	the
wrong	JJ	wrong
lesson	NN	lesson
,	,	,
and	CC	and
if	IN	if
it	PP	it
does	VBZ	do
,	,	,
what	WP	what
will	MD	will
become	VB	become
of	IN	of
these	DT	these
children	NNS	child
later	RBR	later
?	SENT	?
I	PP	I
should	MD	should
tell	VB	tell
you	PP	you
what	WP	what
'	POS	'
s	NN	S
happened	VBD	happen
with	IN	with
these	DT	these
experiments	NNS	experiment
.	SENT	.
The	DT	the
cash	NN	cash
for	IN	for
good	JJ	good
grades	NNS	grade
has	VBZ	have
had	VBD	have
very	RB	very
mixed	VBN	mix
results	NNS	result
,	,	,
for	IN	for
the	DT	the
most	JJS	most
part	NN	part
has	VBZ	have
not	RB	not
resulted	VBN	result
in	IN	in
higher	JJR	high
grades	NNS	grade
.	SENT	.
The	DT	the
two	CD	two
dollars	NNS	dollar
for	IN	for
each	DT	each
book	NN	book
did	VBD	do
lead	VB	lead
those	DT	those
kids	NNS	kid
to	TO	to
read	VB	read
more	JJR	more
books	NNS	book
.	SENT	.
It	PP	it
also	RB	also
led	VBD	lead
them	PP	them
to	TO	to
read	VB	read
shorter	JJR	short
books	NNS	book
.	SENT	.
But	CC	but
the	DT	the
real	JJ	real
question	NN	question
is	VBZ	be
,	,	,
what	WP	what
will	MD	will
become	VB	become
of	IN	of
these	DT	these
kids	NNS	kid
later	RBR	later
?	SENT	?
Will	MD	will
they	PP	they
have	VBP	have
learned	VBN	learn
that	IN	that
reading	NN	reading
is	VBZ	be
a	DT	a
chore	NN	chore
,	,	,
a	DT	a
form	NN	form
of	IN	of
piecework	NN	piecework
to	TO	to
be	VB	be
done	VBN	do
for	IN	for
pay	NN	pay
,	,	,
that	WDT	that
'	POS	'
s	NNS	<unknown>
the	DT	the
worry	NN	worry
,	,	,
or	CC	or
may	MD	may
it	PP	it
lead	VB	lead
them	PP	them
to	TO	to
read	VB	read
maybe	RB	maybe
for	IN	for
the	DT	the
wrong	JJ	wrong
reason	NN	reason
initially	RB	initially
but	CC	but
then	RB	then
lead	VB	lead
them	PP	them
to	TO	to
fall	VB	fall
in	IN	in
love	NN	love
with	IN	with
reading	NN	reading
for	IN	for
its	PP$	its
own	JJ	own
sake	NN	sake
?	SENT	?
Now	RB	now
,	,	,
what	WP	what
this	DT	this
,	,	,
even	RB	even
this	DT	this
brief	JJ	brief
debate	NN	debate
,	,	,
brings	VBZ	bring
out	RB	out
is	VBZ	be
something	NN	something
that	IN	that
many	JJ	many
economists	NNS	economist
overlook	VBP	overlook
.	SENT	.
Economists	NNS	economist
often	RB	often
assume	VBP	assume
that	IN	that
markets	NNS	market
are	VBP	be
inert	JJ	inert
,	,	,
that	IN	that
they	PP	they
do	VBP	do
not	RB	not
touch	VB	touch
or	CC	or
taint	VB	taint
the	DT	the
goods	NNS	good
they	PP	they
exchange	VBP	exchange
.	SENT	.
Market	NN	market
exchange	NN	exchange
,	,	,
they	PP	they
assume	VBP	assume
,	,	,
doesn	NP	<unknown>
'	POS	'
t	NN	t
change	NN	change
the	DT	the
meaning	NN	meaning
or	CC	or
value	NN	value
of	IN	of
the	DT	the
goods	NNS	good
being	VBG	be
exchanged	VBN	exchange
.	SENT	.
This	DT	this
may	MD	may
be	VB	be
true	JJ	true
enough	RB	enough
if	IN	if
we	PP	we
'	POS	'
re	NN	re
talking	VBG	talk
about	IN	about
material	NN	material
goods	NNS	good
.	SENT	.
If	IN	if
you	PP	you
sell	VBP	sell
me	PP	me
a	DT	a
flat	JJ	flat
screen	NN	screen
television	NN	television
or	CC	or
give	VB	give
me	PP	me
one	CD	one
as	IN	as
a	DT	a
gift	NN	gift
,	,	,
it	PP	it
will	MD	will
be	VB	be
the	DT	the
same	JJ	same
good	NN	good
.	SENT	.
It	PP	it
will	MD	will
work	VB	work
the	DT	the
same	JJ	same
either	CC	either
way	NN	way
.	SENT	.
But	CC	but
the	DT	the
same	JJ	same
may	MD	may
not	RB	not
be	VB	be
true	JJ	true
if	IN	if
we	PP	we
'	POS	'
re	NN	re
talking	VBG	talk
about	IN	about
nonmaterial	JJ	nonmaterial
goods	NNS	good
and	CC	and
social	JJ	social
practices	NNS	practice
such	JJ	such
as	IN	as
teaching	VBG	teach
and	CC	and
learning	VBG	learn
or	CC	or
engaging	VBG	engage
together	RB	together
in	IN	in
civic	JJ	civic
life	NN	life
.	SENT	.
In	IN	in
those	DT	those
domains	NNS	domain
,	,	,
bringing	VBG	bring
market	NN	market
mechanisms	NNS	mechanism
and	CC	and
cash	NN	cash
incentives	NNS	incentive
may	MD	may
undermine	VB	undermine
or	CC	or
crowd	VB	crowd
out	RP	out
nonmarket	NN	nonmarket
values	NNS	value
and	CC	and
attitudes	NNS	attitude
worth	JJ	worth
caring	NN	caring
about	RB	about
.	SENT	.
Once	RB	once
we	PP	we
see	VBP	see
that	IN	that
markets	NNS	market
and	CC	and
commerce	NN	commerce
,	,	,
when	WRB	when
extended	VBN	extend
beyond	IN	beyond
the	DT	the
material	NN	material
