Let	NP	Let
time	NN	time
.	SENT	.
I	PP	I
design	VBP	design
the	DT	the
voice	NN	voice
of	IN	of
electric	JJ	electric
cars	NNS	car
.	SENT	.
We	PP	we
all	RB	all
know	VBP	know
how	WRB	how
a	DT	a
combustion	NN	combustion
engine	NN	engine
sounds	VBZ	sound
like	IN	like
,	,	,
and	CC	and
we	PP	we
do	VBP	do
actually	RB	actually
also	RB	also
know	VB	know
how	WRB	how
an	DT	an
electric	JJ	electric
engine	NN	engine
sounds	NNS	sound
like	VBP	like
.	SENT	.
Think	VB	think
of	IN	of
the	DT	the
electric	JJ	electric
tramway	NN	tramway
.	SENT	.
As	RB	as
soon	RB	soon
as	IN	as
it	PP	it
moves	VBZ	move
,	,	,
it	PP	it
creates	VBZ	create
this	DT	this
ascending	VBG	ascend
high-	NN	high-
frequency	NN	frequency
pitch	NN	pitch
sound	NN	sound
,	,	,
which	WDT	which
we	PP	we
called	VBD	call
"	``	"
whistling	VBG	whistle
"	''	"
sound	NN	sound
.	SENT	.
However	RB	however
,	,	,
if	IN	if
we	PP	we
would	MD	would
just	RB	just
amplify	VB	amplify
this	DT	this
sound	NN	sound
,	,	,
we	PP	we
would	MD	would
still	RB	still
not	RB	not
be	VB	be
able	JJ	able
to	TO	to
fulfill	VB	fulfill
the	DT	the
legal	JJ	legal
requirements	NNS	requirement
.	SENT	.
That	IN	that
'	POS	'
s	NNS	<unknown>
also	RB	also
why	WRB	why
we	PP	we
need	VBP	need
to	TO	to
compose	VB	compose
new	JJ	new
sound	NN	sound
.	SENT	.
So	RB	so
how	WRB	how
do	VBP	do
we	PP	we
go	VB	go
after	IN	after
it	PP	it
?	SENT	?
In	IN	in
many	JJ	many
cities	NNS	city
,	,	,
the	DT	the
traffic	NN	traffic
is	VBZ	be
already	RB	already
very	RB	very
chaotic	JJ	chaotic
,	,	,
and	CC	and
we	PP	we
don	VBP	don
'	''	'
t	NN	t
need	VBP	need
more	JJR	more
chaos	NN	chaos
.	SENT	.
But	CC	but
the	DT	the
streets	NNS	street
of	IN	of
the	DT	the
21st	JJ	21st
century	NN	century
are	VBP	be
a	DT	a
great	JJ	great
case	NN	case
study	NN	study
teeming	VBG	teem
with	IN	with
transience	NN	transience
,	,	,
cross	NN	cross
purposes	NNS	purpose
and	CC	and
disarray	NN	disarray
.	SENT	.
And	CC	and
this	DT	this
landscape	NN	landscape
offers	VBZ	offer
a	DT	a
great	JJ	great
opportunity	NN	opportunity
for	IN	for
developing	VBG	develop
new	JJ	new
solutions	NNS	solution
on	IN	on
how	WRB	how
to	TO	to
reduce	VB	reduce
this	DT	this
chaos	NN	chaos
.	SENT	.
I	PP	I
have	VBP	have
conceived	VBN	conceive
a	DT	a
new	JJ	new
approach	NN	approach
that	WDT	that
tries	VBZ	try
to	TO	to
reduce	VB	reduce
the	DT	the
chaos	NN	chaos
by	IN	by
introducing	VBG	introduce
harmony	NN	harmony
.	SENT	.
Since	IN	since
many	JJ	many
people	NNS	people
don	NN	don
'	POS	'
t	NN	t
know	VB	know
how	WRB	how
an	DT	an
electric	JJ	electric
car	NN	car
could	MD	could
sound	VB	sound
like	IN	like
,	,	,
I	PP	I
have	VBP	have
to	TO	to
define	VB	define
,	,	,
first	JJ	first
of	IN	of
all	DT	all
,	,	,
a	DT	a
new	JJ	new
sound	NN	sound
world	NN	world
,	,	,
something	NN	something
that	IN	that
doesn	NP	<unknown>
'	POS	'
t	NN	t
belong	VBP	belong
to	TO	to
our	PP$	our
previous	JJ	previous
experience	NN	experience
but	CC	but
creates	VBZ	create
a	DT	a
reference	NN	reference
for	IN	for
the	DT	the
future	NN	future
.	SENT	.
Together	RB	together
with	IN	with
a	DT	a
small	JJ	small
team	NN	team
,	,	,
we	PP	we
create	VBP	create
lots	NNS	lot
of	IN	of
sonic	JJ	sonic
textures	NNS	texture
that	WDT	that
are	VBP	be
able	JJ	able
to	TO	to
transmit	VB	transmit
emotion	NN	emotion
.	SENT	.
Just	RB	just
like	IN	like
a	DT	a
painter	NN	painter
with	IN	with
colors	NNS	color
,	,	,
we	PP	we
are	VBP	be
able	JJ	able
to	TO	to
connect	VB	connect
feelings	NNS	feeling
and	CC	and
frequencies	NNS	frequency
so	RB	so
that	IN	that
whenever	WRB	whenever
one	PP	one
is	VBZ	be
approaching	VBG	approach
a	DT	a
car	NN	car
,	,	,
we	PP	we
can	MD	can
feel	VB	feel
an	DT	an
emotion	NN	emotion
which	WDT	which
,	,	,
besides	IN	besides
fulfilling	VBG	fulfill
the	DT	the
legal	JJ	legal
requirements	NNS	requirement
,	,	,
speaks	VBZ	speak
also	RB	also
about	IN	about
the	DT	the
character	NN	character
and	CC	and
the	DT	the
identity	NN	identity
of	IN	of
the	DT	the
car	NN	car
.	SENT	.
I	PP	I
call	VBP	call
this	DT	this
paradigm	NN	paradigm
"	``	"
sound	JJ	sound
genetics	NNS	genetics
.	SENT	.
"	''	"
With	IN	with
sound	JJ	sound
genetics	NNS	genetics
,	,	,
I	PP	I
define	VBP	define
,	,	,
first	JJ	first
of	IN	of
all	DT	all
,	,	,
an	DT	an
aesthetic	JJ	aesthetic
space	NN	space
of	IN	of
sound	NN	sound
,	,	,
and	CC	and
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
I	PP	I
search	VBP	search
for	IN	for
new	JJ	new
,	,	,
innovative	JJ	innovative
methods	NNS	method
for	IN	for
generating	VBG	generate
soundscapes	NNS	soundscape
that	IN	that
we	PP	we
don	VB	don
'	''	'
t	NN	t
know	VBP	know
,	,	,
soundscapes	NNS	soundscape
that	WDT	that
allow	VBP	allow
us	PP	us
to	TO	to
envision	VB	envision
abstract	JJ	abstract
worlds	NNS	world
,	,	,
to	TO	to
make	VB	make
them	PP	them
tangible	JJ	tangible
and	CC	and
audible	JJ	audible
.	SENT	.
Sound	JJ	sound
genetics	NNS	genetics
is	VBZ	be
based	VBN	base
on	IN	on
three	CD	three
steps	NNS	step
.	SENT	.
The	DT	the
first	JJ	first
one	CD	one
is	VBZ	be
the	DT	the
definition	NN	definition
of	IN	of
a	DT	a
sonic	JJ	sonic
organism	NN	organism
,	,	,
the	DT	the
second	JJ	second
one	CD	one
is	VBZ	be
a	DT	a
description	NN	description
of	IN	of
sonic	JJ	sonic
variations	NNS	variation
,	,	,
and	CC	and
the	DT	the
third	JJ	third
one	CD	one
is	VBZ	be
the	DT	the
composition	NN	composition
of	IN	of
sound	JJ	sound
genes	NNS	gene
.	SENT	.
The	DT	the
description	NN	description
of	IN	of
a	DT	a
sonic	JJ	sonic
organism	NN	organism
is	VBZ	be
based	VBN	base
on	IN	on
a	DT	a
cluster	NN	cluster
of	IN	of
properties	NNS	property
that	IN	that
every	DT	every
sound	NN	sound
that	IN	that
I	PP	I
compose	VBP	compose
should	MD	should
have	VB	have
.	SENT	.
[	SYM	[
Sound	NN	sound
is	VBZ	be
moving	VBG	move
.	SENT	.
]	SYM	]
I	PP	I
transfer	VBP	transfer
to	TO	to
a	DT	a
small	JJ	small
sound	NN	sound
entity	NN	entity
,	,	,
such	JJ	such
as	IN	as
the	DT	the
sound	NN	sound
of	IN	of
a	DT	a
car	NN	car
,	,	,
the	DT	the
power	NN	power
of	IN	of
the	DT	the
motion	NN	motion
of	IN	of
music	NN	music
,	,	,
so	RB	so
that	DT	that
sound	NN	sound
can	MD	can
move	VB	move
so	RB	so
.	SENT	.
[	SYM	[
Sound	NN	sound
is	VBZ	be
acting	VBG	act
.	SENT	.
]	SYM	]
And	CC	and
just	RB	just
like	IN	like
a	DT	a
dancer	NN	dancer
on	IN	on
a	DT	a
stage	NN	stage
,	,	,
sound	NN	sound
will	MD	will
project	VB	project
trajectories	NNS	trajectory
of	IN	of
sound	NN	sound
in	IN	in
the	DT	the
air	NN	air
.	SENT	.
[	SYM	[
Sound	NN	sound
is	VBZ	be
memory	NN	memory
.	SENT	.
]	SYM	]
And	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
just	RB	just
about	IN	about
the	DT	the
sound	NN	sound
of	IN	of
a	DT	a
car	NN	car
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
the	DT	the
memory	NN	memory
of	IN	of
my	PP$	my
father	NN	father
coming	VBG	come
back	JJ	back
home	NN	home
.	SENT	.
[	SYM	[
Sound	NN	sound
is	VBZ	be
hypnotizing	VBG	hypnotize
.	SENT	.
]	SYM	]
And	CC	and
sound	NN	sound
has	VBZ	have
the	DT	the
power	NN	power
to	TO	to
create	VB	create
an	DT	an
unexpected	JJ	unexpected
sense	NN	sense
of	IN	of
wonder	NN	wonder
,	,	,
which	WDT	which
hypnotizes	VBZ	hypnotize
.	SENT	.
And	CC	and
ultimately	RB	ultimately
,	,	,
[	SYM	[
Sound	NN	sound
is	VBZ	be
superhuman	JJ	superhuman
.	SENT	.
]	SYM	]
sound	NN	sound
goes	VBZ	go
beyond	IN	beyond
the	DT	the
human	JJ	human
condition	NN	condition
,	,	,
because	IN	because
it	PP	it
allows	VBZ	allow
us	PP	us
to	TO	to
transcend	VB	transcend
.	SENT	.
As	IN	as
a	DT	a
second	JJ	second
step	NN	step
,	,	,
we	PP	we
define	VBP	define
the	DT	the
sonic	JJ	sonic
variations	NNS	variation
.	SENT	.
[	SYM	[
Identity	NN	identity
prism	NN	prism
]	SYM	]
Just	RB	just
like	IN	like
humans	NNS	human
,	,	,
where	WRB	where
different	JJ	different
bodies	NNS	body
generate	VBP	generate
different	JJ	different
voices	NNS	voice
,	,	,
also	RB	also
different	JJ	different
car	NN	car
shapes	NNS	shape
have	VBP	have
a	DT	a
different	JJ	different
acoustic	JJ	acoustic
behavior	NN	behavior
which	WDT	which
depends	VBZ	depend
on	IN	on
the	DT	the
geometry	NN	geometry
and	CC	and
the	DT	the
materials	NNS	material
.	SENT	.
So	RB	so
we	PP	we
have	VBP	have
to	TO	to
know	VB	know
,	,	,
first	JJ	first
of	IN	of
all	DT	all
,	,	,
how	WRB	how
this	DT	this
car	NN	car
propagates	VBZ	propagate
the	DT	the
sound	JJ	sound
outside	NN	outside
by	IN	by
means	NNS	mean
of	IN	of
acoustic	JJ	acoustic
measurements	NNS	measurement
.	SENT	.
And	CC	and
just	RB	just
like	IN	like
a	DT	a
single	JJ	single
voice	NN	voice
is	VBZ	be
able	JJ	able
to	TO	to
produce	VB	produce
different	JJ	different
tones	NNS	tone
and	CC	and
timbres	NNS	timbre
,	,	,
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
we	PP	we
produce	VBP	produce
different	JJ	different
sonic	JJ	sonic
variations	NNS	variation
within	IN	within
a	DT	a
space	NN	space
of	IN	of
eight	CD	eight
words	NNS	word
that	IN	that
I	PP	I
defined	VBD	define
.	SENT	.
And	CC	and
some	DT	some
of	IN	of
them	PP	them
are	VBP	be
,	,	,
to	TO	to
me	PP	me
,	,	,
really	RB	really
important	JJ	important
,	,	,
such	JJ	such
as	IN	as
the	DT	the
concept	NN	concept
of	IN	of
"	``	"
visionary	JJ	visionary
,	,	,
"	''	"
of	IN	of
"	``	"
elegance	NN	elegance
,	,	,
"	''	"
of	IN	of
"	``	"
dynamic	JJ	dynamic
,	,	,
"	''	"
of	IN	of
"	``	"
embracing	VBG	embrace
.	SENT	.
"	''	"
And	CC	and
once	RB	once
we	PP	we
have	VBP	have
defined	VBN	define
these	DT	these
two	CD	two
aspects	NNS	aspect
,	,	,
we	PP	we
have	VBP	have
what	WP	what
I	PP	I
call	VBP	call
the	DT	the
identity	NN	identity
prism	NN	prism
,	,	,
which	WDT	which
is	VBZ	be
something	NN	something
like	IN	like
the	DT	the
sonic	JJ	sonic
identity	NN	identity
card	NN	card
of	IN	of
a	DT	a
car	NN	car
.	SENT	.
And	CC	and
as	IN	as
a	DT	a
third	JJ	third
step	NN	step
,	,	,
we	PP	we
enter	VBP	enter
the	DT	the
world	NN	world
of	IN	of
the	DT	the
sound	JJ	sound
design	NN	design
,	,	,
where	WRB	where
the	DT	the
sound	JJ	sound
genes	NNS	gene
are	VBP	be
composed	VBN	compose
and	CC	and
a	DT	a
new	JJ	new
archetype	NN	archetype
is	VBZ	be
conceived	VBN	conceive
.	SENT	.
Now	RB	now
let	VB	let
me	PP	me
show	VB	show
you	PP	you
another	DT	another
example	NN	example
of	IN	of
how	WRB	how
I	PP	I
transform	VB	transform
a	DT	a
sound	JJ	sound
field	NN	field
into	IN	into
a	DT	a
melody	NN	melody
.	SENT	.
Think	VB	think
that	IN	that
I	PP	I
am	VBP	be
a	DT	a
violin	NN	violin
player	NN	player
on	IN	on
stage	NN	stage
.	SENT	.
If	IN	if
I	PP	I
would	MD	would
start	VB	start
to	TO	to
play	VB	play
the	DT	the
violin	NN	violin
,	,	,
I	PP	I
would	MD	would
generate	VB	generate
a	DT	a
sound	JJ	sound
field	NN	field
which	WDT	which
would	MD	would
propagate	VB	propagate
in	IN	in
this	DT	this
hall	NN	hall
,	,	,
and	CC	and
at	IN	at
some	DT	some
point	NN	point
,	,	,
the	DT	the
sound	JJ	sound
field	NN	field
would	MD	would
hit	VB	hit
the	DT	the
side	NN	side
walls	NNS	wall
and	CC	and
would	MD	would
be	VB	be
scattered	VBN	scatter
all	RB	all
over	IN	over
the	DT	the
place	NN	place
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
how	WRB	how
it	PP	it
looked	VBD	look
like	IN	like
.	SENT	.
Some	DT	some
time	NN	time
ago	RB	ago
,	,	,
I	PP	I
captured	VBD	capture
several	JJ	several
ways	NNS	way
of	IN	of
sound	NN	sound
to	TO	to
hit	VB	hit
side	NN	side
walls	NNS	wall
.	SENT	.
And	CC	and
last	JJ	last
year	NN	year
,	,	,
I	PP	I
was	VBD	be
asked	VBN	ask
by	IN	by
the	DT	the
Bavarian	NP	Bavarian
Radio	NP	Radio
Symphony	NP	Symphony
Orchestra	NN	orchestra
to	TO	to
compose	VB	compose
ringtones	NNS	ringtone
that	IN	that
they	PP	they
were	VBD	be
going	VBG	go
to	TO	to
play	VB	play
.	SENT	.
So	RB	so
one	CD	one
of	IN	of
them	PP	them
,	,	,
I	PP	I
had	VBD	have
the	DT	the
idea	NN	idea
to	TO	to
start	VB	start
from	IN	from
this	DT	this
sound	JJ	sound
field	NN	field
.	SENT	.
I	PP	I
took	VBD	take
a	DT	a
section	NN	section
,	,	,
I	PP	I
superimposed	VBD	superimpose
the	DT	the
section	NN	section
over	IN	over
the	DT	the
distribution	NN	distribution
of	IN	of
the	DT	the
musicians	NNS	musician
onstage	NN	onstage
,	,	,
and	CC	and
then	RB	then
I	PP	I
followed	VBD	follow
the	DT	the
blooming	VBG	bloom
of	IN	of
the	DT	the
sound	JJ	sound
field	NN	field
by	IN	by
means	NNS	mean
of	IN	of
three	CD	three
parameters	NNS	parameter
:	:	:
time	NN	time
,	,	,
intensity	NN	intensity
and	CC	and
frequency	NN	frequency
.	SENT	.
Then	RB	then
I	PP	I
wrote	VBD	write
down	RB	down
all	PDT	all
the	DT	the
gradients	NNS	gradient
for	IN	for
each	DT	each
instrument	NN	instrument
,	,	,
and	CC	and
as	RB	as
you	PP	you
can	MD	can
see	VB	see
,	,	,
for	IN	for
instance	NN	instance
,	,	,
the	DT	the
piece	NN	piece
will	MD	will
start	VB	start
with	IN	with
the	DT	the
string	NN	string
section	NN	section
playing	VBG	play
very	RB	very
softly	RB	softly
,	,	,
and	CC	and
then	RB	then
it	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
have	VB	have
a	DT	a
crescendo	NN	crescendo
as	IN	as
the	DT	the
brasses	NNS	brass
,	,	,
the	DT	the
woods	NNS	wood
will	MD	will
jump	VB	jump
in	IN	in
,	,	,
and	CC	and
the	DT	the
melody	NN	melody
will	MD	will
end	VB	end
with	IN	with
a	DT	a
harp	NN	harp
and	CC	and
a	DT	a
piano	NN	piano
playing	VBG	play
on	IN	on
the	DT	the
highest	JJS	high
range	NN	range
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
listen	VBP	listen
how	WRB	how
it	PP	it
sounded	VBD	sound
like	IN	like
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
the	DT	the
sound	NN	sound
of	IN	of
my	PP$	my
alarm	NN	alarm
clock	NN	clock
,	,	,
actually	RB	actually
,	,	,
in	IN	in
the	DT	the
morning	NN	morning
.	SENT	.
And	CC	and
now	RB	now
let	VB	let
'	''	'
s	NNS	<unknown>
go	VBP	go
back	RB	back
to	TO	to
electric	JJ	electric
cars	NNS	car
.	SENT	.
And	CC	and
let	VB	let
'	''	'
s	NNS	<unknown>
listen	VBP	listen
to	TO	to
the	DT	the
first	JJ	first
example	NN	example
that	IN	that
I	PP	I
showed	VBD	show
you	PP	you
.	SENT	.
And	CC	and
now	RB	now
I	PP	I
would	MD	would
like	VB	like
to	TO	to
show	VB	show
you	PP	you
how	WRB	how
a	DT	a
potential	JJ	potential
sound	NN	sound
,	,	,
based	VBN	base
on	IN	on
the	DT	the
sound	JJ	sound
genetics	NN	genetics
for	IN	for
electric	JJ	electric
cars	NNS	car
,	,	,
could	MD	could
sound	VB	sound
like	IN	like
.	SENT	.
Cars	NNS	car
are	VBP	be
a	DT	a
metaphor	NN	metaphor
of	IN	of
time	NN	time
,	,	,
distance	NN	distance
and	CC	and
journey	NN	journey
,	,	,
of	IN	of
setting	VBG	set
out	RP	out
and	CC	and
returning	VBG	return
,	,	,
of	IN	of
anticipation	NN	anticipation
and	CC	and
adventure	NN	adventure
,	,	,
but	CC	but
,	,	,
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
of	IN	of
intelligence	NN	intelligence
and	CC	and
complexity	NN	complexity
,	,	,
of	IN	of
human	JJ	human
intuition	NN	intuition
and	CC	and
accomplishment	NN	accomplishment
.	SENT	.
And	CC	and
the	DT	the
sound	NN	sound
has	VBZ	have
to	TO	to
glorify	VB	glorify
all	PDT	all
that	DT	that
.	SENT	.
I	PP	I
see	VBP	see
cars	NNS	car
both	CC	both
as	IN	as
living	VBG	live
creatures	NNS	creature
and	CC	and
as	RB	as
highly	RB	highly
complex	JJ	complex
performative	JJ	performative
art	NN	art
installations	NNS	installation
.	SENT	.
The	DT	the
sounds	VBZ	sound
that	IN	that
we	PP	we
envision	VBP	envision
through	IN	through
sound	JJ	sound
genetics	NNS	genetics
allow	VBP	allow
us	PP	us
not	RB	not
only	RB	only
to	TO	to
celebrate	VB	celebrate
this	DT	this
complexity	NN	complexity
but	CC	but
also	RB	also
to	TO	to
make	VB	make
the	DT	the
world	NN	world
a	DT	a
more	RBR	more
elegant	JJ	elegant
and	CC	and
safe	JJ	safe
space	NN	space
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
