June	NP	June
crushed	VBN	crush
.	SENT	.
When	WRB	when
I	PP	I
look	VBP	look
back	RB	back
now	RB	now
on	IN	on
that	DT	that
first	JJ	first
summer	NN	summer
in	IN	in
Rome	NP	Rome
and	CC	and
I	PP	I
see	VBP	see
how	WRB	how
much	RB	much
has	VBZ	have
changed	VBN	change
over	IN	over
the	DT	the
past	JJ	past
six	CD	six
years	NNS	year
,	,	,
it	PP	it
is	VBZ	be
an	DT	an
absolute	JJ	absolute
transformation	NN	transformation
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
coming	VBG	come
of	IN	of
age	NN	age
for	IN	for
bringing	VBG	bring
data	NNS	datum
into	IN	into
the	DT	the
humanitarian	JJ	humanitarian
world	NN	world
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
exciting	JJ	exciting
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
inspiring	JJ	inspiring
.	SENT	.
But	CC	but
we	PP	we
'	POS	'
re	NN	re
not	RB	not
there	RB	there
yet	RB	yet
.	SENT	.
And	CC	and
brace	VB	brace
yourself	PP	yourself
,	,	,
executives	NNS	executive
,	,	,
because	IN	because
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
be	VB	be
putting	VBG	put
companies	NNS	company
on	IN	on
the	DT	the
hot	JJ	hot
seat	NN	seat
to	TO	to
step	VB	step
up	RP	up
and	CC	and
play	VB	play
the	DT	the
role	NN	role
that	IN	that
I	PP	I
know	VBP	know
they	PP	they
can	MD	can
.	SENT	.
My	PP$	my
experiences	NNS	experience
back	RB	back
in	IN	in
Rome	NP	Rome
prove	VB	prove
using	VBG	use
data	NNS	datum
you	PP	you
can	MD	can
save	VB	save
lives	NNS	life
.	SENT	.
OK	UH	OK
,	,	,
not	RB	not
that	DT	that
first	JJ	first
attempt	NN	attempt
,	,	,
but	CC	but
eventually	RB	eventually
we	PP	we
got	VBD	get
there	RB	there
.	SENT	.
Let	VB	let
me	PP	me
paint	VB	paint
the	DT	the
picture	NN	picture
for	IN	for
you	PP	you
.	SENT	.
Imagine	VB	imagine
that	IN	that
you	PP	you
have	VBP	have
to	TO	to
plan	NN	plan
breakfast	NN	breakfast
,	,	,
lunch	NN	lunch
and	CC	and
dinner	NN	dinner
for	IN	for
500	CD	@card@
,	,	,
000	CD	@card@
people	NNS	people
,	,	,
and	CC	and
you	PP	you
only	RB	only
have	VBP	have
a	DT	a
certain	JJ	certain
budget	NN	budget
to	TO	to
do	VB	do
it	PP	it
,	,	,
say	VBP	say
6	CD	@card@
.	SENT	.
5	CD	@card@
million	CD	million
dollars	NNS	dollar
per	IN	per
month	NN	month
.	SENT	.
Well	RB	well
,	,	,
what	WP	what
should	MD	should
you	PP	you
do	VB	do
?	SENT	?
What	WP	what
'	POS	'
s	NN	S
the	DT	the
best	JJS	good
way	NN	way
to	TO	to
handle	VB	handle
it	PP	it
?	SENT	?
Should	MD	should
you	PP	you
buy	VB	buy
rice	NN	rice
,	,	,
wheat	NN	wheat
,	,	,
chickpea	NN	chickpea
,	,	,
oil	NN	oil
?	SENT	?
How	WRB	how
much	RB	much
?	SENT	?
It	PP	it
sounds	VBZ	sound
simple	JJ	simple
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
.	SENT	.
You	PP	you
have	VBP	have
30	CD	@card@
possible	JJ	possible
foods	NNS	food
,	,	,
and	CC	and
you	PP	you
have	VBP	have
to	TO	to
pick	VB	pick
five	CD	five
of	IN	of
them	PP	them
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
already	RB	already
over	IN	over
140	CD	@card@
,	,	,
000	CD	@card@
different	JJ	different
combinations	NNS	combination
.	SENT	.
Then	RB	then
for	IN	for
each	DT	each
food	NN	food
that	IN	that
you	PP	you
pick	VBP	pick
,	,	,
you	PP	you
need	VBP	need
to	TO	to
decide	VB	decide
how	WRB	how
much	JJ	much
you	PP	you
'	''	'
ll	NNS	<unknown>
buy	VBP	buy
,	,	,
where	WRB	where
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
get	VB	get
it	PP	it
from	IN	from
,	,	,
where	WRB	where
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
store	VB	store
it	PP	it
,	,	,
how	WRB	how
long	JJ	long
it	PP	it
'	''	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
take	VB	take
to	TO	to
get	VB	get
there	RB	there
.	SENT	.
You	PP	you
need	VBP	need
to	TO	to
look	VB	look
at	IN	at
all	DT	all
of	IN	of
the	DT	the
different	JJ	different
transportation	NN	transportation
routes	NNS	route
as	RB	as
well	RB	well
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NN	S
already	RB	already
over	IN	over
900	CD	@card@
million	CD	million
options	NNS	option
.	SENT	.
If	IN	if
you	PP	you
considered	VBD	consider
each	DT	each
option	NN	option
for	IN	for
a	DT	a
single	JJ	single
second	NN	second
,	,	,
that	WDT	that
would	MD	would
take	VB	take
you	PP	you
over	IN	over
28	CD	@card@
years	NNS	year
to	TO	to
get	VB	get
through	RP	through
.	SENT	.
900	CD	@card@
million	CD	million
options	NNS	option
.	SENT	.
So	RB	so
we	PP	we
created	VBD	create
a	DT	a
tool	NN	tool
that	WDT	that
allowed	VBD	allow
decisionmakers	NNS	decisionmaker
to	TO	to
weed	VB	weed
through	IN	through
all	DT	all
900	CD	@card@
million	CD	million
options	NNS	option
in	IN	in
just	RB	just
a	DT	a
matter	NN	matter
of	IN	of
days	NNS	day
.	SENT	.
It	PP	it
turned	VBD	turn
out	RP	out
to	TO	to
be	VB	be
incredibly	RB	incredibly
successful	JJ	successful
.	SENT	.
In	IN	in
an	DT	an
operation	NN	operation
in	IN	in
Iraq	NP	Iraq
,	,	,
we	PP	we
saved	VBD	save
17	CD	@card@
percent	NN	percent
of	IN	of
the	DT	the
costs	NNS	cost
,	,	,
and	CC	and
this	DT	this
meant	VBD	mean
that	IN	that
you	PP	you
had	VBD	have
the	DT	the
ability	NN	ability
to	TO	to
feed	VB	feed
an	DT	an
additional	JJ	additional
80	CD	@card@
,	,	,
000	CD	@card@
people	NNS	people
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
all	DT	all
thanks	NNS	thanks
to	TO	to
the	DT	the
use	NN	use
of	IN	of
data	NNS	datum
and	CC	and
modeling	VBG	model
complex	JJ	complex
systems	NNS	system
.	SENT	.
But	CC	but
we	PP	we
didn	NP	<unknown>
'	POS	'
t	NN	t
do	VBP	do
it	PP	it
alone	RB	alone
.	SENT	.
The	DT	the
unit	NN	unit
that	IN	that
I	PP	I
worked	VBD	work
with	IN	with
in	IN	in
Rome	NP	Rome
,	,	,
they	PP	they
were	VBD	be
unique	JJ	unique
.	SENT	.
They	PP	they
believed	VBD	believe
in	IN	in
collaboration	NN	collaboration
.	SENT	.
They	PP	they
brought	VBD	bring
in	IN	in
the	DT	the
academic	JJ	academic
world	NN	world
.	SENT	.
They	PP	they
brought	VBD	bring
in	IN	in
companies	NNS	company
.	SENT	.
And	CC	and
if	IN	if
we	PP	we
really	RB	really
want	VBP	want
to	TO	to
make	VB	make
big	JJ	big
changes	NNS	change
in	IN	in
big	JJ	big
problems	NNS	problem
like	IN	like
world	NN	world
hunger	NN	hunger
,	,	,
we	PP	we
need	VBP	need
everybody	NN	everybody
to	TO	to
the	DT	the
table	NN	table
.	SENT	.
We	PP	we
need	VBP	need
the	DT	the
data	NNS	datum
people	NNS	people
from	IN	from
humanitarian	JJ	humanitarian
organizations	NNS	organization
leading	VBG	lead
the	DT	the
way	NN	way
,	,	,
and	CC	and
orchestrating	VBG	orchestrate
just	RB	just
the	DT	the
right	JJ	right
types	NNS	type
of	IN	of
engagements	NNS	engagement
with	IN	with
academics	NNS	academic
,	,	,
with	IN	with
governments	NNS	government
.	SENT	.
And	CC	and
there	EX	there
'	''	'
s	VBZ	<unknown>
one	CD	one
group	NN	group
that	RB	that
'	POS	'
s	NN	S
not	RB	not
being	VBG	be
leveraged	JJ	leveraged
in	IN	in
the	DT	the
way	NN	way
that	IN	that
it	PP	it
should	MD	should
be	VB	be
.	SENT	.
Did	VBD	do
you	PP	you
guess	VBP	guess
it	PP	it
?	SENT	?
Companies	NNS	company
.	SENT	.
Companies	NNS	company
have	VBP	have
a	DT	a
major	JJ	major
role	NN	role
to	TO	to
play	VB	play
in	IN	in
fixing	VBG	fix
the	DT	the
big	JJ	big
problems	NNS	problem
in	IN	in
our	PP$	our
world	NN	world
.	SENT	.
I	NP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
in	IN	in
the	DT	the
private	JJ	private
sector	NN	sector
for	IN	for
two	CD	two
years	NNS	year
now	RB	now
.	SENT	.
I	NP	I
'	POS	'
ve	NNS	<unknown>
seen	VBN	see
what	WP	what
companies	NNS	company
can	MD	can
do	VB	do
,	,	,
and	CC	and
I	PP	I
'	POS	'
ve	NNS	<unknown>
seen	VBN	see
what	WP	what
companies	NNS	company
aren	NNS	<unknown>
'	POS	'
t	NN	t
doing	VBG	do
,	,	,
and	CC	and
I	PP	I
think	VBP	think
there	EX	there
'	''	'
s	VBG	<unknown>
three	CD	three
main	JJ	main
ways	NNS	way
that	IN	that
we	PP	we
can	MD	can
fill	VB	fill
that	DT	that
gap	NN	gap
:	:	:
by	IN	by
donating	VBG	donate
data	NNS	datum
,	,	,
by	IN	by
donating	VBG	donate
decision	NN	decision
scientists	NNS	scientist
and	CC	and
by	IN	by
donating	VBG	donate
technology	NN	technology
to	TO	to
gather	VB	gather
new	JJ	new
sources	NNS	source
of	IN	of
data	NNS	datum
.	SENT	.
This	DT	this
is	VBZ	be
data	NN	data
philanthropy	NN	philanthropy
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
the	DT	the
future	NN	future
of	IN	of
corporate	JJ	corporate
social	JJ	social
responsibility	NN	responsibility
.	SENT	.
Bonus	NN	bonus
,	,	,
it	PP	it
also	RB	also
makes	VBZ	make
good	JJ	good
business	NN	business
sense	NN	sense
.	SENT	.
Companies	NNS	company
today	NN	today
,	,	,
they	PP	they
collect	VBP	collect
mountains	NNS	mountain
of	IN	of
data	NNS	datum
,	,	,
so	RB	so
the	DT	the
first	JJ	first
thing	NN	thing
they	PP	they
can	MD	can
do	VB	do
is	VBZ	be
start	VB	start
donating	VBG	donate
that	DT	that
data	NNS	datum
.	SENT	.
Some	DT	some
companies	NNS	company
are	VBP	be
already	RB	already
doing	VBG	do
it	PP	it
.	SENT	.
Take	VB	take
,	,	,
for	IN	for
example	NN	example
,	,	,
a	DT	a
major	JJ	major
telecom	NN	<unknown>
company	NN	company
.	SENT	.
They	PP	they
opened	VBD	open
up	RP	up
their	PP$	their
data	NNS	datum
in	IN	in
Senegal	NP	Senegal
and	CC	and
the	DT	the
Ivory	NP	Ivory
Coast	NP	Coast
and	CC	and
researchers	NNS	researcher
discovered	VBD	discover
that	IN	that
if	IN	if
you	PP	you
look	VBP	look
at	IN	at
the	DT	the
patterns	NNS	pattern
in	IN	in
the	DT	the
pings	NNS	ping
to	TO	to
the	DT	the
cell	NN	cell
phone	NN	phone
towers	NNS	tower
,	,	,
you	PP	you
can	MD	can
see	VB	see
where	WRB	where
people	NNS	people
are	VBP	be
traveling	VBG	travel
.	SENT	.
And	CC	and
that	WDT	that
can	MD	can
tell	VB	tell
you	PP	you
things	NNS	thing
like	IN	like
where	WRB	where
malaria	NN	malaria
might	MD	might
spread	VB	spread
,	,	,
and	CC	and
you	PP	you
can	MD	can
make	VB	make
predictions	NNS	prediction
with	IN	with
it	PP	it
.	SENT	.
Or	CC	or
take	VB	take
for	IN	for
example	NN	example
an	DT	an
innovative	JJ	innovative
satellite	NN	satellite
company	NN	company
.	SENT	.
They	PP	they
opened	VBD	open
up	RP	up
their	PP$	their
data	NNS	datum
and	CC	and
donated	VBD	donate
it	PP	it
,	,	,
and	CC	and
with	IN	with
that	DT	that
data	NNS	datum
you	PP	you
could	MD	could
track	VB	track
how	WRB	how
droughts	NNS	drought
are	VBP	be
impacting	VBG	impact
food	NN	food
production	NN	production
.	SENT	.
With	IN	with
that	IN	that
you	PP	you
can	MD	can
actually	RB	actually
trigger	VB	trigger
aid	NN	aid
funding	NN	funding
before	IN	before
a	DT	a
crisis	NN	crisis
can	MD	can
happen	VB	happen
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
great	JJ	great
start	NN	start
.	SENT	.
There	EX	there
'	POS	'
s	JJ	<unknown>
important	JJ	important
insights	NNS	insight
just	RB	just
locked	VBN	lock
away	RB	away
in	IN	in
company	NN	company
data	NNS	datum
.	SENT	.
And	CC	and
yes	UH	yes
,	,	,
you	PP	you
need	VBP	need
to	TO	to
be	VB	be
very	RB	very
careful	JJ	careful
.	SENT	.
You	PP	you
need	VBP	need
to	TO	to
respect	VB	respect
privacy	NN	privacy
concerns	NNS	concern
,	,	,
for	IN	for
example	NN	example
by	IN	by
anonymizing	VBG	<unknown>
the	DT	the
data	NNS	datum
.	SENT	.
But	CC	but
even	RB	even
if	IN	if
the	DT	the
floodgates	NNS	floodgate
opened	VBD	open
up	RP	up
,	,	,
and	CC	and
even	RB	even
if	IN	if
all	DT	all
companies	NNS	company
donated	VBD	donate
their	PP$	their
data	NNS	datum
to	TO	to
academics	NNS	academic
,	,	,
to	TO	to
NGOs	NNS	Ngo
,	,	,
to	TO	to
humanitarian	JJ	humanitarian
organizations	NNS	organization
,	,	,
it	PP	it
wouldn	NNS	<unknown>
'	''	'
t	NN	t
be	VB	be
enough	JJ	enough
to	TO	to
harness	VB	harness
that	DT	that
full	JJ	full
impact	NN	impact
of	IN	of
data	NNS	datum
for	IN	for
humanitarian	JJ	humanitarian
goals	NNS	goal
.	SENT	.
Why	WRB	why
?	SENT	?
To	TO	to
unlock	VB	unlock
insights	NNS	insight
in	IN	in
data	NNS	datum
,	,	,
you	PP	you
need	VBP	need
decision	NN	decision
scientists	NNS	scientist
.	SENT	.
Decision	NN	decision
scientists	NNS	scientist
are	VBP	be
people	NNS	people
like	IN	like
me	PP	me
.	SENT	.
They	PP	they
take	VBP	take
the	DT	the
data	NNS	datum
,	,	,
they	PP	they
clean	VBP	clean
it	PP	it
up	RP	up
,	,	,
transform	VB	transform
it	PP	it
and	CC	and
put	VB	put
it	PP	it
into	IN	into
a	DT	a
useful	JJ	useful
algorithm	NN	algorithm
that	RB	that
'	POS	'
s	NN	S
the	DT	the
best	JJS	good
choice	NN	choice
to	TO	to
address	VB	address
the	DT	the
business	NN	business
need	NN	need
at	IN	at
hand	NN	hand
.	SENT	.
In	IN	in
the	DT	the
world	NN	world
of	IN	of
humanitarian	JJ	humanitarian
aid	NN	aid
,	,	,
there	EX	there
are	VBP	be
very	RB	very
few	JJ	few
decision	NN	decision
scientists	NNS	scientist
.	SENT	.
Most	JJS	most
of	IN	of
them	PP	them
work	VBP	work
for	IN	for
companies	NNS	company
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	VBG	<unknown>
the	DT	the
second	JJ	second
thing	NN	thing
that	IN	that
companies	NNS	company
need	VBP	need
to	TO	to
do	VB	do
.	SENT	.
In	IN	in
addition	NN	addition
to	TO	to
donating	VBG	donate
their	PP$	their
data	NNS	datum
,	,	,
they	PP	they
need	VBP	need
to	TO	to
donate	VB	donate
their	PP$	their
decision	NN	decision
scientists	NNS	scientist
.	SENT	.
Now	RB	now
,	,	,
companies	NNS	company
will	MD	will
say	VB	say
,	,	,
"	``	"
Ah	UH	ah
!	SENT	!
Don	NP	Don
'	POS	'
t	NN	t
take	VB	take
our	PP$	our
decision	NN	decision
scientists	NNS	scientist
from	IN	from
us	PP	us
.	SENT	.
We	PP	we
need	VBP	need
every	DT	every
spare	JJ	spare
second	NN	second
of	IN	of
their	PP$	their
time	NN	time
.	SENT	.
"	``	"
But	CC	but
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
way	NN	way
.	SENT	.
If	IN	if
a	DT	a
company	NN	company
was	VBD	be
going	VBG	go
to	TO	to
donate	VB	donate
a	DT	a
block	NN	block
of	IN	of
a	DT	a
decision	NN	decision
scientist	NN	scientist
'	POS	'
s	NN	S
time	NN	time
,	,	,
it	PP	it
would	MD	would
actually	RB	actually
make	VB	make
more	JJR	more
sense	NN	sense
to	TO	to
spread	VB	spread
out	RP	out
that	DT	that
block	NN	block
of	IN	of
time	NN	time
over	IN	over
a	DT	a
long	JJ	long
period	NN	period
,	,	,
say	VBP	say
for	IN	for
example	NN	example
five	CD	five
years	NNS	year
.	SENT	.
This	DT	this
might	MD	might
only	RB	only
amount	VB	amount
to	TO	to
a	DT	a
couple	NN	couple
of	IN	of
hours	NNS	hour
per	IN	per
month	NN	month
,	,	,
which	WDT	which
a	DT	a
company	NN	company
would	MD	would
hardly	RB	hardly
miss	VB	miss
,	,	,
but	CC	but
what	WP	what
it	PP	it
enables	VBZ	enable
is	VBZ	be
really	RB	really
important	JJ	important
:	:	:
long-term	JJ	long-term
partnerships	NNS	partnership
.	SENT	.
Long-term	JJ	long-term
partnerships	NNS	partnership
allow	VBP	allow
you	PP	you
to	TO	to
build	VB	build
relationships	NNS	relationship
,	,	,
to	TO	to
get	VB	get
to	TO	to
know	VB	know
the	DT	the
data	NNS	datum
,	,	,
to	TO	to
really	RB	really
understand	VB	understand
it	PP	it
and	CC	and
to	TO	to
start	VB	start
to	TO	to
understand	VB	understand
the	DT	the
needs	NNS	need
and	CC	and
challenges	NNS	challenge
that	IN	that
the	DT	the
humanitarian	JJ	humanitarian
organization	NN	organization
is	VBZ	be
facing	VBG	face
.	SENT	.
In	IN	in
Rome	NP	Rome
,	,	,
at	IN	at
the	DT	the
World	NP	World
Food	NP	Food
Programme	NN	programme
,	,	,
this	DT	this
took	VBD	take
us	PP	us
five	CD	five
years	NNS	year
to	TO	to
do	VB	do
,	,	,
five	CD	five
years	NNS	year
.	SENT	.
That	DT	that
first	JJ	first
three	CD	three
years	NNS	year
,	,	,
OK	UH	OK
,	,	,
that	WDT	that
was	VBD	be
just	RB	just
what	WP	what
we	PP	we
couldn	NN	<unknown>
'	POS	'
t	NN	t
solve	VB	solve
for	IN	for
.	SENT	.
Then	RB	then
there	EX	there
was	VBD	be
two	CD	two
years	NNS	year
after	IN	after
that	IN	that
of	IN	of
refining	VBG	refine
and	CC	and
implementing	VBG	implement
the	DT	the
tool	NN	tool
,	,	,
like	IN	like
in	IN	in
the	DT	the
operations	NNS	operation
in	IN	in
Iraq	NP	Iraq
and	CC	and
other	JJ	other
countries	NNS	country
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
think	VBP	think
that	DT	that
'	''	'
s	VBG	<unknown>
an	DT	an
unrealistic	JJ	unrealistic
timeline	NN	timeline
when	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
using	VBG	use
data	NNS	datum
to	TO	to
make	VB	make
operational	JJ	operational
changes	NNS	change
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
an	DT	an
investment	NN	investment
.	SENT	.
It	PP	it
requires	VBZ	require
patience	NN	patience
.	SENT	.
But	CC	but
the	DT	the
types	NNS	type
of	IN	of
results	NNS	result
that	WDT	that
can	MD	can
be	VB	be
produced	VBN	produce
are	VBP	be
undeniable	JJ	undeniable
.	SENT	.
In	IN	in
our	PP$	our
case	NN	case
,	,	,
it	PP	it
was	VBD	be
the	DT	the
ability	NN	ability
to	TO	to
feed	VB	feed
tens	NNS	ten
of	IN	of
thousands	NNS	thousand
more	JJR	more
people	NNS	people
.	SENT	.
So	RB	so
we	PP	we
have	VB	have
donating	VBG	donate
data	NNS	datum
,	,	,
we	PP	we
have	VBP	have
donating	VBG	donate
decision	NN	decision
scientists	NNS	scientist
,	,	,
and	CC	and
there	EX	there
'	''	'
s	NNS	<unknown>
actually	RB	actually
a	DT	a
third	JJ	third
way	NN	way
that	IN	that
companies	NNS	company
can	MD	can
help	VB	help
:	:	:
donating	VBG	donate
technology	NN	technology
to	TO	to
capture	VB	capture
new	JJ	new
sources	NNS	source
of	IN	of
data	NNS	datum
.	SENT	.
You	PP	you
see	VBP	see
,	,	,
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
lot	NN	lot
of	IN	of
things	NNS	thing
we	PP	we
just	RB	just
don	VB	don
'	''	'
t	NN	t
have	VBP	have
data	NNS	datum
on	IN	on
.	SENT	.
Right	RB	right
now	RB	now
,	,	,
Syrian	JJ	Syrian
refugees	NNS	refugee
are	VBP	be
flooding	VBG	flood
into	IN	into
Greece	NP	Greece
,	,	,
and	CC	and
the	DT	the
UN	NP	UN
refugee	NN	refugee
agency	NN	agency
,	,	,
they	PP	they
have	VBP	have
their	PP$	their
hands	NNS	hand
full	JJ	full
.	SENT	.
The	DT	the
current	JJ	current
system	NN	system
for	IN	for
tracking	VBG	track
people	NNS	people
is	VBZ	be
paper	NN	paper
and	CC	and
pencil	NN	pencil
,	,	,
and	CC	and
what	WP	what
that	DT	that
means	NN	means
is	VBZ	be
that	IN	that
when	WRB	when
a	DT	a
mother	NN	mother
and	CC	and
her	PP$	her
five	CD	five
children	NNS	child
walk	VBP	walk
into	IN	into
the	DT	the
camp	NN	camp
,	,	,
headquarters	NN	headquarters
is	VBZ	be
essentially	RB	essentially
blind	JJ	blind
to	TO	to
this	DT	this
moment	NN	moment
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
all	RB	all
going	VBG	go
to	TO	to
change	VB	change
in	IN	in
the	DT	the
next	JJ	next
few	JJ	few
weeks	NNS	week
,	,	,
thanks	NNS	thanks
to	TO	to
private	JJ	private
sector	NN	sector
collaboration	NN	collaboration
.	SENT	.
There	EX	there
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
be	VB	be
a	DT	a
new	JJ	new
system	NN	system
based	VBN	base
on	IN	on
donated	VBN	donate
package	NN	package
tracking	VBG	track
technology	NN	technology
from	IN	from
the	DT	the
logistics	NNS	logistic
company	NN	company
that	IN	that
I	PP	I
work	VBP	work
for	IN	for
.	SENT	.
With	IN	with
this	DT	this
new	JJ	new
system	NN	system
,	,	,
there	EX	there
will	MD	will
be	VB	be
a	DT	a
data	NNS	datum
trail	VBP	trail
,	,	,
so	RB	so
you	PP	you
know	VBP	know
exactly	RB	exactly
the	DT	the
moment	NN	moment
when	WRB	when
that	DT	that
mother	NN	mother
and	CC	and
her	PP$	her
children	NNS	child
walk	VBP	walk
into	IN	into
the	DT	the
camp	NN	camp
.	SENT	.
And	CC	and
even	RB	even
more	JJR	more
,	,	,
you	PP	you
know	VBP	know
if	IN	if
she	PP	she
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
have	VB	have
supplies	NNS	supply
this	DT	this
month	NN	month
and	CC	and
the	DT	the
next	JJ	next
.	SENT	.
Information	NN	information
visibility	NN	visibility
drives	NNS	drive
efficiency	NN	efficiency
.	SENT	.
For	IN	for
companies	NNS	company
,	,	,
using	VBG	use
technology	NN	technology
to	TO	to
gather	VB	gather
important	JJ	important
data	NNS	datum
,	,	,
it	PP	it
'	POS	'
s	NN	S
like	IN	like
bread	NN	bread
and	CC	and
butter	NN	butter
.	SENT	.
They	PP	they
'	POS	'
