Everyone	NN	everyone
.	SENT	.
Now	RB	now
that	IN	that
you	PP	you
have	VBP	have
a	DT	a
primary	JJ	primary
savings	NN	savings
goal	NN	goal
in	IN	in
mind	NN	mind
,	,	,
let	VBN	let
'	POS	'
s	JJ	<unknown>
focus	NN	focus
on	IN	on
helping	VBG	help
you	PP	you
increase	VB	increase
the	DT	the
amount	NN	amount
that	IN	that
you	PP	you
save	VB	save
.	SENT	.
Your	PP$	your
main	JJ	main
savings	NNS	saving
strategy	NN	strategy
should	MD	should
be	VB	be
to	TO	to
switch	VB	switch
from	IN	from
having	VBG	have
to	TO	to
remember	VB	remember
to	TO	to
save	VB	save
a	DT	a
small	JJ	small
amount	NN	amount
every	DT	every
month	NN	month
to	TO	to
saving	VBG	save
a	DT	a
percentage	NN	percentage
of	IN	of
your	PP$	your
income	NN	income
automatically	RB	automatically
,	,	,
any	DT	any
time	NN	time
you	PP	you
receive	VBP	receive
income	NN	income
.	SENT	.
Now	RB	now
,	,	,
some	DT	some
people	NNS	people
advise	VBP	advise
saving	VBG	save
10	CD	@card@
,	,	,
15	CD	@card@
or	CC	or
20	CD	@card@
percent	NN	percent
of	IN	of
your	PP$	your
income	NN	income
,	,	,
but	CC	but
that	IN	that
'	POS	'
s	NN	S
not	RB	not
important	JJ	important
.	SENT	.
You	PP	you
know	VBP	know
your	PP$	your
financial	JJ	financial
situation	NN	situation
.	SENT	.
You	PP	you
know	VBP	know
how	WRB	how
much	JJ	much
you	PP	you
can	MD	can
manage	VB	manage
to	TO	to
save	VB	save
.	SENT	.
The	DT	the
real	JJ	real
trick	NN	trick
is	VBZ	be
to	TO	to
find	VB	find
a	DT	a
provider	NN	provider
that	WDT	that
lets	VBZ	let
you	PP	you
set	VBD	set
up	RP	up
an	DT	an
automatic	JJ	automatic
savings	NN	savings
plan	NN	plan
and	CC	and
not	RB	not
to	TO	to
have	VB	have
to	TO	to
think	VB	think
about	IN	about
it	PP	it
ever	RB	ever
again	RB	again
.	SENT	.
The	DT	the
"	``	"
set	VB	set
it	PP	it
and	CC	and
forget	VB	forget
it	PP	it
"	``	"
approach	NN	approach
is	VBZ	be
shown	VBN	show
to	TO	to
help	VB	help
you	PP	you
save	VB	save
more	RBR	more
.	SENT	.
Researchers	NNS	researcher
believe	VBP	believe
that	IN	that
passive	JJ	passive
systems	NNS	system
like	IN	like
this	DT	this
are	VBP	be
successful	JJ	successful
,	,	,
because	IN	because
they	PP	they
work	VBP	work
with	IN	with
our	PP$	our
tendency	NN	tendency
towards	IN	towards
inertia	NN	inertia
.	SENT	.
You	PP	you
don	VBP	don
'	''	'
t	NN	t
have	VBP	have
to	TO	to
manually	RB	manually
initiate	VB	initiate
each	DT	each
subsequent	JJ	subsequent
transfer	NN	transfer
,	,	,
and	CC	and
you	PP	you
won	VBD	win
'	''	'
t	NN	t
be	VB	be
tempted	VBN	tempt
to	TO	to
hold	VB	hold
back	RB	back
a	DT	a
bit	NN	bit
every	DT	every
time	NN	time
you	PP	you
make	VBP	make
a	DT	a
savings	NNS	saving
transfer	NN	transfer
.	SENT	.
I	PP	I
want	VBP	want
you	PP	you
to	TO	to
take	VB	take
the	DT	the
time	NN	time
right	RB	right
now	RB	now
to	TO	to
find	VB	find
a	DT	a
provider	NN	provider
.	SENT	.
Go	VB	go
to	TO	to
your	PP$	your
app	NP	App
store	NN	store
,	,	,
download	NN	<unknown>
the	DT	the
app	NP	App
and	CC	and
set	VB	set
up	RP	up
your	PP$	your
automatic	JJ	automatic
savings	NNS	saving
plan	VBP	plan
.	SENT	.
If	IN	if
you	PP	you
make	VBP	make
these	DT	these
two	CD	two
small	JJ	small
changes	NNS	change
--	:	--
focus	VB	focus
on	IN	on
just	RB	just
one	CD	one
savings	NN	savings
goal	NN	goal
at	IN	at
a	DT	a
time	NN	time
and	CC	and
automate	VB	automate
your	PP$	your
savings	NNS	saving
--	:	--
you	PP	you
should	MD	should
find	VB	find
success	NN	success
,	,	,
even	RB	even
if	IN	if
you	PP	you
don	NN	don
'	POS	'
t	NN	t
think	VBP	think
you	PP	you
'	''	'
re	IN	re
saving	VBG	save
that	DT	that
much	JJ	much
money	NN	money
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NNS	<unknown>
easier	RBR	easier
than	IN	than
it	PP	it
may	MD	may
seem	VB	seem
.	SENT	.
So	RB	so
there	EX	there
you	PP	you
have	VBP	have
it	PP	it
.	SENT	.
We	PP	we
have	VBP	have
demystified	VBN	demystify
the	DT	the
old	JJ	old
adage	NN	adage
of	IN	of
paying	VBG	pay
yourself	PP	yourself
first	JJ	first
.	SENT	.
