Two	CD	two
my	PP$	my
name	NN	name
everywhere	RB	everywhere
,	,	,
using	VBG	use
the	DT	the
city	NN	city
as	IN	as
a	DT	a
canvas	NN	canvas
.	SENT	.
I	PP	I
was	VBD	be
going	VBG	go
in	IN	in
the	DT	the
tunnels	NNS	tunnel
of	IN	of
Paris	NP	Paris
,	,	,
on	IN	on
the	DT	the
rooftops	NNS	rooftop
with	IN	with
my	PP$	my
friends	NNS	friend
.	SENT	.
Each	DT	each
trip	NN	trip
was	VBD	be
an	DT	an
excursion	NN	excursion
,	,	,
was	VBD	be
an	DT	an
adventure	NN	adventure
.	SENT	.
It	PP	it
was	VBD	be
like	IN	like
leaving	VBG	leave
our	PP$	our
mark	NN	mark
on	IN	on
society	NN	society
,	,	,
to	TO	to
say	VB	say
,	,	,
"	``	"
I	PP	I
was	VBD	be
here	RB	here
,	,	,
"	''	"
on	IN	on
the	DT	the
top	NN	top
of	IN	of
a	DT	a
building	NN	building
.	SENT	.
So	RB	so
when	WRB	when
I	PP	I
found	VBD	find
a	DT	a
cheap	JJ	cheap
camera	NN	camera
on	IN	on
the	DT	the
subway	NN	subway
,	,	,
I	PP	I
started	VBD	start
documenting	VBG	document
those	DT	those
adventures	NNS	adventure
with	IN	with
my	PP$	my
friends	NNS	friend
and	CC	and
gave	VBD	give
them	PP	them
back	RB	back
as	IN	as
photocopies	NNS	photocopy
—	:	-
really	RB	really
small	JJ	small
photos	NNS	photo
just	RB	just
that	DT	that
size	NN	size
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
how	WRB	how
,	,	,
at	IN	at
17	CD	@card@
years	NNS	year
old	JJ	old
,	,	,
I	PP	I
started	VBD	start
pasting	VBG	paste
them	PP	them
.	SENT	.
And	CC	and
I	PP	I
did	VBD	do
my	PP$	my
first	JJ	first
"	``	"
expo	NN	expo
de	FW	de
rue	NN	rue
,	,	,
"	''	"
which	WDT	which
means	VBZ	mean
sidewalk	NN	sidewalk
gallery	NN	gallery
.	SENT	.
And	CC	and
I	PP	I
framed	VBD	frame
it	PP	it
with	IN	with
color	NN	color
so	IN	so
you	PP	you
would	MD	would
not	RB	not
confuse	VB	confuse
it	PP	it
with	IN	with
advertising	NN	advertising
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
the	DT	the
city	NN	city
'	POS	'
s	NN	S
the	DT	the
best	JJS	good
gallery	NN	gallery
I	PP	I
could	MD	could
imagine	VB	imagine
.	SENT	.
I	PP	I
would	MD	would
never	RB	never
have	VB	have
to	TO	to
make	VB	make
a	DT	a
book	NN	book
and	CC	and
then	RB	then
present	VB	present
it	PP	it
to	TO	to
a	DT	a
gallery	NN	gallery
and	CC	and
let	VB	let
them	PP	them
decide	VB	decide
if	IN	if
my	PP$	my
work	NN	work
was	VBD	be
nice	JJ	nice
enough	RB	enough
to	TO	to
show	VB	show
it	PP	it
to	TO	to
people	NNS	people
.	SENT	.
I	PP	I
would	MD	would
control	VB	control
it	PP	it
directly	RB	directly
with	IN	with
the	DT	the
public	NN	public
in	IN	in
the	DT	the
streets	NNS	street
.	SENT	.
So	IN	so
that	DT	that
'	''	'
s	NNS	<unknown>
Paris	NP	Paris
.	SENT	.
I	PP	I
would	MD	would
change	VB	change
—	:	-
depending	VBG	depend
on	IN	on
the	DT	the
places	NNS	place
I	PP	I
would	MD	would
go	VB	go
—	:	-
the	DT	the
title	NN	title
of	IN	of
the	DT	the
exhibition	NN	exhibition
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
on	IN	on
the	DT	the
Champs-Elysees	NP	Champs-Elysees
.	SENT	.
I	PP	I
was	VBD	be
quite	RB	quite
proud	JJ	proud
of	IN	of
that	WDT	that
one	CD	one
.	SENT	.
Because	IN	because
I	PP	I
was	VBD	be
just	RB	just
18	CD	@card@
and	CC	and
I	PP	I
was	VBD	be
just	RB	just
up	RB	up
there	RB	there
on	IN	on
the	DT	the
top	NN	top
of	IN	of
the	DT	the
Champs-Elysees	NP	Champs-Elysees
.	SENT	.
Then	RB	then
when	WRB	when
the	DT	the
photo	NN	photo
left	VBD	leave
,	,	,
the	DT	the
frame	NN	frame
was	VBD	be
still	RB	still
there	RB	there
.	SENT	.
November	NP	November
2005	CD	@card@
:	:	:
the	DT	the
streets	NNS	street
are	VBP	be
burning	VBG	burn
.	SENT	.
A	DT	a
large	JJ	large
wave	NN	wave
of	IN	of
riots	NNS	riot
had	VBD	have
broken	VBN	break
into	IN	into
the	DT	the
first	JJ	first
projects	NNS	project
of	IN	of
Paris	NP	Paris
.	SENT	.
Everyone	NN	everyone
was	VBD	be
glued	VBN	glue
to	TO	to
the	DT	the
TV	NN	TV
,	,	,
watching	VBG	watch
disturbing	JJ	disturbing
,	,	,
frightening	JJ	frightening
images	NNS	image
taken	VBN	take
from	IN	from
the	DT	the
edge	NN	edge
of	IN	of
the	DT	the
neighborhood	NN	neighborhood
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
these	DT	these
kids	NNS	kid
,	,	,
without	IN	without
control	NN	control
,	,	,
throwing	VBG	throw
Molotov	NP	Molotov
cocktails	NNS	cocktail
,	,	,
attacking	VBG	attack
the	DT	the
cops	VBZ	cop
and	CC	and
the	DT	the
firemen	NNS	fireman
,	,	,
looting	VBG	loot
everything	NN	everything
they	PP	they
could	MD	could
in	IN	in
the	DT	the
shops	NNS	shop
.	SENT	.
These	DT	these
were	VBD	be
criminals	NNS	criminal
,	,	,
thugs	NNS	thug
,	,	,
dangerous	JJ	dangerous
,	,	,
destroying	VBG	destroy
their	PP$	their
own	JJ	own
environment	NN	environment
.	SENT	.
And	CC	and
then	RB	then
I	PP	I
saw	VBD	see
it	PP	it
—	:	-
could	MD	could
it	PP	it
be	VB	be
possible	JJ	possible
?	SENT	?
—	:	-
my	PP$	my
photo	NN	photo
on	IN	on
a	DT	a
wall	NN	wall
revealed	VBD	reveal
by	IN	by
a	DT	a
burning	NN	burning
car	NN	car
—	:	-
a	DT	a
pasting	VBG	paste
I	PP	I
'	POS	'
d	NN	d
done	VBN	do
a	DT	a
year	NN	year
earlier	RBR	earlier
—	:	-
an	DT	an
illegal	JJ	illegal
one	CD	one
—	:	-
still	RB	still
there	RB	there
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
these	DT	these
were	VBD	be
the	DT	the
faces	NNS	face
of	IN	of
my	PP$	my
friends	NNS	friend
.	SENT	.
I	PP	I
know	VBP	know
those	DT	those
guys	NNS	guy
.	SENT	.
All	DT	all
of	IN	of
them	PP	them
are	VBP	be
not	RB	not
angels	NNS	angel
,	,	,
but	CC	but
they	PP	they
'	POS	'
re	NN	re
not	RB	not
monsters	NNS	monster
either	RB	either
.	SENT	.
So	RB	so
it	PP	it
was	VBD	be
kind	NN	kind
of	IN	of
weird	JJ	weird
to	TO	to
see	VB	see
those	DT	those
images	NNS	image
and	CC	and
those	DT	those
eyes	NNS	eye
stare	VBP	stare
back	RB	back
at	IN	at
me	PP	me
through	IN	through
a	DT	a
television	NN	television
.	SENT	.
So	RB	so
I	PP	I
went	VBD	go
back	RB	back
there	RB	there
with	IN	with
a	DT	a
28	CD	@card@
mm	NN	mm.
lens	NN	lens
.	SENT	.
It	PP	it
was	VBD	be
the	DT	the
only	JJ	only
one	CD	one
I	PP	I
had	VBD	have
at	IN	at
that	DT	that
time	NN	time
.	SENT	.
But	CC	but
with	IN	with
that	DT	that
lens	NN	lens
,	,	,
you	PP	you
have	VBP	have
to	TO	to
be	VB	be
as	RB	as
close	JJ	close
as	IN	as
10	CD	@card@
inches	NNS	inch
from	IN	from
the	DT	the
person	NN	person
.	SENT	.
So	RB	so
you	PP	you
can	MD	can
do	VB	do
it	PP	it
only	RB	only
with	IN	with
their	PP$	their
trust	NN	trust
.	SENT	.
So	RB	so
I	PP	I
took	VBD	take
full	JJ	full
portraits	NNS	portrait
of	IN	of
people	NNS	people
from	IN	from
Le	NP	Le
Bosquet	NP	Bosquet
.	SENT	.
They	PP	they
were	VBD	be
making	VBG	make
scary	JJ	scary
faces	NNS	face
to	TO	to
play	VB	play
the	DT	the
caricature	NN	caricature
of	IN	of
themselves	PP	themselves
.	SENT	.
And	CC	and
then	RB	then
I	PP	I
pasted	VBD	paste
huge	JJ	huge
posters	NNS	poster
everywhere	RB	everywhere
in	IN	in
the	DT	the
bourgeois	JJ	bourgeois
area	NN	area
of	IN	of
Paris	NP	Paris
with	IN	with
the	DT	the
name	NN	name
,	,	,
age	NN	age
,	,	,
even	RB	even
building	VBG	build
number	NN	number
of	IN	of
these	DT	these
guys	NNS	guy
.	SENT	.
A	DT	a
year	NN	year
later	RBR	later
,	,	,
the	DT	the
exhibition	NN	exhibition
was	VBD	be
displayed	VBN	display
in	IN	in
front	NN	front
of	IN	of
the	DT	the
city	NN	city
hall	NN	hall
of	IN	of
Paris	NP	Paris
.	SENT	.
And	CC	and
we	PP	we
go	VBP	go
from	IN	from
thug	NN	thug
images	NNS	image
,	,	,
who	WP	who
'	POS	'
ve	RB	<unknown>
been	VBN	be
stolen	VBN	steal
and	CC	and
distorted	VBN	distort
by	IN	by
the	DT	the
media	NNS	medium
,	,	,
who	WP	who
'	POS	'
s	NN	S
now	RB	now
proudly	RB	proudly
taking	VBG	take
over	IN	over
his	PP$	his
own	JJ	own
image	NN	image
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
where	WRB	where
I	PP	I
realized	VBD	realize
the	DT	the
power	NN	power
of	IN	of
paper	NN	paper
and	CC	and
glue	NN	glue
.	SENT	.
So	RB	so
could	MD	could
art	NN	art
change	VB	change
the	DT	the
world	NN	world
?	SENT	?
A	DT	a
year	NN	year
later	RBR	later
,	,	,
I	PP	I
was	VBD	be
listening	VBG	listen
to	TO	to
all	PDT	all
the	DT	the
noise	NN	noise
about	IN	about
the	DT	the
Middle	NP	Middle
East	NP	East
conflict	NN	conflict
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
at	IN	at
that	DT	that
time	NN	time
,	,	,
trust	VB	trust
me	PP	me
,	,	,
they	PP	they
were	VBD	be
only	RB	only
referring	VBG	refer
to	TO	to
the	DT	the
Israeli	JJ	Israeli
and	CC	and
Palestinian	JJ	Palestinian
conflict	NN	conflict
.	SENT	.
So	RB	so
with	IN	with
my	PP$	my
friend	NN	friend
Marco	NP	Marco
,	,	,
we	PP	we
decided	VBD	decide
to	TO	to
go	VB	go
there	RB	there
and	CC	and
see	VB	see
who	WP	who
are	VBP	be
the	DT	the
real	JJ	real
Palestinians	NNS	Palestinian
and	CC	and
who	WP	who
are	VBP	be
the	DT	the
real	JJ	real
Israelis	NPS	Israelis
.	SENT	.
Are	VBP	be
they	PP	they
so	RB	so
different	JJ	different
?	SENT	?
When	WRB	when
we	PP	we
got	VBD	get
there	RB	there
,	,	,
we	PP	we
just	RB	just
went	VBD	go
in	IN	in
the	DT	the
street	NN	street
,	,	,
started	VBD	start
talking	VBG	talk
with	IN	with
people	NNS	people
everywhere	RB	everywhere
,	,	,
and	CC	and
we	PP	we
realized	VBD	realize
that	IN	that
things	NNS	thing
were	VBD	be
a	DT	a
bit	NN	bit
different	JJ	different
from	IN	from
the	DT	the
rhetoric	NN	rhetoric
we	PP	we
heard	VBD	hear
in	IN	in
the	DT	the
media	NNS	medium
.	SENT	.
So	RB	so
we	PP	we
decided	VBD	decide
to	TO	to
take	VB	take
portraits	NNS	portrait
of	IN	of
Palestinians	NPS	Palestinians
and	CC	and
Israelis	NPS	Israelis
doing	VBG	do
the	DT	the
same	JJ	same
jobs	NNS	job
—	:	-
taxi-driver	NN	taxi-driver
,	,	,
lawyer	NN	lawyer
,	,	,
cooks	NNS	cook
.	SENT	.
Asked	VBD	ask
them	PP	them
to	TO	to
make	VB	make
a	DT	a
face	NN	face
as	IN	as
a	DT	a
sign	NN	sign
of	IN	of
commitment	NN	commitment
.	SENT	.
Not	RB	not
a	DT	a
smile	NN	smile
—	:	-
that	WDT	that
really	RB	really
doesn	NP	<unknown>
'	POS	'
t	NN	t
tell	VB	tell
about	RB	about
who	WP	who
you	PP	you
are	VBP	be
and	CC	and
what	WP	what
you	PP	you
feel	VBP	feel
.	SENT	.
They	PP	they
all	RB	all
accepted	VBD	accept
to	TO	to
be	VB	be
pasted	VBN	paste
next	JJ	next
to	TO	to
the	DT	the
other	JJ	other
.	SENT	.
I	PP	I
decided	VBD	decide
to	TO	to
paste	VB	paste
in	IN	in
eight	CD	eight
Israeli	JJ	Israeli
and	CC	and
Palestinian	JJ	Palestinian
cities	NNS	city
and	CC	and
on	IN	on
both	DT	both
sides	NNS	side
of	IN	of
the	DT	the
wall	NN	wall
.	SENT	.
We	PP	we
launched	VBD	launch
the	DT	the
biggest	JJS	big
illegal	JJ	illegal
art	NN	art
exhibition	NN	exhibition
ever	RB	ever
.	SENT	.
We	PP	we
called	VBD	call
the	DT	the
project	NN	project
Face	NP	Face
2	CD	@card@
Face	NP	Face
.	SENT	.
The	DT	the
experts	NNS	expert
said	VBD	say
,	,	,
"	``	"
No	DT	no
way	NN	way
.	SENT	.
The	DT	the
people	NNS	people
will	MD	will
not	RB	not
accept	VB	accept
.	SENT	.
The	DT	the
army	NN	army
will	MD	will
shoot	VB	shoot
you	PP	you
,	,	,
and	CC	and
Hamas	NP	<unknown>
will	MD	will
kidnap	VB	kidnap
you	PP	you
.	SENT	.
"	''	"
We	PP	we
said	VBD	say
,	,	,
"	``	"
Okay	NP	Okay
,	,	,
let	VBN	let
'	POS	'
s	NNS	<unknown>
try	VBP	try
and	CC	and
push	VBP	push
as	RB	as
far	RB	far
as	IN	as
we	PP	we
can	MD	can
.	SENT	.
"	``	"
I	PP	I
love	VBP	love
the	DT	the
way	NN	way
that	IN	that
people	NNS	people
will	MD	will
ask	VB	ask
me	PP	me
,	,	,
"	``	"
How	WRB	how
big	JJ	big
will	NN	will
my	PP$	my
photo	NN	photo
be	VB	be
?	SENT	?
"	''	"
"	``	"
It	PP	it
will	MD	will
be	VB	be
as	RB	as
big	JJ	big
as	IN	as
your	PP$	your
house	NN	house
.	SENT	.
"	``	"
When	WRB	when
we	PP	we
did	VBD	do
the	DT	the
wall	NN	wall
,	,	,
we	PP	we
did	VBD	do
the	DT	the
Palestinian	JJ	Palestinian
side	NN	side
.	SENT	.
So	RB	so
we	PP	we
arrived	VBD	arrive
with	IN	with
just	RB	just
our	PP$	our
ladders	NNS	ladder
and	CC	and
we	PP	we
realized	VBD	realize
that	IN	that
they	PP	they
were	VBD	be
not	RB	not
high	JJ	high
enough	RB	enough
.	SENT	.
And	CC	and
so	RB	so
Palestinians	NPS	Palestinians
guys	NNS	guy
say	VBP	say
,	,	,
"	``	"
Calm	VB	calm
down	RB	down
.	SENT	.
No	DT	no
wait	NN	wait
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
find	VB	find
you	PP	you
a	DT	a
solution	NN	solution
.	SENT	.
"	``	"
So	RB	so
he	PP	he
went	VBD	go
to	TO	to
the	DT	the
Church	NN	church
of	IN	of
Nativity	NN	nativity
and	CC	and
brought	VBD	bring
back	RB	back
an	DT	an
old	JJ	old
ladder	NN	ladder
that	WDT	that
was	VBD	be
so	RB	so
old	JJ	old
that	IN	that
it	PP	it
could	MD	could
have	VB	have
seen	VBN	see
Jesus	NP	Jesus
being	VBG	be
born	VBN	bear
.	SENT	.
We	PP	we
did	VBD	do
Face	NP	Face
2	CD	@card@
Face	NP	Face
with	IN	with
only	RB	only
six	CD	six
friends	NNS	friend
,	,	,
two	CD	two
ladders	NNS	ladder
,	,	,
two	CD	two
brushes	NNS	brush
,	,	,
a	DT	a
rented	VBN	rent
car	NN	car
,	,	,
a	DT	a
camera	NN	camera
and	CC	and
20	CD	@card@
,	,	,
000	CD	@card@
square	JJ	square
feet	NNS	foot
of	IN	of
paper	NN	paper
.	SENT	.
We	PP	we
had	VBD	have
all	DT	all
sorts	NNS	sort
of	IN	of
help	NN	help
from	IN	from
all	DT	all
walks	NNS	walk
of	IN	of
life	NN	life
.	SENT	.
Okay	RB	okay
,	,	,
for	IN	for
example	NN	example
,	,	,
that	WDT	that
'	POS	'
s	JJ	<unknown>
Palestine	NP	Palestine
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
in	IN	in
Ramallah	NP	Ramallah
right	RB	right
now	RB	now
.	SENT	.
We	PP	we
'	''	'
re	IN	re
pasting	VBG	paste
portraits	NNS	portrait
—	:	-
so	RB	so
both	DT	both
portraits	NNS	portrait
in	IN	in
the	DT	the
streets	NNS	street
in	IN	in
a	DT	a
crowded	JJ	crowded
market	NN	market
.	SENT	.
People	NNS	people
come	VBP	come
around	IN	around
us	PP	us
and	CC	and
start	VB	start
asking	VBG	ask
,	,	,
"	``	"
What	WP	what
are	VBP	be
you	PP	you
doing	VBG	do
here	RB	here
?	SENT	?
"	''	"
"	``	"
Oh	UH	oh
,	,	,
we	PP	we
'	POS	'
re	NN	re
actually	RB	actually
doing	VBG	do
an	DT	an
art	NN	art
project	NN	project
and	CC	and
we	PP	we
are	VBP	be
pasting	VBG	paste
an	DT	an
Israeli	JJ	Israeli
and	CC	and
a	DT	a
Palestinian	NN	Palestinian
doing	VBG	do
the	DT	the
same	JJ	same
job	NN	job
.	SENT	.
And	CC	and
those	DT	those
ones	NNS	one
are	VBP	be
actually	RB	actually
two	CD	two
taxi-drivers	NNS	taxi-driver
.	SENT	.
"	''	"
And	CC	and
then	RB	then
there	EX	there
was	VBD	be
always	RB	always
a	DT	a
silence	NN	silence
.	SENT	.
"	``	"
You	PP	you
mean	VBP	mean
you	PP	you
'	''	'
re	IN	re
pasting	VBG	paste
an	DT	an
Israeli	JJ	Israeli
face	NN	face
—	:	-
doing	VBG	do
a	DT	a
face	NN	face
—	:	-
right	RB	right
here	RB	here
?	SENT	?
"	''	"
"	``	"
Well	UH	well
,	,	,
yeah	RB	yeah
,	,	,
yeah	RB	yeah
,	,	,
that	IN	that
'	POS	'
s	JJ	<unknown>
part	NN	part
of	IN	of
the	DT	the
project	NN	project
.	SENT	.
"	``	"
And	CC	and
I	PP	I
would	MD	would
always	RB	always
leave	VB	leave
that	DT	that
moment	NN	moment
,	,	,
and	CC	and
we	PP	we
would	MD	would
ask	VB	ask
them	PP	them
,	,	,
"	``	"
So	RB	so
can	MD	can
you	PP	you
tell	VB	tell
me	PP	me
who	WP	who
is	VBZ	be
who	WP	who
?	SENT	?
"	''	"
And	CC	and
most	JJS	most
of	IN	of
them	PP	them
couldn	NN	<unknown>
'	POS	'
t	NN	t
say	VBP	say
.	SENT	.
We	PP	we
even	RB	even
pasted	VBD	paste
on	IN	on
Israeli	JJ	Israeli
military	JJ	military
towers	NNS	tower
,	,	,
and	CC	and
nothing	NN	nothing
happened	VBD	happen
.	SENT	.
When	WRB	when
you	PP	you
paste	VBP	paste
an	DT	an
image	NN	image
,	,	,
it	PP	it
'	POS	'
s	NN	S
just	RB	just
paper	NN	paper
and	CC	and
glue	NN	glue
.	SENT	.
People	NNS	people
can	MD	can
tear	VB	tear
it	PP	it
,	,	,
tag	NN	tag
on	IN	on
it	PP	it
,	,	,
or	CC	or
even	RB	even
pee	VB	pee
on	IN	on
it	PP	it
—	:	-
some	DT	some
are	VBP	be
a	DT	a
bit	NN	bit
high	JJ	high
for	IN	for
that	DT	that
,	,	,
I	PP	I
agree	VBP	agree
—	:	-
but	CC	but
the	DT	the
people	NNS	people
in	IN	in
the	DT	the
street	NN	street
,	,	,
they	PP	they
are	VBP	be
the	DT	the
curator	NN	curator
.	SENT	.
The	DT	the
rain	NN	rain
and	CC	and
the	DT	the
wind	NN	wind
will	MD	will
take	VB	take
them	PP	them
off	RP	off
anyway	RB	anyway
.	SENT	.
They	PP	they
are	VBP	be
not	RB	not
meant	VBN	mean
to	TO	to
stay	VB	stay
.	SENT	.
But	CC	but
exactly	RB	exactly
four	CD	four
years	NNS	year
after	RB	after
,	,	,
the	DT	the
photos	NNS	photo
,	,	,
most	JJS	most
of	IN	of
them	PP	them
are	VBP	be
still	RB	still
there	RB	there
.	SENT	.
Face	NN	face
2	CD	@card@
Face	NP	Face
demonstrated	VBD	demonstrate
that	IN	that
what	WP	what
we	PP	we
thought	VBD	think
impossible	JJ	impossible
was	VBD	be
possible	JJ	possible
—	:	-
and	CC	and
,	,	,
you	PP	you
know	VBP	know
what	WP	what
,	,	,
even	RB	even
easy	JJ	easy
.	SENT	.
We	PP	we
didn	NP	<unknown>
'	POS	'
t	NN	t
push	VB	push
the	DT	the
limit	NN	limit
;	:	;
we	PP	we
just	RB	just
showed	VBD	show
that	IN	that
they	PP	they
were	VBD	be
further	RBR	further
than	IN	than
anyone	NN	anyone
thought	NN	thought
.	SENT	.
In	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
,	,	,
I	PP	I
experienced	VBD	experience
my	PP$	my
work	NN	work
in	IN	in
places	NNS	place
without	IN	without
[	SYM	[
many	RB	many
]	SYM	]
museums	NNS	museum
.	SENT	.
So	IN	so
the	DT	the
reactions	NNS	reaction
in	IN	in
the	DT	the
street	NN	street
were	VBD	be
kind	NN	kind
of	IN	of
interesting	JJ	interesting
.	SENT	.
So	RB	so
I	PP	I
decided	VBD	decide
to	TO	to
go	VB	go
further	JJR	further
in	IN	in
this	DT	this
direction	NN	direction
and	CC	and
go	VB	go
in	IN	in
places	NNS	place
where	WRB	where
there	EX	there
were	VBD	be
zero	CD	zero
museums	NNS	museum
.	SENT	.
When	WRB	when
you	PP	you
go	VBP	go
in	IN	in
these	DT	these
developing	VBG	develop
societies	NNS	society
,	,	,
women	NNS	woman
are	VBP	be
the	DT	the
pillars	NNS	pillar
of	IN	of
their	PP$	their
community	NN	community
,	,	,
but	CC	but
the	DT	the
men	NNS	man
are	VBP	be
still	RB	still
the	DT	the
ones	NNS	one
holding	VBG	hold
the	DT	the
streets	NNS	street
.	SENT	.
So	RB	so
we	PP	we
were	VBD	be
inspired	VBN	inspire
to	TO	to
create	VB	create
a	DT	a
project	NN	project
where	WRB	where
men	NNS	man
will	MD	will
pay	VB	pay
tribute	NN	tribute
to	TO	to
women	NNS	woman
by	IN	by
posting	VBG	post
their	PP$	their
photos	NNS	photo
.	SENT	.
I	PP	I
called	VBD	call
that	IN	that
project	NN	project
Women	NNS	woman
Are	VBP	be
Heroes	NNS	hero
.	SENT	.
When	WRB	when
I	PP	I
listened	VBN	listen
to	TO	to
all	PDT	all
the	DT	the
stories	NNS	story
everywhere	RB	everywhere
I	PP	I
went	VBD	go
on	IN	on
the	DT	the
continents	NNS	continent
,	,	,
I	PP	I
couldn	NNS	<unknown>
'	POS	'
t	NN	t
always	RB	always
understand	VBP	understand
the	DT	the
complicated	JJ	complicated
circumstances	NNS	circumstance
of	IN	of
their	PP$	their
conflict	NN	conflict
.	SENT	.
I	PP	I
just	RB	just
observed	VBD	observe
.	SENT	.
Sometimes	RB	sometimes
there	EX	there
was	VBD	be
no	DT	no
words	NNS	word
,	,	,
no	DT	no
sentence	NN	sentence
,	,	,
just	RB	just
tears	NNS	tear
.	SENT	.
I	PP	I
just	RB	just
took	VBD	take
their	PP$	their
pictures	NNS	picture
and	CC	and
pasted	VBD	paste
them	PP	them
.	SENT	.
Women	NNS	woman
Are	VBP	be
Heroes	NNS	hero
took	VBD	take
me	PP	me
around	IN	around
the	DT	the
world	NN	world
.	SENT	.
Most	JJS	most
of	IN	of
the	DT	the
places	NNS	place
I	PP	I
went	VBD	go
to	TO	to
,	,	,
I	PP	I
decided	VBD	decide
to	TO	to
go	VB	go
there	RB	there
because	IN	because
I	PP	I
'	POS	'
ve	NN	ve
heard	VBD	hear
about	IN	about
it	PP	it
through	IN	through
the	DT	the
media	NNS	medium
.	SENT	.
So	RB	so
for	IN	for
example	NN	example
,	,	,
in	IN	in
June	NP	June
2008	CD	@card@
,	,	,
I	PP	I
was	VBD	be
