Yeah	RB	yeah
31	CD	@card@
years	NNS	year
,	,	,
not	RB	not
a	DT	a
stroke	NN	stroke
.	SENT	.
And	CC	and
I	PP	I
had	VBD	have
kept	VBN	keep
in	IN	in
good	JJ	good
shape	NN	shape
,	,	,
but	CC	but
swimming	NN	swimming
'	POS	'
s	NN	S
a	DT	a
whole	JJ	whole
different	JJ	different
animal	NN	animal
.	SENT	.
As	IN	as
a	DT	a
matter	NN	matter
of	IN	of
fact	NN	fact
,	,	,
this	DT	this
picture	NN	picture
is	VBZ	be
supposed	VBN	suppose
to	TO	to
be	VB	be
me	PP	me
during	IN	during
training	NN	training
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
smiling	VBG	smile
face	NN	face
.	SENT	.
And	CC	and
when	WRB	when
you	PP	you
'	POS	'
re	NN	re
training	NN	training
for	IN	for
this	DT	this
sport	NN	sport
,	,	,
you	PP	you
are	VBP	be
not	RB	not
smiling	VBG	smile
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
an	DT	an
arduous	JJ	arduous
,	,	,
difficult	JJ	difficult
sport	NN	sport
,	,	,
and	CC	and
I	PP	I
don	VBP	don
'	''	'
t	NN	t
remember	VBP	remember
smiling	VBG	smile
at	IN	at
any	DT	any
time	NN	time
during	IN	during
this	DT	this
sport	NN	sport
.	SENT	.
As	IN	as
I	PP	I
said	VBD	say
,	,	,
I	PP	I
respect	VBP	respect
other	JJ	other
sports	NNS	sport
,	,	,
and	CC	and
I	PP	I
compare	VBP	compare
this	DT	this
sport	NN	sport
sometimes	RB	sometimes
to	TO	to
cycling	NN	cycling
and	CC	and
to	TO	to
mountain	NN	mountain
climbing	NN	climbing
and	CC	and
other	JJ	other
of	IN	of
the	DT	the
expedition	NN	expedition
type	NN	type
events	NNS	event
,	,	,
but	CC	but
this	DT	this
is	VBZ	be
a	DT	a
sensory	JJ	sensory
deprivation	NN	deprivation
,	,	,
a	DT	a
physical	JJ	physical
duress	NN	duress
.	SENT	.
And	CC	and
when	WRB	when
I	PP	I
started	VBD	start
in	IN	in
with	IN	with
the	DT	the
eight	CD	eight
hours	NNS	hour
and	CC	and
the	DT	the
10	CD	@card@
hours	NNS	hour
and	CC	and
the	DT	the
12	CD	@card@
hours	NNS	hour
and	CC	and
the	DT	the
14	CD	@card@
hours	NNS	hour
and	CC	and
the	DT	the
15	CD	@card@
hours	NNS	hour
and	CC	and
the	DT	the
24-hour	JJ	24-hour
swims	NNS	swim
,	,	,
I	PP	I
knew	VBD	know
I	PP	I
had	VBD	have
it	PP	it
,	,	,
because	IN	because
I	PP	I
was	VBD	be
making	VBG	make
it	PP	it
through	IN	through
these	DT	these
.	SENT	.
And	CC	and
when	WRB	when
I	PP	I
said	VBD	say
I	PP	I
'	''	'
m	NN	m
going	VBG	go
to	TO	to
go	VB	go
out	RP	out
and	CC	and
do	VB	do
a	DT	a
15-hour	JJ	<unknown>
swim	NN	swim
,	,	,
and	CC	and
we	PP	we
'	POS	'
re	NN	re
coming	VBG	come
into	IN	into
the	DT	the
dock	NN	dock
after	IN	after
a	DT	a
long	JJ	long
day	NN	day
and	CC	and
it	PP	it
'	POS	'
s	NN	S
now	RB	now
night	NN	night
,	,	,
and	CC	and
we	PP	we
come	VBP	come
in	IN	in
and	CC	and
it	PP	it
'	POS	'
s	NN	S
14	CD	@card@
hours	NNS	hour
and	CC	and
58	CD	@card@
minutes	NNS	minute
and	CC	and
I	PP	I
can	MD	can
touch	VB	touch
the	DT	the
dock	NN	dock
and	CC	and
we	PP	we
'	POS	'
re	NN	re
done	VBN	do
,	,	,
the	DT	the
trainer	NN	trainer
says	VBZ	say
,	,	,
"	''	"
That	DT	that
'	''	'
s	NNS	<unknown>
great	JJ	great
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
14	CD	@card@
hours	NNS	hour
58	CD	@card@
minutes	NNS	minute
.	SENT	.
Who	WP	who
cares	VBZ	care
the	DT	the
last	JJ	last
two	CD	two
minutes	NNS	minute
?	SENT	?
"	``	"
I	PP	I
say	VBP	say
,	,	,
"	``	"
No	UH	no
,	,	,
it	PP	it
'	POS	'
s	NN	S
got	VBD	get
to	TO	to
be	VB	be
15	CD	@card@
hours	NNS	hour
,	,	,
"	''	"
and	CC	and
I	PP	I
swim	VBP	swim
another	DT	another
minute	NN	minute
out	IN	out
and	CC	and
another	DT	another
minute	NN	minute
back	RB	back
to	TO	to
make	VB	make
the	DT	the
15	CD	@card@
hours	NNS	hour
.	SENT	.
And	CC	and
I	PP	I
put	VBD	put
together	RB	together
an	DT	an
expedition	NN	expedition
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
that	IN	that
I	PP	I
didn	NNS	<unknown>
'	''	'
t	NN	t
have	VBP	have
help	NN	help
,	,	,
but	CC	but
honestly	RB	honestly
,	,	,
I	PP	I
sort	VBP	sort
of	IN	of
led	VBN	lead
,	,	,
I	PP	I
was	VBD	be
the	DT	the
team	NN	team
leader	NN	leader
.	SENT	.
And	CC	and
to	TO	to
get	VB	get
the	DT	the
government	NN	government
permissions	NNS	permission
,	,	,
you	PP	you
read	VBP	read
in	IN	in
the	DT	the
paper	NN	paper
,	,	,
you	PP	you
think	VBP	think
it	PP	it
'	''	'
s	NNS	<unknown>
easy	JJ	easy
to	TO	to
get	VB	get
into	IN	into
Cuba	NP	Cuba
everyday	JJ	everyday
?	SENT	?
Try	VB	try
going	VBG	go
in	IN	in
with	IN	with
an	DT	an
armada	NN	armada
like	IN	like
we	PP	we
had	VBD	have
of	IN	of
50	CD	@card@
people	NNS	people
and	CC	and
five	CD	five
boats	NNS	boat
and	CC	and
CNN	NP	CNN
'	POS	'
s	NN	S
crew	NN	crew
,	,	,
etc	FW	etc
.	SENT	.
The	DT	the
navigation	NN	navigation
is	VBZ	be
difficult	JJ	difficult
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
big	JJ	big
river	NN	river
called	VBD	call
the	DT	the
Gulf	NP	Gulf
Stream	NP	Stream
that	WDT	that
runs	VBZ	run
across	RP	across
and	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
going	VBG	go
in	IN	in
the	DT	the
direction	NN	direction
you	PP	you
are	VBP	be
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
the	DT	the
east	JJ	east
and	CC	and
you	PP	you
'	POS	'
d	NN	d
like	VBP	like
to	TO	to
go	VB	go
north	RB	north
.	SENT	.
It	PP	it
'	POS	'
s	NNS	<unknown>
tricky	JJ	tricky
.	SENT	.
And	CC	and
there	EX	there
'	''	'
s	NN	S
dehydration	NN	dehydration
.	SENT	.
And	CC	and
there	EX	there
'	''	'
s	NN	S
hypothermia	NN	hypothermia
.	SENT	.
And	CC	and
there	EX	there
are	VBP	be
sharks	NNS	shark
.	SENT	.
And	CC	and
there	EX	there
are	VBP	be
all	DT	all
kinds	NNS	kind
of	IN	of
problems	NNS	problem
.	SENT	.
And	CC	and
I	PP	I
gathered	VBD	gather
together	RB	together
,	,	,
honestly	RB	honestly
,	,	,
the	DT	the
world	NN	world
'	POS	'
s	NNS	<unknown>
leading	VBG	lead
experts	NNS	expert
in	IN	in
every	DT	every
possible	JJ	possible
way	NN	way
.	SENT	.
And	CC	and
a	DT	a
month	NN	month
ago	RB	ago
,	,	,
the	DT	the
23rd	JJ	23rd
of	IN	of
September	NP	September
,	,	,
I	PP	I
stood	VBD	stand
on	IN	on
that	DT	that
shore	NN	shore
and	CC	and
I	PP	I
looked	VBD	look
across	RP	across
to	TO	to
that	DT	that
long	JJ	long
,	,	,
long	JJ	long
faraway	JJ	faraway
horizon	NN	horizon
and	CC	and
I	PP	I
asked	VBD	ask
myself	PP	myself
,	,	,
do	VBP	do
you	PP	you
have	VB	have
it	PP	it
?	SENT	?
Are	VBP	be
your	PP$	your
shoulders	NNS	shoulder
ready	JJ	ready
?	SENT	?
And	CC	and
they	PP	they
were	VBD	be
.	SENT	.
They	PP	they
were	VBD	be
prepared	VBN	prepare
.	SENT	.
No	DT	no
stone	NN	stone
left	VBD	leave
unturned	JJ	unturned
.	SENT	.
Was	VBD	be
the	DT	the
mind	NN	mind
ready	JJ	ready
?	SENT	?
You	PP	you
know	VBP	know
,	,	,
you	PP	you
'	POS	'
re	NN	re
swimming	NN	swimming
with	IN	with
the	DT	the
fogged	JJ	fogged
goggles	NNS	goggle
,	,	,
you	PP	you
'	POS	'
re	NN	re
swimming	NN	swimming
at	IN	at
60	CD	@card@
strokes	NNS	stroke
a	DT	a
minute	NN	minute
,	,	,
so	IN	so
you	PP	you
'	POS	'
re	NN	re
never	RB	never
really	RB	really
focused	VBN	focus
on	IN	on
anything	NN	anything
,	,	,
you	PP	you
don	VBP	don
'	''	'
t	NN	t
see	VBP	see
well	RB	well
.	SENT	.
You	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
tight	JJ	tight
bathing	VBG	bath
caps	NNS	cap
over	IN	over
your	PP$	your
ears	NNS	ear
trying	VBG	try
to	TO	to
keep	VB	keep
the	DT	the
heat	NN	heat
of	IN	of
the	DT	the
head	NN	head
,	,	,
because	IN	because
it	PP	it
'	POS	'
s	NN	S
where	WRB	where
the	DT	the
hypothermia	NN	hypothermia
starts	VBZ	start
,	,	,
and	CC	and
so	RB	so
you	PP	you
don	VB	don
'	''	'
t	NN	t
hear	VBP	hear
very	RB	very
well	RB	well
.	SENT	.
You	PP	you
'	POS	'
re	NN	re
really	RB	really
left	VBD	leave
alone	RB	alone
with	IN	with
your	PP$	your
own	JJ	own
thoughts	NNS	thought
.	SENT	.
And	CC	and
I	PP	I
had	VBD	have
all	DT	all
kinds	NNS	kind
of	IN	of
counting	VBG	count
systems	NNS	system
ready	JJ	ready
there	RB	there
in	IN	in
English	NP	English
,	,	,
followed	VBN	follow
by	IN	by
German	JJ	German
,	,	,
followed	VBN	follow
by	IN	by
Spanish	NP	Spanish
,	,	,
followed	VBN	follow
by	IN	by
French	NP	French
.	SENT	.
You	PP	you
save	VBP	save
the	DT	the
French	JJ	French
for	IN	for
last	JJ	last
.	SENT	.
And	CC	and
I	PP	I
had	VBD	have
songs	NNS	song
,	,	,
I	PP	I
had	VBD	have
a	DT	a
playlist	NN	<unknown>
in	IN	in
my	PP$	my
head	NN	head
—	:	-
not	RB	not
through	IN	through
headphones	NN	headphones
,	,	,
in	IN	in
my	PP$	my
own	JJ	own
head	NN	head
—	:	-
of	IN	of
65	CD	@card@
songs	NNS	song
.	SENT	.
And	CC	and
I	PP	I
couldn	NN	<unknown>
'	POS	'
t	NN	t
wait	NN	wait
to	TO	to
get	VB	get
into	IN	into
the	DT	the
dark	NN	dark
in	IN	in
the	DT	the
middle	NN	middle
of	IN	of
the	DT	the
night	NN	night
,	,	,
because	IN	because
that	WDT	that
'	POS	'
s	NN	S
when	WRB	when
Neil	NP	Neil
Young	NP	Young
comes	VBZ	come
out	RP	out
.	SENT	.
And	CC	and
it	PP	it
'	POS	'
s	NN	S
odd	NN	odd
,	,	,
isn	NP	isn
'	POS	'
t	NN	t
it	PP	it
?	SENT	?
You	PP	you
'	POS	'
d	NN	d
think	VBP	think
you	PP	you
'	''	'
d	SYM	d
be	VB	be
singing	VBG	sing
Leonard	NP	Leonard
Cohen	NP	Cohen
'	POS	'
s	NN	S
"	``	"
Hallelujah	NN	hallelujah
"	''	"
out	IN	out
in	IN	in
the	DT	the
majesty	NN	majesty
of	IN	of
the	DT	the
ocean	NN	ocean
,	,	,
not	RB	not
songs	NNS	song
about	IN	about
heroin	NN	heroin
addiction	NN	addiction
in	IN	in
New	NP	New
York	NP	York
City	NP	City
.	SENT	.
But	CC	but
no	UH	no
,	,	,
for	IN	for
some	DT	some
reason	NN	reason
I	PP	I
couldn	NNS	<unknown>
'	POS	'
t	NN	t
wait	NN	wait
to	TO	to
get	VB	get
into	IN	into
the	DT	the
dark	NN	dark
of	IN	of
the	DT	the
night	NN	night
and	CC	and
be	VB	be
singing	VBG	sing
,	,	,
"	''	"
A	NP	A
heard	VBD	hear
you	PP	you
knocking	VBG	knock
at	IN	at
my	PP$	my
cellar	NN	cellar
door	NN	door
I	PP	I
love	VBP	love
you	PP	you
baby	NN	baby
and	CC	and
I	PP	I
want	VBP	want
some	DT	some
more	JJR	more
Ooh	NP	Ooh
,	,	,
ooh	NP	ooh
,	,	,
the	DT	the
damage	NN	damage
done	VBN	do
"	``	"
The	DT	the
night	NN	night
before	IN	before
I	PP	I
started	VBD	start
,	,	,
I	PP	I
finished	VBD	finish
Stephen	NP	Stephen
Hawking	NP	Hawking
'	POS	'
s	NN	S
"	``	"
The	DT	the
Grand	NP	Grand
Design	NP	Design
.	SENT	.
"	``	"
And	CC	and
I	PP	I
couldn	NN	<unknown>
'	POS	'
t	NN	t
wait	NN	wait
to	TO	to
trip	VB	trip
the	DT	the
mind	NN	mind
fantastic	NN	fantastic
.	SENT	.
About	IN	about
the	DT	the
50th	JJ	50th
hour	NN	hour
,	,	,
I	PP	I
was	VBD	be
going	VBG	go
to	TO	to
start	VB	start
thinking	VBG	think
about	IN	about
the	DT	the
edge	NN	edge
of	IN	of
the	DT	the
universe	NN	universe
.	SENT	.
Is	VBZ	be
there	RB	there
an	DT	an
edge	NN	edge
?	SENT	?
Is	VBZ	be
this	DT	this
an	DT	an
envelope	NN	envelope
we	PP	we
'	POS	'
re	NN	re
living	VBG	live
inside	IN	inside
of	IN	of
,	,	,
or	CC	or
no	RB	no
,	,	,
does	VBZ	do
it	PP	it
go	VB	go
onto	IN	onto
infinity	NN	infinity
in	IN	in
both	DT	both
time	NN	time
and	CC	and
space	NN	space
?	SENT	?
And	CC	and
there	EX	there
'	''	'
s	NN	S
nothing	NN	nothing
like	IN	like
swimming	NN	swimming
for	IN	for
50	CD	@card@
hours	NNS	hour
in	IN	in
the	DT	the
ocean	NN	ocean
that	WDT	that
gets	VBZ	get
you	PP	you
thinking	VBG	think
about	IN	about
things	NNS	thing
like	IN	like
this	DT	this
.	SENT	.
I	PP	I
couldn	NNS	<unknown>
'	POS	'
t	NN	t
wait	NN	wait
to	TO	to
prove	VB	prove
the	DT	the
athlete	NN	athlete
I	PP	I
am	VBP	be
,	,	,
that	DT	that
nobody	NN	nobody
else	RB	else
in	IN	in
the	DT	the
world	NN	world
can	MD	can
do	VB	do
this	DT	this
swim	NN	swim
.	SENT	.
And	CC	and
I	PP	I
knew	VBD	know
I	PP	I
could	MD	could
do	VB	do
it	PP	it
.	SENT	.
And	CC	and
when	WRB	when
I	PP	I
jumped	VBD	jump
into	IN	into
that	DT	that
water	NN	water
,	,	,
I	PP	I
yelled	VBD	yell
in	IN	in
my	PP$	my
mother	NN	mother
'	POS	'
s	NNS	<unknown>
French	JJ	French
,	,	,
"	''	"
Courage	NN	courage
!	SENT	!
"	``	"
And	CC	and
I	PP	I
started	VBD	start
swimming	NN	swimming
,	,	,
and	CC	and
,	,	,
oh	UH	oh
my	PP$	my
God	NP	God
,	,	,
it	PP	it
was	VBD	be
glassy	JJ	glassy
.	SENT	.
And	CC	and
we	PP	we
knew	VBD	know
it	PP	it
,	,	,
all	RB	all
50	CD	@card@
people	NNS	people
on	IN	on
the	DT	the
boat	NN	boat
,	,	,
we	PP	we
all	RB	all
knew	VBD	know
this	DT	this
was	VBD	be
it	PP	it
,	,	,
this	DT	this
was	VBD	be
our	PP$	our
time	NN	time
.	SENT	.
And	CC	and
I	PP	I
reminded	VBD	remind
myself	PP	myself
a	DT	a
couple	NN	couple
hours	NNS	hour
in	IN	in
,	,	,
you	PP	you
know	VBP	know
,	,	,
the	DT	the
sport	NN	sport
is	VBZ	be
sort	NN	sort
of	IN	of
a	DT	a
microcosm	NN	microcosm
of	IN	of
life	NN	life
itself	PP	itself
.	SENT	.
First	JJ	first
of	IN	of
all	DT	all
,	,	,
you	PP	you
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
hit	VB	hit
obstacles	NNS	obstacle
.	SENT	.
And	CC	and
even	RB	even
though	IN	though
you	PP	you
'	POS	'
re	NN	re
feeling	NN	feeling
great	JJ	great
at	IN	at
any	DT	any
one	CD	one
moment	NN	moment
,	,	,
don	NN	don
'	POS	'
t	NN	t
take	VB	take
it	PP	it
for	IN	for
granted	VBN	grant
,	,	,
be	VB	be
ready	JJ	ready
,	,	,
because	IN	because
there	EX	there
'	''	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
be	VB	be
pain	NN	pain
,	,	,
there	EX	there
'	''	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
be	VB	be
suffering	VBG	suffer
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
going	VBG	go
to	TO	to
feel	VB	feel
this	DT	this
good	JJ	good
all	PDT	all
the	DT	the
way	NN	way
across	RP	across
.	SENT	.
And	CC	and
I	PP	I
was	VBD	be
thinking	VBG	think
of	IN	of
the	DT	the
hypothermia	NN	hypothermia
and	CC	and
maybe	RB	maybe
some	DT	some
shoulder	NN	shoulder
pain	NN	pain
and	CC	and
all	PDT	all
the	DT	the
other	JJ	other
things	NNS	thing
—	:	-
the	DT	the
vomiting	NN	vomiting
that	WDT	that
comes	VBZ	come
from	IN	from
being	VBG	be
in	IN	in
the	DT	the
saltwater	JJ	saltwater
.	SENT	.
You	PP	you
'	POS	'
re	NN	re
immersed	VBN	immerse
in	IN	in
the	DT	the
liquid	NN	liquid
.	SENT	.
Your	PP$	your
body	NN	body
doesn	NN	<unknown>
'	POS	'
t	NN	t
like	IN	like
the	DT	the
saltwater	JJ	saltwater
.	SENT	.
After	IN	after
a	DT	a
couple	NN	couple
of	IN	of
days	NNS	day
,	,	,
three	CD	three
days	NNS	day
,	,	,
you	PP	you
tend	VBP	tend
to	TO	to
rebel	VB	rebel
in	IN	in
a	DT	a
lot	NN	lot
of	IN	of
physical	JJ	physical
ways	NNS	way
.	SENT	.
But	CC	but
no	UH	no
,	,	,
two	CD	two
hours	NNS	hour
in	IN	in
,	,	,
wham	VB	wham
!	SENT	!
Never	RB	never
in	IN	in
my	PP$	my
life	NN	life
.	SENT	.
.	SENT	.
.	SENT	.
I	PP	I
knew	VBD	know
there	EX	there
were	VBD	be
Portuguese	JJ	Portuguese
men	NNS	man
o	NN	o
'	POS	'
war	NN	war
,	,	,
all	DT	all
kinds	NNS	kind
of	IN	of
moon	NN	moon
jellies	NNS	jelly
,	,	,
all	DT	all
kinds	NNS	kind
of	IN	of
things	NNS	thing
,	,	,
but	CC	but
the	DT	the
box	NN	box
jellyfish	NN	jellyfish
from	IN	from
the	DT	the
southern	JJ	southern
oceans	NNS	ocean
is	VBZ	be
not	RB	not
supposed	VBN	suppose
to	TO	to
be	VB	be
in	IN	in
these	DT	these
waters	NNS	water
.	SENT	.
And	CC	and
I	PP	I
was	VBD	be
on	IN	on
fire	NN	fire
—	:	-
excruciating	JJ	excruciating
,	,	,
excruciating	JJ	excruciating
pain	NN	pain
.	SENT	.
I	PP	I
don	VBP	don
'	''	'
t	NN	t
know	VBP	know
if	IN	if
you	PP	you
can	MD	can
still	RB	still
see	VB	see
the	DT	the
red	JJ	red
line	NN	line
here	RB	here
and	CC	and
up	RB	up
the	DT	the
arm	NN	arm
.	SENT	.
Evidently	RB	evidently
,	,	,
a	DT	a
piece	NN	piece
this	DT	this
big	JJ	big
of	IN	of
tentacle	NN	tentacle
has	VBZ	have
a	DT	a
hundred-thousand	NN	<unknown>
little	JJ	little
barbs	NNS	barb
on	IN	on
it	PP	it
and	CC	and
each	DT	each
barb	NN	barb
is	VBZ	be
not	RB	not
just	RB	just
stinging	VBG	sting
your	PP$	your
skin	NN	skin
,	,	,
it	PP	it
'	POS	'
s	NN	S
sending	VBG	send
a	DT	a
venom	NN	venom
.	SENT	.
The	DT	the
most	RBS	most
venomous	JJ	venomous
animal	NN	animal
that	WDT	that
lives	VBZ	live
in	IN	in
the	DT	the
ocean	NN	ocean
is	VBZ	be
the	DT	the
box	NN	box
jellyfish	NN	jellyfish
.	SENT	.
And	CC	and
every	DT	every
one	CD	one
of	IN	of
those	DT	those
barbs	NNS	barb
is	VBZ	be
sending	VBG	send
that	DT	that
venom	NN	venom
into	IN	into
this	DT	this
central	JJ	central
nervous	JJ	nervous
system	NN	system
.	SENT	.
So	RB	so
first	RB	first
I	PP	I
feel	VBP	feel
like	IN	like
boiling	VBG	boil
hot	JJ	hot
oil	NN	oil
,	,	,
I	PP	I
'	POS	'
ve	RB	<unknown>
been	VBN	be
dipped	VBN	dip
in	RP	in
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
yelling	VBG	yell
out	RP	out
,	,	,
"	''	"
Fire	NP	Fire
!	SENT	!
Fire	NN	fire
!	SENT	!
