"	``	"
gear	NN	gear
soon	RB	soon
or	CC	or
my	PP$	my
ego	NN	ego
will	MD	will
pop	VB	pop
like	IN	like
a	DT	a
10-cent	JJ	<unknown>
balloon	NN	balloon
.	SENT	.
But	CC	but
security	NN	security
is	VBZ	be
tight	JJ	tight
at	IN	at
all	PDT	all
the	DT	the
shops	NNS	shop
.	SENT	.
Every	DT	every
day	NN	day
there	EX	there
are	VBP	be
more	JJR	more
and	CC	and
more	RBR	more
cops	VBZ	cop
.	SENT	.
My	PP$	my
crew	NN	crew
is	VBZ	be
laughing	VBG	laugh
at	IN	at
me	PP	me
because	IN	because
I	PP	I
'	POS	'
m	NN	m
wearing	VBG	wear
old	JJ	old
gear	NN	gear
.	SENT	.
School	NP	School
'	POS	'
s	NN	S
almost	RB	almost
over	RB	over
.	SENT	.
Summer	NN	summer
is	VBZ	be
near	JJ	near
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
sportin	NN	<unknown>
'	POS	'
torn	JJ	torn
Jordans	NPS	Jordan
.	SENT	.
I	PP	I
need	VBP	need
something	NN	something
new	JJ	new
.	SENT	.
Only	RB	only
one	CD	one
thing	NN	thing
left	VBN	leave
to	TO	to
do	VB	do
.	SENT	.
Cut	NN	cut
school	NN	school
Friday	NP	Friday
,	,	,
catch	VB	catch
the	DT	the
subway	NN	subway
downtown	NN	downtown
,	,	,
check	VB	check
out	RP	out
my	PP$	my
victims	NNS	victim
hangin	NN	<unknown>
'	''	'
around	IN	around
.	SENT	.
Maybe	RB	maybe
I	NP	I
'	POS	'
ll	NNS	<unknown>
get	VBP	get
lucky	JJ	lucky
and	CC	and
find	VB	find
easy	JJ	easy
prey	NN	prey
.	SENT	.
Got	VBN	get
to	TO	to
get	VB	get
some	DT	some
new	JJ	new
gear	NN	gear
.	SENT	.
There	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
other	JJ	other
way	NN	way
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
ready	JJ	ready
and	CC	and
willing	JJ	willing
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
packing	VBG	pack
my	PP$	my
gun	NN	gun
.	SENT	.
This	DT	this
is	VBZ	be
serious	JJ	serious
business	NN	business
.	SENT	.
This	DT	this
ain	NN	ain
'	POS	'
t	NN	t
no	DT	no
fun	NN	fun
.	SENT	.
And	CC	and
I	PP	I
can	MD	can
'	''	'
t	NN	t
have	VBP	have
my	PP$	my
posse	NN	posse
laughin	NN	<unknown>
'	''	'
at	IN	at
me	PP	me
.	SENT	.
I	NP	I
'	POS	'
mma	JJ	<unknown>
cop	NN	cop
something	NN	something
dope	NN	dope
,	,	,
just	RB	just
wait	VB	wait
,	,	,
you	PP	you
'	POS	'
ll	NNS	<unknown>
see	VBP	see
.	SENT	.
Come	VBN	come
out	RP	out
of	IN	of
the	DT	the
station	NN	station
,	,	,
West	NP	West
4th	JJ	4th
near	IN	near
the	DT	the
park	NN	park
,	,	,
brothers	NNS	brother
shooting	VBG	shoot
hoops	NNS	hoop
and	CC	and
someone	NN	someone
remarks	NNS	remark
,	,	,
'	''	'
Hey	NP	Hey
homes	NNS	home
,	,	,
where	WRB	where
you	PP	you
get	VBP	get
them	PP	them
Nik	NP	Nik
'	POS	'
s	NN	S
?	SENT	?
'	''	'
I	PP	I
says	VBZ	say
to	TO	to
myself	PP	myself
,	,	,
'	''	'
Yeah	RB	yeah
.	SENT	.
I	PP	I
likes	VBZ	like
'	''	'
em	NN	em
,	,	,
I	PP	I
likes	VBZ	like
.	SENT	.
'	''	'
They	PP	they
were	VBD	be
Q-tip	NN	<unknown>
white	JJ	white
,	,	,
bright	JJ	bright
and	CC	and
blinding	VBG	blind
my	PP$	my
eyes	NNS	eye
.	SENT	.
The	DT	the
red	JJ	red
emblem	NN	emblem
of	IN	of
Michael	NP	Michael
looked	VBD	look
as	RB	as
if	IN	if
it	PP	it
could	MD	could
fly	VB	fly
.	SENT	.
Not	RB	not
one	CD	one
spot	NN	spot
of	IN	of
dirt	NN	dirt
.	SENT	.
The	DT	the
Airs	NNS	air
were	VBD	be
brand	NN	brand
new	JJ	new
.	SENT	.
Had	VBD	have
my	PP$	my
pistol	NN	pistol
and	CC	and
knew	VBD	know
just	RB	just
what	WP	what
to	TO	to
do	VB	do
.	SENT	.
Waited	VBN	wait
until	IN	until
it	PP	it
was	VBD	be
just	RB	just
the	DT	the
right	JJ	right
time	NN	time
,	,	,
followed	VBD	follow
him	PP	him
very	RB	very
closely	RB	closely
behind	RB	behind
.	SENT	.
He	PP	he
made	VBD	make
a	DT	a
left	VBN	leave
turn	NN	turn
on	IN	on
Houston	NP	Houston
,	,	,
I	PP	I
pulled	VBD	pull
out	RP	out
my	PP$	my
gun	NN	gun
,	,	,
and	CC	and
I	PP	I
said	VBD	say
,	,	,
'	''	'
Gimme	VBP	gimme
them	PP	them
Jordans	NPS	Jordan
!	SENT	!
'	''	'
And	CC	and
the	DT	the
punk	NN	punk
tried	VBD	try
to	TO	to
run	VB	run
.	SENT	.
Took	VBD	take
off	RP	off
fast	RB	fast
,	,	,
didn	NP	<unknown>
'	POS	'
t	NN	t
get	VB	get
far	RB	far
.	SENT	.
I	PP	I
fired	VBD	fire
,	,	,
'	''	'
Pow	NP	Pow
!	SENT	!
'	''	'
Fool	NN	fool
fell	VBD	fall
between	IN	between
two	CD	two
parked	VBN	park
cars	NNS	car
.	SENT	.
He	PP	he
was	VBD	be
coughing	VBG	cough
,	,	,
crying	VBG	cry
,	,	,
blood	NN	blood
spilled	VBD	spill
on	IN	on
the	DT	the
street	NN	street
.	SENT	.
And	CC	and
I	PP	I
snatched	VBD	snatch
them	PP	them
Air	NP	Air
Jordans	NPS	Jordan
off	IN	off
of	IN	of
his	PP$	his
feet	NNS	foot
.	SENT	.
While	IN	while
laying	VBG	lay
there	RB	there
dying	VBG	die
,	,	,
all	RB	all
he	PP	he
could	MD	could
say	VB	say
was	VBD	be
,	,	,
"	``	"
Please	UH	please
man	UH	man
,	,	,
don	NN	don
'	POS	'
t	NN	t
take	VB	take
my	PP$	my
Air	NP	Air
Jordans	NPS	Jordan
away	RB	away
.	SENT	.
"	``	"
You	PP	you
'	POS	'
d	NN	d
think	VBP	think
he	PP	he
'	''	'
d	SYM	d
be	VB	be
worried	VBN	worry
about	IN	about
staying	VBG	stay
alive	JJ	alive
.	SENT	.
As	IN	as
I	PP	I
took	VBD	take
off	RP	off
with	IN	with
his	PP$	his
sneakers	NN	sneakers
,	,	,
there	EX	there
was	VBD	be
tears	NNS	tear
in	IN	in
his	PP$	his
eyes	NNS	eye
.	SENT	.
Very	RB	very
next	JJ	next
day	NN	day
,	,	,
I	PP	I
bopped	VBD	bop
into	IN	into
school	NN	school
with	IN	with
my	PP$	my
brand	NN	brand
new	JJ	new
Air	NP	Air
Jordans	NPS	Jordan
,	,	,
man	UH	man
,	,	,
I	PP	I
was	VBD	be
cool	JJ	cool
.	SENT	.
I	PP	I
killed	VBD	kill
to	TO	to
get	VB	get
'	''	'
em	NN	em
,	,	,
but	CC	but
hey	UH	hey
,	,	,
I	PP	I
don	VBP	don
'	''	'
t	NN	t
care	NN	care
,	,	,
because	IN	because
now	RB	now
I	PP	I
needs	VBZ	need
a	DT	a
new	JJ	new
jacket	NN	jacket
to	TO	to
wear	VB	wear
.	SENT	.
"	``	"
Thank	VB	thank
you	PP	you
.	SENT	.
For	IN	for
the	DT	the
last	JJ	last
15	CD	@card@
years	NNS	year
that	IN	that
I	PP	I
have	VBP	have
been	VBN	be
performing	VBG	perform
,	,	,
all	RB	all
I	PP	I
ever	RB	ever
wanted	VBD	want
to	TO	to
do	VB	do
was	VBD	be
transcend	VB	transcend
poetry	NN	poetry
to	TO	to
the	DT	the
world	NN	world
.	SENT	.
See	VB	see
,	,	,
it	PP	it
wasn	NNS	<unknown>
'	POS	'
t	NN	t
enough	RB	enough
for	IN	for
me	PP	me
to	TO	to
write	VB	write
a	DT	a
book	NN	book
.	SENT	.
It	PP	it
wasn	NP	<unknown>
'	POS	'
t	NN	t
enough	RB	enough
for	IN	for
me	PP	me
to	TO	to
join	VB	join
a	DT	a
slam	NN	slam
competition	NN	competition
,	,	,
and	CC	and
while	IN	while
those	DT	those
things	NNS	thing
hold	VBP	hold
weight	NN	weight
,	,	,
it	PP	it
wasn	NNS	<unknown>
'	POS	'
t	NN	t
the	DT	the
driving	NN	driving
force	NN	force
that	WDT	that
pushes	VBZ	push
the	DT	the
pen	NN	pen
to	TO	to
the	DT	the
pad	NN	pad
.	SENT	.
The	DT	the
hunger	NN	hunger
and	CC	and
thirst	NN	thirst
was	VBD	be
,	,	,
and	CC	and
still	RB	still
remains	VBZ	remain
:	:	:
How	WRB	how
do	VBP	do
I	PP	I
get	VB	get
people	NNS	people
who	WP	who
hate	VBP	hate
poetry	NN	poetry
to	TO	to
love	VB	love
me	PP	me
?	SENT	?
Because	IN	because
I	PP	I
'	POS	'
m	NN	m
an	DT	an
extension	NN	extension
of	IN	of
my	PP$	my
work	NN	work
,	,	,
and	CC	and
if	IN	if
they	PP	they
love	VBP	love
me	PP	me
,	,	,
then	RB	then
they	PP	they
will	MD	will
love	VB	love
my	PP$	my
work	NN	work
,	,	,
and	CC	and
if	IN	if
they	PP	they
love	VBP	love
my	PP$	my
work	NN	work
,	,	,
then	RB	then
they	PP	they
will	MD	will
love	VB	love
poetry	NN	poetry
,	,	,
and	CC	and
if	IN	if
they	PP	they
love	VBP	love
poetry	NN	poetry
,	,	,
then	RB	then
I	PP	I
will	MD	will
have	VB	have
done	VBN	do
my	PP$	my
job	NN	job
,	,	,
which	WDT	which
is	VBZ	be
to	TO	to
transcend	VB	transcend
it	PP	it
to	TO	to
the	DT	the
world	NN	world
.	SENT	.
And	CC	and
in	IN	in
1996	CD	@card@
,	,	,
I	PP	I
found	VBD	find
the	DT	the
answer	NN	answer
in	IN	in
principles	NNS	principle
in	IN	in
a	DT	a
master	NN	master
spoken-word	NN	<unknown>
artist	NN	artist
named	VBN	name
Reg	NP	Reg
E	NP	E
.	SENT	.
Gaines	NP	Gaines
,	,	,
who	WP	who
wrote	VBD	write
the	DT	the
famous	JJ	famous
poem	NN	poem
,	,	,
"	``	"
Please	VB	please
Don	NP	Don
'	POS	'
t	NN	t
Take	VB	take
My	PP$	my
Air	NP	Air
Jordans	NPS	Jordan
.	SENT	.
"	``	"
And	CC	and
I	PP	I
followed	VBD	follow
this	DT	this
guy	NN	guy
everywhere	RB	everywhere
until	IN	until
I	PP	I
had	VBD	have
him	PP	him
in	IN	in
the	DT	the
room	NN	room
,	,	,
and	CC	and
I	PP	I
read	VBP	read
him	PP	him
one	CD	one
of	IN	of
my	PP$	my
pieces	NNS	piece
,	,	,
and	CC	and
you	PP	you
know	VBP	know
what	WP	what
he	PP	he
told	VBD	tell
me	PP	me
?	SENT	?
"	''	"
Yo	NP	Yo
'	POS	'
wack	NN	wack
.	SENT	.
You	PP	you
know	VBP	know
what	WP	what
the	DT	the
problem	NN	problem
is	VBZ	be
with	IN	with
you	PP	you
,	,	,
homie	NP	<unknown>
?	SENT	?
You	PP	you
don	VBP	don
'	''	'
t	NN	t
read	VBD	read
other	JJ	other
people	NNS	people
'	POS	'
s	NN	S
poetry	NN	poetry
,	,	,
and	CC	and
you	PP	you
don	NN	don
'	POS	'
t	NN	t
got	VBD	get
any	DT	any
subordination	NN	subordination
for	IN	for
verbal	JJ	verbal
measures	NNS	measure
to	TO	to
tonal	JJ	tonal
consideration	NN	consideration
.	SENT	.
"	``	"
Now	RB	now
he	PP	he
kept	VBD	keep
on	IN	on
rambling	VBG	ramble
about	IN	about
poetry	NN	poetry
and	CC	and
styles	NNS	style
and	CC	and
Nuyorican	NP	Nuyorican
Friday	NP	Friday
nights	NNS	night
.	SENT	.
Now	RB	now
I	PP	I
could	MD	could
have	VB	have
quit	VBN	quit
.	SENT	.
I	PP	I
should	MD	should
have	VB	have
quit	VBN	quit
.	SENT	.
I	PP	I
mean	VBP	mean
,	,	,
I	PP	I
thought	VBD	think
poetry	NN	poetry
was	VBD	be
just	RB	just
self-expression	NN	self-expression
.	SENT	.
I	NP	I
didn	NP	<unknown>
'	POS	'
t	NN	t
know	VBP	know
you	PP	you
actually	RB	actually
have	VBP	have
to	TO	to
have	VB	have
creative	JJ	creative
control	NN	control
.	SENT	.
So	RB	so
instead	RB	instead
of	IN	of
quitting	VBG	quit
,	,	,
I	PP	I
followed	VBD	follow
him	PP	him
everywhere	RB	everywhere
.	SENT	.
When	WRB	when
he	PP	he
was	VBD	be
writing	VBG	write
a	DT	a
Broadway	NP	Broadway
show	NN	show
,	,	,
I	PP	I
would	MD	would
be	VB	be
outside	JJ	outside
of	IN	of
the	DT	the
door	NN	door
.	SENT	.
I	PP	I
would	MD	would
wake	VB	wake
him	PP	him
up	RP	up
at	IN	at
,	,	,
like	VB	like
,	,	,
6	CD	@card@
:	:	:
30	CD	@card@
in	IN	in
the	DT	the
morning	NN	morning
to	TO	to
ask	VB	ask
him	PP	him
who	WP	who
'	POS	'
s	NN	S
the	DT	the
best	JJS	good
poet	NN	poet
.	SENT	.
I	PP	I
remember	VBP	remember
eating	VBG	eat
the	DT	the
eyes	NNS	eye
of	IN	of
a	DT	a
fish	NN	fish
right	RB	right
out	RB	out
of	IN	of
the	DT	the
sea	NN	sea
because	IN	because
he	PP	he
told	VBD	tell
me	PP	me
it	PP	it
was	VBD	be
brain	NN	brain
food	NN	food
.	SENT	.
Then	RB	then
one	CD	one
day	NN	day
I	PP	I
told	VBD	tell
him	PP	him
,	,	,
"	''	"
Reg	NP	Reg
E	NP	E
.	SENT	.
,	,	,
what	WP	what
is	VBZ	be
subordination	NN	subordination
for	IN	for
verbal	JJ	verbal
measures	NNS	measure
to	TO	to
tonal	JJ	tonal
consideration	NN	consideration
?	SENT	?
"	``	"
And	CC	and
he	PP	he
handed	VBD	hand
me	PP	me
a	DT	a
black-and-white	JJ	black-and-white
printed	VBN	print
out	IN	out
thesis	NN	thesis
on	IN	on
a	DT	a
poet	NN	poet
named	VBN	name
Etheridge	NP	Etheridge
Knight	NP	Knight
and	CC	and
the	DT	the
oral	JJ	oral
nature	NN	nature
of	IN	of
poetry	NN	poetry
,	,	,
and	CC	and
from	IN	from
that	DT	that
point	NN	point
,	,	,
Reggie	NP	Reggie
stopped	VBD	stop
becoming	VBG	become
the	DT	the
best	JJS	good
to	TO	to
me	PP	me
,	,	,
because	IN	because
what	WP	what
Etheridge	NP	Etheridge
Knight	NP	Knight
taught	VBD	teach
me	PP	me
was	VBD	be
that	IN	that
I	PP	I
could	MD	could
make	VB	make
my	PP$	my
words	NNS	word
sound	VBP	sound
like	IN	like
music	NN	music
,	,	,
even	RB	even
my	PP$	my
small	JJ	small
ones	NNS	one
,	,	,
the	DT	the
monosyllables	NNS	monosyllable
,	,	,
the	DT	the
ifs	NNS	if
,	,	,
ands	NNS	and
,	,	,
buts	NNS	but
,	,	,
whats	NNS	<unknown>
,	,	,
the	DT	the
gangsta	NN	<unknown>
in	IN	in
my	PP$	my
slang	NN	slang
could	MD	could
fall	VB	fall
right	RB	right
on	IN	on
the	DT	the
ear	NN	ear
,	,	,
and	CC	and
from	IN	from
then	RB	then
on	RB	on
,	,	,
I	PP	I
started	VBD	start
chasing	VBG	chase
Etheridge	NP	Etheridge
Knight	NP	Knight
.	SENT	.
I	PP	I
wanted	VBD	want
to	TO	to
know	VB	know
which	WDT	which
poet	NN	poet
he	PP	he
read	VBP	read
,	,	,
and	CC	and
I	PP	I
landed	VBD	land
on	IN	on
a	DT	a
poem	NN	poem
called	VBN	call
[	SYM	[
"	``	"
Dark	JJ	dark
Prophecy	NN	prophecy
:	:	:
Sing	VB	sing
of	IN	of
Shine	NP	Shine
"	''	"
]	SYM	]
,	,	,
a	DT	a
toast	NN	toast
signifying	VBG	signify
that	IN	that
got	VBN	get
me	PP	me
on	IN	on
the	DT	the
biggest	JJS	big
stage	NN	stage
a	DT	a
poet	NN	poet
could	MD	could
ever	RB	ever
be	VB	be
:	:	:
Broadway	NP	Broadway
,	,	,
baby	NN	baby
.	SENT	.
And	CC	and
from	IN	from
that	DT	that
point	NN	point
,	,	,
I	PP	I
learned	VBD	learn
how	WRB	how
to	TO	to
pull	VB	pull
the	DT	the
mic	NN	mic
away	RB	away
and	CC	and
attack	VB	attack
the	DT	the
poetry	NN	poetry
with	IN	with
my	PP$	my
body	NN	body
.	SENT	.
But	CC	but
that	DT	that
wasn	NN	<unknown>
'	POS	'
t	NN	t
the	DT	the
biggest	JJS	big
lesson	NN	lesson
I	PP	I
ever	RB	ever
learned	VBD	learn
.	SENT	.
The	DT	the
biggest	JJS	big
lesson	NN	lesson
I	PP	I
learned	VBD	learn
was	VBD	be
many	JJ	many
years	NNS	year
later	RBR	later
when	WRB	when
I	PP	I
went	VBD	go
to	TO	to
Beverly	NP	Beverly
Hills	NP	Hills
and	CC	and
I	PP	I
ran	VBD	run
into	IN	into
a	DT	a
talent	NN	talent
agent	NN	agent
who	WP	who
looked	VBD	look
at	IN	at
me	PP	me
up	RB	up
and	CC	and
down	RB	down
and	CC	and
said	VBD	say
I	PP	I
don	NN	don
'	POS	'
t	NN	t
look	NN	look
like	IN	like
I	PP	I
have	VBP	have
any	DT	any
experience	NN	experience
to	TO	to
be	VB	be
working	VBG	work
in	IN	in
this	DT	this
business	NN	business
.	SENT	.
And	CC	and
I	PP	I
said	VBD	say
to	TO	to
him	PP	him
,	,	,
"	``	"
Listen	VB	listen
,	,	,
punk	NN	punk
fool	NN	fool
,	,	,
you	PP	you
'	POS	'
re	NN	re
a	DT	a
failed	JJ	failed
actor	NN	actor
who	WP	who
became	VBD	become
an	DT	an
agent	NN	agent
,	,	,
and	CC	and
you	PP	you
know	VBP	know
why	WRB	why
you	PP	you
failed	VBD	fail
as	IN	as
an	DT	an
actor	NN	actor
?	SENT	?
Because	IN	because
people	NNS	people
like	IN	like
me	PP	me
took	VBD	take
your	PP$	your
job	NN	job
.	SENT	.
I	NP	I
'	POS	'
ve	NN	ve
traveled	VBD	travel
all	PDT	all
the	DT	the
way	NN	way
from	IN	from
Cleveland	NP	Cleveland
and	CC	and
Essex	NP	Essex
in	IN	in
East	NP	East
New	NP	New
York	NP	York
,	,	,
took	VBD	take
the	DT	the
local	JJ	local
6	CD	@card@
line	NN	line
up	RP	up
to	TO	to
the	DT	the
hookers	NNS	hooker
of	IN	of
Hunt	NP	Hunt
'	POS	'
s	JJ	<unknown>
Point	NP	Point
who	WP	who
were	VBD	be
in	IN	in
my	PP$	my
way	NN	way
on	IN	on
my	PP$	my
way	NN	way
to	TO	to
master	VB	master
the	DT	the
art	NN	art
of	IN	of
space	NN	space
,	,	,
and	CC	and
the	DT	the
one-to-infinite	NN	one-to-infinite
amount	NN	amount
of	IN	of
man	NN	man
,	,	,
woman	NN	woman
and	CC	and
child	NN	child
you	PP	you
can	MD	can
fit	VB	fit
in	IN	in
there	EX	there
only	RB	only
so	RB	so
I	PP	I
can	MD	can
push	VB	push
them	PP	them
to	TO	to
the	DT	the
back	NN	back
of	IN	of
the	DT	the
wall	NN	wall
with	IN	with
my	PP$	my
experience	NN	experience
.	SENT	.
People	NNS	people
have	VBP	have
bought	VBN	buy
tickets	NNS	ticket
to	TO	to
my	PP$	my
experience	NN	experience
and	CC	and
used	VBD	use
them	PP	them
as	IN	as
refrigerator	NN	refrigerator
magnets	NNS	magnet
to	TO	to
let	VB	let
them	PP	them
know	VB	know
that	IN	that
the	DT	the
revolution	NN	revolution
is	VBZ	be
near	JJ	near
,	,	,
so	RB	so
stock	NN	stock
up	RB	up
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
so	RB	so
experienced	VBD	experience
that	IN	that
when	WRB	when
you	PP	you
went	VBD	go
to	TO	to
a	DT	a
privileged	JJ	privileged
school	NN	school
to	TO	to
learn	VB	learn
a	DT	a
Shakespearean	JJ	Shakespearean
sonnet	NN	sonnet
,	,	,
I	PP	I
was	VBD	be
getting	VBG	get
those	DT	those
beats	NNS	beat
kicked	VBD	kick
and	CC	and
shoved	VBD	shove
into	IN	into
me	PP	me
.	SENT	.
I	PP	I
can	MD	can
master	VB	master
shock	NN	shock
of	IN	of
"	``	"
The	DT	the
Crying	JJ	crying
Game	NN	game
"	''	"
with	IN	with
the	DT	the
awe	NN	awe
of	IN	of
a	DT	a
child	NN	child
being	VBG	be
called	VBN	call
an	DT	an
AIDS	NP	AIDS
victim	NN	victim
by	IN	by
a	DT	a
bully	NN	bully
who	WP	who
didn	NP	<unknown>
'	POS	'
t	NN	t
know	VBP	know
that	IN	that
it	PP	it
was	VBD	be
his	PP$	his
father	NN	father
who	WP	who
gave	VBD	give
it	PP	it
to	TO	to
my	PP$	my
mother	NN	mother
,	,	,
and	CC	and
that	IN	that
'	POS	'
s	NN	S
a	DT	a
double	JJ	double
entendre	NN	entendre
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
so	RB	so
experienced	VBD	experience
that	IN	that
when	WRB	when
you	PP	you
went	VBD	go
to	TO	to
the	DT	the
Fell	NP	Fell
School	NP	School
and	CC	and
all	PDT	all
the	DT	the
rich	JJ	rich
little	JJ	little
fairy	NN	fairy
boys	NNS	boy
decided	VBD	decide
to	TO	to
sponsor	VB	sponsor
a	DT	a
child	NN	child
in	IN	in
it	PP	it
,	,	,
that	WDT	that
was	VBD	be
me	PP	me
,	,	,
but	CC	but
kicked	VBD	kick
me	PP	me
out	IN	out
when	WRB	when
I	PP	I
was	VBD	be
caught	VBN	catch
teaching	VBG	teach
the	DT	the
fairy	JJ	fairy
boys	NNS	boy
how	WRB	how
to	TO	to
rob	VB	rob
the	DT	the
PATS	NNS	pat
off	IN	off
a	DT	a
pair	NN	pair
of	IN	of
Lee	NP	Lee
Jeans	NPS	Jean
and	CC	and
bring	VB	bring
them	PP	them
to	TO	to
VIM	NN	vim
.	SENT	.
Let	VB	let
me	PP	me
see	VB	see
Chekhov	NP	Chekhov
pull	VB	pull
that	IN	that
off	RB	off
.	SENT	.
Sanford	NP	Sanford
Meisner	NP	Meisner
was	VBD	be
my	PP$	my
Uncle	NP	Uncle
Artie	NP	Artie
yelling	VBG	yell
silently	RB	silently
to	TO	to
himself	PP	himself
,	,	,
"	``	"
Something	NN	something
'	''	'
s	NNS	<unknown>
always	RB	always
wrong	JJ	wrong
when	WRB	when
nothing	NN	nothing
'	POS	'
s	NN	S
always	RB	always
right	RB	right
.	SENT	.
"	``	"
Method	NN	method
acting	NN	acting
is	VBZ	be
nothing	NN	nothing
but	CC	but
a	DT	a
mixture	NN	mixture
of	IN	of
multiple	JJ	multiple
personalities	NNS	personality
,	,	,
believing	VBG	believe
your	PP$	your
own	JJ	own
lies	NNS	lie
are	VBP	be
reality	NN	reality
,	,	,
like	IN	like
in	IN	in
high	JJ	high
school	NN	school
cool	JJ	cool
Kenny	NP	Kenny
telling	VBG	tell
me	PP	me
he	PP	he
wanted	VBD	want
to	TO	to
be	VB	be
a	DT	a
cop	NN	cop
.	SENT	.
Dude	NP	Dude
,	,	,
you	PP	you
go	VBP	go
to	TO	to
Riker	NP	Riker
'	POS	'
s	NN	S
Island	NP	Island
Academy	NP	Academy
.	SENT	.
I	PP	I
could	MD	could
make	VB	make
David	NP	David
Mamet	NP	Mamet
psychoanalyze	VB	psychoanalyze
my	PP$	my
attack	NN	attack
on	IN	on
dialogue	NN	dialogue
,	,	,
Stanislavski	NP	<unknown>
be	VB	be
as	RB	as
if	IN	if
he	PP	he
were	VBD	be
Bruce	NP	Bruce
Lee	NP	Lee
kicking	VBG	kick
your	PP$	your
roster	NN	roster
of	IN	of
talentless	JJ	<unknown>
students	NNS	student
up	RB	up
and	CC	and
down	RB	down
Crenshaw	NP	Crenshaw
.	SENT	.
So	RB	so
what	WP	what
,	,	,
your	PP$	your
actors	NNS	actor
studied	VBD	study
guerrilla	NN	guerrilla
theater	NN	theater
at	IN	at
the	DT	the
London	NP	London
Rep	NP	Rep
?	SENT	?
Let	VB	let
me	PP	me
tell	VB	tell
you	PP	you
an	DT	an
ancient	JJ	ancient
Chinese	JJ	Chinese
Saturday	NP	Saturday
afternoon	NN	afternoon
kung	NP	kung
fu	NP	fu
secret	NN	secret
.	SENT	.
Boards	NNS	board
don	NN	don
'	POS	'
t	NN	t
hit	VBD	hit
back	RB	back
.	SENT	.
You	PP	you
think	VBP	think
black	JJ	black
entertainers	NNS	entertainer
have	VBP	have
it	PP	it
hard	RB	hard
finding	VBG	find
work	NN	work
in	IN	in
this	DT	this
business	NN	business
?	SENT	?
I	NP	I
'	POS	'
m	NN	m
a	DT	a
suspicious	JJ	suspicious
mulatto	NN	mulatto
,	,	,
which	WDT	which
means	VBZ	mean
I	PP	I
'	''	'
m	NN	m
too	RB	too
black	JJ	black
to	TO	to
