Each	DT	each
,	,	,
discrete	JJ	discrete
pulses	NNS	pulse
,	,	,
of	IN	of
sound	NN	sound
.	SENT	.
And	CC	and
just	RB	just
as	IN	as
you	PP	you
use	VBP	use
the	DT	the
remote	JJ	remote
control	NN	control
device	NN	device
to	TO	to
alter	VB	alter
the	DT	the
internal	JJ	internal
settings	NNS	setting
of	IN	of
your	PP$	your
television	NN	television
to	TO	to
suit	VB	suit
your	PP$	your
mood	NN	mood
,	,	,
you	PP	you
use	VBP	use
your	PP$	your
language	NN	language
to	TO	to
alter	VB	alter
the	DT	the
settings	NNS	setting
inside	IN	inside
someone	NN	someone
else	RB	else
'	POS	'
s	JJ	<unknown>
brain	NN	brain
to	TO	to
suit	VB	suit
your	PP$	your
interests	NNS	interest
.	SENT	.
Languages	NNS	language
are	VBP	be
genes	NNS	gene
talking	VBG	talk
,	,	,
getting	VBG	get
things	NNS	thing
that	IN	that
they	PP	they
want	VBP	want
.	SENT	.
And	CC	and
just	RB	just
imagine	VB	imagine
the	DT	the
sense	NN	sense
of	IN	of
wonder	NN	wonder
in	IN	in
a	DT	a
baby	NN	baby
when	WRB	when
it	PP	it
first	RB	first
discovers	VBZ	discover
that	IN	that
,	,	,
merely	RB	merely
by	IN	by
uttering	VBG	utter
a	DT	a
sound	NN	sound
,	,	,
it	PP	it
can	MD	can
get	VB	get
objects	NNS	object
to	TO	to
move	VB	move
across	IN	across
a	DT	a
room	NN	room
as	RB	as
if	IN	if
by	IN	by
magic	NN	magic
,	,	,
and	CC	and
maybe	RB	maybe
even	RB	even
into	IN	into
its	PP$	its
mouth	NN	mouth
.	SENT	.
Now	RB	now
language	NN	language
'	POS	'
s	JJ	<unknown>
subversive	JJ	subversive
power	NN	power
has	VBZ	have
been	VBN	be
recognized	VBN	recognize
throughout	IN	throughout
the	DT	the
ages	NNS	age
in	IN	in
censorship	NN	censorship
,	,	,
in	IN	in
books	NNS	book
you	PP	you
can	MD	can
'	''	'
t	NN	t
read	NN	read
,	,	,
phrases	VBZ	phrase
you	PP	you
can	MD	can
'	''	'
t	NN	t
use	NN	use
and	CC	and
words	NNS	word
you	PP	you
can	MD	can
'	''	'
t	NN	t
say	VBP	say
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
the	DT	the
Tower	NP	Tower
of	IN	of
Babel	NP	Babel
story	NN	story
in	IN	in
the	DT	the
Bible	NP	Bible
is	VBZ	be
a	DT	a
fable	NN	fable
and	CC	and
warning	NN	warning
about	IN	about
the	DT	the
power	NN	power
of	IN	of
language	NN	language
.	SENT	.
According	VBG	accord
to	TO	to
that	DT	that
story	NN	story
,	,	,
early	JJ	early
humans	NNS	human
developed	VBD	develop
the	DT	the
conceit	NN	conceit
that	IN	that
,	,	,
by	IN	by
using	VBG	use
their	PP$	their
language	NN	language
to	TO	to
work	VB	work
together	RB	together
,	,	,
they	PP	they
could	MD	could
build	VB	build
a	DT	a
tower	NN	tower
that	WDT	that
would	MD	would
take	VB	take
them	PP	them
all	PDT	all
the	DT	the
way	NN	way
to	TO	to
heaven	NN	heaven
.	SENT	.
Now	RB	now
God	NP	God
,	,	,
angered	VBN	anger
at	IN	at
this	DT	this
attempt	NN	attempt
to	TO	to
usurp	VB	usurp
his	PP$	his
power	NN	power
,	,	,
destroyed	VBD	destroy
the	DT	the
tower	NN	tower
,	,	,
and	CC	and
then	RB	then
to	TO	to
ensure	VB	ensure
that	IN	that
it	PP	it
would	MD	would
never	RB	never
be	VB	be
rebuilt	VBD	rebuild
,	,	,
he	PP	he
scattered	VBD	scatter
the	DT	the
people	NNS	people
by	IN	by
giving	VBG	give
them	PP	them
different	JJ	different
languages	NNS	language
—	:	-
confused	VBD	confuse
them	PP	them
by	IN	by
giving	VBG	give
them	PP	them
different	JJ	different
languages	NNS	language
.	SENT	.
And	CC	and
this	DT	this
leads	VBZ	lead
to	TO	to
the	DT	the
wonderful	JJ	wonderful
irony	NN	irony
that	IN	that
our	PP$	our
languages	NNS	language
exist	VBP	exist
to	TO	to
prevent	VB	prevent
us	PP	us
from	IN	from
communicating	VBG	communicate
.	SENT	.
Even	RB	even
today	NN	today
,	,	,
we	PP	we
know	VBP	know
that	IN	that
there	EX	there
are	VBP	be
words	NNS	word
we	PP	we
cannot	MD	can
use	VB	use
,	,	,
phrases	VBZ	phrase
we	PP	we
cannot	MD	can
say	VB	say
,	,	,
because	IN	because
if	IN	if
we	PP	we
do	VBP	do
so	RB	so
,	,	,
we	PP	we
might	MD	might
be	VB	be
accosted	VBN	accost
,	,	,
jailed	VBN	jail
,	,	,
or	CC	or
even	RB	even
killed	VBN	kill
.	SENT	.
And	CC	and
all	DT	all
of	IN	of
this	DT	this
from	IN	from
a	DT	a
puff	NN	puff
of	IN	of
air	NN	air
emanating	VBG	emanate
from	IN	from
our	PP$	our
mouths	NNS	mouth
.	SENT	.
Now	RB	now
all	PDT	all
this	DT	this
fuss	NN	fuss
about	IN	about
a	DT	a
single	JJ	single
one	CD	one
of	IN	of
our	PP$	our
traits	NNS	trait
tells	VBZ	tell
us	PP	us
there	RB	there
'	POS	'
s	JJ	<unknown>
something	NN	something
worth	NN	worth
explaining	VBG	explain
.	SENT	.
And	CC	and
that	DT	that
is	VBZ	be
how	WRB	how
and	CC	and
why	WRB	why
did	VBD	do
this	DT	this
remarkable	JJ	remarkable
trait	NN	trait
evolve	VB	evolve
,	,	,
and	CC	and
why	WRB	why
did	VBD	do
it	PP	it
evolve	VB	evolve
only	RB	only
in	IN	in
our	PP$	our
species	NNS	specie
?	SENT	?
Now	RB	now
it	PP	it
'	POS	'
s	NN	S
a	DT	a
little	JJ	little
bit	NN	bit
of	IN	of
a	DT	a
surprise	NN	surprise
that	IN	that
to	TO	to
get	VB	get
an	DT	an
answer	NN	answer
to	TO	to
that	DT	that
question	NN	question
,	,	,
we	PP	we
have	VBP	have
to	TO	to
go	VB	go
to	TO	to
tool	NN	tool
use	NN	use
in	IN	in
the	DT	the
chimpanzees	NNS	chimpanzee
.	SENT	.
Now	RB	now
these	DT	these
chimpanzees	NNS	chimpanzee
are	VBP	be
using	VBG	use
tools	NNS	tool
,	,	,
and	CC	and
we	PP	we
take	VBP	take
that	IN	that
as	IN	as
a	DT	a
sign	NN	sign
of	IN	of
their	PP$	their
intelligence	NN	intelligence
.	SENT	.
But	CC	but
if	IN	if
they	PP	they
really	RB	really
were	VBD	be
intelligent	JJ	intelligent
,	,	,
why	WRB	why
would	MD	would
they	PP	they
use	VB	use
a	DT	a
stick	NN	stick
to	TO	to
extract	VB	extract
termites	NNS	termite
from	IN	from
the	DT	the
ground	NN	ground
rather	RB	rather
than	IN	than
a	DT	a
shovel	NN	shovel
?	SENT	?
And	CC	and
if	IN	if
they	PP	they
really	RB	really
were	VBD	be
intelligent	JJ	intelligent
,	,	,
why	WRB	why
would	MD	would
they	PP	they
crack	VB	crack
open	JJ	open
nuts	NNS	nut
with	IN	with
a	DT	a
rock	NN	rock
?	SENT	?
Why	WRB	why
wouldn	NP	<unknown>
'	POS	'
t	NN	t
they	PP	they
just	RB	just
go	VBP	go
to	TO	to
a	DT	a
shop	NN	shop
and	CC	and
buy	VB	buy
a	DT	a
bag	NN	bag
of	IN	of
nuts	NNS	nut
that	IN	that
somebody	NN	somebody
else	RB	else
had	VBD	have
already	RB	already
cracked	VBN	crack
open	JJ	open
for	IN	for
them	PP	them
?	SENT	?
Why	WRB	why
not	RB	not
?	SENT	?
I	PP	I
mean	VBP	mean
,	,	,
that	IN	that
'	POS	'
s	VBG	<unknown>
what	WP	what
we	PP	we
do	VBP	do
.	SENT	.
Now	RB	now
the	DT	the
reason	NN	reason
the	DT	the
chimpanzees	NNS	chimpanzee
don	NN	don
'	POS	'
t	NN	t
do	VBP	do
that	WDT	that
is	VBZ	be
that	IN	that
they	PP	they
lack	VBP	lack
what	WP	what
psychologists	NNS	psychologist
and	CC	and
anthropologists	NNS	anthropologist
call	VBP	call
social	JJ	social
learning	NN	learning
.	SENT	.
They	PP	they
seem	VBP	seem
to	TO	to
lack	VB	lack
the	DT	the
ability	NN	ability
to	TO	to
learn	VB	learn
from	IN	from
others	NNS	other
by	IN	by
copying	VBG	copy
or	CC	or
imitating	VBG	imitate
or	CC	or
simply	RB	simply
watching	VBG	watch
.	SENT	.
As	IN	as
a	DT	a
result	NN	result
,	,	,
they	PP	they
can	MD	can
'	''	'
t	NN	t
improve	VB	improve
on	IN	on
others	NNS	other
'	POS	'
ideas	NNS	idea
or	CC	or
learn	VB	learn
from	IN	from
others	NNS	other
'	POS	'
mistakes	NNS	mistake
—	:	-
benefit	VB	benefit
from	IN	from
others	NNS	other
'	POS	'
wisdom	NN	wisdom
.	SENT	.
And	CC	and
so	RB	so
they	PP	they
just	RB	just
do	VBP	do
the	DT	the
same	JJ	same
thing	NN	thing
over	RP	over
and	CC	and
over	RP	over
and	CC	and
over	RP	over
again	RB	again
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
we	PP	we
could	MD	could
go	VB	go
away	RB	away
for	IN	for
a	DT	a
million	CD	million
years	NNS	year
and	CC	and
come	VB	come
back	RB	back
and	CC	and
these	DT	these
chimpanzees	NNS	chimpanzee
would	MD	would
be	VB	be
doing	VBG	do
the	DT	the
same	JJ	same
thing	NN	thing
with	IN	with
the	DT	the
same	JJ	same
sticks	NNS	stick
for	IN	for
the	DT	the
termites	NNS	termite
and	CC	and
the	DT	the
same	JJ	same
rocks	NNS	rock
to	TO	to
crack	VB	crack
open	RP	open
the	DT	the
nuts	NNS	nut
.	SENT	.
Now	RB	now
this	DT	this
may	MD	may
sound	VB	sound
arrogant	JJ	arrogant
,	,	,
or	CC	or
even	RB	even
full	JJ	full
of	IN	of
hubris	NN	hubris
.	SENT	.
How	WRB	how
do	VBP	do
we	PP	we
know	VBP	know
this	DT	this
?	SENT	?
Because	IN	because
this	DT	this
is	VBZ	be
exactly	RB	exactly
what	WP	what
our	PP$	our
ancestors	NNS	ancestor
,	,	,
the	DT	the
Homo	NN	homo
erectus	NN	erectus
,	,	,
did	VBD	do
.	SENT	.
These	DT	these
upright	JJ	upright
apes	NNS	ape
evolved	VBN	evolve
on	IN	on
the	DT	the
African	JJ	African
savanna	NN	savanna
about	IN	about
two	CD	two
million	CD	million
years	NNS	year
ago	RB	ago
,	,	,
and	CC	and
they	PP	they
made	VBD	make
these	DT	these
splendid	JJ	splendid
hand	NN	hand
axes	NNS	axe
that	WDT	that
fit	VBP	fit
wonderfully	RB	wonderfully
into	IN	into
your	PP$	your
hands	NNS	hand
.	SENT	.
But	CC	but
if	IN	if
we	PP	we
look	VBP	look
at	IN	at
the	DT	the
fossil	JJ	fossil
record	NN	record
,	,	,
we	PP	we
see	VBP	see
that	IN	that
they	PP	they
made	VBD	make
the	DT	the
same	JJ	same
hand	NN	hand
axe	VB	axe
over	RP	over
and	CC	and
over	RP	over
and	CC	and
over	RP	over
again	RB	again
for	IN	for
one	CD	one
million	CD	million
years	NNS	year
.	SENT	.
You	PP	you
can	MD	can
follow	VB	follow
it	PP	it
through	IN	through
the	DT	the
fossil	JJ	fossil
record	NN	record
.	SENT	.
Now	RB	now
if	IN	if
we	PP	we
make	VBP	make
some	DT	some
guesses	VBZ	guess
about	RB	about
how	WRB	how
long	JJ	long
Homo	NN	homo
erectus	NN	erectus
lived	VBD	live
,	,	,
what	WP	what
their	PP$	their
generation	NN	generation
time	NN	time
was	VBD	be
,	,	,
that	WDT	that
'	POS	'
s	NN	S
about	IN	about
40	CD	@card@
,	,	,
000	CD	@card@
generations	NNS	generation
of	IN	of
parents	NNS	parent
to	TO	to
offspring	NNS	offspring
,	,	,
and	CC	and
other	JJ	other
individuals	NNS	individual
watching	VBG	watch
,	,	,
in	IN	in
which	WDT	which
that	DT	that
hand	NN	hand
axe	NN	axe
didn	NN	<unknown>
'	POS	'
t	NN	t
change	NN	change
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
not	RB	not
even	RB	even
clear	JJ	clear
that	IN	that
our	PP$	our
very	RB	very
close	JJ	close
genetic	JJ	genetic
relatives	NNS	relative
,	,	,
the	DT	the
Neanderthals	NNS	Neanderthal
,	,	,
had	VBD	have
social	JJ	social
learning	NN	learning
.	SENT	.
Sure	RB	sure
enough	RB	enough
,	,	,
their	PP$	their
tools	NNS	tool
were	VBD	be
more	RBR	more
complicated	VBN	complicate
than	IN	than
those	DT	those
of	IN	of
Homo	NN	homo
erectus	NN	erectus
,	,	,
but	CC	but
they	PP	they
too	RB	too
showed	VBD	show
very	RB	very
little	JJ	little
change	NN	change
over	IN	over
the	DT	the
300	CD	@card@
,	,	,
000	CD	@card@
years	NNS	year
or	CC	or
so	RB	so
that	IN	that
those	DT	those
species	NN	species
,	,	,
the	DT	the
Neanderthals	NNS	Neanderthal
,	,	,
lived	VBN	live
in	IN	in
Eurasia	NP	Eurasia
.	SENT	.
Okay	RB	okay
,	,	,
so	RB	so
what	WP	what
this	DT	this
tells	VBZ	tell
us	PP	us
is	VBZ	be
that	IN	that
,	,	,
contrary	JJ	contrary
to	TO	to
the	DT	the
old	JJ	old
adage	NN	adage
,	,	,
"	``	"
monkey	NN	monkey
see	VB	see
,	,	,
monkey	NN	monkey
do	VBP	do
,	,	,
"	''	"
the	DT	the
surprise	NN	surprise
really	RB	really
is	VBZ	be
that	IN	that
all	DT	all
of	IN	of
the	DT	the
other	JJ	other
animals	NNS	animal
really	RB	really
cannot	MD	can
do	VB	do
that	DT	that
—	:	-
at	IN	at
least	JJS	least
not	RB	not
very	RB	very
much	JJ	much
.	SENT	.
And	CC	and
even	RB	even
this	DT	this
picture	NN	picture
has	VBZ	have
the	DT	the
suspicious	JJ	suspicious
taint	NN	taint
of	IN	of
being	VBG	be
rigged	VBN	rig
about	IN	about
it	PP	it
—	:	-
something	NN	something
from	IN	from
a	DT	a
Barnum	NP	Barnum
&	CC	&
Bailey	NP	Bailey
circus	NN	circus
.	SENT	.
But	CC	but
by	IN	by
comparison	NN	comparison
,	,	,
we	PP	we
can	MD	can
learn	VB	learn
.	SENT	.
We	PP	we
can	MD	can
learn	VB	learn
by	IN	by
watching	VBG	watch
other	JJ	other
people	NNS	people
and	CC	and
copying	VBG	copy
or	CC	or
imitating	VBG	imitate
what	WP	what
they	PP	they
can	MD	can
do	VB	do
.	SENT	.
We	PP	we
can	MD	can
then	RB	then
choose	VB	choose
,	,	,
from	IN	from
among	IN	among
a	DT	a
range	NN	range
of	IN	of
options	NNS	option
,	,	,
the	DT	the
best	JJS	good
one	CD	one
.	SENT	.
We	PP	we
can	MD	can
benefit	VB	benefit
from	IN	from
others	NNS	other
'	POS	'
ideas	NNS	idea
.	SENT	.
We	PP	we
can	MD	can
build	VB	build
on	IN	on
their	PP$	their
wisdom	NN	wisdom
.	SENT	.
And	CC	and
as	IN	as
a	DT	a
result	NN	result
,	,	,
our	PP$	our
ideas	NNS	idea
do	VBP	do
accumulate	VB	accumulate
,	,	,
and	CC	and
our	PP$	our
technology	NN	technology
progresses	VBZ	progress
.	SENT	.
And	CC	and
this	DT	this
cumulative	JJ	cumulative
cultural	JJ	cultural
adaptation	NN	adaptation
,	,	,
as	IN	as
anthropologists	NNS	anthropologist
call	VBP	call
this	DT	this
accumulation	NN	accumulation
of	IN	of
ideas	NNS	idea
,	,	,
is	VBZ	be
responsible	JJ	responsible
for	IN	for
everything	NN	everything
around	IN	around
you	PP	you
in	IN	in
your	PP$	your
bustling	VBG	bustle
and	CC	and
teeming	VBG	teem
everyday	JJ	everyday
lives	NNS	life
.	SENT	.
I	PP	I
mean	VBP	mean
the	DT	the
world	NN	world
has	VBZ	have
changed	VBN	change
out	RP	out
of	IN	of
all	DT	all
proportion	NN	proportion
to	TO	to
what	WP	what
we	PP	we
would	MD	would
recognize	VB	recognize
even	RB	even
1	CD	@card@
,	,	,
000	CD	@card@
or	CC	or
2	CD	@card@
,	,	,
000	CD	@card@
years	NNS	year
ago	RB	ago
.	SENT	.
And	CC	and
all	DT	all
of	IN	of
this	DT	this
because	IN	because
of	IN	of
cumulative	JJ	cumulative
cultural	JJ	cultural
adaptation	NN	adaptation
.	SENT	.
The	DT	the
chairs	VBZ	chair
you	PP	you
'	''	'
re	IN	re
sitting	VBG	sit
in	IN	in
,	,	,
the	DT	the
lights	NNS	light
in	IN	in
this	DT	this
auditorium	NN	auditorium
,	,	,
my	PP$	my
microphone	NN	microphone
,	,	,
the	DT	the
iPads	NNS	<unknown>
and	CC	and
iPods	NNS	<unknown>
that	IN	that
you	PP	you
carry	VBP	carry
around	RB	around
with	IN	with
you	PP	you
—	:	-
all	RB	all
are	VBP	be
a	DT	a
result	NN	result
of	IN	of
cumulative	JJ	cumulative
cultural	JJ	cultural
adaptation	NN	adaptation
.	SENT	.
Now	RB	now
to	TO	to
many	JJ	many
commentators	NNS	commentator
,	,	,
cumulative	JJ	cumulative
cultural	JJ	cultural
adaptation	NN	adaptation
,	,	,
or	CC	or
social	JJ	social
learning	NN	learning
,	,	,
is	VBZ	be
job	NN	job
done	VBN	do
,	,	,
end	NN	end
of	IN	of
story	NN	story
.	SENT	.
Our	PP$	our
species	NNS	specie
can	MD	can
make	VB	make
stuff	NN	stuff
,	,	,
therefore	RB	therefore
we	PP	we
prospered	VBD	prosper
in	IN	in
a	DT	a
way	NN	way
that	IN	that
no	DT	no
other	JJ	other
species	NN	species
has	VBZ	have
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
we	PP	we
can	MD	can
even	RB	even
make	VB	make
the	DT	the
"	``	"
stuff	NN	stuff
of	IN	of
life	NN	life
"	''	"
—	:	-
as	IN	as
I	PP	I
just	RB	just
said	VBD	say
,	,	,
all	RB	all
the	DT	the
stuff	NN	stuff
around	IN	around
us	PP	us
.	SENT	.
But	CC	but
in	IN	in
fact	NN	fact
,	,	,
it	PP	it
turns	VBZ	turn
out	RP	out
that	IN	that
some	DT	some
time	NN	time
around	IN	around
200	CD	@card@
,	,	,
000	CD	@card@
years	NNS	year
ago	RB	ago
,	,	,
when	WRB	when
our	PP$	our
species	NNS	specie
first	RB	first
arose	VBD	arise
and	CC	and
acquired	VBD	acquire
social	JJ	social
learning	NN	learning
,	,	,
that	IN	that
this	DT	this
was	VBD	be
really	RB	really
the	DT	the
beginning	NN	beginning
of	IN	of
our	PP$	our
story	NN	story
,	,	,
not	RB	not
the	DT	the
end	NN	end
of	IN	of
our	PP$	our
story	NN	story
.	SENT	.
Because	IN	because
our	PP$	our
acquisition	NN	acquisition
of	IN	of
social	JJ	social
learning	NN	learning
would	MD	would
create	VB	create
a	DT	a
social	JJ	social
and	CC	and
evolutionary	JJ	evolutionary
dilemma	NN	dilemma
,	,	,
the	DT	the
resolution	NN	resolution
of	IN	of
which	WDT	which
,	,	,
it	PP	it
'	POS	'
s	NN	S
fair	JJ	fair
to	TO	to
say	VB	say
,	,	,
would	MD	would
determine	VB	determine
not	RB	not
only	RB	only
the	DT	the
future	JJ	future
course	NN	course
of	IN	of
our	PP$	our
psychology	NN	psychology
,	,	,
but	CC	but
the	DT	the
future	JJ	future
course	NN	course
of	IN	of
the	DT	the
entire	JJ	entire
world	NN	world
.	SENT	.
And	CC	and
most	RBS	most
importantly	RB	importantly
for	IN	for
this	DT	this
,	,	,
it	PP	it
'	POS	'
ll	NNS	<unknown>
tell	VBP	tell
us	PP	us
why	WRB	why
we	PP	we
have	VBP	have
language	NN	language
.	SENT	.
And	CC	and
the	DT	the
reason	NN	reason
that	IN	that
dilemma	NN	dilemma
arose	VBD	arise
is	VBZ	be
,	,	,
it	PP	it
turns	VBZ	turn
out	RP	out
,	,	,
that	DT	that
social	JJ	social
learning	NN	learning
is	VBZ	be
visual	JJ	visual
theft	NN	theft
.	SENT	.
If	IN	if
I	PP	I
can	MD	can
learn	VB	learn
by	IN	by
watching	VBG	watch
you	PP	you
,	,	,
I	PP	I
can	MD	can
steal	VB	steal
your	PP$	your
best	JJS	good
ideas	NNS	idea
,	,	,
and	CC	and
I	PP	I
can	MD	can
benefit	VB	benefit
from	IN	from
your	PP$	your
efforts	NNS	effort
,	,	,
without	IN	without
having	VBG	have
to	TO	to
put	VB	put
in	IN	in
the	DT	the
time	NN	time
and	CC	and
energy	NN	energy
that	IN	that
you	PP	you
did	VBD	do
into	IN	into
developing	VBG	develop
them	PP	them
.	SENT	.
If	IN	if
I	PP	I
can	MD	can
watch	VB	watch
which	WDT	which
lure	NN	lure
you	PP	you
use	VBP	use
to	TO	to
catch	VB	catch
a	DT	a
fish	NN	fish
,	,	,
or	CC	or
I	PP	I
can	MD	can
watch	VB	watch
how	WRB	how
you	PP	you
flake	VBP	flake
your	PP$	your
hand	NN	hand
axe	NN	axe
to	TO	to
make	VB	make
it	PP	it
better	JJR	good
,	,	,
or	CC	or
if	IN	if
I	PP	I
follow	VBP	follow
you	PP	you
secretly	RB	secretly
to	TO	to
your	PP$	your
mushroom	NN	mushroom
patch	NN	patch
,	,	,
I	PP	I
can	MD	can
benefit	VB	benefit
from	IN	from
your	PP$	your
knowledge	NN	knowledge
and	CC	and
wisdom	NN	wisdom
and	CC	and
skills	NNS	skill
,	,	,
and	CC	and
maybe	RB	maybe
even	RB	even
catch	VB	catch
that	DT	that
fish	NN	fish
before	IN	before
you	PP	you
do	VBP	do
.	SENT	.
Social	JJ	social
learning	NN	learning
really	RB	really
is	VBZ	be
visual	JJ	visual
theft	NN	theft
.	SENT	.
And	CC	and
in	IN	in
any	DT	any
species	NN	species
that	WDT	that
acquired	VBD	acquire
it	PP	it
,	,	,
it	PP	it
would	MD	would
behoove	VB	behoove
you	PP	you
to	TO	to
hide	VB	hide
your	PP$	your
best	JJS	good
ideas	NNS	idea
,	,	,
lest	IN	lest
somebody	NN	somebody
steal	VB	steal
them	PP	them
from	IN	from
you	PP	you
.	SENT	.
And	CC	and
so	RB	so
some	DT	some
time	NN	time
around	IN	around
200	CD	@card@
,	,	,
000	CD	@card@
years	NNS	year
ago	RB	ago
,	,	,
our	PP$	our
species	NNS	specie
confronted	VBD	confront
this	DT	this
crisis	NN	crisis
.	SENT	.
And	CC	and
we	PP	we
really	RB	really
had	VBD	have
only	RB	only
two	CD	two
options	NNS	option
for	IN	for
dealing	VBG	deal
with	IN	with
the	DT	the
conflicts	NNS	conflict
that	IN	that
visual	JJ	visual
theft	NN	theft
would	MD	would
bring	VB	bring
.	SENT	.
One	CD	one
of	IN	of
those	DT	those
options	NNS	option
was	VBD	be
that	IN	that
we	PP	we
could	MD	could
have	VB	have
retreated	VBN	retreat
into	IN	into
small	JJ	small
family	NN	family
groups	NNS	group
.	SENT	.
Because	IN	because
then	RB	then
the	DT	the
benefits	NNS	benefit
of	IN	of
our	PP$	our
ideas	NNS	idea
and	CC	and
knowledge	NN	knowledge
would	MD	would
flow	VB	flow
just	RB	just
to	TO	to
our	PP$	our
relatives	NNS	relative
.	SENT	.
Had	VBD	have
we	PP	we
chosen	VBN	choose
this	DT	this
option	NN	option
,	,	,
sometime	RB	sometime
around	IN	around
200	CD	@card@
,	,	,
000	CD	@card@
years	NNS	year
ago	RB	ago
,	,	,
we	PP	we
would	MD	would
probably	RB	probably
still	RB	still
be	VB	be
living	VBG	live
like	IN	like
the	DT	the
Neanderthals	NNS	Neanderthal
were	VBD	be
when	WRB	when
we	PP	we
first	RB	first
entered	VBD	enter
Europe	NP	Europe
40	CD	@card@
,	,	,
000	CD	@card@
years	NNS	year
ago	RB	ago
.	SENT	.
And	CC	and
this	DT	this
is	VBZ	be
because	IN	because
in	IN	in
small	JJ	small
groups	NNS	group
there	EX	there
are	VBP	be
fewer	JJR	few
ideas	NNS	idea
,	,	,
there	EX	there
are	VBP	be
fewer	JJR	few
innovations	NNS	innovation
.	SENT	.
And	CC	and
small	JJ	small
groups	NNS	group
are	VBP	be
more	RBR	more
prone	JJ	prone
to	TO	to
accidents	NNS	accident
and	CC	and
bad	JJ	bad
luck	NN	luck
.	SENT	.
So	RB	so
if	IN	if
we	PP	we
'	POS	'
d	NN	d
chosen	VBN	choose
that	DT	that
path	NN	path
,	,	,
our	PP$	our
evolutionary	JJ	evolutionary
path	NN	path
would	MD	would
have	VB	have
led	VBN	lead
into	IN	into
the	DT	the
forest	NN	forest
—	:	-
and	CC	and
been	VBN	be
a	DT	a
short	JJ	short
one	CD	one
indeed	RB	indeed
.	SENT	.
The	DT	the
other	JJ	other
option	NN	option
we	PP	we
could	MD	could
choose	VB	choose
was	VBD	be
to	TO	to
develop	VB	develop
the	DT	the
systems	NNS	system
of	IN	of
communication	NN	communication
that	WDT	that
would	MD	would
allow	VB	allow
us	PP	us
to	TO	to
share	NN	share
ideas	NNS	idea
and	CC	and
to	TO	to
cooperate	VB	cooperate
amongst	IN	amongst
others	NNS	other
.	SENT	.
Choosing	VBG	choose
this	DT	this
option	NN	option
would	MD	would
mean	VB	mean
that	IN	that
a	DT	a
vastly	RB	vastly
greater	JJR	great
fund	NN	fund
of	IN	of
accumulated	VBN	accumulate
knowledge	NN	knowledge
and	CC	and
wisdom	NN	wisdom
would	MD	would
become	VB	become
available	JJ	available
to	TO	to
any	DT	any
one	CD	one
individual	NN	individual
than	IN	than
would	MD	would
ever	RB	ever
arise	VB	arise
from	IN	from
within	IN	within
an	DT	an
individual	JJ	individual
family	NN	family
or	CC	or
an	DT	an
individual	JJ	individual
person	NN	person
on	IN	on
their	PP$	their
own	JJ	own
.	SENT	.
Well	RB	well
,	,	,
we	PP	we
chose	VBD	choose
the	DT	the
second	JJ	second
option	NN	option
,	,	,
and	CC	and
language	NN	language
is	VBZ	be
the	DT	the
result	NN	result
.	SENT	.
Language	NN	language
evolved	VBD	evolve
to	TO	to
