Today	NP	Today
hardly	RB	hardly
ever	RB	ever
make	VB	make
mistakes	NNS	mistake
.	SENT	.
And	CC	and
they	PP	they
can	MD	can
repair	VB	repair
themselves	PP	themselves
for	IN	for
longevity	NN	longevity
.	SENT	.
So	RB	so
there	EX	there
'	''	'
s	NN	S
something	NN	something
super	NN	super
interesting	JJ	interesting
about	IN	about
natural	JJ	natural
systems	NNS	system
.	SENT	.
And	CC	and
if	IN	if
we	PP	we
can	MD	can
translate	VB	translate
that	IN	that
into	IN	into
our	PP$	our
built	VBN	build
environment	NN	environment
,	,	,
then	RB	then
there	RB	there
'	''	'
s	VBG	<unknown>
some	DT	some
exciting	JJ	exciting
potential	NN	potential
for	IN	for
the	DT	the
way	NN	way
that	IN	that
we	PP	we
build	VB	build
things	NNS	thing
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
the	DT	the
key	NN	key
to	TO	to
that	WDT	that
is	VBZ	be
self-assembly	JJ	<unknown>
.	SENT	.
So	RB	so
if	IN	if
we	PP	we
want	VBP	want
to	TO	to
utilize	VB	utilize
self-assembly	NN	self-assembly
in	IN	in
our	PP$	our
physical	JJ	physical
environment	NN	environment
,	,	,
I	PP	I
think	VBP	think
there	EX	there
'	''	'
s	VBG	<unknown>
four	CD	four
key	JJ	key
factors	NNS	factor
.	SENT	.
The	DT	the
first	JJ	first
is	VBZ	be
that	IN	that
we	PP	we
need	VBP	need
to	TO	to
decode	VB	decode
all	DT	all
of	IN	of
the	DT	the
complexity	NN	complexity
of	IN	of
what	WP	what
we	PP	we
want	VBP	want
to	TO	to
build	VB	build
—	:	-
so	RB	so
our	PP$	our
buildings	NNS	building
and	CC	and
machines	NNS	machine
.	SENT	.
And	CC	and
we	PP	we
need	VBP	need
to	TO	to
decode	VB	decode
that	IN	that
into	IN	into
simple	JJ	simple
sequences	NNS	sequence
—	:	-
basically	RB	basically
the	DT	the
DNA	NN	DNA
of	IN	of
how	WRB	how
our	PP$	our
buildings	NNS	building
work	VBP	work
.	SENT	.
Then	RB	then
we	PP	we
need	VBP	need
programmable	JJ	programmable
parts	NNS	part
that	WDT	that
can	MD	can
take	VB	take
that	DT	that
sequence	NN	sequence
and	CC	and
use	VBP	use
that	IN	that
to	TO	to
fold	VB	fold
up	RP	up
,	,	,
or	CC	or
reconfigure	NN	reconfigure
.	SENT	.
We	PP	we
need	VBP	need
some	DT	some
energy	NN	energy
that	RB	that
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
allow	VB	allow
that	IN	that
to	TO	to
activate	VB	activate
,	,	,
allow	VB	allow
our	PP$	our
parts	NNS	part
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
fold	VB	fold
up	RP	up
from	IN	from
the	DT	the
program	NN	program
.	SENT	.
And	CC	and
we	PP	we
need	VBP	need
some	DT	some
type	NN	type
of	IN	of
error	NN	error
correction	NN	correction
redundancy	NN	redundancy
to	TO	to
guarantee	VB	guarantee
that	IN	that
we	PP	we
have	VBP	have
successfully	RB	successfully
built	VBN	build
what	WP	what
we	PP	we
want	VBP	want
.	SENT	.
So	IN	so
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
show	VB	show
you	PP	you
a	DT	a
number	NN	number
of	IN	of
projects	NNS	project
that	IN	that
my	PP$	my
colleagues	NNS	colleague
and	CC	and
I	PP	I
at	IN	at
MIT	NP	MIT
are	VBP	be
working	VBG	work
on	IN	on
to	TO	to
achieve	VB	achieve
this	DT	this
self-assembling	JJ	<unknown>
future	NN	future
.	SENT	.
The	DT	the
first	JJ	first
two	CD	two
are	VBP	be
the	DT	the
MacroBot	NP	<unknown>
and	CC	and
DeciBot	NP	<unknown>
.	SENT	.
So	IN	so
these	DT	these
projects	NNS	project
are	VBP	be
large-scale	JJ	large-scale
reconfigurable	JJ	<unknown>
robots	NNS	robot
—	:	-
8	CD	@card@
ft	NN	ft
.	SENT	.
,	,	,
12	CD	@card@
ft	NNS	ft
.	SENT	.
long	JJ	long
proteins	NNS	protein
.	SENT	.
They	PP	they
'	POS	'
re	NN	re
embedded	VBN	embed
with	IN	with
mechanical	JJ	mechanical
electrical	JJ	electrical
devices	NNS	device
,	,	,
sensors	NNS	sensor
.	SENT	.
You	PP	you
decode	VBP	decode
what	WP	what
you	PP	you
want	VBP	want
to	TO	to
fold	VB	fold
up	RP	up
into	IN	into
,	,	,
into	IN	into
a	DT	a
sequence	NN	sequence
of	IN	of
angles	NNS	angle
—	:	-
so	RB	so
negative	JJ	negative
120	CD	@card@
,	,	,
negative	JJ	negative
120	CD	@card@
,	,	,
0	CD	@card@
,	,	,
0	CD	@card@
,	,	,
120	CD	@card@
,	,	,
negative	JJ	negative
120	CD	@card@
—	:	-
something	NN	something
like	IN	like
that	DT	that
;	:	;
so	RB	so
a	DT	a
sequence	NN	sequence
of	IN	of
angles	NNS	angle
,	,	,
or	CC	or
turns	VBZ	turn
,	,	,
and	CC	and
you	PP	you
send	VBP	send
that	DT	that
sequence	NN	sequence
through	IN	through
the	DT	the
string	NN	string
.	SENT	.
Each	DT	each
unit	NN	unit
takes	VBZ	take
its	PP$	its
message	NN	message
—	:	-
so	RB	so
negative	JJ	negative
120	CD	@card@
—	:	-
it	PP	it
rotates	VBZ	rotate
to	TO	to
that	DT	that
,	,	,
checks	NNS	check
if	IN	if
it	PP	it
got	VBD	get
there	RB	there
and	CC	and
then	RB	then
passes	VBZ	pass
it	PP	it
to	TO	to
its	PP$	its
neighbor	NN	neighbor
.	SENT	.
So	RB	so
these	DT	these
are	VBP	be
the	DT	the
brilliant	JJ	brilliant
scientists	NNS	scientist
,	,	,
engineers	NNS	engineer
,	,	,
designers	NNS	designer
that	WDT	that
worked	VBD	work
on	IN	on
this	DT	this
project	NN	project
.	SENT	.
And	CC	and
I	PP	I
think	VBP	think
it	PP	it
really	RB	really
brings	VBZ	bring
to	TO	to
light	VB	light
:	:	:
Is	VBZ	be
this	DT	this
really	RB	really
scalable	JJ	scalable
?	SENT	?
I	PP	I
mean	VBP	mean
,	,	,
thousands	NNS	thousand
of	IN	of
dollars	NNS	dollar
,	,	,
lots	NNS	lot
of	IN	of
man	NN	man
hours	NNS	hour
made	VBD	make
to	TO	to
make	VB	make
this	DT	this
eight-foot	NN	eight-foot
robot	NN	robot
.	SENT	.
Can	MD	can
we	PP	we
really	RB	really
scale	VB	scale
this	DT	this
up	RB	up
?	SENT	?
Can	MD	can
we	PP	we
really	RB	really
embed	VBP	embed
robotics	NNS	robotic
into	IN	into
every	DT	every
part	NN	part
?	SENT	?
The	DT	the
next	JJ	next
one	CD	one
questions	NNS	question
that	RB	that
and	CC	and
looks	VBZ	look
at	IN	at
passive	JJ	passive
nature	NN	nature
,	,	,
or	CC	or
passively	RB	passively
trying	VBG	try
to	TO	to
have	VB	have
reconfiguration	NN	reconfiguration
programmability	NN	programmability
.	SENT	.
But	CC	but
it	PP	it
goes	VBZ	go
a	DT	a
step	NN	step
further	RBR	further
,	,	,
and	CC	and
it	PP	it
tries	VBZ	try
to	TO	to
have	VB	have
actual	JJ	actual
computation	NN	computation
.	SENT	.
It	PP	it
basically	RB	basically
embeds	VBZ	embed
the	DT	the
most	RBS	most
fundamental	JJ	fundamental
building	NN	building
block	NN	block
of	IN	of
computing	NN	computing
,	,	,
the	DT	the
digital	JJ	digital
logic	NN	logic
gate	NN	gate
,	,	,
directly	RB	directly
into	IN	into
your	PP$	your
parts	NNS	part
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
a	DT	a
NAND	NP	Nand
gate	NN	gate
.	SENT	.
You	PP	you
have	VBP	have
one	CD	one
tetrahedron	NN	tetrahedron
which	WDT	which
is	VBZ	be
the	DT	the
gate	NN	gate
that	RB	that
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
do	VB	do
your	PP$	your
computing	NN	computing
,	,	,
and	CC	and
you	PP	you
have	VBP	have
two	CD	two
input	NN	input
tetrahedrons	NNS	tetrahedron
.	SENT	.
One	CD	one
of	IN	of
them	PP	them
is	VBZ	be
the	DT	the
input	NN	input
from	IN	from
the	DT	the
user	NN	user
,	,	,
as	IN	as
you	PP	you
'	POS	'
re	NN	re
building	VBG	build
your	PP$	your
bricks	NNS	brick
.	SENT	.
The	DT	the
other	JJ	other
one	CD	one
is	VBZ	be
from	IN	from
the	DT	the
previous	JJ	previous
brick	NN	brick
that	WDT	that
was	VBD	be
placed	VBN	place
.	SENT	.
And	CC	and
then	RB	then
it	PP	it
gives	VBZ	give
you	PP	you
an	DT	an
output	NN	output
in	IN	in
3D	JJ	3D
space	NN	space
.	SENT	.
So	RB	so
what	WP	what
this	DT	this
means	NN	means
is	VBZ	be
that	IN	that
the	DT	the
user	NN	user
can	MD	can
start	VB	start
plugging	VBG	plug
in	IN	in
what	WP	what
they	PP	they
want	VBP	want
the	DT	the
bricks	NNS	brick
to	TO	to
do	VB	do
.	SENT	.
It	PP	it
computes	VBZ	compute
on	IN	on
what	WP	what
it	PP	it
was	VBD	be
doing	VBG	do
before	RB	before
and	CC	and
what	WP	what
you	PP	you
said	VBD	say
you	PP	you
wanted	VBD	want
it	PP	it
to	TO	to
do	VB	do
.	SENT	.
And	CC	and
now	RB	now
it	PP	it
starts	VBZ	start
moving	VBG	move
in	IN	in
three-dimensional	JJ	three-dimensional
space	NN	space
—	:	-
so	RB	so
up	RB	up
or	CC	or
down	RB	down
.	SENT	.
So	RB	so
on	IN	on
the	DT	the
left-hand	JJ	left-hand
side	NN	side
,	,	,
[	SYM	[
1	CD	@card@
,	,	,
1	CD	@card@
]	SYM	]
input	NN	input
equals	VBZ	equal
0	CD	@card@
output	NN	output
,	,	,
which	WDT	which
goes	VBZ	go
down	RP	down
.	SENT	.
On	IN	on
the	DT	the
right-hand	JJ	right-hand
side	NN	side
,	,	,
[	SYM	[
0	CD	@card@
,	,	,
0	CD	@card@
]	SYM	]
input	NN	input
is	VBZ	be
a	DT	a
1	CD	@card@
output	NN	output
,	,	,
which	WDT	which
goes	VBZ	go
up	RP	up
.	SENT	.
And	CC	and
so	IN	so
what	WP	what
that	DT	that
really	RB	really
means	VBZ	mean
is	VBZ	be
that	IN	that
our	PP$	our
structures	NNS	structure
now	RB	now
contain	VBP	contain
the	DT	the
blueprints	NNS	blueprint
of	IN	of
what	WP	what
we	PP	we
want	VBP	want
to	TO	to
build	VB	build
.	SENT	.
So	RB	so
they	PP	they
have	VBP	have
all	DT	all
of	IN	of
the	DT	the
information	NN	information
embedded	VBN	embed
in	IN	in
them	PP	them
of	IN	of
what	WP	what
was	VBD	be
constructed	VBN	construct
.	SENT	.
So	IN	so
that	DT	that
means	NN	means
that	IN	that
we	PP	we
can	MD	can
have	VB	have
some	DT	some
form	NN	form
of	IN	of
self-replication	NN	self-replication
.	SENT	.
In	IN	in
this	DT	this
case	NN	case
I	PP	I
call	VBP	call
it	PP	it
self-guided	JJ	<unknown>
replication	NN	replication
,	,	,
because	IN	because
your	PP$	your
structure	NN	structure
contains	VBZ	contain
the	DT	the
exact	JJ	exact
blueprints	NNS	blueprint
.	SENT	.
If	IN	if
you	PP	you
have	VBP	have
errors	NNS	error
,	,	,
you	PP	you
can	MD	can
replace	VB	replace
a	DT	a
part	NN	part
.	SENT	.
All	PDT	all
the	DT	the
local	JJ	local
information	NN	information
is	VBZ	be
embedded	VBN	embed
to	TO	to
tell	VB	tell
you	PP	you
how	WRB	how
to	TO	to
fix	VB	fix
it	PP	it
.	SENT	.
So	RB	so
you	PP	you
could	MD	could
have	VB	have
something	NN	something
that	WDT	that
climbs	VBZ	climb
along	RB	along
and	CC	and
reads	VBZ	read
it	PP	it
and	CC	and
can	NN	can
output	NN	output
at	IN	at
one	CD	one
to	TO	to
one	CD	one
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
directly	RB	directly
embedded	VBN	embed
;	:	;
there	EX	there
'	''	'
s	VBG	<unknown>
no	DT	no
external	JJ	external
instructions	NNS	instruction
.	SENT	.
So	IN	so
the	DT	the
last	JJ	last
project	NN	project
I	NP	I
'	POS	'
ll	NN	ll
show	NN	show
is	VBZ	be
called	VBN	call
Biased	VBN	bias
Chains	NNS	chain
,	,	,
and	CC	and
it	PP	it
'	POS	'
s	NN	S
probably	RB	probably
the	DT	the
most	RBS	most
exciting	JJ	exciting
example	NN	example
that	IN	that
we	PP	we
have	VBP	have
right	RB	right
now	RB	now
of	IN	of
passive	JJ	passive
self-assembly	NN	self-assembly
systems	NNS	system
.	SENT	.
So	RB	so
it	PP	it
takes	VBZ	take
the	DT	the
reconfigurability	NN	reconfigurability
and	CC	and
programmability	NN	programmability
and	CC	and
makes	VBZ	make
it	PP	it
a	DT	a
completely	RB	completely
passive	JJ	passive
system	NN	system
.	SENT	.
So	RB	so
basically	RB	basically
you	PP	you
have	VBP	have
a	DT	a
chain	NN	chain
of	IN	of
elements	NNS	element
.	SENT	.
Each	DT	each
element	NN	element
is	VBZ	be
completely	RB	completely
identical	JJ	identical
,	,	,
and	CC	and
they	PP	they
'	POS	'
re	NN	re
biased	VBN	bias
.	SENT	.
So	IN	so
each	DT	each
chain	NN	chain
,	,	,
or	CC	or
each	DT	each
element	NN	element
,	,	,
wants	VBZ	want
to	TO	to
turn	VB	turn
right	RB	right
or	CC	or
left	VBN	leave
.	SENT	.
So	RB	so
as	IN	as
you	PP	you
assemble	VBP	assemble
the	DT	the
chain	NN	chain
,	,	,
you	PP	you
'	POS	'
re	NN	re
basically	RB	basically
programming	VBG	programme
it	PP	it
.	SENT	.
You	PP	you
'	''	'
re	IN	re
telling	VBG	tell
each	DT	each
unit	NN	unit
if	IN	if
it	PP	it
should	MD	should
turn	VB	turn
right	RB	right
or	CC	or
left	VBN	leave
.	SENT	.
So	RB	so
when	WRB	when
you	PP	you
shake	VBP	shake
the	DT	the
chain	NN	chain
,	,	,
it	PP	it
then	RB	then
folds	VBZ	fold
up	RP	up
into	IN	into
any	DT	any
configuration	NN	configuration
that	IN	that
you	PP	you
'	POS	'
ve	NNS	<unknown>
programmed	VBN	programme
in	IN	in
—	:	-
so	RB	so
in	IN	in
this	DT	this
case	NN	case
,	,	,
a	DT	a
spiral	NN	spiral
,	,	,
or	CC	or
in	IN	in
this	DT	this
case	NN	case
,	,	,
two	CD	two
cubes	NNS	cube
next	JJ	next
to	TO	to
each	DT	each
other	JJ	other
.	SENT	.
So	RB	so
you	PP	you
can	MD	can
basically	RB	basically
program	VB	program
any	DT	any
three-dimensional	JJ	three-dimensional
shape	NN	shape
—	:	-
or	CC	or
one-dimensional	JJ	one-dimensional
,	,	,
two-dimensional	JJ	two-dimensional
—	:	-
up	RB	up
into	IN	into
this	DT	this
chain	NN	chain
completely	RB	completely
passively	RB	passively
.	SENT	.
So	RB	so
what	WP	what
does	VBZ	do
this	DT	this
tell	VB	tell
us	PP	us
about	IN	about
the	DT	the
future	NN	future
?	SENT	?
I	PP	I
think	VBP	think
that	IN	that
it	PP	it
'	POS	'
s	NN	S
telling	VBG	tell
us	PP	us
that	IN	that
there	EX	there
'	''	'
s	JJ	<unknown>
new	JJ	new
possibilities	NNS	possibility
for	IN	for
self-assembly	NN	self-assembly
,	,	,
replication	NN	replication
,	,	,
repair	NN	repair
in	IN	in
our	PP$	our
physical	JJ	physical
structures	NNS	structure
,	,	,
our	PP$	our
buildings	NNS	building
,	,	,
machines	NNS	machine
.	SENT	.
There	EX	there
'	POS	'
s	JJ	<unknown>
new	JJ	new
programmability	NN	programmability
in	IN	in
these	DT	these
parts	NNS	part
.	SENT	.
And	CC	and
from	IN	from
that	WDT	that
you	PP	you
have	VBP	have
new	JJ	new
possibilities	NNS	possibility
for	IN	for
computing	NN	computing
.	SENT	.
We	PP	we
'	POS	'
ll	NNS	<unknown>
have	VBP	have
spatial	JJ	spatial
computing	NN	computing
.	SENT	.
Imagine	VB	imagine
if	IN	if
our	PP$	our
buildings	NNS	building
,	,	,
our	PP$	our
bridges	NNS	bridge
,	,	,
machines	NNS	machine
,	,	,
all	DT	all
of	IN	of
our	PP$	our
bricks	NNS	brick
could	MD	could
actually	RB	actually
compute	VB	compute
.	SENT	.
That	IN	that
'	POS	'
s	JJ	<unknown>
amazing	JJ	amazing
parallel	NN	parallel
and	CC	and
distributed	VBN	distribute
computing	NN	computing
power	NN	power
,	,	,
new	JJ	new
design	NN	design
possibilities	NNS	possibility
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	JJ	<unknown>
exciting	JJ	exciting
potential	NN	potential
for	IN	for
this	DT	this
.	SENT	.
So	RB	so
I	PP	I
think	VBP	think
these	DT	these
projects	NNS	project
I	PP	I
'	POS	'
ve	NN	ve
showed	VBD	show
here	RB	here
are	VBP	be
just	RB	just
a	DT	a
tiny	JJ	tiny
step	NN	step
towards	IN	towards
this	DT	this
future	NN	future
,	,	,
if	IN	if
we	PP	we
implement	VB	implement
these	DT	these
new	JJ	new
technologies	NNS	technology
for	IN	for
a	DT	a
new	JJ	new
self-assembling	NN	<unknown>
world	NN	world
.	SENT	.
Thank	VB	thank
you	PP	you
.	SENT	.
