Charles	NP	Charles
Foundation	NP	Foundation
,	,	,
which	WDT	which
I	PP	I
founded	VBD	found
,	,	,
a	DT	a
nonprofit	JJ	nonprofit
organization	NN	organization
.	SENT	.
And	CC	and
our	PP$	our
goal	NN	goal
,	,	,
the	DT	the
core	JJ	core
aim	NN	aim
of	IN	of
the	DT	the
Wikimedia	NP	Wikimedia
Foundation	NP	Foundation
,	,	,
is	VBZ	be
to	TO	to
get	VB	get
a	DT	a
free	JJ	free
encyclopedia	NN	encyclopedia
to	TO	to
every	DT	every
single	JJ	single
person	NN	person
on	IN	on
the	DT	the
planet	NN	planet
.	SENT	.
And	CC	and
so	RB	so
,	,	,
if	IN	if
you	PP	you
think	VBP	think
about	RB	about
what	WP	what
that	DT	that
means	NN	means
,	,	,
it	PP	it
means	VBZ	mean
a	DT	a
lot	NN	lot
more	RBR	more
than	IN	than
just	RB	just
building	VBG	build
a	DT	a
cool	JJ	cool
website	NN	website
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
really	RB	really
interested	JJ	interested
in	IN	in
all	PDT	all
the	DT	the
issues	NNS	issue
of	IN	of
the	DT	the
digital	JJ	digital
divide	NN	divide
,	,	,
poverty	NN	poverty
worldwide	RB	worldwide
,	,	,
empowering	VBG	empower
people	NNS	people
everywhere	RB	everywhere
to	TO	to
have	VB	have
the	DT	the
information	NN	information
that	IN	that
they	PP	they
need	VBP	need
to	TO	to
make	VB	make
good	JJ	good
decisions	NNS	decision
.	SENT	.
And	CC	and
so	IN	so
we	PP	we
'	POS	'
re	NN	re
going	VBG	go
to	TO	to
have	VB	have
to	TO	to
do	VB	do
a	DT	a
lot	NN	lot
of	IN	of
work	NN	work
that	WDT	that
goes	VBZ	go
beyond	IN	beyond
just	RB	just
the	DT	the
Internet	NN	Internet
.	SENT	.
And	CC	and
so	RB	so
that	RB	that
'	''	'
s	VBG	<unknown>
a	DT	a
big	JJ	big
part	NN	part
of	IN	of
why	WRB	why
we	PP	we
'	POS	'
ve	NN	ve
chosen	VBN	choose
the	DT	the
free	JJ	free
licensing	NN	licensing
model	NN	model
,	,	,
because	IN	because
that	WDT	that
empowers	VBZ	empower
local	JJ	local
entrepreneurs	NNS	entrepreneur
or	CC	or
anyone	NN	anyone
who	WP	who
wants	VBZ	want
to	TO	to
â	NP	<unknown>
they	PP	they
can	MD	can
take	VB	take
our	PP$	our
content	NN	content
and	CC	and
do	VB	do
anything	NN	anything
they	PP	they
like	VBP	like
with	IN	with
it	PP	it
â	NP	<unknown>
you	PP	you
can	MD	can
copy	VB	copy
it	PP	it
,	,	,
redistribute	VB	redistribute
it	PP	it
â	NP	<unknown>
and	CC	and
you	PP	you
can	MD	can
do	VB	do
it	PP	it
commercially	RB	commercially
or	CC	or
non-	NN	non-
commercially	RB	commercially
.	SENT	.
So	RB	so
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
lot	NN	lot
of	IN	of
opportunities	NNS	opportunity
that	WDT	that
are	VBP	be
going	VBG	go
to	TO	to
arise	VB	arise
around	RP	around
Wikipedia	NP	<unknown>
all	DT	all
over	IN	over
the	DT	the
world	NN	world
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
funded	VBN	fund
by	IN	by
donations	NNS	donation
from	IN	from
the	DT	the
public	NN	public
,	,	,
and	CC	and
one	CD	one
of	IN	of
the	DT	the
more	JJR	more
interesting	JJ	interesting
things	NNS	thing
about	IN	about
that	DT	that
is	VBZ	be
how	WRB	how
little	JJ	little
money	NN	money
it	PP	it
actually	RB	actually
takes	VBZ	take
to	TO	to
run	VB	run
Wikipedia	NP	<unknown>
.	SENT	.
So	IN	so
Yochai	NP	<unknown>
showed	VBD	show
you	PP	you
the	DT	the
graph	NN	graph
of	IN	of
what	WP	what
the	DT	the
cost	NN	cost
of	IN	of
a	DT	a
printing	NN	printing
press	NN	press
was	VBD	be
.	SENT	.
And	CC	and
I	PP	I
'	POS	'
m	NN	m
going	VBG	go
to	TO	to
tell	VB	tell
you	PP	you
what	WP	what
the	DT	the
cost	NN	cost
of	IN	of
Wikipedia	NP	<unknown>
is	VBZ	be
.	SENT	.
But	CC	but
first	RB	first
,	,	,
I	PP	I
'	POS	'
ll	NNS	<unknown>
show	VBP	show
you	PP	you
how	WRB	how
big	JJ	big
it	PP	it
is	VBZ	be
.	SENT	.
So	IN	so
we	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
over	IN	over
600	CD	@card@
,	,	,
000	CD	@card@
articles	NNS	article
in	IN	in
English	NP	English
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
two	CD	two
million	CD	million
total	JJ	total
articles	NNS	article
across	IN	across
many	JJ	many
,	,	,
many	JJ	many
different	JJ	different
languages	NNS	language
.	SENT	.
The	DT	the
biggest	JJS	big
languages	NNS	language
are	VBP	be
German	JJ	German
,	,	,
Japanese	JJ	Japanese
,	,	,
French	JJ	French
â	NP	<unknown>
all	PDT	all
the	DT	the
Western-European	NP	Western-European
languages	NNS	language
are	VBP	be
quite	RB	quite
big	JJ	big
.	SENT	.
But	CC	but
only	RB	only
around	RB	around
one-third	JJ	one-third
of	IN	of
all	DT	all
of	IN	of
our	PP$	our
traffic	NN	traffic
to	TO	to
our	PP$	our
web	NN	web
clusters	NNS	cluster
to	TO	to
the	DT	the
English	NP	English
Wikipedia	NP	<unknown>
,	,	,
which	WDT	which
is	VBZ	be
surprising	JJ	surprising
to	TO	to
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
.	SENT	.
A	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
think	VBP	think
in	IN	in
a	DT	a
very	RB	very
English-centric	JJ	English-centric
way	NN	way
on	IN	on
the	DT	the
Internet	NN	Internet
,	,	,
but	CC	but
for	IN	for
us	PP	us
,	,	,
we	PP	we
'	POS	'
re	NN	re
truly	RB	truly
global	JJ	global
.	SENT	.
We	PP	we
'	POS	'
re	NN	re
in	IN	in
many	JJ	many
,	,	,
many	JJ	many
languages	NNS	language
.	SENT	.
How	WRB	how
popular	JJ	popular
we	PP	we
'	''	'
ve	NNS	<unknown>
gotten	VBN	get
to	TO	to
be	VB	be
â	NP	<unknown>
we	PP	we
'	''	'
re	IN	re
a	DT	a
top-50	JJ	<unknown>
website	NN	website
and	CC	and
we	PP	we
'	POS	'
re	NN	re
more	RBR	more
popular	JJ	popular
than	IN	than
the	DT	the
New	NP	New
York	NP	York
Times	NP	Times
.	SENT	.
So	RB	so
this	DT	this
is	VBZ	be
where	WRB	where
we	PP	we
get	VBP	get
to	TO	to
Yochai	NP	<unknown>
'	POS	'
s	NN	S
discussion	NN	discussion
.	SENT	.
This	DT	this
shows	VBZ	show
the	DT	the
growth	NN	growth
of	IN	of
Wikipedia	NP	<unknown>
â	NP	<unknown>
we	PP	we
'	''	'
re	IN	re
the	DT	the
blue	JJ	blue
line	NN	line
there	RB	there
â	NP	<unknown>
and	CC	and
this	DT	this
is	VBZ	be
the	DT	the
New	NP	New
York	NP	York
Times	NP	Times
over	IN	over
there	RB	there
.	SENT	.
And	CC	and
what	WP	what
'	POS	'
s	NNS	<unknown>
interesting	JJ	interesting
about	IN	about
this	DT	this
is	VBZ	be
the	DT	the
New	NP	New
York	NP	York
Times	NP	Times
website	NN	website
is	VBZ	be
a	DT	a
huge	JJ	huge
,	,	,
enormous	JJ	enormous
corporate	JJ	corporate
operation	NN	operation
with	IN	with
I	PP	I
have	VBP	have
no	DT	no
idea	NN	idea
how	WRB	how
many	JJ	many
hundreds	NNS	hundred
of	IN	of
employees	NNS	employee
.	SENT	.
We	PP	we
have	VBP	have
exactly	RB	exactly
one	CD	one
employee	NN	employee
,	,	,
and	CC	and
that	IN	that
employee	NN	employee
is	VBZ	be
our	PP$	our
lead	JJ	lead
software	NN	software
developer	NN	developer
.	SENT	.
And	CC	and
he	PP	he
'	POS	'
s	NN	S
only	RB	only
been	VBN	be
our	PP$	our
employee	NN	employee
since	IN	since
January	NP	January
2005	CD	@card@
,	,	,
all	PDT	all
the	DT	the
other	JJ	other
growth	NN	growth
before	IN	before
that	DT	that
.	SENT	.
.	SENT	.
.	SENT	.
So	IN	so
the	DT	the
servers	NNS	server
are	VBP	be
managed	VBN	manage
by	IN	by
a	DT	a
ragtag	NN	ragtag
band	NN	band
of	IN	of
volunteers	NNS	volunteer
.	SENT	.
All	PDT	all
the	DT	the
editing	VBG	edit
is	VBZ	be
done	VBN	do
by	IN	by
volunteers	NNS	volunteer
.	SENT	.
And	CC	and
the	DT	the
way	NN	way
that	IN	that
we	PP	we
'	POS	'
re	NN	re
organized	VBN	organize
is	VBZ	be
not	RB	not
like	IN	like
any	DT	any
traditional	JJ	traditional
organization	NN	organization
you	PP	you
can	MD	can
imagine	VB	imagine
.	SENT	.
People	NNS	people
are	VBP	be
always	RB	always
asking	VBG	ask
,	,	,
"	``	"
Well	UH	well
,	,	,
who	WP	who
'	POS	'
s	NN	S
in	IN	in
charge	NN	charge
of	IN	of
this	DT	this
?	SENT	?
"	''	"
or	CC	or
"	``	"
Who	WP	who
does	VBZ	do
that	DT	that
?	SENT	?
"	''	"
And	CC	and
the	DT	the
answer	NN	answer
is	VBZ	be
:	:	:
anybody	NN	anybody
who	WP	who
wants	VBZ	want
to	TO	to
pitch	VB	pitch
in	IN	in
.	SENT	.
It	PP	it
'	POS	'
s	NN	S
a	DT	a
very	RB	very
unusual	JJ	unusual
and	CC	and
chaotic	JJ	chaotic
thing	NN	thing
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
over	IN	over
90	CD	@card@
servers	NNS	server
now	RB	now
in	IN	in
three	CD	three
locations	NNS	location
.	SENT	.
These	DT	these
are	VBP	be
managed	VBN	manage
by	IN	by
volunteer	NN	volunteer
system	NN	system
administrators	NNS	administrator
who	WP	who
are	VBP	be
online	JJ	online
.	SENT	.
I	PP	I
can	MD	can
go	VB	go
online	JJ	online
any	DT	any
time	NN	time
of	IN	of
the	DT	the
day	NN	day
or	CC	or
night	NN	night
and	CC	and
see	VB	see
eight	CD	eight
to	TO	to
10	CD	@card@
people	NNS	people
waiting	VBG	wait
for	IN	for
me	PP	me
to	TO	to
ask	VB	ask
a	DT	a
question	NN	question
or	CC	or
something	NN	something
,	,	,
anything	NN	anything
about	IN	about
the	DT	the
servers	NNS	server
.	SENT	.
You	PP	you
could	MD	could
never	RB	never
afford	VB	afford
to	TO	to
do	VB	do
this	DT	this
in	IN	in
a	DT	a
company	NN	company
.	SENT	.
You	PP	you
could	MD	could
never	RB	never
afford	VB	afford
to	TO	to
have	VB	have
a	DT	a
standby	JJ	standby
crew	NN	crew
of	IN	of
people	NNS	people
24	CD	@card@
hours	NNS	hour
a	DT	a
day	NN	day
and	CC	and
do	VB	do
what	WP	what
we	PP	we
'	POS	'
re	NN	re
doing	VBG	do
at	IN	at
Wikipedia	NP	<unknown>
.	SENT	.
So	IN	so
we	PP	we
'	POS	'
re	NN	re
doing	VBG	do
around	IN	around
1	CD	@card@
.	SENT	.
4	CD	@card@
billion	NN	billion
page	NN	page
views	NNS	view
monthly	JJ	monthly
,	,	,
so	IN	so
it	PP	it
'	POS	'
s	NN	S
really	RB	really
gotten	VBN	get
to	TO	to
be	VB	be
a	DT	a
huge	JJ	huge
thing	NN	thing
.	SENT	.
And	CC	and
everything	NN	everything
is	VBZ	be
managed	VBN	manage
by	IN	by
the	DT	the
volunteers	NNS	volunteer
.	SENT	.
And	CC	and
the	DT	the
total	JJ	total
monthly	JJ	monthly
cost	NN	cost
for	IN	for
our	PP$	our
bandwidth	NN	bandwidth
is	VBZ	be
about	RB	about
5	CD	@card@
,	,	,
000	CD	@card@
dollars	NNS	dollar
.	SENT	.
And	CC	and
that	WDT	that
'	POS	'
s	NNS	<unknown>
essentially	RB	essentially
our	PP$	our
main	JJ	main
cost	NN	cost
.	SENT	.
We	PP	we
could	MD	could
actually	RB	actually
do	VB	do
without	IN	without
the	DT	the
employee	NN	employee
.	SENT	.
We	PP	we
hired	VBD	hire
Brian	NP	Brian
because	IN	because
he	PP	he
was	VBD	be
working	VBG	work
part-time	RB	part-time
for	IN	for
two	CD	two
years	NNS	year
and	CC	and
full-time	JJ	full-time
at	IN	at
Wikipedia	NP	<unknown>
,	,	,
so	RB	so
we	PP	we
actually	RB	actually
hired	VBD	hire
him	PP	him
,	,	,
so	RB	so
he	PP	he
could	MD	could
get	VB	get
a	DT	a
life	NN	life
and	CC	and
go	VB	go
to	TO	to
the	DT	the
movies	NNS	movie
sometimes	RB	sometimes
.	SENT	.
So	IN	so
the	DT	the
big	JJ	big
question	NN	question
when	WRB	when
you	PP	you
'	POS	'
ve	NN	ve
got	VBD	get
this	DT	this
really	RB	really
chaotic	JJ	chaotic
organization	NN	organization
is	VBZ	be
,	,	,
why	WRB	why
isn	NNS	<unknown>
'	POS	'
t	NN	t
it	PP	it
all	DT	all
rubbish	NN	rubbish
?	SENT	?
Why	WRB	why
is	VBZ	be
the	DT	the
website	NN	website
as	IN	as
good	JJ	good
as	IN	as
it	PP	it
is	VBZ	be
?	SENT	?
First	JJ	first
of	IN	of
all	DT	all
,	,	,
how	WRB	how
good	NN	good
is	VBZ	be
it	PP	it
?	SENT	?
Well	RB	well
,	,	,
it	PP	it
'	POS	'
s	NN	S
pretty	RB	pretty
good	JJ	good
.	SENT	.
It	PP	it
isn	NP	isn
'	POS	'
t	NN	t
perfect	JJ	perfect
,	,	,
but	CC	but
it	PP	it
'	POS	'
s	NN	S
much	RB	much
better	RBR	well
than	IN	than
you	PP	you
would	MD	would
expect	VB	expect
,	,	,
given	VBN	give
our	PP$	our
completely	RB	completely
chaotic	JJ	chaotic
model	NN	model
.	SENT	.
So	RB	so
when	WRB	when
you	PP	you
saw	VBD	see
him	PP	him
make	VB	make
a	DT	a
ridiculous	JJ	ridiculous
edit	VB	edit
to	TO	to
the	DT	the
page	NN	page
about	IN	about
me	PP	me
,	,	,
you	PP	you
think	VBP	think
,	,	,
"	``	"
Oh	UH	oh
,	,	,
this	DT	this
is	VBZ	be
obviously	RB	obviously
just	RB	just
going	VBG	go
to	TO	to
degenerate	VB	degenerate
into	IN	into
rubbish	NN	rubbish
.	SENT	.
"	``	"
But	CC	but
when	WRB	when
we	PP	we
'	POS	'
ve	JJ	<unknown>
seen	VBN	see
quality	NN	quality
tests	NNS	test
â	NP	<unknown>
and	CC	and
there	RB	there
haven	NN	haven
'	POS	'
t	NN	t
been	VBN	be
enough	JJ	enough
of	IN	of
these	DT	these
yet	RB	yet
and	CC	and
I	PP	I
'	POS	'
m	NN	m
really	RB	really
encouraging	VBG	encourage
people	NNS	people
to	TO	to
do	VB	do
more	RBR	more
,	,	,
comparing	VBG	compare
Wikipedia	NP	<unknown>
to	TO	to
traditional	JJ	traditional
things	NNS	thing
â	NP	<unknown>
we	PP	we
win	VBP	win
hands	NNS	hand
down	RB	down
.	SENT	.
So	IN	so
a	DT	a
German	JJ	German
magazine	NN	magazine
compared	VBN	compare
German	NP	German
Wikipedia	NP	<unknown>
,	,	,
which	WDT	which
is	VBZ	be
much	JJ	much
,	,	,
much	RB	much
smaller	JJR	small
than	IN	than
English	NP	English
,	,	,
to	TO	to
Microsoft	NP	Microsoft
Encarta	NP	Encarta
and	CC	and
to	TO	to
Brockhaus	NP	Brockhaus
multimedial	NN	multimedial
,	,	,
and	CC	and
we	PP	we
won	VBD	win
across	IN	across
the	DT	the
board	NN	board
.	SENT	.
They	PP	they
hired	VBD	hire
experts	NNS	expert
to	TO	to
come	VB	come
and	CC	and
look	VB	look
at	IN	at
articles	NNS	article
and	CC	and
compare	VB	compare
the	DT	the
quality	NN	quality
,	,	,
and	CC	and
we	PP	we
were	VBD	be
very	RB	very
pleased	VBN	please
with	IN	with
that	DT	that
result	NN	result
.	SENT	.
So	IN	so
a	DT	a
lot	NN	lot
of	IN	of
people	NNS	people
have	VBP	have
heard	VBN	hear
about	IN	about
the	DT	the
Wikipedia	NP	<unknown>
Bush-Kerry	NP	Bush-Kerry
controversy	NN	controversy
.	SENT	.
The	DT	the
media	NNS	medium
has	VBZ	have
covered	VBN	cover
this	DT	this
somewhat	RB	somewhat
extensively	RB	extensively
.	SENT	.
It	PP	it
started	VBD	start
out	RP	out
with	IN	with
an	DT	an
article	NN	article
in	IN	in
Red	NP	Red
Herring	NP	Herring
.	SENT	.
The	DT	the
reporters	NNS	reporter
called	VBD	call
me	PP	me
up	RP	up
and	CC	and
they	PP	they
â	NP	<unknown>
I	PP	I
mean	VBP	mean
,	,	,
I	PP	I
have	VBP	have
to	TO	to
say	VB	say
they	PP	they
spelled	VBD	spell
my	PP$	my
name	NN	name
right	NN	right
,	,	,
but	CC	but
they	PP	they
really	RB	really
wanted	VBD	want
to	TO	to
say	VB	say
the	DT	the
Bush-Kerry	NP	Bush-Kerry
election	NN	election
is	VBZ	be
so	RB	so
contentious	JJ	contentious
,	,	,
it	PP	it
'	POS	'
s	NNS	<unknown>
tearing	VBG	tear
apart	RP	apart
the	DT	the
Wikipedia	NP	<unknown>
community	NN	community
.	SENT	.
And	CC	and
so	RB	so
they	PP	they
quote	VBP	quote
me	PP	me
as	IN	as
saying	VBG	say
,	,	,
"	''	"
They	PP	they
'	''	'
re	IN	re
the	DT	the
most	RBS	most
contentious	JJ	contentious
in	IN	in
the	DT	the
history	NN	history
of	IN	of
Wikipedia	NP	<unknown>
.	SENT	.
"	``	"
What	WP	what
I	PP	I
actually	RB	actually
said	VBN	say
is	VBZ	be
they	PP	they
'	POS	'
re	NN	re
not	RB	not
contentious	JJ	contentious
at	IN	at
all	DT	all
.	SENT	.
So	IN	so
it	PP	it
'	POS	'
s	NN	S
a	DT	a
slight	JJ	slight
misquote	VB	misquote
.	SENT	.
The	DT	the
articles	NNS	article
were	VBD	be
edited	VBN	edit
quite	RB	quite
heavily	RB	heavily
.	SENT	.
And	CC	and
it	PP	it
is	VBZ	be
true	JJ	true
that	IN	that
we	PP	we
did	VBD	do
have	VB	have
to	TO	to
lock	VB	lock
the	DT	the
articles	NNS	article
on	IN	on
a	DT	a
couple	NN	couple
of	IN	of
occasions	NNS	occasion
.	SENT	.
Time	NN	time
magazine	NN	magazine
recently	RB	recently
reported	VBD	report
that	IN	that
"	``	"
Extreme	JJ	extreme
action	NN	action
sometimes	RB	sometimes
has	VBZ	have
to	TO	to
be	VB	be
taken	VBN	take
,	,	,
and	CC	and
Wales	NP	Wales
locked	VBD	lock
the	DT	the
entries	NNS	entry
on	IN	on
Kerry	NP	Kerry
and	CC	and
Bush	NP	Bush
for	IN	for
most	JJS	most
of	IN	of
2004	CD	@card@
.	SENT	.
"	``	"
This	DT	this
came	VBD	come
after	IN	after
I	PP	I
told	VBD	tell
the	DT	the
reporter	NN	reporter
that	IN	that
we	PP	we
had	VBD	have
to	TO	to
lock	VB	lock
it	PP	it
for	IN	for
â	NP	<unknown>
occasionally	RB	occasionally
a	DT	a
little	JJ	little
bit	NN	bit
here	RB	here
and	CC	and
there	RB	there
.	SENT	.
So	IN	so
the	DT	the
truth	NN	truth
in	IN	in
general	NN	general
is	VBZ	be
that	IN	that
the	DT	the
kinds	NNS	kind
of	IN	of
controversies	NNS	controversy
that	IN	that
you	PP	you
would	MD	would
probably	RB	probably
think	VB	think
we	PP	we
have	VBP	have
within	IN	within
the	DT	the
Wikipedia	NP	<unknown>
community	NN	community
are	VBP	be
not	RB	not
really	RB	really
controversies	NNS	controversy
at	IN	at
all	DT	all
.	SENT	.
Articles	NNS	article
on	IN	on
controversial	JJ	controversial
topics	NNS	topic
are	VBP	be
edited	VBN	edit
a	DT	a
lot	NN	lot
,	,	,
but	CC	but
they	PP	they
don	NN	don
'	POS	'
t	NN	t
cause	NN	cause
much	JJ	much
controversy	NN	controversy
within	IN	within
the	DT	the
community	NN	community
.	SENT	.
And	CC	and
the	DT	the
reason	NN	reason
for	IN	for
this	DT	this
is	VBZ	be
that	DT	that
most	JJS	most
people	NNS	people
understand	VBP	understand
the	DT	the
need	NN	need
for	IN	for
neutrality	NN	neutrality
.	SENT	.
The	DT	the
real	JJ	real
struggle	NN	struggle
is	VBZ	be
not	RB	not
between	IN	between
the	DT	the
right	NN	right
and	CC	and
the	DT	the
left	VBN	leave
â	NP	<unknown>
that	WDT	that
'	POS	'
s	NN	S
where	WRB	where
most	JJS	most
people	NNS	people
assume	VBP	assume
â	NP	<unknown>
but	CC	but
it	PP	it
'	POS	'
s	NN	S
between	IN	between
the	DT	the
party	NN	party
of	IN	of
the	DT	the
thoughtful	JJ	thoughtful
and	CC	and
the	DT	the
party	NN	party
of	IN	of
the	DT	the
jerks	NNS	jerk
.	SENT	.
And	CC	and
no	DT	no
side	NN	side
of	IN	of
the	DT	the
political	JJ	political
spectrum	NN	spectrum
has	VBZ	have
a	DT	a
monopoly	NN	monopoly
on	IN	on
either	CC	either
of	IN	of
those	DT	those
qualities	NNS	quality
.	SENT	.
The	DT	the
actual	JJ	actual
truth	NN	truth
about	IN	about
the	DT	the
specific	JJ	specific
Bush-Kerry	NP	Bush-Kerry
incident	NN	incident
is	VBZ	be
that	IN	that
the	DT	the
Bush-Kerry	NP	Bush-Kerry
articles	NNS	article
were	VBD	be
locked	VBN	lock
less	JJR	less
than	IN	than
one	CD	one
percent	NN	percent
of	IN	of
the	DT	the
time	NN	time
in	IN	in
2004	CD	@card@
,	,	,
and	CC	and
it	PP	it
wasn	NP	<unknown>
'	POS	'
t	NN	t
because	IN	because
they	PP	they
were	VBD	be
contentious	JJ	contentious
;	:	;
it	PP	it
was	VBD	be
just	RB	just
because	IN	because
there	EX	there
was	VBD	be
routine	JJ	routine
vandalism	NN	vandalism
â	NP	<unknown>
which	WDT	which
happens	VBZ	happen
sometimes	RB	sometimes
even	RB	even
on	IN	on
stage	NN	stage
.	SENT	.
.	SENT	.
.	SENT	.
Sometimes	RB	sometimes
even	RB	even
reporters	NNS	reporter
have	VBP	have
reported	VBN	report
to	TO	to
me	PP	me
that	IN	that
they	PP	they
vandalized	VBD	vandalize
Wikipedia	NP	<unknown>
and	CC	and
were	VBD	be
amazed	VBN	amaze
that	IN	that
it	PP	it
was	VBD	be
fixed	VBN	fix
so	RB	so
quickly	RB	quickly
.	SENT	.
And	CC	and
I	PP	I
said	VBD	say
â	NP	<unknown>
you	PP	you
know	VBP	know
,	,	,
I	PP	I
always	RB	always
say	VBP	say
,	,	,
please	VBP	please
don	NN	don
'	POS	'
t	NN	t
do	VBP	do
that	DT	that
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
not	RB	not
a	DT	a
good	JJ	good
thing	NN	thing
.	SENT	.
So	RB	so
how	WRB	how
do	VBP	do
we	PP	we
do	VBP	do
this	DT	this
?	SENT	?
How	WRB	how
do	VBP	do
we	PP	we
manage	VBP	manage
the	DT	the
quality	NN	quality
control	NN	control
?	SENT	?
How	WRB	how
does	VBZ	do
it	PP	it
work	VB	work
?	SENT	?
So	RB	so
there	EX	there
'	''	'
s	VBG	<unknown>
a	DT	a
few	JJ	few
elements	NNS	element
,	,	,
mostly	RB	mostly
social	JJ	social
policies	NNS	policy
and	CC	and
some	DT	some
elements	NNS	element
of	IN	of
the	DT	the
software	NN	software
.	SENT	.
So	IN	so
the	DT	the
biggest	JJS	big
and	CC	and
the	DT	the
most	RBS	most
important	JJ	important
thing	NN	thing
is	VBZ	be
our	PP$	our
neutral	JJ	neutral
point	NN	point
of	IN	of
view	NN	view
policy	NN	policy
.	SENT	.
This	DT	this
is	VBZ	be
something	NN	something
that	IN	that
I	PP	I
set	VBD	set
down	RP	down
,	,	,
from	IN	from
the	DT	the
very	JJ	very
