If if
I i
decided decide
that that
I i
could could
think think
laterally laterally
. .
And and
geologists geologist
have have
actually actually
christened christen
— -
well well
, ,
they they
' '
re re
debating debate
whether whether
to to
christen christen
— -
the the
age age
that that
we we
' '
re re
living live
in in
— -
they they
' '
re re
debating debate
whether whether
to to
make make
it it
a a
new new
geological geological
epoch epoch
called call
the the
Anthropocene anthropocene
, ,
the the
age age
of of
Man man
. .
And and
that that
' '
s s
because because
geologists geologist
of of
the the
future future
would would
kind kind
of of
see see
a a
sharp sharp
shift shift
in in
the the
strata stratum
of of
rock rock
that that
is be
being be
laid lay
down down
now now
. .
So so
suddenly suddenly
, ,
it it
will will
become become
kind kind
of of
radioactive radioactive
from from
Chernobyl chernobyl
and and
the the
2 @card@
, ,
000 @card@
or or
so so
nuclear nuclear
bombs bomb
that that
have have
been be
set set
off off
since since
1945 @card@
. .
And and
there there
' '
d d
also also
be be
an an
extinction extinction
event event
— -
like like
fossils fossil
would would
suddenly suddenly
disappear disappear
. .
And and
also also
, ,
I i
thought think
that that
there there
would would
be be
synthetic synthetic
polymers polymer
, ,
plastics plastic
, ,
embedded embed
in in
the the
rock rock
. .
So so
I i
looked look
up up
a a
plastic plastic
— -
so so
I i
decided decide
that that
I i
could could
mine mine
some some
of of
this this
modern-day modern-day
rock rock
. .
And and
I i
went go
up up
to to
Manchester manchester
to to
visit visit
a a
place place
called call
Axion axion
Recycling recycling
. .
And and
they they
' '
re re
at at
the the
sharp sharp
end end
of of
what what
' '
s s
called call
the the
WEEE weee
, ,
which which
is be
this this
European european
electrical electrical
and and
electronic electronic
waste waste
directive directive
. .
And and
that that
was be
brought bring
into into
force force
to to
try try
and and
deal deal
with with
the the
mountain mountain
of of
stuff stuff
that that
is be
just just
being be
made make
and and
then then
living live
for for
a a
while while
in in
our our
homes home
and and
then then
going go
to to
landfill landfill
. .
But but
this this
is be
it it
. .
So so
there there
' '
s s
a a
picture picture
of of
my my
toaster toaster
. .
That that
' '
s s
it it
without without
the the
case case
on on
. .
And and
there there
it it
is be
on on
the the
shelves shelf
. .
Thanks thanks
. .
Bruno bruno
Giussani giussani
: :
I i
' '
m m
told tell
you you
did do
plug plug
it it
in in
once once
. .
TT tt
: :
Yeah yeah
, ,
I i
did do
plug plug
it it
in in
. .
I i
don don
' '
t t
know know
if if
you you
could could
see see
, ,
but but
I i
was be
never never
able able
to to
make make
insulation insulation
for for
the the
wires wire
. .
Kew kew
Gardens gardens
were be
insistent insistent
that that
I i
couldn couldn
' '
t t
come come
and and
hack hack
into into
their their
rubber rubber
tree tree
. .
So so
the the
wires wire
were be
uninsulated uninsulated
. .
So so
there there
was be
240 @card@
volts volt
going go
through through
these these
homemade homemade
copper copper
wires wire
, ,
homemade homemade
plug plug
. .
And and
for for
about about
five five
seconds second
, ,
the the
toaster toaster
toasted toast
, ,
but but
then then
, ,
unfortunately unfortunately
, ,
the the
element element
kind kind
of of
melted melt
itself itself
. .
But but
I i
considered consider
it it
a a
partial partial
success success
, ,
to to
be be
honest honest
. .
BG bg
: :
Thomas thomas
Thwaites thwaites
. .
TT tt
: :
Thanks thanks
. .
