Have have
tell tell
anything anything
about about
that that
? ?
Well well
, ,
it it
turns turn
out out
that that
if if
you you
give give
a a
crayfish crayfish
a a
lot lot
of of
little little
tiny tiny
electric electric
shocks shock
every every
time time
it it
tries try
to to
come come
out out
of of
its its
burrow burrow
, ,
it it
will will
develop develop
anxiety anxiety
. .
If if
you you
give give
the the
crayfish crayfish
the the
same same
drug drug
used use
to to
treat treat
anxiety anxiety
disorder disorder
in in
humans human
, ,
it it
relaxes relax
and and
comes come
out out
and and
explores explore
. .
How how
do do
we we
show show
how how
much much
we we
care care
about about
crayfish crayfish
anxiety anxiety
? ?
Mostly mostly
, ,
we we
boil boil
them them
. .
Octopuses octopus
use use
tools tool
, ,
as as
well well
as as
do do
most most
apes ape
and and
they they
recognize recognize
human human
faces face
. .
How how
do do
we we
celebrate celebrate
the the
ape-like ape-like
intelligence intelligence
of of
this this
invertebrate invertebrate
? ?
Mostly mostly
boiled boil
. .
If if
a a
grouper grouper
chases chase
a a
fish fish
into into
a a
crevice crevice
in in
the the
coral coral
, ,
it it
will will
sometimes sometimes
go go
to to
where where
it it
knows know
a a
moray moray
eel eel
is be
sleeping sleep
and and
it it
will will
signal signal
to to
the the
moray moray
, ,
" "
Follow follow
me me
, ,
" "
and and
the the
moray moray
will will
understand understand
that that
signal signal
. .
The the
moray moray
may may
go go
into into
the the
crevice crevice
and and
get get
the the
fish fish
, ,
but but
the the
fish fish
may may
bolt bolt
and and
the the
grouper grouper
may may
get get
it it
. .
This this
is be
an an
ancient ancient
partnership partnership
that that
we we
have have
just just
recently recently
found find
out out
about about
. .
How how
do do
we we
celebrate celebrate
that that
ancient ancient
partnership partnership
? ?
Mostly mostly
fried fry
. .
A a
pattern pattern
is be
emerging emerge
and and
it it
says say
a a
lot lot
more more
about about
us us
than than
it it
does do
about about
them them
. .
Sea sea
otters otter
use use
tools tool
and and
they they
take take
time time
away away
from from
what what
they they
' '
re re
doing do
to to
show show
their their
babies baby
what what
to to
do do
, ,
which which
is be
called call
teaching teaching
. .
Chimpanzees chimpanzee
don don
' '
t t
teach teach
. .
Killer killer
whales whale
teach teach
and and
killer killer
whales whale
share share
food food
. .
When when
evolution evolution
makes make
something something
new new
, ,
it it
uses use
the the
parts part
it it
has have
in in
stock stock
, ,
off off
the the
shelf shelf
, ,
before before
it it
fabricates fabricate
a a
new new
twist twist
. .
And and
our our
brain brain
has have
come come
to to
us us
through through
the the
enormity enormity
of of
the the
deep deep
sweep sweep
of of
time time
. .
If if
you you
look look
at at
the the
human human
brain brain
compared compare
to to
a a
chimpanzee chimpanzee
brain brain
, ,
what what
you you
see see
is be
we we
have have
basically basically
a a
very very
big big
chimpanzee chimpanzee
brain brain
. .
It it
' '
s s
a a
good good
thing thing
ours ours
is be
bigger big
, ,
because because
we we
' '
re re
also also
really really
insecure insecure
. .
But but
, ,
uh uh
oh oh
, ,
there there
' '
s s
a a
dolphin dolphin
, ,
a a
bigger big
brain brain
with with
more more
convolutions convolution
. .
OK ok
, ,
maybe maybe
you you
' '
re re
saying saying
, ,
all all
right right
, ,
well well
, ,
we we
see see
brains brain
, ,
but but
what what
does do
that that
have have
to to
say say
about about
minds mind
? ?
Well well
, ,
we we
can can
see see
the the
working working
of of
the the
mind mind
in in
the the
logic logic
of of
behaviors behavior
. .
So so
these these
elephants elephant
, ,
you you
can can
see see
, ,
obviously obviously
, ,
they they
are be
resting rest
. .
They they
have have
found find
a a
patch patch
of of
shade shade
under under
the the
palm palm
trees tree
under under
which which
to to
let let
their their
babies baby
sleep sleep
, ,
while while
they they
doze doze
but but
remain remain
vigilant vigilant
. .
We we
make make
perfect perfect
sense sense
of of
that that
image image
just just
as as
they they
make make
perfect perfect
sense sense
of of
what what
they they
' '
re re
doing do
because because
under under
the the
arc arc
of of
the the
same same
sun sun
on on
the the
same same
plains plain
, ,
listening listen
to to
the the
howls howl
of of
the the
same same
dangers danger
, ,
they they
became become
who who
they they
are be
and and
we we
became become
who who
we we
are be
. .
We we
' '
ve ve
been be
neighbors neighbor
for for
a a
very very
long long
time time
. .
No no
one one
would would
mistake mistake
these these
elephants elephant
as as
being be
relaxed relax
. .
They they
' '
re re
obviously obviously
very very
concerned concern
about about
something something
. .
What what
are be
they they
concerned concern
about about
? ?
It it
turns turn
out out
that that
if if
you you
record record
the the
voices voice
of of
tourists tourist
and and
you you
play play
that that
recording record
from from
a a
speaker speaker
hidden hide
in in
bushes bush
, ,
elephants elephant
will will
ignore ignore
it it
, ,
because because
tourists tourist
never never
bother bother
elephants elephant
. .
But but
if if
you you
record record
the the
voices voice
of of
herders herder
who who
carry carry
spears spear
and and
often often
hurt hurt
elephants elephant
in in
confrontations confrontation
at at
water water
holes hole
, ,
the the
elephants elephant
will will
bunch bunch
up up
and and
run run
away away
from from
the the
hidden hidden
speaker speaker
. .
Not not
only only
do do
elephants elephant
know know
that that
there there
are be
humans human
, ,
they they
know know
that that
there there
are be
different different
kinds kind
of of
humans human
, ,
and and
that that
some some
are be
OK ok
and and
some some
are be
dangerous dangerous
. .
They they
have have
been be
watching watch
us us
for for
much much
longer long
than than
we we
have have
been be
watching watch
them them
. .
They they
know know
us us
better good
than than
we we
know know
them them
. .
We we
have have
the the
same same
imperatives imperative
: :
take take
care care
of of
our our
babies baby
, ,
find find
food food
, ,
try try
to to
stay stay
alive alive
. .
Whether whether
we we
' '
re re
outfitted outfit
for for
hiking hike
in in
the the
hills hill
of of
Africa africa
or or
outfitted outfit
for for
diving dive
under under
the the
sea sea
, ,
we we
are be
basically basically
the the
same same
. .
We we
are be
kin kin
under under
the the
skin skin
. .
The the
elephant elephant
has have
the the
same same
skeleton skeleton
, ,
the the
killer killer
whale whale
has have
the the
same same
skeleton skeleton
, ,
as as
do do
we we
. .
We we
see see
helping help
where where
help help
is be
needed need
. .
We we
see see
curiosity curiosity
in in
the the
young young
. .
We we
see see
the the
bonds bond
of of
family family
connections connection
. .
We we
recognize recognize
affection affection
. .
Courtship courtship
is be
courtship courtship
. .
And and
then then
we we
ask ask
, ,
" "
Are be
they they
conscious conscious
? ?
" "
When when
you you
get get
general general
anesthesia anesthesia
, ,
it it
makes make
you you
unconscious unconscious
, ,
which which
means mean
you you
have have
no no
sensation sensation
of of
anything anything
. .
Consciousness consciousness
is be
simply simply
the the
thing thing
that that
feels feel
like like
something something
. .
If if
you you
see see
, ,
if if
you you
hear hear
, ,
if if
you you
feel feel
, ,
if if
you you
' '
re re
aware aware
of of
anything anything
, ,
you you
are be
conscious conscious
, ,
and and
they they
are be
conscious conscious
. .
Some some
people people
say say
well well
, ,
there there
are be
certain certain
things thing
that that
make make
humans human
humans human
, ,
and and
one one
of of
those those
things thing
is be
empathy empathy
. .
Empathy empathy
is be
the the
mind mind
' '
s s
ability ability
to to
match match
moods mood
with with
your your
companions companion
. .
It it
' '
s s
a a
very very
useful useful
thing thing
. .
If if
your your
companions companion
start start
to to
move move
quickly quickly
, ,
you you
have have
to to
feel feel
like like
you you
need need
to to
hurry hurry
up up
. .
We we
' '
re re
all all
in in
a a
hurry hurry
now now
. .
The the
oldest old
form form
of of
empathy empathy
is be
contagious contagious
fear fear
. .
If if
your your
companions companion
suddenly suddenly
startle startle
and and
fly fly
away away
, ,
it it
does do
not not
work work
very very
well well
for for
you you
to to
say say
, ,
" "
Jeez jeez
, ,
I i
wonder wonder
why why
everybody everybody
just just
left leave
. .
" "
Empathy empathy
is be
old old
, ,
but but
empathy empathy
, ,
like like
everything everything
else else
in in
life life
, ,
comes come
on on
a a
sliding slide
scale scale
and and
has have
its its
elaboration elaboration
. .
So so
there there
' '
s s
basic basic
empathy empathy
: :
you you
feel feel
sad sad
, ,
it it
makes make
me me
sad sad
. .
I i
see see
you you
happy happy
, ,
it it
makes make
me me
happy happy
. .
Then then
there there
' '
s s
something something
that that
I i
call call
sympathy sympathy
, ,
a a
little little
more more
removed remove
: :
" "
I i
' '
m m
sorry sorry
to to
hear hear
that that
your your
grandmother grandmother
has have
just just
passed pass
away away
. .
I i
don don
' '
t t
feel feel
that that
same same
grief grief
, ,
but but
I i
get get
it it
; ;
I i
know know
what what
you you
feel feel
and and
it it
concerns concern
me me
. .
" "
And and
then then
if if
we we
' '
re re
motivated motivate
to to
act act
on on
sympathy sympathy
, ,
I i
call call
that that
compassion compassion
. .
Far far
from from
being be
the the
thing thing
that that
makes make
us us
human human
, ,
human human
empathy empathy
is be
far far
from from
perfect perfect
. .
We we
round round
up up
empathic empathic
creatures creature
, ,
we we
kill kill
them them
and and
we we
eat eat
them them
. .
Now now
, ,
maybe maybe
you you
say say
OK ok
, ,
well well
, ,
those those
are be
different different
species specie
. .
That that
' '
s s
just just
predation predation
, ,
and and
humans human
are be
predators predator
. .
But but
we we
don don
' '
t t
treat treat
our our
own own
kind kind
too too
well well
either either
. .
People people
who who
seem seem
to to
know know
only only
one one
thing thing
about about
animal animal
behavior behavior
know know
that that
you you
must must
never never
attribute attribute
human human
thoughts thought
and and
emotions emotion
to to
other other
species specie
. .
Well well
, ,
I i
think think
that that
' '
s s
silly silly
, ,
because because
attributing attribute
human human
thoughts thought
and and
emotions emotion
to to
other other
species specie
is be
the the
best well
first first
guess guess
about about
what what
they they
' '
re re
doing do
and and
how how
they they
' '
re re
feeling feeling
, ,
because because
their their
brains brain
are be
basically basically
the the
same same
as as
ours ours
. .
They they
have have
the the
same same
structures structure
. .
The the
same same
hormones hormone
that that
create create
mood mood
and and
motivation motivation
in in
us us
are be
in in
those those
brains brain
as as
well well
. .
It it
is be
not not
scientific scientific
to to
say say
that that
they they
are be
hungry hungry
when when
they they
' '
re re
hunting hunting
and and
they they
' '
re re
tired tire
when when
their their
tongues tongue
are be
hanging hang
out out
, ,
and and
then then
say say
when when
they they
' '
re re
playing playing
with with
their their
children child
and and
acting act
joyful joyful
and and
happy happy
, ,
we we
have have
no no
idea idea
if if
they they
can can
possibly possibly
be be
experiencing experience
anything anything
. .
That that
is be
not not
scientific scientific
. .
So so
OK ok
, ,
so so
a a
reporter reporter
said say
to to
me me
, ,
" "
Maybe maybe
, ,
but but
how how
do do
you you
really really
know know
that that
other other
animals animal
can can
think think
and and
feel feel
? ?
" "
And and
I i
started start
to to
rifle rifle
through through
all all
the the
hundreds hundred
of of
scientific scientific
references reference
that that
I i
put put
in in
my my
book book
and and
I i
realized realize
that that
the the
answer answer
was be
right right
in in
the the
room room
with with
me me
. .
When when
my my
dog dog
gets get
off off
the the
rug rug
and and
comes come
over over
to to
me me
— -
not not
to to
the the
couch couch
, ,
to to
me me
— -
and and
she she
rolls roll
over over
on on
her her
back back
and and
exposes expose
her her
belly belly
, ,
she she
has have
had have
the the
thought thought
, ,
" "
I i
would would
like like
my my
belly belly
rubbed rub
. .
I i
know know
that that
I i
can can
go go
over over
to to
Carl carl
, ,
he he
will will
understand understand
what what
I i
' '
m m
asking asking
. .
I i
know know
I i
can can
trust trust
him him
because because
we we
' '
re re
family family
. .
He he
' '
ll ll
get get
the the
job job
done do
, ,
and and
it it
will will
feel feel
good good
. .
" "
She she
has have
thought think
and and
she she
has have
felt feel
, ,
and and
it it
' '
s s
really really
not not
more more
complicated complicated
than than
that that
. .
But but
we we
see see
other other
animals animal
and and
we we
say say
, ,
" "
Oh oh
look look
, ,
killer killer
whales whale
, ,
wolves wolf
, ,
elephants elephant
: :
that that
' '
s s
not not
how how
they they
see see
it it
. .
" "
That that
tall-finned tall-finned
male male
is be
L41 l@card@
. .
He he
' '
s s
38 @card@
years year
old old
. .
The the
female female
right right
on on
his his
left left
side side
is be
L22 l@card@
. .
She she
' '
s s
44 @card@
. .
They they
' '
ve ve
known know
each each
other other
for for
decades decade
. .
They they
know know
exactly exactly
who who
they they
are be
. .
They they
know know
who who
their their
friends friend
are be
. .
They they
know know
who who
their their
rivals rival
are be
. .
Their their
life life
follows follow
the the
arc arc
of of
a a
career career
. .
They they
know know
where where
they they
are be
all all
the the
time time
. .
This this
is be
an an
elephant elephant
named name
Philo philo
. .
He he
was be
a a
young young
male male
. .
This this
is be
him him
four four
days day
later later
. .
Humans human
not not
only only
can can
feel feel
grief grief
, ,
we we
create create
an an
awful awful
lot lot
of of
it it
. .
We we
want want
to to
carve carve
their their
teeth tooth
. .
Why why
can can
' '
t t
we we
wait wait
for for
them them
to to
die die
? ?
Elephants elephant
once once
ranged range
from from
the the
shores shore
of of
the the
Mediterranean mediterranean
Sea sea
all all
the the
way way
down down
to to
the the
Cape cape
of of
Good good
Hope hope
. .
In in
1980 @card@
, ,
there there
were be
vast vast
strongholds stronghold
of of
elephant elephant
range range
in in
Central central
and and
Eastern eastern
Africa africa
. .
And and
now now
their their
range range
is be
shattered shatter
into into
little little
shards shard
. .
This this
is be
the the
geography geography
of of
an an
animal animal
that that
we we
are be
driving drive
to to
extinction extinction
, ,
a a
fellow fellow
being be
, ,
the the
most most
magnificent magnificent
creature creature
on on
land land
. .
Of of
course course
, ,
we we
take take
much much
better good
care care
of of
our our
wildlife wildlife
in in
the the
United united
States states
. .
In in
Yellowstone yellowstone
National national
Park park
, ,
we we
killed kill
every every
single single
wolf wolf
. .
We we
killed kill
every every
single single
wolf wolf
south south
of of
the the
Canadian canadian
border border
, ,
actually actually
. .
But but
in in
the the
park park
, ,
park park
rangers ranger
did do
that that
in in
the the
1920s 1920s
, ,
and and
then then
60 @card@
years year
later later
they they
had have
to to
bring bring
them them
back back
, ,
because because
the the
elk elk
numbers number
had have
gotten get
out out
of of
control control
. .
And and
then then
people people
came come
. .
People people
came come
by by
the the
thousands thousand
to to
see see
the the
wolves wolf
, ,
the the
most most
accessibly accessibly
visible visible
wolves wolf
in in
the the
world world
. .
And and
I i
went go
there there
and and
I i
watched watch
this this
incredible incredible
family family
of of
wolves wolf
. .
A a
pack pack
is be
a a
family family
. .
It it
has have
some some
breeding breed
adults adult
and and
the the
young young
of of
several several
generations generation
. .
And and
I i
watched watch
the the
most most
famous famous
, ,
most most
stable stable
pack pack
in in
Yellowstone yellowstone
National national
Park park
. .
And and
then then
, ,
when when
they they
wandered wander
just just
outside outside
the the
border border
, ,
two two
of of
their their
adults adult
were be
killed kill
, ,
including include
the the
mother mother
, ,
which which
we we
sometimes sometimes
call call
the the
alpha alpha
female female
. .
The the
rest rest
of of
the the
family family
immediately immediately
descended descend
into into
sibling sibling
rivalry rivalry
. .
Sisters sister
kicked kick
out out
other other
sisters sister
. .
That that
one one
on on
the the
left left
tried try
for for
days day
to to
rejoin rejoin
her her
family family
. .
They they
wouldn wouldn
' '
t t
let let
her her
because because
they they
were be
jealous jealous
of of
her her
. .
She she
was be
getting get
too too
much much
attention attention
from from
two two
new new
males male
, ,
and and
she she
was be
the the
precocious precocious
one one
. .
That that
was be
too too
much much
for for
them them
. .
She she
wound wind
up up
wandering wander
outside outside
the the
park park
and and
getting get
shot shot
. .
The the
alpha alpha
male male
wound wind
up up
being be
ejected eject
from from
his his
own own
family family
. .
As as
winter winter
was be
coming come
in in
, ,
he he
lost lose
his his
territory territory
, ,
his his
hunting hunting
support support
, ,
the the
members member
of of
his his
family family
and and
his his
mate mate
. .
We we
cause cause
so so
much much
pain pain
to to
them them
. .
The the
mystery mystery
is be
, ,
why why
don don
' '
t t
they they
hurt hurt
us us
more more
than than
they they
do do
? ?
This this
whale whale
had have
just just
finished finish
eating eating
part part
of of
a a
grey grey
whale whale
with with
his his
companions companion
who who
had have
killed kill
that that
whale whale
. .
Those those
people people
in in
the the
boat boat
had have
nothing nothing
at at
all all
to to
fear fear
. .
This this
whale whale
is be
T20 t@card@
. .
He he
had have
just just
finished finish
tearing tear
a a
seal seal
into into
three three
pieces piece
with with
two two
companions companion
. .
The the
seal seal
weighed weigh
about about
as as
much much
as as
the the
people people
in in
the the
boat boat
. .
They they
had have
nothing nothing
to to
fear fear
. .
They they
eat eat
seals seal
. .
Why why
don don
' '
t t
they they
eat eat
us us
? ?
Why why
can can
we we
trust trust
them them
around around
our our
toddlers toddler
? ?
Why why
is be
it it
that that
killer killer
whales whale
have have
returned return
to to
researchers researcher
lost lose
in in
thick thick
fog fog
and and
led lead
them them
miles mile
until until
the the
fog fog
parted part
and and
the the
researchers researcher
' '
home home
was be
right right
there there
on on
the the
shoreline shoreline
? ?
And and
that that
' '
s s
happened happen
more more
than than
one one
time time
. .
In in
the the
Bahamas bahamas
, ,
there there
' '
s s
a a
woman woman
named name
Denise denise
Herzing herzing
, ,
and and
she she
studies study
spotted spotted
dolphins dolphin
and and
they they
know know
her her
. .
She she
knows know
them them
very very
well well
. .
She she
knows know
who who
they they
all all
are be
. .
They they
know know
her her
. .
They they
recognize recognize
the the
research research
boat boat
. .
When when
she she
shows show
up up
, ,
it it
' '
s s
a a
big big
happy happy
reunion reunion
. .
Except except
, ,
one one
time time
showed show
up up
and and
they they
didn didn
' '
t t
want want
to to
come come
near near
the the
boat boat
, ,
and and
that that
was be
really really
strange strange
. .
And and
they they
couldn couldn
' '
t t
figure figure
out out
what what
was be
going go
on on
until until
somebody somebody
came come
out out
on on
deck deck
and and
announced announce
that that
one one
of of
the the
people people
onboard onboard
had have
died die
during during
a a
nap nap
in in
his his
bunk bunk
. .
How how
could could
dolphins dolphin
know know
that that
one one
of of
the the
human human
hearts heart
had have
just just
stopped stop
? ?
Why why
would would
they they
care care
? ?
And and
why why
would would
it it
spook spook
them them
? ?
These these
mysterious mysterious
things thing
just just
hint hint
at at
all all
of of
the the
things thing
that that
are be
going go
on on
in in
the the
minds mind
that that
are be
with with
us us
on on
Earth earth
that that
we we
almost almost
never never
think think
about about
at at
all all
. .
At at
an an
aquarium aquarium
in in
South south
Africa africa
was be
a a
little little
baby baby
bottle-nosed bottle-nosed
dolphin dolphin
named name
Dolly dolly
. .
She she
was be
nursing nurse
, ,
and and
one one
day day
a a
keeper keeper
took take
a a
cigarette cigarette
break break
and and
he he
was be
looking look
into into
the the
window window
into into
their their
pool pool
, ,
smoking smoking
. .
Dolly dolly
came come
over over
and and
looked look
at at
him him
, ,
went go
back back
to to
her her
mother mother
, ,
nursed nurse
for for
a a
minute minute
or or
two two
, ,
came come
back back
to to
the the
window window
and and
released release
a a
cloud cloud
of of
milk milk
that that
enveloped envelop
her her
head head
like like
smoke smoke
. .
Somehow somehow
, ,
this this
baby baby
bottle-nosed bottle-nosed
dolphin dolphin
got get
the the
idea idea
of of
using use
milk milk
to to
represent represent
smoke smoke
. .
When when
human human
beings being
use use
one one
thing thing
to to
represent represent
another another
, ,
we we
call call
that that
art art
. .
The the
things thing
that that
make make
us us
human human
are be
not not
the the
things thing
that that
we we
think think
make make
us us
human human
. .
What what
makes make
us us
human human
is be
that that
, ,
of of
all all
these these
things thing
that that
our our
minds mind
and and
their their
minds mind
have have
, ,
we we
are be
the the
most most
extreme extreme
. .
We we
are be
the the
most most
compassionate compassionate
, ,
most most
violent violent
, ,
most most
creative creative
and and
most most
destructive destructive
animal animal
that that
has have
ever ever
been be
on on
this this
planet planet
, ,
and and
we we
are be
all all
of of
those those
things thing
all all
jumbled jumble
up up
together together
. .
But but
love love
is be
not not
the the
thing thing
that that
makes make
us us
human human
. .
It it
' '
s s
not not
special special
to to
us us
. .
We we
are be
not not
the the
only only
ones one
who who
care care
about about
our our
mates mate
. .
We we
are be
not not
the the
only only
ones one
who who
care care
about about
our our
children child
. .
Albatrosses albatross
frequently frequently
fly fly
six six
, ,
sometimes sometimes
ten ten
thousand thousand
miles mile
over over
several several
weeks week
to to
deliver deliver
one one
meal meal
, ,
one one
big big
meal meal
, ,
to to
their their
chick chick
who who
is be
waiting wait
for for
them them
. .
They they
nest nest
on on
the the
most most
remote remote
islands island
in in
the the
oceans ocean
of of
the the
world world
, ,
and and
this this
is be
what what
it it
looks look
like like
. .
Passing pass
life life
from from
one one
generation generation
to to
the the
next next
is be
the the
chain chain
of of
being be
. .
If if
that that
stops stop
, ,
it it
all all
goes go
away away
. .
If if
anything anything
is be
sacred sacred
, ,
that that
is be
, ,
and and
into into
that that
sacred sacred
relationship relationship
comes come
our our
plastic plastic
trash trash
. .
All all
of of
these these
birds bird
have have
plastic plastic
in in
them them
now now
. .
This this
is be
an an
albatross albatross
six six
months month
old old
, ,
ready ready
to to
fledge fledge
— -
died die
, ,
packed pack
with with
red red
cigarette cigarette
lighters lighter
. .
This this
is be
not not
the the
relationship relationship
we we
are be
supposed suppose
to to
have have
with with
the the
rest rest
of of
the the
world world
. .
But but
we we
, ,
who who
have have
named name
ourselves ourselves
after after
our our
brains brain
, ,
never never
think think
about about
the the
consequences consequence
. .
When when
we we
welcome welcome
new new
human human
life life
into into
the the
world world
, ,
we we
welcome welcome
our our
babies baby
into into
the the
company company
of of
other other
creatures creature
. .
We we
paint paint
animals animal
on on
the the
walls wall
. .
We we
don don
' '
t t
paint paint
cell cell
phones phone
. .
We we
don don
' '
t t
paint paint
work work
cubicles cubicle
. .
We we
paint paint
animals animal
to to
show show
them them
that that
we we
are be
not not
alone alone
. .
We we
have have
company company
. .
And and
every every
one one
of of
those those
animals animal
in in
every every
painting painting
of of
Noah noah
' '
s s
ark ark
, ,
deemed deem
worthy worthy
of of
salvation salvation
is be
in in
mortal mortal
danger danger
now now
, ,
and and
their their
flood flood
is be
us us
. .
So so
we we
started start
with with
a a
question question
: :
Do do
they they
love love
us us
? ?
We we
' '
re re
going go
to to
ask ask
another another
question question
. .
Are be
we we
capable capable
of of
using use
what what
we we
have have
to to
care care
enough enough
to to
simply simply
let let
them them
continue continue
? ?
Thank thank
you you
very very
much much
. .
