They they
on on
her her
third third
round round
of of
chemotherapy chemotherapy
when when
she she
lost lose
her her
address address
book book
. .
She she
tried try
to to
look look
up up
her her
oncologist oncologist
' '
s s
phone phone
number number
on on
the the
Internet internet
and and
she she
found find
it it
, ,
but but
she she
found find
something something
else else
too too
. .
On on
several several
websites website
, ,
he he
was be
listed list
as as
a a
highly highly
paid pay
speaker speaker
to to
a a
drug drug
company company
, ,
and and
in in
fact fact
often often
spoke speak
on on
behalf behalf
of of
the the
same same
chemo chemo
regimen regimen
that that
he he
had have
prescribed prescribe
her her
. .
She she
called call
me me
in in
a a
panic panic
, ,
and and
I i
didn didn
' '
t t
know know
what what
to to
believe believe
. .
Maybe maybe
this this
was be
the the
right right
chemo chemo
regimen regimen
for for
her her
, ,
but but
maybe maybe
it it
wasn wasn
' '
t t
. .
It it
made make
her her
scared scared
and and
it it
made make
her her
doubt doubt
. .
When when
it it
comes come
to to
medicine medicine
, ,
having have
that that
trust trust
is be
a a
must must
, ,
and and
when when
that that
trust trust
is be
gone go
, ,
then then
all all
that that
' '
s s
left left
is be
fear fear
. .
There there
' '
s s
another another
side side
to to
this this
fear fear
. .
As as
a a
medical medical
student student
, ,
I i
was be
taking take
care care
of of
this this
19-year-old 19-year-old
who who
was be
biking bike
back back
to to
his his
dorm dorm
when when
he he
got get
struck strike
and and
hit hit
, ,
run run
over over
by by
an an
SUV suv
. .
He he
had have
seven seven
broken broken
ribs rib
, ,
shattered shatter
hip hip
bones bone
, ,
and and
he he
was be
bleeding bleed
inside inside
his his
belly belly
and and
inside inside
his his
brain brain
. .
Now now
, ,
imagine imagine
being being
his his
parents parent
who who
flew fly
in in
from from
Seattle seattle
, ,
2 @card@
, ,
000 @card@
miles mile
away away
, ,
to to
find find
their their
son son
in in
a a
coma coma
. .
I i
mean mean
, ,
you you
' '
d d
want want
to to
find find
out out
what what
' '
s s
going go
on on
with with
him him
, ,
right right
? ?
They they
asked ask
to to
attend attend
our our
bedside bedside
rounds round
where where
we we
discussed discuss
his his
condition condition
and and
his his
plan plan
, ,
which which
I i
thought think
was be
a a
reasonable reasonable
request request
, ,
and and
also also
would would
give give
us us
a a
chance chance
to to
show show
them them
how how
much much
we we
were be
trying try
and and
how how
much much
we we
cared care
. .
The the
head head
doctor doctor
, ,
though though
, ,
said say
no no
. .
He he
gave give
all all
kinds kind
of of
reasons reason
. .
Maybe maybe
they they
' '
ll ll
get get
in in
the the
nurse nurse
' '
s s
way way
. .
Maybe maybe
they they
' '
ll ll
stop stop
students student
from from
asking ask
questions question
. .
He he
even even
said say
, ,
" "
What what
if if
they they
see see
mistakes mistake
and and
sue sue
us us
? ?
" "
What what
I i
saw see
behind behind
every every
excuse excuse
was be
deep deep
fear fear
, ,
and and
what what
I i
learned learn
was be
that that
to to
become become
a a
doctor doctor
, ,
we we
have have
to to
put put
on on
our our
white white
coats coat
, ,
put put
up up
a a
wall wall
, ,
and and
hide hide
behind behind
it it
. .
There there
' '
s s
a a
hidden hidden
epidemic epidemic
in in
medicine medicine
. .
Of of
course course
, ,
patients patient
are be
scared scare
when when
they they
come come
to to
the the
doctor doctor
. .
Imagine imagine
you you
wake wake
up up
with with
this this
terrible terrible
bellyache bellyache
, ,
you you
go go
to to
the the
hospital hospital
, ,
you you
' '
re re
lying lie
in in
this this
strange strange
place place
, ,
you you
' '
re re
on on
this this
hospital hospital
gurney gurney
, ,
you you
' '
re re
wearing wear
this this
flimsy flimsy
gown gown
, ,
strangers stranger
are be
coming come
to to
poke poke
and and
prod prod
at at
you you
. .
You you
don don
' '
t t
know know
what what
' '
s s
going go
to to
happen happen
. .
You you
don don
' '
t t
even even
know know
if if
you you
' '
re re
going go
to to
get get
the the
blanket blanket
you you
asked ask
for for
30 @card@
minutes minute
ago ago
. .
But but
it it
' '
s s
not not
just just
patients patient
who who
are be
scared scared
; ;
doctors doctor
are be
scared scare
too too
. .
We we
' '
re re
scared scare
of of
patients patient
finding find
out out
who who
we we
are be
and and
what what
medicine medicine
is be
all all
about about
. .
And and
so so
what what
do do
we we
do do
? ?
We we
put put
on on
our our
white white
coats coat
and and
we we
hide hide
behind behind
them them
. .
Of of
course course
, ,
the the
more more
we we
hide hide
, ,
the the
more more
people people
want want
to to
know know
what what
it it
is be
that that
we we
' '
re re
hiding hiding
. .
The the
more more
fear fear
then then
spirals spiral
into into
mistrust mistrust
and and
poor poor
medical medical
care care
. .
We we
don don
' '
t t
just just
have have
a a
fear fear
of of
sickness sickness
, ,
we we
have have
a a
sickness sickness
of of
fear fear
. .
Can can
we we
bridge bridge
this this
disconnect disconnect
between between
what what
patients patient
need need
and and
what what
doctors doctor
do do
? ?
Can can
we we
overcome overcome
the the
sickness sickness
of of
fear fear
? ?
Let let
me me
ask ask
you you
differently differently
: :
If if
hiding hide
isn isn
' '
t t
the the
answer answer
, ,
what what
if if
we we
did do
the the
opposite opposite
? ?
What what
if if
doctors doctor
were be
to to
become become
totally totally
transparent transparent
with with
their their
patients patient
? ?
Last last
fall fall
, ,
I i
conducted conduct
a a
research research
study study
to to
find find
out out
what what
it it
is be
that that
people people
want want
to to
know know
about about
their their
healthcare healthcare
. .
I i
didn didn
' '
t t
just just
want want
to to
study study
patients patient
in in
a a
hospital hospital
, ,
but but
everyday everyday
people people
. .
So so
my my
two two
medical medical
students student
, ,
Suhavi suhavi
Tucker tucker
and and
Laura laura
Johns johns
, ,
literally literally
took take
their their
research research
to to
the the
streets street
. .
They they
went go
to to
banks bank
, ,
coffee coffee
shops shop
, ,
senior senior
centers center
, ,
Chinese chinese
restaurants restaurant
and and
train train
stations station
. .
What what
did do
they they
find find
? ?
Well well
, ,
when when
we we
asked ask
people people
, ,
" "
What what
do do
you you
want want
to to
know know
about about
your your
healthcare healthcare
? ?
" "
people people
responded respond
with with
what what
they they
want want
to to
know know
about about
their their
doctors doctor
, ,
because because
people people
understand understand
health health
care care
to to
be be
the the
individual individual
interaction interaction
between between
them them
and and
their their
doctors doctor
. .
When when
we we
asked ask
, ,
" "
What what
do do
you you
want want
to to
know know
about about
your your
doctors doctor
? ?
" "
people people
gave give
three three
different different
answers answer
. .
Some some
want want
to to
know know
that that
their their
doctor doctor
is be
competent competent
and and
certified certify
to to
practice practice
medicine medicine
. .
Some some
want want
to to
be be
sure sure
that that
their their
doctor doctor
is be
unbiased unbiased
and and
is be
making make
decisions decision
based base
on on
evidence evidence
and and
science science
, ,
not not
on on
who who
pays pay
them them
. .
Surprisingly surprisingly
to to
us us
, ,
many many
people people
want want
to to
know know
something something
else else
about about
their their
doctors doctor
. .
Jonathan jonathan
, ,
a a
28-year-old 28-year-old
law law
student student
, ,
says say
he he
wants want
to to
find find
someone someone
who who
is be
comfortable comfortable
with with
LGBTQ lgbtq
patients patient
and and
specializes specialize
in in
LGBT lgbt
health health
. .
Serena serena
, ,
a a
32-year-old 32-year-old
accountant accountant
, ,
says say
that that
it it
' '
s s
important important
to to
her her
for for
her her
doctor doctor
to to
share share
her her
values value
when when
it it
comes come
to to
reproductive reproductive
choice choice
and and
women woman
' '
s s
rights right
. .
Frank frank
, ,
a a
59-year-old 59-year-old
hardware hardware
store store
owner owner
, ,
doesn doesn
' '
t t
even even
like like
going go
to to
the the
doctor doctor
and and
wants want
to to
find find
someone someone
who who
believes believe
in in
prevention prevention
first first
, ,
but but
who who
is be
comfortable comfortable
with with
alternative alternative
treatments treatment
. .
One one
after after
another another
, ,
our our
respondents respondent
told tell
us us
that that
that that
doctor-patient doctor-patient
relationship relationship
is be
a a
deeply deeply
intimate intimate
one one
— -
that that
to to
show show
their their
doctors doctor
their their
bodies body
and and
tell tell
them them
their their
deepest deep
secrets secret
, ,
they they
want want
to to
first first
understand understand
their their
doctor doctor
' '
s s
values value
. .
Just just
because because
doctors doctor
have have
to to
see see
every every
patient patient
doesn doesn
' '
t t
mean mean
that that
patients patient
have have
to to
see see
every every
doctor doctor
. .
People people
want want
to to
know know
about about
their their
doctors doctor
first first
so so
that that
they they
can can
make make
an an
informed informed
choice choice
. .
As as
a a
result result
of of
this this
, ,
I i
formed form
a a
campaign campaign
, ,
Who who
' '
s s
My my
Doctor doctor
? ?
that that
calls call
for for
total total
transparency transparency
in in
medicine medicine
. .
Participating participate
doctors doctor
voluntarily voluntarily
disclose disclose
on on
a a
public public
website website
not not
just just
information information
about about
where where
we we
went go
to to
medical medical
school school
and and
what what
specialty specialty
we we
' '
re re
in in
, ,
but but
also also
our our
conflicts conflict
of of
interest interest
. .
We we
go go
beyond beyond
the the
Government government
in in
the the
Sunshine sunshine
Act act
about about
drug drug
company company
affiliations affiliation
, ,
and and
we we
talk talk
about about
how how
we we
' '
re re
paid pay
. .
Incentives incentive
matter matter
. .
If if
you you
go go
to to
your your
doctor doctor
because because
of of
back back
pain pain
, ,
you you
might might
want want
to to
know know
he he
' '
s s
getting get
paid pay
5 @card@
, ,
000 @card@
dollars dollar
to to
perform perform
spine spine
surgery surgery
versus versus
25 @card@
dollars dollar
to to
refer refer
you you
to to
see see
a a
physical physical
therapist therapist
, ,
or or
if if
he he
' '
s s
getting get
paid pay
the the
same same
thing thing
no no
matter matter
what what
he he
recommends recommend
. .
Then then
, ,
we we
go go
one one
step step
further further
. .
We we
add add
our our
values value
when when
it it
comes come
to to
women woman
' '
s s
health health
, ,
LGBT lgbt
health health
, ,
alternative alternative
medicine medicine
, ,
preventive preventive
health health
, ,
and and
end-of-life end-of-life
decisions decision
. .
We we
pledge pledge
to to
our our
patients patient
that that
we we
are be
here here
to to
serve serve
you you
, ,
so so
you you
have have
a a
right right
to to
know know
who who
we we
are be
. .
We we
believe believe
that that
transparency transparency
can can
be be
the the
cure cure
for for
fear fear
. .
I i
thought think
some some
doctors doctor
would would
sign sign
on on
and and
others other
wouldn wouldn
' '
t t
, ,
but but
I i
had have
no no
idea idea
of of
the the
huge huge
backlash backlash
that that
would would
ensue ensue
. .
Within within
one one
week week
of of
starting start
Who who
' '
s s
My my
Doctor doctor
? ?
Medscape medscape
' '
s s
public public
forum forum
and and
several several
online online
doctors doctor
' '
communities community
had have
thousands thousand
of of
posts post
about about
this this
topic topic
. .
Here here
are be
a a
few few
. .
From from
a a
gastroenterologist gastroenterologist
in in
Portland portland
: :
" "
I i
devoted devote
12 @card@
years year
of of
my my
life life
to to
being be
a a
slave slave
. .
I i
have have
loans loan
and and
mortgages mortgage
. .
I i
depend depend
on on
lunches lunch
from from
drug drug
companies company
to to
serve serve
patients patient
. .
" "
Well well
, ,
times time
may may
be be
hard hard
for for
everyone everyone
, ,
but but
try try
telling tell
your your
patient patient
making make
35 @card@
, ,
000 @card@
dollars dollar
a a
year year
to to
serve serve
a a
family family
of of
four four
that that
you you
need need
the the
free free
lunch lunch
. .
From from
an an
orthopedic orthopedic
surgeon surgeon
in in
Charlotte charlotte
: :
" "
I i
find find
it it
an an
invasion invasion
of of
my my
privacy privacy
to to
disclose disclose
where where
my my
income income
comes come
from from
. .
My my
patients patient
don don
' '
t t
disclose disclose
their their
incomes income
to to
me me
. .
" "
But but
your your
patients patient
' '
sources source
of of
income income
don don
' '
t t
affect affect
your your
health health
. .
From from
a a
psychiatrist psychiatrist
in in
New new
York york
City city
: :
" "
Pretty pretty
soon soon
we we
will will
have have
to to
disclose disclose
whether whether
we we
prefer prefer
cats cat
to to
dogs dog
, ,
what what
model model
of of
car car
we we
drive drive
, ,
and and
what what
toilet toilet
paper paper
we we
use use
. .
" "
Well well
, ,
how how
you you
feel feel
about about
Toyotas toyotas
or or
Cottonelle cottonelle
won won
' '
t t
affect affect
your your
patients patient
' '
health health
, ,
but but
your your
views view
on on
a a
woman woman
' '
s s
right right
to to
choose choose
and and
preventive preventive
medicine medicine
and and
end-of-life end-of-life
decisions decision
just just
might might
. .
And and
my my
favorite favorite
, ,
from from
a a
Kansas kansas
City city
cardiologist cardiologist
: :
" "
More more
government-mandated government-mandated
stuff stuff
? ?
Dr dr
. .
Wen wen
needs need
to to
move move
back back
to to
her her
own own
country country
. .
" "
Well well
, ,
two two
pieces piece
of of
good good
news news
. .
First first
of of
all all
, ,
this this
is be
meant mean
to to
be be
voluntary voluntary
and and
not not
mandatory mandatory
, ,
and and
second second
of of
all all
, ,
I i
' '
m m
American american
and and
I i
' '
m m
already already
here here
. .
Within within
a a
month month
, ,
my my
employers employer
were be
getting get
calls call
asking ask
for for
me me
to to
be be
fired fire
. .
I i
received receive
mail mail
at at
my my
undisclosed undisclosed
home home
address address
with with
threats threat
to to
contact contact
the the
medical medical
board board
to to
sanction sanction
me me
. .
My my
friends friend
and and
family family
urged urge
me me
to to
quit quit
this this
campaign campaign
. .
After after
the the
bomb bomb
threat threat
, ,
I i
was be
done do
. .
But but
then then
I i
heard hear
from from
patients patient
. .
Over over
social social
media medium
, ,
a a
TweetChat tweetchat
, ,
which which
I i
' '
d d
learned learn
what what
that that
was be
by by
then then
, ,
generated generate
4 @card@
. .
3 @card@
million million
impressions impression
, ,
and and
thousands thousand
of of
people people
wrote write
to to
encourage encourage
me me
to to
continue continue
. .
They they
wrote write
with with
things thing
like like
, ,
" "
If if
doctors doctor
are be
doing do
something something
they they
' '
re re
that that
ashamed ashamed
of of
, ,
they they
shouldn shouldn
' '
t t
be be
doing do
it it
. .
" "
" "
Elected elect
officials official
have have
to to
disclose disclose
campaign campaign
contributions contribution
. .
Lawyers lawyer
have have
to to
disclose disclose
conflicts conflict
of of
interests interest
. .
Why why
shouldn shouldn
' '
t t
doctors doctor
? ?
" "
And and
finally finally
, ,
many many
people people
wrote write
and and
said say
, ,
" "
Let let
us us
patients patient
decide decide
what what
' '
s s
important important
when when
we we
' '
re re
choosing choose
a a
doctor doctor
. .
" "
In in
our our
initial initial
trial trial
, ,
over over
300 @card@
doctors doctor
have have
taken take
the the
total total
transparency transparency
pledge pledge
. .
What what
a a
crazy crazy
new new
idea idea
, ,
right right
? ?
But but
actually actually
, ,
this this
is be
not not
that that
new new
of of
a a
concept concept
at at
all all
. .
Remember remember
Dr dr
. .
Sam sam
, ,
my my
doctor doctor
in in
China china
, ,
with with
the the
goofy goofy
jokes joke
and and
the the
wild wild
hair hair
? ?
Well well
, ,
she she
was be
my my
doctor doctor
, ,
but but
she she
was be
also also
our our
neighbor neighbor
who who
lived live
in in
the the
building building
across across
the the
street street
. .
I i
went go
to to
the the
same same
school school
as as
her her
daughter daughter
. .
My my
parents parent
and and
I i
trusted trust
her her
because because
we we
knew know
who who
she she
was be
and and
what what
she she
stood stand
for for
, ,
and and
she she
had have
no no
need need
to to
hide hide
from from
us us
. .
Just just
one one
generation generation
ago ago
, ,
this this
was be
the the
norm norm
in in
the the
U u
. .
S s
. .
as as
well well
. .
You you
knew know
that that
your your
family family
doctor doctor
was be
the the
father father
of of
two two
teenage teenage
boys boy
, ,
that that
he he
quit quit
smoking smoke
a a
few few
years year
ago ago
, ,
that that
he he
says say
he he
' '
s s
a a
regular regular
churchgoer churchgoer
, ,
but but
you you
see see
him him
twice twice
a a
year year
: :
once once
at at
Easter easter
and and
once once
when when
his his
mother-in-law mother-in-law
comes come
to to
town town
. .
You you
knew know
what what
he he
was be
about about
, ,
and and
he he
had have
no no
need need
to to
hide hide
from from
you you
. .
But but
the the
sickness sickness
of of
fear fear
has have
taken take
over over
, ,
and and
patients patient
suffer suffer
the the
consequences consequence
. .
I i
know know
this this
firsthand firsthand
. .
My my
mother mother
fought fight
her her
cancer cancer
for for
eight eight
years year
. .
She she
was be
a a
planner planner
, ,
and and
she she
thought think
a a
lot lot
about about
how how
she she
wanted want
to to
live live
and and
how how
she she
wanted want
to to
die die
. .
Not not
only only
did do
she she
sign sign
advance advance
directives directive
, ,
she she
wrote write
a a
12-page 12-page
document document
about about
how how
she she
had have
suffered suffer
enough enough
, ,
how how
it it
was be
time time
for for
her her
to to
go go
. .
One one
day day
, ,
when when
I i
was be
a a
resident resident
physician physician
, ,
I i
got get
a a
call call
to to
say say
that that
she she
was be
in in
the the
intensive intensive
care care
unit unit
. .
By by
the the
time time
I i
got get
there there
, ,
she she
was be
about about
to to
be be
intubated intubate
and and
put put
on on
a a
breathing breathing
machine machine
. .
" "
But but
this this
is be
not not
what what
she she
wants want
, ,
" "
I i
said say
, ,
" "
and and
we we
have have
documents document
. .
" "
The the
ICU icu
doctor doctor
looked look
at at
me me
in in
the the
eye eye
, ,
pointed point
at at
my my
then then
16-year- 16-year-
old old
sister sister
, ,
and and
said say
, ,
" "
Do do
you you
remember remember
when when
you you
were be
that that
age age
? ?
How how
would would
you you
have have
liked like
to to
grow grow
up up
without without
your your
mother mother
? ?
" "
Her her
oncologist oncologist
was be
there there
too too
, ,
and and
said say
, ,
" "
This this
is be
your your
mother mother
. .
Can can
you you
really really
face face
yourself yourself
for for
the the
rest rest
of of
your your
life life
if if
you you
don don
' '
t t
do do
everything everything
for for
her her
? ?
" "
I i
knew know
my my
mother mother
so so
well well
. .
I i
understood understand
what what
her her
directives directive
meant mean
so so
well well
, ,
but but
I i
was be
a a
physician physician
. .
That that
was be
the the
single single
hardest hard
decision decision
I i
ever ever
made make
, ,
to to
let let
her her
die die
in in
peace peace
, ,
and and
I i
carry carry
those those
words word
of of
those those
doctors doctor
with with
me me
every every
single single
day day
. .
We we
can can
bridge bridge
the the
disconnect disconnect
between between
what what
doctors doctor
do do
and and
what what
patients patient
need need
. .
We we
can can
get get
there there
, ,
because because
we we
' '
ve ve
been be
there there
before before
, ,
and and
we we
know know
that that
transparency transparency
gets get
us us
to to
that that
trust trust
. .
Research research
has have
shown show
us us
that that
openness openness
also also
helps help
doctors doctor
, ,
that that
having have
open open
medical medical
records record
, ,
being be
willing willing
to to
talk talk
about about
medical medical
errors error
, ,
will will
increase increase
patient patient
trust trust
, ,
improve improve
health health
outcomes outcome
, ,
and and
reduce reduce
malpractice malpractice
. .
That that
openness openness
, ,
that that
trust trust
, ,
is be
only only
going go
to to
be be
more more
important important
as as
we we
move move
from from
the the
infectious infectious
to to
the the
behavioral behavioral
model model
of of
disease disease
. .
Bacteria bacterium
may may
not not
care care
so so
much much
about about
trust trust
and and
intimacy intimacy
, ,
but but
for for
people people
to to
tackle tackle
the the
hard hard
lifestyle lifestyle
choices choice
, ,
to to
address address
issues issue
like like
smoking smoking
cessation cessation
, ,
blood-pressure blood-pressure
management management
and and
diabetes diabetes
control control
, ,
well well
, ,
that that
requires require
us us
to to
establish establish
trust trust
. .
Here here
' '
s s
what what
other other
transparent transparent
doctors doctor
have have
said say
. .
Brandon brandon
Combs combs
, ,
an an
internist internist
in in
Denver denver
: :
" "
This this
has have
brought bring
me me
closer close
to to
my my
patients patient
. .
The the
type type
of of
relationship relationship
I i
' '
ve ve
developed develop
— -
that that
' '
s s
why why
I i
entered enter
medicine medicine
. .
" "
Aaron aaron
Stupple stupple
, ,
an an
internist internist
in in
Denver denver
: :
" "
I i
tell tell
my my
patients patient
that that
I i
am be
totally totally
open open
with with
them them
. .
I i
don don
' '
t t
hide hide
anything anything
from from
them them
. .
This this
is be
me me
. .
Now now
tell tell
me me
about about
you you
. .
We we
' '
re re
in in
this this
together together
. .
" "
May may
Nguyen nguyen
, ,
a a
family family
physician physician
in in
Houston houston
: :
" "
My my
colleagues colleague
are be
astounded astound
by by
what what
I i
' '
m m
doing do
. .
They they
ask ask
me me
how how
I i
could could
be be
so so
brave brave
. .
I i
said say
, ,
I i
' '
m m
not not
being be
brave brave
, ,
it it
' '
s s
my my
job job
. .
" "
I i
leave leave
you you
today today
with with
a a
final final
thought thought
. .
Being be
totally totally
transparent transparent
is be
scary scary
. .
You you
feel feel
naked naked
, ,
exposed exposed
and and
vulnerable vulnerable
, ,
but but
that that
vulnerability vulnerability
, ,
that that
humility humility
, ,
it it
can can
be be
an an
extraordinary extraordinary
benefit benefit
to to
the the
practice practice
of of
medicine medicine
. .
When when
doctors doctor
are be
willing willing
to to
step step
off off
our our
pedestals pedestal
, ,
take take
off off
our our
white white
coats coat
, ,
and and
show show
our our
patients patient
who who
we we
are be
and and
what what
medicine medicine
is be
all all
about about
, ,
that that
' '
s s
when when
we we
begin begin
to to
overcome overcome
the the
sickness sickness
of of
fear fear
. .
That that
' '
s s
when when
we we
establish establish
trust trust
. .
That that
' '
s s
when when
we we
change change
the the
paradigm paradigm
of of
medicine medicine
from from
one one
of of
secrecy secrecy
and and
hiding hiding
to to
one one
that that
is be
fully fully
open open
and and
engaged engage
for for
our our
patients patient
. .
Thank thank
you you
. .
