Corey corey
RD rd
: :
Yes yes
, ,
but but
I i
want want
to to
be be
careful careful
about about
what what
I i
use use
-- --
the the
word word
. .
CH ch
: :
Absolutely absolutely
. .
RD rd
: :
To to
be be
technical technical
. .
The the
word word
is be
an an
evocative evocative
word word
. .
And and
it it
can can
be be
scary scary
and and
so so
on on
. .
So so
what what
do do
you you
mean mean
by by
a a
" "
depression depression
, ,
" "
OK ok
? ?
Something something
like like
happened happen
in in
the the
1930s 1930s
, ,
so so
just just
to to
repeat repeat
: :
1929 @card@
to to
1932 @card@
, ,
there there
was be
a a
fall fall
in in
the the
economy economy
. .
And and
double-digit double-digit
unemployment unemployment
rates rate
. .
And and
a a
magnitude magnitude
of of
fall fall
in in
the the
economy economy
, ,
like like
, ,
about about
10 @card@
percent percent
. .
Do do
I i
think think
we we
' '
re re
in in
that that
? ?
Yes yes
. .
How how
was be
that that
dealt deal
with with
, ,
1933 @card@
? ?
What what
they they
did do
is be
they they
printed print
a a
lot lot
of of
money money
. .
And and
the the
government government
came come
out out
with with
the the
same same
type type
of of
programs program
that that
we we
' '
re re
having have
now now
. .
Yes yes
, ,
OK ok
, ,
same same
thing thing
. .
Interest interest
rates rate
hit hit
zero zero
. .
Same same
thing thing
, ,
OK ok
, ,
same same
dynamics dynamics
. .
And and
then then
, ,
there there
is be
-- --
That that
money money
causes cause
an an
expansion expansion
from from
that that
point point
. .
How how
long long
does do
it it
take take
for for
the the
stock stock
market market
to to
exceed exceed
its its
highs high
? ?
Or or
how how
long long
does do
it it
take take
for for
the the
economy economy
to to
exceed exceed
its its
former former
highs high
? ?
A a
long long
time time
. .
OK ok
. .
Do do
I i
think think
that that
' '
s s
what what
we we
' '
re re
in in
? ?
Yes yes
, ,
that that
' '
s s
what what
we we
' '
re re
in in
. .
We we
' '
ve ve
seen see
that that
happen happen
repeatedly repeatedly
in in
history history
. .
Saw see
it it
many many
, ,
many many
times time
; ;
it it
' '
s s
just just
the the
most most
recent recent
one one
. .
And and
there there
' '
s s
a a
structure structure
to to
that that
. .
So so
yes yes
, ,
this this
is be
not not
a a
recession recession
. .
This this
is be
a a
breakdown breakdown
, ,
an an
operation operation
that that
I i
' '
m m
just just
describing describe
in in
terms term
of of
how how
it it
' '
s s
dealt deal
with with
, ,
the the
production production
of of
money money
and and
credit credit
and and
all all
of of
that that
. .
That that
' '
s s
what what
we we
' '
re re
in in
. .
CH ch
: :
And and
so so
you you
' '
ve ve
talked talk
about about
, ,
there there
are be
sort sort
of of
four four
levers lever
to to
recovery recovery
after after
a a
depression depression
: :
cutting cut
spending spending
, ,
also also
known know
as as
austerity austerity
; ;
debt debt
restructuring restructuring
, ,
or or
forgiveness forgiveness
; ;
redistribution redistribution
of of
wealth wealth
through through
taxes tax
, ,
potentially potentially
; ;
and and
printing printing
of of
money money
, ,
some some
of of
these these
things thing
you you
' '
ve ve
mentioned mention
. .
Will will
those those
things thing
get get
us us
out out
of of
this this
situation situation
, ,
since since
, ,
as as
you you
feel feel
, ,
it it
' '
s s
happened happen
before before
? ?
But but
how how
would would
you you
think think
about about
balancing balance
these these
tools tool
right right
now now
? ?
RD rd
: :
Yeah yeah
, ,
those those
are be
the the
tools tool
since since
eternity eternity
, ,
basically basically
, ,
since since
recorded record
history history
. .
Those those
are be
the the
ones one
that that
operated operate
, ,
and and
I i
think think
what what
you you
' '
re re
going go
to to
see see
is be
a a
combination combination
you you
' '
re re
seeing see
, ,
of of
printing printing
money money
and and
redistribution redistribution
. .
And and
I i
think think
it it
will will
last last
. .
. .
. .
These these
things thing
happen happen
pretty pretty
quickly quickly
, ,
they they
last last
maybe maybe
a a
couple couple
or or
three three
years year
in in
terms term
of of
that that
process process
. .
And and
then then
you you
have have
a a
rebuilding rebuilding
. .
And and
they they
' '
re re
dealt deal
with with
with with
creativity creativity
. .
The the
greatest great
force force
, ,
through through
time time
, ,
is be
inventiveness inventiveness
, ,
human human
inventiveness inventiveness
, ,
adaptability adaptability
. .
So so
you you
' '
re re
going go
to to
see see
these these
restructurings restructuring
happen happen
, ,
and and
you you
' '
re re
going go
to to
see see
the the
kind kind
of of
inventiveness inventiveness
that that
you you
just just
saw see
from from
Marko marko
, ,
OK ok
? ?
And and
it it
' '
s s
the the
power power
of of
that that
adaptation adaptation
that that
is be
the the
greatest great
power power
. .
I i
did do
a a
study study
, ,
which which
is be
on on
LinkedIn linkedin
if if
anyone anyone
wants want
to to
see see
it it
, ,
and and
it it
goes go
back back
500 @card@
years year
. .
And and
it it
shows show
real real
GDP gdp
. .
In in
other other
words word
, ,
the the
economic economic
activity activity
going go
back back
there there
. .
And and
there there
' '
s s
a a
line line
. .
And and
you you
don don
' '
t t
see see
these these
depressions depression
, ,
as as
we we
' '
re re
calling call
them them
, ,
even even
on on
that that
line line
that that
barely barely
wiggles wiggle
. .
When when
you you
go go
into into
it it
and and
you you
look look
at at
that that
piece piece
, ,
that that
' '
s s
what what
it it
looks look
like like
. .
GDP gdp
falls fall
10 @card@
percent percent
, ,
unemployment unemployment
goes go
up up
, ,
and and
it it
passes pass
. .
And and
because because
the the
greatest great
force force
is be
the the
force force
of of
adaptation adaptation
and and
inventiveness inventiveness
, ,
if if
we we
can can
operate operate
well well
together together
. .
So so
that that
' '
s s
what what
I i
think think
it it
' '
s s
going go
to to
look look
like like
over over
this this
period period
of of
time time
. .
It it
will will
pass pass
, ,
the the
world world
will will
be be
very very
different different
, ,
there there
will will
be be
a a
new new
world world
order order
, ,
but but
it it
will will
pass pass
, ,
and and
we we
' '
ll ll
be be
inventive inventive
, ,
because because
what what
we we
' '
re re
dealing deal
with with
now now
is be
just just
money money
and and
credit credit
. .
Money money
and and
credit credit
is be
just just
digital digital
. .
I i
mean mean
, ,
there there
' '
s s
no no
-- --
There there
is be
real real
good good
services service
, ,
you you
know know
, ,
those those
are be
real real
. .
But but
everything everything
else else
is be
just just
accounting account
. .
And and
so so
when when
you you
change change
the the
digits digit
, ,
and and
you you
work work
those those
things thing
out out
, ,
and and
you you
work work
yourself yourself
through through
, ,
that that
takes take
, ,
you you
know know
, ,
a a
couple couple
of of
years year
at at
most most
, ,
kind kind
of of
. .
And and
then then
you you
come come
back back
into into
a a
restructured restructure
environment environment
. .
And and
it it
could could
be be
said say
that that
it it
is be
really really
healthy healthy
in in
many many
ways way
. .
Because because
it it
is be
a a
stress stress
test test
. .
Because because
if if
you you
look look
at at
history history
, ,
people people
have have
gotten get
-- --
sometimes sometimes
they they
get get
weaker weak
, ,
or or
they they
' '
re re
not not
prepared prepare
in in
many many
ways way
. .
Weaker weak
in in
terms term
of of
, ,
maybe maybe
they they
don don
' '
t t
build build
enough enough
savings saving
and and
they they
operate operate
that that
, ,
or or
maybe maybe
they they
emphasize emphasize
luxuries luxury
over over
necessities necessity
. .
It it
' '
s s
a a
reorienting reorient
type type
of of
experience experience
that that
, ,
in in
many many
ways way
, ,
makes make
us us
healthy healthy
. .
Even even
appreciating appreciate
the the
basics basic
of of
life life
. .
Chris chris
Anderson anderson
: :
Ray ray
, ,
just just
popping pop
in in
here here
with with
a a
couple couple
of of
questions question
from from
our our
online online
audience audience
. .
I i
mean mean
, ,
the the
main main
question question
early early
on on
was be
just just
, ,
how how
difficult difficult
do do
you you
think think
the the
days day
ahead ahead
are be
for for
the the
economy economy
. .
And and
you you
' '
ve ve
answered answer
that that
very very
vigorously vigorously
. .
Like like
, ,
using use
that that
word word
, ,
" "
depression depression
, ,
" "
that that
' '
s s
a a
very very
strong strong
word word
. .
Tell tell
me me
if if
I i
have have
this this
right right
-- --
it it
feels feel
to to
me me
like like
what what
you you
just just
said say
there there
is be
stronger strong
than than
most most
people people
in in
the the
market market
seem seem
to to
believe believe
. .
The the
market market
is be
behaving behave
as as
if if
, ,
you you
know know
, ,
we we
' '
ve ve
had have
the the
bad bad
news news
, ,
and and
it it
sort sort
of of
, ,
kind kind
of of
wants want
to to
come come
back back
and and
a a
lot lot
of of
people people
seem seem
to to
think think
that that
within within
, ,
I i
don don
' '
t t
know know
, ,
a a
year year
, ,
we we
' '
ll ll
kind kind
of of
be be
back back
where where
we we
are be
. .
You you
' '
re re
saying say
, ,
no no
, ,
it it
' '
s s
going go
to to
take take
longer longer
. .
Does do
that that
imply imply
that that
there there
is be
basically basically
sort sort
of of
some some
systemic systemic
shots shot
that that
the the
market market
hasn hasn
' '
t t
yet yet
fully fully
seen see
, ,
perhaps perhaps
to to
do do
with with
the the
inability inability
of of
some some
players player
to to
handle handle
the the
extreme extreme
levels level
of of
debt debt
that that
are be
piling pile
up up
right right
now now
, ,
as as
people people
can can
' '
t t
work work
? ?
RD rd
: :
Yeah yeah
, ,
I i
can can
' '
t t
speak speak
for for
what what
everybody everybody
' '
s s
thinking think
out out
there there
, ,
you you
know know
, ,
the the
markets market
are be
off off
, ,
depending depend
on on
what what
market market
and and
depending depend
on on
what what
country country
you you
' '
re re
in in
, ,
you you
know know
, ,
something something
in in
the the
vicinity vicinity
of of
25 @card@
to to
45 @card@
or or
50 @card@
percent percent
, ,
depending depend
what what
currency currency
you you
' '
re re
managing managing
. .
And and
so so
if if
you you
' '
re re
talking talk
about about
emerging emerge
markets market
, ,
they they
' '
re re
worse worse
, ,
because because
they they
' '
re re
not not
going go
to to
get get
as as
much much
, ,
and and
so so
on on
. .
I i
can can
describe describe
what what
I i
see see
, ,
OK ok
? ?
We we
see see
something something
like like
20 @card@
trillion trillion
dollars dollar
of of
losses loss
. .
OK ok
, ,
we we
see see
-- --
If if
you you
work work
that that
through through
, ,
and and
you you
say say
you you
don don
' '
t t
have have
money money
, ,
and and
you you
don don
' '
t t
have have
credit credit
, ,
your your
business business
can can
fail fail
. .
You you
know know
this this
, ,
we we
see see
this this
all all
around around
us us
. .
So so
there there
can can
be be
failures failure
when when
there there
can can
' '
t t
be be
payments payment
. .
And and
so so
the the
question question
is be
, ,
who who
gets get
what what
check check
to to
make make
those those
payments payment
and and
get get
past past
it it
, ,
but but
we we
' '
re re
going go
to to
have have
a a
giant giant
restructuring restructuring
of of
the the
IOUs iou
and and
we we
' '
re re
going go
to to
work work
out out
. .
When when
hospitals hospital
can can
go go
broke broke
-- --
because because
this this
is be
terribly terribly
costly costly
for for
hospitals hospital
, ,
and and
they they
will will
not not
fully fully
recover recover
their their
losses loss
, ,
hospitals hospital
will will
go go
broke broke
, ,
even even
though though
we we
know know
that that
they they
need need
them them
. .
So so
you you
have have
to to
go go
entity entity
by by
entity entity
through through
this this
. .
And and
then then
you you
' '
ll ll
go go
through through
the the
process process
of of
who who
will will
pay pay
. .
So so
this this
is be
not not
-- --
You you
know know
, ,
some some
people people
mistake mistake
this this
as as
-- --
There there
is be
a a
virus virus
, ,
and and
the the
virus virus
may may
come come
and and
go go
, ,
OK ok
? ?
Maybe maybe
we we
never never
see see
it it
again again
. .
I i
don don
' '
t t
think think
that that
' '
s s
likely likely
, ,
but but
people people
tell tell
me me
, ,
but but
who who
knows know
. .
But but
if if
it it
never never
came come
back back
again again
, ,
there there
will will
be be
those those
who who
are be
broke broke
and and
who who
will will
have have
loss loss
of of
income income
. .
We we
' '
re re
going go
to to
change change
how how
we we
operate operate
, ,
in in
a a
way way
. .
The the
supply supply
lines line
are be
going go
to to
change change
. .
In in
other other
words word
, ,
self-sufficiency self-sufficiency
. .
What what
is be
self-sufficiency self-sufficiency
now now
going go
to to
mean mean
? ?
Do do
we we
have have
enough enough
of of
this this
and and
that that
? ?
We we
' '
re re
going go
to to
restructure restructure
our our
economy economy
. .
And and
restructure restructure
the the
financial financial
system system
in in
ways way
that that
mean mean
we we
are be
not not
going go
to to
go go
back back
to to
the the
way way
it it
was be
. .
CA ca
: :
So so
do do
you you
see see
systemic systemic
threats threat
to to
the the
financial financial
industry industry
as as
great great
or or
greater great
than than
happened happen
in in
2008 @card@
? ?
RD rd
: :
Yeah yeah
, ,
this this
is be
bigger big
than than
what what
happened happen
in in
2008 @card@
. .
I i
' '
ll ll
distinguish distinguish
it it
. .
In in
2008 @card@
, ,
we we
had have
banks bank
. .
It it
' '
s s
the the
same same
thing thing
, ,
meaning mean
, ,
you you
have have
a a
certain certain
amount amount
of of
leverage leverage
, ,
things thing
go go
down down
, ,
too too
much much
leverage leverage
means mean
you you
' '
re re
broke break
, ,
in in
accounting accounting
terms term
. .
So so
then then
you you
look look
around around
and and
you you
say say
, ,
who who
are be
the the
systemically systemically
important important
entities entity
that that
you you
don don
' '
t t
want want
to to
go go
broke broke
? ?
Because because
, ,
do do
you you
want want
to to
lose lose
those those
banks bank
at at
this this
time time
? ?
And and
then then
you you
can can
make make
up up
money money
and and
make make
up up
credit credit
and and
you you
can can
keep keep
them them
alive alive
in in
some some
way way
, ,
and and
you you
did do
it it
with with
banks bank
, ,
and and
through through
the the
banks bank
, ,
there there
were be
the the
mortgages mortgage
, ,
and and
that that
' '
s s
what what
it it
looked look
like like
. .
This this
is be
more more
complex complex
than than
that that
, ,
because because
there there
are be
the the
banks bank
, ,
and and
then then
there there
are be
those those
, ,
all all
of of
those those
that that
are be
beyond beyond
banks bank
. .
All all
the the
little little
businesses business
, ,
all all
of of
those those
in in
all all
the the
different different
places place
that that
are be
beyond beyond
it it
. .
And and
it it
' '
s s
a a
bigger big
crisis crisis
. .
And and
we we
have have
a a
less less
effective effective
monetary monetary
policy policy
, ,
because because
interest interest
rates rate
declines decline
have have
reached reach
their their
limit limit
. .
And and
just just
buying buy
financial financial
assets asset
by by
the the
central central
bank bank
and and
buying buy
the the
normal normal
financial financial
assets asset
won won
' '
t t
work work
. .
They they
have have
to to
buy buy
the the
debt debt
of of
the the
government government
and and
the the
government government
, ,
or or
the the
many many
governments government
, ,
have have
to to
be be
effective effective
in in
getting get
buying buying
power power
and and
production production
to to
those those
who who
need need
it it
around around
the the
world world
. .
CA ca
: :
I i
have have
one one
last last
question question
, ,
and and
then then
I i
' '
ll ll
be be
back back
at at
the the
end end
of of
the the
hour hour
, ,
Corey corey
, ,
and and
it it
' '
s s
back back
to to
you you
. .
So so
, ,
given give
how how
bleak bleak
that that
is be
, ,
people people
are be
asking ask
, ,
what what
kinds kind
of of
industries industry
, ,
organizations organization
, ,
companies company
have have
the the
best good
prospects prospect
of of
thriving thrive
, ,
going go
forward forward
? ?
RD rd
: :
Well well
, ,
you you
see see
, ,
that that
' '
s s
the the
beauty beauty
of of
it it
. .
There there
are be
two two
types type
, ,
basically basically
. .
There there
are be
those those
that that
are be
stable stable
, ,
meat-and-potatoes meat-and-potato
, ,
not-leverage not-leverage
kind kind
of of
companies company
, ,
you you
know know
, ,
the the
Campbell campbell
soup soup
equivalent equivalent
, ,
you you
know know
, ,
everybody everybody
' '
s s
going go
to to
use use
them them
all all
the the
time time
, ,
kind kind
of of
thing thing
. .
And and
then then
, ,
there there
are be
the the
innovators innovator
. .
The the
innovators innovator
like like
, ,
we we
' '
re re
talking talk
about about
Marko marko
. .
You you
had have
Marko marko
on on
before before
. .
And and
that that
new new
innovation innovation
, ,
those those
who who
can can
adapt adapt
well well
and and
innovate innovate
well well
, ,
and and
don don
' '
t t
have have
balance balance
sheet sheet
problems problem
, ,
in in
other other
words word
, ,
they they
have have
strong strong
balance balance
sheets sheet
so so
they they
' '
re re
going go
to to
be be
able able
to to
play play
the the
game game
without without
having have
that that
. .
They they
will will
be be
great great
winners winner
. .
And and
so so
there there
' '
s s
always always
new new
inventions invention
, ,
new new
creativity creativity
, ,
that that
is be
the the
new new
adaptation adaptation
that that
becomes become
a a
company company
and and
an an
entrepreneur entrepreneur
. .
And and
they they
' '
re re
going go
to to
do do
great great
, ,
plus plus
the the
stuff stuff
that that
we we
' '
re re
always always
going go
to to
need need
. .
Those those
are be
the the
things thing
that that
are be
going go
to to
do do
great great
. .
CA ca
: :
Thank thank
you you
, ,
Ray ray
. .
Corey corey
. .
CH ch
: :
Thank thank
you you
, ,
Chris chris
. .
So so
I i
guess guess
I i
' '
d d
