Hi hi
the the
sea sea
. .
Now now
, ,
if if
you you
put put
all all
of of
these these
chemicals chemical
, ,
these these
nitrates nitrate
, ,
into into
those those
kinds kind
of of
environments environment
, ,
there there
are be
organisms organism
in in
those those
environments environment
that that
will will
be be
affected affect
by by
that that
— -
algae algae
, ,
for for
example example
. .
Algae algae
loves love
nitrates nitrate
, ,
it it
loves love
fertilizer fertilizer
, ,
so so
it it
will will
take take
in in
all all
these these
chemicals chemical
, ,
and and
if if
the the
conditions condition
are be
right right
, ,
it it
will will
mass mass
produce produce
. .
It it
will will
produce produce
masses mass
and and
masses mass
of of
new new
algae algae
. .
That that
' '
s s
called call
a a
bloom bloom
. .
The the
trouble trouble
is be
that that
when when
algae algae
reproduces reproduce
like like
this this
, ,
it it
starves starve
the the
water water
of of
oxygen oxygen
. .
As as
soon soon
as as
you you
do do
that that
, ,
the the
other other
organisms organism
in in
the the
water water
can can
' '
t t
survive survive
. .
So so
, ,
what what
do do
we we
do do
? ?
We we
try try
to to
produce produce
a a
robot robot
that that
will will
eat eat
the the
algae algae
, ,
consume consume
it it
and and
make make
it it
safe safe
. .
So so
that that
' '
s s
the the
first first
problem problem
. .
The the
second second
problem problem
is be
also also
of of
our our
making making
, ,
and and
it it
' '
s s
to to
do do
with with
oil oil
pollution pollution
. .
Now now
, ,
oil oil
comes come
out out
of of
the the
engines engine
that that
we we
use use
, ,
the the
boats boat
that that
we we
use use
. .
Sometimes sometimes
tankers tanker
flush flush
their their
oil oil
tanks tank
into into
the the
sea sea
, ,
so so
oil oil
is be
released release
into into
the the
sea sea
that that
way way
. .
Wouldn wouldn
' '
t t
it it
be be
nice nice
if if
we we
could could
treat treat
that that
in in
some some
way way
using use
robots robot
that that
could could
eat eat
the the
pollution pollution
the the
oil oil
fields field
have have
produced produce
? ?
So so
that that
' '
s s
what what
we we
do do
. .
We we
make make
robots robot
that that
will will
eat eat
pollution pollution
. .
To to
actually actually
make make
the the
robot robot
, ,
we we
take take
inspiration inspiration
from from
two two
organisms organism
. .
On on
the the
right right
there there
you you
see see
the the
basking bask
shark shark
. .
The the
basking bask
shark shark
is be
a a
massive massive
shark shark
. .
It it
' '
s s
noncarnivorous noncarnivorous
, ,
so so
you you
can can
swim swim
with with
it it
, ,
as as
you you
can can
see see
. .
And and
the the
basking bask
shark shark
opens open
its its
mouth mouth
, ,
and and
it it
swims swim
through through
the the
water water
, ,
collecting collect
plankton plankton
. .
As as
it it
does do
that that
, ,
it it
digests digest
the the
food food
, ,
and and
then then
it it
uses use
that that
energy energy
in in
its its
body body
to to
keep keep
moving move
. .
So so
, ,
could could
we we
make make
a a
robot robot
like like
that that
— -
like like
the the
basking bask
shark shark
that that
chugs chug
through through
the the
water water
and and
eats eat
up up
pollution pollution
? ?
Well well
, ,
let let
' '
s s
see see
if if
we we
can can
do do
that that
. .
But but
also also
, ,
we we
take take
the the
inspiration inspiration
from from
other other
organisms organism
. .
I i
' '
ve ve
got get
a a
picture picture
here here
of of
a a
water water
boatman boatman
, ,
and and
the the
water water
boatman boatman
is be
really really
cute cute
. .
When when
it it
' '
s s
swimming swimming
in in
the the
water water
, ,
it it
uses use
its its
paddle-like paddle-like
legs leg
to to
push push
itself itself
forward forward
. .
So so
we we
take take
those those
two two
organisms organism
and and
we we
combine combine
them them
together together
to to
make make
a a
new new
kind kind
of of
robot robot
. .
In in
fact fact
, ,
because because
we we
' '
re re
using use
the the
water water
boatman boatman
as as
inspiration inspiration
, ,
and and
our our
robot robot
sits sit
on on
top top
of of
the the
water water
, ,
and and
it it
rows row
, ,
we we
call call
it it
the the
" "
Row-bot row-bot
. .
" "
So so
a a
Row-bot row-bot
is be
a a
robot robot
that that
rows row
. .
OK ok
. .
So so
what what
does do
it it
look look
like like
? ?
Here here
' '
s s
some some
pictures picture
of of
the the
Row-bot row-bot
, ,
and and
you you
' '
ll ll
see see
, ,
it it
doesn doesn
' '
t t
look look
anything anything
like like
the the
robots robot
we we
saw see
right right
at at
the the
beginning beginning
. .
Google google
is be
wrong wrong
; ;
robots robot
don don
' '
t t
look look
like like
that that
, ,
they they
look look
like like
this this
. .
So so
I i
' '
ve ve
got get
the the
Row-bot row-bot
here here
. .
I i
' '
ll ll
just just
hold hold
it it
up up
for for
you you
. .
It it
gives give
you you
a a
sense sense
of of
the the
scale scale
, ,
and and
it it
doesn doesn
' '
t t
look look
anything anything
like like
the the
others other
. .
OK ok
, ,
so so
it it
' '
s s
made make
out out
of of
plastic plastic
, ,
and and
we we
' '
ll ll
have have
a a
look look
now now
at at
the the
components component
that that
make make
up up
the the
Row-bot row-bot
— -
what what
makes make
it it
really really
special special
. .
The the
Row-bot row-bot
is be
made make
up up
of of
three three
parts part
, ,
and and
those those
three three
parts part
are be
really really
like like
the the
parts part
of of
any any
organism organism
. .
It it
' '
s s
got get
a a
brain brain
, ,
it it
' '
s s
got get
a a
body body
and and
it it
' '
s s
got get
a a
stomach stomach
. .
It it
needs need
the the
stomach stomach
to to
create create
the the
energy energy
. .
Any any
Row-bot row-bot
will will
have have
those those
three three
components component
, ,
and and
any any
organism organism
will will
have have
those those
three three
components component
, ,
so so
let let
' '
s s
go go
through through
them them
one one
at at
a a
time time
. .
It it
has have
a a
body body
, ,
and and
its its
body body
is be
made make
out out
of of
plastic plastic
, ,
and and
it it
sits sit
on on
top top
of of
the the
water water
. .
And and
it it
' '
s s
got get
flippers flipper
on on
the the
side side
here here
— -
paddles paddle
that that
help help
it it
move move
, ,
just just
like like
the the
water water
boatman boatman
. .
It it
' '
s s
got get
a a
plastic plastic
body body
, ,
but but
it it
' '
s s
got get
a a
soft soft
rubber rubber
mouth mouth
here here
, ,
and and
a a
mouth mouth
here here
— -
it it
' '
s s
got get
two two
mouths mouth
. .
Why why
does do
it it
have have
two two
mouths mouth
? ?
One one
is be
to to
let let
the the
food food
go go
in in
and and
the the
other other
is be
to to
let let
the the
food food
go go
out out
. .
So so
you you
can can
see see
really really
it it
' '
s s
got get
a a
mouth mouth
and and
a a
derriere derriere
, ,
or or
a a
— -
something something
where where
the the
stuff stuff
comes come
out out
, ,
which which
is be
just just
like like
a a
real real
organism organism
. .
So so
it it
' '
s s
starting start
to to
look look
like like
that that
basking bask
shark shark
. .
So so
that that
' '
s s
the the
body body
. .
The the
second second
component component
might might
be be
the the
stomach stomach
. .
We we
need need
to to
get get
the the
energy energy
into into
the the
robot robot
and and
we we
need need
to to
treat treat
the the
pollution pollution
, ,
so so
the the
pollution pollution
goes go
in in
, ,
and and
it it
will will
do do
something something
. .
It it
' '
s s
got get
a a
cell cell
in in
the the
middle middle
here here
called call
a a
microbial microbial
fuel fuel
cell cell
. .
I i
' '
ll ll
put put
this this
down down
, ,
and and
I i
' '
ll ll
lift lift
up up
the the
fuel fuel
cell cell
. .
Here here
. .
So so
instead instead
of of
having have
batteries battery
, ,
instead instead
of of
having have
a a
conventional conventional
power power
system system
, ,
it it
' '
s s
got get
one one
of of
these these
. .
This this
is be
its its
stomach stomach
. .
And and
it it
really really
is be
a a
stomach stomach
because because
you you
can can
put put
energy energy
in in
this this
side side
in in
the the
form form
of of
pollution pollution
, ,
and and
it it
creates create
electricity electricity
. .
So so
what what
is be
it it
? ?
It it
' '
s s
called call
a a
microbial microbial
fuel fuel
cell cell
. .
It it
' '
s s
a a
little little
bit bit
like like
a a
chemical chemical
fuel fuel
cell cell
, ,
which which
you you
might might
have have
come come
across across
in in
school school
, ,
or or
you you
might might
' '
ve ve
seen see
in in
the the
news news
. .
Chemical chemical
fuel fuel
cells cell
take take
hydrogen hydrogen
and and
oxygen oxygen
, ,
and and
they they
can can
combine combine
them them
together together
and and
you you
get get
electricity electricity
. .
That that
' '
s s
well-established well-established
technology technology
; ;
it it
was be
in in
the the
Apollo apollo
space space
missions mission
. .
That that
' '
s s
from from
40 @card@
, ,
50 @card@
years year
ago ago
. .
This this
is be
slightly slightly
newer new
. .
This this
is be
a a
microbial microbial
fuel fuel
cell cell
. .
It it
' '
s s
the the
same same
principle principle
: :
it it
' '
s s
got get
oxygen oxygen
on on
one one
side side
, ,
but but
instead instead
of of
having have
hydrogen hydrogen
on on
the the
other other
, ,
it it
' '
s s
got get
some some
soup soup
, ,
and and
inside inside
that that
soup soup
there there
are be
living living
microbes microbe
. .
Now now
, ,
if if
you you
take take
some some
organic organic
material material
— -
could could
be be
some some
waste waste
products product
, ,
some some
food food
, ,
maybe maybe
a a
bit bit
of of
your your
sandwich sandwich
— -
you you
put put
it it
in in
there there
, ,
the the
microbes microbe
will will
eat eat
that that
food food
, ,
and and
they they
will will
turn turn
it it
into into
electricity electricity
. .
Not not
only only
that that
, ,
but but
if if
you you
select select
the the
right right
kind kind
of of
microbes microbe
, ,
you you
can can
use use
the the
microbial microbial
fuel fuel
cell cell
to to
treat treat
some some
of of
the the
pollution pollution
. .
If if
you you
choose choose
the the
right right
microbes microbe
, ,
the the
microbes microbe
will will
eat eat
the the
algae algae
. .
If if
you you
use use
other other
kinds kind
of of
microbes microbe
, ,
they they
will will
eat eat
petroleum petroleum
spirits spirit
and and
crude crude
oil oil
. .
So so
you you
can can
see see
how how
this this
stomach stomach
could could
be be
used use
to to
not not
only only
treat treat
the the
pollution pollution
but but
also also
to to
generate generate
electricity electricity
from from
the the
pollution pollution
. .
So so
the the
robot robot
will will
move move
through through
the the
environment environment
, ,
taking take
food food
into into
its its
stomach stomach
, ,
digest digest
the the
food food
, ,
create create
electricity electricity
, ,
use use
that that
electricity electricity
to to
move move
through through
the the
environment environment
and and
keep keep
doing do
this this
. .
OK ok
, ,
so so
let let
' '
s s
see see
what what
happens happen
when when
we we
run run
the the
Row-bot row-bot
— -
when when
it it
does do
some some
rowing rowing
. .
Here here
we we
' '
ve ve
got get
a a
couple couple
of of
videos video
, ,
the the
first first
thing thing
you you
' '
ll ll
see see
— -
hopefully hopefully
you you
can can
see see
here here
is be
the the
mouth mouth
open open
. .
The the
front front
mouth mouth
and and
the the
bottom bottom
mouth mouth
open open
, ,
and and
it it
will will
stay stay
opened open
enough enough
, ,
then then
the the
robot robot
will will
start start
to to
row row
forward forward
. .
It it
moves move
through through
the the
water water
so so
that that
food food
goes go
in in
as as
the the
waste waste
products product
go go
out out
. .
Once once
it it
' '
s s
moved move
enough enough
, ,
it it
stops stop
and and
then then
it it
closes close
the the
mouth mouth
— -
slowly slowly
closes close
the the
mouths mouth
— -
and and
then then
it it
will will
sit sit
there there
, ,
and and
it it
will will
digest digest
the the
food food
. .
Of of
course course
these these
microbial microbial
fuel fuel
cells cell
, ,
they they
contain contain
microbes microbe
. .
What what
you you
really really
want want
is be
lots lot
of of
energy energy
coming come
out out
of of
those those
microbes microbe
as as
quickly quickly
as as
possible possible
. .
But but
we we
can can
' '
t t
force force
the the
microbes microbe
and and
they they
generate generate
a a
small small
amount amount
of of
electricity electricity
per per
second second
. .
They they
generate generate
milliwatts milliwatt
, ,
or or
microwatts microwatt
. .
Let let
' '
s s
put put
that that
into into
context context
. .
Your your
mobile mobile
phone phone
for for
example example
, ,
one one
of of
these these
modern modern
ones one
, ,
if if
you you
use use
it it
, ,
it it
takes take
about about
one one
watt watt
. .
So so
that that
' '
s s
a a
thousand thousand
or or
a a
million million
times time
as as
much much
energy energy
that that
that that
uses use
compared compare
to to
the the
microbial microbial
fuel fuel
cell cell
. .
How how
can can
we we
cope cope
with with
that that
? ?
Well well
, ,
when when
the the
Row-bot row-bot
has have
done do
its its
digestion digestion
, ,
when when
it it
' '
s s
taken take
the the
food food
in in
, ,
it it
will will
sit sit
there there
and and
it it
will will
wait wait
until until
it it
has have
consumed consume
all all
that that
food food
. .
That that
could could
take take
some some
hours hour
, ,
it it
could could
take take
some some
days day
. .
A a
typical typical
cycle cycle
for for
the the
Row-bot row-bot
looks look
like like
this this
: :
you you
open open
your your
mouth mouth
, ,
you you
move move
, ,
you you
close close
your your
mouth mouth
and and
you you
sit sit
there there
for for
a a
while while
waiting waiting
. .
Once once
you you
digest digest
your your
food food
, ,
then then
you you
can can
go go
about about
doing do
the the
same same
thing thing
again again
. .
But but
you you
know know
what what
, ,
that that
looks look
like like
a a
real real
organism organism
, ,
doesn doesn
' '
t t
it it
? ?
It it
looks look
like like
the the
kind kind
of of
thing thing
we we
do do
. .
Saturday saturday
night night
, ,
we we
go go
out out
, ,
open open
our our
mouths mouth
, ,
fill fill
our our
stomachs stomach
, ,
sit sit
in in
front front
of of
the the
telly telly
and and
digest digest
. .
When when
we we
' '
ve ve
had have
enough enough
, ,
we we
do do
the the
same same
thing thing
again again
. .
OK ok
, ,
if if
we we
' '
re re
lucky lucky
with with
this this
cycle cycle
, ,
at at
the the
end end
of of
the the
cycle cycle
we we
' '
ll ll
have have
enough enough
energy energy
left leave
over over
for for
us us
to to
be be
able able
to to
do do
something something
else else
. .
We we
could could
send send
a a
message message
, ,
for for
example example
. .
We we
could could
send send
a a
message message
saying say
, ,
" "
This this
is be
how how
much much
pollution pollution
I i
' '
ve ve
eaten eat
recently recently
, ,
" "
or or
, ,
" "
This this
is be
the the
kind kind
of of
stuff stuff
that that
I i
' '
ve ve
encountered encounter
, ,
" "
or or
, ,
" "
This this
is be
where where
I i
am be
. .
" "
That that
ability ability
to to
send send
a a
message message
saying say
, ,
" "
This this
is be
where where
I i
am be
, ,
" "
is be
really really
, ,
really really
important important
. .
If if
you you
think think
about about
the the
oil oil
slicks slick
that that
we we
saw see
before before
, ,
or or
those those
massive massive
algal algal
blooms bloom
, ,
what what
you you
really really
want want
to to
do do
is be
put put
your your
Row-bot row-bot
out out
there there
, ,
and and
it it
eats eat
up up
all all
of of
those those
pollutions pollution
, ,
and and
then then
you you
have have
to to
go go
collect collect
them them
. .
Why why
? ?
Because because
these these
Row-bots row-bots
at at
the the
moment moment
, ,
this this
Row-bot row-bot
I i
' '
ve ve
got get
here here
, ,
it it
contains contain
motors motor
, ,
it it
contains contain
wires wire
, ,
it it
contains contain
components component
which which
themselves themselves
are be
not not
biodegradable biodegradable
. .
Current current
Row-bots row-bots
contain contain
things thing
like like
toxic toxic
batteries battery
. .
You you
can can
' '
t t
leave leave
those those
in in
the the
environment environment
, ,
so so
you you
need need
to to
track track
them them
, ,
and and
then then
when when
they they
' '
ve ve
finished finish
their their
job job
of of
work work
, ,
you you
need need
to to
collect collect
them them
. .
That that
limits limit
the the
number number
of of
Row-bots row-bots
you you
can can
use use
. .
If if
, ,
on on
the the
other other
hand hand
, ,
you you
have have
robot robot
a a
little little
bit bit
like like
a a
biological biological
organism organism
, ,
when when
it it
comes come
to to
the the
end end
of of
its its
life life
, ,
it it
dies die
and and
it it
degrades degrade
to to
nothing nothing
. .
So so
wouldn wouldn
' '
t t
it it
be be
nice nice
if if
these these
robots robot
, ,
instead instead
of of
being be
like like
this this
, ,
made make
out out
of of
plastic plastic
, ,
were be
made make
out out
of of
other other
materials material
, ,
which which
when when
you you
throw throw
them them
out out
there there
, ,
they they
biodegrade biodegrade
to to
nothing nothing
? ?
That that
changes change
the the
way way
in in
which which
we we
use use
robots robot
. .
Instead instead
of of
putting put
10 @card@
or or
100 @card@
out out
into into
the the
environment environment
, ,
having have
to to
track track
them them
, ,
and and
then then
when when
they they
die die
, ,
collect collect
them them
, ,
you you
could could
put put
a a
thousand thousand
, ,
a a
million million
, ,
a a
billion billion
robots robot
into into
the the
environment environment
. .
Just just
spread spread
them them
around around
. .
You you
know know
that that
at at
the the
end end
of of
their their
lives life
, ,
they they
' '
re re
going go
to to
degrade degrade
to to
nothing nothing
. .
You you
don don
' '
t t
need need
to to
worry worry
about about
them them
. .
So so
that that
changes change
the the
way way
in in
which which
you you
think think
about about
robots robot
and and
the the
way way
you you
deploy deploy
them them
. .
Then then
the the
question question
is be
: :
Can can
you you
do do
this this
? ?
Well well
, ,
yes yes
, ,
we we
have have
shown show
that that
you you
can can
do do
this this
. .
You you
can can
make make
robots robot
which which
are be
biodegradable biodegradable
. .
What what
' '
s s
really really
interesting interesting
is be
you you
can can
use use
household household
materials material
to to
make make
these these
biodegradable biodegradable
robots robot
. .
I i
' '
ll ll
show show
you you
some some
; ;
you you
might might
be be
surprised surprise
. .
You you
can can
make make
a a
robot robot
out out
of of
jelly jelly
. .
Instead instead
of of
having have
a a
motor motor
, ,
which which
we we
have have
at at
the the
moment moment
, ,
you you
can can
make make
things thing
called call
artificial artificial
muscles muscle
. .
Artificial artificial
muscles muscle
are be
smart smart
materials material
, ,
you you
apply apply
electricity electricity
to to
them them
, ,
and and
they they
contract contract
, ,
or or
they they
bend bend
or or
they they
twist twist
. .
They they
look look
like like
real real
muscles muscle
. .
So so
instead instead
of of
having have
a a
motor motor
, ,
you you
have have
these these
artificial artificial
muscles muscle
. .
And and
you you
can can
make make
artificial artificial
muscles muscle
out out
of of
jelly jelly
. .
If if
you you
take take
some some
jelly jelly
and and
some some
salts salt
, ,
and and
do do
a a
bit bit
of of
jiggery-pokery jiggery-pokery
, ,
you you
can can
make make
an an
artificial artificial
muscle muscle
. .
We we
' '
ve ve
also also
shown show
you you
can can
make make
the the
microbial microbial
fuel fuel
cell cell
' '
s s
stomach stomach
out out
of of
paper paper
. .
So so
you you
could could
make make
the the
whole whole
robot robot
out out
of of
biodegradable biodegradable
materials material
. .
You you
throw throw
them them
out out
there there
, ,
and and
they they
degrade degrade
to to
nothing nothing
. .
Well well
, ,
this this
is be
really really
, ,
really really
exciting exciting
. .
It it
' '
s s
going go
to to
totally totally
change change
the the
way way
in in
which which
we we
think think
about about
robots robot
, ,
but but
also also
it it
allows allow
you you
to to
be be
really really
creative creative
in in
the the
way way
in in
which which
you you
think think
about about
what what
you you
can can
do do
with with
these these
robots robot
. .
I i
' '
ll ll
give give
you you
an an
example example
. .
If if
you you
can can
use use
jelly jelly
to to
make make
a a
robot robot
— -
now now
, ,
we we
eat eat
jelly jelly
, ,
right right
? ?
So so
, ,
why why
not not
make make
something something
like like
this this
? ?
A a
robot robot
gummy gummy
bear bear
. .
Here here
, ,
I i
' '
ve ve
got get
some some
I i
prepared prepare
earlier earlier
. .
There there
we we
go go
. .
I i
' '
ve ve
got get
a a
packet packet
— -
and and
I i
' '
ve ve
got get
a a
lemon-flavored lemon-flavored
one one
. .
I i
' '
ll ll
take take
this this
gummy gummy
bear bear
— -
he he
' '
s s
not not
robotic robotic
, ,
OK ok
? ?
We we
have have
to to
pretend pretend
. .
And and
what what
you you
do do
with with
one one
of of
these these
is be
you you
put put
it it
in in
your your
mouth mouth
— -
the the
lemon lemon
' '
s s
quite quite
nice nice
. .
Try try
not not
to to
chew chew
it it
too too
much much
, ,
it it
' '
s s
a a
robot robot
, ,
it it
may may
not not
like like
it it
. .
And and
then then
you you
swallow swallow
it it
. .
And and
then then
it it
goes go
into into
your your
stomach stomach
. .
And and
when when
it it
' '
s s
inside inside
your your
stomach stomach
, ,
it it
moves move
, ,
it it
thinks think
, ,
it it
twists twist
, ,
it it
bends bend
, ,
it it
does do
something something
. .
It it
could could
go go
further further
down down
into into
your your
intestines intestine
, ,
find find
out out
whether whether
you you
' '
ve ve
got get
some some
ulcer ulcer
or or
cancer cancer
, ,
maybe maybe
do do
an an
injection injection
, ,
something something
like like
that that
. .
You you
know know
that that
once once
it it
' '
s s
done do
its its
job job
of of
work work
, ,
it it
could could
be be
consumed consume
by by
your your
stomach stomach
, ,
or or
if if
you you
don don
' '
t t
want want
that that
, ,
it it
could could
go go
straight straight
through through
you you
, ,
into into
the the
toilet toilet
, ,
and and
be be
degraded degrade
safely safely
in in
the the
environment environment
. .
So so
this this
changes change
the the
way way
, ,
again again
, ,
in in
which which
we we
think think
about about
robots robot
. .
So so
, ,
we we
started start
off off
looking look
at at
robots robot
that that
would would
eat eat
pollution pollution
, ,
and and
then then
we we
' '
re re
looking look
at at
robots robot
which which
we we
can can
eat eat
. .
I i
hope hope
this this
gives give
you you
some some
idea idea
of of
the the
kinds kind
of of
things thing
we we
can can
do do
with with
future future
robots robot
. .
Thank thank
you you
very very
much much
for for
your your
attention attention
. .
