Let let
This this
is be
getting get
ready ready
for for
the the
monsoon monsoon
in in
Bombay bombay
, ,
India india
. .
This this
is be
home home
improvement improvement
: :
putting put
plastic plastic
tarps tarp
on on
your your
roof roof
. .
This this
is be
in in
Rio rio
de de
Janeiro janeiro
, ,
and and
it it
' '
s s
getting get
a a
bit bit
better well
, ,
right right
? ?
We we
' '
re re
seeing see
scavenged scavenge
terra terra
cotta cotta
tile tile
and and
little little
pieces piece
of of
signs sign
, ,
and and
plaster plaster
over over
the the
brick brick
, ,
some some
color color
, ,
and and
this this
is be
Sulay sulay
Montakaya montakaya
' '
s s
house house
in in
Sultanbelyi sultanbelyi
, ,
and and
it it
' '
s s
getting get
even even
better good
. .
He he
' '
s s
got get
a a
fence fence
; ;
he he
scavenged scavenge
a a
door door
; ;
he he
' '
s s
got get
new new
tile tile
on on
the the
roof roof
. .
And and
then then
you you
get get
Rocinha rocinha
and and
you you
can can
see see
that that
it it
' '
s s
getting get
even even
better good
. .
The the
buildings building
here here
are be
multi-story multi-story
. .
They they
develop develop
— -
you you
can can
see see
on on
the the
far far
right right
one one
where where
it it
seems seem
to to
just just
stack stack
on on
top top
of of
each each
other other
, ,
room room
, ,
after after
room room
, ,
after after
room room
. .
And and
what what
people people
do do
is be
they they
develop develop
their their
home home
on on
one one
or or
two two
stories story
, ,
and and
they they
sell sell
their their
loggia loggia
or or
roof roof
rights right
, ,
and and
someone someone
else else
builds build
on on
top top
of of
their their
building building
, ,
and and
then then
that that
person person
sells sell
the the
roof roof
rights right
, ,
and and
someone someone
else else
builds build
on on
top top
of of
their their
building building
. .
All all
of of
these these
buildings building
are be
made make
out out
of of
reinforced reinforce
concrete concrete
and and
brick brick
. .
And and
then then
you you
get get
Sultanbelyi sultanbelyi
, ,
in in
Turkey turkey
, ,
where where
it it
' '
s s
even even
built build
to to
a a
higher high
level level
of of
design design
. .
The the
crud crud
in in
the the
front front
is be
mattress mattress
stuffing stuffing
, ,
and and
you you
see see
that that
all all
over over
Turkey turkey
. .
People people
dry dry
out out
or or
air air
out out
their their
mattress mattress
stuffing stuffing
on on
their their
roofs roof
. .
But but
the the
green green
building building
, ,
on on
behind behind
, ,
you you
can can
see see
that that
the the
top top
floor floor
is be
not not
occupied occupied
, ,
so so
people people
are be
building build
with with
the the
possibility possibility
of of
expansion expansion
. .
And and
it it
' '
s s
built build
to to
a a
pretty pretty
high high
standard standard
of of
design design
. .
And and
then then
you you
finally finally
get get
squatter squatter
homes home
like like
this this
, ,
which which
is be
built build
on on
the the
suburban suburban
model model
. .
Hey hey
, ,
that that
' '
s s
a a
single single
family family
home home
in in
the the
squatter squatter
community community
. .
That that
' '
s s
also also
in in
Istanbul istanbul
, ,
Turkey turkey
. .
They they
' '
re re
quite quite
vital vital
places place
, ,
these these
communities community
. .
This this
is be
the the
main main
drag drag
of of
Rocinha rocinha
, ,
the the
Estrada estrada
da da
Gavea gavea
, ,
and and
there there
' '
s s
a a
bus bus
route route
that that
runs run
through through
it it
, ,
lots lot
of of
people people
out out
on on
the the
street street
. .
These these
communities community
in in
these these
cities city
are be
actually actually
more more
vital vital
than than
the the
illegal illegal
communities community
. .
They they
have have
more more
things thing
going go
on on
in in
them them
. .
This this
is be
a a
typical typical
pathway pathway
in in
Rocinha rocinha
called call
a a
" "
beco beco
" "
— -
these these
are be
how how
you you
get get
around around
the the
community community
. .
It it
' '
s s
on on
very very
steep steep
ground ground
. .
They they
' '
re re
built build
on on
the the
hills hill
, ,
inland inland
from from
the the
beaches beach
in in
Rio rio
, ,
and and
you you
can can
see see
that that
the the
houses house
are be
just just
cantilevered cantilever
over over
the the
natural natural
obstructions obstruction
. .
So so
, ,
that that
' '
s s
just just
a a
rock rock
in in
the the
hillside hillside
. .
And and
these these
becos becos
are be
normally normally
very very
crowded crowd
, ,
and and
people people
hump hump
furniture furniture
up up
them them
, ,
or or
refrigerators refrigerator
up up
them them
, ,
all all
sorts sort
of of
things thing
. .
Beer beer
is be
all all
carried carry
in in
on on
your your
shoulders shoulder
. .
Beer beer
is be
a a
very very
important important
thing thing
in in
Brazil brazil
. .
This this
is be
commerce commerce
in in
Kenya kenya
, ,
right right
along along
the the
train train
tracks track
, ,
so so
close close
to to
the the
train train
tracks track
that that
the the
merchants merchant
sometimes sometimes
have have
to to
pull pull
the the
merchandise merchandise
out out
of of
the the
way way
. .
This this
is be
a a
marketplace marketplace
, ,
also also
in in
Kenya kenya
, ,
Toi toi
Market market
, ,
lots lot
of of
dealers dealer
, ,
in in
almost almost
everything everything
you you
want want
to to
buy buy
. .
Those those
green green
things thing
in in
the the
foreground foreground
are be
mangoes mango
. .
This this
is be
a a
shopping shopping
street street
in in
Kibera kibera
, ,
and and
you you
can can
see see
that that
there there
' '
s s
a a
soda soda
dealer dealer
, ,
a a
health health
clinic clinic
, ,
two two
beauty beauty
salons salon
, ,
a a
bar bar
, ,
two two
grocery grocery
stores store
, ,
and and
a a
church church
, ,
and and
more more
. .
It it
' '
s s
a a
typical typical
downtown downtown
street street
; ;
it it
just just
happens happen
to to
be be
self- self-
built build
. .
This this
here here
, ,
on on
the the
right-hand right-hand
side side
, ,
is be
what what
' '
s s
called call
a a
— -
if if
you you
look look
at at
the the
fine fine
print print
under under
the the
awning awning
— -
it it
' '
s s
a a
hotel hotel
. .
And and
what what
hotel hotel
means mean
, ,
in in
Kenya kenya
and and
India india
, ,
is be
an an
eating-place eating-place
. .
So so
, ,
that that
' '
s s
a a
restaurant restaurant
. .
People people
steal steal
electrical electrical
power power
— -
this this
is be
Rio rio
. .
People people
tap tap
in in
and and
they they
have have
thieves thief
who who
are be
called call
" "
grillos grillos
" "
or or
" "
crickets cricket
, ,
" "
and and
they they
steal steal
the the
electrical electrical
power power
and and
wire wire
the the
neighborhood neighborhood
. .
People people
burn burn
trash trash
to to
get get
rid rid
of of
the the
garbage garbage
, ,
and and
they they
dig dig
their their
own own
sewer sewer
channels channel
. .
Talk talk
about about
more more
plastic plastic
bags bag
than than
plankton plankton
. .
And and
sometimes sometimes
they they
have have
natural natural
trash-disposal trash-disposal
. .
And and
when when
they they
have have
more more
money money
they they
cement cement
their their
streets street
, ,
and and
they they
put put
in in
sewers sewer
and and
good good
water water
pipes pipe
, ,
and and
stuff stuff
like like
that that
. .
This this
is be
water water
going go
to to
Rio rio
. .
People people
run run
their their
water water
pipes pipe
all all
over over
the the
place place
, ,
and and
that that
little little
hut hut
right right
there there
has have
a a
pump pump
in in
it it
, ,
and and
that that
' '
s s
what what
people people
do do
: :
they they
steal steal
electricity electricity
; ;
they they
install install
a a
pump pump
and and
they they
tap tap
into into
the the
water water
main main
, ,
and and
pump pump
water water
up up
to to
their their
houses house
. .
So so
, ,
the the
question question
is be
how how
do do
you you
go go
from from
the the
mud-hut mud-hut
village village
, ,
to to
the the
more more
developed developed
city city
, ,
to to
the the
even even
highly highly
developed develop
Sultanbelyi sultanbelyi
? ?
I i
say say
there there
are be
two two
things thing
. .
One one
is be
people people
need need
a a
guarantee guarantee
they they
won win
' '
t t
be be
evicted evict
. .
That that
does do
not not
necessarily necessarily
mean mean
property property
rights right
, ,
and and
I i
would would
disagree disagree
with with
Hernando hernando
de de
Soto soto
on on
that that
question question
, ,
because because
property property
rights right
create create
a a
lot lot
of of
complications complication
. .
They they
' '
re re
most most
often often
sold sell
to to
people people
, ,
and and
people people
then then
wind wind
up up
in in
debt debt
and and
have have
to to
pay pay
back back
the the
debt debt
, ,
and and
sometimes sometimes
have have
to to
sell sell
their their
property property
in in
order order
to to
pay pay
back back
the the
debt debt
. .
There there
' '
s s
a a
whole whole
variety variety
of of
other other
reasons reason
why why
property property
rights right
sometimes sometimes
don don
' '
t t
work work
in in
these these
cases case
, ,
but but
they they
do do
need need
security security
of of
tenure tenure
. .
And and
they they
need need
access access
to to
politics politics
, ,
and and
that that
can can
mean mean
two two
things thing
. .
That that
can can
mean mean
community community
organizing organize
from from
below below
, ,
but but
it it
can can
also also
mean mean
possibilities possibility
from from
above above
. .
And and
I i
say say
that that
because because
the the
system system
in in
Turkey turkey
is be
notable notable
. .
Turkey turkey
has have
two two
great great
laws law
that that
protect protect
squatters squatter
. .
One one
is be
that that
— -
it it
' '
s s
called call
" "
gecekondu gecekondu
" "
in in
Turkish turkish
, ,
which which
means mean
" "
built build
overnight overnight
, ,
" "
and and
if if
you you
build build
your your
house house
overnight overnight
in in
Turkey turkey
, ,
you you
can can
' '
t t
be be
evicted evict
without without
due due
process process
of of
law law
, ,
if if
they they
don don
' '
t t
catch catch
you you
during during
the the
night night
. .
And and
the the
second second
aspect aspect
is be
that that
once once
you you
have have
2 @card@
, ,
000 @card@
people people
in in
the the
community community
, ,
you you
can can
petition petition
the the
government government
to to
be be
recognized recognize
as as
a a
legal legal
sub-municipality sub-municipality
. .
And and
when when
you you
' '
re re
a a
legal legal
sub- sub-
municipality municipality
, ,
you you
suddenly suddenly
have have
politics politics
. .
You you
' '
re re
allowed allow
to to
have have
an an
elected elect
government government
, ,
collect collect
taxes tax
, ,
provide provide
municipal municipal
services service
, ,
and and
that that
' '
s s
exactly exactly
what what
they they
do do
. .
So so
, ,
these these
are be
the the
civic civic
leaders leader
of of
the the
future future
. .
The the
woman woman
in in
the the
center center
is be
Geeta geeta
Jiwa jiwa
. .
She she
lives live
in in
one one
of of
those those
tents tent
on on
the the
highway highway
median median
in in
Mumbai mumbai
. .
That that
' '
s s
Sureka sureka
Gundi gundi
; ;
she she
also also
lives live
with with
her her
family family
on on
the the
tent tent
along along
the the
same same
highway highway
median median
. .
They they
' '
re re
very very
outspoken outspoken
. .
They they
' '
re re
very very
active active
. .
They they
can can
be be
community community
leaders leader
. .
This this
woman woman
is be
Nine nine
, ,
which which
means mean
" "
grandma grandma
" "
in in
Turkish turkish
. .
And and
there there
were be
three three
old old
ladies lady
who who
lived live
in in
— -
that that
' '
s s
her her
self-built self-built
house house
behind behind
her her
— -
and and
they they
' '
ve ve
lived live
there there
for for
30 @card@
or or
40 @card@
years year
, ,
and and
they they
are be
the the
backbone backbone
of of
the the
community community
there there
. .
This this
is be
Richard richard
Muthama muthama
Peter peter
, ,
and and
he he
is be
an an
itinerant itinerant
street street
photographer photographer
in in
Kibera kibera
. .
He he
makes make
money money
taking take
pictures picture
of of
the the
neighborhood neighborhood
, ,
and and
the the
people people
in in
the the
neighborhood neighborhood
, ,
and and
is be
a a
great great
resource resource
in in
the the
community community
. .
And and
finally finally
my my
choice choice
to to
run run
for for
mayor mayor
of of
Rio rio
is be
Cezinio cezinio
, ,
the the
fruit fruit
merchant merchant
with with
his his
two two
kids kid
here here
, ,
and and
a a
more more
honest honest
and and
giving give
and and
caring care
man man
I i
don don
' '
t t
know know
. .
The the
future future
of of
these these
communities community
is be
in in
the the
people people
and and
in in
our our
ability ability
to to
work work
with with
those those
people people
. .
So so
, ,
I i
think think
the the
message message
I i
take take
, ,
from from
what what
I i
read read
from from
the the
book book
, ,
from from
what what
Armstrong armstrong
said say
, ,
and and
from from
all all
these these
people people
, ,
is be
that that
these these
are be
neighborhoods neighborhood
. .
The the
issue issue
is be
not not
urban urban
poverty poverty
. .
The the
issue issue
is be
not not
the the
larger large
, ,
over-arching over-arch
thing thing
. .
The the
issue issue
is be
for for
us us
to to
recognize recognize
that that
these these
are be
neighborhoods neighborhood
— -
this this
is be
a a
legitimate legitimate
form form
of of
urban urban
development development
— -
and and
that that
cities city
have have
to to
engage engage
these these
residents resident
, ,
because because
they they
are be
building build
the the
cities city
of of
the the
future future
. .
Thank thank
you you
very very
much much
. .
