Good good
Oh oh
, ,
yours yours
does do
? ?
Volunteer volunteer
: :
I i
can can
probably probably
do do
it it
. .
AB ab
: :
I i
' '
ll ll
talk talk
to to
you you
later later
. .
In in
the the
meanwhile meanwhile
, ,
let let
me me
conclude conclude
the the
first first
part part
of of
my my
show show
by by
doing do
something something
a a
little little
trickier tricky
. .
Let let
' '
s s
take take
the the
largest large
number number
on on
the the
board board
here here
, ,
8649 @card@
. .
Would would
you you
each each
enter enter
that that
on on
your your
calculator calculator
? ?
And and
instead instead
of of
squaring square
it it
this this
time time
, ,
I i
want want
you you
to to
take take
that that
number number
and and
multiply multiply
it it
by by
any any
three-digit three-digit
number number
that that
you you
want want
, ,
but but
don don
' '
t t
tell tell
me me
what what
you you
' '
re re
multiplying multiply
by by
— -
just just
multiply multiply
it it
by by
any any
random random
three-digit three-digit
number number
. .
So so
you you
should should
have have
as as
an an
answer answer
either either
a a
six-digit six-digit
or or
probably probably
a a
seven-digit seven-digit
number number
. .
How how
many many
digits digit
do do
you you
have have
, ,
six six
or or
seven seven
? ?
Seven seven
, ,
and and
yours yours
? ?
Seven seven
? ?
Seven seven
? ?
And and
, ,
uncertain uncertain
. .
Seven seven
. .
Is be
there there
any any
possible possible
way way
that that
I i
could could
know know
what what
seven-digit seven-digit
numbers number
you you
have have
? ?
Say say
" "
No no
. .
" "
Good good
, ,
then then
I i
shall shall
attempt attempt
the the
impossible impossible
— -
or or
at at
least least
the the
improbable improbable
. .
What what
I i
' '
d d
like like
each each
of of
you you
to to
do do
is be
to to
call call
out out
for for
me me
any any
six six
of of
your your
seven seven
digits digit
, ,
any any
six six
of of
them them
, ,
in in
any any
order order
you you
' '
d d
like like
. .
One one
digit digit
at at
a a
time time
, ,
I i
shall shall
try try
and and
determine determine
the the
digit digit
you you
' '
ve ve
left leave
out out
. .
Starting start
with with
your your
seven-digit seven-digit
number number
, ,
call call
out out
any any
six six
of of
them them
please please
. .
Volunteer volunteer
: :
1 @card@
, ,
9 @card@
, ,
7 @card@
, ,
0 @card@
, ,
4 @card@
, ,
2 @card@
. .
AB ab
: :
Did do
you you
leave leave
out out
the the
number number
6 @card@
? ?
Good good
, ,
OK ok
, ,
that that
' '
s s
one one
. .
You you
have have
a a
seven-digit seven-digit
number number
, ,
call call
out out
any any
six six
of of
them them
please please
. .
Volunteer volunteer
: :
4 @card@
, ,
4 @card@
, ,
8 @card@
, ,
7 @card@
, ,
5 @card@
. .
I i
think think
I i
only only
heard hear
five five
numbers number
. .
I i
— -
wait wait
— -
44875 @card@
— -
did do
you you
leave leave
out out
the the
number number
6 @card@
? ?
Same same
as as
she she
did do
, ,
OK ok
. .
You you
' '
ve ve
got get
a a
seven-digit seven-digit
number number
— -
call call
out out
any any
six six
of of
them them
loud loud
and and
clear clear
. .
Volunteer volunteer
: :
0 @card@
, ,
7 @card@
, ,
9 @card@
, ,
0 @card@
, ,
4 @card@
, ,
4 @card@
. .
I i
think think
you you
left leave
out out
the the
number number
3 @card@
? ?
AB ab
: :
That that
' '
s s
three three
. .
The the
odds odd
of of
me me
getting get
all all
four four
of of
these these
right right
by by
random random
guessing guess
would would
be be
one one
in in
10 @card@
, ,
000 @card@
: :
10 @card@
to to
the the
fourth fourth
power power
. .
OK ok
, ,
any any
six six
of of
them them
. .
Really really
scramble scramble
them them
up up
this this
time time
, ,
please please
. .
Volunteer volunteer
: :
2 @card@
, ,
6 @card@
, ,
3 @card@
, ,
9 @card@
, ,
7 @card@
, ,
2 @card@
. .
Did do
you you
leave leave
out out
the the
number number
7 @card@
? ?
And and
let let
' '
s s
give give
all all
four four
of of
these these
people people
a a
nice nice
round round
of of
applause applause
. .
Thank thank
you you
very very
much much
. .
For for
my my
next next
number number
— -
while while
I i
mentally mentally
recharge recharge
my my
batteries battery
, ,
I i
have have
one one
more more
question question
for for
the the
audience audience
. .
By by
any any
chance chance
, ,
does do
anybody anybody
here here
happen happen
to to
know know
the the
day day
of of
the the
week week
that that
they they
were be
born bear
on on
? ?
If if
you you
think think
you you
know know
your your
birth birth
day day
, ,
raise raise
your your
hand hand
. .
Let let
' '
s s
see see
, ,
starting start
with with
— -
let let
' '
s s
start start
with with
a a
gentleman gentleman
first first
. .
What what
year year
was be
it it
, ,
first first
of of
all all
? ?
That that
' '
s s
why why
I i
pick pick
a a
gentleman gentleman
first first
. .
Audience audience
: :
1953 @card@
. .
1953 @card@
, ,
and and
the the
month month
? ?
November november
what what
? ?
23rd 23rd
— -
was be
that that
a a
Monday monday
? ?
Audience audience
: :
Yes yes
. .
Good good
. .
Somebody somebody
else else
? ?
I i
haven haven
' '
t t
seen see
any any
women woman
' '
s s
hands hand
up up
. .
OK ok
, ,
how how
about about
you you
, ,
what what
year year
? ?
1949 @card@
, ,
and and
the the
month month
? ?
October october
what what
? ?
Fifth fifth
— -
was be
that that
a a
Wednesday wednesday
? ?
Yes yes
! !
I i
' '
ll ll
go go
way way
to to
the the
back back
right right
now now
, ,
how how
about about
you you
? ?
Yell yell
it it
out out
, ,
what what
year year
? ?
Audience audience
: :
1959 @card@
. .
1959 @card@
, ,
OK ok
— -
and and
the the
month month
? ?
Audience audience
: :
February february
. .
February february
what what
? ?
Sixth sixth
— -
was be
that that
a a
Friday friday
? ?
Audience audience
: :
Yes yes
. .
Good good
, ,
how how
about about
the the
person person
behind behind
her her
? ?
Call call
out out
, ,
what what
year year
was be
it it
? ?
Audience audience
: :
1947 @card@
. .
AB ab
: :
1947 @card@
, ,
and and
the the
month month
? ?
Audience audience
: :
May may
. .
AB ab
: :
May may
what what
? ?
Seventh seventh
— -
would would
that that
be be
a a
Wednesday wednesday
? ?
Audience audience
: :
Yes yes
. .
AB ab
: :
Thank thank
you you
very very
much much
. .
Anybody anybody
here here
who who
' '
d d
like like
to to
know know
the the
day day
of of
the the
week week
they they
were be
born bear
? ?
We we
can can
do do
it it
that that
way way
. .
Of of
course course
, ,
I i
could could
just just
make make
up up
an an
answer answer
and and
you you
wouldn wouldn
' '
t t
know know
, ,
so so
I i
come come
prepared prepare
for for
that that
. .
I i
brought bring
with with
me me
a a
book book
of of
calendars calendar
. .
It it
goes go
as as
far far
back back
into into
the the
past past
as as
1800 @card@
, ,
because because
you you
never never
know know
. .
I i
didn didn
' '
t t
mean mean
to to
look look
at at
you you
, ,
sir sir
— -
you you
were be
just just
sitting sit
there there
. .
Anyway anyway
, ,
Chris chris
, ,
you you
can can
help help
me me
out out
here here
, ,
if if
you you
wouldn wouldn
' '
t t
mind mind
. .
This this
is be
a a
book book
of of
calendars calendar
. .
Who who
wanted want
to to
know know
their their
birth birth
day day
? ?
What what
year year
was be
it it
, ,
first first
of of
all all
? ?
Audience audience
: :
1966 @card@
. .
66 @card@
— -
turn turn
to to
the the
calendar calendar
with with
1966 @card@
. .
And and
what what
month month
? ?
Audience audience
: :
April april
. .
AB ab
: :
April april
what what
? ?
Audience audience
: :
17th 17th
. .
I i
believe believe
that that
was be
a a
Sunday sunday
. .
Can can
you you
confirm confirm
, ,
Chris chris
? ?
Chris chris
Anderson anderson
: :
Yes yes
. .
AB ab
: :
I i
' '
ll ll
tell tell
you you
what what
, ,
Chris chris
: :
as as
long long
as as
you you
have have
that that
book book
in in
front front
of of
you you
, ,
do do
me me
a a
favor favor
, ,
turn turn
to to
a a
year year
outside outside
of of
the the
1900s 1900s
, ,
either either
into into
the the
1800s 1800s
or or
way way
into into
the the
2000s 2000s
— -
that that
' '
ll ll
be be
a a
much much
greater great
challenge challenge
for for
me me
. .
AB ab
: :
What what
year year
would would
you you
like like
? ?
CA ca
: :
1824 @card@
. .
AB ab
: :
1824 @card@
, ,
OK ok
. .
AB ab
: :
And and
what what
month month
? ?
CA ca
: :
June june
. .
AB ab
: :
June june
what what
? ?
CA ca
: :
Sixth sixth
. .
AB ab
: :
Was be
that that
a a
Sunday sunday
? ?
CA ca
: :
It it
was be
. .
AB ab
: :
And and
it it
was be
cloudy cloudy
. .
Good good
, ,
thank thank
you you
very very
much much
. .
But but
I i
' '
d d
like like
to to
wrap wrap
things thing
up up
now now
by by
alluding allude
to to
something something
from from
earlier early
in in
the the
presentation presentation
. .
There there
was be
a a
gentleman gentleman
up up
here here
who who
had have
a a
10-digit 10-digit
calculator calculator
. .
Where where
is be
he he
, ,
would would
you you
stand stand
up up
, ,
10-digit 10-digit
guy guy
? ?
OK ok
, ,
stand stand
up up
for for
me me
just just
for for
a a
second second
, ,
so so
I i
can can
see see
where where
you you
are be
. .
You you
have have
a a
10-digit 10-digit
calculator calculator
, ,
sir sir
, ,
as as
well well
? ?
OK ok
, ,
what what
I i
' '
m m
going go
to to
try try
and and
do do
, ,
is be
to to
square square
in in
my my
head head
a a
five-digit five-digit
number number
requiring require
a a
10-digit 10-digit
calculator calculator
. .
But but
to to
make make
my my
job job
more more
interesting interesting
for for
you you
, ,
as as
well well
as as
for for
me me
, ,
I i
' '
m m
going go
to to
do do
this this
problem problem
thinking think
out out
loud loud
. .
So so
you you
can can
actually actually
, ,
honestly honestly
hear hear
what what
' '
s s
going go
on on
in in
my my
mind mind
while while
I i
do do
a a
calculation calculation
of of
this this
size size
. .
Now now
, ,
I i
have have
to to
apologize apologize
to to
our our
magician magician
friend friend
Lennart lennart
Green green
. .
I i
know know
as as
a a
magician magician
we we
' '
re re
not not
supposed suppose
to to
reveal reveal
our our
secrets secret
, ,
but but
I i
' '
m m
not not
too too
afraid afraid
that that
people people
are be
going go
to to
start start
doing do
my my
show show
next next
week week
, ,
so so
— -
I i
think think
we we
' '
re re
OK ok
. .
So so
, ,
let let
' '
s s
see see
, ,
let let
' '
s s
take take
a a
different different
row row
of of
people people
, ,
starting start
with with
you you
. .
I i
' '
ll ll
get get
five five
digits digit
: :
one one
, ,
two two
, ,
three three
, ,
four four
. .
Oh oh
, ,
I i
did do
this this
row row
already already
. .
Let let
' '
s s
do do
the the
row row
before before
you you
, ,
starting start
with with
you you
: :
one one
, ,
two two
, ,
three three
, ,
four four
, ,
five five
. .
Call call
out out
a a
single single
digit digit
— -
that that
will will
be be
the the
five-digit five-digit
number number
that that
I i
will will
try try
to to
square square
, ,
go go
ahead ahead
. .
Five five
. .
Seven seven
. .
Six six
. .
Eight eight
. .
Three three
. .
57 @card@
, ,
683 @card@
— -
squared square
. .
Yuck yuck
. .
Let let
me me
explain explain
to to
you you
how how
I i
' '
m m
going go
to to
attempt attempt
this this
problem problem
. .
I i
' '
m m
going go
to to
break break
the the
problem problem
down down
into into
three three
parts part
. .
I i
' '
ll ll
do do
57 @card@
, ,
000 @card@
squared square
, ,
plus plus
683 @card@
squared square
, ,
plus plus
57 @card@
, ,
000 @card@
times times
683 @card@
times times
two two
. .
Add add
all all
those those
numbers number
together together
, ,
and and
with with
any any
luck luck
, ,
arrive arrive
at at
the the
answer answer
. .
Now now
, ,
let let
me me
recap recap
. .
Thank thank
you you
. .
While while
I i
explain explain
something something
else else
— -
— -
I i
know know
, ,
that that
you you
can can
use use
, ,
right right
? ?
While while
I i
do do
these these
calculations calculation
, ,
you you
might might
hear hear
certain certain
words word
, ,
as as
opposed oppose
to to
numbers number
, ,
creep creep
into into
the the
calculation calculation
. .
Let let
me me
explain explain
what what
that that
is be
. .
This this
is be
a a
phonetic phonetic
code code
, ,
a a
mnemonic mnemonic
device device
that that
I i
use use
, ,
that that
allows allow
me me
to to
convert convert
numbers number
into into
words word
. .
I i
store store
them them
as as
words word
, ,
and and
later later
on on
retrieve retrieve
them them
as as
numbers number
. .
I i
know know
it it
sounds sound
complicated complicated
; ;
it it
' '
s s
not not
. .
I i
don don
' '
t t
want want
you you
to to
think think
you you
' '
re re
seeing see
something something
out out
of of
" "
Rain rain
Man man
. .
" "
There there
' '
s s
definitely definitely
a a
method method
to to
my my
madness madness
— -
definitely definitely
, ,
definitely definitely
. .
Sorry sorry
. .
If if
you you
want want
to to
talk talk
to to
me me
about about
ADHD adhd
afterwards afterwards
, ,
you you
can can
talk talk
to to
me me
then then
. .
By by
the the
way way
, ,
one one
last last
instruction instruction
, ,
for for
my my
judges judge
with with
the the
calculators calculator
— -
you you
know know
who who
you you
are be
— -
there there
is be
at at
least least
a a
50 @card@
percent percent
chance chance
that that
I i
will will
make make
a a
mistake mistake
here here
. .
If if
I i
do do
, ,
don don
' '
t t
tell tell
me me
what what
the the
mistake mistake
is be
; ;
just just
say say
, ,
" "
you you
' '
re re
close close
, ,
" "
or or
something something
like like
that that
, ,
and and
I i
' '
ll ll
try try
and and
figure figure
out out
the the
answer answer
— -
which which
could could
be be
pretty pretty
entertaining entertaining
in in
itself itself
. .
If if
, ,
however however
, ,
I i
am be
right right
, ,
whatever whatever
you you
do do
, ,
don don
' '
t t
keep keep
it it
to to
yourself yourself
, ,
OK ok
? ?
Make make
sure sure
everybody everybody
knows know
that that
I i
got get
the the
answer answer
right right
, ,
because because
this this
is be
my my
big big
finish finish
, ,
OK ok
. .
So so
, ,
without without
any any
more more
stalling stall
, ,
here here
we we
go go
. .
I i
' '
ll ll
start start
the the
problem problem
in in
the the
middle middle
, ,
with with
57 @card@
times times
683 @card@
. .
57 @card@
times time
68 @card@
is be
3 @card@
, ,
400 @card@
, ,
plus plus
476 @card@
is be
3876 @card@
, ,
that that
' '
s s
38 @card@
, ,
760 @card@
plus plus
171 @card@
, ,
38 @card@
, ,
760 @card@
plus plus
171 @card@
is be
38 @card@
, ,
931 @card@
. .
38 @card@
, ,
931 @card@
; ;
double double
that that
to to
get get
77 @card@
, ,
862 @card@
. .
77 @card@
, ,
862 @card@
becomes become
cookie cookie
fission fission
, ,
cookie cookie
fission fission
is be
77 @card@
, ,
822 @card@
. .
That that
seems seem
right right
, ,
I i
' '
ll ll
go go
on on
. .
Cookie cookie
fission fission
, ,
OK ok
. .
Next next
, ,
I i
do do
57 @card@
squared square
, ,
which which
is be
3 @card@
, ,
249 @card@
, ,
so so
I i
can can
say say
, ,
three three
billion billion
. .
Take take
the the
249 @card@
, ,
add add
that that
to to
cookie cookie
, ,
249 @card@
, ,
oops oops
, ,
but but
I i
see see
a a
carry carry
coming come
— -
249 @card@
— -
add add
that that
to to
cookie cookie
, ,
250 @card@
plus plus
77 @card@
, ,
is be
327 @card@
million million
— -
fission fission
, ,
fission fission
, ,
OK ok
, ,
finally finally
, ,
we we
do do
683 @card@
squared square
, ,
that that
' '
s s
700 @card@
times time
666 @card@
, ,
plus plus
17 @card@
squared square
is be
466 @card@
, ,
489 @card@
, ,
rev rev
up up
if if
I i
need need
it it
, ,
rev rev
up up
, ,
take take
the the
466 @card@
, ,
add add
that that
to to
fission fission
, ,
to to
get get
, ,
oh oh
gee gee
— -
328 @card@
, ,
489 @card@
. .
Audience audience
: :
Yeah yeah
! !
AB ab
: :
Good good
. .
Thank thank
you you
very very
much much
. .
I i
hope hope
you you
enjoyed enjoy
mathemagics mathemagic
. .
Thank thank
you you
. .
