Melati melati
to to
say say
no no
to to
plastic plastic
bags bag
in in
many many
other other
places place
, ,
from from
Hawaii hawaii
to to
Rwanda rwanda
and and
to to
severals severals
cities city
like like
Oakland oakland
and and
Dublin dublin
. .
IW iw
: :
And and
so so
the the
idea idea
turned turn
into into
the the
launch launch
of of
" "
Bye bye
Bye bye
Plastic plastic
Bags bag
. .
" "
MW mw
: :
In in
the the
years year
that that
we we
have have
been be
campaigning campaign
, ,
we we
have have
learned learn
a a
lot lot
. .
Lesson lesson
number number
one one
: :
you you
cannot can
do do
it it
all all
by by
yourself yourself
. .
You you
need need
a a
big big
team team
of of
like-minded like-minded
kids kid
, ,
and and
so so
we we
formed form
the the
Bye bye
Bye bye
Plastic plastic
Bags bag
crew crew
. .
The the
volunteer volunteer
team team
includes include
children child
from from
all all
over over
the the
island island
, ,
from from
both both
international international
and and
local local
schools school
. .
And and
together together
with with
them them
, ,
we we
started start
a a
multi-layered multi-layered
approach approach
, ,
based base
on on
an an
on- on-
and and
off-line off-line
signature signature
petition petition
, ,
educational educational
and and
inspirational inspirational
presentations presentation
at at
schools school
and and
we we
raise raise
general general
awareness awareness
at at
markets market
, ,
festivals festival
, ,
beach beach
clean-ups clean-up
. .
And and
last last
but but
not not
least least
, ,
we we
distribute distribute
alternative alternative
bags bag
, ,
bags bag
like like
net net
bags bag
, ,
recycled recycled
newspaper newspaper
bags bag
or or
100 @card@
percent percent
organic organic
material material
bags bag
, ,
all all
made make
by by
local local
initiatives initiative
on on
the the
island island
. .
IW iw
: :
We we
run run
a a
pilot pilot
village village
, ,
home home
of of
800 @card@
families family
. .
The the
village village
mayor mayor
was be
our our
first first
friend friend
and and
he he
loved love
our our
T-shirts t-shirt
, ,
so so
that that
helped help
. .
We we
focused focus
on on
making make
the the
customers customer
aware aware
, ,
because because
that that
' '
s s
where where
the the
change change
needs need
to to
happen happen
. .
The the
village village
is be
already already
two-thirds two-thirds
along along
the the
way way
of of
becoming become
plastic plastic
bag bag
free free
. .
Our our
first first
attempts attempt
to to
get get
the the
government government
of of
Bali bali
on on
board board
failed fail
. .
So so
we we
thought think
, ,
" "
Hmm hmm
. .
. .
. .
a a
petition petition
with with
one one
million million
signatures signature
. .
They they
can can
' '
t t
ignore ignore
us us
, ,
right right
? ?
" "
MW mw
: :
Right right
! !
IW iw
: :
But but
, ,
who who
would would
have have
guessed guess
one one
million million
signatures signature
is be
, ,
like like
, ,
a a
thousand thousand
times time
a a
thousand thousand
? ?
We we
got get
stuck stuck
â â
till till
we we
learned learn
lesson lesson
number number
two two
: :
think think
outside outside
the the
box box
. .
Someone someone
mentioned mention
that that
the the
Bali bali
airport airport
handles handle
16 @card@
million million
arrivals arrival
and and
departures departure
a a
year year
. .
MW mw
: :
But but
how how
do do
we we
get get
into into
the the
airport airport
? ?
And and
here here
comes come
lesson lesson
number number
three three
: :
persistence persistence
. .
Off off
we we
headed head
to to
the the
airport airport
. .
We we
got get
past past
the the
janitor janitor
. .
And and
then then
it it
was be
his his
boss boss
' '
s s
boss boss
, ,
and and
then then
the the
assistant assistant
office office
manager manager
, ,
and and
then then
the the
office office
manager manager
, ,
and and
then then
. .
. .
. .
we we
got get
shuffled shuffle
down down
two two
levels level
and and
thought think
, ,
well well
, ,
here here
comes come
the the
janitor janitor
again again
. .
And and
after after
several several
days day
knocking knock
on on
doors door
and and
just just
being being
kids kid
on on
a a
mission mission
, ,
we we
finally finally
got get
to to
the the
commercial commercial
manager manager
of of
Bali bali
airports airport
. .
And and
we we
gave give
him him
the the
" "
Bali bali
of of
plastic plastic
bags bag
" "
speech speech
, ,
and and
being be
a a
very very
nice nice
man man
, ,
he he
said say
, ,
[ [
imitating imitate
the the
man man
' '
s s
voice voice
] ]
" "
I i
cannot can
believe believe
what what
I i
' '
m m
about about
say say
, ,
but but
I i
' '
m m
going go
to to
give give
authorization authorization
to to
collect collect
signatures signature
behind behind
customs custom
and and
immigrations immigration
. .
" "
IW iw
: :
In in
our our
first first
hour hour
and and
a a
half half
there there
, ,
we we
got get
almost almost
1 @card@
, ,
000 @card@
signatures signature
. .
How how
cool cool
is be
that that
? ?
Lesson lesson
number number
four four
: :
you you
need need
champions champion
at at
all all
levels level
of of
society society
, ,
from from
students student
to to
commercial commercial
managers manager
to to
famous famous
people people
. .
And and
thanks thanks
to to
the the
attraction attraction
of of
Green green
School school
, ,
we we
had have
access access
to to
a a
steady steady
stream stream
of of
celebrities celebrity
. .
Ban ban
Ki ki
Moon moon
taught teach
us us
that that
Secretary-Generals secretary-general
of of
the the
United united
Nations nations
don don
' '
t t
sign sign
petitions petition
â â
even even
if if
kids kid
ask ask
nicely nicely
. .
But but
he he
promised promise
to to
spread spread
the the
word word
, ,
and and
now now
we we
work work
closely closely
with with
the the
United united
Nations nations
. .
MW mw
: :
Jane jane
Goodall goodall
taught teach
us us
the the
power power
of of
a a
people people
' '
s s
network network
. .
She she
started start
with with
just just
one one
Roots roots
& &
Shoots shoot
group group
and and
now now
she she
has have
4 @card@
, ,
000 @card@
groups group
around around
the the
world world
. .
We we
are be
one one
of of
them them
. .
She she
' '
s s
a a
real real
inspiration inspiration
. .
If if
you you
' '
re re
a a
fellow fellow
Rotarian rotarian
, ,
nice nice
to to
meet meet
you you
. .
We we
' '
re re
Interactors interactors
, ,
the the
youngest young
department department
of of
Rotary rotary
International international
. .
IW iw
: :
But but
we we
have have
also also
learned learn
much much
about about
patience patience
, ,
MW mw
: :
how how
to to
deal deal
with with
frustrations frustration
, ,
IW iw
: :
leadership leadership
, ,
MW mw
: :
teamwork teamwork
, ,
IW iw
: :
friendship friendship
, ,
MW mw
: :
we we
learned learn
more more
about about
the the
Balinese balinese
and and
their their
culture culture
IW iw
: :
and and
we we
learned learn
about about
the the
importance importance
of of
commitment commitment
. .
MW mw
: :
It it
' '
s s
not not
always always
easy easy
. .
Sometimes sometimes
it it
does do
get get
a a
little little
bit bit
hard hard
to to
walk walk
your your
talk talk
. .
IW iw
: :
But but
last last
year year
, ,
we we
did do
exactly exactly
that that
. .
We we
went go
to to
India india
to to
give give
a a
talk talk
, ,
and and
our our
parents parent
took take
us us
to to
visit visit
the the
former former
private private
house house
of of
Mahatma mahatma
Gandhi gandhi
. .
We we
learned learn
about about
the the
power power
of of
hunger hunger
strikes strike
he he
did do
to to
reach reach
his his
goals goal
. .
Yes yes
, ,
by by
the the
end end
of of
the the
tour tour
, ,
when when
we we
met meet
our our
parents parent
again again
, ,
we we
both both
made make
a a
decision decision
and and
said say
, ,
" "
We we
' '
re re
going go
on on
a a
hunger hunger
strike strike
! !
" "
MW mw
: :
And and
you you
can can
probably probably
imagine imagine
their their
faces face
. .
It it
took take
a a
lot lot
of of
convincing convincing
, ,
and and
not not
only only
to to
our our
parents parent
but but
to to
our our
friends friend
and and
to to
our our
teachers teacher
as as
well well
. .
Isabel isabel
and and
I i
were be
serious serious
about about
doing do
this this
. .
So so
we we
met meet
with with
a a
nutritionist nutritionist
, ,
and and
we we
came come
up up
with with
a a
compromise compromise
of of
not not
eating eat
from from
sunrise sunrise
to to
sunset sunset
every every
day day
until until
the the
governor governor
of of
Bali bali
would would
agree agree
to to
meet meet
with with
us us
to to
talk talk
about about
how how
to to
stop stop
plastic plastic
bags bag
on on
Bali bali
. .
IW iw
: :
Our our
" "
mogak mogak
makan makan
, ,
" "
as as
it it
is be
called call
in in
Bahasa bahasa
Indonesia indonesia
, ,
started start
. .
We we
used use
social social
media medium
to to
support support
our our
goal goal
and and
already already
on on
day day
two two
, ,
police police
started start
to to
come come
to to
our our
home home
and and
school school
. .
What what
were be
these these
two two
girls girl
doing do
? ?
We we
knew know
we we
weren weren
' '
t t
making make
the the
governor governor
look look
his his
best good
by by
doing do
this this
food food
strike strike
â â
we we
could could
have have
gone go
to to
jail jail
. .
But but
, ,
hey hey
, ,
it it
worked work
. .
Twenty-four twenty-four
hours hour
later later
, ,
we we
were be
picked pick
up up
from from
school school
and and
escorted escort
to to
the the
office office
of of
the the
governor governor
. .
MW mw
: :
And and
there there
he he
was be
â â
waiting wait
for for
us us
to to
meet meet
and and
speak speak
, ,
being be
all all
supportive supportive
and and
thankful thankful
for for
our our
willingness willingness
to to
care care
for for
the the
beauty beauty
and and
the the
environment environment
of of
Bali bali
. .
He he
signed sign
a a
promise promise
to to
help help
the the
people people
of of
Bali bali
say say
no no
to to
plastic plastic
bags bag
. .
And and
we we
are be
now now
friends friend
, ,
and and
on on
a a
regular regular
basis basis
, ,
we we
remind remind
him him
and and
his his
team team
of of
the the
promises promise
he he
has have
made make
. .
And and
indeed indeed
, ,
recently recently
he he
stated state
and and
committed commit
that that
Bali bali
will will
be be
plastic plastic
bag bag
free free
by by
2018 @card@
. .
IW iw
: :
Also also
, ,
at at
the the
International international
Airport airport
of of
Bali bali
, ,
one one
of of
our our
supporters supporter
is be
planning plan
to to
start start
a a
plastic plastic
bag-free bag-free
policy policy
by by
2016 @card@
. .
MW mw
: :
Stop stop
handing hand
out out
free free
plastic plastic
bags bag
and and
bring bring
in in
your your
own own
reusable reusable
bag bag
is be
our our
next next
message message
to to
change change
that that
mindset mindset
of of
the the
public public
. .
IW iw
: :
Our our
short-term short-term
campaign campaign
, ,
" "
One one
Island island
/ /
One one
Voice voice
, ,
" "
is be
all all
about about
this this
. .
We we
check check
and and
recognize recognize
the the
shops shop
and and
restaurants restaurant
that that
have have
declared declare
themselves themselves
a a
plastic plastic
bag-free bag-free
zone zone
, ,
and and
we we
put put
this this
sticker sticker
at at
their their
entrance entrance
and and
publish publish
their their
names name
on on
social social
media medium
and and
some some
important important
magazines magazine
on on
Bali bali
. .
And and
conversely conversely
, ,
that that
highlights highlight
those those
who who
do do
not not
have have
the the
sticker sticker
. .
MW mw
: :
So so
, ,
why why
are be
we we
actually actually
telling tell
you you
all all
of of
this this
? ?
Well well
, ,
partly partly
, ,
it it
is be
because because
we we
are be
proud proud
of of
the the
results result
that that
, ,
together together
with with
our our
team team
, ,
we we
have have
been be
able able
to to
reach reach
. .
But but
also also
because because
along along
the the
way way
, ,
we we
have have
learned learn
that that
kids kid
can can
do do
things thing
. .
We we
can can
make make
things thing
happen happen
. .
Isabel isabel
and and
I i
were be
only only
10 @card@
and and
12 @card@
years year
old old
when when
we we
started start
this this
. .
We we
never never
had have
a a
business business
plan plan
, ,
nor nor
a a
fixed fix
strategy strategy
, ,
nor nor
any any
hidden hidden
agendas agenda
â â
just just
the the
idea idea
in in
front front
of of
us us
and and
a a
group group
of of
friends friend
working work
with with
us us
. .
All all
we we
wanted want
to to
do do
was be
stop stop
those those
plastic plastic
bags bag
from from
wrapping wrap
and and
suffocating suffocate
our our
beautiful beautiful
home home
. .
Kids kid
have have
a a
boundless boundless
energy energy
and and
a a
motivation motivation
to to
be be
the the
change change
the the
world world
needs need
. .
IW iw
: :
So so
to to
all all
the the
kids kid
of of
this this
beautiful beautiful
but but
challenging challenging
world world
: :
go go
for for
it it
! !
Make make
that that
difference difference
. .
We we
' '
re re
not not
telling tell
you you
it it
' '
s s
going go
to to
be be
easy easy
. .
We we
' '
re re
telling tell
you you
it it
' '
s s
going go
to to
be be
worth worth
it it
. .
Us us
kids kid
may may
only only
be be
25 @card@
percent percent
of of
the the
world world
' '
s s
population population
, ,
but but
we we
are be
100 @card@
percent percent
of of
the the
future future
. .
MW mw
: :
We we
still still
have have
a a
lot lot
of of
work work
to to
do do
, ,
but but
know know
that that
we we
still still
not not
stop stop
until until
the the
first first
question question
asked ask
when when
arriving arrive
at at
the the
Bali bali
airports airport
will will
be be
Both both
: :
" "
Welcome welcome
to to
Bali bali
, ,
do do
you you
have have
nay nay
plastic plastic
bags bag
to to
declare declare
? ?
" "
Om om
shanti shanti
shanti shanti
shanti shanti
om om
. .
Thank thank
you you
. .
