Bruno bruno
volume volume
is be
there there
and and
the the
R r
and and
D d
is be
being be
done do
, ,
we we
can can
expect expect
that that
the the
electric electric
car car
will will
be be
preferable preferable
. .
It it
won win
' '
t t
cost cost
more more
. .
It it
will will
have have
a a
much much
higher high
range range
. .
And and
so so
that that
green green
premium premium
that that
today today
is be
about about
15 @card@
percent percent
is be
headed head
to to
be be
zero zero
even even
without without
any any
government government
subsidies subsidy
. .
And and
so so
that that
' '
s s
magic magic
. .
That that
' '
s s
exactly exactly
what what
we we
need need
to to
do do
for for
every every
other other
category category
. .
Now now
, ,
an an
area area
like like
cement cement
, ,
where where
we we
haven haven
' '
t t
really really
gotten get
started start
yet yet
, ,
the the
green green
premium premium
today today
is be
almost almost
double double
the the
price price
. .
That that
is be
, ,
you you
pay pay
125 @card@
dollars dollar
for for
a a
ton ton
of of
cement cement
today today
but but
it it
would would
be be
almost almost
double double
that that
if if
you you
insisted insist
that that
it it
be be
green green
cement cement
. .
And and
so so
the the
way way
I i
think think
of of
this this
is be
in in
2050 @card@
we we
' '
ll ll
be be
talking talk
to to
India india
and and
saying say
to to
them them
, ,
" "
Please please
use use
the the
green green
products product
as as
you you
' '
re re
building building
basic basic
shelter shelter
, ,
you you
know know
, ,
simple simple
air air
conditioning conditioning
, ,
" "
which which
they they
' '
ll ll
need need
because because
of of
the the
heat heat
increase increase
or or
lighting lighting
at at
night night
for for
students student
. .
And and
unless unless
we we
' '
re re
willing willing
to to
subsidize subsidize
it it
or or
the the
price price
is be
very very
low low
, ,
they they
' '
ll ll
say say
, ,
" "
No no
, ,
this this
is be
a a
problem problem
that that
the the
rich rich
countries country
created create
, ,
that that
India india
is be
suffering suffer
from from
and and
you you
need need
to to
take take
care care
of of
it it
. .
" "
So so
only only
by by
bringing bring
that that
green green
premium premium
down down
very very
dramatically dramatically
, ,
about about
95 @card@
percent percent
across across
all all
categories category
, ,
will will
that that
conversation conversation
go go
well well
so so
that that
India india
can can
make make
that that
shift shift
. .
And and
so so
the the
key key
thing thing
here here
is be
that that
the the
US us
' '
s s
responsibility responsibility
is be
not not
just just
to to
zero zero
out out
its its
emissions emission
. .
That that
' '
s s
a a
very very
hard hard
thing thing
, ,
but but
we we
' '
re re
only only
15 @card@
percent percent
. .
Unless unless
we we
, ,
through through
our our
power power
of of
innovation innovation
, ,
make make
it it
so so
cheap cheap
for for
all all
countries country
to to
switch switch
all all
categories category
, ,
then then
we we
simply simply
aren aren
' '
t t
going go
to to
get get
there there
. .
And and
so so
the the
US us
really really
has have
to to
step step
up up
and and
use use
all all
of of
this this
innovative innovative
capacity capacity
every every
year year
for for
the the
next next
30 @card@
years year
. .
Giussani giussani
: :
What what
what what
needs need
to to
happen happen
in in
order order
for for
these these
breakthroughs breakthrough
to to
actually actually
occur occur
? ?
Who who
are be
the the
players player
who who
need need
to to
come come
together together
? ?
Gates gates
: :
Well well
, ,
innovation innovation
usually usually
happens happen
at at
a a
pace pace
of of
its its
own own
. .
Here here
we we
have have
this this
deadline deadline
, ,
2050 @card@
. .
And and
so so
we we
have have
to to
do do
everything everything
we we
can can
to to
accelerate accelerate
it it
. .
We we
need need
to to
raise raise
the the
R r
and and
D d
budgets budget
in in
these these
areas area
. .
In in
2015 @card@
I i
organized organize
, ,
along along
with with
President president
Hollande hollande
and and
Obama obama
, ,
a a
side side
event event
to to
the the
Paris paris
climate climate
talks talk
where where
what what
Prime prime
Minister minister
Modi modi
had have
labeled label
" "
mission mission
innovation innovation
" "
was be
a a
commitment commitment
to to
double double
R r
and and
D d
budgets budget
over over
a a
five-year five-year
period period
. .
And and
all all
the the
big big
countries country
came come
in in
and and
made make
that that
pledge pledge
. .
Then then
we we
need need
lots lot
of of
smart smart
people people
, ,
who who
, ,
instead instead
of of
working work
on on
other other
problems problem
, ,
are be
encouraged encourage
to to
work work
on on
these these
problems problem
. .
So so
coming come
up up
with with
funding funding
for for
them them
is be
very very
, ,
very very
important important
. .
I i
' '
m m
doing do
some some
of of
that that
through through
what what
I i
call call
Breakthrough breakthrough
Energy energy
Fellows fellows
. .
We we
need need
high-risk high-risk
capital capital
to to
invest invest
in in
these these
companies company
, ,
even even
though though
the the
risks risk
are be
very very
, ,
very very
high high
. .
And and
that that
' '
s s
-- --
There there
is be
now now
-- --
Breakthrough breakthrough
Energy energy
Ventures ventures
is be
one one
group group
doing do
that that
and and
drawing drawing
lots lot
of of
other other
people people
in in
. .
But but
then then
the the
most most
difficult difficult
thing thing
is be
we we
actually actually
need need
markets market
for for
these these
products product
even even
when when
they they
start start
out out
being be
more more
expensive expensive
. .
And and
that that
' '
s s
what what
I i
call call
Catalyst catalyst
, ,
organizing organize
the the
buying buy
power power
of of
consumers consumer
and and
companies company
and and
governments government
so so
that that
we we
get get
on on
the the
learning learn
curve curve
, ,
get get
the the
scale scale
going go
up up
, ,
like like
we we
did do
with with
solar solar
and and
wind wind
across across
all all
these these
categories category
. .
So so
it it
' '
s s
both both
supply supply
of of
innovation innovation
and and
demand demand
for for
the the
green green
products product
. .
That that
' '
s s
the the
combination combination
that that
can can
start start
us us
to to
make make
this this
change change
to to
the the
infrastructure infrastructure
of of
the the
entire entire
physical physical
economy economy
. .
Giussani giussani
: :
In in
terms term
of of
funding fund
all all
this this
, ,
the the
financial financial
system system
as as
a a
whole whole
right right
now now
is be
essentially essentially
funding fund
expansion expansion
of of
fossil fossil
fuels fuel
consistent consistent
with with
three three
degrees degree
Celsius celsius
increase increase
in in
global global
heating heating
. .
What what
do do
you you
say say
to to
the the
Finance finance
Committee committee
, ,
beyond beyond
the the
venture venture
capital capital
, ,
about about
the the
need need
to to
think think
and and
act act
differently differently
? ?
Gates gate
: :
Well well
, ,
if if
you you
look look
at at
the the
interest interest
rates rate
for for
a a
solar solar
field field
versus versus
any any
other other
type type
of of
investments investment
, ,
it it
' '
s s
not not
lower low
. .
You you
know know
, ,
money money
is be
very very
fungible fungible
. .
It it
' '
s s
going go
to to
, ,
you you
know know
, ,
different different
projects project
. .
But but
, ,
there there
' '
s s
no no
, ,
sort sort
of of
, ,
special special
rate rate
for for
climate-related climate-related
projects project
. .
Now now
, ,
you you
know know
, ,
governments government
can can
decide decide
through through
tax tax
incentives incentive
to to
improve improve
those those
things thing
. .
But but
you you
know know
, ,
this this
is be
not not
just just
about about
reporting report
numbers number
. .
It it
' '
s s
good good
to to
report report
numbers number
. .
But but
the the
steel steel
industry industry
is be
providing provide
a a
vital vital
service service
. .
Even even
gasoline gasoline
, ,
for for
98 @card@
percent percent
of of
the the
cars car
being be
purchased purchase
today today
, ,
allows allow
people people
to to
get get
to to
their their
job job
. .
And and
so so
, ,
you you
know know
, ,
just just
divestment divestment
alone alone
is be
not not
going go
to to
be be
the the
thing thing
that that
creates create
the the
new new
alternative alternative
and and
brings bring
the the
cost cost
of of
that that
down down
. .
So so
the the
finance finance
side side
will will
be be
important important
because because
the the
speed speed
of of
deployment deployment
-- --
Solar solar
and and
wind wind
needs need
to to
be be
accelerated accelerate
dramatically dramatically
beyond beyond
anything anything
we we
' '
ve ve
done do
today today
. .
In in
fact fact
, ,
you you
know know
, ,
on on
average average
, ,
we we
' '
ll ll
have have
to to
deploy deploy
three three
times time
as as
much much
every every
year year
as as
the the
peak peak
year year
so so
far far
. .
And and
so so
those those
are be
a a
key key
part part
of of
the the
solution solution
. .
They they
' '
re re
not not
the the
whole whole
solution solution
. .
But but
you you
know know
, ,
people people
sometimes sometimes
think think
just just
by by
putting put
numbers number
, ,
disclosing disclose
numbers number
, ,
that that
somehow somehow
it it
all all
changes change
or or
by by
divesting divest
that that
it it
all all
changes change
. .
The the
financial financial
sector sector
is be
important important
, ,
but but
without without
the the
innovation innovation
, ,
there there
' '
s s
nothing nothing
they they
can can
do do
. .
Giussani giussani
: :
A a
lot lot
of of
the the
current current
focus focus
is be
on on
cutting cut
emissions emission
by by
half half
by by
2030 @card@
and and
on on
the the
way way
to to
reaching reach
that that
zero zero
by by
2050 @card@
. .
And and
in in
the the
book book
, ,
you you
write write
that that
there there
is be
danger danger
in in
that that
kind kind
of of
thinking thinking
, ,
that that
we we
should should
keep keep
our our
main main
focus focus
on on
2050 @card@
. .
Can can
you you
explain explain
that that
? ?
Gates gate
: :
Well well
, ,
the the
only only
real real
measure measure
of of
how how
well well
we we
' '
re re
doing do
is be
the the
green green
premium premium
, ,
because because
that that
' '
s s
what what
determines determine
whether whether
India india
and and
other other
developing develop
countries country
will will
choose choose
to to
use use
the the
zero zero
emission emission
approach approach
in in
2050 @card@
. .
The the
idea idea
, ,
you you
know know
-- --
If if
you you
' '
re re
focusing focus
on on
short-term short-term
reductions reduction
, ,
then then
you you
could could
say say
, ,
oh oh
, ,
it it
' '
s s
fantastic fantastic
, ,
we we
just just
put put
billions billion
of of
dollars dollar
into into
natural-gas natural-gas
plants plant
. .
And and
even even
ignoring ignore
that that
there there
' '
s s
a a
lot lot
of of
leakage leakage
that that
doesn doesn
' '
t t
get get
properly properly
measured measure
, ,
you you
know know
, ,
give give
them them
full full
credit credit
and and
say say
that that
' '
s s
a a
50 @card@
percent percent
reduction reduction
. .
The the
lifetime lifetime
of of
that that
plant plant
is be
greater great
than than
30 @card@
years year
. .
You you
financed finance
it it
, ,
assuming assume
you you
' '
re re
getting get
value value
out out
of of
it it
over over
a a
longer long
period period
of of
time time
. .
So so
to to
say say
, ,
" "
Hey hey
, ,
hallelujah hallelujah
, ,
we we
switched switch
from from
coal coal
to to
natural natural
gas gas
, ,
" "
that that
has have
nothing nothing
to to
do do
with with
reaching reach
zero zero
. .
It it
sets set
you you
back back
because because
of of
the the
capital capital
spending spending
involved involve
there there
. .
And and
so so
it it
' '
s s
not not
a a
path path
to to
zero zero
if if
you you
' '
re re
just just
working work
on on
the the
easy easy
parts part
of of
the the
emission emission
. .
That that
' '
s s
not not
a a
path path
. .
The the
path path
is be
to to
take take
every every
source source
of of
emission emission
and and
say say
, ,
" "
Oh oh
, ,
my my
goodness goodness
, ,
how how
am be
I i
going go
to to
get get
that that
green green
premium premium
down down
? ?
How how
am be
I i
going go
to to
get get
that that
green green
premium premium
down down
? ?
" "
Otherwise otherwise
, ,
getting get
to to
50 @card@
percent percent
does do
not not
stop stop
the the
problems problem
. .
This this
is be
very very
tough tough
because because
the the
nature nature
is be
zero zero
. .
It it
' '
s s
not not
just just
, ,
you you
know know
, ,
a a
small small
decrease decrease
. .
Giussani giussani
: :
So so
getting get
the the
green green
premium premium
down down
, ,
so so
you you
mentioned mention
India india
. .
To to
make make
sure sure
that that
the the
transition transition
, ,
the the
clean clean
transition transition
, ,
is be
also also
an an
Indian indian
story story
and and
an an
African african
story story
and and
not not
only only
a a
Western western
story story
, ,
should should
rich rich
countries country
adopt adopt
the the
expensive expensive
clean clean
alternatives alternative
now now
, ,
to to
kind kind
of of
buy buy
down down
the the
green green
premium premium
and and
make make
technology technology
, ,
therefore therefore
, ,
more more
accessible accessible
to to
low-income low-income
countries country
? ?
Gates gate
: :
Absolutely absolutely
. .
You you
have have
to to
pick pick
which which
product product
paths path
with with
scale scale
will will
become become
low low
green-premium green-premium
products product
. .
And and
so so
you you
don don
' '
t t
want want
to to
just just
randomly randomly
pick pick
things thing
that that
are be
low-emission low-emission
. .
You you
have have
to to
pick pick
things thing
that that
will will
come come
down down
. .
So so
like like
, ,
you you
know know
, ,
so so
far far
, ,
hydrogen hydrogen
fuel fuel
cells cell
have have
not not
done do
that that
. .
Now now
they they
might might
in in
the the
future future
. .
Solar solar
, ,
wind wind
and and
lithium-ion lithium-ion
, ,
we we
' '
ve ve
seen see
these these
incredible incredible
cost cost
reductions reduction
. .
And and
so so
we we
have have
to to
duplicate duplicate
that that
for for
other other
areas area
, ,
things thing
like like
offshore offshore
wind wind
, ,
heat heat
pump pump
, ,
new new
ways way
of of
doing do
transmission transmission
. .
You you
know know
, ,
we we
have have
to to
keep keep
the the
electricity electricity
grid grid
reliable reliable
, ,
even even
in in
very very
bad bad
weather weather
conditions condition
. .
And and
so so
that that
' '
s s
where where
storage storage
or or
nuclear nuclear
and and
transmission transmission
will will
have have
to to
be be
scaled scale
up up
in in
a a
very very
significant significant
way way
, ,
which which
we we
now now
have have
this this
open-source open-source
model model
to to
look look
at at
that that
. .
And and
so so
the the
buying buying
of of
green green
products product
that that
demand demand
signal signal
, ,
what what
I i
call call
Catalyst catalyst
, ,
we we
' '
re re
going go
to to
have have
to to
orchestrate orchestrate
a a
lot lot
of of
money money
, ,
many many
tens ten
of of
billions billion
of of
dollars dollar
for for
that that
, ,
that that
is be
one one
of of
the the
most most
expensive expensive
pieces piece
so so
that that
the the
improvements improvement
come come
in in
these these
other other
areas area
and and
some some
of of
them them
we we
haven haven
' '
t t
even even
gotten get
started start
on on
. .
Giussani giussani
: :
Many many
people people
believe believe
actually actually
that that
the the
climate climate
question question
is be
mostly mostly
a a
question question
of of
consuming consume
less less
and and
particularly particularly
consuming consume
less less
energy energy
. .
And and
in in
the the
book book
, ,
you you
actually actually
write write
several several
times time
that that
we we
need need
to to
consume consume
more more
energy energy
. .
Why why
? ?
Gates gate
: :
Well well
, ,
the the
basic basic
living living
conditions condition
that that
we we
take take
for for
granted grant
should should
be be
made make
available available
to to
all all
humans human
. .
And and
the the
human human
population population
is be
growing grow
. .
And and
so so
you you
' '
re re
going go
-- --
as as
you you
provide provide
shelter shelter
, ,
heating heating
and and
air air
conditioning conditioning
, ,
which which
anywhere anywhere
near near
the the
equator equator
will will
be be
more more
in in
demand demand
since since
you you
' '
ll ll
have have
many many
days day
where where
you you
can can
' '
t t
go go
outdoors outdoors
at at
all all
. .
So so
we we
' '
re re
not not
going go
to to
stop stop
making make
shelter shelter
. .
We we
' '
re re
not not
going go
to to
stop stop
making make
food food
. .
And and
so so
we we
need need
to to
be be
able able
to to
multiply multiply
those those
processes process
by by
zero zero
. .
That that
is be
, ,
you you
make make
shelter shelter
, ,
but but
there there
' '
s s
no no
emissions emission
. .
You you
make make
food food
, ,
but but
there there
' '
s s
no no
emissions emission
. .
That that
' '
s s
how how
you you
get get
all all
the the
way way
down down
to to
zero zero
. .
Now now
, ,
it it
' '
s s
made make
somewhat somewhat
easier easy
if if
rich rich
countries country
are be
consuming consume
less less
, ,
but but
how how
far far
will will
that that
go go
? ?
Giussani giussani
: :
So so
if if
I i
summarize summarize
in in
my my
head head
your your
book book
, ,
you you
are be
basically basically
suggesting suggest
that that
if if
we we
eliminate eliminate
the the
green green
premium premium
, ,
the the
transition transition
somehow somehow
can can
occur occur
, ,
the the
cost cost
and and
technology technology
, ,
green green
premium premium
and and
breakthroughs breakthrough
are be
the the
key key
drivers driver
. .
But but
, ,
you you
know know
, ,
you you
think think
of of
climate climate
and and
climate climate
is be
kind kind
of of
a a
wicked wicked
problem problem
. .
It it
has have
implications implication
that that
are be
social social
, ,
political political
, ,
behavioral behavioral
. .
It it
requires require
significant significant
citizen citizen
involvement involvement
. .
Are be
you you
focusing focus
too too
much much
on on
tech tech
and and
not not
enough enough
on on
those those
other other
variables variable
? ?
Gates gates
: :
Well well
, ,
we we
need need
all all
these these
things thing
. .
If if
you you
don don
' '
t t
have have
a a
deep deep
engagement engagement
, ,
particularly particularly
by by
the the
younger young
generation generation
making make
this this
a a
top top
priority priority
every every
year year
for for
the the
next next
30 @card@
years year
across across
all all
the the
developed develop
countries country
, ,
we we
will will
not not
succeed succeed
. .
And and
I i
' '
m m
not not
the the
one one
who who
knows know
how how
to to
activate activate
all all
those those
people people
. .
I i
' '
m m
super super
glad glad
that that
the the
people people
who who
are be
smart smart
about about
that that
are be
thinking think
. .
It it
' '
s s
a a
necessary necessary
element element
. .
Likewise likewise
, ,
the the
piece piece
that that
I i
do do
have have
experience experience
in in
, ,
innovation innovation
ecosystems ecosystem
, ,
that that
' '
s s
a a
necessary necessary
element element
. .
You you
will will
not not
get get
there there
just just
by by
saying say
, ,
" "
Please please
stop stop
using use
steel steel
. .
" "
You you
know know
, ,
it it
won win
' '
t t
happen happen
. .
And and
so so
the the
innovation innovation
piece piece
has have
to to
come come
along along
and and
particularly particularly
encouraging encourage
consumers consumer
to to
buy buy
electric electric
cars car
or or
artificial artificial
meat meat
or or
electric electric
heat heat
pumps pump
, ,
they they
' '
re re
part part
of of
driving drive
that that
demand demand
, ,
what what
I i
call call
the the
catalytic catalytic
demand demand
. .
That that
alone alone
won won
' '
t t
do do
it it
, ,
because because
some some
of of
these these
big big
projects project
, ,
like like
green green
hydrogen hydrogen
or or
green green
aviation aviation
fuel fuel
require require
billions billion
in in
capital capital
expense expense
. .
But but
the the
demand demand
signal signal
from from
enlightened enlightened
consumers consumer
is be
very very
important important
. .
Their their
political political
voice voice
is be
very very
important important
. .
Their their
pushing push
the the
companies company
they they
work work
at at
is be
very very
important important
. .
And and
so so
I i
absolutely absolutely
agree agree
that that
the the
broad broad
community community
who who
cares care
about about
this this
, ,
particularly particularly
if if
they they
understand understand
how how
hard hard
it it
is be
and and
don don
' '
t t
say say
, ,
" "
Oh oh
, ,
we we
can can
do do
it it
in in
10 @card@
years year
, ,
" "
they they
are be
super super
important important
. .
Giussani giussani
: :
You you
mentioned mention
artificial artificial
meat meat
and and
I i
know know
you you
love love
burgers burger
. .
Have have
you you
tried try
an an
artificial artificial
burger burger
, ,
and and
how how
did do
you you
find find
it it
? ?
Gates gates
: :
Yes yes
, ,
I i
' '
m m
an an
investor investor
in in
all all
these these
Impossible impossible
, ,
Beyond beyond
and and
various various
people people
. .
And and
I i
have have
to to
say say
, ,
the the
progress progress
in in
that that
sector sector
is be
greater great
than than
I i
expected expect
. .
Five five
years year
ago ago
, ,
I i
would would
have have
said say
that that
is be
as as
hard hard
as as
manufacturing manufacturing
. .
Now now
it it
' '
s s
very very
hard hard
, ,
but but
not not
as as
hard hard
as as
manufacturing manufacturing
. .
There there
is be
no no
Impossible impossible
Foods foods
of of
green green
steel steel
and and
the the
quality quality
is be
going go
to to
keep keep
improving improve
. .
It it
' '
s s
quite quite
good good
today today
. .
You you
know know
, ,
there there
' '
s s
other other
companies company
coming come
in in
to to
that that
space space
covering cover
different different
types type
of of
food food
. .
And and
as as
the the
volume volume
goes go
up up
, ,
the the
price price
will will
go go
down down
. .
And and
so so
I i
think think
it it
' '
s s
quite quite
promising promising
. .
I i
have have
to to
admit admit
, ,
100 @card@
percent percent
of of
my my
burgers burger
aren aren
' '
t t
artificial artificial
yet yet
, ,
it it
' '
s s
about about
50 @card@
percent percent
, ,
but but
I i
' '
ll ll
get get
there there
. .
Giussani giussani
: :
It it
' '
s s
a a
start start
. .
You you
' '
re re
already already
on on
2030 @card@
on on
that that
on on
that that
front front
. .
So so
you you
mentioned mention
your your
expertise expertise
in in
innovation innovation
. .
You you
have have
a a
couple couple
of of
lines line
of of
-- --
how how
to to
say say
it it
? ?
-- --
of of
exquisite exquisite
modesty modesty
in in
the the
book book
where where
you you
say say
you you
think think
like like
an an
engineer engineer
, ,
you you
don don
' '
t t
know know
much much
about about
politics politics
, ,
but but
actually actually
you you
talk talk
to to
top top
politicians politician
more more
than than
any any
of of
us us
. .
What what
do do
you you
ask ask
them them
and and
what what
do do
you you
hear hear
in in
return return
? ?
Gates gates
: :
Well well
, ,
they they
' '
re re
mostly mostly
responding respond
to to
voters voter
interest interest
. .
Most most
of of
the the
countries country
we we
' '
re re
talking talk
about about
are be
democracies democracy
. .
And and
you you
know know
, ,
there there
are be
resources resource
that that
will will
need need
to to
be be
put put
in in
like like
tax tax
credits credit
that that
encourage encourage
buying buy
green green
products product
or or
government government
purchasing purchasing
of of
green green
products product
at at
slightly slightly
higher high
prices price
. .
Those those
are be
real real
trade-offs trade-off
. .
And and
, ,
you you
know know
, ,
making make
sure sure
that that
the the
areas area
where where
there there
' '
s s
lots lot
of of
jobs job
in in
, ,
say say
, ,
coal coal
mining mining
, ,
or or
things thing
where where
the the
demand demand
will will
go go
down down
, ,
having have
that that
political political
sensitivity sensitivity
and and
thinking think
through through
, ,
can can
we we
put put
the the
new new
jobs job
in in
that that
area area
and and
what what
are be
the the
departments department
that that
handle handle
that that
. .
This this
is be
a a
tough tough
political political
problem problem
. .
And and
, ,
you you
know know
, ,
my my
admonition admonition
to to
people people
is be
not not
only only
to to
get get
educated educate
themselves themselves
, ,
but but
help help
educate educate
other other
people people
. .
And and
often often
, ,
like like
in in
the the
US us
, ,
if if
it it
' '
s s
people people
of of
both both
parties party
, ,
that that
' '
s s
even even
better well
. .
The the
level level
of of
interest interest
is be
high high
, ,
but but
it it
needs need
to to
get get
even even
higher high
, ,
almost almost
like like
a a
moral moral
mission mission
of of
all all
young young
people people
to to
go go
beyond beyond
their their
individual individual
success success
, ,
that that
they they
believe believe
that that
getting get
to to
zero zero
by by
2050 @card@
is be
critical critical
. .
Giussani giussani
: :
Thank thank
you you
. .
Now now
, ,
before before
we we
continue continue
the the
interview interview
, ,
I i
would would
like like
to to
take take
a a
short short
detour detour
for for
one one
minute minute
because because
my my
colleagues colleague
at at
TED-Ed ted-ed
have have
produced produce
a a
series series
of of
seven seven
animated animated
videos video
inspired inspire
by by
your your
book book
. .
They they
introduce introduce
the the
concept concept
of of
net net
zero zero
emissions emission
, ,
they they
discuss discuss
other other
questions question
and and
challenges challenge
that that
we we
are be
facing face
relating relate
to to
climate climate
. .
So so
I i
would would
like like
to to
share share
one one
short short
clip clip
from from
one one
of of
those those
animations animation
. .
You you
flip flip
a a
switch switch
, ,
coal coal
burns burn
in in
a a
furnace furnace
which which
turns turn
water water
into into
steam steam
. .
That that
