What what
regions region
, ,
or or
if if
we we
want want
, ,
to to
see see
other other
things thing
. .
So so
let let
' '
s s
go go
to to
the the
front front
doors door
and and
see see
what what
they they
look look
like like
. .
Go go
here here
, ,
and and
this this
is be
the the
world world
by by
front front
doors door
, ,
ordered order
by by
income income
. .
And and
we we
can can
see see
the the
big big
difference difference
from from
India india
, ,
Philippines philippine
, ,
China china
, ,
Ukraine ukraine
, ,
in in
these these
examples example
, ,
for for
instance instance
. .
What what
if if
we we
go go
into into
the the
home home
? ?
We we
can can
look look
at at
beds bed
. .
This this
is be
what what
beds bed
can can
look look
like like
. .
Doesn doesn
' '
t t
look look
like like
the the
glossy glossy
magazines magazine
. .
Doesn doesn
' '
t t
look look
like like
the the
scary scary
images image
in in
the the
media medium
. .
So so
remember remember
that that
the the
students student
in in
Sweden sweden
, ,
they they
thought think
they they
were be
in in
the the
middle middle
of of
the the
world world
income income
. .
So so
let let
' '
s s
go go
there there
. .
We we
zoom zoom
in in
here here
by by
filtering filter
the the
street street
to to
the the
middle middle
, ,
like like
this this
, ,
and and
then then
I i
ask ask
the the
students student
: :
Is be
this this
what what
your your
bedroom bedroom
looks look
like like
? ?
And and
they they
would would
actually actually
not not
feel feel
very very
at at
home home
. .
So so
we we
go go
down down
and and
see see
, ,
do do
they they
feel feel
more more
at at
home home
here here
? ?
And and
they they
would would
say say
, ,
no no
, ,
this this
is be
not not
what what
a a
Swedish swedish
typical typical
bedroom bedroom
looks look
like like
. .
We we
go go
up up
here here
, ,
and and
suddenly suddenly
, ,
they they
feel feel
sort sort
of of
at at
home home
. .
And and
we we
can can
see see
here here
in in
this this
image image
, ,
we we
see see
bedrooms bedroom
in in
China china
, ,
Netherlands netherlands
, ,
South south
Korea korea
, ,
France france
and and
the the
United united
States states
, ,
for for
instance instance
. .
So so
we we
can can
click click
here here
. .
If if
we we
want want
to to
know know
more more
about about
the the
family family
, ,
the the
home home
in in
which which
this this
bed bed
stands stand
, ,
we we
can can
just just
click click
it it
and and
go go
to to
the the
family family
, ,
and and
we we
can can
see see
all all
the the
images image
from from
that that
family family
. .
We we
can can
go go
this this
way way
, ,
too too
. .
And and
of of
course course
, ,
this this
is be
free free
for for
anyone anyone
to to
use use
. .
So so
just just
go go
here here
, ,
and and
please please
add add
more more
images image
, ,
of of
course course
. .
My my
personal personal
favorite favorite
that that
everyone everyone
always always
tries try
to to
make make
me me
not not
show show
, ,
I i
' '
m m
going go
to to
show show
you you
now now
, ,
and and
that that
' '
s s
toilets toilet
, ,
because because
you you
' '
re re
not not
really really
allowed allow
to to
look look
at at
people people
' '
s s
toilets toilet
, ,
but but
now now
we we
can can
just just
do do
it it
, ,
right right
? ?
So so
here here
we we
have have
a a
lot lot
of of
toilets toilet
. .
They they
look look
pretty pretty
much much
as as
we we
' '
re re
used use
to to
, ,
right right
? ?
And and
they they
are be
in in
China china
, ,
Netherlands netherlands
, ,
United united
States states
, ,
Nepal nepal
and and
so so
forth forth
, ,
Ukraine ukraine
, ,
France france
. .
And and
they they
look look
pretty pretty
similar similar
, ,
right right
? ?
But but
remember remember
, ,
we we
are be
in in
the the
top top
. .
So so
what what
about about
checking check
all all
the the
toilets toilet
? ?
Now now
it it
looks look
a a
bit bit
different different
, ,
doesn doesn
' '
t t
it it
? ?
So so
this this
way way
we we
can can
visually visually
browse browse
through through
categories category
of of
imagery imagery
, ,
using use
photos photo
as as
data datum
. .
But but
not not
everything everything
works work
as as
a a
photo photo
. .
Sometimes sometimes
it it
' '
s s
easier easier
to to
understand understand
what what
people people
do do
, ,
so so
we we
also also
do do
video video
snippets snippet
of of
everyday everyday
activities activity
, ,
such such
as as
washing wash
hands hand
, ,
doing do
laundry laundry
, ,
brushing brush
teeth tooth
, ,
and and
so so
on on
. .
And and
I i
' '
m m
going go
to to
show show
you you
a a
short short
snippet snippet
of of
tooth-brushing tooth-brushing
, ,
and and
we—re we—re
going go
to to
start start
at at
the the
top top
. .
So so
we we
see see
people people
brushing brush
their their
teeth tooth
. .
Pretty pretty
interesting interesting
to to
see see
the the
same same
type type
of of
plastic plastic
toothbrush toothbrush
is be
being be
used use
in in
all all
these these
places place
in in
the the
same same
way way
, ,
right right
? ?
Some some
are be
more more
serious serious
than than
others other
— -
but but
still still
, ,
the the
toothbrush toothbrush
is be
there there
. .
And and
then then
, ,
coming come
down down
to to
this this
poorer poor
end end
, ,
then then
we we
will will
see see
people people
start start
using use
sticks stick
, ,
and and
they they
will will
sometimes sometimes
use use
their their
finger finger
to to
brush brush
their their
teeth tooth
. .
So so
this this
particular particular
woman woman
in in
Malawi malawi
, ,
when when
she she
brushes brush
her her
teeth tooth
, ,
she she
scrapes scrape
some some
mud mud
off off
from from
her her
wall wall
and and
she she
mixes mix
it it
with with
water water
, ,
and and
then then
she she
' '
s s
brushing brush
. .
Therefore therefore
, ,
in in
the the
Dollar dollar
Street street
material material
, ,
we we
have have
tagged tag
this this
image image
not not
only only
as as
her her
wall wall
, ,
which which
it it
is be
, ,
but but
also also
as as
her her
toothpaste toothpaste
, ,
because because
that that
is be
also also
what what
she she
uses use
it it
for for
. .
So so
we we
can can
say say
, ,
in in
the the
poorer poor
end end
of of
the the
street street
, ,
you you
will will
use use
a a
stick stick
or or
your your
finger finger
, ,
you you
come come
to to
the the
middle middle
, ,
you you
will will
start start
using use
a a
toothbrush toothbrush
, ,
and and
then then
you you
come come
up up
to to
the the
top top
, ,
and and
you you
will will
start start
using use
one one
each each
. .
Pretty pretty
nice nice
, ,
not not
sharing share
a a
toothbrush toothbrush
with with
your your
grandma grandma
. .
And and
you you
can can
also also
look look
at at
some some
countries country
. .
Here here
, ,
we we
have have
the the
income income
distribution distribution
within within
the the
US us
, ,
most most
people people
in in
the the
middle middle
. .
We we
have have
a a
family family
we we
visited visit
in in
the the
richer rich
end end
, ,
the the
Howards howard
. .
We we
can can
see see
their their
home home
here here
. .
And and
we we
also also
visited visit
a a
family family
in in
the the
poorer poor
end end
, ,
down down
here here
. .
And and
then then
what what
we we
can can
do do
now now
is be
we we
can can
do do
instant instant
comparisons comparison
of of
things thing
in in
their their
homes home
. .
Let let
' '
s s
look look
in in
their their
cutlery cutlery
drawer drawer
. .
So so
, ,
observe observe
the the
Hadleys hadleys
: :
they they
have have
all all
their their
cutlery cutlery
in in
a a
green green
plastic plastic
box box
. .
and and
they they
have have
a a
few few
different different
types type
and and
some some
of of
them them
are be
plastic plastic
, ,
while while
the the
Howards howard
, ,
they they
have have
this this
wooden wooden
drawer drawer
with with
small small
wooden wooden
compartments compartment
in in
it it
and and
a a
section section
for for
each each
type type
of of
cutlery cutlery
. .
We we
can can
add add
more more
families family
, ,
and and
we we
can can
see see
kitchen kitchen
sinks sink
, ,
or or
maybe maybe
living live
rooms room
. .
Of of
course course
, ,
we we
can can
do do
the the
same same
in in
other other
countries country
. .
So so
we we
go go
to to
China china
, ,
we we
pick pick
three three
families family
. .
we we
look look
at at
their their
houses house
, ,
we we
can can
look look
at at
their their
sofas sofa
, ,
we we
can can
look look
at at
their their
stoves stove
. .
And and
when when
you you
see see
these these
stoves stove
, ,
I i
think think
it it
' '
s s
obvious obvious
that that
it it
' '
s s
a a
stupid stupid
thing thing
that that
usually usually
, ,
when when
we we
think think
about about
other other
countries country
, ,
we we
think think
they they
have have
a a
certain certain
way way
of of
doing do
things thing
. .
But but
look look
at at
these these
stoves stove
. .
Very very
different different
, ,
right right
, ,
because because
it it
depends depend
on on
what what
income income
level level
you you
have have
, ,
how how
you you
' '
re re
going go
to to
cook cook
your your
food food
. .
But but
the the
cool cool
thing thing
is be
when when
we we
start start
comparing compare
across across
countries country
. .
So so
here here
we we
have have
China china
and and
the the
US us
. .
See see
the the
big big
overlap overlap
between between
these these
two two
. .
So so
we we
picked pick
the the
two two
homes home
we we
have have
already already
seen see
in in
these these
countries country
, ,
the the
Wus wus
and and
the the
Howards howard
. .
Standing stand
in in
their their
bedroom bedroom
, ,
pretty pretty
hard hard
to to
tell tell
which which
one one
is be
China china
and and
which which
one one
is be
the the
US us
, ,
right right
? ?
Both both
have have
brown brown
leather leather
sofas sofa
, ,
and and
they they
have have
similar similar
play play
structures structure
. .
Most most
likely likely
both both
are be
made make
in in
China china
, ,
so so
, ,
I i
mean mean
, ,
that that
' '
s s
not not
very very
strange strange
— -
but but
that that
is be
similar similar
. .
We we
can can
of of
course course
go go
down down
to to
the the
other other
end end
of of
the the
street street
, ,
adding add
Nigeria nigeria
. .
So so
let let
' '
s s
compare compare
two two
homes home
in in
China china
and and
Nigeria nigeria
. .
Looking look
at at
the the
family family
photos photo
, ,
they they
do do
not not
look look
like like
they they
have have
a a
lot lot
in in
common common
, ,
do do
they they
? ?
But but
start start
seeing see
their their
ceiling ceiling
. .
They they
have have
a a
plastic plastic
shield shield
and and
grass grass
. .
They they
have have
the the
same same
kind kind
of of
sofa sofa
, ,
they they
store store
their their
grain grain
in in
similar similar
ways way
, ,
they they
' '
re re
going go
to to
have have
fish fish
for for
dinner dinner
, ,
and and
they they
' '
re re
boiling boil
their their
water water
in in
identical identical
ways way
. .
So so
if if
we we
would would
visit visit
any any
of of
these these
homes home
, ,
there there
' '
s s
a a
huge huge
risk risk
that that
we we
would would
say say
we we
know know
anything anything
about about
the the
specific specific
way way
you you
do do
things thing
in in
China china
or or
Nigeria nigeria
, ,
while while
, ,
looking look
at at
this this
, ,
it it
' '
s s
quite quite
obvious obvious
— -
this this
is be
how how
you you
do do
things thing
on on
this this
income income
level level
. .
That that
is be
what what
you you
can can
see see
when when
you you
go go
through through
the the
imagery imagery
in in
Dollar dollar
Street street
. .
So so
going go
back back
to to
the the
figures figure
, ,
the the
seven seven
billion billion
people people
of of
the the
world world
, ,
now now
we we
' '
re re
going go
to to
do do
a a
quick quick
recap recap
. .
We we
' '
re re
going go
to to
look look
at at
comparisons comparison
of of
things thing
in in
the the
poorest poor
group group
: :
beds bed
, ,
roofs roof
, ,
cooking cooking
. .
And and
observe observe
, ,
in in
all all
these these
comparisons comparison
, ,
their their
homes home
are be
chosen choose
so so
they they
are be
in in
completely completely
different different
places place
of of
the the
world world
. .
But but
what what
we we
see see
is be
pretty pretty
identical identical
. .
So so
the the
poorest poor
billion billion
cooking cooking
would would
look look
somewhat somewhat
the the
same same
in in
these these
two two
places place
; ;
you you
might might
not not
have have
shoes shoe
; ;
eating eat
, ,
if if
you you
don don
' '
t t
have have
a a
spoon spoon
; ;
storing store
salt salt
would would
be be
similar similar
whether whether
you you
' '
re re
in in
Asia asia
or or
in in
Africa africa
; ;
and and
going go
to to
the the
toilet toilet
would would
be be
pretty pretty
much much
the the
same same
experience experience
whether whether
you you
' '
re re
in in
Nigeria nigeria
or or
Nepal nepal
. .
In in
the the
middle middle
, ,
we we
have have
a a
huge huge
group group
of of
five five
billion billion
, ,
but but
here here
we we
can can
see see
you you
will will
have have
electric electric
light light
, ,
most most
likely likely
; ;
you you
will will
no no
longer longer
sleep sleep
on on
the the
floor floor
; ;
you you
will will
store store
your your
salt salt
in in
a a
container container
; ;
you you
will will
have have
more more
than than
one one
spoon spoon
; ;
you you
will will
have have
more more
than than
one one
pen pen
; ;
the the
ceiling ceiling
is be
no no
longer longer
leaking leak
that that
much much
; ;
you you
will will
have have
shoes shoe
; ;
you you
might might
have have
a a
phone phone
, ,
toys toy
, ,
and and
produce produce
waste waste
. .
Coming come
to to
our our
group group
up up
here here
, ,
similar similar
shoes shoe
, ,
Jordan jordan
, ,
US us
. .
We we
have have
sofas sofa
, ,
fruits fruit
, ,
hairbrushes hairbrush
, ,
bookshelves bookshelve
, ,
toilet toilet
paper paper
in in
Tanzania tanzania
, ,
Palestine palestine
, ,
hard hard
to to
distinguish distinguish
if if
we we
would would
sit sit
in in
US us
, ,
Palestine palestine
or or
Tanzania tanzania
from from
this this
one one
. .
Vietnam vietnam
, ,
Kenya kenya
: :
wardrobes wardrobe
, ,
lamps lamp
, ,
black black
dogs dog
, ,
floors floor
, ,
soap soap
, ,
laundry laundry
, ,
clocks clock
, ,
computers computer
, ,
phones phone
, ,
and and
so so
on on
, ,
right right
? ?
So so
we we
have have
a a
lot lot
of of
similarities similarity
all all
over over
the the
world world
, ,
and and
the the
images image
we we
see see
in in
the the
media medium
, ,
they they
show show
us us
the the
world world
is be
a a
very very
, ,
very very
strange strange
place place
. .
But but
when when
we we
look look
at at
the the
Dollar dollar
Street street
images image
, ,
they they
do do
not not
look look
like like
that that
. .
So so
using use
Dollar dollar
Street street
, ,
we we
can can
use use
photos photo
as as
data datum
, ,
and and
country country
stereotypes stereotype
— -
they they
simply simply
fall fall
apart apart
. .
So so
the the
person person
staring stare
back back
at at
us us
from from
the the
other other
side side
of of
the the
world world
actually actually
looks look
quite quite
a a
lot lot
like like
you you
. .
And and
that that
implies imply
both both
a a
call call
to to
action action
and and
a a
reason reason
for for
hope hope
. .
Thank thank
you you
. .
