Christiana christiana
to to
bid bid
for for
offshore offshore
wind wind
permits permit
. .
And and
that that
year year
the the
price price
that that
came come
in in
was be
two two
thirds third
less less
than than
just just
four four
years year
before before
. .
And and
really really
critically critically
, ,
it it
was be
the the
same same
price price
as as
the the
mainstream mainstream
market market
. .
And and
that that
was be
transformative transformative
. .
Nobody nobody
expected expect
that that
when when
they they
started start
. .
MZ mz
: :
The the
conversation conversation
got get
pretty pretty
technical technical
and and
a a
bit bit
wonky wonky
. .
NP np
: :
So so
to to
drive drive
exponential exponential
growth growth
, ,
you you
focus focus
on on
a a
reinforcing reinforce
loop loop
to to
make make
sure sure
it it
works work
and and
you you
slow slow
down down
on on
the the
balancing balancing
loop loop
. .
MZ mz
: :
But but
the the
takeaway takeaway
is be
that that
certain certain
sectors sector
, ,
like like
EVs ev
and and
renewables renewables
, ,
are be
being be
upended upend
, ,
while while
others other
, ,
like like
cement cement
and and
heavy heavy
industry industry
are be
further further
behind behind
. .
But but
generally generally
across across
every every
industry industry
-- --
JD jd
: :
It it
' '
s s
amazing amazing
stuff stuff
. .
MZ mz
: :
There there
' '
s s
an an
understanding understanding
that that
they they
all all
need need
to to
work work
together together
. .
And and
the the
message message
? ?
Big big
change change
can can
happen happen
. .
It it
' '
s s
going go
to to
be be
hard hard
, ,
but but
some some
of of
us us
are be
already already
doing do
it it
, ,
so so
learn learn
from from
us us
. .
[ [
Chapter chapter
2 @card@
: :
The the
Electric electric
Vehicle vehicle
Revolution revolution
] ]
OK ok
, ,
we we
are be
in in
an an
exponential exponential
mindset mindset
. .
And and
as as
you you
heard hear
, ,
one one
example example
of of
exponential exponential
growth growth
might might
be be
sitting sit
in in
your your
driveway driveway
right right
now now
. .
Electric electric
vehicles vehicle
are be
finally finally
really really
happening happen
, ,
which which
means mean
that that
people people
here here
in in
Detroit detroit
are be
rethinking rethink
the the
auto auto
industry industry
. .
They they
' '
re re
rethinking rethink
their their
jobs job
, ,
their their
identity identity
. .
Take take
Cynthia cynthia
Williams williams
, ,
head head
of of
sustainability sustainability
at at
Ford ford
. .
I i
sat sit
down down
with with
her her
at at
Lucky lucky
Detroit detroit
, ,
a a
local local
coffee coffee
and and
barber barber
shop shop
, ,
where where
she she
told tell
me me
that that
there there
are be
three three
things thing
that that
need need
to to
happen happen
for for
electric electric
vehicles vehicle
to to
go go
to to
the the
next next
level level
, ,
from from
this this
tipping tip
point point
to to
exponential exponential
growth growth
. .
CW cw
: :
The the
three three
things thing
for for
me me
are be
change change
, ,
collaboration collaboration
and and
capacity capacity
. .
So so
the the
change change
piece piece
of of
it it
is be
changing change
the the
way way
folks folk
think think
about about
the the
vehicle vehicle
, ,
making make
sure sure
that that
they they
understand understand
we we
' '
re re
bringing bring
a a
better good
vehicle vehicle
to to
the the
customers customer
. .
MZ mz
: :
So so
you you
don don
' '
t t
have have
to to
make make
a a
sacrifice sacrifice
. .
CW cw
: :
I i
think think
one one
of of
the the
things thing
we we
need need
to to
do do
is be
actually actually
get get
people people
in in
the the
cars car
and and
show show
them them
how how
fun fun
it it
is be
. .
And and
it it
' '
s s
no no
different different
, ,
it it
' '
s s
just just
powered power
by by
a a
battery battery
. .
We we
are be
at at
a a
tipping tip
point point
. .
We we
' '
re re
at at
a a
point point
of of
acceleration acceleration
of of
electric electric
vehicles vehicle
. .
Many many
are be
calling call
it it
the the
electric electric
vehicle vehicle
revolution revolution
. .
Now now
with with
that that
comes come
unprecedented unprecedented
change change
that that
will will
require require
us us
to to
build build
new new
capacity capacity
and and
collaborate collaborate
in in
ways way
that that
we we
' '
ve ve
never never
seen see
before before
. .
To to
make make
things thing
happen happen
faster faster
, ,
you you
have have
to to
think think
differently differently
. .
You you
can can
' '
t t
just just
collaborate collaborate
with with
the the
same same
people people
because because
you you
get get
the the
same same
answer answer
, ,
right right
? ?
You you
need need
to to
broaden broaden
your your
collaboration collaboration
space space
. .
Go go
outside outside
of of
your your
industry industry
, ,
understand understand
what what
worked work
in in
Norway norway
, ,
for for
example example
, ,
to to
get get
them them
to to
where where
they they
are be
. .
MZ mz
: :
Where where
' '
s s
the the
weak weak
link link
, ,
Cynthia cynthia
? ?
What what
' '
s s
the the
thing thing
that that
you you
' '
re re
like like
, ,
that that
if if
we we
don don
' '
t t
push push
through through
that that
, ,
we we
may may
not not
get get
to to
this this
full full
adoption adoption
? ?
CW cw
: :
The the
critical critical
things thing
that that
we we
hear hear
from from
the the
consumers consumer
is be
they they
need need
infrastructure infrastructure
. .
That that
' '
s s
what what
it it
' '
s s
taking take
for for
us us
to to
work work
with with
governments government
to to
make make
sure sure
that that
we we
bring bring
more more
charging charge
to to
everyone everyone
, ,
whether whether
it it
' '
s s
rural rural
, ,
urban urban
, ,
wealthy wealthy
, ,
low-income low-income
, ,
we we
all all
need need
chargers charger
. .
And and
I i
' '
m m
not not
saying say
we we
need need
one one
on on
every every
corner corner
, ,
but but
we we
do do
need need
many many
, ,
many many
more more
. .
When when
we we
start start
building build
out out
the the
charging charge
infrastructure infrastructure
, ,
we we
need need
lighting lighting
. .
We we
need need
, ,
you you
know know
, ,
security security
, ,
shelter shelter
, ,
we we
need need
restrooms restroom
. .
We we
need need
other other
amenities amenity
so so
that that
people people
know know
where where
to to
go go
, ,
where where
to to
charge charge
. .
Next next
comes come
capacity capacity
. .
We we
have have
to to
invest invest
in in
new new
facilities facility
and and
talent talent
. .
Now now
, ,
that that
' '
s s
true true
for for
any any
industry industry
transitioning transitioning
to to
greener green
goals goal
and and
strategies strategy
. .
And and
we we
' '
re re
investing investing
in in
talent talent
, ,
we we
' '
re re
investing investing
in in
education education
and and
training training
, ,
and and
we we
' '
re re
also also
listening listen
to to
the the
communities community
where where
we we
live live
and and
operate operate
. .
MZ mz
: :
So so
a a
young young
Cynthia cynthia
Williams williams
, ,
now now
, ,
your your
counterpart counterpart
who who
' '
s s
studying study
engineering engineering
, ,
will will
she she
be be
learning learn
something something
very very
different different
if if
she she
wants want
to to
go go
and and
work work
in in
the the
automotive automotive
industry industry
in in
Detroit detroit
? ?
CW cw
: :
There there
will will
be be
different different
options option
, ,
right right
. .
And and
so so
, ,
I i
' '
m m
a a
mechanical mechanical
engineer engineer
by by
trade trade
, ,
but but
I i
think think
there there
will will
be be
opportunities opportunity
for for
electrical electrical
engineering engineering
, ,
software software
engineering engineering
. .
And and
there there
' '
s s
even even
certificates certificate
that that
students student
can can
get get
instead instead
of of
going go
through through
a a
four-year four-year
college college
. .
It it
' '
s s
the the
proper proper
training training
to to
get get
them them
right right
, ,
to to
be be
dedicated dedicate
, ,
to to
build build
the the
vehicles vehicle
that that
we we
need need
for for
the the
future future
. .
At at
the the
end end
of of
this this
year year
, ,
globally globally
, ,
we we
' '
ll ll
have have
the the
ability ability
to to
produce produce
600 @card@
, ,
000 @card@
electric electric
vehicles vehicle
. .
And and
in in
2026 @card@
, ,
we we
' '
ll ll
have have
a a
global global
goal goal
to to
produce produce
two two
million million
electric electric
vehicles vehicle
. .
And and
it it
just just
goes go
up up
from from
there there
. .
MZ mz
: :
What what
is be
this this
going go
to to
look look
like like
, ,
this this
growth growth
for for
me me
in in
the the
next next
couple couple
of of
years year
, ,
in in
five five
years year
, ,
in in
20 @card@
years year
? ?
CW cw
: :
Clean clean
air air
. .
That that
' '
s s
what what
I i
look look
at at
. .
If if
you you
think think
about about
when when
we we
were be
, ,
during during
the the
pandemic pandemic
, ,
when when
everybody everybody
stopped stop
driving drive
and and
they they
were be
at at
home home
, ,
clear clear
skies sky
and and
moving move
to to
zero zero
tailpipe tailpipe
emission emission
vehicles vehicle
. .
And and
if if
you you
chose choose
an an
electric electric
vehicle vehicle
, ,
that that
' '
s s
you you
participating participate
and and
you you
contributing contribute
to to
a a
better good
world world
, ,
to to
a a
better well
future future
. .
We we
have have
come come
a a
long long
way way
. .
It it
' '
s s
so so
gratifying gratify
to to
see see
electric electric
vehicles vehicle
on on
the the
road road
, ,
to to
move move
from from
aspiration aspiration
to to
reality reality
. .
To to
see see
plants plant
dedicated dedicate
to to
building build
electric electric
vehicles vehicle
. .
We we
have have
the the
technology technology
, ,
we we
have have
the the
leadership leadership
, ,
we we
have have
the the
ingenuity ingenuity
to to
respond respond
to to
the the
environmental environmental
crisis crisis
with with
courage courage
. .
And and
I i
' '
ll ll
tell tell
you you
, ,
as as
a a
person person
who who
' '
s s
dedicated dedicate
my my
entire entire
career career
to to
sustainability sustainability
, ,
the the
road road
ahead ahead
is be
paved pave
with with
promise promise
. .
TED-Ed ted-ed
: :
If if
you you
were be
buying buy
a a
car car
in in
1899 @card@
, ,
you you
would would
have have
had have
three three
major major
options option
to to
choose choose
from from
. .
You you
could could
buy buy
a a
steam-powered steam-powered
car car
, ,
typically typically
relying rely
on on
gas-powered gas-powered
boilers boiler
. .
These these
could could
drive drive
as as
far far
as as
you you
wanted want
, ,
provided provide
you you
also also
wanted want
to to
lug lug
around around
extra extra
water water
to to
refuel refuel
and and
didn didn
' '
t t
mind mind
waiting wait
30 @card@
minutes minute
for for
your your
engine engine
to to
heat heat
up up
. .
Alternatively alternatively
, ,
you you
could could
buy buy
a a
car car
powered power
by by
gasoline gasoline
. .
However however
, ,
the the
internal internal
combustion combustion
engines engine
in in
these these
models model
required require
dangerous dangerous
hand hand
cranking crank
to to
start start
and and
emitted emit
loud loud
noises noise
and and
foul foul
smelling smell
exhaust exhaust
while while
driving drive
. .
So so
your your
best good
bet bet
was be
probably probably
option option
number number
three three
: :
a a
battery-powered battery-powered
electric electric
vehicle vehicle
. .
These these
cars car
were be
quick quick
to to
start start
, ,
clean clean
and and
quiet quiet
to to
run run
, ,
and and
if if
you you
lived live
somewhere somewhere
with with
access access
to to
electricity electricity
, ,
easy easy
to to
refuel refuel
overnight overnight
. .
If if
this this
seems seem
like like
an an
easy easy
choice choice
, ,
you you
' '
re re
not not
alone alone
. .
By by
the the
end end
of of
the the
19th 19th
century century
, ,
nearly nearly
40 @card@
percent percent
of of
American american
cars car
were be
electric electric
. .
In in
cities city
with with
early early
electric electric
systems system
, ,
battery-powered battery-powered
cars car
were be
a a
popular popular
and and
reliable reliable
alternative alternative
to to
their their
occasionally occasionally
explosive explosive
competitors competitor
. .
But but
electric electric
vehicles vehicle
had have
one one
major major
problem problem
. .
Batteries battery
. .
MZ mz
: :
Flash flash
forward forward
to to
the the
present present
and and
batteries battery
are be
still still
on on
everyone everyone
' '
s s
mind mind
. .
So so
I i
visited visit
Mujeeb mujeeb
Ijaz ijaz
, ,
the the
founder founder
of of
the the
energy energy
storage storage
company company
One one
, ,
who who
also also
happens happen
to to
be be
an an
electric electric
vehicle vehicle
history history
buff buff
. .
Mujeeb mujeeb
Ijaz ijaz
: :
So so
this this
is be
a a
1922 @card@
Detroit detroit
Electric electric
. .
MZ mz
: :
OK ok
, ,
so so
100-year-old 100-year-old
vehicle vehicle
. .
MI mi
: :
That that
' '
s s
right right
, ,
electric electric
vehicle vehicle
. .
And and
then then
this this
was be
Walter walter
Baker baker
. .
He he
developed develop
the the
Baker baker
Electric electric
. .
And and
he he
made make
the the
range range
run run
201 @card@
miles mile
on on
a a
single single
charge charge
. .
He he
also also
felt feel
strongly strongly
that that
you you
should should
be be
able able
to to
wear wear
your your
top top
hat hat
, ,
you you
know know
, ,
so so
he he
has have
a a
taller tall
carriage carriage
. .
These these
had have
lead lead
acid acid
batteries battery
to to
begin begin
with with
. .
And and
then then
Thomas thomas
Edison edison
introduced introduce
the the
nickel-iron nickel-iron
battery battery
. .
So so
this this
