No no
half-digested half-digested
dinner dinner
. .
So so
there there
' '
s s
a a
wide wide
spectrum spectrum
of of
emotional emotional
expression expression
. .
On on
one one
hand hand
, ,
you you
have have
under-emoters under-emoter
, ,
or or
people people
who who
have have
a a
hard hard
time time
talking talk
about about
their their
feelings feeling
, ,
and and
on on
the the
other other
end end
are be
over-emoters over-emoter
, ,
those those
who who
constantly constantly
share share
everything everything
that that
' '
s s
going go
on on
inside inside
, ,
and and
neither neither
of of
these these
make make
for for
a a
healthy healthy
workplace workplace
. .
So so
what what
' '
s s
the the
balance balance
between between
these these
two two
extremes extreme
? ?
It it
' '
s s
something something
called call
selective selective
vulnerability vulnerability
. .
Selective selective
vulnerability vulnerability
is be
opening open
up up
while while
still still
prioritizing prioritizing
stability stability
and and
psychological psychological
safety safety
, ,
both both
for for
you you
and and
for for
your your
colleagues colleague
. .
Luckily luckily
, ,
anyone anyone
can can
learn learn
to to
be be
selectively selectively
vulnerable vulnerable
, ,
with with
practice practice
. .
Here here
are be
four four
ways way
to to
get get
started start
. .
First first
, ,
flag flag
your your
feelings feeling
without without
becoming become
emotionally emotionally
leaky leaky
. .
Bad bad
moods mood
are be
contagious contagious
, ,
and and
even even
if if
you you
' '
re re
not not
vocalizing vocalize
what what
you you
' '
re re
feeling feeling
, ,
chances chance
are be
your your
body body
language language
or or
your your
expressions expression
are be
a a
dead dead
giveaway giveaway
. .
So so
if if
you you
are be
crossing cross
your your
arms arm
or or
hammering hammer
on on
your your
keyboard keyboard
, ,
your your
coworkers coworker
are be
going go
to to
know know
you you
' '
re re
upset upset
. .
And and
if if
you you
don don
' '
t t
say say
anything anything
, ,
they they
might might
start start
to to
think think
it it
' '
s s
about about
them them
and and
get get
worried worry
. .
So so
if if
you you
are be
reacting react
to to
a a
non-work-related non-work-related
event event
, ,
so so
traffic traffic
for for
example example
, ,
just just
flag flag
it it
. .
You you
don don
' '
t t
need need
to to
go go
into into
detail detail
. .
You you
can can
say say
something something
as as
simple simple
as as
" "
I i
' '
m m
having have
a a
bad bad
morning morning
. .
It it
has have
nothing nothing
to to
do do
with with
you you
. .
" "
Now now
if if
it it
' '
s s
a a
work-related work-related
event event
that that
' '
s s
causing cause
you you
to to
feel feel
strong strong
emotions emotion
, ,
that that
brings bring
us us
to to
point point
number number
two two
. .
Try try
to to
understand understand
the the
need need
behind behind
your your
emotion emotion
, ,
and and
then then
address address
that that
need need
. .
If if
you you
suddenly suddenly
start start
to to
find find
everyone everyone
around around
you you
irritating irritate
, ,
sit sit
back back
and and
reflect reflect
on on
that that
. .
And and
it it
might might
be be
that that
you you
' '
re re
irritable irritable
because because
you you
' '
re re
anxious anxious
, ,
and and
you you
' '
re re
anxious anxious
because because
you you
' '
re re
worried worry
about about
hitting hit
a a
looming loom
deadline deadline
. .
And and
in in
that that
case case
, ,
you you
can can
go go
back back
to to
your your
team team
to to
address address
that that
need need
and and
say say
something something
like like
, ,
" "
I i
want want
to to
make make
sure sure
I i
get get
everything everything
done do
ahead ahead
of of
the the
deadline deadline
. .
Can can
you you
help help
me me
put put
together together
a a
realistic realistic
plan plan
to to
do do
that that
? ?
" "
If if
you you
' '
re re
thinking thinking
of of
sharing share
, ,
try try
and and
put put
yourself yourself
in in
the the
other other
person person
' '
s s
shoes shoe
. .
So so
if if
what what
you you
' '
re re
about about
to to
say say
would would
help help
you you
feel feel
more more
supported support
and and
better well
understand understand
the the
situation situation
, ,
then then
go go
ahead ahead
and and
share share
it it
. .
But but
if if
it it
gives give
you you
any any
kind kind
of of
pause pause
, ,
you you
might might
want want
to to
leave leave
it it
out out
. .
And and
finally finally
, ,
read read
the the
room room
and and
provide provide
a a
path path
forward forward
. .
If if
everyone everyone
on on
your your
team team
has have
been be
pulling pull
long long
hours hour
, ,
and and
you you
notice notice
that that
one one
of of
your your
colleagues colleague
seems seem
particularly particularly
deflated deflate
or or
anxious anxious
, ,
you you
can can
acknowledge acknowledge
that that
and and
show show
some some
empathy empathy
, ,
but but
then then
try try
to to
give give
them them
something something
actionable actionable
that that
they they
could could
hold hold
on on
to to
. .
And and
in in
this this
case case
, ,
you you
could could
suggest suggest
that that
you you
go go
to to
your your
manager manager
and and
ask ask
that that
your your
weekly weekly
meeting meeting
be be
pushed push
back back
a a
day day
so so
you you
both both
have have
more more
time time
to to
work work
. .
You you
' '
re re
showing show
you you
' '
re re
invested invest
in in
their their
success success
, ,
but but
also also
that that
you you
care care
about about
their their
well-being well-being
. .
When when
we we
can can
be be
honest honest
about about
what what
we we
feel feel
, ,
and and
freely freely
suggest suggest
ideas idea
, ,
make make
mistakes mistake
and and
just just
not not
have have
to to
hide hide
every every
piece piece
of of
who who
we we
are be
, ,
we we
' '
re re
much much
more more
likely likely
to to
stay stay
at at
the the
company company
for for
a a
long long
time time
. .
We we
' '
re re
also also
happier happy
and and
more more
productive productive
. .
So so
take take
a a
moment moment
to to
reflect reflect
on on
the the
emotional emotional
expression expression
that that
you you
bring bring
to to
work work
each each
day day
. .
And and
if if
you you
are be
prone prone
to to
oversharing overshare
, ,
try try
editing edit
. .
And and
if if
you you
' '
re re
a a
little little
bit bit
more more
reserved reserved
, ,
look look
for for
moments moment
when when
you you
can can
open open
up up
to to
your your
colleagues colleague
and and
be be
a a
bit bit
vulnerable vulnerable
. .
And and
chances chance
are be
, ,
there there
will will
be be
a a
big big
difference difference
in in
how how
people people
respond respond
to to
you you
. .
And and
selective selective
vulnerability vulnerability
might might
just just
become become
one one
of of
your your
most most
valuable valuable
tools tool
. .
