Once once
it it
' '
s s
hard hard
to to
find find
in in
the the
data datum
. .
It it
doesn doesn
' '
t t
turn turn
out out
to to
be be
the the
case case
when when
you you
look look
at at
seatbelts seatbelt
versus versus
car car
seats seat
. .
So so
the the
United united
States states
keeps keep
a a
data datum
set set
of of
every every
fatal fatal
accident accident
that that
' '
s s
happened happen
since since
1975 @card@
. .
So so
in in
every every
car car
crash crash
in in
which which
at at
least least
one one
person person
dies die
, ,
they they
have have
information information
on on
all all
of of
the the
people people
. .
So so
if if
you you
look look
at at
that that
data datum
— -
it it
' '
s s
right right
up up
on on
the the
National national
Highway highway
Transportation transportation
Safety safety
Administration administration
' '
s s
website website
— -
you you
can can
just just
look look
at at
the the
raw raw
data datum
, ,
and and
begin begin
to to
get get
a a
sense sense
of of
the the
limited limited
amount amount
of of
evidence evidence
that that
' '
s s
in in
favor favor
of of
car car
seats seat
for for
children child
aged age
two two
and and
up up
. .
So so
, ,
here here
is be
the the
data data
. .
Here here
I i
have have
, ,
among among
two- two-
to to
six-year-olds six-year-old
— -
anyone anyone
above above
six six
, ,
basically basically
no no
one one
uses use
car car
seats seat
, ,
so so
you you
can can
' '
t t
compare compare
— -
29 @card@
. .
3 @card@
percent percent
of of
the the
children child
who who
are be
unrestrained unrestrained
in in
a a
crash crash
in in
which which
at at
least least
one one
person person
dies die
, ,
themselves themselves
die die
. .
If if
you you
put put
a a
child child
in in
a a
car car
seat seat
, ,
18 @card@
. .
2 @card@
percent percent
of of
the the
children child
die die
. .
If if
they they
' '
re re
wearing wear
a a
lap-and-shoulder lap-and-shoulder
belt belt
, ,
in in
this this
raw raw
data datum
, ,
19 @card@
. .
4 @card@
percent percent
die die
. .
And and
interestingly interestingly
, ,
wearing wear
a a
lap-only lap-only
seatbelt seatbelt
, ,
16 @card@
. .
7 @card@
percent percent
die die
. .
And and
actually actually
, ,
the the
theory theory
tells tell
you you
that that
the the
lap-only lap-only
seatbelt seatbelt
' '
s s
got get
to to
be be
worse bad
than than
the the
lap-and- lap-and-
shoulder shoulder
belt belt
. .
And and
that that
just just
reminds remind
you you
that that
when when
you you
deal deal
with with
raw raw
data datum
, ,
there there
are be
hundreds hundred
of of
confounding confound
variables variable
that that
may may
be be
getting get
in in
the the
way way
. .
So so
what what
we we
do do
in in
the the
study study
is be
— -
and and
this this
is be
just just
presenting present
the the
same same
information information
, ,
but but
turned turn
into into
a a
figure figure
to to
make make
it it
easier easy
. .
So so
the the
yellow yellow
bar bar
represents represent
car car
seats seat
, ,
the the
orange orange
bar bar
lap-and-shoulder lap-and-shoulder
, ,
and and
the the
red red
bar bar
lap-only lap-only
seatbelts seatbelt
. .
And and
this this
is be
all all
relative relative
to to
unrestrained unrestrained
— -
the the
bigger big
the the
bar bar
, ,
the the
better well
. .
Okay okay
. .
So so
, ,
this this
is be
the the
data data
I i
just just
showed show
, ,
OK ok
? ?
So so
the the
highest high
bar bar
is be
what what
you you
' '
re re
striving strive
to to
beat beat
. .
So so
you you
can can
control control
for for
the the
basic basic
things thing
, ,
like like
how how
hard hard
the the
crash crash
was be
, ,
what what
seat seat
the the
child child
was be
sitting sit
in in
, ,
etc etc
. .
, ,
the the
age age
of of
the the
child child
. .
And and
that that
' '
s s
that that
middle middle
set set
of of
bars bar
. .
And and
so so
, ,
you you
can can
see see
that that
the the
lap- lap-
only only
seatbelts seatbelt
start start
to to
look look
worse bad
once once
you you
do do
that that
. .
And and
then then
finally finally
, ,
the the
last last
set set
of of
bars bar
, ,
which which
are be
really really
controlling control
for for
everything everything
you you
could could
possibly possibly
imagine imagine
about about
the the
crash crash
, ,
50 @card@
, ,
75 @card@
, ,
100 @card@
different different
characteristics characteristic
of of
the the
crash crash
. .
And and
what what
you you
find find
is be
that that
the the
car car
seats seat
and and
the the
lap-and-shoulder lap-and-shoulder
belts belt
, ,
when when
it it
comes come
to to
saving save
lives life
, ,
fatalities fatality
look look
exactly exactly
identical identical
. .
And and
the the
standard standard
error error
bands band
are be
relatively relatively
small small
around around
these these
estimates estimate
as as
well well
. .
And and
it it
' '
s s
not not
just just
overall overall
. .
It it
' '
s s
very very
robust robust
to to
anything anything
you you
want want
to to
look look
at at
. .
One one
thing thing
that that
' '
s s
interesting interesting
: :
if if
you you
look look
at at
frontal-impact frontal-impact
crashes crash
— -
when when
the the
car car
crashes crash
, ,
the the
front front
hits hit
into into
something something
— -
indeed indeed
, ,
what what
you you
see see
is be
that that
the the
car car
seats seat
look look
a a
little little
bit bit
better well
. .
And and
I i
think think
this this
isn isn
' '
t t
just just
chance chance
. .
In in
order order
to to
have have
the the
car car
seat seat
approved approve
, ,
you you
need need
to to
pass pass
certain certain
federal federal
standards standard
, ,
all all
of of
which which
involve involve
slamming slam
your your
car car
into into
a a
direct direct
frontal frontal
crash crash
. .
But but
when when
you you
look look
at at
other other
types type
of of
crashes crash
, ,
like like
rear-impact rear-impact
crashes crash
, ,
indeed indeed
, ,
the the
car car
seats seat
don don
' '
t t
perform perform
as as
well well
. .
And and
I i
think think
that that
' '
s s
because because
they they
' '
ve ve
been be
optimized optimize
to to
pass pass
, ,
as as
we we
always always
expect expect
people people
to to
do do
, ,
to to
optimize optimize
relative relative
to to
bright-line bright-line
rules rule
about about
how how
affected affected
the the
car car
will will
be be
. .
And and
the the
other other
thing thing
you you
might might
argue argue
is be
, ,
" "
Well well
, ,
car car
seats seat
have have
got get
a a
lot lot
better well
over over
time time
. .
And and
so so
if if
we we
look look
at at
recent recent
crashes crash
— -
the the
whole whole
data data
set set
is be
almost almost
30 @card@
years year
' '
worth worth
of of
data datum
— -
you you
won win
' '
t t
see see
it it
in in
the the
recent recent
crashes crash
. .
The the
new new
car car
seats seat
are be
far far
, ,
far far
better good
. .
" "
But but
indeed indeed
, ,
in in
recent recent
crashes crash
the the
lap-and-shoulder lap-and-shoulder
seatbelts seatbelt
, ,
actually actually
, ,
are be
doing do
even even
better good
than than
the the
car car
seats seat
. .
They they
say say
, ,
" "
Well well
, ,
that that
' '
s s
impossible impossible
, ,
that that
can can
' '
t t
be be
. .
" "
And and
the the
line line
of of
argument argument
, ,
if if
you you
ask ask
parents parent
, ,
is be
, ,
" "
But but
car car
seats seat
are be
so so
expensive expensive
and and
complicated complicated
, ,
and and
they they
have have
this this
big big
tangle tangle
of of
latches latch
, ,
how how
could could
they they
possibly possibly
not not
work work
better well
than than
seatbelts seatbelt
because because
they they
are be
so so
expensive expensive
and and
complicated complicated
? ?
" "
It it
' '
s s
kind kind
of of
an an
interesting interesting
logic logic
, ,
I i
think think
, ,
that that
people people
use use
. .
And and
the the
other other
logic logic
, ,
they they
say say
, ,
" "
Well well
, ,
the the
government government
wouldn wouldn
' '
t t
have have
told tell
us us
[ [
to to
] ]
use use
them them
if if
they they
weren weren
' '
t t
much much
better well
. .
" "
But but
what what
' '
s s
interesting interesting
is be
the the
government government
telling tell
us us
to to
use use
them them
is be
not not
actually actually
based base
on on
very very
much much
. .
It it
really really
is be
based base
on on
some some
impassioned impassioned
pleas plea
of of
parents parent
whose whose
children child
died die
after after
they they
turned turn
two two
, ,
which which
has have
led lead
to to
the the
passage passage
of of
all all
these these
laws law
— -
not not
very very
much much
on on
data datum
. .
So so
you you
can can
only only
get get
so so
far far
, ,
I i
think think
, ,
in in
telling tell
your your
story story
by by
using use
these these
abstract abstract
statistics statistic
. .
And and
so so
I i
had have
some some
friends friend
over over
to to
dinner dinner
, ,
and and
I i
was be
asking ask
— -
we we
had have
a a
cookout cookout
— -
I i
was be
asking ask
them them
what what
advice advice
they they
might might
have have
for for
me me
about about
proving prove
my my
point point
. .
They they
said say
, ,
" "
Why why
don don
' '
t t
you you
run run
some some
crash crash
tests test
? ?
" "
And and
I i
said say
, ,
" "
That that
' '
s s
a a
great great
idea idea
. .
" "
So so
we we
actually actually
tried try
to to
commission commission
some some
crash crash
tests test
. .
And and
it it
turns turn
out out
that that
as as
we we
called call
around around
to to
the the
independent independent
crash crash
test test
companies company
around around
the the
country country
, ,
none none
of of
them them
wanted want
to to
do do
our our
crash crash
test test
because because
they they
said say
, ,
some some
explicitly explicitly
, ,
some some
not not
so so
explicitly explicitly
, ,
" "
All all
of of
our our
business business
comes come
from from
car car
seat seat
manufacturers manufacturer
. .
We we
can can
' '
t t
risk risk
alienating alienate
them them
by by
testing testing
seatbelts seatbelt
relative relative
to to
car car
seats seat
. .
" "
Now now
, ,
eventually eventually
, ,
one one
did do
. .
Under under
the the
conditions condition
of of
anonymity anonymity
, ,
they they
said say
they they
would would
be be
happy happy
to to
do do
this this
test test
for for
us us
— -
so so
anonymity anonymity
, ,
and and
1 @card@
, ,
500 @card@
dollars dollar
per per
seat seat
that that
we we
crashed crash
. .
And and
so so
, ,
we we
went go
to to
Buffalo buffalo
, ,
New new
York york
, ,
and and
here here
is be
the the
precursor precursor
to to
it it
. .
These these
are be
the the
crash crash
test test
dummies dummy
, ,
waiting wait
for for
their their
chance chance
to to
take take
the the
center center
stage stage
. .
And and
then then
, ,
here here
' '
s s
how how
the the
crash crash
test test
works work
. .
Here here
, ,
they they
don don
' '
t t
actually actually
crash crash
the the
entire entire
car car
, ,
you you
know know
— -
it it
' '
s s
not not
worth worth
ruining ruin
a a
whole whole
car car
to to
do do
it it
. .
So so
they they
just just
have have
these these
bench bench
seats seat
, ,
and and
they they
strap strap
the the
car car
seat seat
and and
the the
seatbelt seatbelt
onto onto
it it
. .
So so
I i
just just
wanted want
you you
to to
look look
at at
this this
. .
And and
I i
think think
this this
gives give
you you
a a
good good
idea idea
of of
why why
parents parent
think think
car car
seats seat
are be
so so
great great
. .
Look look
at at
the the
kid kid
in in
the the
car car
seat seat
. .
Does do
he he
not not
look look
content content
, ,
ready ready
to to
go go
, ,
like like
he he
could could
survive survive
anything anything
? ?
And and
then then
, ,
if if
you you
look look
at at
the the
kid kid
in in
back back
, ,
it it
looks look
like like
he he
' '
s s
already already
choking choke
before before
the the
crash crash
even even
happens happen
. .
It it
' '
s s
hard hard
to to
believe believe
, ,
when when
you you
look look
at at
this this
, ,
that that
that that
kid kid
in in
back back
is be
going go
to to
do do
very very
well well
when when
you you
get get
in in
a a
crash crash
. .
So so
this this
is be
going go
to to
be be
a a
crash crash
where where
they they
' '
re re
going go
to to
slam slam
this this
thing thing
forward forward
into into
a a
wall wall
at at
30 @card@
miles mile
an an
hour hour
, ,
and and
see see
what what
happens happen
. .
OK ok
? ?
So so
, ,
let let
me me
show show
you you
what what
happens happen
. .
These these
are be
three-year-old three-year-old
dummies dummy
, ,
by by
the the
way way
. .
So so
here here
— -
this this
is be
the the
car car
seat seat
. .
Now now
watch watch
two two
things thing
: :
watch watch
how how
the the
head head
goes go
forward forward
, ,
and and
basically basically
hits hit
the the
knees knee
— -
and and
this this
is be
in in
the the
car car
seat seat
— -
and and
watch watch
how how
the the
car car
seat seat
flies fly
around around
, ,
in in
the the
rebound rebound
, ,
up up
in in
the the
air air
. .
The the
car car
seat seat
' '
s s
moving move
all all
over over
the the
place place
. .
Bear bear
in in
mind mind
there there
are be
two two
things thing
about about
this this
. .
This this
is be
a a
car car
seat seat
that that
was be
installed install
by by
someone someone
who who
has have
installed install
1 @card@
, ,
000 @card@
car car
seats seat
, ,
who who
knew know
exactly exactly
how how
to to
do do
it it
. .
And and
also also
it it
turned turn
out out
these these
bench bench
seats seat
are be
the the
very very
best good
way way
to to
install install
car car
seats seat
. .
Having have
a a
flat flat
back back
makes make
it it
much much
easier easy
to to
install install
them them
. .
And and
so so
this this
is be
a a
test test
that that
' '
s s
very very
much much
rigged rig
in in
favor favor
of of
the the
car car
seat seat
, ,
OK ok
? ?
So so
, ,
that that
kid kid
in in
this this
crash crash
fared fare
very very
well well
. .
The the
federal federal
standards standard
are be
that that
you you
have have
to to
score score
below below
a a
1 @card@
, ,
000 @card@
to to
be be
an an
approved approve
car car
seat seat
on on
this this
crash crash
, ,
in in
some some
metric metric
of of
units unit
which which
are be
not not
important important
. .
And and
this this
crash crash
would would
have have
been be
about about
a a
450 @card@
. .
So so
this this
car car
seat seat
was be
actually actually
an an
above-average above-average
car car
seat seat
from from
Consumer consumer
Reports reports
, ,
and and
did do
quite quite
well well
. .
So so
the the
next next
one one
. .
Now now
, ,
this this
is be
the the
kid kid
, ,
same same
crash crash
, ,
who who
is be
in in
the the
seatbelt seatbelt
. .
He he
hardly hardly
moves move
at at
all all
, ,
actually actually
, ,
relative relative
to to
the the
other other
child child
. .
The the
funny funny
thing thing
is be
, ,
the the
cam cam
work work
is be
terrible terrible
because because
they they
' '
ve ve
only only
set set
it it
up up
to to
do do
the the
car car
seats seat
, ,
and and
so so
, ,
they they
actually actually
don don
' '
t t
even even
have have
a a
way way
to to
move move
the the
camera camera
so so
you you
can can
see see
the the
kid kid
that that
' '
s s
on on
the the
rebound rebound
. .
Anyway anyway
, ,
it it
turns turn
out out
that that
those those
two two
crashes crash
, ,
that that
actually actually
the the
three-year-old three-year-old
did do
slightly slightly
worse bad
. .
So so
, ,
he he
gets get
about about
a a
500 @card@
out out
of of
— -
you you
know know
, ,
on on
this this
range range
— -
relative relative
to to
a a
400 @card@
and and
something something
. .
But but
still still
, ,
if if
you you
just just
took take
that that
data datum
from from
that that
crash crash
to to
the the
federal federal
government government
, ,
and and
said say
, ,
" "
I i
have have
invented invent
a a
new new
car car
seat seat
. .
I i
would would
like like
you you
to to
approve approve
it it
for for
selling selling
, ,
" "
then then
they they
would would
say say
, ,
" "
This this
is be
a a
fantastic fantastic
new new
car car
seat seat
, ,
it it
works work
great great
. .
It it
only only
got get
a a
500 @card@
, ,
it it
could could
have have
gotten get
as as
high high
up up
as as
a a
1 @card@
, ,
000 @card@
. .
" "
And and
this this
seatbelt seatbelt
would would
have have
passed pass
with with
flying fly
colors color
into into
being be
approved approve
as as
a a
car car
seat seat
. .
So so
, ,
in in
some some
sense sense
, ,
what what
this this
is be
suggesting suggest
is be
that that
it it
' '
s s
not not
just just
that that
people people
are be
setting set
up up
their their
car car
seats seat
wrong wrong
, ,
which which
is be
putting put
children child
at at
risk risk
. .
It it
' '
s s
just just
that that
, ,
fundamentally fundamentally
, ,
the the
car car
seats seat
aren aren
' '
t t
doing do
much much
. .
So so
here here
' '
s s
the the
crash crash
. .
So so
these these
are be
timed time
at at
the the
same same
time time
, ,
so so
you you
can can
see see
that that
it it
takes take
much much
longer longer
with with
the the
car car
seat seat
— -
at at
rebound rebound
, ,
it it
takes take
a a
lot lot
longer longer
— -
but but
there there
' '
s s
just just
a a
lot lot
less less
movement movement
for for
child child
who who
' '
s s
in in
the the
seatbelt seatbelt
. .
So so
, ,
I i
' '
ll ll
show show
you you
the the
six- six-
year-old year-old
crashes crash
as as
well well
. .
The the
six-year-old six-year-old
is be
in in
a a
car car
seat seat
, ,
and and
it it
turns turn
out out
that that
looks look
terrible terrible
, ,
but but
that that
' '
s s
great great
. .
That that
' '
s s
like like
a a
400 @card@
, ,
OK ok
? ?
So so
that that
kid kid
would would
do do
fine fine
in in
the the
crash crash
. .
Nothing nothing
about about
that that
would would
have have
been be
problematic problematic
to to
the the
child child
at at
all all
. .
And and
then then
here here
' '
s s
the the
six-year-old six-year-old
in in
the the
seatbelt seatbelt
, ,
and and
in in
fact fact
, ,
they they
get get
exactly exactly
within within
, ,
you you
know know
, ,
within within
one one
or or
two two
points point
of of
the the
same same
. .
So so
really really
, ,
for for
the the
six-year-old six-year-old
, ,
the the
car car
seat seat
did do
absolutely absolutely
nothing nothing
whatsoever whatsoever
. .
That that
' '
s s
some some
more more
evidence evidence
, ,
so so
in in
some some
sense sense
— -
I i
was be
criticized criticize
by by
a a
scientist scientist
, ,
who who
said say
, ,
" "
You you
could could
never never
publish publish
a a
study study
with with
an an
n n
of of
4 @card@
, ,
" "
meaning mean
those those
four four
crashes crash
. .
So so
I i
wrote write
him him
back back
and and
I i
said say
, ,
" "
What what
about about
an an
n n
of of
45 @card@
, ,
004 @card@
? ?
" "
Because because
I i
had have
the the
other other
45 @card@
, ,
000 @card@
other other
real-world real-world
crashes crash
. .
And and
I i
just just
think think
that that
it it
' '
s s
interesting interesting
that that
the the
idea idea
of of
using use
real-world real-world
crashes crash
, ,
which which
is be
very very
much much
something something
that that
economists economist
think think
would would
be be
the the
right right
thing thing
to to
do do
, ,
is be
something something
that that
scientists scientist
don don
' '
t t
actually actually
, ,
usually usually
think think
— -
they they
would would
rather rather
use use
a a
laboratory laboratory
, ,
a a
very very
imperfect imperfect
science science
of of
looking look
at at
the the
dummies dummy
, ,
than than
actually actually
30 @card@
years year
of of
data datum
of of
what what
we we
' '
ve ve
seen see
with with
children child
and and
with with
car car
seats seat
. .
And and
so so
I i
think think
the the
answer answer
to to
this this
puzzle puzzle
is be
that that
there there
' '
s s
a a
much much
better good
solution solution
out out
there there
, ,
that that
' '
s s
gotten get
nobody nobody
excited excite
because because
everyone everyone
is be
so so
delighted delight
with with
the the
way way
car car
seats seat
are be
presumably presumably
working work
. .
And and
if if
you you
think think
from from
a a
design design
perspective perspective
, ,
about about
going go
back back
to to
square square
one one
, ,
and and
say say
, ,
" "
I i
just just
want want
to to
protect protect
kids kid
in in
the the
back back
seat seat
. .
" "
I i
don don
' '
t t
there there
' '
s s
anyone anyone
in in
this this
room room
who who
' '
d d
say say
, ,
" "
Well well
, ,
the the
right right
way way
to to
start start
would would
be be
, ,
let let
' '
s s
make make
a a
great great
seat seat
belt belt
for for
adults adult
. .
And and
then then
, ,
let let
' '
s s
make make
this this
really really
big big
contraption contraption
that that
you you
have have
to to
rig rig
up up
to to
it it
in in
this this
daisy daisy
chain chain
. .
" "
I i
mean mean
, ,
why why
not not
start start
— -
who who
' '
s s
sitting sit
in in
the the
back back
seat seat
anyway anyway
except except
for for
kids kid
? ?
But but
essentially essentially
, ,
do do
something something
like like
this this
, ,
which which
I i
don don
' '
t t
know know
exactly exactly
how how
much much
it it
would would
cost cost
to to
do do
, ,
but but
there there
' '
s s
no no
reason reason
I i
could could
see see
why why
this this
should should
be be
much much
more more
expensive expensive
than than
a a
regular regular
car car
seat seat
. .
It it
' '
s s
just just
actually actually
— -
you you
see see
, ,
this this
is be
folding fold
up up
— -
it it
' '
s s
behind behind
the the
seat seat
. .
You you
' '
ve ve
got get
a a
regular regular
seat seat
for for
adults adult
, ,
and and
then then
you you
fold fold
it it
down down
, ,
and and
the the
kid kid
sits sit
on on
top top
, ,
and and
it it
' '
s s
integrated integrated
. .
It it
seems seem
to to
me me
that that
this this
can can
' '
t t
be be
a a
very very
expensive expensive
solution solution
, ,
and and
it it
' '
s s
got get
to to
work work
better good
than than
what what
we we
already already
have have
. .
So so
the the
question question
is be
, ,
is be
there there
any any
hope hope
for for
adoption adoption
of of
something something
like like
this this
, ,
which which
would would
presumably presumably
save save
a a
lot lot
of of
lives life
? ?
And and
I i
think think
the the
answer answer
, ,
perhaps perhaps
, ,
lies lie
in in
a a
story story
. .
The the
answer answer
both both
to to
why why
has have
a a
car car
seat seat
been be
so so
successful successful
, ,
and and
why why
this this
may may
someday someday
be be
adopted adopt
or or
not not
, ,
lies lie
in in
a a
story story
that that
my my
dad dad
told tell
me me
, ,
relating relate
to to
when when
he he
was be
a a
doctor doctor
in in
the the
U u
. .
S s
. .
