Chris chris
four four
days day
of of
work work
, ,
10 @card@
days day
of of
lockdown lockdown
. .
And and
that that
way way
, ,
if if
a a
person person
gets get
infected infect
at at
work work
, ,
they they
reach reach
their their
peak peak
infectiousness infectiousness
during during
lockdown lockdown
, ,
and and
that that
way way
, ,
they they
avoid avoid
infecting infect
many many
others other
. .
This this
restricts restrict
the the
viral viral
transmission transmission
. .
Also also
, ,
just just
working work
four four
days day
out out
of of
two two
weeks week
restricts restrict
the the
amount amount
of of
time time
the the
virus virus
gets get
to to
see see
many many
other other
people people
, ,
and and
that that
' '
s s
a a
very very
powerful powerful
effect effect
. .
So so
everybody everybody
works work
on on
the the
same same
four four
days day
, ,
kids kid
go go
to to
school school
on on
the the
same same
four four
days day
, ,
with with
all all
the the
measures measure
of of
social social
distancing distancing
and and
masks mask
, ,
etc etc
, ,
and and
then then
there there
' '
s s
a a
lockdown lockdown
period period
. .
CA ca
: :
So so
if if
you you
take take
the the
worst-case worst-case
scenario scenario
, ,
where where
you you
come come
to to
work work
on on
a a
Monday monday
morning morning
at at
the the
start start
of of
your your
four four
days day
, ,
and and
you you
' '
re re
infected infect
on on
the the
subway subway
, ,
say say
, ,
on on
the the
way way
to to
work work
, ,
the the
theory theory
here here
is be
that that
even even
by by
the the
end end
of of
that that
four four
days day
, ,
you you
' '
re re
not not
really really
starting start
to to
infect infect
your your
coworkers coworker
? ?
UA ua
: :
That that
' '
s s
correct correct
. .
So so
you you
' '
re re
infected infect
on on
the the
subway subway
, ,
and and
so so
for for
the the
first first
three three
days day
or or
so so
, ,
you you
' '
re re
in in
your your
latent latent
period period
, ,
you you
don don
' '
t t
infect infect
your your
coworkers coworker
, ,
you you
reach reach
your your
peak peak
infectiousness infectiousness
at at
home home
, ,
there there
will will
be be
secondary secondary
infections infection
at at
home home
, ,
and and
people people
with with
symptoms symptom
can can
self-quarantine self-quarantine
, ,
and and
over over
the the
long long
run run
, ,
you you
have have
a a
reproduction reproduction
number number
less less
than than
one one
, ,
so so
the the
epidemic epidemic
, ,
if if
you you
continue continue
these these
cycles cycle
, ,
will will
go go
away away
. .
CA ca
: :
I i
mean mean
, ,
is be
it it
frustrating frustrate
at at
the the
thought thought
that that
people people
are be
going go
to to
say say
, ,
" "
Wait wait
-- --
I i
don don
' '
t t
want want
to to
infect infect
people people
at at
home home
, ,
I i
' '
d d
rather rather
infect infect
people people
at at
work work
than than
at at
home home
. .
" "
What what
' '
s s
the the
response response
to to
that that
? ?
UA ua
: :
Yes yes
, ,
absolutely absolutely
. .
So so
we we
have have
to to
consider consider
the the
alternatives alternative
. .
If if
you you
open open
up up
the the
economy economy
and and
there there
' '
s s
a a
second second
wave wave
, ,
you you
' '
ll ll
get get
all all
those those
infections infection
anyway anyway
during during
the the
lockdown lockdown
that that
happens happen
, ,
along along
with with
the the
devastating devastating
effects effect
on on
the the
economy economy
, ,
etc etc
. .
And and
so so
, ,
in in
the the
long long
run run
, ,
if if
you you
do do
a a
cyclic cyclic
strategy strategy
like like
this this
but but
with with
a a
reproduction reproduction
number number
that that
' '
s s
less less
than than
one one
, ,
you you
avoid avoid
, ,
at at
least least
with with
these these
mathematical mathematical
models model
and and
considerations consideration
, ,
the the
much much
larger large
number number
of of
infections infection
you you
' '
d d
get get
if if
there there
' '
s s
a a
second second
wave wave
. .
CA ca
: :
Right right
. .
You you
' '
re re
serving serve
the the
needs need
of of
your your
family family
by by
-- --
sorry sorry
, ,
go go
on on
. .
UA ua
: :
Even even
people people
who who
are be
infected infected
don don
' '
t t
infect infect
everyone everyone
at at
home home
. .
The the
attack attack
rates rate
are be
10 @card@
to to
30 @card@
percent percent
, ,
according accord
to to
several several
studies study
. .
CA ca
: :
Right right
. .
But but
the the
hope hope
is be
that that
you you
' '
re re
serving serve
the the
needs need
of of
your your
family family
by by
engaging engage
in in
a a
strategy strategy
where where
very very
few few
of of
your your
fellow fellow
workers worker
are be
going go
to to
be be
infectious infectious
anyway anyway
, ,
so so
that that
' '
s s
the the
plan plan
, ,
but but
um um
-- --
UA ua
: :
That that
' '
s s
right right
. .
CA ca
: :
Tell tell
me me
this this
, ,
though though
-- --
because because
four four
days day
out out
of of
14 @card@
, ,
someone someone
' '
s s
going go
to to
say say
, ,
" "
Well well
, ,
great great
idea idea
, ,
but but
that that
implies imply
, ,
like like
, ,
a a
70 @card@
percent percent
loss loss
of of
productivity productivity
in in
the the
economy economy
, ,
so so
that that
can can
' '
t t
possibly possibly
work work
. .
" "
I i
think think
you you
think think
that that
the the
productivity productivity
loss loss
need need
not not
be be
anything anything
like like
that that
much much
. .
UA ua
: :
That that
' '
s s
right right
, ,
and and
of of
course course
, ,
most most
people people
don don
' '
t t
work work
weekends weekend
, ,
so so
it it
' '
s s
four four
days day
out out
of of
the the
10 @card@
work work
days day
in in
the the
two two
weeks week
, ,
and and
once once
you you
have have
a a
predictable predictable
schedule schedule
of of
four four
days day
at at
work work
, ,
you you
can can
work work
longer long
hours hour
, ,
you you
can can
design design
shifts shift
and and
get get
higher high
productivity productivity
by by
prioritizing prioritizing
in in
those those
four four
days day
much much
more more
than than
40 @card@
percent percent
of of
the the
workdays workday
. .
CA ca
: :
Yes yes
, ,
so so
talk talk
through through
how how
that that
could could
work work
. .
I i
mean mean
, ,
let let
' '
s s
imagine imagine
, ,
first first
of of
all all
, ,
manufacturing manufacturing
, ,
which which
is be
currently currently
shut shut
down down
. .
Is be
the the
implication implication
here here
that that
a a
manufacturer manufacturer
could could
set set
up up
two two
, ,
possibly possibly
even even
three three
, ,
shifts shift
of of
four four
days day
, ,
maybe maybe
35 @card@
hours hour
or or
something something
of of
work work
over over
those those
four four
days day
and and
still still
get get
a a
lot lot
of of
productivity productivity
, ,
basically basically
, ,
having have
the the
lines line
almost almost
running run
continuously continuously
that that
way way
? ?
UA ua
: :
Exactly exactly
. .
So so
this this
is be
a a
staggered staggered
version version
of of
this this
idea idea
, ,
where where
you you
take take
the the
population population
, ,
divide divide
it it
into into
two two
groups group
or or
three three
groups group
. .
Let let
' '
s s
say say
one one
group group
works work
four four
days day
and and
then then
10 @card@
days day
of of
lockdown lockdown
. .
Then then
the the
other other
group group
kicks kick
in in
. .
This this
idea idea
was be
proposed propose
by by
colleagues colleague
at at
Bar-Ilan bar-ilan
University university
. .
Then then
you you
get get
an an
added added
benefit benefit
that that
during during
workdays workday
there there
' '
s s
less less
density density
. .
If if
there there
' '
s s
two two
groups group
, ,
there there
' '
s s
half half
the the
density density
and and
less less
transmission transmission
. .
And and
you you
can can
keep keep
production production
lines line
working work
almost almost
continuously continuously
like like
that that
using use
this this
staggered staggered
idea idea
. .
CA ca
: :
And and
applying apply
it it
to to
thinking think
about about
offices office
coming come
back back
-- --
I i
mean mean
, ,
it it
seems seem
to to
me me
that that
, ,
as as
we we
' '
ve ve
already already
seen see
, ,
there there
' '
s s
a a
lot lot
of of
productivity productivity
that that
can can
happen happen
when when
you you
' '
re re
at at
home home
, ,
so so
you you
could could
picture picture
on on
this this
idea idea
of of
people people
doing do
one one
set set
of of
things thing
during during
the the
four four
days day
when when
they they
' '
re re
, ,
say say
, ,
back back
at at
the the
office office
, ,
doing do
the the
exposure exposure
to to
each each
other other
, ,
sparking spark
off off
each each
other other
, ,
the the
discussions discussion
, ,
the the
brainstorming brainstorming
, ,
all all
that that
good good
stuff stuff
, ,
while while
at at
home home
, ,
they they
' '
re re
then then
doing do
all all
the the
things thing
that that
we we
' '
ve ve
been be
doing do
the the
last last
few few
weeks week
, ,
kind kind
of of
working work
solo solo
. .
How how
much much
have have
you you
thought think
about about
how how
that that
, ,
whether whether
it it
' '
s s
possible possible
, ,
effectively effectively
, ,
to to
divide divide
work work
into into
different different
types type
and and
actually actually
use use
a a
strategy strategy
like like
this this
to to
maintain maintain
almost almost
full full
or or
even even
better good
productivity productivity
? ?
UA ua
: :
I i
agree agree
-- --
for for
many many
sectors sector
, ,
people people
work work
at at
home home
very very
effectively effectively
, ,
and and
we we
' '
ve ve
heard hear
from from
several several
industries industry
that that
productivity productivity
actually actually
went go
up up
during during
lockdown lockdown
and and
people people
working work
at at
home home
. .
So so
if if
you you
have have
a a
schedule schedule
, ,
a a
[ [
cyclic cyclic
exit exit
strategy strategy
] ]
you you
can can
restrict restrict
the the
amount amount
, ,
or or
you you
can can
plan plan
the the
work work
where where
you you
need need
to to
be be
together together
in in
a a
very very
effective effective
way way
with with
avoiding avoid
a a
lot lot
of of
time time
lost lose
, ,
if if
the the
person person
' '
s s
work work
can can
be be
more more
effective effective
at at
home home
and and
more more
effective effective
at at
work work
and and
get get
high high
productivity productivity
. .
I i
should should
say say
that that
some some
sectors sector
really really
need need
to to
adjust adjust
, ,
like like
hotels hotel
, ,
tourism tourism
, ,
dining dining
. .
In in
several several
industries industry
, ,
this this
will will
require require
more more
thought thought
and and
adjusting adjusting
. .
But but
other other
industries industry
are be
almost almost
built build
for for
ideas idea
like like
this this
. .
Maybe maybe
it it
' '
s s
even even
something something
you you
can can
consider consider
after after
the the
epidemic epidemic
, ,
because because
productivity productivity
can can
be be
at at
least least
as as
high high
. .
CA ca
: :
I i
mean mean
, ,
I i
read read
this this
and and
I i
started start
thinking think
about about
our our
own own
organization organization
, ,
TED ted
, ,
and and
how how
, ,
in in
many many
ways way
, ,
you you
could could
argue argue
that that
could could
work work
really really
well well
. .
I i
mean mean
, ,
for for
one one
thing thing
, ,
there there
' '
s s
this this
question question
about about
extroverts extrovert
and and
introverts introvert
. .
Some some
introverts introvert
, ,
if if
they they
were be
honest honest
, ,
might might
say say
that that
this this
pandemic pandemic
has have
been be
manna manna
from from
heaven heaven
for for
them them
. .
They they
' '
ve ve
found find
work work
less less
stressful stressful
. .
They they
' '
ve ve
been be
able able
to to
focus focus
and and
so so
forth forth
. .
With with
this this
sort sort
of of
four four
days day
on on
, ,
four four
days day
off off
type type
strategy strategy
, ,
perhaps perhaps
you you
can can
imagine imagine
a a
work work
world world
that that
' '
s s
optimized optimize
for for
both both
introverts introvert
and and
extroverts extrovert
? ?
UA ua
: :
Absolutely absolutely
. .
I i
mean mean
, ,
I i
feel feel
it it
also also
. .
Me me
and and
my my
partner partner
, ,
with with
different different
personalities personality
, ,
we we
both both
teach teach
in in
universities university
, ,
and and
teaching teach
through through
this this
has have
[ [
helped help
me me
] ]
become become
productive productive
in in
certain certain
ways way
. .
So so
I i
agree agree
completely completely
, ,
and and
I i
think think
harnessing harness
the the
creativity creativity
of of
people people
at at
workplaces workplace
, ,
we we
' '
re re
only only
at at
the the
beginning beginning
of of
what what
these these
kinds kind
of of
mixtures mixture
can can
offer offer
. .
CA ca
: :
But but
for for
people people
who who
are be
on on
the the
front front
line line
, ,
again again
, ,
if if
you you
' '
re re
delivering deliver
goods good
and and
so so
forth forth
and and
you you
can can
' '
t t
do do
that that
virtually virtually
, ,
is be
there there
any any
thought thought
about about
how how
a a
four four
days day
on on
and and
then then
isolation isolation
strategy strategy
, ,
how how
that that
off off
time time
could could
be be
used use
to to
nonetheless nonetheless
contribute contribute
to to
that that
person person
' '
s s
work work
through through
some some
form form
of of
training training
? ?
Or or
is be
it it
more more
just just
that that
people people
would would
work work
very very
intensely intensely
during during
four four
days day
, ,
and and
maybe maybe
people people
still still
aren aren
' '
t t
quite quite
earning earn
their their
full full
pay pay
in in
this this
scenario scenario
, ,
but but
it it
' '
s s
better well
than than
complete complete
lockdown lockdown
, ,
and and
it it
' '
s s
better well
than than
going go
back back
to to
work work
and and
seeing see
another another
surge surge
? ?
UA ua
: :
That that
' '
s s
right right
. .
So so
on on
a a
society society
level level
, ,
it it
' '
s s
better well
than than
opening open
up up
and and
seeing see
another another
surge surge
, ,
which which
would would
require require
complete complete
lockdown lockdown
. .
For for
people people
like like
hospital hospital
shifts shift
, ,
some some
hospitals hospital
adopted adopt
this this
kind kind
of of
program program
so so
we we
can can
protect protect
shifts shift
and and
avoid avoid
mixing mix
. .
It it
also also
creates create
a a
lot lot
of of
simplicity simplicity
and and
clarity clarity
. .
So so
you you
understand understand
when when
you you
' '
re re
working working
, ,
and and
you you
have have
some some
confidence confidence
because because
this this
is be
based base
on on
scientific scientific
modeling modeling
about about
the the
effectiveness effectiveness
of of
this this
plan plan
. .
It it
' '
s s
also also
equitable equitable
in in
the the
sense sense
that that
everybody everybody
gets get
to to
go go
to to
work work
, ,
not not
only only
certain certain
sectors sector
, ,
it it
' '
s s
transparent transparent
, ,
etc etc
. .
[ [
Cross cross
talk talk
] ]
CA ca
: :
And and
this this
is be
something something
that that
is be
best well
implemented implement
by by
individual individual
companies company
? ?
Or or
is be
it it
actually actually
much much
better well
implemented implement
a a
city city
at at
a a
time time
or or
even even
a a
nation nation
at at
a a
time time
? ?
UA ua
: :
We we
think think
it it
can can
work work
[ [
in in
levels level
] ]
. .
So so
at at
certain certain
companies company
, ,
it it
' '
s s
very very
natural natural
to to
adopt adopt
, ,
or or
at at
hospitals hospital
, ,
schools school
, ,
etc etc
. .
It it
can can
also also
work work
at at
the the
level level
of of
a a
town town
or or
a a
region region
, ,
and and
then then
we we
would would
advise advise
trying try
it it
out out
for for
something something
like like
a a
month month
, ,
seeing see
whether whether
cases case
rise rise
. .
In in
that that
case case
, ,
you you
can can
dial dial
down down
the the
number number
of of
workdays workday
. .
Or or
, ,
if if
cases case
are be
declining decline
quickly quickly
, ,
you you
can can
add add
workdays workday
and and
therefore therefore
adapt adapt
to to
the the
climate climate
and and
the the
location location
where where
a a
person person
is be
. .
So so
it it
' '
s s
quite quite
adaptable adaptable
. .
CA ca
: :
But but
by by
aligning align
work work
schedules schedule
with with
schools school
, ,
for for
example example
, ,
that that
suddenly suddenly
allows allow
parents parent
to to
go go
back back
to to
work work
on on
the the
days day
that that
their their
kids kid
are be
at at
school school
, ,
and and
you you
' '
d d
have have
to to
try try
-- --
UA ua
: :
Absolutely absolutely
. .
CA ca
: :
I i
mean mean
, ,
is be
the the
best good
instantiation instantiation
of of
this this
that that
countries country
literally literally
divide divide
households household
into into
different different
A a
and and
B b
categories category
, ,
or or
something something
like like
that that
, ,
so so
that that
that that
kind kind
of of
alignment alignment
could could
happen happen
? ?
UA ua
: :
Exactly exactly
. .
So so
you you
can can
align align
different different
households household
, ,
Group group
A a
and and
Group group
B b
, ,
and and
then then
the the
children child
go go
to to
school school
, ,
the the
parents parent
go go
to to
work work
in in
a a
synchronized synchronize
way way
, ,
and and
the the
other other
group group
, ,
let let
' '
s s
say say
, ,
the the
alternating alternate
weeks week
. .
A a
certain certain
amount amount
of of
people people
need need
to to
work work
all all
the the
time time
. .
Maybe maybe
teachers teacher
are be
, ,
like like
, ,
essential essential
workers worker
and and
need need
to to
work work
throughout throughout
. .
Just just
like like
during during
lockdown lockdown
situations situation
, ,
a a
certain certain
fraction fraction
of of
the the
population population
still still
works work
throughout throughout
. .
But but
a a
region region
that that
does do
this this
should should
be be
protected protect
, ,
in in
a a
sense sense
, ,
because because
it it
has have
a a
replication replication
number number
of of
less less
than than
one one
, ,
so so
imported import
infections infection
also also
can can
' '
t t
spread spread
very very
much much
. .
CA ca
: :
And and
here here
is be
the the
aforementioned aforementioned
David david
Biello biello
. .
David david
. .
David david
Biello biello
: :
Yes yes
. .
Hello hello
, ,
everybody everybody
. .
Uri uri
, ,
as as
you you
can can
imagine imagine
, ,
there there
are be
lot lot
of of
questions question
from from
the the
audience audience
, ,
and and
we we
have have
a a
first first
one one
kind kind
of of
about about
those those
workers worker
who who
have have
been be
marked mark
as as
essential essential
. .
Can can
you you
comment comment
on on
how how
this this
would would
impact impact
the the
health health
care care
professionals professional
and and
others other
who who
may may
not not
have have
time time
or or
the the
flexibility flexibility
to to
quarantine quarantine
in in
the the
way way
you you
suggest suggest
. .
UA ua
: :
That that
' '
s s
great great
. .
I i
want want
to to
say say
that that
there there
' '
s s
essential essential
workers worker
, ,
there there
' '
s s
people people
with with
low low
income income
, ,
that that
just just
can can
' '
t t
adhere adhere
to to
lockdown lockdown
because because
they they
have have
to to
make make
a a
living living
. .
And and
studies study
show show
that that
mobility mobility
[ [
among among
] ]
people people
in in
the the
low-income low-income
sectors sector
is be
larger large
during during
lockdown lockdown
. .
And and
also also
, ,
in in
developing develop
countries country
, ,
people people
just just
have have
to to
go go
out out
of of
the the
house house
. .
You you
can can
' '
t t
enforce enforce
lockdown lockdown
. .
So so
this this
four-10 four-10
kind kind
of of
strategy strategy
can can
actually actually
make make
lockdown lockdown
easier easy
to to
bear bear
for for
people people
who who
can can
still still
make make
a a
living living
during during
those those
days day
, ,
or or
at at
least least
make make
their their
own own
choices choice
about about
what what
fraction fraction
to to
work work
and and
what what
fraction fraction
to to
stay stay
in in
lockdown lockdown
. .
Some some
countries country
can can
' '
t t
get get
R r
less less
than than
one one
even even
with with
lockdown lockdown
, ,
because because
of of
this this
adherence adherence
problem problem
, ,
because because
of of
informal informal
sectors sector
, ,
etc etc
. .
We we
believe believe
that that
a a
four-10 four-10
cycle cycle
might might
make make
it it
easier easy
to to
do do
lockdown lockdown
and and
maybe maybe
get get
our our
infection infection
level level
less less
than than
one one
. .
That that
affects affect
billions billion
of of
people people
in in
the the
world world
. .
I i
hope hope
I i
answered answer
your your
question question
. .
DB db
: :
I i
think think
so so
, ,
and and
we we
have have
another another
question question
, ,
I i
believe believe
, ,
if if
that that
can can
be be
queued queue
up up
, ,
which which
is be
: :
Any any
chance chance
you you
can can
do do
the the
math math
and and
quantify quantify
the the
increased increase
risk risk
of of
this this
four-10 four-10
cycle cycle
? ?
UA ua
: :
So so
the the
increased increase
risk risk
, ,
we we
' '
re re
saying say
in in
our our
scientific scientific
paper paper
, ,
we we
did do
all all
the the
sensitivity sensitivity
analyses analysis
, ,
etc etc
, ,
and and
the the
question question
is be
, ,
it it
' '
s s
comparing compare
increased increase
risk risk
comparing compare
to to
what what
? ?
So so
, ,
to to
the the
economy economy
. .
. .
. .
It it
' '
s s
possible possible
there there
will will
be be
a a
second second
wave wave
. .
I i
mean mean
, ,
I i
hope hope
there there
won win
' '
t t
be be
, ,
but but
it it
certainly certainly
is be
possible possible
, ,
and and
in in
that that
case case
, ,
it it
' '
s s
clear clear
that that
a a
second second
wave wave
and and
another another
lockdown lockdown
will will
have have
worse bad
consequences consequence
on on
health health
than than
a a
cycle cycle
of of
four-10 four-10
. .
And and
so so
it it
' '
s s
really really
a a
question question
of of
what what
you you
' '
re re
comparing compare
to to
. .
DB db
: :
Sure sure
. .
Well well
, ,
thank thank
you you
so so
much much
for for
sharing share
this this
idea idea
, ,
Uri uri
. .
CA ca
: :
Indeed indeed
. .
David david
, ,
stay stay
on on
. .
But but
just just
before before
you you
go go
: :
Have have
any any
governments government
expressed express
interest interest
in in
exploring explore
this this
? ?
Do do
you you
see see
people people
considering consider
actually actually
implementing implement
this this
as as
national national
policy policy
? ?
UA ua
: :
Yes yes
, ,
we we
' '
re re
in in
touch touch
with with
several several
European european
countries country
and and
countries country
in in
South south
America america
and and
Israel israel
, ,
of of
course course
. .
Austria austria
has have
adopted adopt
a a
similar similar
program program
for for
their their
school school
system system
, ,
which which
is be
five five
school school
days day
every every
two two
weeks week
. .
And and
several several
companies company
and and
hospitals hospital
, ,
etc etc
. .
And and
so so
we we
' '
re re
very very
interested interested
to to
see see
how how
this this
will will
play play
out out
. .
CA ca
: :
Well well
, ,
I i
love love
the the
basic basic
start start
point point
of of
starting start
by by
looking look
at at
the the
enemy enemy
' '
s s
weakness weakness
. .
And and
you you
' '
ve ve
got get
this this
four-day four-day
period period
where where
it it
' '
s s
not not
necessarily necessarily
that that
dangerous dangerous
after after
an an
infection infection
, ,
if if
you you
could could
figure figure
out out
a a
way way
to to
work work
then then
. .
I i
assume assume
that that
testing testing
would would
actually actually
enhance enhance
this this
idea idea
as as
well well
a a
lot lot
, ,
right right
? ?
To to
test test
people people
before before
they they
come come
back back
-- --
UA ua
: :
It it
' '
s s
not not
predicated predicate
on on
testing testing
. .
You you
don don
' '
t t
have have
to to
have have
testing testing
for for
this this
idea idea
, ,
so so
that that
can can
apply apply
to to
regions region
without without
a a
lot lot
of of
testing testing
. .
If if
you you
do do
have have
testing testing
, ,
it it
could could
help help
you you
use use
testing testing
in in
a a
more more
effective effective
way way
by by
concentrating concentrate
testing testing
on on
people people
at at
the the
end end
of of
their their
10 @card@
lockdown lockdown
days day
, ,
just just
as as
they they
' '
re re
about about
to to
go go
to to
work work
; ;
that that
could could
make make
each each
test test
more more
impactful impactful
in in
terms term
of of
reducing reduce
their their
reproduction reproduction
number number
. .
CA ca
: :
Indeed indeed
, ,
instead instead
of of
having have
to to
test test
the the
whole whole
population population
every every
three three
or or
four four
days day
, ,
it it
' '
s s
just just
once once
every every
two two
weeks week
. .
That that
' '
s s
a a
much much
more more
imaginable imaginable
goal goal
. .
UA ua
: :
Sure sure
. .
CA ca
: :
Yeah yeah
. .
Well well
, ,
Uri uri
Alon alon
, ,
thank thank
you you
so so
much much
for for
spending spend
this this
time time
. .
