Well well
water water
, ,
energy energy
, ,
nutrients nutrient
, ,
which which
for for
some some
of of
them them
means mean
food food
, ,
and and
a a
protection protection
. .
And and
when when
you you
look look
at at
the the
Earth earth
, ,
very very
far far
away away
from from
any any
sunlight sunlight
, ,
deep deep
in in
the the
ocean ocean
, ,
you you
have have
life life
thriving thrive
and and
it it
uses use
only only
chemistry chemistry
for for
life life
processes process
. .
So so
when when
you you
think think
of of
it it
at at
that that
point point
, ,
all all
walls wall
collapse collapse
. .
You you
have have
no no
limitations limitation
, ,
basically basically
. .
And and
if if
you you
have have
been be
looking look
at at
the the
headlines headline
lately lately
, ,
then then
you you
will will
see see
that that
we we
have have
discovered discover
a a
subsurface subsurface
ocean ocean
on on
Europa europa
, ,
on on
Ganymede ganymede
, ,
on on
Enceladus enceladus
, ,
on on
Titan titan
, ,
and and
now now
we we
are be
finding find
a a
geyser geyser
and and
hot hot
springs spring
on on
Enceladus enceladus
, ,
Our our
solar solar
system system
is be
turning turn
into into
a a
giant giant
spa spa
. .
For for
anybody anybody
who who
has have
gone go
to to
a a
spa spa
knows know
how how
much much
microbes microbe
like like
that that
, ,
right right
? ?
So so
at at
that that
point point
, ,
think think
also also
about about
Mars mars
. .
There there
is be
no no
life life
possible possible
at at
the the
surface surface
of of
Mars mars
today today
, ,
but but
it it
might might
still still
be be
hiding hide
underground underground
. .
So so
, ,
we we
have have
been be
making make
progress progress
in in
our our
understanding understanding
of of
habitability habitability
, ,
but but
we we
also also
have have
been be
making make
progress progress
in in
our our
understanding understanding
of of
what what
the the
signatures signature
of of
life life
are be
on on
Earth earth
. .
And and
you you
can can
have have
what what
we we
call call
organic organic
molecules molecule
, ,
and and
these these
are be
the the
bricks brick
of of
life life
, ,
and and
you you
can can
have have
fossils fossil
, ,
and and
you you
can can
minerals mineral
, ,
biominerals biomineral
, ,
which which
is be
due due
to to
the the
reaction reaction
between between
bacteria bacterium
and and
rocks rock
, ,
and and
of of
course course
you you
can can
have have
gases gas
in in
the the
atmosphere atmosphere
. .
And and
when when
you you
look look
at at
those those
tiny tiny
green green
algae algae
on on
the the
right right
of of
the the
slide slide
here here
, ,
they they
are be
the the
direct direct
descendants descendant
of of
those those
who who
have have
been be
pumping pump
oxygen oxygen
a a
billion billion
years year
ago ago
in in
the the
atmosphere atmosphere
of of
the the
Earth earth
. .
When when
they they
did do
that that
, ,
they they
poisoned poison
90 @card@
percent percent
of of
the the
life life
at at
the the
surface surface
of of
the the
Earth earth
, ,
but but
they they
are be
the the
reason reason
why why
you you
are be
breathing breathe
this this
air air
today today
. .
But but
as as
much much
as as
our our
understanding understanding
grows grow
of of
all all
of of
these these
things thing
, ,
there there
is be
one one
question question
we we
still still
cannot can
answer answer
, ,
and and
this this
is be
, ,
where where
are be
we we
coming come
from from
? ?
And and
you you
know know
, ,
it it
' '
s s
getting get
worse bad
, ,
because because
we we
won win
' '
t t
be be
able able
to to
find find
the the
physical physical
evidence evidence
of of
where where
we we
are be
coming come
from from
on on
this this
planet planet
, ,
and and
the the
reason reason
being being
is be
that that
anything anything
that that
is be
older old
than than
four four
billion billion
years year
is be
gone go
. .
All all
record record
is be
gone go
, ,
erased erase
by by
plate plate
tectonics tectonics
and and
erosion erosion
. .
This this
is be
what what
I i
call call
the the
Earth earth
' '
s s
biological biological
horizon horizon
. .
Beyond beyond
this this
horizon horizon
we we
don don
' '
t t
know know
where where
we we
are be
coming come
from from
. .
So so
is be
everything everything
lost lose
? ?
Well well
, ,
maybe maybe
not not
. .
And and
we we
might might
be be
able able
to to
find find
evidence evidence
of of
our our
own own
origin origin
in in
the the
most most
unlikely unlikely
place place
, ,
and and
this this
place place
in in
Mars mars
. .
How how
is be
this this
possible possible
? ?
Well well
clearly clearly
at at
the the
beginning beginning
of of
the the
solar solar
system system
, ,
Mars mars
and and
the the
Earth earth
were be
bombarded bombard
by by
giant giant
asteroids asteroid
and and
comets comet
, ,
and and
there there
were be
ejecta ejecta
from from
these these
impacts impact
all all
over over
the the
place place
. .
Earth earth
and and
Mars mars
kept keep
throwing throw
rocks rock
at at
each each
other other
for for
a a
very very
long long
time time
. .
Pieces piece
of of
rocks rock
landed land
on on
the the
Earth earth
. .
Pieces piece
of of
the the
Earth earth
landed land
on on
Mars mars
. .
So so
clearly clearly
, ,
those those
two two
planets planet
may may
have have
been be
seeded seed
by by
the the
same same
material material
. .
So so
yeah yeah
, ,
maybe maybe
Granddady granddady
is be
sitting sit
there there
on on
the the
surface surface
and and
waiting wait
for for
us us
. .
But but
that that
also also
means mean
that that
we we
can can
go go
to to
Mars mars
and and
try try
to to
find find
traces trace
of of
our our
own own
origin origin
. .
Mars mars
may may
hold hold
that that
secret secret
for for
us us
. .
This this
is be
why why
Mars mars
is be
so so
special special
to to
us us
. .
But but
for for
that that
to to
happen happen
, ,
Mars mars
needed need
to to
be be
habitable habitable
at at
the the
time time
when when
conditions condition
were be
right right
. .
So so
was be
Mars mars
habitable habitable
? ?
We we
have have
a a
number number
of of
missions mission
telling tell
us us
exactly exactly
the the
same same
thing thing
today today
. .
At at
the the
time time
when when
life life
appeared appear
on on
the the
Earth earth
, ,
Mars mars
did do
have have
an an
ocean ocean
, ,
it it
had have
volcanoes volcano
, ,
it it
had have
lakes lake
, ,
and and
it it
had have
deltas delta
like like
the the
beautiful beautiful
picture picture
you you
see see
here here
. .
This this
picture picture
was be
sent send
by by
the the
Curiosity curiosity
rover rover
only only
a a
few few
weeks week
ago ago
. .
It it
shows show
the the
remnants remnant
of of
a a
delta delta
, ,
and and
this this
picture picture
tells tell
us us
something something
: :
water water
was be
abundant abundant
and and
stayed stay
founting founting
at at
the the
surface surface
for for
a a
very very
long long
time time
. .
This this
is be
good good
news news
for for
life life
. .
Life life
chemistry chemistry
takes take
a a
long long
time time
to to
actually actually
happen happen
. .
So so
this this
is be
extremely extremely
good good
news news
, ,
but but
does do
that that
mean mean
that that
if if
we we
go go
there there
, ,
life life
will will
be be
easy easy
to to
find find
on on
Mars mars
? ?
Not not
necessarily necessarily
. .
Here here
' '
s s
what what
happened happen
: :
At at
the the
time time
when when
life life
exploded explode
at at
the the
surface surface
of of
the the
Earth earth
, ,
then then
everything everything
went go
south south
for for
Mars mars
, ,
literally literally
. .
The the
atmosphere atmosphere
was be
stripped strip
away away
by by
solar solar
winds wind
, ,
Mars mars
lost lose
its its
magnetosphere magnetosphere
, ,
and and
then then
cosmic cosmic
rays ray
and and
U u
. .
V v
. .
bombarded bombard
the the
surface surface
and and
water water
escaped escape
to to
space space
and and
went go
underground underground
. .
So so
if if
we we
want want
to to
be be
able able
to to
understand understand
, ,
if if
we we
want want
to to
be be
able able
to to
find find
those those
traces trace
of of
the the
signatures signature
of of
life life
at at
the the
surface surface
of of
Mars mars
, ,
if if
they they
are be
there there
, ,
we we
need need
to to
understand understand
what what
was be
the the
impact impact
of of
each each
of of
these these
events event
on on
the the
preservation preservation
of of
its its
record record
. .
Only only
then then
will will
we we
be be
able able
to to
know know
where where
those those
signatures signature
are be
hiding hide
, ,
and and
only only
then then
will will
we we
be be
able able
to to
send send
our our
rover rover
to to
the the
right right
places place
where where
we we
can can
sample sample
those those
rocks rock
that that
may may
be be
telling tell
us us
something something
really really
important important
about about
who who
we we
are be
, ,
or or
, ,
if if
not not
, ,
maybe maybe
telling tell
us us
that that
somewhere somewhere
, ,
independently independently
, ,
life life
has have
appeared appear
on on
another another
planet planet
. .
So so
to to
do do
that that
, ,
it it
' '
s s
easy easy
. .
You you
only only
need need
to to
go go
back back
3 @card@
. .
5 @card@
billion billion
years year
ago ago
in in
the the
past past
of of
a a
planet planet
. .
We we
just just
need need
a a
time time
machine machine
. .
Easy easy
, ,
right right
? ?
Well well
, ,
actually actually
, ,
it it
is be
. .
Look look
around around
you you
— -
that that
' '
s s
planet planet
Earth earth
. .
This this
is be
our our
time time
machine machine
. .
Geologists geologist
are be
using use
it it
to to
go go
back back
in in
the the
past past
of of
our our
own own
planet planet
. .
I i
am be
using use
it it
a a
little little
bit bit
differently differently
. .
I i
use use
planet planet
Earth earth
to to
go go
in in
very very
extreme extreme
environments environment
where where
conditions condition
were be
similar similar
to to
those those
of of
Mars mars
at at
the the
time time
when when
the the
climate climate
changed change
, ,
and and
there there
I i
' '
m m
trying try
to to
understand understand
what what
happened happen
. .
What what
are be
the the
signatures signature
of of
life life
? ?
What what
is be
left leave
? ?
How how
are be
we we
going go
to to
find find
it it
? ?
So so
for for
one one
moment moment
now now
I i
' '
m m
going go
to to
take take
you you
with with
me me
on on
a a
trip trip
into into
that that
time time
machine machine
. .
And and
now now
, ,
what what
you you
see see
here here
, ,
we we
are be
at at
4 @card@
, ,
500 @card@
meters meter
in in
the the
Andes andes
, ,
but but
in in
fact fact
we we
are be
less less
than than
a a
billion billion
years year
after after
the the
Earth earth
and and
Mars mars
formed form
. .
The the
Earth earth
and and
Mars mars
will will
have have
looked look
pretty pretty
much much
exactly exactly
like like
that that
— -
volcanoes volcano
everywhere everywhere
, ,
evaporating evaporate
lakes lake
everywhere everywhere
, ,
minerals mineral
, ,
hot hot
springs spring
, ,
and and
then then
you you
see see
those those
mounds mound
on on
the the
shore shore
of of
those those
lakes lake
? ?
Those those
are be
built build
by by
the the
descendants descendant
of of
the the
first first
organisms organism
that that
gave give
us us
the the
first first
fossil fossil
on on
Earth earth
. .
But but
if if
we we
want want
to to
understand understand
what what
' '
s s
going go
on on
, ,
we we
need need
to to
go go
a a
little little
further further
. .
And and
the the
other other
thing thing
about about
those those
sites site
is be
that that
exactly exactly
like like
on on
Mars mars
three three
and and
a a
half half
billion billion
years year
ago ago
, ,
the the
climate climate
is be
changing change
very very
fast fast
, ,
and and
water water
and and
ice ice
are be
disappearing disappear
. .
But but
we we
need need
to to
go go
back back
to to
that that
time time
when when
everything everything
changed change
on on
Mars mars
, ,
and and
to to
do do
that that
, ,
we we
need need
to to
go go
higher high
. .
Why why
is be
that that
? ?
Because because
when when
you you
go go
higher high
, ,
the the
atmosphere atmosphere
is be
getting get
thinner thin
, ,
it it
' '
s s
getting get
more more
unstable unstable
, ,
the the
temperature temperature
is be
getting get
cooler cool
, ,
and and
you you
have have
a a
lot lot
more more
U u
. .
V @card@
. .
radiation radiation
. .
Basically basically
, ,
you you
are be
getting get
to to
those those
conditions condition
on on
Mars mars
when when
everything everything
changed change
. .
So so
I i
was be
not not
promising promising
anything anything
about about
a a
leisurely leisurely
trip trip
on on
the the
time time
machine machine
. .
You you
are be
not not
going go
to to
be be
sitting sit
in in
that that
time time
machine machine
. .
You you
have have
to to
haul haul
1 @card@
, ,
000 @card@
pounds pound
of of
equipment equipment
to to
the the
summit summit
of of
this this
20 @card@
, ,
000-foot 000-foot
volcano volcano
in in
the the
Andes andes
here here
. .
That that
' '
s s
about about
6 @card@
, ,
000 @card@
meters meter
. .
And and
you you
also also
have have
to to
sleep sleep
on on
42-degree 42-degree
slopes slope
and and
really really
hope hope
that that
there there
won win
' '
t t
be be
any any
earthquake earthquake
that that
night night
. .
But but
when when
we we
get get
to to
the the
summit summit
, ,
we we
actually actually
find find
the the
lake lake
we we
came come
for for
. .
At at
this this
altitude altitude
, ,
this this
lake lake
is be
experiencing experience
exactly exactly
the the
same same
conditions condition
as as
those those
on on
Mars mars
three three
and and
a a
half half
billion billion
years year
ago ago
. .
And and
now now
we we
have have
to to
change change
our our
voyage voyage
into into
an an
inner inner
voyage voyage
inside inside
that that
lake lake
, ,
and and
to to
do do
that that
, ,
we we
have have
to to
remove remove
our our
mountain mountain
gear gear
and and
actually actually
don don
suits suit
and and
go go
for for
it it
. .
But but
at at
the the
time time
we we
enter enter
that that
lake lake
, ,
at at
the the
very very
moment moment
we we
enter enter
that that
lake lake
, ,
we we
are be
stepping step
back back
three three
and and
a a
half half
billion billion
years year
in in
the the
past past
of of
another another
planet planet
, ,
and and
then then
we we
are be
going go
to to
get get
the the
answer answer
came come
for for
. .
Life life
is be
everywhere everywhere
, ,
absolutely absolutely
everywhere everywhere
. .
Everything everything
you you
see see
in in
this this
picture picture
is be
a a
living live
organism organism
. .
Maybe maybe
not not
so so
the the
diver diver
, ,
but but
everything everything
else else
. .
But but
this this
picture picture
is be
very very
deceiving deceive
. .
Life life
is be
abundant abundant
in in
those those
lakes lake
, ,
but but
like like
in in
many many
places place
on on
Earth earth
right right
now now
and and
due due
to to
climate climate
change change
, ,
there there
is be
a a
huge huge
loss loss
in in
biodiversity biodiversity
. .
In in
the the
samples sample
that that
we we
took take
back back
home home
, ,
36 @card@
percent percent
of of
the the
bacteria bacterium
in in
those those
lakes lake
were be
composed compose
of of
three three
species specie
, ,
and and
those those
three three
species specie
are be
the the
ones one
that that
have have
survived survive
so so
far far
. .
Here here
' '
s s
another another
lake lake
, ,
right right
next next
to to
the the
first first
one one
. .
The the
red red
color color
you you
see see
here here
is be
not not
due due
to to
minerals mineral
. .
It it
' '
s s
actually actually
due due
to to
the the
presence presence
of of
a a
tiny tiny
algae algae
. .
In in
this this
region region
, ,
the the
U u
. .
V @card@
. .
radiation radiation
is be
really really
nasty nasty
. .
Anywhere anywhere
on on
Earth earth
, ,
11 @card@
is be
considered consider
to to
be be
extreme extreme
. .
During during
U u
. .
V @card@
. .
storms storm
there there
, ,
the the
U u
. .
V @card@
. .
Index index
reaches reach
43 @card@
. .
SPF spf
30 @card@
is be
not not
going go
to to
do do
anything anything
to to
you you
over over
there there
, ,
and and
the the
water water
is be
so so
transparent transparent
in in
those those
lakes lake
that that
the the
algae algae
has have
nowhere nowhere
to to
hide hide
, ,
really really
, ,
and and
so so
they they
are be
developing develop
their their
own own
sunscreen sunscreen
, ,
and and
this this
is be
the the
red red
color color
you you
see see
. .
But but
they they
can can
adapt adapt
only only
so so
far far
, ,
and and
then then
when when
all all
the the
water water
is be
gone go
from from
the the
surface surface
, ,
microbes microbe
have have
only only
one one
solution solution
left left
: :
They they
go go
underground underground
. .
And and
those those
microbes microbe
, ,
the the
rocks rock
you you
see see
in in
that that
slide slide
here here
, ,
well well
, ,
they they
are be
actually actually
living live
inside inside
rocks rock
and and
they they
are be
using use
the the
protection protection
of of
the the
translucence translucence
of of
the the
rocks rock
to to
get get
the the
good good
part part
of of
the the
U u
. .
V @card@
. .
and and
discard discard
the the
part part
that that
could could
actually actually
damage damage
their their
DNA dna
. .
And and
this this
is be
why why
we we
are be
taking take
our our
rover rover
to to
train train
them them
to to
search search
for for
life life
on on
Mars mars
in in
these these
areas area
, ,
because because
if if
there there
was be
life life
on on
Mars mars
three three
and and
a a
half half
billion billion
years year
ago ago
, ,
it it
had have
to to
use use
the the
same same
strategy strategy
to to
actually actually
protect protect
itself itself
. .
Now now
, ,
it it
is be
pretty pretty
obvious obvious
that that
going go
to to
extreme extreme
environments environment
is be
helping help
us us
very very
much much
for for
the the
exploration exploration
of of
Mars mars
and and
to to
prepare prepare
missions mission
. .
So so
far far
, ,
it it
has have
helped help
us us
to to
understand understand
the the
geology geology
of of
Mars mars
. .
It it
has have
helped help
to to
understand understand
the the
past past
climate climate
of of
Mars mars
and and
its its
evolution evolution
, ,
but but
also also
its its
habitability habitability
potential potential
. .
Our our
most most
recent recent
rover rover
on on
Mars mars
has have
discovered discover
traces trace
of of
organics organic
. .
Yeah yeah
, ,
there there
are be
organics organic
at at
the the
surface surface
of of
Mars mars
. .
And and
it it
also also
discovered discover
traces trace
of of
methane methane
. .
And and
we we
don don
' '
t t
know know
yet yet
if if
the the
methane methane
in in
question question
is be
really really
from from
geology geology
or or
biology biology
. .
Regardless regardless
, ,
what what
we we
know know
is be
that that
because because
of of
the the
discovery discovery
, ,
the the
hypothesis hypothesis
that that
there there
is be
still still
life life
present present
on on
Mars mars
today today
remains remain
a a
viable viable
one one
. .
So so
by by
now now
, ,
I i
think think
I i
have have
convinced convince
you you
that that
Mars mars
is be
very very
special special
to to
us us
, ,
but but
it it
would would
be be
a a
mistake mistake
to to
think think
that that
Mars mars
is be
the the
only only
place place
in in
the the
solar solar
system system
that that
is be
interesting interesting
to to
find find
potential potential
microbial microbial
life life
. .
And and
the the
reason reason
is be
because because
Mars mars
and and
the the
Earth earth
could could
have have
a a
common common
root root
to to
their their
tree tree
of of
life life
, ,
but but
when when
you you
go go
beyond beyond
Mars mars
, ,
it it
' '
s s
not not
that that
easy easy
. .
Celestial celestial
mechanics mechanic
is be
not not
making make
it it
so so
easy easy
for for
an an
exchange exchange
of of
material material
between between
planets planet
, ,
and and
so so
if if
we we
were be
to to
discover discover
life life
on on
those those
planets planet
, ,
it it
would would
be be
different different
from from
us us
. .
It it
would would
be be
a a
different different
type type
of of
life life
. .
But but
in in
the the
end end
, ,
it it
might might
be be
just just
us us
, ,
it it
might might
be be
us us
and and
Mars mars
, ,
or or
it it
can can
be be
many many
trees tree
of of
life life
in in
the the
solar solar
system system
. .
I i
don don
' '
t t
know know
the the
answer answer
yet yet
, ,
but but
I i
can can
tell tell
you you
something something
: :
No no
matter matter
what what
the the
result result
is be
, ,
no no
matter matter
what what
that that
magic magic
number number
is be
, ,
it it
is be
going go
to to
give give
us us
a a
standard standard
by by
which which
we we
are be
going go
to to
be be
able able
to to
measure measure
the the
life life
potential potential
, ,
abundance abundance
and and
diversity diversity
beyond beyond
our our
own own
solar solar
system system
. .
And and
this this
can can
be be
achieved achieve
by by
our our
generation generation
. .
This this
can can
be be
our our
legacy legacy
, ,
but but
only only
if if
we we
dare dare
to to
explore explore
. .
Now now
, ,
finally finally
, ,
if if
somebody somebody
tells tell
you you
that that
looking look
for for
alien alien
microbes microbe
is be
not not
cool cool
because because
you you
cannot can
have have
a a
philosophical philosophical
conversation conversation
with with
them them
, ,
let let
me me
show show
you you
why why
and and
how how
you you
can can
tell tell
them them
they they
' '
re re
wrong wrong
. .
Well well
, ,
organic organic
material material
is be
going go
to to
tell tell
you you
about about
environment environment
, ,
about about
complexity complexity
and and
about about
diversity diversity
. .
DNA dna
, ,
or or
any any
information information
carrier carrier
, ,
is be
going go
to to
tell tell
you you
about about
adaptation adaptation
, ,
about about
evolution evolution
, ,
about about
survival survival
, ,
about about
planetary planetary
changes change
and and
about about
the the
transfer transfer
of of
information information
. .
All all
together together
, ,
they they
are be
telling tell
us us
what what
started start
as as
a a
microbial microbial
pathway pathway
, ,
and and
why why
what what
started start
as as
a a
microbial microbial
pathway pathway
sometimes sometimes
ends end
up up
as as
a a
civilization civilization
or or
sometimes sometimes
ends end
up up
as as
a a
dead dead
end end
. .
Look look
at at
the the
solar solar
system system
, ,
and and
look look
at at
the the
Earth earth
. .
On on
Earth earth
, ,
there there
are be
many many
intelligent intelligent
species specie
, ,
but but
only only
one one
has have
achieved achieve
technology technology
. .
Right right
here here
in in
the the
journey journey
of of
our our
own own
solar solar
system system
, ,
there there
is be
a a
very very
, ,
very very
powerful powerful
message message
that that
says say
here here
' '
s s
how how
we we
should should
look look
for for
alien alien
life life
, ,
small small
and and
big big
. .
So so
yeah yeah
, ,
microbes microbe
are be
talking talk
and and
we we
are be
listening listen
, ,
and and
they they
are be
taking take
us us
, ,
one one
planet planet
at at
a a
time time
and and
one one
moon moon
at at
a a
time time
, ,
towards towards
their their
big big
brothers brother
out out
there there
. .
And and
they they
are be
telling tell
us us
about about
diversity diversity
, ,
they they
are be
telling tell
us us
about about
abundance abundance
of of
life life
, ,
and and
they they
are be
telling tell
us us
how how
this this
life life
has have
survived survive
thus thus
far far
to to
reach reach
civilization civilization
, ,
intelligence intelligence
, ,
technology technology
and and
, ,
indeed indeed
, ,
philosophy philosophy
. .
Thank thank
you you
. .
