Two two
edge edge
of of
the the
neighborhood neighborhood
. .
I i
mean mean
, ,
these these
kids kid
, ,
without without
control control
, ,
throwing throw
Molotov molotov
cocktails cocktail
, ,
attacking attack
the the
cops cop
and and
the the
firemen fireman
, ,
looting loot
everything everything
they they
could could
in in
the the
shops shop
. .
These these
were be
criminals criminal
, ,
thugs thug
, ,
dangerous dangerous
, ,
destroying destroy
their their
own own
environment environment
. .
And and
then then
I i
saw see
it it
— -
could could
it it
be be
possible possible
? ?
— -
my my
photo photo
on on
a a
wall wall
revealed reveal
by by
a a
burning burning
car car
— -
a a
pasting paste
I i
' '
d d
done do
a a
year year
earlier earlier
— -
an an
illegal illegal
one one
— -
still still
there there
. .
I i
mean mean
, ,
these these
were be
the the
faces face
of of
my my
friends friend
. .
I i
know know
those those
guys guy
. .
All all
of of
them them
are be
not not
angels angel
, ,
but but
they they
' '
re re
not not
monsters monster
either either
. .
So so
it it
was be
kind kind
of of
weird weird
to to
see see
those those
images image
and and
those those
eyes eye
stare stare
back back
at at
me me
through through
a a
television television
. .
So so
I i
went go
back back
there there
with with
a a
28 @card@
mm mm.
lens lens
. .
It it
was be
the the
only only
one one
I i
had have
at at
that that
time time
. .
But but
with with
that that
lens lens
, ,
you you
have have
to to
be be
as as
close close
as as
10 @card@
inches inch
from from
the the
person person
. .
So so
you you
can can
do do
it it
only only
with with
their their
trust trust
. .
So so
I i
took take
full full
portraits portrait
of of
people people
from from
Le le
Bosquet bosquet
. .
They they
were be
making make
scary scary
faces face
to to
play play
the the
caricature caricature
of of
themselves themselves
. .
And and
then then
I i
pasted paste
huge huge
posters poster
everywhere everywhere
in in
the the
bourgeois bourgeois
area area
of of
Paris paris
with with
the the
name name
, ,
age age
, ,
even even
building build
number number
of of
these these
guys guy
. .
A a
year year
later later
, ,
the the
exhibition exhibition
was be
displayed display
in in
front front
of of
the the
city city
hall hall
of of
Paris paris
. .
And and
we we
go go
from from
thug thug
images image
, ,
who who
' '
ve ve
been be
stolen steal
and and
distorted distort
by by
the the
media medium
, ,
who who
' '
s s
now now
proudly proudly
taking take
over over
his his
own own
image image
. .
That that
' '
s s
where where
I i
realized realize
the the
power power
of of
paper paper
and and
glue glue
. .
So so
could could
art art
change change
the the
world world
? ?
A a
year year
later later
, ,
I i
was be
listening listen
to to
all all
the the
noise noise
about about
the the
Middle middle
East east
conflict conflict
. .
I i
mean mean
, ,
at at
that that
time time
, ,
trust trust
me me
, ,
they they
were be
only only
referring refer
to to
the the
Israeli israeli
and and
Palestinian palestinian
conflict conflict
. .
So so
with with
my my
friend friend
Marco marco
, ,
we we
decided decide
to to
go go
there there
and and
see see
who who
are be
the the
real real
Palestinians palestinian
and and
who who
are be
the the
real real
Israelis israelis
. .
Are be
they they
so so
different different
? ?
When when
we we
got get
there there
, ,
we we
just just
went go
in in
the the
street street
, ,
started start
talking talk
with with
people people
everywhere everywhere
, ,
and and
we we
realized realize
that that
things thing
were be
a a
bit bit
different different
from from
the the
rhetoric rhetoric
we we
heard hear
in in
the the
media medium
. .
So so
we we
decided decide
to to
take take
portraits portrait
of of
Palestinians palestinians
and and
Israelis israelis
doing do
the the
same same
jobs job
— -
taxi-driver taxi-driver
, ,
lawyer lawyer
, ,
cooks cook
. .
Asked ask
them them
to to
make make
a a
face face
as as
a a
sign sign
of of
commitment commitment
. .
Not not
a a
smile smile
— -
that that
really really
doesn doesn
' '
t t
tell tell
about about
who who
you you
are be
and and
what what
you you
feel feel
. .
They they
all all
accepted accept
to to
be be
pasted paste
next next
to to
the the
other other
. .
I i
decided decide
to to
paste paste
in in
eight eight
Israeli israeli
and and
Palestinian palestinian
cities city
and and
on on
both both
sides side
of of
the the
wall wall
. .
We we
launched launch
the the
biggest big
illegal illegal
art art
exhibition exhibition
ever ever
. .
We we
called call
the the
project project
Face face
2 @card@
Face face
. .
The the
experts expert
said say
, ,
" "
No no
way way
. .
The the
people people
will will
not not
accept accept
. .
The the
army army
will will
shoot shoot
you you
, ,
and and
Hamas hamas
will will
kidnap kidnap
you you
. .
" "
We we
said say
, ,
" "
Okay okay
, ,
let let
' '
s s
try try
and and
push push
as as
far far
as as
we we
can can
. .
" "
I i
love love
the the
way way
that that
people people
will will
ask ask
me me
, ,
" "
How how
big big
will will
my my
photo photo
be be
? ?
" "
" "
It it
will will
be be
as as
big big
as as
your your
house house
. .
" "
When when
we we
did do
the the
wall wall
, ,
we we
did do
the the
Palestinian palestinian
side side
. .
So so
we we
arrived arrive
with with
just just
our our
ladders ladder
and and
we we
realized realize
that that
they they
were be
not not
high high
enough enough
. .
And and
so so
Palestinians palestinians
guys guy
say say
, ,
" "
Calm calm
down down
. .
No no
wait wait
. .
I i
' '
m m
going go
to to
find find
you you
a a
solution solution
. .
" "
So so
he he
went go
to to
the the
Church church
of of
Nativity nativity
and and
brought bring
back back
an an
old old
ladder ladder
that that
was be
so so
old old
that that
it it
could could
have have
seen see
Jesus jesus
being be
born bear
. .
We we
did do
Face face
2 @card@
Face face
with with
only only
six six
friends friend
, ,
two two
ladders ladder
, ,
two two
brushes brush
, ,
a a
rented rent
car car
, ,
a a
camera camera
and and
20 @card@
, ,
000 @card@
square square
feet foot
of of
paper paper
. .
We we
had have
all all
sorts sort
of of
help help
from from
all all
walks walk
of of
life life
. .
Okay okay
, ,
for for
example example
, ,
that that
' '
s s
Palestine palestine
. .
We we
' '
re re
in in
Ramallah ramallah
right right
now now
. .
We we
' '
re re
pasting paste
portraits portrait
— -
so so
both both
portraits portrait
in in
the the
streets street
in in
a a
crowded crowded
market market
. .
People people
come come
around around
us us
and and
start start
asking ask
, ,
" "
What what
are be
you you
doing do
here here
? ?
" "
" "
Oh oh
, ,
we we
' '
re re
actually actually
doing do
an an
art art
project project
and and
we we
are be
pasting paste
an an
Israeli israeli
and and
a a
Palestinian palestinian
doing do
the the
same same
job job
. .
And and
those those
ones one
are be
actually actually
two two
taxi-drivers taxi-driver
. .
" "
And and
then then
there there
was be
always always
a a
silence silence
. .
" "
You you
mean mean
you you
' '
re re
pasting paste
an an
Israeli israeli
face face
— -
doing do
a a
face face
— -
right right
here here
? ?
" "
" "
Well well
, ,
yeah yeah
, ,
yeah yeah
, ,
that that
' '
s s
part part
of of
the the
project project
. .
" "
And and
I i
would would
always always
leave leave
that that
moment moment
, ,
and and
we we
would would
ask ask
them them
, ,
" "
So so
can can
you you
tell tell
me me
who who
is be
who who
? ?
" "
And and
most most
of of
them them
couldn couldn
' '
t t
say say
. .
We we
even even
pasted paste
on on
Israeli israeli
military military
towers tower
, ,
and and
nothing nothing
happened happen
. .
When when
you you
paste paste
an an
image image
, ,
it it
' '
s s
just just
paper paper
and and
glue glue
. .
People people
can can
tear tear
it it
, ,
tag tag
on on
it it
, ,
or or
even even
pee pee
on on
it it
— -
some some
are be
a a
bit bit
high high
for for
that that
, ,
I i
agree agree
— -
but but
the the
people people
in in
the the
street street
, ,
they they
are be
the the
curator curator
. .
The the
rain rain
and and
the the
wind wind
will will
take take
them them
off off
anyway anyway
. .
They they
are be
not not
meant mean
to to
stay stay
. .
But but
exactly exactly
four four
years year
after after
, ,
the the
photos photo
, ,
most most
of of
them them
are be
still still
there there
. .
Face face
2 @card@
Face face
demonstrated demonstrate
that that
what what
we we
thought think
impossible impossible
was be
possible possible
— -
and and
, ,
you you
know know
what what
, ,
even even
easy easy
. .
We we
didn didn
' '
t t
push push
the the
limit limit
; ;
we we
just just
showed show
that that
they they
were be
further further
than than
anyone anyone
thought thought
. .
In in
the the
Middle middle
East east
, ,
I i
experienced experience
my my
work work
in in
places place
without without
[ [
many many
] ]
museums museum
. .
So so
the the
reactions reaction
in in
the the
street street
were be
kind kind
of of
interesting interesting
. .
So so
I i
decided decide
to to
go go
further further
in in
this this
direction direction
and and
go go
in in
places place
where where
there there
were be
zero zero
museums museum
. .
When when
you you
go go
in in
these these
developing develop
societies society
, ,
women woman
are be
the the
pillars pillar
of of
their their
community community
, ,
but but
the the
men man
are be
still still
the the
ones one
holding hold
the the
streets street
. .
So so
we we
were be
inspired inspire
to to
create create
a a
project project
where where
men man
will will
pay pay
tribute tribute
to to
women woman
by by
posting post
their their
photos photo
. .
I i
called call
that that
project project
Women woman
Are be
Heroes hero
. .
When when
I i
listened listen
to to
all all
the the
stories story
everywhere everywhere
I i
went go
on on
the the
continents continent
, ,
I i
couldn couldn
' '
t t
always always
understand understand
the the
complicated complicated
circumstances circumstance
of of
their their
conflict conflict
. .
I i
just just
observed observe
. .
Sometimes sometimes
there there
was be
no no
words word
, ,
no no
sentence sentence
, ,
just just
tears tear
. .
I i
just just
took take
their their
pictures picture
and and
pasted paste
them them
. .
Women woman
Are be
Heroes hero
took take
me me
around around
the the
world world
. .
Most most
of of
the the
places place
I i
went go
to to
, ,
I i
decided decide
to to
go go
there there
because because
I i
' '
ve ve
heard hear
about about
it it
through through
the the
media medium
. .
So so
for for
example example
, ,
in in
June june
2008 @card@
, ,
I i
was be
watching watch
TV tv
in in
Paris paris
, ,
and and
then then
I i
heard hear
about about
this this
terrible terrible
thing thing
that that
happened happen
in in
Rio rio
de de
Janeiro janeiro
— -
the the
first first
favela favela
of of
Brazil brazil
named name
Providencia providencia
. .
Three three
kids kid
— -
that that
was be
three three
students student
— -
were be
[ [
detained detain
] ]
by by
the the
army army
because because
they they
were be
not not
carrying carry
their their
papers paper
. .
And and
the the
army army
took take
them them
, ,
and and
instead instead
of of
bringing bring
them them
to to
the the
police police
station station
, ,
they they
brought bring
them them
to to
an an
enemy enemy
favela favela
where where
they they
get get
chopped chop
into into
pieces piece
. .
I i
was be
shocked shock
. .
All all
Brazil brazil
was be
shocked shock
. .
I i
heard hear
it it
was be
one one
of of
the the
most most
violent violent
favelas favelas
, ,
because because
the the
largest large
drug drug
cartel cartel
controls control
it it
. .
So so
I i
decided decide
to to
go go
there there
. .
When when
I i
arrived arrive
— -
I i
mean mean
, ,
I i
didn didn
' '
t t
have have
any any
contact contact
with with
any any
NGO ngo
. .
There there
was be
none none
in in
place place
— -
no no
association association
, ,
no no
NGOs ngo
, ,
nothing nothing
— -
no no
eyewitnesses eyewitness
. .
So so
we we
just just
walked walk
around around
, ,
and and
we we
met meet
a a
woman woman
, ,
and and
I i
showed show
her her
my my
book book
. .
And and
she she
said say
, ,
" "
You you
know know
what what
? ?
We we
' '
re re
hungry hungry
for for
culture culture
. .
We we
need need
culture culture
out out
there there
. .
" "
So so
I i
went go
out out
and and
I i
started start
with with
the the
kids kid
. .
I i
just just
took take
a a
few few
photos photo
of of
the the
kids kid
, ,
and and
the the
next next
day day
I i
came come
with with
the the
posters poster
and and
we we
pasted paste
them them
. .
The the
day day
after after
, ,
I i
came come
back back
and and
they they
were be
already already
scratched scratch
. .
But but
that that
' '
s s
okay okay
. .
I i
wanted want
them them
to to
feel feel
that that
this this
art art
belongs belong
to to
them them
. .
Then then
the the
next next
day day
, ,
I i
held hold
a a
meeting meeting
on on
the the
main main
square square
and and
some some
women woman
came come
. .
They they
were be
all all
linked link
to to
the the
three three
kids kid
that that
got get
killed kill
. .
There there
was be
the the
mother mother
, ,
the the
grandmother grandmother
, ,
the the
best good
friend friend
— -
they they
all all
wanted want
to to
shout shout
the the
story story
. .
After after
that that
day day
, ,
everyone everyone
in in
the the
favela favela
gave give
me me
the the
green green
light light
. .
I i
took take
more more
photos photo
, ,
and and
we we
started start
the the
project project
. .
The the
drug drug
lords lord
were be
kind kind
of of
worried worried
about about
us us
filming film
in in
the the
place place
, ,
so so
I i
told tell
them them
, ,
" "
You you
know know
what what
? ?
I i
' '
m m
not not
interested interested
in in
filming film
the the
violence violence
and and
the the
weapons weapon
. .
You you
see see
that that
enough enough
in in
the the
media medium
. .
What what
I i
want want
to to
show show
is be
the the
incredible incredible
life life
and and
energy energy
. .
I i
' '
ve ve
been be
seeing see
it it
around around
me me
the the
last last
few few
days day
. .
" "
So so
that that
' '
s s
a a
really really
symbolic symbolic
pasting paste
, ,
because because
that that
' '
s s
the the
first first
one one
we we
did do
that that
you you
couldn couldn
' '
t t
see see
from from
the the
city city
. .
And and
that that
' '
s s
where where
the the
three three
kids kid
got get
arrested arrest
, ,
and and
that that
' '
s s
the the
grandmother grandmother
of of
one one
of of
them them
. .
And and
on on
that that
stairs stair
, ,
that that
' '
s s
where where
the the
traffickers trafficker
always always
stand stand
and and
there there
' '
s s
a a
lot lot
of of
exchange exchange
of of
fire fire
. .
Everyone everyone
there there
understood understand
the the
project project
. .
And and
then then
we we
pasted paste
everywhere everywhere
— -
the the
whole whole
hill hill
. .
What what
was be
interesting interest
is be
that that
the the
media medium
couldn couldn
' '
t t
get get
in in
. .
I i
mean mean
, ,
you you
should should
see see
that that
. .
They they
would would
have have
to to
film film
us us
from from
a a
really really
long long
distance distance
by by
helicopter helicopter
and and
then then
have have
a a
really really
long long
lens lens
, ,
and and
we we
would would
see see
ourselves ourselves
, ,
on on
TV tv
, ,
pasting paste
. .
And and
they they
would would
put put
a a
number number
: :
" "
Please please
call call
this this
number number
if if
you you
know know
what what
' '
s s
going go
on on
in in
Providencia providencia
. .
" "
We we
just just
did do
a a
project project
and and
then then
left leave
so so
the the
media medium
wouldn wouldn
' '
t t
know know
. .
So so
how how
can can
we we
know know
about about
the the
project project
? ?
So so
they they
had have
to to
go go
and and
find find
the the
women woman
and and
get get
an an
explanation explanation
from from
them them
. .
So so
you you
create create
a a
bridge bridge
between between
the the
media medium
and and
the the
anonymous anonymous
women woman
. .
We we
kept keep
traveling travel
. .
We we
went go
to to
Africa africa
, ,
Sudan sudan
, ,
Sierra sierra
Leone leone
, ,
Liberia liberia
, ,
Kenya kenya
. .
In in
war-torn war-torn
places place
like like
Monrovia monrovia
, ,
people people
come come
straight straight
to to
you you
. .
I i
mean mean
, ,
they they
want want
to to
know know
what what
you you
' '
re re
up up
to to
. .
They they
kept keep
asking ask
me me
, ,
" "
What what
is be
the the
purpose purpose
of of
your your
project project
? ?
Are be
you you
an an
NGO ngo
? ?
Are be
you you
the the
media medium
? ?
" "
Art art
. .
Just just
doing do
art art
. .
Some some
people people
question question
, ,
" "
Why why
is be
it it
in in
black black
and and
white white
? ?
Don don
' '
t t
you you
have have
color color
in in
France france
? ?
" "
Or or
they they
tell tell
you you
, ,
" "
Are be
these these
people people
all all
dead dead
? ?
" "
Some some
who who
understood understand
the the
project project
would would
explain explain
it it
to to
others other
. .
And and
to to
a a
man man
who who
did do
not not
understand understand
, ,
I i
heard hear
someone someone
say say
, ,
" "
You you
know know
, ,
you you
' '
ve ve
been be
here here
for for
a a
few few
hours hour
trying try
to to
understand understand
, ,
discussing discuss
with with
your your
fellows fellow
. .
During during
that that
time time
, ,
you you
haven haven
' '
t t
thought think
about about
what what
you you
' '
re re
going go
to to
eat eat
tomorrow tomorrow
. .
This this
is be
art art
. .
" "
I i
think think
it it
' '
s s
people people
' '
s s
curiosity curiosity
that that
motivates motivate
them them
to to
come come
into into
the the
projects project
. .
And and
then then
it it
becomes become
more more
. .
It it
becomes become
a a
desire desire
, ,
a a
need need
, ,
an an
armor armor
. .
On on
this this
bridge bridge
that that
' '
s s
in in
Monrovia monrovia
, ,
ex-rebel ex-rebel
soldiers soldier
helped help
us us
pasting paste
a a
portrait portrait
of of
a a
woman woman
that that
might might
have have
been be
raped rape
during during
the the
war war
. .
Women woman
are be
always always
the the
first first
ones one
targeted target
during during
conflict conflict
. .
This this
is be
Kibera kibera
, ,
Kenya kenya
, ,
one one
of of
the the
largest large
slums slum
of of
Africa africa
. .
You you
might might
have have
seen see
images image
about about
the the
post-election post-election
violence violence
that that
happened happen
there there
in in
2008 @card@
. .
This this
time time
we we
covered cover
the the
roofs roof
of of
the the
houses house
, ,
but but
we we
didn didn
' '
t t
use use
paper paper
, ,
because because
paper paper
doesn doesn
' '
t t
prevent prevent
the the
rain rain
from from
leaking leak
inside inside
the the
house house
— -
vinyl vinyl
does do
. .
Then then
art art
becomes become
useful useful
. .
So so
the the
people people
kept keep
it it
. .
You you
know know
what what
I i
love love
is be
, ,
for for
example example
, ,
when when
you you
see see
the the
biggest big
eye eye
there there
, ,
there there
are be
so so
[ [
many many
] ]
houses house
inside inside
. .
And and
I i
went go
there there
a a
few few
months month
ago ago
— -
photos photo
are be
still still
there there
— -
and and
it it
was be
missing miss
a a
piece piece
of of
the the
eye eye
. .
So so
I i
asked ask
the the
people people
what what
happened happen
. .
" "
Oh oh
, ,
that that
guy guy
just just
moved move
. .
" "
When when
the the
roofs roof
were be
covered cover
, ,
a a
woman woman
said say
as as
a a
joke joke
, ,
" "
Now now
God god
can can
see see
me me
. .
" "
When when
you you
look look
at at
Kibera kibera
now now
, ,
they they
look look
back back
. .
Okay okay
, ,
India india
. .
Before before
I i
start start
that that
, ,
just just
so so
you you
know know
, ,
each each
time time
we we
go go
to to
a a
place place
, ,
we we
don don
' '
t t
have have
authorization authorization
, ,
so so
we we
set set
up up
like like
commandos commando
— -
we we
' '
re re
a a
group group
of of
friends friend
who who
arrive arrive
there there
, ,
and and
we we
try try
to to
paste paste
on on
the the
walls wall
. .
But but
there there
are be
places place
where where
you you
just just
can can
' '
t t
paste paste
on on
a a
wall wall
. .
In in
India india
it it
was be
just just
impossible impossible
to to
paste paste
. .
I i
heard hear
culturally culturally
and and
because because
of of
the the
law law
, ,
they they
would would
just just
arrest arrest
us us
at at
the the
first first
pasting paste
. .
So so
we we
decided decide
to to
paste paste
white white
, ,
white white
on on
the the
walls wall
. .
So so
imagine imagine
white white
guys guy
pasting paste
white white
papers paper
. .
So so
people people
would would
come come
to to
us us
and and
ask ask
us us
, ,
" "
Hey hey
, ,
what what
are be
you you
up up
to to
? ?
" "
" "
Oh oh
, ,
you you
know know
, ,
we we
' '
re re
just just
doing do
art art
. .
" "
" "
Art art
? ?
" "
Of of
course course
, ,
they they
were be
confused confuse
. .
But but
you you
know know
how how
India india
has have
a a
lot lot
of of
dust dust
in in
the the
streets street
, ,
and and
the the
more more
dust dust
you you
would would
have have
going go
up up
in in
the the
air air
, ,
on on
the the
white white
paper paper
you you
can can
almost almost
see see
, ,
but but
there there
is be
this this
sticky sticky
part part
like like
when when
you you
reverse reverse
a a
sticker sticker
. .
So so
the the
more more
dust dust
you you
have have
, ,
the the
more more
it it
will will
reveal reveal
the the
photo photo
. .
So so
we we
could could
just just
walk walk
in in
the the
street street
during during
the the
next next
days day
and and
the the
photos photo
would would
get get
revealed reveal
by by
themselves themselves
. .
Thank thank
you you
. .
So so
we we
didn didn
' '
t t
get get
caught catch
this this
time time
. .
Each each
project project
— -
that that
' '
s s
a a
film film
from from
Women women
Are are
Heroes hero
. .
Okay okay
. .
For for
each each
project project
we we
do do
a a
film film
. .
And and
most most
of of
what what
you you
see see
— -
that that
' '
s s
a a
trailer trailer
from from
" "
Women woman
Are be
Heroes hero
" "
— -
its its
images image
, ,
photography photography
, ,
taken take
one one
after after
the the
other other
. .
And and
the the
photos photo
kept keep
traveling travel
even even
without without
us us
. .
Hopefully hopefully
, ,
you you
' '
ll ll
see see
the the
film film
, ,
and and
you you
' '
ll ll
understand understand
the the
scope scope
of of
the the
project project
and and
what what
the the
people people
felt feel
when when
they they
saw see
those those
photos photo
. .
Because because
that that
' '
s s
a a
big big
part part
of of
it it
. .
There there
' '
s s
layers layer
behind behind
each each
photo photo
. .
Behind behind
each each
image image
is be
a a
story story
. .
Women woman
Are be
Heroes hero
created create
a a
new new
dynamic dynamic
in in
each each
of of
the the
communities community
, ,
and and
the the
women woman
kept keep
that that
dynamic dynamic
after after
we we
left leave
. .
For for
example example
, ,
we we
did do
books book
— -
not not
for for
sale sale
— -
that that
all all
the the
community community
would would
get get
. .
But but
to to
get get
it it
, ,
they they
would would
have have
to to
[ [
get get
] ]
it it
signed sign
by by
one one
of of
the the
women woman
. .
We we
did do
that that
in in
most most
of of
the the
places place
. .
We we
go go
back back
regularly regularly
. .
And and
so so
in in
Providencia providencia
, ,
for for
example example
, ,
in in
the the
favela favela
, ,
we we
have have
a a
cultural cultural
center center
running run
there there
. .
In in
Kibera kibera
, ,
each each
year year
we we
cover cover
more more
roofs roof
. .
Because because
of of
course course
, ,
when when
we we
left leave
, ,
the the
people people
who who
were be
just just
at at
the the
edge edge
of of
the the
project project
said say
, ,
" "
Hey hey
, ,
what what
about about
my my
roof roof
? ?
" "
So so
we we
decided decide
to to
come come
the the
year year
after after
and and
keep keep
doing do
the the
project project
. .
A a
really really
important important
point point
for for
me me
is be
that that
I i
don don
' '
t t
use use
any any
brand brand
or or
corporate corporate
sponsors sponsor
. .
So so
I i
have have
no no
responsibility responsibility
to to
anyone anyone
but but
myself myself
and and
the the
subjects subject
. .
And and
that that
is be
for for
me me
one one
of of
the the
more more
important important
things thing
in in
the the
work work
. .
I i
think think
, ,
today today
, ,
as as
important important
as as
the the
result result
is be
the the
way way
you you
do do
things thing
. .
And and
that that
has have
always always
been be
a a
central central
part part
of of
the the
work work
. .
And and
what what
' '
s s
interesting interesting
is be
that that
fine fine
line line
that that
I i
have have
with with
images image
and and
advertising advertising
. .
We we
just just
did do
some some
pasting paste
in in
Los los
Angeles angeles
on on
another another
project project
in in
the the
last last
weeks week
. .
And and
I i
was be
even even
invited invite
to to
cover cover
the the
MOCA moca
museum museum
. .
But but
yesterday yesterday
the the
city city
called call
them them
and and
said say
, ,
" "
Look look
, ,
you you
' '
re re
going go
to to
have have
to to
tear tear
it it
down down
. .
Because because
this this
can can
be be
taken take
for for
advertising advertising
, ,
and and
because because
of of
the the
law law
, ,
it it
has have
to to
be be
taken take
down down
. .
" "
But but
tell tell
me me
, ,
advertising advertise
for for
what what
? ?
The the
people people
I i
photograph photograph
were be
proud proud
to to
participate participate
in in
the the
project project
and and
to to
have have
their their
photo photo
in in
the the
community community
. .
But but
they they
asked ask
me me
for for
a a
promise promise
basically basically
. .
They they
asked ask
me me
, ,
" "
Please please
, ,
make make
our our
story story
travel travel
with with
you you
. .
" "
So so
I i
did do
. .
That that
' '
s s
Paris paris
. .
That that
' '
s s
Rio rio
. .
In in
each each
place place
, ,
we we
built build
exhibitions exhibition
with with
a a
story story
, ,
and and
the the
story story
traveled travel
. .
You you
understand understand
the the
full full
scope scope
of of
the the
project project
. .
That that
' '
s s
London london
. .
New new
York york
. .
And and
today today
, ,
they they
are be
with with
you you
in in
Long long
Beach beach
. .
All all
right right
, ,
recently recently
I i
started start
a a
public public
art art
project project
where where
I i
don don
' '
t t
use use
my my
artwork artwork
anymore anymore
. .
I i
use use
Man man
Ray ray
, ,
Helen helen
Levitt levitt
, ,
Giacomelli giacomelli
, ,
other other
people people
' '
s s
artwork artwork
. .
It it
doesn doesn
' '
t t
matter matter
today today
if if
it it
' '
s s
your your
photo photo
or or
not not
. .
The the
importance importance
is be
what what
you you
do do
with with
the the
images image
, ,
the the
statement statement
it it
makes make
where where
it it
' '
s s
pasted paste
. .
So so
for for
example example
, ,
I i
pasted paste
the the
photo photo
of of
the the
minaret minaret
in in
Switzerland switzerland
a a
few few
weeks week
after after
they they
voted vote
the the
law law
forbidding forbid
minarets minaret
in in
the the
country country
. .
This this
image image
of of
three three
men man
wearing wear
gas gas
masks mask
was be
taken take
in in
Chernobyl chernobyl
originally originally
, ,
and and
I i
pasted paste
it it
in in
Southern southern
Italy italy
, ,
where where
the the
mafia mafia
sometimes sometimes
bury bury
the the
garbage garbage
under under
the the
ground ground
. .
In in
some some
ways way
, ,
art art
can can
change change
the the
world world
. .
Art art
is be
not not
supposed suppose
to to
change change
the the
world world
, ,
to to
change change
practical practical
things thing
, ,
but but
to to
change change
perceptions perception
. .
Art art
can can
change change
the the
way way
we we
see see
the the
world world
. .
Art art
can can
create create
an an
analogy analogy
. .
