Helen helen
The the
other other
two two
factors factor
that that
matter matter
are be
the the
incubation incubation
period period
or or
the the
generation generation
time time
. .
The the
longer long
that that
is be
, ,
the the
slower slow
the the
pandemic pandemic
appears appear
to to
us us
. .
When when
it it
' '
s s
really really
short short
, ,
like like
six six
days day
, ,
it it
moves move
like like
lightning lightning
. .
And and
then then
the the
last last
, ,
and and
the the
most most
important important
-- --
and and
it it
' '
s s
often often
overlooked overlook
-- --
is be
the the
density density
of of
susceptibles susceptibles
. .
This this
is be
a a
novel novel
virus virus
, ,
so so
we we
want want
to to
know know
how how
many many
customers customer
could could
it it
potentially potentially
have have
. .
And and
as as
it it
' '
s s
novel novel
, ,
that that
' '
s s
eight eight
billion billion
of of
us us
. .
The the
world world
is be
facing face
a a
virus virus
that that
looks look
at at
all all
of of
us us
like like
equally equally
susceptible susceptible
. .
Doesn doesn
' '
t t
matter matter
our our
color color
, ,
our our
race race
, ,
or or
how how
wealthy wealthy
we we
are be
. .
CA ca
: :
I i
mean mean
, ,
none none
of of
the the
numbers number
that that
you you
' '
ve ve
mentioned mention
so so
far far
are be
in in
themselves themselves
different different
from from
any any
other other
infections infection
in in
recent recent
years year
. .
What what
is be
the the
combination combination
that that
has have
made make
this this
so so
deadly deadly
? ?
LB lb
: :
Well well
, ,
it it
is be
exactly exactly
the the
combination combination
of of
the the
short short
incubation incubation
period period
and and
the the
high high
transmissibility transmissibility
. .
But but
you you
know know
, ,
everybody everybody
on on
this this
call call
has have
known know
somebody somebody
who who
has have
the the
disease disease
. .
Sadly sadly
, ,
many many
have have
lost lose
a a
loved love
one one
. .
This this
is be
a a
terrible terrible
disease disease
when when
it it
is be
serious serious
. .
And and
I i
get get
calls call
from from
doctors doctor
in in
emergency emergency
rooms room
and and
treating treat
people people
in in
ICUs icus
all all
over over
the the
world world
, ,
and and
they they
all all
say say
the the
same same
thing thing
: :
" "
How how
do do
I i
choose choose
who who
is be
going go
to to
live live
and and
who who
is be
going go
to to
die die
? ?
I i
have have
so so
few few
tools tool
to to
deal deal
with with
. .
" "
It it
' '
s s
a a
terrifying terrifying
disease disease
, ,
to to
die die
alone alone
with with
a a
ventilator ventilator
in in
your your
lungs lung
, ,
and and
it it
' '
s s
a a
disease disease
that that
affects affect
all all
of of
our our
organs organ
. .
It it
' '
s s
a a
respiratory respiratory
disease disease
-- --
perhaps perhaps
misleading mislead
. .
Makes make
you you
think think
of of
a a
flu flu
. .
But but
so so
many many
of of
the the
patients patient
have have
blood blood
in in
their their
urine urine
from from
kidney kidney
disease disease
, ,
they they
have have
gastroenteritis gastroenteritis
, ,
they they
certainly certainly
have have
heart heart
failure failure
very very
often often
, ,
we we
know know
that that
it it
affects affect
taste taste
and and
smell smell
, ,
the the
olfactory olfactory
nerves nerve
, ,
we we
know know
, ,
of of
course course
, ,
about about
the the
lung lung
. .
The the
question question
I i
have have
: :
is be
there there
any any
organ organ
that that
it it
does do
not not
affect affect
? ?
And and
in in
that that
sense sense
, ,
it it
reminds remind
me me
all all
too too
much much
of of
smallpox smallpox
. .
CA ca
: :
So so
we we
' '
re re
in in
a a
mess mess
. .
What what
' '
s s
the the
way way
forward forward
from from
here here
? ?
LB lb
: :
Well well
, ,
the the
way way
forward forward
is be
still still
the the
same same
. .
Rapid rapid
detection detection
, ,
rapid rapid
response response
. .
Finding find
every every
case case
, ,
and and
then then
figuring figure
out out
all all
the the
contacts contact
. .
We we
' '
ve ve
got get
great great
new new
technology technology
for for
contact contact
tracing tracing
, ,
we we
' '
ve ve
got get
amazing amazing
scientists scientist
working work
at at
the the
speed speed
of of
light light
to to
give give
us us
test test
kits kit
and and
antivirals antivirals
and and
vaccines vaccine
. .
We we
need need
to to
slow slow
down down
, ,
the the
Buddhists buddhist
say say
slow slow
down down
time time
so so
that that
you you
can can
put put
your your
heart heart
, ,
your your
soul soul
, ,
into into
that that
space space
. .
We we
need need
to to
slow slow
down down
the the
speed speed
of of
this this
virus virus
, ,
which which
is be
why why
we we
do do
social social
distancing distancing
. .
Just just
to to
be be
clear clear
-- --
flattening flatten
the the
curve curve
, ,
social social
distancing distancing
, ,
it it
doesn doesn
' '
t t
change change
the the
absolute absolute
number number
of of
cases case
, ,
but but
it it
changes change
what what
could could
be be
a a
Mount mount
Fuji-like fuji-like
peak peak
into into
a a
pulse pulse
, ,
and and
then then
we we
won win
' '
t t
also also
lose lose
people people
because because
of of
competition competition
for for
hospital hospital
beds bed
, ,
people people
who who
have have
heart heart
attacks attack
, ,
need need
chemotherapy chemotherapy
, ,
difficult difficult
births birth
, ,
can can
get get
into into
the the
hospital hospital
, ,
and and
we we
can can
use use
the the
scarce scarce
resources resource
we we
have have
, ,
especially especially
in in
the the
developing develop
world world
, ,
to to
treat treat
people people
. .
So so
slow slow
down down
, ,
slow slow
down down
the the
speed speed
of of
the the
epidemic epidemic
, ,
and and
then then
in in
the the
troughs trough
, ,
in in
between between
waves wave
, ,
jump jump
on on
, ,
double double
down down
, ,
step step
on on
it it
, ,
and and
find find
every every
case case
, ,
trace trace
every every
contact contact
, ,
test test
every every
case case
, ,
and and
then then
only only
quarantine quarantine
the the
ones one
who who
need need
to to
be be
quarantined quarantine
, ,
and and
do do
that that
until until
we we
have have
a a
vaccine vaccine
. .
CA ca
: :
So so
it it
sounds sound
like like
we we
have have
to to
get get
past past
the the
stage stage
of of
just just
mitigation mitigation
, ,
where where
we we
' '
re re
just just
trying try
to to
take take
a a
general general
shutdown shutdown
, ,
to to
the the
point point
where where
we we
can can
start start
identifying identify
individual individual
cases case
again again
and and
contact-trace contact-trace
for for
them them
and and
treat treat
them them
separately separately
. .
I i
mean mean
, ,
to to
do do
that that
, ,
that that
seems seem
like like
it it
' '
s s
going go
to to
take take
a a
step step
up up
of of
coordination coordination
, ,
ambition ambition
, ,
organization organization
, ,
investment investment
, ,
that that
we we
' '
re re
not not
really really
seeing see
the the
signs sign
of of
yet yet
in in
some some
countries country
. .
Can can
we we
do do
this this
, ,
how how
can can
we we
do do
this this
? ?
LB lb
: :
Oh oh
, ,
of of
course course
we we
can can
do do
this this
. .
I i
mean mean
, ,
Taiwan taiwan
did do
it it
so so
beautifully beautifully
, ,
Iceland iceland
did do
it it
so so
beautifully beautifully
, ,
Germany germany
, ,
all all
with with
different different
strategies strategy
, ,
South south
Korea korea
. .
It it
really really
requires require
competent competent
governance governance
, ,
a a
sense sense
of of
seriousness seriousness
, ,
and and
listening listen
to to
the the
scientists scientist
, ,
not not
the the
politicians politician
following follow
the the
virus virus
. .
Of of
course course
we we
can can
do do
this this
. .
Let let
me me
remind remind
everybody everybody
-- --
this this
is be
not not
the the
zombie zombie
apocalypse apocalypse
, ,
it it
' '
s s
not not
a a
mass mass
extinction extinction
event event
. .
You you
know know
, ,
98 @card@
, ,
99 @card@
percent percent
of of
us us
are be
going go
to to
get get
out out
of of
this this
alive alive
. .
We we
need need
to to
deal deal
with with
it it
the the
way way
we we
know know
we we
can can
, ,
and and
we we
need need
to to
be be
the the
best good
version version
of of
ourselves ourselves
. .
Both both
sitting sit
at at
home home
as as
well well
as as
in in
science science
, ,
and and
certainly certainly
in in
leadership leadership
. .
CA ca
: :
And and
might might
there there
be be
even even
worse bad
pathogens pathogen
out out
there there
in in
the the
future future
? ?
Like like
, ,
can can
you you
picture picture
or or
describe describe
an an
even even
worse bad
combination combination
of of
those those
numbers number
that that
we we
should should
start start
to to
get get
ready ready
for for
? ?
LB lb
: :
Well well
, ,
smallpox smallpox
had have
an an
R0 r0
of of
3 @card@
. .
5 @card@
to to
4 @card@
. .
5 @card@
, ,
so so
that that
' '
s s
probably probably
about about
what what
I i
think think
this this
COVID covid
will will
be be
. .
But but
it it
killed kill
a a
third third
of of
the the
people people
. .
But but
we we
had have
a a
vaccine vaccine
. .
So so
those those
are be
the the
different different
sets set
that that
you you
have have
. .
But but
what what
I i
' '
m m
mostly mostly
worried worry
about about
, ,
and and
the the
reason reason
that that
we we
made make
" "
Contagion contagion
" "
and and
that that
was be
a a
fictional fictional
virus virus
-- --
I i
repeat repeat
, ,
for for
those those
of of
you you
watching watch
, ,
that that
' '
s s
fiction fiction
. .
We we
created create
a a
virus virus
that that
killed kill
a a
lot lot
more more
than than
this this
one one
did do
. .
CA ca
: :
You you
' '
re re
talking talk
about about
the the
movie movie
" "
Contagion contagion
" "
that that
' '
s s
been be
trending trend
on on
Netflix netflix
. .
And and
you you
were be
an an
advisor advisor
for for
. .
LB lb
: :
Absolutely absolutely
, ,
that that
' '
s s
right right
. .
But but
we we
made make
that that
movie movie
deliberately deliberately
to to
show show
what what
a a
real real
pandemic pandemic
looked look
like like
, ,
but but
we we
did do
choose choose
a a
pretty pretty
awful awful
virus virus
. .
And and
the the
reason reason
we we
showed show
it it
like like
that that
, ,
going go
from from
a a
bat bat
to to
an an
apple apple
, ,
to to
a a
pig pig
, ,
to to
a a
cook cook
, ,
to to
Gwyneth gwyneth
Paltrow paltrow
, ,
was be
because because
that that
is be
in in
nature nature
what what
we we
call call
spillover spillover
, ,
as as
zoonotic zoonotic
diseases disease
, ,
diseases disease
of of
animals animal
, ,
spill spill
over over
to to
human human
beings being
. .
And and
if if
I i
look look
backwards backwards
three three
decades decade
or or
forward forward
three three
decades decade
-- --
looking look
backward backward
three three
decades decade
, ,
Ebola ebola
, ,
SARS sars
, ,
Zika zika
, ,
swine swine
flu flu
, ,
bird bird
flu flu
, ,
West west
Nile nile
, ,
we we
can can
begin begin
almost almost
a a
catechism catechism
and and
listen listen
to to
all all
the the
cacophony cacophony
of of
these these
names name
. .
But but
there there
were be
30 @card@
to to
50 @card@
novel novel
viruses virus
that that
jumped jump
into into
human human
beings being
. .
And and
I i
' '
m m
afraid afraid
, ,
looking look
forward forward
, ,
we we
are be
in in
the the
age age
of of
pandemics pandemic
, ,
we we
have have
to to
behave behave
like like
that that
, ,
we we
need need
to to
practice practice
One one
Health health
, ,
we we
need need
to to
understand understand
that that
we we
' '
re re
living living
in in
the the
same same
world world
as as
animals animal
, ,
the the
environment environment
, ,
and and
us us
, ,
and and
we we
get get
rid rid
of of
this this
fiction fiction
that that
we we
are be
some some
kind kind
of of
special special
species specie
. .
To to
the the
virus virus
, ,
we we
' '
re re
not not
. .
CA ca
: :
Mmm mmm
. .
You you
mentioned mention
vaccines vaccine
, ,
though though
. .
Do do
you you
see see
any any
accelerated accelerate
path path
to to
a a
vaccine vaccine
? ?
LB lb
: :
I i
do do
. .
I i
' '
m m
actually actually
excited excite
to to
see see
that that
we we
' '
re re
doing do
something something
that that
we we
only only
get get
to to
think think
of of
in in
computer computer
science science
, ,
which which
is be
we we
' '
re re
changing change
what what
should should
have have
always always
been be
, ,
or or
has have
always always
been be
, ,
rather rather
, ,
multiple multiple
sequential sequential
processes process
. .
Do do
safety safety
testing testing
, ,
then then
you you
test test
for for
effectiveness effectiveness
, ,
then then
for for
efficiency efficiency
. .
And and
then then
you you
manufacture manufacture
. .
We we
' '
re re
doing do
all all
three three
or or
four four
of of
those those
steps step
, ,
instead instead
of of
doing do
it it
in in
sequence sequence
, ,
we we
' '
re re
doing do
in in
parallel parallel
. .
Bill bill
Gates gates
has have
said say
he he
' '
s s
going go
to to
build build
seven seven
vaccine vaccine
production production
lines line
in in
the the
United united
States states
, ,
and and
start start
preparing prepare
for for
production production
, ,
not not
knowing know
what what
the the
end end
vaccine vaccine
is be
going go
to to
be be
. .
We we
' '
re re
simultaneously simultaneously
doing do
safety safety
tests test
and and
efficacy efficacy
tests test
. .
I i
think think
the the
NIH nih
has have
jumped jump
up up
. .
I i
' '
m m
very very
thrilled thrill
to to
see see
that that
. .
CA ca
: :
And and
how how
does do
that that
translate translate
into into
a a
likely likely
time time
line line
, ,
do do
you you
think think
? ?
A a
year year
, ,
18 @card@
months month
, ,
is be
that that
possible possible
? ?
LB lb
: :
You you
know know
, ,
Tony tony
Fauci fauci
is be
our our
guru guru
in in
this this
, ,
and and
he he
said say
12 @card@
to to
18 @card@
months month
. .
I i
think think
that that
we we
will will
do do
faster faster
than than
that that
in in
the the
initial initial
vaccine vaccine
. .
But but
you you
may may
have have
heard hear
that that
this this
virus virus
may may
not not
give give
us us
the the
long-term long-term
immunity immunity
-- --
that that
something something
like like
smallpox smallpox
would would
do do
. .
So so
we we
' '
re re
trying try
to to
make make
vaccines vaccine
where where
we we
add add
adjuvants adjuvant
that that
actually actually
make make
the the
vaccine vaccine
create create
better good
immunity immunity
than than
the the
disease disease
, ,
so so
that that
we we
can can
confer confer
immunity immunity
for for
many many
years year
. .
That that
' '
s s
going go
to to
take take
a a
little little
longer longer
. .
CA ca
: :
Last last
question question
, ,
Larry larry
. .
Back back
in in
2006 @card@
, ,
as as
a a
winner winner
of of
the the
TED ted
Prize prize
, ,
we we
granted grant
you you
a a
wish wish
, ,
and and
you you
wished wish
the the
world world
would would
create create
this this
pandemic pandemic
preparedness preparedness
system system
that that
would would
prevent prevent
something something
like like
this this
happening happening
. .
I i
feel feel
like like
we we
, ,
the the
world world
, ,
let let
you you
down down
. .
If if
you you
were be
to to
make make
another another
wish wish
now now
, ,
what what
would would
it it
be be
? ?
LB lb
: :
Well well
, ,
I i
don don
' '
t t
think think
we we
' '
re re
let let
down down
in in
terms term
of of
speed speed
of of
detection detection
. .
I i
' '
m m
actually actually
pretty pretty
pleased please
. .
When when
we we
met meet
in in
2006 @card@
, ,
the the
average average
one one
of of
these these
viruses virus
leaping leap
from from
an an
animal animal
to to
a a
human human
, ,
it it
took take
us us
six six
months month
to to
find find
that that
-- --
like like
the the
first first
Ebola ebola
, ,
for for
example example
. .
We we
' '
re re
now now
finding find
the the
first first
cases case
in in
two two
weeks week
. .
I i
' '
m m
not not
unhappy unhappy
about about
that that
, ,
I i
' '
d d
like like
to to
push push
it it
down down
to to
a a
single single
incubation incubation
period period
. .
It it
' '
s s
a a
bigger big
issue issue
for for
me me
. .
What what
I i
found find
is be
that that
in in
the the
Smallpox smallpox
Eradication eradication
Programme programme
people people
of of
all all
colors color
, ,
all all
religions religion
, ,
all all
races race
, ,
so so
many many
countries country
, ,
came come
together together
. .
And and
it it
took take
working work
as as
a a
global global
community community
to to
conquer conquer
a a
global global
pandemic pandemic
. .
Now now
, ,
I i
feel feel
that that
we we
have have
become become
victims victim
of of
centrifugal centrifugal
forces force
. .
We we
' '
re re
in in
our our
nationalistic nationalistic
kind kind
of of
barricades barricade
. .
We we
will will
not not
be be
able able
to to
conquer conquer
a a
pandemic pandemic
unless unless
we we
believe believe
we we
' '
re re
all all
in in
it it
together together
. .
This this
is be
not not
some some
Age age
of of
Aquarius aquarius
, ,
or or
Kumbaya kumbaya
statement statement
, ,
this this
is be
what what
a a
pandemic pandemic
forces force
us us
to to
realize realize
. .
We we
are be
all all
in in
it it
together together
, ,
we we
need need
a a
global global
solution solution
to to
a a
global global
problem problem
. .
Anything anything
less less
than than
that that
is be
unthinkable unthinkable
. .
CA ca
: :
Larry larry
Brilliant brilliant
, ,
thank thank
you you
so so
very very
much much
. .
LB lb
: :
Thank thank
you you
, ,
Chris chris
. .
